"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"31","23","        Furniture","DFNRRX0",60589,61524,63902,66186,67987,70418,70885,69596,71102,71595,72906,75512,77885,77988,77021,78240,77112,80224,82438,84871,85707,86859,89589,91486,92187,93868,97088,97720,98499,97257,98975,99098,100017,99660,99838,100109,96571,96669,91724,86660,84324,81463,82690,84481,86911,89032,90488,91568,92486,92585,93596,95178,97554,97361,97932,97331,96921,98936,100992
"32","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11434,11699,12014,12458,12796,13053,13609,13846,13998,13916,13884,14082,14794,15025,15035,15441,15700,16818,18243,18586,19044,19649,20412,19692,20570,21687,22834,23686,25415,25865,27084,28109,29046,29756,30756,31275,31448,31599,31404,30985,30363,30525,30859,31716,32524,33678,34889,35939,36014,37213,38226,39908,41391,42046,42878,44519,45897,47763,50231
"33","25","        Carpets and other floor coverings","DFLRRX0",15700,16314,16880,17364,17995,17855,17769,17471,17609,17859,17916,18174,18560,18647,18473,18520,18898,19916,20582,21462,22024,22513,23257,23700,23865,24350,24333,24872,25912,25749,24771,24216,24859,24866,24436,24046,22958,23648,22180,20267,19253,18801,18739,18606,19157,19454,19226,18972,18786,19357,19826,20570,21831,22101,22453,23490,24024,24889,25555
"34","26","        Window coverings","DWCTRX0",6345,6690,6883,7140,7006,7111,7068,7288,7633,7622,7613,7932,8259,8232,8450,8397,8396,9025,9385,9771,10172,10283,10463,10953,11535,11826,11749,12496,12897,12985,12708,12391,12557,13093,13265,12900,12364,12907,12751,11843,11396,11629,11840,11914,12468,12852,13006,13579,13499,13730,13910,14186,14281,14448,14666,14666,14808,15225,15309
"35","27","      Household appliances (part of 33)","DAPPRX0",30504,31657,32633,32788,33781,34373,34836,35928,35989,36212,36674,37843,38549,39256,38968,39257,39108,40795,42967,43828,45236,46268,46944,48172,48159,48552,48245,49569,50564,49476,49419,48220,48469,47439,47452,47146,46910,47145,45303,42778,41513,40119,40924,41887,42428,44989,43035,44117,45172,45329,45567,45934,44519,43899,44738,44879,45857,46652,47890
"36","28","        Major household appliances","DMHARX0",27405,28492,29422,29535,30539,31059,31450,32480,32511,32695,33170,34248,34860,35495,35212,35439,35205,36705,38734,39520,40827,41779,42304,43467,43375,43681,43332,44589,45478,44427,44346,43093,43254,42317,42307,41909,41643,41691,39940,37631,36473,35213,36114,36741,37112,39530,37554,38455,39487,39534,39736,39905,38471,37767,38483,38507,39411,40082,41259
"37","29","        Small electric household appliances","DSEARX0",3087,3166,3223,3260,3274,3343,3409,3482,3507,3542,3541,3637,3727,3798,3789,3847,3916,4100,4256,4332,4439,4522,4662,4735,4805,4887,4923,4995,5100,5057,5078,5126,5212,5120,5142,5232,5262,5451,5362,5147,5040,4906,4812,5145,5316,5458,5483,5663,5688,5796,5831,6031,6057,6152,6276,6398,6467,6594,6648
"38","30","      Glassware, tableware, and household utensils (34)","DUTERX0",25722,26434,27601,28909,29488,29874,30661,31552,31910,32504,32919,34197,35670,36164,36951,38207,37910,39335,40639,40363,41255,41154,41426,41640,42396,42290,42887,44447,45765,45258,45320,45620,46242,45064,45290,45284,43739,44817,44108,42506,40482,40993,41199,41610,42780,43233,44095,45316,45604,46618,46942,49203,50436,51155,52426,53356,53780,54804,57266
"39","31","        Dishes and flatware","DCHNRX0",10797,11039,11653,12524,12808,13014,13482,13922,14218,14702,14957,15624,16491,16831,17358,17770,17542,18070,18523,18213,18622,18549,18694,18791,18971,18619,19248,20085,20661,20309,20355,20713,21022,20533,20640,20816,20093,20732,20448,19833,18557,19099,19329,19626,20099,20473,21115,22016,22386,22848,23147,24980,25597,26388,27233,27907,27660,28252,30282
"40","32","        Nonelectric cookware and tableware","DNECRX0",15212,15710,16229,16568,16856,17026,17310,17748,17768,17816,17957,18544,19095,19219,19436,20320,20275,21203,22091,22175,22657,22635,22755,22870,23483,23807,23688,24388,25136,25002,25016,24931,25240,24546,24665,24475,23654,24087,23661,22671,21929,21892,21868,21983,22679,22762,22991,23331,23268,23818,23856,24377,24996,24997,25464,25762,26349,26797,27391
"41","33","      Tools and equipment for house and garden (35)","DTOORX0",16406,16346,16363,16809,17251,17070,17150,17291,17573,17983,17732,17981,18291,18475,18483,18836,18952,19268,20131,20291,20405,21065,21165,20973,21050,21116,21086,21492,22399,21289,20678,20478,20546,19997,19807,19544,19389,19902,19774,18589,17865,17342,17320,17391,17702,18177,17993,18524,18107,18625,19004,19200,19740,19533,19513,19780,19883,19660,19856
"42","34","        Tools, hardware, and supplies","DHDWRX0",13810,13849,13876,14217,14589,14479,14494,14586,14863,15243,15119,15372,15637,15829,15841,16177,16229,16428,17146,17247,17226,17858,17921,17704,17709,17673,17641,17964,18709,17730,17193,17018,17058,16565,16362,16144,15969,16379,16252,15253,14644,14148,14181,14236,14473,14814,14655,15088,14721,15121,15417,15559,16004,15845,15766,15993,16049,15779,15952
"43","35","        Outdoor equipment and supplies","DLWNRX0",2596,2506,2497,2599,2669,2601,2661,2709,2717,2750,2629,2628,2674,2669,2666,2686,2746,2858,3001,3058,3185,3218,3254,3276,3345,3444,3445,3528,3690,3559,3485,3460,3487,3432,3445,3399,3420,3523,3522,3337,3220,3195,3139,3155,3230,3362,3338,3436,3387,3504,3588,3642,3737,3688,3750,3790,3838,3890,3912
"44","36","    Recreational goods and vehicles","DREQRX0",105317,110333,115722,121013,128519,130169,133360,136137,138161,141899,144888,151863,157112,159357,161397,164740,167480,175943,187619,195297,200794,206231,212565,217717,227723,236189,240097,246538,261175,263603,269375,281000,286066,293508,304723,311590,308154,318108,312767,295939,298585,294740,305759,316017,324073,333828,340970,348343,357310,365217,374121,385362,395581,404920,416111,426788,435151,447321,459758
"45","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",35594,37698,40190,42319,45048,46547,48148,49701,51045,52660,54871,58223,60954,62881,64137,66276,67929,72212,78051,82019,85679,89319,93469,97686,103606,107948,112801,118237,125637,129843,134503,142319,148114,153469,161367,167426,167040,175949,176578,173581,179560,178009,185767,196404,206562,214578,221415,225853,233608,239761,246719,258928,264057,273790,284874,294200,301448,311131,319937
"46","38","        Video and audio equipment","DVAARX0",26990,28300,29946,31261,33014,33604,34250,35017,35846,36485,37664,39598,40561,41475,41727,42258,42568,44056,46265,47954,49709,51479,53459,55296,58257,59870,62143,65214,68537,69999,71989,75195,77579,79717,83391,86668,87501,93713,94075,92506,97165,95721,99347,105845,111120,113122,115998,120472,124944,128925,133130,138983,143480,149515,155302,159802,164729,170982,175091
"47","39","          Televisions","DTVSRX0",2506,2656,2780,2894,3112,3246,3405,3531,3631,3777,3987,4297,4422,4586,4739,5015,5321,5906,6609,7159,7693,8347,8841,9367,10160,10805,11787,13022,14188,15270,16743,18968,20678,22283,23983,25115,26194,28475,29374,30334,33234,34332,37193,41489,45018,46315,47798,50415,53363,56705,60064,63419,66417,70701,74933,78212,81945,87169,90676
"48","40","          Other video equipment","DOVARX0",2788,2986,3228,3463,3815,4060,4322,4597,4779,5103,5456,5813,6031,6200,6357,6670,6970,7482,7982,8340,8676,9189,9606,9990,10474,10703,11035,11433,11887,12432,12881,13353,13507,13858,14711,15673,16228,17743,18369,18225,18265,17643,17995,19286,19977,20666,21521,22435,23235,23997,24839,26248,27431,28751,29733,31027,31879,31714,33314
"49","41","          Audio equipment","DAUDRX0",8997,9493,10054,10486,10992,10710,10704,10948,11012,11249,11474,11767,12009,12363,12584,12610,12374,12537,13098,13267,13674,14077,14798,15430,16684,17478,18396,18656,19562,19006,18882,19070,18999,18918,18986,19414,19299,20220,19647,18328,18597,17891,17891,18336,18898,19126,19265,19583,20060,20505,20657,21511,21978,22830,23018,23630,23781,24733,24884
"50","42","          Recording media","DRECRX0",22201,22857,24056,24839,25592,25829,25704,25594,26211,25755,26033,27227,27712,27954,27289,26666,25977,25582,25621,26003,26327,26129,26444,26640,27033,26726,26365,27191,27779,27450,26865,26316,26423,26231,27033,27713,26677,28057,27217,25836,27111,25788,26205,26822,27556,27486,28005,28839,29360,29283,29669,30304,30654,30985,32096,32133,33041,34153,34075
"51","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",17574,17837,18396,18465,18561,18735,18519,18185,18236,17823,17665,17804,18137,18242,17641,17160,16477,15786,15381,15410,15547,15120,15132,15075,14841,14530,14142,14237,14251,13969,13628,13234,13062,12932,12952,13322,12969,13784,13406,12857,13255,13077,13354,13759,14322,14328,14614,15042,15396,15559,15884,16516,16497,16954,17507,17460,18017,18352,18208
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",6138,6489,7078,7669,8223,8293,8336,8477,8959,8873,9227,10156,10328,10458,10335,10158,10081,10274,10632,10952,11134,11301,11577,11801,12356,12337,12337,13028,13574,13515,13265,13099,13360,13296,14062,14374,13697,14268,13808,12980,13855,12712,12851,13061,13231,13155,13386,13794,13959,13716,13775,13774,14145,14009,14566,14654,15000,15797,15874
"53","45","        Photographic equipment","DCAMRX0",1261,1274,1302,1374,1326,1361,1418,1516,1468,1436,1447,1466,1536,1532,1571,1588,1648,1753,1842,1922,2012,2155,2244,2341,2467,2546,2644,2744,2877,2976,3203,3480,3779,4034,4178,4358,4367,4583,4529,4384,4260,4205,4193,4271,4422,4564,4745,5012,5097,5001,5201,5216,5386,5490,5627,5646,5647,5777,5935
"54","46","        Information processing equipment","DIPERX0",8208,8886,9637,10305,11219,11915,12651,13249,13763,14637,15575,16893,18458,19419,20323,21860,23118,25784,29349,31576,33407,35139,37234,39554,42406,45150,47677,49917,53958,56733,59240,63702,66888,69919,74050,76647,75318,77687,78007,76726,78112,78078,82230,86314,91044,96776,100503,100366,103581,105900,108489,114771,115421,119119,124261,129008,131473,134919,139373
"55","47","          Personal computers and peripheral equipment","DCPPRX0",3572,3904,4335,4696,5131,5511,5911,6194,6563,7133,7767,8594,9474,10024,10519,11520,11997,13001,14498,15202,15838,16470,17385,18641,19951,21038,22291,23453,25485,26713,27431,28861,29925,30790,32493,34808,34834,37087,37983,37858,39339,39832,42679,44571,46462,48131,49143,50339,53838,56338,59191,62942,63739,65473,67863,71652,74250,76650,79373
"56","48","          Computer software and accessories","DCPSRX0",5192,5460,5522,5676,6130,6302,6504,6800,6709,6757,6745,6973,7498,7787,8124,8385,9324,11210,13402,15148,16448,17626,18811,19775,21306,23025,24279,25299,27246,28802,30715,33945,36177,38476,40933,40924,39445,39351,38689,37541,37391,36882,38168,40396,43152,47188,49916,48557,48232,48040,47790,50287,50170,52081,54749,55758,55734,56778,58476
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",454,493,528,567,612,650,688,715,710,717,759,783,810,847,874,913,899,917,955,989,1033,1070,1106,1106,1140,1191,1193,1217,1251,1281,1312,1332,1345,1361,1395,1428,1409,1427,1411,1360,1376,1355,1388,1357,1435,1448,1462,1476,1520,1556,1596,1665,1674,1712,1778,1820,1832,1887,1953
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",30013,31146,32448,34107,35677,36150,37288,37715,38342,39429,39512,41081,41886,42159,42428,43314,42671,44083,45669,46721,47583,48386,48744,48576,50513,52708,51519,52229,55611,54078,56496,57590,56449,56885,58393,59244,58014,59195,56459,51667,50377,50203,51159,51836,51441,52275,52978,54720,56510,58056,59256,60196,61890,61758,62860,64285,65837,66641,68225
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",33060,34389,34672,35470,39400,36281,36175,36333,35967,37146,36688,38236,39357,38120,38315,37877,39200,41459,45197,48152,47692,48055,48830,49390,50642,52764,50924,49753,52782,51681,50733,52884,52419,53669,54280,53425,51903,51006,47531,39753,37769,35526,37497,37008,34666,35729,35375,36089,35730,36166,36335,35981,38111,37595,37467,37409,37498,39495,41104
"60","52","        Motorcycles","DMCYRX0",6276,6513,6485,7531,8186,7811,7968,8281,8805,9830,9281,9545,10305,9372,9507,9606,10386,10259,11430,12851,12086,13065,12774,12312,12787,13418,12032,12427,12524,13174,12595,12699,12611,13028,12985,13647,13366,13840,12577,10199,9626,8884,9445,9122,8579,8570,8441,8531,8893,8986,9158,8894,9624,9342,9175,9658,9444,9399,9627
"61","53","        Bicycles and accessories","DBCYRX0",3315,3342,3328,3333,3303,3292,3304,3220,3208,3205,3171,3198,3170,3121,3112,3169,3200,3247,3418,3527,3507,3418,3608,3648,3709,3745,3678,3788,3950,3883,3850,3916,3977,4122,4160,4145,4159,4331,4271,4060,4183,4116,4155,4158,4194,4218,4235,4309,4250,4266,4266,4322,4406,4499,4487,4530,4617,4423,4449
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",23522,24590,24917,24638,27954,25208,24927,24845,23945,24077,24216,25477,25846,25618,25684,25081,25572,27947,30328,31701,32071,31495,32397,33417,34120,35566,35233,33526,36313,34609,34275,36256,35818,36507,37121,35634,34379,32847,30689,25496,23961,22526,23897,23729,21894,22940,22696,23240,22599,22923,22928,22769,24099,23764,23807,23256,23453,25641,26982
"63","55","          Pleasure boats","DBOARX0",10278,10836,11480,9933,12358,11171,11248,11547,10973,10787,11062,12252,12294,11859,11347,10872,10760,12349,13583,14410,14526,14476,14017,13782,14866,16230,15547,14744,16633,15350,16549,16855,16287,16387,16780,16544,16017,15874,14914,13226,12128,11268,11754,11918,10478,10884,10779,10955,10811,11013,11012,10547,11224,10997,10939,11166,10803,12208,13129
"64","56","          Pleasure aircraft","DAIRRX0",1137,1104,1058,1165,1219,1123,1150,1239,1126,1145,1015,972,944,990,1116,1021,1007,1128,1253,1315,1379,1280,1423,1524,1618,1693,1625,1566,1771,1708,1683,1986,1867,2079,2122,2173,1980,1982,1935,1477,1485,1306,1455,1475,1435,1446,1426,1456,1403,1411,1453,1530,1570,1669,1644,1574,1994,2185,2110
"65","57","          Other recreational vehicles","DREVRX0",12109,12650,12380,13540,14377,12914,12529,12059,11846,12146,12140,12254,12610,12770,13221,13188,13806,14471,15492,15977,16167,15740,16957,18113,17636,17643,18062,17217,17911,17551,16043,17415,17666,18042,18220,16918,16382,14991,13839,10792,10348,9951,10688,10335,9981,10610,10491,10829,10386,10499,10464,10692,11304,11097,11223,10516,10656,11248,11742
"66","58","      Recreational books (part of 90)","DRBKRX0",23158,23658,24322,25000,25138,26089,26095,26281,26047,25812,25864,26063,26247,26352,26354,26561,26771,27376,27682,27044,27635,27489,27703,27277,27590,27475,27836,28084,28563,28596,27711,27610,27439,27320,28196,28230,27667,27975,27728,26327,26216,26408,26750,26322,27274,27194,27399,27733,27809,27723,28535,27815,28313,29372,29595,30196,30369,30418,30782
