"","Table 5#4#3B# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9"
"27","20","  Mining exploration, shafts, and wells","B318RA3",93.021,85.785,78.273,100,118.437,84.947
"28","21","    Petroleum and natural gas","B319RA3",91.672,85.628,78.292,100,119.731,85.697
"29","22","    Mining","B320RA3",120.607,89.024,77.907,100,91.186,69.256
"30","23","  Other structures","W004RA3",91.507,96.433,97.182,100,95.829,79.462
"31","24","    Religious","C309RA3",81.266,89.56,95.882,100,100.062,96.306
"32","25","    Educational and vocational","W044RA3",84.999,91.167,86.94,100,106.038,104.108
"33","26","    Lodging","W045RA3",89.284,98.973,102.218,100,85.253,59.396
"34","27","    Amusement and recreation","W046RA3",109.258,106.676,113.77,100,85.471,79.433
"35","28","    Transportation","W047RA3",99.341,113.603,98.57,100,99.978,96.069
"36","29","      Air","W048RA3",58.367,65.052,72.09,100,105.589,67.897
"37","30","      Land \3\","W049RA3",116.029,133.356,109.426,100,97.648,107.804
"38","31","    Farm","B316RA3",71.905,77.91,88.249,100,82.097,79.196
"39","32","    Other \4\","W050RA3",89.014,89.409,80.863,100,75.384,49.289
"40","33","    Brokers' commissions on sale of structures","B321RA3",86.831,93.133,94.966,100,92.832,75.849
"41","34","    Net purchases of used structures"," ",NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RA3",87.01,93.701,99.322,100,100.352,105.263
"43","36","  Permanent site","B943RA3",84.329,92.336,99.197,100,100.606,104.698
"44","37","    Single-family structures","B944RA3",83.04,92.109,98.897,100,100.164,104.256
"45","38","    Multifamily structures","B292RA3",95.304,94.237,101.711,100,104.356,108.435
"46","39","  Other structures","A863RA3",91.02,95.756,99.512,100,99.966,106.126
"47","40","    Manufactured homes","B945RA3",128.183,139.504,132.224,100,79.912,71.992
"48","41","    Dormitories","B295RA3",65.311,77.03,98.293,100,109.192,101.473
"49","42","    Improvements","B946RA3",93.454,93.973,97.327,100,101.365,107.254
"50","43","    Brokers' commissions on sale of structures","B758RA3",81.569,93.93,100.667,100,101.482,112.789
"51","44","    Net purchases of used structures"," ",NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RA3",88.599,94.126,96.968,100,98.559,93.263
"54","46","    Nonresidential structures","A771RA3",89.113,94.042,93.646,100,96.495,79.54
"55","47","    Residential structures","A756RA3",88.16,94.173,99.669,100,100.24,104.439
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA
