"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"11","2","Goods","DGDSRX0",1882213,1858507,1878849,1861519,1884926,1911031,1896634,1905419,1923953,1899654,1927703,1952725,1920293,1945855,1960224,1977926,1980991,1981067,1984895,1998382,1998926,2013872,2018546,2022341,2034057,2042057,2060311,2039775,2032707,2059254,2085536,2108310,2098265,2104050,2135506,2138482,2132141,2143678,2151791,2179357,2205084,2212113,2212802,2228953,2255470,2281132,2293117,2327483,2305274,2334910,2347182,2362654,2388233,2401817,2394456,2414806,2429579,2424419,2437765,2502573,2462890,2499989,2514273,2499596,2512809,2505759,2505548,2528234,2564636,2556464,2546327,2563429,2558044,2574387,2553833,2555139,2575966,2577276,2586246,2613334,2566778,2717336,2684323,2647769,2666487,2686378,2680541,2703775,2666091,2701809,2729555,2745976,2699878,2705377,2726690,2766351,2760978,2733873,2762267,2782629,2789203,2828306,2847067,2905293,2876915,2870149,2907635,2893889,2910073,2903151,2945098,2920602,2963433,2911255,2949018,2955713,2994410,2993063,2991527,3026081,3023549,3041515,3032820,3088576,3037399,3099310,3140949,3098515,3055819,3076456,3085458,3106643,3149877,3143078,3144124,3158066,3142074,3152281,3180219,3158760,3190229,3210079,3209054,3248500,3254441,3243696,3263478,3248209,3266658,3251378,3265850,3275270,3300697,3304042,3311462,3299032,3272825,3244669,3268691,3263410,3261389,3248686,3201107,3219958,3159867,3126225,3131304,3073548,3128822,3141292,3119174,3095024,3106122,3114928,3130376,3213333,3135209,3158144,3199031,3188409,3198010,3224128,3267620
"12","3","  Durable goods","DDURRX0",500653,492218,502574,491113,502061,517479,508393,519549,525355,514824,526204,539250,520949,535585,540903,550198,553112,544948,547808,555116,557003,561392,565832,565121,578047,576222,583927,576765,572417,583405,596128,611796,601916,605913,622116,627993,618306,625757,627509,642019,664115,660870,658878,674560,690354,707437,707904,728580,703499,720040,725683,737070,751322,764191,762586,769863,774986,769112,773840,793177,810439,832553,824550,805711,811340,806083,806851,818509,839672,831807,825241,826110,829521,852738,842993,828927,839322,855748,847131,867450,839972,957230,924264,887663,903029,919552,914862,940435,904012,921784,950252,969527,927446,919278,928668,961744,948390,923697,940303,964234,972557,985544,997560,1032696,1009356,1008654,1028073,1022524,1020759,1030376,1041975,1031795,1061892,1021127,1051884,1048343,1075908,1066992,1067211,1094045,1076331,1081995,1091553,1127953,1080376,1132448,1175852,1118023,1086169,1077623,1099115,1118476,1149493,1133624,1143715,1144466,1129070,1144554,1158106,1137985,1160219,1160181,1164297,1179284,1184397,1178352,1188329,1184795,1200285,1184572,1186991,1207832,1220164,1225801,1227180,1210533,1203672,1193239,1182597,1179971,1179589,1167634,1138389,1157370,1122981,1081358,1082705,1066215,1094674,1091756,1075173,1059233,1072459,1083545,1106437,1180558,1081249,1103855,1130237,1137138,1133353,1144875,1184334
"13","4","    Motor vehicles and parts","DMOTRX0",251001,247126,256542,242553,247913,263599,249153,261053,262523,251738,260751,273388,257116,268454,268424,274406,270927,261041,264856,269920,269727,270899,273642,266687,286089,277587,283787,273157,269913,275489,285346,301682,285103,288798,300888,305773,287885,290140,291441,302279,321952,312280,302595,316198,330486,343621,339192,354564,325288,330902,332689,345839,353043,360431,354216,355569,352697,339568,342506,348999,366695,383485,368494,345878,349753,342701,341862,349994,364883,358078,351039,350674,348930,375203,365211,344687,354323,371977,355806,371540,356430,465512,414779,367540,379992,391377,387568,407766,369947,387666,417895,432691,388139,376648,380100,408639,397074,381226,388101,407127,403270,405652,410462,434031,407959,403961,416706,407814,406203,409453,412012,404828,429353,388266,407838,402079,426997,413332,410898,424569,409575,402267,414652,436888,396957,437187,482041,414610,386031,360377,379775,395402,398506,387681,393569,396727,385403,397612,412659,392230,396143,399201,397778,402086,402585,404403,400109,402020,409724,400435,391193,402553,407802,411627,400677,395369,390096,388818,374349,368370,361865,354097,328756,351095,333525,307090,305046,306464,317572,309115,306948,296506,308091,313972,331221,388210,286033,309712,317106,322009,306245,306433,334214
"14","5","    Furnishings and durable household equipment","DFDHRX0",132396,130055,129952,130204,132385,133303,134160,133272,134264,133516,136525,136371,131380,134936,136812,138418,139773,139434,139181,138570,140094,141311,142466,143201,141327,143451,143632,142889,142909,144271,145911,146680,147057,147272,149027,149178,151603,152902,152742,153301,154850,156279,156949,158232,159965,161403,163896,165262,165041,169020,170789,169200,172751,174855,174583,178259,181033,181749,182881,186045,186082,188421,190012,190531,192719,192121,192731,194875,195398,196628,195989,193816,200221,197549,197432,199081,200437,201027,202629,204489,199205,204275,208646,211758,213230,215328,215888,216919,217011,216048,215683,217239,216108,217836,220559,221771,220719,214808,221567,221704,228282,231204,233765,236873,238012,238243,241298,241049,240516,241647,248004,246013,246602,247510,252671,251810,252419,252311,253244,258969,255974,258528,256501,261023,258123,263862,262220,265583,268329,272649,272801,271113,279654,278595,279608,277660,274832,276034,275491,276564,280611,277854,277475,280997,285643,281834,284756,281299,283044,279309,282115,283445,285105,284246,287020,285621,283261,279758,279608,283516,283533,280741,279641,274706,268735,265228,265115,262149,260919,261610,255692,254532,254269,253690,255560,259097,260452,262108,266322,268063,269596,275366,278517
"15","6","    Recreational goods and vehicles","DREQRX0",71535,70255,71974,71531,73342,75415,76086,77844,79619,79263,79278,81098,81209,81567,82824,84916,86793,87468,87665,89402,89626,90894,91724,93555,93367,94998,96567,98260,98429,100148,101930,102895,104290,104803,106908,108002,109866,112614,112936,115094,117877,119077,123045,124780,126909,129347,129972,132720,132790,138097,139141,140884,143457,145637,147776,150357,153447,155884,155901,161145,165195,167079,170764,171058,168964,170237,171545,173790,178129,177122,178302,179704,181298,180768,182018,185567,186253,187649,191322,192867,188290,195323,202076,204299,206747,208939,207849,211312,210304,211902,212346,213592,216099,215995,218562,220813,220723,219924,222583,226279,230123,235521,239292,246533,247624,249381,251441,254094,255458,259077,261456,260949,266124,265773,271563,273741,274896,278012,279717,286434,285179,294024,295532,300162,297350,301808,303309,307251,305457,313927,316812,319419,337394,331476,334754,336888,335309,337610,338019,339568,351297,352895,358153,365371,366848,362831,370997,369721,374818,374685,382601,388800,393011,397597,406570,400768,399023,399527,400938,406818,412957,410982,409788,409813,403252,393458,398540,390910,402681,407660,399081,396428,396719,402092,406177,413933,424318,419945,435902,435741,438441,446198,452603
"16","7","    Other durable goods","DODGRX0",70188,68956,69025,69321,71219,69610,70368,69814,70759,70147,71630,71614,70779,72504,74317,73912,75693,74897,74496,75583,75928,76330,76152,78047,76445,77563,77543,77614,75589,78308,78594,78232,80319,80231,81583,81602,82445,82953,83303,85100,84998,87237,87623,87976,86720,87742,88931,91292,92127,93006,94060,92999,94198,95748,97279,96469,97692,100071,101090,105251,101175,103647,103152,104048,106772,107005,106318,105703,107618,105901,104974,106743,103573,105803,103916,103169,102446,100153,100946,102970,99782,101590,104474,107098,106526,107833,107415,108942,109465,109507,108926,111190,110150,111474,112088,114122,112969,110053,110523,112056,113479,115511,116335,117923,117464,118509,120459,120908,119793,121331,121653,120918,121199,119830,120406,121040,122464,123774,123670,124388,125741,127109,124820,129886,127881,129503,128176,130440,126315,130837,129896,132611,134300,136179,136099,133604,134093,133767,132215,130370,133258,131487,132441,132682,131303,131036,134529,133795,134826,132763,134411,136355,137593,136095,137718,133642,135941,130598,133414,128511,129250,129800,129006,129812,126093,124169,123408,116559,123341,123922,123301,121905,123002,123842,123174,126212,125307,124899,125722,125738,133691,132815,133109
"17","8","  Nondurable goods","DNDGRX0",1435387,1420548,1428498,1425709,1436364,1443423,1440404,1433781,1446599,1434204,1449700,1459167,1448951,1456743,1465496,1472253,1471532,1483575,1483783,1488605,1486469,1497264,1496180,1501523,1496354,1508074,1517868,1504642,1502761,1517379,1529235,1532939,1535446,1536358,1549246,1544343,1550718,1553340,1560099,1570980,1569163,1581630,1585154,1581666,1589768,1595175,1608055,1618419,1627677,1638463,1644577,1646568,1656088,1654165,1648213,1661251,1670938,1672911,1681553,1727943,1662559,1675144,1700836,1708530,1715887,1714785,1713556,1723666,1736934,1737755,1734830,1752124,1742050,1731281,1720912,1739229,1748999,1730823,1750848,1755335,1738139,1758844,1762905,1767948,1769563,1771091,1770532,1765074,1767942,1784999,1781071,1775920,1776098,1791277,1802849,1806536,1816213,1815686,1826664,1820955,1818356,1844567,1850701,1872252,1868497,1862306,1879850,1871737,1890297,1872932,1903576,1889445,1901285,1891132,1897267,1907808,1918364,1926281,1924537,1931917,1947623,1959940,1941325,1960305,1957404,1966871,1965248,1980747,1969534,1997972,1986013,1988114,2000813,2009542,2000800,2013811,2012788,2008077,2022663,2020541,2030411,2049899,2044889,2069323,2070252,2065383,2075354,2063771,2067443,2067031,2078849,2069055,2082595,2080979,2087077,2089938,2071122,2053521,2085659,2083003,2081486,2079636,2059296,2061401,2033707,2037026,2040916,2000304,2027972,2042472,2035925,2026865,2025796,2024511,2019588,2035032,2045256,2047809,2064131,2048339,2060503,2075473,2083678
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",554628,546804,548279,544334,548759,548551,546976,547206,547657,546491,548112,554390,552492,551310,552672,554983,554291,554987,554630,553401,553097,554694,555081,556653,558263,558194,561711,558354,555237,555806,560323,558978,560009,559928,561542,557860,557591,559371,560809,561839,563223,566302,567069,566351,569384,568226,570274,576132,575736,578808,580289,583535,585206,583381,585748,588499,592967,588567,591697,614174,584861,591908,599753,600374,597926,604505,601231,600695,603231,607472,606621,608680,609332,604609,602314,609447,611423,607362,606071,606412,609377,607169,606359,611432,605104,605318,606970,602487,608344,609504,611428,609006,607042,611179,615893,616022,621988,622692,623198,620183,613710,617623,625020,627597,626848,623297,625283,621440,634993,631601,636951,634842,636690,635428,635488,637367,644499,646443,647732,648708,653438,657947,658482,657620,656598,661678,662337,670290,677182,681093,672625,670887,672757,680419,676816,682589,686370,683523,685516,688902,685405,696681,693887,702069,703418,699959,699001,695000,697098,696421,701204,696419,699926,702506,705806,711379,706613,706819,710655,709299,708547,708900,701940,702044,694791,690652,690478,678032,684498,688190,689618,691214,695892,693479,695732,698542,705936,706207,712557,706718,709066,716770,716475
"19","10","    Clothing and footwear","DCLORX0",199169,195352,198376,197535,199566,202077,204076,199869,205982,199847,204843,205823,201763,207066,205868,209323,209165,211385,210956,214838,214662,215865,213730,214906,213727,215445,215612,211665,211733,215634,218171,221782,220320,221773,223501,223357,224841,228874,229198,233284,230623,230485,232209,227838,229291,233813,234883,236656,240666,243561,246617,244162,246086,246903,246002,248013,248037,247406,247670,248890,247477,251841,256770,256235,259109,257121,256996,260065,263839,261621,263281,262601,262979,259212,252676,261039,260636,258249,260665,264536,253806,262023,263997,266423,267605,266995,266817,268119,264607,269061,267436,265788,263683,274811,271772,275263,274654,270363,277639,277647,282956,284780,287439,289356,289639,286045,288769,291767,293668,295841,299708,291979,295235,291386,294740,296501,299338,301996,300754,306132,305482,312167,304637,313939,311937,318094,314750,316793,313611,325525,324186,325384,329809,330855,327802,329500,325556,326432,330143,328128,336875,337389,333828,341399,344250,339131,348310,340321,345431,344290,346494,346904,348486,349020,351542,346952,345704,346535,351014,354128,353866,352775,348389,344704,336911,334112,339725,332351,333626,337737,330557,328824,328564,323416,323205,326884,329984,332126,333950,332038,333676,341004,348147
"20","11","    Gasoline and other energy goods","DGOERX0",261497,266636,264070,264356,266166,268095,264207,263190,262292,260874,266165,264366,266602,262872,272638,267682,267446,272118,270851,271011,265630,269432,269006,266787,264833,271371,274315,272574,271756,277482,277795,273437,274193,272138,279999,277209,278103,276808,281480,284156,282245,283356,284060,286759,286956,286291,287007,287999,287210,290540,289342,292964,295631,297853,297482,289951,288333,295915,285455,298799,284150,282361,282123,287075,291798,286019,287640,291286,289687,286537,282533,294298,290355,288352,288460,290602,286708,278867,295466,286862,289852,289209,295503,290140,287144,294070,290577,289239,295013,297903,293461,298158,295547,290945,296767,298975,295381,296635,296291,297255,298502,302352,297710,310294,306829,307823,310171,306599,308605,303218,308747,306203,310203,306211,303359,308363,305059,307710,306662,303985,315588,308764,305194,305850,309615,303754,306770,307563,293759,300879,300104,300046,298721,297246,293308,298301,297413,295975,302653,296724,300595,302146,298434,299017,300123,305182,299100,304615,299481,299671,302348,297636,304442,298130,296900,300619,294007,283542,300172,292459,289734,287498,277847,285065,277335,289518,290022,282129,289738,294089,295767,289948,295760,296282,290800,295971,291284,291600,292788,288649,291962,292306,291911
"21","12","    Other nondurable goods","DONGRX0",439042,434145,437911,439980,442252,444751,442953,442602,446859,445079,448712,451600,447639,451496,454338,457190,457493,462697,464638,465375,467162,472235,473877,477508,473665,478761,482846,479473,481112,486251,489872,492743,495645,496018,499927,500651,504664,501000,503111,505920,507223,515735,515781,517278,520099,521030,529577,530958,535461,537460,538670,538577,542178,539873,533183,544736,550618,552956,564220,577245,553734,555032,566676,570641,573471,572493,573391,577497,584592,586148,585100,592138,584186,584091,583730,583353,594064,588909,595143,600400,590992,604135,602825,602951,610953,609155,609199,607843,605154,613457,612402,608725,614647,616099,621829,620009,626500,628839,631518,628184,625677,642190,641087,648421,647796,648279,658552,654044,655008,643563,659589,657940,661074,659614,664392,666865,669849,670680,669865,673159,674147,681050,673049,682769,679457,682509,680544,685099,685864,690759,689262,692022,700043,701810,703820,704110,704175,702940,704311,707950,708518,714862,719971,728400,724064,722280,731125,724792,727478,728573,730508,730420,731210,733973,736055,732432,727506,722198,724770,731239,734339,736032,740008,734444,731688,725701,724847,711773,724044,726527,723432,719471,709300,714656,712578,716408,720981,721056,728020,724311,728993,729395,732076
