"","Table 1#14# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","  Farm","B042RC",6.2,4.4,3.5,2.1,2.6,2.9,5.3,4.3,6,4.4,4.4,4.5,6.4,10.1,12,12,12.4,14.8,15.1,17.5,12.7,13.5,16,15.1,13,12.5,11.5,11.3,11.3,13.1,10.9,11.4,12.1,12.1,11.9,10.8,13.1,14.1,12.8,12.8,14.2,14.3,14.9,18.8,30.7,25.2,23.5,18.7,17.5,21.5,23.7,13.1,20.3,14.4,7.2,21.6,21.5,23,29,26,32.2,31.1,26.4,32.7,30.1,31.9,22.2,34.3,29.7,25.6,27.7,22.6,19,"12.7"
"18","11","    Proprietors' income with inventory valuation adjustment","A043RC",6.3,4.5,3.5,2.1,2.6,3,5.3,4.4,6.1,4.5,4.5,4.5,6.5,10.3,12.2,12.2,12.7,15.2,15.6,18.1,13.3,14.1,16.8,15.9,13.7,13.2,12.2,12.1,12.1,14,11.8,12.3,12.9,12.9,12.7,11.6,13.9,15,13.7,13.9,15.4,15.7,16.5,20.5,32.6,27.7,26.9,22.6,21.7,26.3,29.4,20.2,28.6,23.4,16,30.2,29.7,31.1,36.9,33.9,40,39.2,34.4,40.9,38.2,39.9,30.2,42.1,37.5,33.1,35.8,30.2,26.7,"21.4"
"19","12","    Capital consumption adjustment","B044RC",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.6,-0.6,-0.6,-0.8,-0.8,-0.8,-0.7,-0.7,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.9,-1,-1.1,-1.2,-1.4,-1.6,-1.7,-1.9,-2.5,-3.4,-3.9,-4.2,-4.7,-5.7,-7.1,-8.3,-9,-8.8,-8.6,-8.2,-8.1,-7.9,-7.9,-7.9,-8,-8,-8.2,-8.1,-8,-8,-7.9,-7.8,-7.5,-8,-7.6,-7.7,"-8.7"
"20","13","  Nonfarm","A045RC",8.7,7.3,5.6,3.5,3.2,4.6,5.4,6.6,7.1,6.8,7.3,8.4,10.9,14,17,18.3,19.3,21.7,20.5,22.9,23.1,25.1,27.8,29.2,30.3,31,34,35.7,37.7,38.3,40.9,40.4,42.3,44.4,45.8,49.9,52.2,55.5,58.4,62.6,64.7,65.5,71.2,78.9,84.5,90.3,98.1,115.6,130.8,148.5,160,164.5,165.9,165.4,188.3,225.9,245.5,255.6,274.8,312.7,329.6,349.9,357.8,401.7,431.7,444.6,475.5,510.5,551.5,598.2,650.7,692.2,708.8,"744.2"
"21","14","    Proprietors' income","B046RC",8.9,7,5.3,3.4,4,4.9,5.7,6.9,7.3,6.8,7.7,8.7,11.7,14.5,17.2,18.3,19.4,23.4,21.9,23.2,22.2,25.7,27.8,28.6,30,30.5,33.7,35.6,37.4,37.9,40.3,40,42,44.1,45.5,49.5,52.2,55.7,58.7,63.4,65.5,66.6,72.6,79.9,86.6,94.1,99.9,117.2,131.9,149.9,161.4,165.7,161.4,158.9,172.8,200.3,211.2,216.3,239.8,277.4,293.5,323.2,333,373.4,401.4,421.7,447.8,476,507.2,547.6,589.6,621.2,621.6,"630.5"
"22","15","    Inventory valuation adjustment","B179RC",0.1,0.8,0.6,0.3,-0.5,-0.1,-0.1,-0.1,0,0.2,-0.2,0,-0.6,-0.4,-0.2,-0.1,-0.1,-1.7,-1.5,-0.4,0.5,-1.1,-0.3,0.2,-0.2,0,-0.2,-0.5,-0.3,-0.1,0,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,0.7,1.2,-0.9,-1.6,0.9,"-0.9"
"23","16","    Capital consumption adjustment","B047RC",-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0,0,0,0,0.1,0.1,0.4,0.4,0.3,0.4,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.4,0.2,0.3,0.4,0.4,0.2,0,-0.1,-0.4,-0.4,-0.6,-0.9,-0.3,-0.2,-0.4,-0.7,-0.5,0,0.5,1.3,1.6,5.8,7,16,26,34.4,39.3,35.9,36.5,37.4,27.8,25,28.8,30.7,23.6,29.2,34.9,43.6,49.4,62,72.6,86.3,"114.5"
"24","17","Rental income of persons with capital consumption adjustment","A048RC",5.6,4.9,4,3.2,2.5,2.1,2.2,2.3,2.6,3.1,3.3,3.4,4,5,5.6,5.9,6.1,7,7,7.6,7.8,8.7,9.5,10.5,11.5,12.5,12.8,13.1,13.8,14.5,15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9,"143.9"
"25","18","  Rental income of persons","B049RC",6,5.3,4.3,3.2,2.5,2.3,2.3,2.5,2.8,3.4,3.6,3.8,4.5,5.6,6.2,6.6,7,8,8.4,9.3,9.5,10.4,11.4,12.5,13.5,14.4,14.8,15.3,15.9,16.5,17.3,18.3,19,19.9,20.5,20.6,21.4,22.4,23.2,23.4,24.3,24.6,26.1,27.7,30.1,31.7,32.3,33,34,38.9,44.5,54.9,66.1,68,65.9,68.8,70.3,63.7,68.9,79.1,80.2,87.2,96,111.4,133.6,157.8,165.4,177.4,178.3,190.3,206.8,206.6,204.4,"213.4"
"26","19","  Capital consumption adjustment","B050RC",-0.4,-0.4,-0.3,-0.1,-0.1,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.8,-0.9,-1,-1.4,-1.6,-1.6,-1.7,-1.9,-2,-2,-2,-2,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2,-2,-2.2,-2.5,-2.8,-3.3,-3.9,-4.3,-5,-6.1,-7,-8.7,-10.3,-11.5,-13.6,-16.5,-20,-23.6,-26.5,-28.5,-28.9,-29.4,-31.2,-31.5,-33.1,-35,-39.7,-38.1,-39.6,-48.1,-42.8,-47.5,-47.5,-47.6,-50,-51.7,-57.6,-60,-66.5,"-69.5"
"27","20","Corporate profits with inventory valuation and capital consumption adjustments","A051RC",10.6,7.3,2.8,-0.4,-0.3,2.3,3.8,5.9,6.7,4.6,6.2,9.5,15,20,24.5,24.6,20.1,17.4,23.5,30.8,28.6,35.4,40.4,38.4,38.7,37.9,48.5,47.4,47,42.4,53.7,52.3,53.5,61.6,67.6,74.8,86,92,89.6,96.5,93.7,81.6,95.1,109.8,123.9,114.5,133,160.6,190.9,217.2,222.5,198.5,219,201.2,254.1,309.8,322.4,300.7,346.6,405,395.7,408.6,431.2,453.1,510.5,573.2,668.8,754,833.8,777.4,805.8,788.1,731.6,"....."
"28","21","  Corporate profits with inventory valuation adjustment","A052RC",11.1,7.6,2.8,-0.4,-0.4,2.5,4,6.2,7.4,5.4,6.9,10.2,15.9,20.8,24.8,24.2,19.5,19.7,26,33.7,31.5,38.3,43.6,41.2,40.7,39,48.1,47.8,47.5,42.7,53.4,51.4,51.7,56.9,62,68.4,78.7,84.4,81.7,88.5,85.2,74,87.9,100.7,114.6,108.5,134.3,164.5,193.3,221.2,229.9,209.3,216.3,188,223.9,262,255.2,250.5,298.4,359.8,360.4,388.6,421.1,448.8,506.4,561,650.2,729.4,800.8,739.4,757.9,767.3,675.1,"....."
"29","22","    Profits before tax","A053RC",10.6,4.3,0.4,-1.5,1.7,3.1,4.2,6.9,7.5,4.4,7.6,10.4,18.3,22,25.6,24.5,20,24.9,31.9,35.9,29.6,43.2,44.8,40.2,41.7,39.3,49.9,50.5,49.1,43,53.7,51.5,51.5,56.9,61.9,68.9,80,86.5,83.3,92.2,91.1,80.6,92.4,107.3,134.2,146.8,144.8,178.6,209,244.9,270.1,251.4,240.9,195.5,231.4,266,255.2,243.4,314.6,381.9,376.7,401.5,416.1,451.6,510.4,573.4,668.5,726.3,792.4,721.1,762.1,782.3,670.2,"....."
"30","23","      Profits tax liability","A054RC",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.2,238.8,247.8,259.4,199.3,"....."
"31","24","      Profits after tax","A055RC",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4,46.2,54.7,65.5,84.9,95,93.9,114.4,136,161.4,182.1,166.6,159.8,132.4,154.1,172,158.7,136.9,187.5,244.8,235.3,260.9,282.6,308.4,345,386.7,457.5,502.7,555.2,482.3,514.3,522.9,470.9,"....."
"32","25","        Dividends","B056RC",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,76.2,83.6,91,97.7,106.3,112.2,129.6,155,165.6,178.4,185.5,203.1,234.9,254.2,297.7,335.2,348.7,328.4,376.1,409.6,"434.3"
"33","26","        Undistributed profits","B057RC",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.3,0.2,2.4,3.6,6.3,6.4,7,6.9,4.7,10.3,14.4,16.4,12.2,16.5,13.7,12.3,12.5,12.4,17.4,17.2,15.9,12.4,17.5,15.5,14.8,17.9,19.5,22.7,28.9,32.1,29.1,29.3,27.2,21.9,29.7,38.6,55,61.8,60.9,75.4,91.2,110.6,124.6,102.6,86,56.2,70.5,81,61,30.6,75.3,115.2,80.2,95.3,104.1,122.9,141.9,151.8,203.3,205,220,133.6,185.9,146.8,61.2,"....."
"34","27","    Inventory valuation adjustment","B058RC",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,8.4,18.3,-4.2,-15,5,"....."
"35","28","  Capital consumption adjustment","A059RC",-0.5,-0.3,0,0,0.1,-0.2,-0.2,-0.3,-0.7,-0.8,-0.7,-0.8,-0.9,-0.8,-0.3,0.4,0.7,-2.3,-2.5,-2.9,-2.9,-2.9,-3.2,-2.8,-2,-1.1,0.3,-0.4,-0.5,-0.3,0.3,1,1.7,4.6,5.6,6.4,7.2,7.6,7.9,8,8.5,7.6,7.3,9,9.4,5.9,-1.2,-4,-2.4,-4,-7.4,-10.8,2.7,13.3,30.2,47.7,67.2,50.3,48.2,45.3,35.3,19.9,10.2,4.3,4.1,12.2,18.6,24.6,32.9,38,47.9,20.8,56.5,"129.1"
"36","29","Net interest","B060RC",4.6,4.8,4.8,4.4,3.9,3.9,3.9,3.7,3.6,3.5,3.5,3.2,3.2,3.1,2.7,2.3,2.1,1.8,2.4,2.4,2.6,3,3.5,3.8,4.4,5.3,6,6.6,7.7,9.4,9.7,10.7,12.4,14.1,15.2,17.3,19.7,22.6,25.4,27.2,32.2,38.4,42.6,46.2,53.9,68.8,76.6,80.8,95.7,114.5,144.2,183.9,226.5,256.3,267.2,309.6,326.7,343.6,361.5,389.4,443.1,452.4,429.8,399.5,374.3,380.5,389.8,386.3,423.9,511.9,526.6,611.5,649.8,"682.4"
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Corporate profits after tax with inventory valuation and capital consumption adjustments","A551RC",9.2,6.4,2.3,-0.8,-0.8,1.5,2.8,4.5,5.2,3.5,4.8,6.6,7.3,8.6,10.4,11.7,9.4,8.3,12.2,18.4,18.4,17.5,17.8,19,18.4,20.3,26.4,25.4,25.6,23.4,30,29.6,30.7,37.6,41.4,46.8,55.1,58.3,56.9,57.2,54,47.3,57.4,67.9,74.7,62.7,82.1,96.4,117.9,133.7,134.5,113.7,137.8,138.2,176.9,215.7,225.9,194.2,219.5,267.9,254.2,268,297.7,309.9,345.1,386.5,457.8,530.4,596.6,538.6,558,528.7,532.3,"....."
"39","31","  Net cash flow with inventory valuation and capital consumption adjustments","A904RC",8.5,5.9,2.8,0.8,1,2.9,4,4.1,5.1,5.1,5.6,7.4,8.3,10.5,12,13.2,11,10.1,14.8,21.8,22.5,20.8,23.3,25.3,25.3,27.6,33.6,33.9,35.7,34.6,41.2,40.9,42,48.7,52.4,57.4,65.7,71.4,72.5,74.7,75.4,73.4,87.7,102,111.6,107.9,143.1,161.8,190.6,217.4,233.4,230.7,274.2,295.4,337.7,384.9,409.1,390,428.1,482.5,469.8,493.5,530.5,552.3,590.5,634.3,715.7,776.1,842.9,810,895,873.7,911.8,"....."
"40","32","    Undistributed profits with inventory valuation and capital consumption adjustments","A127RC",3.4,1,-1.8,-3.3,-2.9,-1,0,0,0.6,0.4,1,2.6,2.9,4.4,6,7,4.8,2.7,5.9,11.4,11.1,8.6,9.3,10.4,9.5,11,16,14.1,13.8,11.9,17.5,16.3,16.8,22.6,25.2,28.6,34.9,37.6,35.4,33.6,29.8,23,32.4,41.1,44.8,29.5,49.1,57.3,73.1,82.9,77,49.6,64.1,61.9,93.2,124.7,128.3,88,107.3,138.3,99.2,102.4,119.2,124.4,142,151.6,203.6,232.7,261.3,189.9,229.6,152.6,122.7,"....."
"41","33","    Consumption of fixed capital","A438RC",5,4.9,4.6,4.1,3.8,4,4,4.1,4.5,4.7,4.6,4.8,5.4,6.2,6.1,6.1,6.2,7.5,8.9,10.4,11.4,12.2,14,14.9,15.8,16.6,17.6,19.8,21.9,22.8,23.7,24.7,25.2,26.2,27.2,28.7,30.8,33.7,37.1,41.1,45.6,50.5,55.4,60.9,66.8,78.5,94,104.5,117.5,134.5,156.4,181.1,210.1,233.4,244.4,260.2,280.9,302.1,320.8,344.3,370.6,391.1,411.2,427.9,448.5,482.7,512.1,543.5,581.5,620.2,665.5,721.1,789.1,"827.4"
"42","34","  Less: Inventory valuation adjustment","B058RC",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,8.4,18.3,-4.2,-15,5,"....."
"43","35","  Equals: Net cash flow","A903RC",8,2.6,0.4,-0.3,3.1,3.6,4.2,4.8,5.1,4.1,6.4,7.6,10.8,11.7,12.8,13.5,11.6,15.4,20.7,24,20.6,25.8,24.5,24.4,26.3,27.9,35.3,36.6,37.3,34.9,41.5,41.1,41.7,48.7,52.4,57.8,66.9,73.5,74.1,78.4,81.2,80,92.3,108.6,131.1,146.2,153.7,175.9,206.3,241.1,273.6,272.8,298.8,302.9,345.1,388.9,409.1,383,444.4,504.7,486.2,506.4,525.5,555.1,594.5,646.7,734,773.1,834.4,791.7,899.3,888.7,906.8,"....."
