"","Table 7#5# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","12","    Video and audio goods, including musical instruments, and computer goods (91)","BRADRA",0.29,0.34,0.25,0.19,0.15,0.17,0.18,0.25,0.28,0.26,0.33,0.39,0.46,0.4,0.25,0.18,0.2,0.64,0.65,0.64,0.7,1.01,0.94,1.08,1.23,1.38,1.53,1.56,1.45,1.41,1.6,1.59,1.71,1.87,2.08,2.46,3.03,3.93,4.46,4.83,5.06,5.38,5.58,6.26,7.04,7.39,7.97,8.66,9.22,9.92,10.84,11.27,11.88,12.43,16.17,19.03,22.57,28.16,32.13,36.76,38.97,41.22,45.24,50.43,59.58,71.35,84.11,100,121.29,151.67,190.89,231.82,264.34
"21","13","      Video and audio goods, including musical instruments (92)","BVAMRA",0.63,0.75,0.55,0.42,0.34,0.37,0.41,0.55,0.62,0.56,0.73,0.85,1.01,0.88,0.56,0.4,0.44,1.41,1.43,1.4,1.53,2.22,2.08,2.38,2.72,3.03,3.36,3.44,3.19,3.11,3.51,3.5,3.75,4.12,4.58,5.42,6.68,8.64,9.82,10.62,11.13,11.85,12.28,13.79,15.5,16.27,17.53,19.06,20.26,21.78,23.73,24.47,25.51,25.34,30.63,36.01,43.31,50.18,56.04,61.56,64.86,66.09,66.45,70.47,76.94,87.18,95.07,100,106.97,119.48,138.7,160.65,175.44
"22","14","      Computers, peripherals, and software (93)","BCPTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.01,0.04,0.09,0.38,1.15,1.37,1.4,3.37,4.44,6.43,7.03,8.99,14.27,19.1,29.7,42.27,61.92,100,161.8,258.55,385.97,517.71,647.22
"23","15","    Other durable house furnishings (32)","BODHRA",11.3,9.62,9.12,7.45,6.1,6.7,7.25,9.55,9.28,8.58,9.62,10.07,11.47,10.69,10.33,9.36,9.48,13.59,14.33,15.79,15.66,17.44,17.26,16.18,15.82,14.87,16.84,17.66,17.98,17.82,19.27,19.08,19.42,20.95,23.07,26.21,28.44,30.9,31.77,33.82,33.58,32.99,33.72,36.8,41.53,43.09,41.93,45.38,49.73,53.18,56.22,54.27,53.14,51.54,56.86,63.01,65.5,72.39,78.94,81.75,81.29,79.33,75.44,77.67,82.52,89.62,94.62,100,105.51,112.02,122.55,130.38,134.49
"24","16","  Other","B167RA",4.49,4.04,3.28,2.48,2.14,2.58,2.96,3.36,4.06,3.94,4.2,4.49,5.28,5.53,6.47,6.63,7.51,9.8,9.33,9.4,8.89,9.41,9.63,10.19,10.66,11.18,12.34,13.25,13.52,13.75,14.52,14.35,14.3,15.27,16.24,18.11,20.04,23.86,24.93,27.16,28.38,29.8,30.29,34.18,38.36,39.53,41.07,44.26,47.46,50.61,52.6,48.7,49.33,48.56,51.36,58.74,61.62,67.78,72.12,76.05,77.6,78.46,75.09,76.34,81.69,87.3,93.31,100,106.08,114.98,126.97,137.54,142.19
"25","17","    Ophthalmic products and orthopedic appliances (46)","BOPTRA",4.28,4.38,3.86,3.22,3.33,4.48,4.73,5.08,5.96,5.67,6.14,6.59,8,9.03,10.4,11.03,11.42,12.68,12.34,12.77,13.03,13.83,14.82,15.56,16.42,16.36,16.04,17.49,17.31,16.87,16.13,15.35,15.03,18.05,18.91,20.17,21.5,23.36,20.87,23.46,26.03,28.23,26.96,29.65,31.57,31.93,32.93,32.97,33.09,34.25,35.91,35.25,34.71,35.63,39.2,45.39,51.28,57.84,63.71,74.87,79.62,91.91,81.27,80.91,81.97,89.2,91.15,100,107.38,113.52,117.55,121.48,110.69
"26","18","    Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","BWHGRA",1.7,1.33,1.29,1,0.9,1.13,1.33,1.76,2.09,2.02,2.24,2.41,2.95,2.56,2.47,2.57,3.09,5.91,6.43,6.33,5.49,5.9,5.6,6.17,6.86,7.5,9.03,10.05,10.75,11.19,12.5,12.13,11.88,12.21,13.06,15.08,17.38,21.53,23.75,26.63,28.15,28.44,29.41,38,42.65,42.11,44.02,47.85,51.35,54.29,59.22,52.38,52.22,50.28,51.18,60.73,62.64,67.75,74.07,77.38,79.81,78.53,75.83,76.24,82.28,87.61,94.85,100,106.24,115.99,128.93,143.2,158.99
"27","19","    Jewelry and watches (18)","BJRYRA",5.25,4.85,3.11,2.55,1.74,2.07,2.53,2.71,3.51,3.64,3.87,4.2,4.97,5.35,6.75,6.37,7.34,9.15,8.39,8.54,8.11,8.49,8.54,9.31,9.49,10.3,11.33,11.7,11.91,12.28,12.74,12.62,12.43,13.35,14.02,14.83,16.98,21.12,22.58,24.21,24.04,24.1,25.48,26.96,32.73,36.01,38.89,45.77,50.36,53.61,51.99,47.81,49.21,49.11,53.77,60.67,65.31,74.77,74.99,76.7,76.24,74.66,72.19,74.77,81.08,85.6,91.1,100,106.49,118.71,133.27,144.12,143.91
"28","20","    Books and maps (87)","BBKSRA",13.32,11.79,11.86,7.47,7.82,8.57,9.51,10.71,12.31,11.02,11.17,11.61,12.49,14.21,16.62,19.88,22.12,24.17,20.16,20.28,20.42,21.64,24.34,23.26,23.5,22.58,23.84,25.82,24.9,24.33,25.48,26.51,27.97,29.5,31.91,37.44,37.54,40.6,39.69,41.02,44.17,52.93,50.87,47.97,48.33,49.57,46.72,41.39,43.13,48.29,51.31,52.68,54.2,53.28,55.7,60.47,59.85,61.76,68.89,72.97,74.49,75.77,74.62,75.95,81.37,88.28,96.03,100,104.27,108.81,121.31,130.62,136.82
"29","21","Nondurable goods","B004RA",17.27,16.46,16.38,15.04,14.82,16.08,17.05,19.05,19.73,20.01,21.04,21.98,23.46,23.87,24.67,25.64,27.49,29,28.21,28.3,28.74,29.64,30.42,31.63,32.63,33.04,34.64,35.82,36.48,36.83,38.35,38.93,39.64,40.89,41.75,43.8,46.12,48.65,49.42,51.67,53.05,54.32,55.3,57.73,59.62,58.42,59.28,62.17,63.67,66.05,67.81,67.71,68.51,69.17,71.47,74.31,76.33,79.07,80.97,83.55,85.83,87.01,86.65,88.29,90.87,94.35,97.14,100,102.91,107.14,112.14,116.5,118.79
"30","22","  Food","B168RA",19.98,19.64,19.73,18.51,18.79,20.73,21.89,24.9,26.08,26.57,27.32,28.57,30.05,30.72,31.53,33.81,36.35,38.06,36.68,36.21,36.46,37.14,38.17,39.42,40.91,41.69,43.46,44.85,45.76,45.76,47.37,47.73,48.27,48.88,49.43,51.4,54.26,56.51,57.23,60.01,61.55,63.46,64.05,66.1,66.3,65.26,66.88,70.35,71.7,72.44,73.87,74.49,74.57,75.77,77.95,79.63,81.58,83.42,84.56,87.88,89.52,91.92,91.79,92.32,94.81,97.32,98.86,100,101.08,104.25,107.75,111.84,112.85
"31","23","    Food purchased for off-premise consumption (3)","BOPFRA",22.51,21.9,21.62,19.89,20.7,23.02,24.53,28.18,29.04,29.68,30.03,31.45,32.7,32.58,31.49,33.14,35.01,39.5,39.81,39.58,39.94,40.87,41.18,42.41,44.22,45.5,47.83,49.51,50.86,51.14,53.35,53.87,54.66,55.14,55.64,57.73,60.79,63.25,64.75,67.68,69.59,71.65,72.57,74.01,73.01,71.64,73.01,76.63,77.89,77.65,78.85,79.75,79.64,81.16,83.36,85.18,87.89,89.58,89.21,91.64,92.87,94.9,94.75,94.56,96.13,98.35,99.37,100,100.19,103.24,107.49,111.18,111.94
"32","24","    Purchased meals and beverages (4)","BPMBRA",10.46,10.73,11.39,11.23,9.97,11.37,12.23,13.99,15.98,16.17,17.71,18.7,20.51,21.8,24.45,26.71,30.31,30.17,26.82,26.16,26.55,26.84,28.85,30.18,31.44,31.41,32.35,33.37,33.69,33.22,34.06,34.37,34.35,35.49,36.29,38.24,40.91,42.67,41.8,44.65,45.69,47.55,47.83,51.15,53.72,52.8,54.91,58.07,59.8,62.44,64.31,64.4,64.77,65.5,67.93,69.64,70.54,72.94,76.87,81.67,84.01,87.09,87.03,88.71,92.68,95.68,98.03,100,102.49,105.91,108.28,113.06,114.45
"33","25","    Food furnished to employees (including military) and food produced and consumed on farms (5+6)","B483RA",157.71,157.42,165.38,163.81,175.01,170.09,160.69,165.7,167.83,169.05,174.17,174.65,184.13,214.77,275.79,316.83,338.38,241.88,193.24,183.13,175.43,173.31,194.09,198.72,191.18,184.37,177.71,173.17,164.17,157.9,146.33,137.28,139.08,133.26,129.86,127.01,125.91,133.83,135.33,129.09,124.79,120.34,111.15,109.49,107.87,122.17,125.22,131.9,127.82,126.88,128.74,129.86,132.21,130.83,123.97,118.07,111.59,103.88,94.02,95.19,95.38,95.18,94.22,94.58,96.05,97.97,99.61,100,101.19,102.34,104.06,105.61,107.28
"34","26","    Addenda: Food excluding alcoholic beverages (8)","BFXARA",25.32,24.89,25.01,23.45,22.44,22.15,22.53,25.12,26.14,27.13,27.85,29.23,30.48,30.89,31.65,34.22,36.74,38.23,36.54,36.47,36.85,37.34,38.47,39.99,41.48,42.55,44.41,45.86,46.94,46.91,48.58,49.05,49.7,50.1,50.58,52.63,55.7,57.94,58.96,61.72,63.05,64.68,64.92,66.66,66.29,64.86,66.54,70.13,71.11,71.67,72.81,73.2,73.2,74.49,76.79,78.75,80.71,82.65,84.04,87.53,89.12,91.15,91.69,92.57,95.14,97.59,98.95,100,100.92,103.9,107.53,111.56,112.49
"35","27","            Alcoholic beverages purchased for off-premise consumption (9)","BAOPRA",NA,NA,NA,NA,1.57,14.04,19.21,24.63,25.51,23.2,23.52,24.13,26.32,28.05,28.06,29.34,31.13,33.33,33.96,30.01,29.47,31,29.91,29.7,30.75,29.85,30.69,31.39,30.9,30.99,32.77,32.95,33.21,35.25,36.33,37.78,39.15,41.32,42.48,46.31,50.61,54.82,59.63,63.37,66.99,69.59,70.85,73.79,78.27,80.02,83.54,86.25,87.59,89.86,91.93,91.51,95.12,97.08,95.59,96.28,98.13,102.63,94.8,89.38,91.66,95.84,98.81,100,101.89,108.23,111.43,116.52,118.55
"36","28","            Other alcoholic beverages (10)","BAPMRA",NA,NA,NA,NA,12.56,14.73,16.74,19.85,24.46,24.71,26.95,27.77,30.69,32.64,36.53,36.49,41.27,44.98,43.59,44.92,44.78,46.86,51.48,50.94,53.48,53.09,55.3,57.39,58.71,58.97,58.84,57.38,56.53,57.5,58.15,59.64,62.05,64.63,58.69,59.27,58.66,60.72,58.93,63.06,67.32,66.74,67.91,70.05,73.22,76.17,80,81.85,81.48,79.05,78.63,78.22,77.05,76.93,77.26,81.26,83.58,89.74,89.01,92.31,93.59,94.82,97.4,100,102.75,104.86,106.4,110.19,111.34
"37","29","  Clothing and shoes","B169RA",14.68,13.2,13,11.56,10.37,10.94,11.84,12.9,12.78,12.96,13.99,14.44,15.54,16.21,17.69,17.12,17.71,18.15,17.34,17.5,17.57,18.01,17.94,18.93,19.13,19.17,20.12,20.65,20.51,20.71,21.76,21.95,22.36,23.37,23.79,25.67,26.73,28.53,28.69,29.9,30.44,30.06,31.5,33.62,35.97,35.47,36.68,38.41,40.49,44.53,46.85,47.97,50.9,51.69,55.52,60.23,63.04,68.08,70.52,72.64,76.79,76.27,76.51,80.76,84.51,89.56,94.48,100,105.05,112.32,120.69,127.39,130.61
"38","30","    Shoes (12)","BSHURA",24.9,21.67,22.1,22.34,20.13,22.4,22.03,24.24,25.81,25.59,25.28,25.75,27.76,29.32,27.66,26.76,29.32,32.73,29.88,28.97,29.63,31.31,27.87,27.94,28.32,27.8,29.97,29.83,29.3,30.87,31.38,31.41,31.47,32.36,32.36,34.84,35.55,37.27,37.63,39.75,41.28,39.14,39.68,42,44.68,42.31,42.47,43.67,46.07,51.3,54.25,54.97,58.5,56.91,60.34,63.49,66.95,72.18,74.85,76.37,81.17,82.53,80.26,82.39,84.94,90.34,94.73,100,103.41,110.57,119.42,125.68,128.46
"39","31","    Women's and children's clothing and accessories except shoes (14)","BWCLRA",11.91,10.96,10.75,9.15,7.93,8.27,9.27,9.75,9.43,9.9,10.97,11.45,11.78,12.06,13.76,13.2,13.32,14.02,13.68,14.02,13.89,13.91,14.09,15.47,15.89,16,16.77,17.32,17.44,17.67,18.67,18.96,19.46,20.57,21.13,22.78,23.71,25.24,24.94,25.93,26.35,26.41,28.08,29.65,31.73,31.69,33.06,34.88,36.71,40.57,42.86,44.32,47.63,49.42,53.77,59.25,62.3,68.16,70.13,72.05,76.35,74.83,75.49,80.3,84.19,88.55,93.94,100,105.36,113.19,122.53,129.99,132.86
"40","32","    Men's and boys' clothing and accessories except shoes (15+16)","B484RA",16.56,14.61,14.22,12.52,11.83,12.3,13.31,15.19,14.99,14.63,15.93,16.29,18.72,19.94,21.77,21.34,22.43,21.14,19.97,20,20.37,21.36,21.92,22.24,21.85,21.93,22.79,23.48,22.89,22.42,23.76,23.8,24.13,24.94,25.2,27.26,28.7,31.1,32.2,33.46,33.78,33.23,34.56,37.75,40.51,39.83,41.14,42.89,45.34,49.09,51.14,51.73,53.54,53.51,56.5,60.48,62.49,65.87,69.1,71.88,75.43,75.9,76.57,80.79,84.85,91.02,95.32,100,105.28,111.64,118.11,123.73,127.75
"41","33","  Gasoline, fuel oil, and other energy goods","A173RA",19.48,19.37,18.92,17.74,18.15,19.08,20.05,21.67,22.54,22.28,23.89,25.48,27.55,23.71,19.38,19.5,22.79,32.07,33.98,35.29,35.35,37.15,39.12,40.77,41.81,42.98,46.39,48.37,49.56,51.79,53.04,53.8,53.58,55.28,57.22,60.14,62.98,66.42,68.1,70.99,74.05,76.84,79.47,83.47,88.3,81.17,82.88,87.42,89.03,90.55,88.37,80.65,79.64,79.67,81.24,83.41,84.97,88.98,90.93,92.82,93.58,90.31,87.57,89.96,92.64,94.78,97.29,100,102.41,104.54,108.11,107.11,108.21
"42","34","    Gasoline and oil (75)","B170RA",9.61,9.7,10.1,9.31,9.33,9.94,10.54,11.39,12.26,12.61,13.44,14.25,15.89,11.98,7.6,7.84,10.33,18.74,19.94,21.21,23.07,23.92,26,28.15,29.7,30.64,33.31,35.33,36.69,38.43,40.4,41.79,42.22,44.01,45.36,47.84,50.1,53.23,54.96,58.79,62.74,66.62,69.85,72.69,76.47,72.71,74.87,77.87,80.25,82.1,81,76.38,77.54,78.5,80.26,82.78,84.4,88.5,90.87,92.57,93.72,91.11,88.13,90.57,92.97,94.59,96.83,100,103.19,106.15,109.89,109.29,111.75
"43","35","    Fuel oil and coal (40)","B171RA",134.54,131.45,119.3,114.17,120.1,124.11,128.76,139.26,137.87,127.93,138.6,149.21,153.8,158.07,161.04,159.41,170.25,183.12,192.87,193.81,170.97,183.72,183.31,178.15,172.17,175.53,186.54,186.92,185.34,192.39,183.79,176.01,167.57,167.18,175.43,182.31,190.86,196.4,196.49,186.04,176.29,164.02,158.43,174.2,189.13,149.24,146.46,164.51,159.24,158,146.81,113.5,95.23,88.35,88.48,88.12,89.17,92.47,91.26,94.67,92.38,83.88,83.07,85.03,89.95,96.28,101.03,100,96.18,91.96,94.11,90.05,81.16
"44","36","  Other","B172RA",10.03,9.16,9.06,8.05,7.93,8.68,9.1,10.07,10.61,10.73,11.7,12.19,13.47,14.35,15.56,16.26,17.63,17.67,17.56,18.27,19.57,21,21.94,22.92,23.81,23.67,24.85,25.96,26.89,27.43,29.1,30.41,32,34.31,35.81,37.45,39.71,42.87,44.07,45.95,47.27,48.8,49.14,51.71,55.16,55.04,53.19,55.22,56.04,60.09,63.55,64.61,65.97,65.62,67.13,71.06,72.79,74.85,77.84,79.51,82.07,83.8,83.4,84.98,86.85,91.54,95.42,100,105.4,110.51,116.9,122.36,127.12
