"","Table 8#3# Contributions to Percent Change in Real Personal Cons","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","2","  Durable goods","B003RZ",-2.08,-1.48,-2.27,-0.15,1.17,1.79,2.08,0.55,-1.93,1.67,1.52,1.76,-4.76,-0.96,-0.58,0.8,5.9,2.06,0.83,1.08,3.08,-1.42,-0.38,1.64,-0.05,2.93,-0.61,0.13,-1.12,1.52,0.27,-0.49,1.42,1.25,1.24,1.72,1.19,0.22,1.52,0.51,-0.45,1.31,1.73,1.45,-0.98,0,1.65,1.27,0.75,-0.05,-1.05,0.16,0,1.7,1.78,1.28,1.22,0.24,0.77,0.28,-0.12,-0.8,0.58,0.91,0.87,0.55,0.66,0.77,1.21,1.37,0.97,0.71,0.87
"12","3","    Motor vehicles and parts","A165RZ",-1.32,-0.72,-1,0.38,0.58,1.05,0.82,0.06,-1.37,0.95,0.87,0.56,-3.78,0.02,-0.06,0.17,2.18,1.23,0.53,1.29,1.72,-1.1,-0.59,1.24,-0.27,1.99,-1.03,0.27,-1.06,0.99,0.36,-0.58,0.98,0.74,0.37,1,0.13,-0.15,0.96,0.26,-0.62,1.06,0.89,0.6,-1.11,0.03,1.12,0.66,0.28,-0.43,-0.78,0.12,0.13,0.98,0.94,0.76,0.41,-0.25,0.32,-0.02,-0.18,-0.75,0.3,0.35,0.27,-0.03,0.06,0.16,0.49,0.5,0.26,0.35,0.29
"13","4","    Furniture and household equipment","A166RZ",-0.6,-0.46,-0.91,-0.36,0.37,0.57,1.1,0.23,-0.52,0.62,0.55,0.94,-1.05,-1.28,-0.57,0.37,3.12,0.94,0.28,-0.11,1.25,-0.36,0.11,0.32,0.13,0.77,0.29,-0.18,-0.09,0.43,-0.07,0.1,0.33,0.4,0.68,0.53,0.71,0.27,0.38,0.15,0.06,0.22,0.57,0.59,0.06,-0.13,0.35,0.44,0.3,0.29,-0.09,0.01,-0.1,0.6,0.55,0.41,0.58,0.35,0.33,0.25,0.03,0.05,0.24,0.41,0.45,0.43,0.44,0.47,0.53,0.62,0.51,0.28,0.43
"14","5","    Other","A167RZ",-0.16,-0.31,-0.35,-0.17,0.22,0.17,0.17,0.26,-0.04,0.09,0.1,0.27,0.08,0.29,0.05,0.26,0.6,-0.11,0.02,-0.1,0.1,0.04,0.1,0.08,0.09,0.18,0.13,0.04,0.03,0.1,-0.02,-0.01,0.11,0.11,0.2,0.19,0.35,0.09,0.18,0.09,0.11,0.03,0.27,0.26,0.07,0.09,0.18,0.17,0.16,0.09,-0.18,0.03,-0.03,0.12,0.3,0.11,0.22,0.15,0.13,0.05,0.03,-0.1,0.04,0.15,0.15,0.16,0.16,0.14,0.19,0.24,0.2,0.08,0.15
"15","6","  Nondurable goods","B004RZ",-2.27,-0.23,-3.84,-0.72,4.26,3.12,6.14,1.89,0.73,2.73,2.33,3.54,0.94,1.92,2.32,4.27,3.33,-1.57,0.18,0.83,1.66,1.35,2.07,1.63,0.64,2.4,1.64,0.88,0.46,1.96,0.7,0.85,1.43,0.94,2.15,2.31,2.37,0.68,1.95,1.12,1,0.75,1.79,1.32,-0.83,0.61,1.98,0.96,1.45,1.03,-0.06,0.47,0.37,1.25,1.43,0.96,1.21,0.79,1.04,0.88,0.45,-0.14,0.6,0.91,1.17,0.9,0.89,0.87,1.21,1.36,1.15,0.58,0.9
"16","7","    Food","A168RZ",-0.42,0.12,-1.46,0.36,2.68,1.59,3.97,1.39,0.56,0.82,1.3,1.49,0.67,0.86,2.37,2.53,1.63,-1.21,-0.42,0.21,0.55,0.78,0.96,1.08,0.54,1.17,0.84,0.53,0,0.92,0.19,0.28,0.31,0.27,0.92,1.27,0.95,0.29,1.07,0.56,0.68,0.21,0.68,0.07,-0.34,0.54,1.11,0.4,0.21,0.4,0.17,0.02,0.31,0.55,0.4,0.43,0.39,0.23,0.65,0.31,0.44,-0.02,0.09,0.43,0.41,0.24,0.18,0.16,0.46,0.49,0.55,0.13,0.23
"17","8","    Clothing and shoes","A169RZ",-1.22,-0.17,-1.22,-1.1,0.58,0.89,0.96,-0.1,0.15,0.83,0.35,0.81,0.48,1.15,-0.45,0.47,0.34,-0.55,0.1,0.04,0.27,-0.04,0.55,0.11,0.02,0.46,0.24,-0.06,0.08,0.42,0.07,0.15,0.36,0.14,0.61,0.32,0.52,0.04,0.33,0.14,-0.09,0.35,0.49,0.51,-0.1,0.24,0.32,0.36,0.64,0.33,0.15,0.36,0.09,0.42,0.48,0.26,0.44,0.2,0.17,0.31,-0.04,0.02,0.29,0.24,0.3,0.27,0.29,0.25,0.34,0.36,0.26,0.12,0.25
"18","9","    Gasoline, fuel oil, and other energy goods","A173RZ",-0.03,-0.11,-0.31,0.13,0.29,0.28,0.44,0.21,-0.06,0.39,0.35,0.43,-0.72,-0.79,0.02,0.52,1.34,0.24,0.17,0.01,0.24,0.24,0.19,0.12,0.13,0.38,0.21,0.12,0.22,0.12,0.07,-0.02,0.15,0.16,0.22,0.2,0.24,0.11,0.18,0.18,0.15,0.14,0.2,0.23,-0.37,0.1,0.25,0.08,0.08,-0.12,-0.5,-0.07,0,0.1,0.12,0.08,0.17,0.07,0.06,0.02,-0.11,-0.09,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.08,-0.02,0.03,0.09
"19","10","      Gasoline and oil","C170RZ",0.02,0.1,-0.22,0.01,0.21,0.19,0.25,0.24,0.09,0.22,0.19,0.37,-0.78,-0.83,0.04,0.4,1.2,0.15,0.16,0.24,0.11,0.24,0.24,0.17,0.1,0.28,0.2,0.13,0.17,0.18,0.12,0.04,0.15,0.11,0.18,0.16,0.21,0.11,0.23,0.22,0.21,0.16,0.13,0.17,-0.18,0.11,0.15,0.11,0.08,-0.05,-0.27,0.08,0.06,0.1,0.12,0.07,0.15,0.07,0.05,0.03,-0.08,-0.09,0.07,0.06,0.04,0.05,0.08,0.07,0.06,0.07,-0.01,0.05,0.09
"20","11","      Fuel oil and coal","A171RZ",-0.05,-0.21,-0.09,0.12,0.08,0.09,0.19,-0.02,-0.15,0.17,0.16,0.07,0.06,0.04,-0.02,0.13,0.14,0.09,0.01,-0.23,0.13,0,-0.05,-0.05,0.03,0.09,0,-0.01,0.05,-0.06,-0.05,-0.06,0,0.05,0.04,0.05,0.03,0,-0.05,-0.04,-0.05,-0.02,0.06,0.06,-0.19,-0.02,0.1,-0.03,-0.01,-0.06,-0.23,-0.15,-0.06,0,0,0.01,0.02,-0.01,0.01,-0.01,-0.03,0,0.01,0.02,0.02,0.01,0,-0.01,-0.01,0.01,-0.01,-0.03,0
"21","12","    Other","A172RZ",-0.6,-0.08,-0.84,-0.11,0.71,0.36,0.78,0.38,0.09,0.68,0.33,0.81,0.51,0.7,0.39,0.75,0.02,-0.05,0.32,0.56,0.6,0.37,0.37,0.32,-0.05,0.4,0.35,0.29,0.16,0.5,0.37,0.43,0.61,0.38,0.4,0.51,0.67,0.24,0.37,0.24,0.27,0.06,0.42,0.52,-0.02,-0.27,0.29,0.11,0.52,0.42,0.12,0.16,-0.04,0.17,0.43,0.18,0.21,0.29,0.16,0.24,0.16,-0.04,0.14,0.16,0.39,0.31,0.35,0.4,0.37,0.44,0.36,0.3,0.33
"22","13","  Services","B005RZ",-0.98,-1.3,-2.83,-1.44,1.59,1.25,1.95,1.29,-0.43,1.19,1.35,1.85,1.45,1.78,1.16,1.18,3.11,1.55,1.21,0.82,1.67,1.56,1.49,1.53,1.47,1.91,1.9,1.44,1.47,2.09,1.75,1.67,2.08,1.93,2.6,2.29,2.16,2.09,2.24,2.06,1.78,1.73,2.52,2.15,0.98,1.55,2.19,2.06,2.24,1.53,0.79,0.73,0.85,2.51,2.18,2.71,1.77,2.29,2.22,1.51,1.51,0.75,1.67,1.54,1.73,1.55,1.64,1.92,2.37,2.2,2.23,1.17,1.3
"23","14","    Housing","A174RZ",-0.19,-0.18,-0.35,-0.35,0.9,0.13,0.24,0.23,0.21,0.35,0.44,0.75,0.6,0.47,0.44,0.25,0.88,0.84,0.55,0.66,0.78,0.82,0.78,0.68,0.64,0.69,0.66,0.69,0.64,0.76,0.74,0.69,0.84,0.69,0.71,0.81,0.66,0.64,0.7,0.76,0.56,0.63,0.77,0.72,0.72,0.41,0.43,0.35,0.68,0.56,0.41,0.32,0.05,0.32,0.58,0.54,0.4,0.46,0.44,0.38,0.36,0.3,0.21,0.19,0.43,0.29,0.17,0.28,0.4,0.48,0.29,0.25,0.24
"24","15","    Household operation","A186RZ",0.01,-0.2,-0.46,-0.27,0.41,0.26,0.38,0.31,-0.07,0.32,0.32,0.16,0.32,-0.05,0.17,0.24,0.17,0.33,0.22,0.18,0.42,0.31,0.15,0.24,0.2,0.52,0.38,0.22,0.2,0.25,0.29,0.22,0.3,0.26,0.3,0.31,0.32,0.29,0.25,0.3,0.21,0.1,0.31,0.3,0.06,0.29,0.28,0.35,0.33,0.18,0.15,-0.06,0.05,0.22,0.17,0.27,0.14,0.3,0.27,0.22,0.06,0.07,0.11,0.33,0.23,0.22,0.26,0.19,0.29,0.26,0.31,0.07,0
"25","16","      Electricity and gas","A175RZ",0.12,0.07,0,-0.09,0.1,0.11,0.12,0.12,0.07,0.1,0.16,0.09,0.13,0.07,0.1,0.11,0.2,0.18,0.15,0.13,0.22,0.2,0.16,0.14,0.19,0.16,0.19,0.14,0.13,0.14,0.13,0.13,0.18,0.12,0.14,0.12,0.13,0.13,0.14,0.14,0.11,0.07,0.14,0.07,0.03,0.15,0.1,0.14,0.13,0.02,0.09,-0.06,0.04,0.11,0.02,0.09,-0.04,0.11,0.15,0.06,-0.05,0.08,-0.01,0.15,0.01,0.05,0.07,-0.02,0.06,0.02,0.08,-0.04,-0.01
"26","17","      Other household operation","A176RZ",-0.11,-0.27,-0.47,-0.18,0.31,0.15,0.26,0.19,-0.13,0.22,0.16,0.07,0.19,-0.12,0.07,0.13,-0.03,0.15,0.07,0.05,0.2,0.11,-0.01,0.1,0.01,0.36,0.19,0.08,0.07,0.11,0.15,0.09,0.12,0.14,0.16,0.19,0.18,0.16,0.11,0.16,0.1,0.03,0.17,0.23,0.03,0.14,0.18,0.21,0.2,0.16,0.06,0,0,0.12,0.15,0.18,0.17,0.19,0.12,0.16,0.11,-0.01,0.12,0.18,0.21,0.17,0.19,0.22,0.23,0.24,0.23,0.12,0.01
"27","18","    Transportation","A177RZ",-0.38,-0.36,-0.37,-0.01,0.18,0.06,0.37,0.17,-0.15,0.22,0.21,0.35,0.19,0.66,0.29,0.27,0.64,-0.03,0,-0.14,-0.03,0.15,0.03,0.11,-0.04,0.1,0.18,0.06,-0.07,0.13,0.11,0.03,0.13,0.14,0.18,0.15,0.21,0.2,0.21,0.19,0.11,0.14,0.24,0.1,0.02,0.06,0.15,0.26,0.11,0.12,-0.19,-0.12,-0.05,0.23,0.34,0.33,0.14,0.14,0.19,0.04,-0.03,-0.19,0.14,0.12,0.26,0.24,0.26,0.23,0.16,0.2,0.11,-0.03,-0.01
"28","19","    Medical care","A494RZ",-0.07,-0.05,-0.2,-0.27,0.09,0.02,0.21,0.09,-0.05,0.19,0.1,0.14,0.14,0.03,0.23,0.08,0.51,0.38,0.33,0.14,0.22,0.2,0.2,0.21,0.26,0.16,0.28,0.25,0.31,0.37,0.16,0.2,0.45,0.35,0.65,0.29,0.3,0.23,0.54,0.52,0.43,0.55,0.55,0.59,0.33,0.47,0.44,0.46,0.41,0.4,0.35,0.52,0.15,0.47,0.35,0.47,0.48,0.62,0.57,0.37,0.65,0.47,0.64,0.21,0.16,0.29,0.33,0.4,0.41,0.32,0.42,0.64,0.66
"29","20","    Recreation","A490RZ",-0.02,-0.06,-0.49,-0.11,0.19,0.14,0.22,0.15,-0.13,0.07,0.19,0.13,0.18,0.16,-0.04,0.15,0.39,-0.13,-0.06,-0.04,0,0.02,0.03,0.02,0.04,0.09,0.1,-0.06,-0.01,0.12,0.11,0.1,0.11,0.1,0.08,0.06,0.1,0.06,0.14,0.13,0.09,0.09,0.12,0.19,0.16,0.13,0.17,0.15,0.1,0.1,0.1,0.19,0.15,0.21,0.15,0.19,0.11,0.11,0.25,0.19,0.13,-0.01,0.22,0.18,0.13,0.25,0.18,0.17,0.17,0.17,0.14,0.11,0.07
"30","21","    Other","A178RZ",-0.34,-0.45,-0.97,-0.42,-0.18,0.63,0.53,0.35,-0.25,0.04,0.09,0.32,0.02,0.5,0.06,0.19,0.53,0.16,0.17,0.02,0.28,0.06,0.31,0.27,0.37,0.34,0.31,0.27,0.4,0.46,0.34,0.42,0.25,0.4,0.67,0.68,0.56,0.66,0.41,0.16,0.39,0.23,0.53,0.25,-0.32,0.19,0.73,0.5,0.6,0.17,-0.03,-0.14,0.5,1.07,0.59,0.91,0.5,0.65,0.5,0.31,0.34,0.11,0.36,0.52,0.52,0.24,0.43,0.64,0.93,0.77,0.96,0.13,0.33
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","  Energy goods and services \1\","BA02RZ",0.1,-0.04,-0.31,0.04,0.39,0.39,0.56,0.33,0,0.48,0.52,0.53,-0.6,-0.72,0.12,0.63,1.54,0.42,0.32,0.14,0.46,0.44,0.35,0.26,0.32,0.54,0.39,0.26,0.34,0.26,0.2,0.11,0.32,0.28,0.36,0.32,0.37,0.24,0.32,0.32,0.26,0.21,0.34,0.3,-0.34,0.25,0.36,0.23,0.21,-0.09,-0.41,-0.13,0.05,0.2,0.14,0.17,0.14,0.17,0.21,0.09,-0.16,-0.01,0.06,0.23,0.07,0.12,0.14,0.04,0.11,0.1,0.05,-0.01,0.08
"33","23","  Personal consumption expenditures less food and energy.","BA03RZ",-5.01,-3.1,-7.17,-2.7,3.96,4.18,5.64,2.01,-2.19,4.27,3.38,5.13,-2.44,2.6,0.41,3.09,9.18,2.83,2.31,2.38,5.39,0.27,1.88,3.45,1.2,5.53,1.69,1.65,0.47,4.4,2.33,1.63,4.3,3.57,4.71,4.73,4.4,2.46,4.32,2.81,1.39,3.37,5.02,4.56,-0.15,1.37,4.36,3.66,4.01,2.21,-0.08,1.46,0.86,4.7,4.85,4.34,3.67,2.92,3.18,2.28,1.56,-0.15,2.7,2.71,3.28,2.63,2.87,3.36,4.22,4.35,3.75,2.35,2.76
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," 1. Consists of gasoline, fuel oil, and other energy goods, and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","  Note.  The quantity indexes on which the estimates in this table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","are based are shown in table 7.4.  The estimates in this table differ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","from those in table 8.2 because this table shows contributions to real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","personal consumption expenditures, whereas table 8.2 shows contributions to real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
