"","Table 6#22C# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"30","23","    Miscellaneous manufacturing industries","B1743C0C",1704,1841,2013,2405,2463,2182,2456,2451,2316,2928,2777,2788,2995,NA,NA
"31","24","  Nondurable goods","A1744C0C",72307,73334,75163,75906,76798,79511,80125,82544,81409,87597,88956,87788,88561,85010,92307
"32","25","    Food and kindred products","B1745C0C",11897,12015,12080,12949,12461,11996,11381,11820,10327,16053,14545,14296,14387,NA,NA
"33","26","    Tobacco products","B1746C0C",487,385,1127,87,208,1438,2743,2440,1620,2039,2181,2321,2406,NA,NA
"34","27","    Textile mill products","B1747C0C",1812,1968,2001,2139,2082,2437,2618,2626,2940,2867,2881,2691,2599,NA,NA
"35","28","    Apparel and other textile products","B1748C0C",1015,1050,1079,1126,1115,1123,1228,1391,1324,1501,1415,1406,1378,NA,NA
"36","29","    Paper and allied products","B1749C0C",5814,6771,6584,6557,7246,8230,8308,8413,9380,9096,9996,10548,9848,NA,NA
"37","30","    Printing and publishing","B1750C0C",4799,5344,5656,5832,5715,5793,4741,4904,4877,5343,5596,5374,5603,NA,NA
"38","31","    Chemicals and allied products","B1751C0C",12907,13728,14901,16409,17348,18498,19214,20999,20801,23389,24545,25155,26085,NA,NA
"39","32","    Petroleum and coal products","B1752C0C",30763,29092,28473,27574,27036,26301,25647,25150,25261,22493,22445,20187,19866,NA,NA
"40","33","    Rubber and miscellaneous plastics products","B1753C0C",2613,2752,2979,2971,3275,3324,3819,4102,4322,4604,5126,5578,6207,NA,NA
"41","34","    Leather and leather products","B1754C0C",200,229,283,262,312,371,426,699,557,212,226,232,182,NA,NA
"42","35","Transportation and public utilities","A1755C0C",85919,88471,93333,93908,95103,96258,98848,103382,112732,111809,116137,120904,135775,147405,172266
"43","36","  Transportation","A1756C0C",20823,22073,23238,23223,23094,23372,24687,26660,28879,29912,31291,33902,36940,38146,43197
"44","37","    Railroad transportation","B1757C0C",4577,4382,4655,4332,3998,4089,4505,4531,4989,4789,4576,4526,5229,NA,NA
"45","38","    Local and interurban passenger transit","B1758C0C",857,844,599,653,665,708,741,766,725,852,1161,1648,1895,NA,NA
"46","39","    Trucking and warehousing","B1759C0C",6163,7195,7371,6859,6803,6784,7276,8668,10131,10570,10823,13676,14285,NA,NA
"47","40","    Water transportation","B1760C0C",1038,1083,1179,1178,1182,1204,1168,1450,1691,1577,1598,1678,1705,NA,NA
"48","41","    Transportation by air","B1761C0C",6131,6382,6926,6879,7273,8112,8502,8537,9127,9725,10769,10677,11896,NA,NA
"49","42","    Pipelines, except natural gas","B1762C0C",318,158,152,132,143,122,122,131,64,131,59,860,971,NA,NA
"50","43","    Transportation services","B1763C0C",1739,2029,2356,3190,3030,2353,2373,2577,2152,2268,2305,837,959,NA,NA
"51","44","  Communications","A1764C0C",31179,32492,34058,34211,34177,35296,36643,38587,43576,45052,48844,51786,63670,73069,88128
"52","45","    Telephone and telegraph","B1765C0C",29748,30462,31439,31231,30893,31943,33048,34716,36922,38555,42057,46121,55475,NA,NA
"53","46","    Radio and television","B1766C0C",1431,2030,2619,2980,3284,3353,3595,3871,6654,6497,6787,5665,8195,NA,NA
"54","47","  Electric, gas, and sanitary services","B1767C0C",33917,33906,36037,36474,37832,37590,37518,38135,40277,36845,36002,35216,35165,36190,40941
"55","48","Wholesale trade","B1768C0C",18511,19882,21885,23061,25093,28030,32095,38664,41786,46827,50946,54179,58688,61541,69653
"56","49","Retail trade","B1769C0C",27480,28827,29995,29671,30321,31776,33418,36573,35725,40077,43303,47931,50517,54363,63810
"57","50","Finance, insurance, and real estate","A1770C0C",40323,44398,48459,49161,50929,49399,53707,59194,66184,70050,81446,93933,106872,117567,136349
"58","51","  Depository institutions","B1796C0C",19008,20885,24164,23676,24532,22792,24320,26289,31412,34671,41655,46593,52492,NA,NA
"59","52","    Federal Reserve banks","B1772C0C",124,129,140,152,164,186,222,241,245,256,256,247,250,NA,NA
"60","53","    Commercial and mutual depository institutions","B1797C0C",18884,20756,24024,23524,24368,22606,24098,26048,31167,34415,41399,46346,52242,NA,NA
"61","54","  Nondepository institutions","B1798C0C",1948,2180,2403,3747,3719,3705,4225,4864,5821,6696,7816,11882,15769,NA,NA
"62","55","  Security and commodity brokers","B1775C0C",1624,1805,1912,1450,1296,1337,1523,1819,1769,2604,3350,5618,7325,NA,NA
"63","56","  Insurance carriers","B1776C0C",7379,8763,9273,8933,10082,10468,11821,12774,14133,13825,14960,15382,15027,NA,NA
"64","57","  Insurance agents, brokers, and service","B1777C0C",1020,1020,1005,1065,919,938,896,1000,936,1029,1130,1844,1734,NA,NA
"65","58","  Real estate","B1778C0C",6107,6576,6782,7611,7590,7618,8192,9153,8405,8641,8809,8705,9678,NA,NA
"66","59","  Holding and other investment offices","B1779C0C",3237,3169,2920,2679,2791,2541,2730,3295,3708,2584,3726,3909,4847,NA,NA
"67","60","Services","A1780C0C",34717,38772,42203,42574,45128,46572,49115,57142,60415,67462,75907,85592,96378,100780,118302
"68","61","  Hotels and other lodging places","B1781C0C",2188,2153,2733,2562,2869,2815,2652,3311,3543,4294,6051,4948,5433,NA,NA
"69","62","  Personal services","B1782C0C",1246,1543,1854,1485,1586,1590,1590,1661,1801,1775,1941,2502,2544,NA,NA
"70","63","  Business services","B1783C0C",11920,14041,13902,15564,16471,17605,18419,22356,23671,29417,33408,39123,47948,NA,NA
"71","64","  Auto repair, services, and parking","B1784C0C",6569,7765,8556,8813,9798,9979,10134,11392,12155,12427,11723,12732,14980,NA,NA
"72","65","  Miscellaneous repair services","B1785C0C",478,515,616,504,602,670,692,721,751,809,851,811,797,NA,NA
"73","66","  Motion pictures","B1786C0C",1201,1171,1548,1231,1406,560,822,643,649,787,374,4841,2673,NA,NA
"74","67","  Amusement and recreation services","B1787C0C",2234,1833,2442,2182,2338,2256,2900,3542,3303,2566,4455,1624,1915,NA,NA
"75","68","  Other services","A1788C0C",8881,9751,10552,10233,10058,11097,11906,13516,14542,15387,17105,19011,20088,NA,NA
"76","69","    Health services","B1789C0C",5609,5670,6203,5659,5370,6091,6248,6999,7760,7741,8861,9325,9621,NA,NA
"77","70","    Legal services","B1790C0C",627,749,551,581,538,456,469,806,735,834,871,774,858,NA,NA
"78","71","    Educational services","B1791C0C",401,433,474,270,485,420,434,438,383,513,492,612,671,NA,NA
"79","72","    Other \1\","B1792C0C",2244,2899,3324,3723,3665,4130,4755,5273,5664,6299,6880,8300,8938,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," 1. Consists of social services; membership organizations; engineering and management services, except for commercial research ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","and testing services and for management and public relations; and services, not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
