"","Table 7#14# Chain-Type Quantity and Price Indexes for Gross Dome","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"25","15","  Nonfarm \2\","B358RG",16.99,17.21,18.01,17.98,18.35,18.6,18.93,19.14,19,19.02,18.93,18.92,18.91,18.96,19.19,19.49,19.97,20.18,20.38,20.6,20.66,20.71,20.84,21.01,21.13,21.22,21.31,21.43,21.51,21.53,21.54,21.57,21.64,21.75,21.92,22.13,22.32,22.48,22.74,22.9,23.18,23.32,23.42,23.54,23.68,23.72,23.77,23.85,23.95,23.98,24.02,24.14,24.19,24.26,24.34,24.43,24.46,24.51,24.53,24.53,24.65,24.74,24.79,24.8,24.88,24.9,24.9,25.05,25.09,25.18,25.28,25.38,25.49,25.51,25.61,25.7,25.77,26.04,26.25,26.54,26.68,26.83,27.06,27.29,27.57,27.86,28.04,28.41,28.72,29.05,29.36,29.67,29.99,30.42,30.58,31.03,31.36,31.74,32.06,32.21,32.53,32.67,32.89,33.1,33.32,33.69,34.1,34.86,35.56,36.79,37.87,38.98,40.24,40.84,41.49,42.1,42.55,43.01,43.65,44.46,45.16,45.93,46.59,47.41,48.01,48.91,49.86,50.83,51.71,53.03,54.17,55.3,56.75,58.35,59.32,60.55,62.35,63.63,65.07,66.35,67.21,68.04,68.93,69.67,70.02,70.47,70.99,71.53,71.98,72.58,73.19,73.7,74.47,75.11,75.65,76.03,76.37,76.59,76.86,77.45,77.97,78.6,79.22,79.7,80.19,80.97,81.8,82.48,83.24,84.16,84.76,85.34,86.17,87.15,88.01,88.86,89.88,90.41,91.03,91.42,92,92.39,92.66,93.28,94,94.44,94.8,95.3,95.67,96.14,96.89,97.28,97.95,98.38,98.71,98.96,99.37,99.77,100.16,100.7,101.45,101.99,102.36,102.67,102.89,103.05,103.4,103.59,103.98,104.37,104.74,105.1,105.83,106.34,106.74,107.21,108.1,108.68,109.22,109.11,109.16,109.59,109.68,110.09
"26","16","    Nonfarm less housing","B498RG",17.33,17.55,18.4,18.35,18.73,18.98,19.33,19.54,19.37,19.38,19.27,19.25,19.23,19.27,19.51,19.82,20.32,20.54,20.74,20.96,21.02,21.05,21.18,21.34,21.45,21.52,21.61,21.72,21.79,21.8,21.79,21.83,21.9,22.01,22.19,22.41,22.61,22.78,23.06,23.22,23.52,23.67,23.77,23.89,24.04,24.07,24.12,24.2,24.31,24.33,24.37,24.49,24.54,24.61,24.69,24.78,24.81,24.85,24.87,24.87,24.99,25.08,25.12,25.14,25.22,25.23,25.23,25.38,25.43,25.52,25.63,25.73,25.84,25.87,25.97,26.06,26.13,26.41,26.64,26.95,27.1,27.25,27.5,27.75,28.03,28.33,28.52,28.92,29.24,29.58,29.9,30.22,30.54,31,31.15,31.61,31.94,32.33,32.65,32.8,33.12,33.26,33.47,33.68,33.88,34.25,34.69,35.49,36.26,37.61,38.78,39.96,41.29,41.9,42.57,43.19,43.63,44.09,44.74,45.56,46.24,47.01,47.67,48.53,49.13,50.09,51.08,52.09,53,54.4,55.54,56.66,58.2,59.9,60.84,62.05,63.94,65.23,66.68,67.94,68.77,69.61,70.45,71.15,71.46,71.85,72.36,72.91,73.32,73.86,74.43,74.9,75.65,76.23,76.7,77,77.26,77.36,77.58,78.14,78.63,79.22,79.85,80.26,80.68,81.49,82.31,82.97,83.75,84.68,85.25,85.76,86.59,87.55,88.35,89.25,90.34,90.88,91.53,91.86,92.4,92.77,93.03,93.65,94.37,94.79,95.15,95.63,95.96,96.41,97.18,97.53,98.19,98.58,98.86,99.03,99.4,99.78,100.15,100.67,101.43,101.95,102.28,102.54,102.68,102.77,103.06,103.18,103.55,103.93,104.28,104.6,105.29,105.78,106.14,106.56,107.43,107.94,108.39,108.11,108.02,108.39,108.41,108.76
"27","17","    Housing","B499RG",13.92,14.13,14.36,14.6,14.86,15.1,15.32,15.51,15.68,15.83,15.96,16.09,16.24,16.38,16.54,16.71,16.9,17.08,17.26,17.43,17.58,17.77,17.99,18.23,18.53,18.78,19.02,19.23,19.38,19.52,19.62,19.7,19.75,19.8,19.86,19.94,20.06,20.16,20.26,20.36,20.42,20.52,20.62,20.72,20.84,20.93,21,21.06,21.09,21.21,21.26,21.38,21.44,21.5,21.6,21.67,21.7,21.81,21.87,21.87,21.99,22.02,22.11,22.13,22.22,22.29,22.31,22.4,22.44,22.48,22.55,22.59,22.65,22.72,22.76,22.83,22.94,23.04,23.07,23.22,23.34,23.41,23.5,23.63,23.8,23.98,24.13,24.32,24.5,24.69,24.95,25.2,25.45,25.72,25.99,26.31,26.65,26.99,27.27,27.46,27.7,27.89,28.14,28.36,28.79,29.09,29.4,29.72,29.89,30.07,30.41,30.93,31.63,32.1,32.58,33.17,33.72,34.17,34.75,35.44,36.28,37.04,37.72,38.31,38.79,39.28,39.81,40.56,41.15,41.83,42.85,44.12,44.86,45.69,46.85,48.29,49.33,50.46,51.81,53.22,54.31,55.1,56.26,57.32,58.02,58.88,59.47,59.96,60.73,61.81,62.76,63.53,64.44,65.59,66.75,67.75,68.76,69.99,70.69,71.5,72.24,73.25,73.79,74.88,75.93,76.52,77.35,78.16,78.87,79.66,80.55,81.67,82.51,83.68,85.04,85.5,85.9,86.3,86.7,87.56,88.51,89.08,89.39,90.07,90.79,91.39,91.75,92.35,93.14,93.8,94.31,95.03,95.89,96.63,97.4,98.31,99.09,99.65,100.3,100.96,101.61,102.32,103.11,103.86,104.8,105.65,106.62,107.52,108.09,108.59,109.14,109.87,111.03,111.7,112.54,113.52,114.57,115.82,117.2,118.89,120.25,121.22,122.13,123.08
"28","18","  Farm","B359RG",63.4,65.02,54.89,70.45,66.29,65.45,65.93,57.78,58.8,53.57,50.87,49.75,47.76,50.66,56.73,60.09,68.59,66.94,61.67,64.33,60.15,60.78,61.35,58.23,54.67,51.81,51.86,49.65,51.05,49.32,48.35,46.98,47.13,46.36,45.8,43.28,43.85,45.73,45.68,45.25,45.08,45.11,47.94,48.2,50.24,51.28,50.97,49.62,46.15,47.03,47.89,46.91,45.91,47.63,46.63,47.53,47.24,45.92,46.92,48.7,48.69,47.63,48.2,49.05,47.74,47.21,48.41,46.72,46.8,46.25,45.94,46.86,47.23,51.16,49.92,51.76,55.28,53.68,55.27,51.57,49.52,48.67,49.43,49.23,50.14,51.54,52.83,53.25,51.59,55.7,57.05,59.74,57.82,55.82,57.42,55.09,56.63,57.44,57.16,60.95,62.74,63.91,68.46,74.84,86.74,100.41,119.07,107.69,113.16,87.2,97.67,104.83,85.81,82.76,89.94,93.23,90.16,87.91,87.46,83.12,87.38,86.09,85.74,78.23,94.15,103.36,101.19,105.81,115.76,112.35,108.83,104.97,96.25,77.29,103.67,120.29,107.1,98.87,93.93,85.26,86.28,86.85,89.21,81.67,90.6,98.44,99.92,100.67,108.21,103.76,98.31,96.31,92.39,84.24,75.4,80.66,74.86,78.22,84.15,87.79,83.96,83.41,81.07,81.97,83.06,84.76,98.57,96.9,98.38,94.97,93.91,96.44,97.56,96.91,94.62,89.14,85.43,88.65,83.11,84.84,85.34,83.75,84.19,83.22,81.58,85.92,86.93,88.62,89.93,84.97,78.26,80.27,80.82,80.18,87.16,94.42,97.05,102.23,105.44,95.28,89.55,86.53,81.93,82.8,81.3,82.35,78.67,79.09,76.54,69.73,66.77,65.21,61.86,66.93,62.47,67.08,69.39,72.67,75.07,64.85,73.18,61.18,67.77,70.11
"29","19","Households and institutions","B193RG",6.44,7.08,7.3,7.23,6.75,7.01,7.36,7.36,7.31,7.3,7.23,7.52,7.46,7.37,7.59,7.67,7.86,7.82,8,8,7.85,8.28,8.68,8.55,8.39,8.69,8.98,8.94,8.88,8.96,9.01,9.22,9.2,9.03,9.17,9.32,9.32,9.29,9.5,9.59,9.58,9.78,10.02,10.07,9.95,10.32,10.37,10.43,10.51,10.56,10.78,11.06,11.01,11.18,11.37,11.45,11.49,11.58,11.65,11.77,11.97,12.08,12.13,12.29,12.48,12.6,12.63,12.72,12.98,13.02,13.26,13.35,13.24,13.58,13.84,14.2,14.09,14.42,14.74,15,15.19,15.39,15.58,15.87,16.47,16.6,16.83,17.28,17.68,18.08,18.54,19.26,19.62,20.16,20.8,21.04,21.46,21.81,21.99,22.46,22.89,23.21,23.3,23.92,24.48,24.9,25.34,25.97,26.43,27.12,27.62,28.35,28.68,28.89,29.29,30.09,30.94,31.54,31.86,32.56,32.58,33.27,34.04,34.93,35.87,36.47,37.54,38.11,38.93,39.6,40.56,41.51,42.41,43.55,44.4,45.5,46.58,47.72,48.79,49.64,50.55,51.29,52.43,53.48,54.35,55.25,56.51,57.7,58.63,59.77,60.8,61.27,61.81,62.27,63.06,63.53,63.73,65,67.21,64.59,69.46,68.4,68.77,73.18,72.64,73.18,73.77,74.4,75.35,76.11,77.13,78.25,79.82,81.3,82.72,82.67,83.73,85.35,86.07,87.24,88.24,90.79,91.33,92,92.38,92.76,93.08,93.4,94.08,94.35,94.82,95.47,95.83,96.38,96.91,97.8,99.08,99.68,100.25,100.99,100.74,100.56,100.64,101.05,101.72,102.85,103.73,104.47,105.19,106.58,105.86,107.68,109.03,109.97,111.8,112.64,113.74,114.82,116.17,116.37,117.13,118.47,119.93,121.34
"30","20","  Private households","B701RG",10.91,10.79,11.68,11.6,11.17,11.41,11.9,11.66,11.35,11.34,11.15,12.26,11.96,11.38,11.62,11.28,12.28,11.94,12.53,11.85,11.15,13.03,14.47,13.35,12.42,13.63,14.48,13.95,13.49,13.52,13.55,14.55,13.82,13.09,13.75,14.57,14.3,13.86,14.24,14.16,14.21,14.64,15.09,14.78,14.11,15.58,15.49,15.34,15.25,15.27,16.01,16.37,16.49,16.71,16.75,16.79,16.84,16.88,16.88,17,17.17,17.26,17.43,17.58,17.64,17.71,17.7,17.75,17.94,18.24,18.41,18.55,18.72,19,19.32,19.58,19.82,20,20.31,20.73,20.67,20.75,20.87,21.36,22.32,22.94,23.13,23.69,24.15,24.41,24.71,25.36,25.94,26.45,26.91,27.51,27.84,28.11,28.46,28.7,29.24,29.58,29.77,30.16,31.03,31.69,31.9,32.48,32.56,34.33,36.76,37.01,37.14,37,37.6,38.89,41,42.39,43.04,44.41,45.6,45.96,46.26,46.31,47.2,48.59,50.14,51.34,52.61,53.69,54.77,55.78,56.9,58.15,59.15,60.13,61.4,63.26,64.39,65.81,66.64,67.22,67.56,67.77,68.06,68.48,68.81,69.29,69.97,70.19,70.59,70.97,71.7,72.42,72.9,73.33,73.7,73.93,74.32,74.67,75.07,75.56,75.85,76.08,76.31,78.3,78.73,79.1,79.88,80.14,80.38,80.67,81.21,81.74,82.62,83.67,85.63,86.87,87.33,88.03,88.42,89.26,90.36,91.03,91.16,91.75,92.45,93.02,93.24,93.58,94.12,94.4,96.48,96.8,97.34,98.06,98.67,99.46,100.58,101.36,101.29,102.19,103.01,103.72,104.14,104.97,105.95,106.68,107.28,108.19,108.75,109.83,111.29,112.9,113.98,114.8,116.91,116.8,117.77,118.44,120.48,121.29,122.18,122.75
"31","21","  Nonprofit institutions","B702RG",5.59,6.72,6.66,6.59,6.01,6.33,6.67,6.77,6.82,6.8,6.76,6.78,6.8,6.89,7.14,7.39,7.3,7.36,7.41,7.66,7.69,7.67,7.76,7.94,8.02,8.06,8.2,8.3,8.36,8.46,8.53,8.53,8.72,8.7,8.69,8.65,8.73,8.84,9.01,9.15,9.13,9.28,9.49,9.64,9.69,9.78,9.85,9.95,10.11,10.17,10.27,10.56,10.46,10.63,10.87,10.96,11.01,11.12,11.21,11.32,11.55,11.67,11.7,11.87,12.1,12.24,12.28,12.38,12.67,12.65,12.92,13.01,12.84,13.2,13.47,13.86,13.69,14.05,14.39,14.63,14.86,15.09,15.3,15.58,16.14,16.19,16.45,16.89,17.3,17.72,18.22,18.96,19.31,19.86,20.54,20.74,21.18,21.55,21.71,22.22,22.65,22.97,23.05,23.7,24.24,24.64,25.11,25.76,26.27,26.87,27.22,27.99,28.34,28.57,28.96,29.73,30.5,31.04,31.34,32,31.93,32.65,33.46,34.42,35.39,35.93,36.98,37.5,38.3,38.95,39.9,40.86,41.75,42.89,43.74,44.84,45.92,47.02,48.09,48.92,49.83,50.57,51.75,52.84,53.74,54.66,55.97,57.19,58.12,59.31,60.37,60.86,61.39,61.84,62.64,63.11,63.31,64.62,66.92,64.16,69.23,68.1,68.48,73.06,72.49,72.97,73.57,74.21,75.17,75.94,77,78.16,79.77,81.28,82.72,82.64,83.66,85.29,86.02,87.22,88.24,90.84,91.36,92.03,92.43,92.79,93.1,93.42,94.11,94.38,94.84,95.51,95.8,96.37,96.9,97.79,99.1,99.69,100.24,100.98,100.72,100.51,100.55,100.96,101.64,102.77,103.65,104.4,105.12,106.53,105.76,107.6,108.95,109.87,111.73,112.57,113.64,114.75,116.11,116.3,117.03,118.38,119.85,121.28
"32","22","General government \3\","B765RG",8.3,8.35,8.03,8.11,8.23,8.33,8.48,8.59,8.81,8.77,8.73,8.84,8.79,8.68,8.84,8.81,9.26,9.1,9.13,9.25,9.4,9.51,9.64,9.73,9.76,9.84,9.75,9.85,9.9,10.09,10.15,10.24,10.32,10.61,10.69,10.77,10.97,11.14,11.26,11.33,11.5,11.64,11.75,11.87,12.1,12.27,12.41,12.48,12.63,12.68,12.72,12.75,12.89,12.92,13.14,13.22,13.27,13.37,13.44,13.53,13.7,13.74,13.81,14.04,14.2,14.27,14.29,14.58,14.73,14.81,14.96,15.04,15.18,15.25,15.44,15.7,15.91,16.07,16.31,16.43,16.59,16.83,17.04,17.48,17.71,17.93,18.36,18.63,18.78,19.03,19.68,19.96,20.77,21.17,21.49,21.79,22.6,23.04,23.36,23.73,24.69,24.99,25.45,26.05,26.57,27.04,27.48,28.01,28.37,28.88,29.55,30.42,31.07,31.79,32.41,33.22,33.75,34.28,34.69,35.43,36.17,36.79,37.29,38.32,38.77,39.27,39.76,40.53,41.33,42,43.03,44.13,44.98,46.01,47.05,49.1,50.21,51.01,51.5,53.04,54.17,55.05,55.87,56.99,57.61,58.41,59,59.59,62.08,62.79,63.51,64.16,65.44,65.87,66.18,67.05,67.63,68.2,68.85,69.75,70.55,71.15,71.64,72.02,73.01,73.89,74.53,75.01,76.28,76.85,77.47,78.01,79.43,80.44,81.13,82.22,83.72,84.37,85.2,85.92,87.18,88.02,88.39,88.83,90.28,90.87,91.65,92.38,93.44,94.29,94.54,95.14,96.19,96.51,97.11,98.46,99.95,99.33,100.14,100.59,102.19,102.72,103.16,103.87,104.59,105.11,105.77,106.5,107.78,108.67,109.39,110.16,111.8,112.55,113.29,113.9,115.44,116.26,116.8,117.42,119.13,119.77,120.33,120.84
"33","23","  Federal","B766RG",9.14,9.16,8.58,8.56,8.58,8.61,8.67,8.71,9.12,9.14,9.04,9.28,9.17,8.89,9.01,8.82,9.42,9.09,9.02,9.12,9.31,9.43,9.51,9.61,9.59,9.7,9.59,9.69,9.71,9.87,9.87,9.97,10.1,10.53,10.62,10.68,10.84,11.07,11.16,11.17,11.37,11.47,11.59,11.74,12.07,12.29,12.51,12.58,12.72,12.76,12.79,12.79,12.85,12.81,13.13,13.2,13.21,13.24,13.24,13.26,13.36,13.37,13.47,13.8,13.95,13.98,13.98,14.38,14.6,14.66,14.84,14.95,15.02,15.09,15.32,15.73,15.82,15.89,16.08,16.05,15.99,16.18,16.31,16.94,17.13,17.29,17.87,18.08,18.11,18.2,19.11,19.27,20.41,20.73,20.98,21.25,22.4,22.91,23.27,23.9,25.4,25.59,26.04,26.91,27.25,27.61,28.11,28.89,29.09,29.48,30.15,31.39,32.12,32.6,33.13,34.31,34.62,35.01,35.42,36.69,37.56,38.04,38.2,39.81,40.03,40.28,40.68,42.03,42.49,43.03,43.56,45.6,46.2,46.95,47.59,51.02,51.7,52.36,52.71,55.35,56.44,57.13,57.52,58.72,58.89,59.55,59.88,60.14,64.76,65.23,65.74,65.98,67.71,67.6,67.18,68.3,68.53,68.91,69.16,69.5,70.49,70.6,70.58,70.7,72.26,73.29,73.77,73.86,75.82,76.08,76.28,75.94,77.31,78.17,78.3,79.73,81.77,82.3,83.2,83.77,85.96,86.9,87.22,86.64,88.8,89.24,90.26,90.83,92.03,93.12,92.57,93.34,94.66,94.76,95.56,98.58,100.29,99.41,99.9,100.4,102.34,102.53,102.5,103.08,103.58,103.92,104.56,105.17,107.08,107.7,108.22,108.41,111.73,111.7,111.9,111.63,113.75,114.29,114.44,114.47,118.97,119.6,119.83,119.85
"34","24","  State and local","B767RG",6.85,6.95,7.09,7.33,7.6,7.81,8.12,8.32,8.24,8.12,8.16,8.12,8.14,8.25,8.46,8.64,8.87,9,9.21,9.36,9.42,9.55,9.74,9.83,9.95,9.96,9.93,10.03,10.12,10.36,10.53,10.59,10.6,10.65,10.71,10.83,11.07,11.16,11.33,11.47,11.61,11.79,11.89,11.96,12.07,12.18,12.21,12.29,12.44,12.51,12.56,12.63,12.87,12.98,13.07,13.17,13.26,13.45,13.6,13.77,14.01,14.08,14.11,14.23,14.41,14.5,14.55,14.72,14.81,14.91,15.01,15.08,15.28,15.34,15.49,15.62,15.92,16.18,16.46,16.73,17.13,17.41,17.7,17.95,18.21,18.49,18.77,19.11,19.37,19.76,20.18,20.57,21.09,21.55,21.93,22.26,22.78,23.17,23.47,23.63,24.19,24.57,25.04,25.46,26.09,26.63,27.04,27.4,27.86,28.46,29.12,29.76,30.36,31.22,31.89,32.48,33.14,33.76,34.16,34.58,35.24,35.94,36.64,37.33,37.92,38.56,39.11,39.52,40.52,41.27,42.58,43.14,44.13,45.32,46.58,47.82,49.19,50.06,50.64,51.53,52.67,53.66,54.74,55.81,56.7,57.58,58.33,59.13,60.28,61.15,62,62.9,63.89,64.66,65.43,66.14,66.93,67.62,68.51,69.75,70.43,71.33,72.14,72.68,73.31,74.1,74.84,75.55,76.42,77.16,78.04,79.09,80.54,81.63,82.65,83.53,84.72,85.44,86.23,87.04,87.76,88.55,88.95,89.95,91,91.68,92.33,93.15,94.12,94.84,95.52,96.03,96.93,97.36,97.86,98.4,99.78,99.29,100.26,100.68,102.13,102.81,103.47,104.24,105.06,105.66,106.32,107.11,108.1,109.11,109.92,110.95,111.85,112.95,113.92,114.9,116.2,117.14,117.85,118.71,119.25,119.9,120.59,121.32
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 1. Equals gross domestic product less gross product of households and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37"," 2. Equals gross domestic business product less gross farm product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," 3. Equals compensation of general government employees plus general government consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
