"","Table 6#20C# Net Corporate Dividend Payments by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"31","24","      Miscellaneous manufacturing industries","B3324C0C",388,572,705,850,895,655,397,823,815,1282,2215,2163,2475,NA,NA
"32","25","    Nondurable goods","A3325C0C",17549,21796,28018,36358,37031,38922,40648,38665,39756,46164,49710,54873,44144,56159,59335
"33","26","      Food and kindred products","B3326C0C",4101,1518,4198,5018,7573,7439,8840,8922,9802,14797,17178,17540,10135,NA,NA
"34","27","      Tobacco products","B3327C0C",79,913,1926,908,1067,1131,-343,-361,-600,-1048,-1604,-1364,-2874,NA,NA
"35","28","      Textile mill products","B3328C0C",343,356,653,435,578,691,1031,811,941,991,793,1017,558,NA,NA
"36","29","      Apparel and other textile products","B3329C0C",477,294,690,771,839,1414,991,849,1091,1068,846,1039,1073,NA,NA
"37","30","      Paper and allied products","B3330C0C",1074,1383,2888,2932,2245,2583,2161,2377,2864,3666,3045,3360,2973,NA,NA
"38","31","      Printing and publishing","B3331C0C",2277,1994,3752,3896,3073,4376,3617,3743,3493,5621,4960,4651,4435,NA,NA
"39","32","      Chemicals and allied products","B3332C0C",5847,9835,11374,13776,13724,13716,14920,13116,14734,16324,16089,19891,17350,NA,NA
"40","33","      Petroleum and coal products","B3333C0C",3140,5024,2087,7411,7013,6603,8365,7339,5806,3242,6570,6630,7571,NA,NA
"41","34","      Rubber and miscellaneous plastics products","B3334C0C",110,381,337,1041,643,782,904,1718,1507,1409,1665,1986,2802,NA,NA
"42","35","      Leather and leather products","B3335C0C",101,98,113,170,276,187,162,151,118,94,168,123,121,NA,NA
"43","36","  Transportation and public utilities","A3336C0C",27157,26929,29715,33779,34201,36723,39584,41440,45065,47306,44685,39117,39402,39490,42172
"44","37","    Transportation","A3337C0C",1989,2822,2812,3085,3295,4131,4283,4408,5304,5956,5537,5377,5393,4876,5073
"45","38","      Railroad transportation","B3338C0C",812,1166,1004,1057,1233,1688,1865,1241,2176,1579,1323,521,984,NA,NA
"46","39","      Local and interurban passenger transit","B3339C0C",62,69,50,53,86,133,80,132,92,125,136,238,228,NA,NA
"47","40","      Trucking and warehousing","B3340C0C",555,727,996,945,958,1086,1075,1466,1360,1751,1936,2164,2098,NA,NA
"48","41","      Water transportation","B3341C0C",147,151,159,215,216,223,279,370,326,488,333,363,344,NA,NA
"49","42","      Transportation by air","B3342C0C",65,194,256,187,91,324,244,305,344,442,468,396,425,NA,NA
"50","43","      Pipelines, except natural gas","B3343C0C",381,448,423,386,469,345,359,324,359,403,326,542,525,NA,NA
"51","44","      Transportation services","B3344C0C",-33,67,-76,242,242,332,381,570,647,1168,1015,1153,789,NA,NA
"52","45","    Communications","A3345C0C",11033,9797,10604,11840,11565,13812,15199,18153,19873,22300,21964,16347,19506,20901,22641
"53","46","      Telephone and telegraph","B3346C0C",10696,9876,9993,10884,10918,12782,15148,17223,18788,20868,19847,15404,17829,NA,NA
"54","47","      Radio and television","B3347C0C",337,-79,611,956,647,1030,51,930,1085,1432,2117,943,1677,NA,NA
"55","48","    Electric, gas, and sanitary services","B3348C0C",14135,14310,16299,18854,19341,18780,20102,18879,19888,19050,17184,17393,14503,13713,14458
"56","49","  Wholesale trade","B3349C0C",5467,4728,6024,7277,6812,7454,9641,11318,13136,15371,16076,22058,19314,22722,26586
"57","50","  Retail trade","B3350C0C",4967,7628,9008,8240,10007,11625,12571,15193,16911,16925,18924,21534,25575,24111,28695
"58","51","  Finance, insurance, and real estate","A3351C0C",21184,19047,24357,29715,34323,30101,38369,45457,49876,68157,78503,82035,84997,118239,135641
"59","52","    Depository institutions","B3391C0C",8141,9790,12086,13294,16554,14189,16544,19097,20351,28808,26023,27068,24793,NA,NA
"60","53","      Federal Reserve banks","B3353C0C",117,126,130,141,153,172,195,212,231,256,300,343,374,NA,NA
"61","54","      Commercial and mutual depository institutions","B3392C0C",8024,9664,11956,13153,16401,14017,16349,18885,20120,28552,25723,26725,24419,NA,NA
"62","55","    Nondepository institutions","B3393C0C",869,1156,1031,730,1523,1785,2165,2991,5750,4277,4488,3936,5923,NA,NA
"63","56","    Security and commodity brokers","B3356C0C",569,216,143,821,806,1467,1956,2338,2184,3104,3550,11062,6667,NA,NA
"64","57","    Insurance carriers","B3357C0C",3614,3738,6561,8890,10128,8067,11361,10977,12988,13932,18327,8170,1117,NA,NA
"65","58","    Insurance agents, brokers, and service","B3358C0C",647,464,798,937,1603,1684,1582,2339,2626,3372,2887,2861,3503,NA,NA
"66","59","    Real estate","B3359C0C",1823,3184,3340,3920,3622,4260,5202,5909,6337,8380,10570,13882,13560,NA,NA
"67","60","    Holding and other investment offices","B3360C0C",5521,499,398,1123,87,-1351,-441,1806,-360,6284,12658,15056,29434,NA,NA
"68","61","  Services","A3361C0C",5161,6793,9181,8581,11497,12715,14899,17583,23052,28175,32295,38214,37360,36750,37018
"69","62","    Hotels and other lodging places","B3362C0C",1518,1124,428,497,291,481,586,1090,960,935,1369,1767,1914,NA,NA
"70","63","    Personal services","B3363C0C",236,254,440,385,446,491,602,732,999,972,1397,2204,1558,NA,NA
"71","64","    Business services","B3364C0C",1516,2313,3138,2612,4729,4013,4807,6337,9125,10263,10944,15278,11360,NA,NA
"72","65","    Auto repair, services, and parking","B3365C0C",328,547,431,300,308,376,528,524,529,657,992,1359,1333,NA,NA
"73","66","    Miscellaneous repair services","B3366C0C",45,57,86,151,167,260,304,241,380,350,478,449,502,NA,NA
"74","67","    Motion pictures","B3367C0C",204,66,252,639,251,154,-449,123,367,1073,765,665,599,NA,NA
"75","68","    Amusement and recreation services","B3368C0C",237,333,653,649,816,1184,1517,1501,1476,2625,2738,2115,2087,NA,NA
"76","69","    Other services","A3369C0C",1077,2099,3753,3348,4489,5756,7004,7035,9216,11300,13612,14377,18007,NA,NA
"77","70","      Health services","B3370C0C",736,1376,2357,1819,2507,3349,3552,3557,4442,4989,5759,5630,6768,NA,NA
"78","71","      Legal services","B3371C0C",55,183,339,275,391,522,729,522,957,1156,1202,1496,2093,NA,NA
"79","72","      Educational services","B3372C0C",47,47,357,131,171,228,174,198,302,253,560,320,524,NA,NA
"80","73","      Other \1\","B3373C0C",239,493,700,1123,1420,1657,2549,2758,3515,4902,6091,6931,8622,NA,NA
"81","74","Rest of the world","A3374C0C",16563,31419,28488,21397,22021,24018,20795,37924,32573,40386,51376,39527,28807,26630,26483
"82","75","  Receipts from the rest of the world \2\","B3375C0C",27768,44654,47020,41988,38941,40458,39467,58761,58420,68975,83341,80403,79771,80424,67625
"83","76","  Less: Payments to the rest of the world \3\","B3376C0C",11205,13235,18532,20591,16920,16440,18672,20837,25847,28589,31965,40876,50964,53794,41142
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," 2. Consists of (1) receipts by U.S. residents of dividends from foreign corporations, plus (2) earnings distributed by ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","unincorporated foreign affiliates to their U.S. parents.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91"," 3. Consists of (1) payments by U.S. corporations of dividends to foreign residents, plus (2) earnings distributed by ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","unincorporated U.S. affiliates to their foreign parents.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
