"","Table 6#11C# Other Labor Income by Industry Group and by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"30","21","  Pension and profit-sharing","B4934C0C",151064,148180,147631,151839,158175,166572,178672,191930,185999,177985,178011,177636,178922,183213,186708
"31","22","    Private pension and profit-sharing","B4921C0C",67249,63166,60040,62639,65142,71358,82598,93160,85439,71306,68002,69018,69670,73820,75851
"32","23","    Publicly administered government employee retirement plans","B4935C0C",83815,85014,87591,89200,93033,95214,96074,98770,100560,106679,110009,108618,109252,109393,110857
"33","24","      Federal civilian \1\","B4945C0C",24392,25383,26749,28702,31241,33146,34473,35190,35690,36622,38550,39137,40123,41072,42273
"34","25","      Federal military \2\","B1583C0C",29045,28489,28920,27520,28885,28318,25484,24643,23154,26876,26670,26298,26574,28222,29408
"35","26","      State and local","S251100C",30379,31142,31922,32978,32907,33750,36117,38937,41716,43181,44789,43183,42555,40099,39176
"36","27","  Private welfare funds","B4936C0C",166839,186920,211390,236499,255573,280923,301928,313346,308583,309500,294706,310242,328520,358134,380778
"37","28","    Group insurance","B4922C0C",137123,153549,174951,195834,212369,236171,256349,269090,266103,267156,255402,272280,291784,318801,339644
"38","29","      Group health insurance","B4923C0C",131001,147101,168299,188597,205393,228222,247780,259972,256621,257159,244629,260837,280096,306437,327391
"39","30","      Group life insurance","B4924C0C",6122,6448,6652,7237,6976,7949,8569,9118,9482,9997,10773,11443,11688,12364,12253
"40","31","    Workers' compensation","B4925C0C",27180,30469,33579,37477,39792,40996,42233,41606,39879,39798,37071,35882,34796,37490,39211
"41","32","    Supplemental unemployment","B4926C0C",2536,2902,2860,3188,3412,3756,3346,2650,2601,2546,2233,2080,1940,1843,1923
"42","33","Other \3\","B4927C0C",1220,1372,1511,1642,1860,2050,2169,2206,2382,2533,2668,2722,2773,2817,2907
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","34","  Benefits paid by pension and welfare funds","B4928C0C",371899,390919,434762,472726,510330,555191,580933,616635,637250,663710,698804,743376,798406,859837,923121
"45","35","    Pension and profit-sharing","B4937C0C",198460,199294,220877,234277,249333,267967,277716,298966,322073,344857,370301,394566,424648,457379,494817
"46","36","      Private pension and profit-sharing","B4929C0C",122432,117114,133182,139852,147576,159791,161351,174895,188400,203514,217442,232812,252440,273722,298144
"47","37","      Publicly administered government employee retirement plans","B4938C0C",76028,82180,87695,94425,101757,108176,116365,124071,133673,141343,152859,161754,172208,183657,196673
"48","38","        Federal civilian \1\","B4946C0C",26469,28564,30081,31968,34034,34558,36209,37815,40068,41499,44078,45864,47269,49778,51839
"49","39","        Federal military \2\","B1593C0C",18398,19503,20646,21885,23510,24826,26054,26966,28111,29174,30596,31452,32172,33222,34655
"50","40","        State and local","S121000C",31161,34113,36968,40572,44213,48792,54102,59290,65494,70670,78185,84438,92767,100657,110179
"51","41","    Private welfare funds","B4939C0C",173439,191625,213885,238449,260997,287224,303217,317669,315177,318853,328503,348810,373758,402458,428304
"52","42","      Group insurance","B4940C0C",149550,166212,184993,205624,224824,249662,266124,281907,280466,283183,291201,310378,334368,360223,382797
"53","43","        Group health insurance","B4930C0C",138992,155343,173829,193350,212719,236579,252616,266589,264449,266179,274184,292200,314315,343297,365312
"54","44","        Group life insurance","B4931C0C",10558,10869,11164,12274,12105,13083,13508,15318,16017,17004,17017,18178,20053,16926,17485
"55","45","      Workers' compensation","B4932C0C",20993,23839,27145,30461,33658,35419,35331,34467,33257,33038,35053,36403,37507,40469,43665
"56","46","      Supplemental unemployment","B4933C0C",2896,1574,1747,2364,2515,2143,1762,1295,1454,2632,2249,2029,1883,1766,1842
"57","47","  Personal contributions to publicly administered government employee retirement plans","B4941C0C",16980,18126,19334,20814,22072,23496,24723,26214,27589,29192,30807,32407,34739,36790,39009
"58","48","    Federal civilian","B4947C0C",5361,5617,5885,6204,6673,7486,7832,8162,8395,8917,9311,9547,10254,10934,11527
"59","49","    State and local","S251200C",11619,12509,13449,14610,15399,16010,16891,18052,19194,20275,21496,22860,24485,25856,27482
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61"," 1. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley Authority, Thrift Savings Fund, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63"," 2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64"," 3. Consists of judicial fees paid to jurors and to witnesses, compensation of prison inmates, and marriage fees paid to justices ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","of the peace.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
