"","Table 2#6# Personal Consumption Expenditures by Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","12","    Video and audio goods, including musical instruments, and computer goods (91)","BRADRC",1,0.9,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,0.3,1.1,1.4,1.5,1.7,2.4,2.2,2.4,2.6,2.8,2.9,3,2.9,2.8,3.1,3,3.2,3.4,3.7,4.3,5.1,6.3,7,7.6,8,8.5,8.9,10.1,11.3,12.1,13.5,14.8,15.8,17.3,19.4,20.6,22.2,23,28.5,32,35.9,41.8,46.2,50.8,52.4,52.9,55.1,57,62.6,71,77,80,83.7,90.3,98.1,106.3,105.6
"20","13","      Video and audio goods, including musical instruments (92)","BVAMRC",1,0.9,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,0.3,1.1,1.4,1.5,1.7,2.4,2.2,2.4,2.6,2.8,2.9,3,2.9,2.8,3.1,3,3.2,3.4,3.7,4.3,5.1,6.3,7,7.6,8,8.5,8.9,10.1,11.3,12.1,13.5,14.8,15.8,17.3,19.3,20.4,21.8,21.7,25.6,29,33,36.6,40,42.6,44,43.9,43.2,45,48.1,53,55.9,56.4,57.9,61.6,66.7,71.8,72.7
"21","14","      Computers, peripherals, and software (93)","BCPTRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.2,0.4,1.4,2.9,3,2.9,5.2,6.2,8.2,8.3,8.9,11.9,12.1,14.5,18,21,23.6,25.9,28.7,31.4,34.5,32.9
"22","15","    Other durable house furnishings (32)","AODHRC",1.1,0.9,0.8,0.6,0.5,0.6,0.6,0.8,0.9,0.8,0.9,1,1.2,1.3,1.4,1.4,1.5,2.2,2.4,2.7,2.7,3.1,3.5,3.2,3.1,2.9,3.3,3.6,3.8,3.8,4.1,4.2,4.3,4.6,5.1,5.8,6.3,6.9,7.2,7.9,8,7.9,8.1,9,10.3,11.5,12,13.5,15.2,17,18.9,20,21.2,21.7,24.5,27.7,29.4,32.7,36.3,38.3,38.6,38.6,37.3,38.8,41.3,45.1,47.7,50.5,53.5,57.1,61.6,65.1,66.4
"23","16","  Other","A167RC",1.2,1.1,0.9,0.6,0.5,0.6,0.7,0.8,1,0.9,1,1.1,1.3,1.6,1.9,2.1,2.5,3.2,3.3,3.4,3.2,3.3,3.6,3.9,4.1,4.3,4.6,5,5.2,5.4,5.7,5.7,5.7,6.1,6.6,7.5,8.2,9.8,10.4,11.8,12.9,13.7,14.6,16.9,19.5,21.3,24.2,27.4,30.5,34.3,38.2,40.5,43.4,43.9,47.7,55.4,59,66,73.2,80.5,84.9,89.8,88.7,91.9,98.9,107.2,115.4,123.3,129.4,139.3,151.2,162.4,168.4
"24","17","    Ophthalmic products and orthopedic appliances (46)","BOPTRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.8,0.8,0.9,1,1.1,1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.5,2.7,2.9,3.2,3.4,3.6,3.9,4.4,5.3,6.2,7.2,8.4,10.3,11.4,13.7,12.5,13,13.5,15,15.8,17.6,19.1,20.6,21.6,22.9,21.6
"25","18","    Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","AWHGRC",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.8,1,1,0.8,0.9,0.9,1,1.1,1.2,1.4,1.6,1.7,1.9,2,2,2,2,2.2,2.5,2.9,3.6,4.1,4.8,5.2,5.2,5.6,7.4,8.5,9,10.1,11.4,12.8,14.1,16.2,15.6,16.4,16.3,16.9,20.4,21.2,23,25.6,27.7,29.3,29.7,29.5,30.1,32.5,35.2,38.5,40.5,42.8,46.2,50.4,55.3,60.8
"26","19","    Jewelry and watches (18)","BJRYRC",0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1,1.2,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,1.9,1.9,2,2.2,2.4,2.7,3.2,3.5,3.8,4,4.1,4.4,4.8,6,7,8.1,9.8,11,12.3,13,15,16,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,34.1,36.2,38.1,40.3,41.2,44.3,48.5,51.1,51
"27","20","    Books and maps (87)","BBKSRC",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2,2.3,2.9,3,2.9,3.1,3.2,3.6,3.6,4.1,5,5.7,6.5,7.3,8,9,10,10.6,11.4,13,14.2,15,16.2,16.4,17.1,18.8,20.8,23.1,24.9,26.3,28.2,30.8,33.2,35.1
"28","21","Nondurable goods","B004RC",37.7,34,29,22.7,22.3,26.7,29.3,32.9,35.2,34,35.1,37,42.9,50.8,58.6,64.3,71.9,82.7,90.9,96.6,94.9,98.2,109.2,114.7,117.8,119.7,124.7,130.8,137.1,141.7,148.5,152.9,156.6,162.8,168.2,178.7,191.6,208.8,217.1,235.7,253.2,272,285.5,308,343.1,384.5,420.7,458.3,497.2,550.2,624.4,696.1,758.9,787.6,831.2,884.7,928.8,958.5,1015.3,1082.9,1165.4,1246.1,1278.8,1322.9,1375.2,1438,1497.3,1574.1,1641.6,1708.5,1830.1,1972.9,2041.3
"29","22","  Food","A168RC",19.5,18,14.7,11.4,11.5,14.2,16.2,18.4,19.9,18.9,19.1,20.2,23.4,28.4,33.2,36.7,40.6,47.4,52.3,54.2,52.5,53.9,60.7,64.1,65.4,66.8,68.6,71.4,75.1,77.9,80.7,82.3,84,86.1,88.3,93.6,100.7,109.3,112.5,122.2,131.5,143.8,149.7,161.4,179.6,201.8,223.2,242.5,262.7,289.6,324.7,356,383.5,403.4,423.8,447.4,467.6,492,515.3,553.5,591.9,636.9,657.6,669.3,697.9,728.2,755.8,786,812.2,852.6,898.9,955,992.4
"30","23","    Food purchased for off-premise consumption (3)","AOPFRC",14.8,13.5,10.8,8.2,8.6,10.8,12.2,13.9,14.8,14.1,14.2,14.9,17,20.1,22.3,24.1,26.2,32.7,37.9,39.6,38.6,39.8,44.2,46.7,47.8,49.3,50.9,53.1,56.2,58.8,60.8,62,63.2,64.2,65.6,69.5,74.5,80.8,83,89.4,96,104.4,108.2,115.5,128,144.8,158.6,169.8,182.8,199.2,221.7,243.4,260.4,272.5,283.1,297.7,310.5,323.7,332.1,351.3,374.7,401.6,413.5,415.7,428.3,445.5,459.8,476.7,486.5,507.9,537.7,568.6,589
"31","24","    Purchased meals and beverages (4)","APMBRC",2.9,2.8,2.5,2.1,1.8,2.2,2.6,3,3.5,3.4,3.6,3.9,4.6,5.7,7.1,8.1,9.5,10.9,10.9,11,10.8,11.1,12.7,13.6,14.1,14.4,14.9,15.6,16.3,16.4,17.5,18.1,18.5,19.6,20.5,21.9,23.9,25.9,26.8,30.2,32.7,36.5,38.8,43,48.4,53.2,60.4,68,75,85,96.7,105.9,115.8,123.3,133.3,142.4,150,161.5,176.7,195.4,210.1,227.8,236.5,246,261.7,274.5,287.5,300.5,316.6,335.4,351.5,376.5,393.2
"32","25","    Food furnished to employees (including military) and food produced and consumed on farms (5+6)","A483RC",1.9,1.7,1.4,1.1,1.1,1.2,1.4,1.5,1.6,1.4,1.4,1.4,1.8,2.6,3.8,4.5,5,3.8,3.6,3.6,3.1,3,3.8,3.9,3.5,3.2,2.9,2.7,2.6,2.7,2.4,2.3,2.3,2.3,2.2,2.2,2.3,2.6,2.7,2.7,2.8,2.8,2.7,2.9,3.2,3.9,4.2,4.7,4.8,5.4,6.2,6.7,7.3,7.6,7.4,7.3,7.1,6.8,6.5,6.8,7.1,7.4,7.5,7.7,7.9,8.2,8.4,8.7,9,9.3,9.6,9.9,10.2
"33","26","    Addenda: Food excluding alcoholic beverages (8)","BFXARC",19.5,18,14.7,11.4,10.9,12.2,13.6,15.3,16.5,15.6,15.7,16.6,19.2,23.3,27.4,29.9,33.2,39,43.7,46.3,44.8,46,52.4,55.3,56.3,57.7,59.3,61.7,65.2,67.9,70.1,71.6,73.2,74.6,76.4,81.2,87.8,95.5,98.4,106.9,114.8,125.1,129.3,139.3,155.6,175.6,194.6,211.9,229.5,253.4,283.8,310.6,334.4,351.7,369.3,391.5,408.7,429.9,452.2,486.8,521.1,558.7,575.7,586.8,612.6,639.4,663.2,689.1,710.9,745.1,786.2,834.2,866.2
"34","27","            Alcoholic beverages purchased for off-premise consumption (9)","BAOPRC",NA,NA,NA,NA,0.2,1.5,1.9,2.5,2.6,2.4,2.4,2.5,3,3.6,4,4.7,5.1,5.6,5.9,5.1,5,5.1,5.1,5.5,5.6,5.5,5.7,5.8,5.9,5.9,6.3,6.5,6.5,7,7.2,7.6,7.9,8.4,8.8,9.8,10.9,12.3,13.7,14.8,15.9,17.6,19.1,20.3,21.9,23.6,26.6,29.7,32.2,34.4,36.5,37.1,39.4,41.3,41.4,42.7,44.9,48.9,50.4,48.9,50.1,52.4,54.2,56.1,58.1,62.1,65.2,70.3,73.1
"35","28","            Other alcoholic beverages (10)","BAPMRC",NA,NA,NA,NA,0.5,0.5,0.6,0.7,0.9,0.9,1,1.1,1.2,1.5,1.9,2.1,2.4,2.7,2.7,2.8,2.7,2.8,3.2,3.4,3.5,3.5,3.6,3.8,4,4,4.3,4.3,4.3,4.5,4.6,4.8,5.1,5.4,5.2,5.6,5.8,6.4,6.6,7.3,8.1,8.6,9.5,10.3,11.2,12.6,14.3,15.7,16.9,17.3,18,18.8,19.5,20.8,21.7,24.1,26,29.3,31.5,33.7,35.1,36.4,38.4,40.7,43.2,45.4,47.4,50.5,53.1
"36","29","  Clothing and shoes","A169RC",9.4,8,6.9,5.1,4.6,5.7,6,6.6,6.8,6.8,7.1,7.5,8.8,11,13.4,14.6,16.5,18.2,18.8,20.1,19.3,19.6,21.3,22,22.2,22.3,23.3,24.4,24.5,24.9,26.4,27,27.6,29,29.8,32.4,34.1,37.4,39.2,43.2,46.5,47.8,51.7,56.4,62.5,66,70.8,76.6,84.1,94.3,101.2,107.3,117.2,120.5,130.9,142.5,152.1,163.1,174.4,185.5,198.9,204.1,208.7,221.9,231.1,240.7,247.8,258.6,271.7,284.8,301,313.7,315.3
"37","30","    Shoes (12)","BSHURC",1.7,1.4,1.2,1,0.9,1.1,1,1.1,1.3,1.3,1.2,1.3,1.4,1.8,1.9,2,2.3,2.8,3,3.1,3.1,3.3,3.3,3.3,3.3,3.3,3.6,3.8,3.8,4.1,4.4,4.5,4.6,4.8,4.8,5.2,5.4,6,6.4,7.1,7.8,7.8,8.1,8.9,9.8,9.9,10.3,11.1,12.2,14.1,16,17.4,19.3,19.2,20.4,21.6,22.9,24.5,26,27.6,30.4,31.5,31.3,32.9,34,35.8,37.1,38.8,40.1,42.4,44.7,46.3,47
"38","31","    Women's and children's clothing and accessories except shoes (14)","AWCLRC",4.7,4.1,3.5,2.4,2.3,2.8,3.1,3.2,3.3,3.3,3.6,3.8,4.3,5.3,6.9,7.8,8.8,9.7,9.9,10.9,10.2,10,10.9,11.6,12,12,12.5,13.1,13.3,13.5,14.3,14.6,15,15.8,16.4,17.8,18.6,20.2,20.9,23,24.6,25.6,28.1,30.4,33.7,36,38.8,42.1,45.9,51.7,55,58,63.2,65.7,72.1,79.4,85.3,92.1,98.4,104.2,110.7,113,115.6,123.4,128.4,132.3,135.5,140.8,148,154.6,164.1,171.9,172.6
"39","32","    Men's and boys' clothing and accessories except shoes (15+16)","A484RC",3,2.6,2.2,1.6,1.5,1.8,1.9,2.2,2.3,2.2,2.3,2.4,3,3.9,4.6,4.9,5.4,5.7,5.9,6.1,6,6.3,7.1,7.1,6.9,6.9,7.1,7.5,7.4,7.3,7.7,7.9,8.1,8.4,8.6,9.4,10,11.2,12,13.1,14.1,14.4,15.4,17.1,19,20.1,21.7,23.5,26,28.5,30.2,31.9,34.6,35.6,38.4,41.6,43.9,46.5,49.9,53.7,57.8,59.6,61.7,65.5,68.6,72.5,75.2,78.9,83.6,87.7,92.3,95.5,95.6
"40","33","  Gasoline, fuel oil, and other energy goods","A173RC",3.4,3.3,2.9,2.6,2.6,2.9,3,3.4,3.6,3.5,3.6,3.8,4.3,3.9,3.3,3.4,4,5.9,7,8.2,8.4,8.9,9.6,10.2,10.9,11.4,12.4,13.3,14.3,14.8,15.3,15.8,15.8,16.4,17,17.7,19.2,20.7,21.9,23.3,25,26.3,27.7,29.5,34.4,44,48.1,53.2,58,61.6,80.6,102.1,113.7,108.6,106.7,108.4,110.8,91.4,96.6,99.3,108.9,120.2,114.8,117.1,119.4,122.5,127.4,139.7,143.2,127.9,142.9,182.5,178.6
"41","34","    Gasoline and oil (75)","C170RC",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,87.7,97,107.3,102.5,104.9,106.6,109,113.3,124.2,128.1,114.8,129.3,164.4,162.1
"42","35","    Fuel oil and coal (40)","A171RC",1.6,1.5,1.3,1.1,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.9,2,2,2.2,2.5,3,3.4,3.1,3.4,3.5,3.5,3.4,3.5,3.8,3.9,4.1,4.2,4,3.8,3.8,3.8,4,4.1,4.4,4.7,4.8,4.7,4.6,4.4,4.6,5.1,6.3,7.8,8.4,10.1,11.1,11.5,14.4,15.4,15.8,14.5,13.6,13.9,13.6,11.3,11.2,11.7,11.9,12.9,12.4,12.2,12.9,13.5,14.1,15.6,15.1,13.1,13.6,18.1,16.5
"43","36","  Other","A172RC",5.4,4.7,4.4,3.7,3.5,3.9,4.1,4.5,4.9,4.9,5.3,5.6,6.4,7.5,8.7,9.6,10.8,11.3,12.8,14.1,14.7,15.8,17.6,18.4,19.4,19.3,20.4,21.7,23.2,24.2,26.1,27.7,29.2,31.4,33.1,35,37.6,41.4,43.5,47,50.2,54.1,56.4,60.8,66.6,72.7,78.5,86,92.4,104.7,118,130.6,144.5,155.2,169.8,186.3,198.2,211.9,229.1,244.5,265.7,285,297.8,314.7,326.8,346.6,366.4,389.8,414.5,443.3,487.4,521.8,555
"44","37","    Tobacco products (7)","BTOBRC",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,44.9,45.4,46.7,48.2,49.8,54.4,65.9,72.2,76.3
"45","38","    Toilet articles and preparations (21)","BTLGRC",0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.2,2.4,2.6,2.7,3,3.3,3.6,3.9,4.2,4.5,5,5.4,5.9,6.2,6.6,6.9,7.4,8.3,9.3,10.3,11.3,12.6,14,15.5,16.9,18.4,19.3,21.4,23.7,25.7,27.7,30,31.8,33.9,36,36.9,37.9,40,42.5,45,48,50.6,52.7,55.1,56.5,56.5
