"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","  Other","B250RC",0.9,0.9,0.9,0.9,0.8,0.8,0.9,1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.8,2.1,2.3,2.6,2.9,3.2,3.5,3.8,4,4.4,4.5,3.4,3.3,3.6,3.8,4,4.2,4.4,4.7,5.2,5.6,5.9,6.1,6.5,7.3,8.2,9.1,10.1,10.7,11.8,12.7,14.2,16.9,20.6,24.2,25.3,27.3,30.8,33.3,37.1,35.7,35.4,37.1,39.1,41,44.3,47.7,51.6,54.5,58,62.9,69.5,72.9,82.1,85.8,"88.4"
"18","11","Contributions for social insurance","B104RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.1,9.7,9.2,9.2,"9.4"
"19","12","Federal grants-in-aid","B089RC",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.7,0.9,0.7,0.6,0.8,0.9,0.9,0.8,1,1.6,1.7,1.9,1.9,2,2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,162.6,174.5,184.5,190.4,196.8,210.3,231,247.5,277.4,"305.7"
"20","13","    Current expenditures","A990RC",5.5,5.9,6.2,6.1,6.3,6.8,7.4,5.8,6.5,6.6,6.9,7.3,7.7,8.3,8.6,8.8,9.2,10.6,12.9,15,16.3,18,18.6,20,21.2,22.7,24.7,26.7,29.5,32.8,35.1,38.1,41.6,44.5,47.7,52,56.8,63.8,71.9,82.1,92.8,107.5,122.9,136.7,150.9,169.2,197.2,217.2,236.4,255.6,277.8,307.8,336.9,362.5,387.3,412.6,447,487.2,523.8,558.1,599.6,660.8,723.8,777.2,821.7,865.2,902.5,939,980.3,1033.7,1105.8,1196.2,1292.6,"1,356.6"
"21","14","Consumption expenditures","A991RC",5.1,5.3,5.4,5.2,5.1,5.5,6,4.7,5.2,5.2,5.5,5.9,6.4,7.2,7.6,7.8,8.2,9.3,11,12.5,13.8,15.1,16.3,17.4,18.5,20,21.9,23.8,26.2,29,31.1,34,37,39.4,42.4,46.3,50.8,56.8,63.2,71.1,80.2,92,103.4,113.8,126.9,144.5,165.4,180.1,196.5,214.3,235,260.5,284.6,306.8,325.1,349.5,380.5,410.8,439,467.9,503,545.8,576.1,601.6,629.5,662.6,694.7,726.5,766.4,808.3,864.7,937.9,993.7,"1,034.6"
"22","15","Transfer payments to persons","B109RC",0.1,0.2,0.3,0.4,0.6,0.8,1,0.7,0.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.5,2,2.7,2.7,3.2,2.6,2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.4,90.8,98.6,109.5,127.8,156.6,180.1,195.4,206.9,217.8,224.3,227.5,235.3,252.7,271.3,304.4,"335.6"
"23","16","Net interest paid","A110RC",0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.1,1.2,1.2,1.1,1,1,1,0.8,0.9,1.7,2.3,1.3,0.2,1.3,3.2,3,0.8,-2.2,-5.4,-7.5,-7.3,-5.2,-6.7,-7.9,-5.5,-3.1,-3.8,-6.6,-6.3,-2.1,2.8,5.6,4.4,0.5,0.9,-0.9,0.4,-0.7,-2.8,-2.1,"-1.9"
"24","17","  Interest paid","B111RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.2,2.5,2.7,2.9,3.1,3.4,3.8,4.2,4.8,5.6,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,42.1,48,51.9,54.4,57.6,60.4,63.7,65,64.7,65.7,67.8,70.4,72.6,75.4,78.7,81.4,83.3,"85.2"
"25","18","  Less: Interest received by government","B112RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1,1.3,1.3,1.4,1.5,1.8,2.1,2.5,2.8,3.2,4,4.7,4.9,5.2,7.1,9.4,9.8,9.3,10.7,14.1,19.5,24.7,30.3,34.5,37.4,43.7,49.9,53.4,55,58.2,64.1,66.7,65.8,62.2,59.1,61.3,67.3,69.5,73.5,75,79.4,84.2,85.4,"87.1"
"26","19","Less: Dividends received by government","B081RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,"0.5"
"27","20","Subsidies less current surplus of government enterprises","A113RC",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.7,-0.8,-0.9,-0.9,-0.9,-1.1,-1.2,-1.3,-1.4,-1.6,-1.6,-1.7,-1.6,-1.5,-1.5,-1.4,-1.5,-1.3,-1.5,-1.4,-0.8,-0.2,-0.2,-0.1,0,0.6,1.6,2.8,2.1,0.7,-1.1,-2.8,-2.5,-2.8,-4.5,-6.1,-6.3,-6.6,-7.2,-8.6,-8.5,-10.2,-12.5,-12.4,-9.9,-10.5,-9.7,-3.1,"-11.2"
"28","21","  Subsidies","B114RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,7.8,"0.8"
"29","22","  Less: Current surplus of government enterprises","B115RC",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.4,1.6,1.5,0.9,0.4,0.4,0.3,0.3,-0.3,-1.2,-2.4,-1.6,-0.2,1.5,3.2,2.8,3.1,4.8,6.5,6.7,7,7.6,8.9,8.8,10.5,12.8,12.8,10.3,10.9,10.2,10.9,"12.0"
"30","23","Less: Wage accruals less disbursements","B116RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0"
"31","24","    Current surplus or deficit (-), national income and product accounts","A924RC",1.5,1.3,0.9,0.6,0.3,1.2,1.1,2.3,2,1.9,2,1.9,1.9,1.5,1.4,1.5,1.6,1.4,1.4,1.2,1.4,1.3,2.5,2.9,3.4,3.2,3.4,4.3,4.1,2.8,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.7,7,7.5,8,7.1,6.4,15.6,15.7,9.3,2.4,7.3,13.1,18.7,13,8.8,7.5,-2.3,4.8,23.8,22.3,20.8,12.2,15.6,19.3,2.6,-7.8,-4.9,1.5,8.6,15.3,21.4,31,40.7,38.3,18,-31.3,"....."
"32","25","Social insurance funds","B118RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.7,1.1,0.6,0.9,0.1,-0.1,"-0.1"
"33","26","Other","B119RC",1.5,1.3,0.9,0.6,0.3,1.2,1.1,2.3,2,1.9,2,1.9,1.9,1.5,1.4,1.5,1.6,1.4,1.3,1.1,1.4,1.2,2.4,2.8,3.3,3.1,3.3,4.2,4,2.7,3.7,4.3,4.3,5.2,5.7,6.3,6.4,7.6,6.8,7.3,7.8,6.9,6.2,15.3,15.4,8.9,1.9,6.7,12.1,17.2,11.3,7.5,6.2,-3.5,3.6,22.4,21,18.9,10,13.1,17,0.7,-10.2,-8.1,-2.7,4,11.4,18.7,29.9,40,37.4,17.8,-31.2,"....."
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Net lending or net borrowing (-)","AD03RC",-0.4,-0.8,-0.9,-0.5,-0.2,0.3,0.4,0.3,0.5,0.1,-0.3,0.3,1,1.5,2.2,2.4,2.3,1.6,0.6,-0.4,-1.5,-2.1,-1.5,-1.2,-1.2,-2.7,-3.1,-2.9,-3.6,-4.9,-3.2,-3.1,-3.8,-3.2,-3.5,-3.4,-4.6,-4.7,-7.1,-6.5,-5.2,-6,-6.5,3.4,2.4,-5.4,-11.9,-5,4.4,5.6,-2.1,-7,-5.6,-12.9,-5.1,8.6,1.4,-4.8,-16.6,-17.1,-18,-42.4,-53.2,-48.3,-38.2,-33.3,-30.9,-27,-30.1,-23.4,-36.6,-56.9,-105.8,"....."
"36","28","    Current surplus or deficit (-), national income and product accounts","A924RC",1.5,1.3,0.9,0.6,0.3,1.2,1.1,2.3,2,1.9,2,1.9,1.9,1.5,1.4,1.5,1.6,1.4,1.4,1.2,1.4,1.3,2.5,2.9,3.4,3.2,3.4,4.3,4.1,2.8,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.7,7,7.5,8,7.1,6.4,15.6,15.7,9.3,2.4,7.3,13.1,18.7,13,8.8,7.5,-2.3,4.8,23.8,22.3,20.8,12.2,15.6,19.3,2.6,-7.8,-4.9,1.5,8.6,15.3,21.4,31,40.7,38.3,18,-31.3,"....."
"37","29","    Plus: Consumption of fixed capital","A919RC",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1,1.1,1.2,1.4,1.5,1.4,1.4,1.5,1.8,2.1,2.1,2.1,2.6,2.7,2.8,2.9,3.1,3.5,3.9,4,4.2,4.4,4.7,5,5.4,5.7,6.2,6.9,7.5,8.3,9.3,10.6,11.8,12.9,14.3,17.7,20.2,21.3,22.6,24.4,27.4,31.7,36.3,39.5,40.9,42.4,44.7,47.9,51.5,54.9,58.8,63.1,66.9,69.9,73.9,78.9,84.1,88.9,94.2,99.5,106.4,115,123.7,"127.6"
"38","30","    Plus: Capital transfers received (net)","AD06RC",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,1,1.1,1.6,2.7,3.5,3,3.3,3.5,4.1,4.7,4.7,5.1,5.1,6.8,6.8,6.2,7,7.3,7.3,9.2,11,12,13.1,13.7,16.2,18.6,17.8,16.9,18,20.1,22,23,22.3,23.2,23.5,24.9,25.6,27,28.6,29.7,32.3,33.8,35.3,36,39.7,43.9,48.3,"52.0"
"39","31","    Less: Gross investment","A799RC",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,136.2,144.2,155.8,163.8,183.3,191,211.3,223.9,236.2,"245.0"
"40","32","    Less: Net purchases of nonproduced assets","AD09RC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1,1.1,1.6,1.7,1.7,1.9,1.9,1.7,1.6,1.8,2,2.2,2.2,2.2,2.4,2.7,3.2,3.7,4.2,4.4,4.9,5.8,5.9,5.9,6,6.4,6.8,7.4,7.2,8.6,9.7,9.9,10.3,"10.8"
