"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","4","  Tax collection and financial management","G16004",0.8,0.9,1,1,1.2,1.3,1.4,1.3,1.4,1.5,1.5,1.5,1.7,1.8,2,2.2,3.6,4,4.8,5.3,5.8,6.5,7.3,7.8,7.9,9.1,10.2,10.7,11.2,12,13.6,15.6,16.4,18.6,21,22.3,23.8,24.9,26.3,29.3,31.5,31.9,33.8,33.9,32.8,36.1,35.2,38.2,39.1,43.1
"12","5","  Net interest paid \2\","G16005",4.9,5,5.2,5.2,5.7,6.2,6,7.1,7.9,7.5,8.2,8.9,9.6,10,10.7,11.5,13.1,14.5,16.2,17,18.4,21.2,23.1,26.9,33.1,35.4,39.3,44.7,53.1,71.5,86.4,99.2,120.6,136.3,144.9,156.5,168.1,186.8,204.1,222.9,231.8,235.6,243.8,267.8,274.1,274.9,278.5,262.7,259.7,235.6
"13","6","  Other \3\","G16006",0.5,0.4,0.5,0.6,0.5,0.7,0.9,1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.5,2.7,3.3,3.7,4.3,5,6,7.6,9.6,10.8,12.1,13.8,14.7,16.5,18.5,19.7,20.5,22.9,24.3,26.5,28.4,29.7,31.1,33.9,35.8,37.4,39.5,41.3,43.3,44.4,45.5,52,56.1,60.9,67.8,73.4
"14","7","National defense","G16007",38.8,41.2,37,36.9,38.8,43.2,44.1,42.2,42.8,44.2,48.2,50,50.2,52.3,61.3,71.3,78.8,79.9,78.5,79.1,82.2,82.5,87.3,93.3,97.7,105.7,114,125,145.1,168.6,193.3,210.3,234.5,254.6,269,284.4,294.3,300.2,308.6,320.7,316.6,308.8,300.8,297.1,302,303.9,299.4,311.7,321,344.1
"15","8","Public order and safety","G16008",2.4,2.6,2.8,3,3.2,3.5,3.8,4.1,4.5,4.8,5,5.3,5.7,6.1,6.7,7.6,8.7,9.7,11.1,12.6,14.1,15.9,18.1,20.8,23,25.2,28.6,31.8,35.5,39.8,44.5,48.8,52.9,58.6,63.9,69.9,76.6,84.5,93.4,101.1,109.6,115.5,123.8,132,141.9,150.6,160.6,173.6,189.3,203.7
"16","9","  Police","G16009",1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.1,2.3,2.4,2.6,2.7,3,3.2,3.7,4.4,4.8,5.5,6.2,7.1,7.9,8.9,10.1,11.1,12.2,13.3,14.5,16,17.8,19.7,21.3,22.8,25,26.8,28.9,31.3,33.8,36.8,39.7,43,45.1,47.7,50.7,55.5,59.6,64.1,70.5,77.1,84
"17","10","  Fire","G16010",0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,4.9,5.4,5.9,6.7,7.4,8,8.5,9.3,10.2,11.1,11.5,12.4,13.4,14.2,15.5,16.1,16.9,17.4,18.1,18.8,20.5,21.6,23.3,25
"18","11","  Law courts","G16011",0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.6,1.9,2.1,2.4,2.7,3.1,3.5,3.8,5.1,5.9,6.8,7.5,8.4,9.2,9.9,10.9,11.6,12.7,14.4,16.2,18.1,19.8,21.3,22.4,23.7,25.2,26.7,28.2,30.5,32.2,34.7,37.2
"19","12","  Prisons","G16012",0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.2,1.3,1.5,1.7,2,2.3,2.6,3.2,3.7,4.2,4.7,5.3,6,6.8,7.8,9.1,10.3,11.7,13.4,15.2,17.3,19.3,22.1,25.2,27.4,29.9,31.9,35.6,38.7,41.7,44,45.5,49.4,54.2,57.6
"20","13","Economic affairs","G16013",6.7,8.4,8.2,8.7,8.1,9,9.9,12.3,11.3,12.3,14.5,15.4,17.9,19.4,21.2,22.6,24.8,27.4,29.7,32,34.1,34.7,37.2,46.1,46.7,53,59.9,63.7,74.7,84.4,87.8,99.2,95.6,99.3,109.7,113.8,107.7,111.8,123.5,123.2,130.2,140.3,137.7,137.3,142.5,146.7,152.7,171.5,187.4,206.4
"21","14","  General economic and labor affairs","G16014",0.6,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1.1,1.2,1.3,1.5,1.7,1.9,2.2,2.8,3.1,3.3,3.7,4.7,5.3,5.5,5,5.7,6.6,7.5,9.4,10.3,11.9,11.5,11.1,10.7,10.6,11.4,11.9,12.4,13.5,15.6,19.3,16.2,17.5,17.9,17.8,18.9,19.4,21.3,21.6,23.3,27.1,25
"22","15","  Agriculture","G16015",1.2,3.2,3.2,3.6,2.2,2.6,2.7,4.7,2.9,3,4,3.4,3.9,3.9,3.8,4.1,5.9,7.1,6.3,5.8,6.6,5.3,3.2,4.4,4.4,5.8,7.4,6.1,8.4,8.9,12.7,19.9,16.3,19.2,29.1,28.1,19.7,20.1,19.6,18.8,19.8,25.2,18.7,18.4,19,20.1,24.6,36.1,38.9,38.1
"23","16","  Energy","G16016",0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,0.1,0,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,-0.1,0.5,1.2,1.6,2.5,3.9,3.1,2.8,6.8,3.2,2.4,1.5,-0.1,-1.2,-1.3,-1.9,-3.2,-2,-3.6,-2.6,-1.3,-1.7,-0.4,-1.8,-3.5,-5.5,-5.2,-5.8,1.6
"24","17","  Natural resources","G16017",0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.9,0.9,1.2,1.6,1.3,1.6,2,2.1,2.4,2.3,2.7,3.4,3.5,3.9,4.1,5.4,6,7.4,7.8,8.9,8.8,9.5,9.6,10.1,10.8,11.7,12.2,13.3,14.3,16.1,17.4,17.6,17.9,17.7,18.6,18.8,21.2,22.1
"25","18","  Transportation","G16018",3.7,3.6,3.6,3.8,4,4.5,4.9,5.5,5.8,6.2,6.5,6.9,7.3,7.7,8.4,9.2,9.9,10.9,12.3,13.7,14.9,16.7,20.4,23.6,24.5,26.4,28.8,32.1,36.7,41.2,44.8,48.5,49.7,51.9,54.2,57,59.1,60.8,64.8,69.1,72.8,74.7,78.5,80.7,83.9,87.1,90.2,95.3,102.4,114.1
"26","19","    Highways","G16019",3,2.9,3,3.2,3.4,3.8,4,4.3,4.5,4.8,5,5.3,5.6,6,6.5,7.1,7.7,8.5,9.5,10.4,11.1,12.3,15.1,17,17.6,18.4,20,22,25,28.1,30.8,31.8,32.8,34.9,37.2,38.7,40.1,41.3,43.9,46.1,48,50.1,52.5,55,57.6,60,62.4,66.4,72.1,76.4
"27","20","    Air","G16020",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,1.1,1.3,1.3,1.4,1.5,1.7,1.8,2,2,2.1,2.3,2.5,2.4,3.1,3.2,3.4,3.4,3.2,3.6,3.9,4,4.3,5.1,4.7,4.7,4.5,4.7,4.8,4.8,4.9,4.9,11.2
"28","21","    Water","G16021",0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.6,3,3.3,3.7,4,4.5,4.7,4.7,4.4,4.6,5,5.1,5.6,6.2,6.1,6.1,6.3,6.1,6.2,6.2,6.6,6.8,7.3,7.7
"29","22","    Transit and railroad","G16022",0,0,-0.1,-0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.7,1.1,1.4,1.9,2.9,3.1,3.7,4.2,5.1,6,6.9,7.5,9.2,9,8.8,9.2,10.5,10.4,10.6,11.3,12.5,13.5,13.6,14.9,15.1,15.4,16,16.4,17.3,18.2,18.9
"30","23","  Postal service","G16023",0.9,0.7,0.4,0.6,0.7,0.6,0.8,0.5,0.7,0.8,0.9,0.7,0.8,0.8,1.1,1.2,0.9,1.1,2.1,2.3,1.8,2.4,2.5,4.4,2.9,3.7,3.2,3.5,5.1,4.3,4.2,4.9,5.4,4.8,4.5,5.8,4.7,4.5,6.1,5.6,5.3,5.4,5.9,1.8,4.1,4.3,4.4,4.9,5.4,7.1
"31","24","  Space","G16024",0,0,0,0,0,0,0,0.2,0.4,0.6,1.2,2.4,3.3,4.1,4.5,3.8,3.8,3.5,3.5,3.5,3.5,3.2,3.7,4,3.9,4,4.2,4.6,5.3,5.8,5.9,6.4,6.5,6.9,6.6,7.3,8.5,10,11.5,12.1,12.2,12.3,12,12.1,12.7,13,12.2,11.8,12,12.5
"32","25","  Other \4\","G16025",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.4,-0.6,-0.6,-0.7,-0.7,-0.8,-1,-1.2,-1.4,-1.5,-1.9,-2.6,-3.3,-4.3,-5,-5.5,-6.7,-7.7,-8.1,-8.3,-9,-9.9,-11,-11.8,-12.7,-13.2,-13.3,-13.5,-13.8,-14.2
"33","26","Housing and community services","G16026",0.2,0.2,0.2,-0.1,0.3,0.4,0.5,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.7,1,1,1.1,1.5,2.2,3,3.4,3.9,4.2,5.1,5.8,6.7,8,9.5,11.3,12,11.7,12.2,14.2,14.4,15.9,16.6,17.6,18.5,19.9,21.5,23.4,25.1,27.4,26.7,26.5,25.8,25.5,25,26.3
"34","27","Health","G16027",3.6,3.7,3.7,3.8,4.1,4.4,4.7,5.1,5.5,6.3,6.5,7.2,7.7,8.2,10.4,15.3,18.7,21.3,24.4,27.5,31.4,35.8,42.3,50.5,55.9,62.8,70.4,78.7,92.3,106.6,118,129.8,140.9,154.7,166.6,180.9,195.1,217.9,246.3,283.8,318.9,346.8,373.6,401.8,426.9,443.7,450.7,469.2,502.9,561.9
"35","28","Recreation and culture","G16028",0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,2,2.2,2.5,3,3.4,3.8,4.1,4.6,5,5.4,6,6.3,6.6,7.6,7.9,8.6,8.8,9.5,10.3,11.3,12.2,12.9,13.2,14,14.6,14.9,15.7,16.5,17.5,19.2,20
"36","29","Education","G16029",7.8,8.4,9.3,10.4,11.5,12.3,14,14.7,16.2,17.7,19.3,21.2,23.4,25.9,30,34.2,38.2,43.3,50.5,57.1,63.3,69.8,77.9,91.4,99.7,106.9,114.6,125.7,138,150,159.6,169.1,182.2,197,211.9,226.3,241.4,260.3,280.8,294.3,305.6,323.5,339.5,358.6,375.5,397.1,418.7,441.7,470.2,499.2
"37","30","  Elementary and secondary","G16030",5.9,6.7,7.5,8.5,9.3,9.9,11.3,11.8,13.1,14.5,15.7,17.2,18.9,20.8,23.6,26.1,28.8,32.5,37.2,41.7,45.9,50.4,55.7,63.4,69.7,75.5,81.2,89.4,97.6,105,112.6,119.9,130.6,141,153.1,165.1,175.9,188.6,204.2,215.3,224.7,236,247.1,262.2,276.4,292.2,308.2,326.4,348.4,367.4
"38","31","  Higher","G16031",0.7,0.7,0.7,0.8,0.9,1.1,1.3,1.7,2,2.2,2.5,2.8,3.1,3.5,4.2,5.3,6.1,6.9,8.3,9.5,10.4,11.5,13.4,16.6,18.9,21,22.8,25.5,29.3,33.2,35,37,38.6,42.2,44.2,45.8,49.4,54.2,57.7,59,59.7,64.5,67,68.7,69.6,74.5,77.9,81.5,85.4,91.8
"39","32","  Libraries","G16032",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.1,2.3,2.5,2.8,3,3.2,3.4,3.7,4,4.1,4.2,4.5,4.7,5.1,5.5,5.8,6.2,6.6,6.9
"40","33","  Other","G16033",1,0.8,0.9,1,1.1,1.2,1.1,1,0.8,0.8,0.8,0.9,1,1.2,1.8,2.3,2.8,3.3,4.3,5.3,6.3,7,7.9,10.3,9.9,9.2,9.3,9.3,9.5,10.1,10.1,10.1,10.6,11.3,11.9,12.5,12.9,14.1,15.2,16,17.1,18.8,20.8,23,24.4,25,26.7,27.6,29.9,33
"41","34","Income security","G16034",9.1,10.3,12.5,13.3,14.6,17.2,21.2,22,23.6,27.2,28.2,29.5,30.4,33.1,35.1,38.5,43.2,47.4,58.2,69.3,76.7,87.8,104,130.9,141.1,150.3,158.5,176.4,210.7,235.7,262.7,280.3,282,296.2,311.8,321.4,339.9,363.8,396.6,439.8,487.3,508.6,520.4,539.8,559.6,573.5,591.7,611.7,642.7,688.7
"42","35","  Disability","G16035",2.6,2.8,2.9,3.1,3.2,3.5,4,4.4,4.7,5.3,5.6,6,6.3,6.8,6.9,7.5,8.1,9,10.1,11.6,13.1,15.2,17.2,19.5,22,24.6,26.4,29.7,32.6,35.9,37.5,38.6,39.5,41.3,42.8,44.6,46.9,49.4,53.4,58,63,67,70,73.8,78,80.3,83.9,87.7,92.8,99.1
"43","36","  Retirement \5\","G16036",2.6,3.5,4.2,5.5,6.3,8,9.1,10.7,11.6,12.9,14.6,15.4,16.1,18,19.5,20.9,24.2,25.9,30.6,35.4,39.4,48.3,54.4,61.8,69.1,76.8,84.2,94.6,109.4,128.5,143.9,154.6,163,172.4,182,189,200.9,213.4,228.5,246.1,260.8,273.6,284.8,297.5,308.4,321.9,332.6,339.4,358,377.4
"44","37","  Welfare and social services","G16037",2.8,2.9,3.1,3,3.5,3.7,4,4.1,4.1,4.5,4.8,5,5.2,5.9,6.6,7.6,8.4,10,13.1,16,18,19.3,24.8,29.4,32.1,34,35.8,39.9,47.3,51.7,53,57.8,60.6,63.9,67.2,69.8,74,79.7,89.5,100.7,112.2,119.7,125.6,127.7,127.2,124.9,127.5,132.8,138.7,147
"45","38","  Unemployment","G16038",1.1,1,2.2,1.5,1.5,1.9,4.2,2.8,3,4.4,3.2,3,2.7,2.3,1.9,2.2,2.2,2.3,4.1,5.9,5.7,4.4,6.8,17.7,16,12.9,10.1,10.1,18.4,16.8,25.4,26.4,16,15.9,16.6,14.8,13.4,14.6,18.3,26.9,39.1,34.3,23.7,21.6,22.4,20.2,19.8,20.6,21,32.6
"46","39","  Other","G16039",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.7,0.8,2.5,1.9,2.1,2,2.1,3,2.9,2.8,2.9,2.9,2.9,3.2,3.3,4.8,6.7,6.9,8,12.2,14,16.2,19.2,23.5,26.2,28,31.2,32.2,32.7
"47","40","      Federal","A956RC",62.1,66.8,64.2,65.4,68.3,76.1,81.5,83.8,85.8,92,100,105,109.3,116.1,133.6,153.2,169.8,180.5,198.6,216.6,240,259.7,291.2,345.4,371.9,405,444.2,489.6,576.6,659.3,732.1,797.8,856.1,924.6,978.5,1018.4,1066.2,1140.3,1228.7,1287.6,1418.9,1471.5,1506,1575.7,1635.9,1678.8,1705.9,1755.3,1827.1,1936.4
"48","41","General public service","G16041",8.9,8.7,8.5,8.8,8.9,9.1,8.8,9.9,10.8,10.6,11.3,12,12.8,13.5,14.4,14.9,16.3,18.2,21.1,22.5,26.2,35.1,39.8,42.7,48.6,52.5,58.7,67.7,81.7,99.7,117,128.8,153.2,173.8,182.5,186,199.1,220.6,240.3,218.4,269.3,269.5,278.1,302.4,310.4,313.1,314.7,301.4,301.6,277.8
"49","42","  Executive and legislative","G16042",4.3,3.8,3.6,4,3.6,3.3,3.4,3.6,3.8,4.1,4.4,4.4,4.5,4.8,4.9,4.6,3.3,3.7,4.5,5.5,6.1,6,7.8,8.7,9.6,9.2,9.9,11.4,13.9,13.4,15.5,15,17.5,20.6,23.4,21.3,21.5,21.3,23.6,-14.4,31.6,31.2,30.3,27.6,30.9,29.9,30.3,31,34.5,31.1
"50","43","  Tax collection and financial management","G16043",NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,0.9,0.9,1.3,1.7,1.9,2.1,2.4,2.4,2.2,2.6,2.6,2.5,2.3,2.7,3.1,4.1,3.9,4.1,4.6,4.9,5.6,5.8,6.2,7.5,8.6,8.1,8.2,7.4,5.9,7.1,6,6.6,4.2,8.6
"51","44","  Net interest paid","G16044",4.7,4.8,4.9,4.8,5.3,5.8,5.4,6.4,7.1,6.6,7.1,7.7,8.4,8.9,9.8,10.5,12.1,13.6,15.3,15.3,16.1,19.9,22.9,25.6,29.9,32.5,38.5,47,58.5,79.1,93.9,104.6,127.5,144.4,150.5,159.8,172.1,193.5,210.5,225.2,229.2,230.2,239.6,267.5,273.6,276.2,278.5,263.8,263,238.1
"52","45","  Other \6\","G16045",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.1,7,6.6,6.1,6.9,8.3,7.6,6.9,6.8,4.5,4.6,5.1,4.4,4.8,4,0.1,0,0,-0.1,0.1,0,0,0,0,0,0,0,0,NA,NA
"53","46","National defense","G16046",38.9,41.3,37.1,36.9,38.9,43.3,44.2,42.3,43,44.4,48.4,50.3,50.5,52.5,61.6,71.6,79.2,80.3,78.8,79.5,82.5,82.9,87.7,93.7,98.2,106.4,114.7,125.9,146.1,169.7,194.4,211.4,236,256.3,270.8,286.3,296.2,302.3,311.2,323.6,319.5,311.8,303.6,299.8,304.8,306.8,302.5,314.9,324.2,347.3
"54","47","Public order and safety","G16047",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.9,1.1,1.5,1.8,2.1,2.5,2.8,2.9,3,3.3,3.6,3.7,3.7,4.2,4.8,5.2,5.6,6.4,7.7,8.7,9.3,10.4,12.1,12.3,13.5,14.3,15.8,17.9,19.4,23.5,26.3,28.5
"55","48","  Police","G16048",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.1,1.4,1.4,1.5,1.6,1.7,1.8,1.8,1.8,2.2,2.5,2.8,2.9,3.4,4.2,4.6,4.8,5.3,6.2,6.3,6.5,6.5,7.7,9.5,10.8,13,14.5,15.8
"56","49","  Fire","G16049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.2
"57","50","  Law courts","G16050",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.9,1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.5,2.9,3.3,3.8,4.4,4.6,4.8,5.1,5.4,5.6,6.1,7.6,8.2,8.9
"58","51","  Prisons","G16051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.7,0.8,1,1.2,1.2,1.2,1.5,1.4,2.2,2.6,2.5,2.7,2.4,2.9,3.5,3.7
"59","52","Economic affairs","G16052",3.2,5,4.8,5.1,4.2,4.6,5.2,7.4,6.2,6.9,8.9,9.5,11.5,12.7,13.9,14.7,16.5,18,19.1,20.6,22.8,22.1,20.5,28.8,29.6,36.4,45.7,44.2,49.4,52.7,50.1,60.8,57,58.7,66,68.7,62,64.9,73.1,69.3,73.3,82,77,74.1,76.9,77.4,80.2,92.9,101.8,108.7
"60","53","  General economic and labor affairs","G16053",0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.6,0.7,1,1.3,1.9,2.4,2.5,2.8,4.1,5.2,5.3,4.2,7,8.2,10.3,16.2,14.2,13.4,10.9,7.8,7.5,7,7.4,7.4,7.5,8.2,9.5,12.7,9.2,10.1,9.9,10.2,11.1,11.4,12.1,12.1,13.3,16.3,13.5
"61","54","  Agriculture","G16054",1,2.9,2.9,3.3,1.9,2.3,2.4,4.5,2.6,2.7,3.7,3,3.6,3.6,3.5,3.7,5.5,6.7,5.8,5.4,6.3,5.2,2.8,3.7,3.7,5,6.6,5.2,7.3,7.5,11.1,18.2,14.5,17.2,27,25.8,17.5,17.7,17.2,16.3,17,22.6,16.1,15.7,16,16.6,21,31.9,34,33.4
"62","55","  Energy","G16055",0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.7,0.8,1,1,1,1.1,1,1,1,0.9,1.1,1,1.5,2.5,3.1,4.1,5.7,5,4.9,9.4,6,5.6,5.8,4.4,3.5,4.1,4.2,3.3,4.8,3.5,4.3,5.8,5.6,7.2,6.3,4.5,2.8,3.9,4,4.7
"63","56","  Natural resources","G16056",0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.9,0.6,0.9,1.3,1.3,1.6,1.3,1.6,2,2.1,2.7,2.8,3.8,4.2,5.4,5.6,6.7,6.5,6.7,6.5,6.6,7.1,7.7,8.1,8.7,9.2,10.5,11.1,10.9,11.1,10.9,11.4,10.9,13.3,14.2
"64","57","  Transportation","G16057",0.8,0.7,0.7,0.7,0.8,0.8,1,1.2,1.3,1.4,1.5,1.6,1.7,1.7,1.9,2,2.1,2.2,2.6,2.9,3.3,3.6,4.1,5.1,5.6,6.6,7,7.9,9,9.2,9.4,11.3,11.2,11.1,10.4,11.4,11.6,11.9,12.6,13.7,14.9,15,15.6,14.7,15,15.5,15.3,15.4,16,22.4
"65","58","    Highways","G16058",0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"66","59","    Air","G16059",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,1,1.2,1.4,1.4,1.5,1.7,1.8,2,2.2,2.2,2.3,2.6,2.8,2.7,3.4,3.7,4.1,4.1,4.1,4.6,5,5.3,5.6,6.3,6.3,6.3,6.2,6.5,6.9,7.1,7.2,7.4,13.5
"67","60","    Water","G16060",0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.6,3,3.4,3.7,3.9,4.5,4.7,4.7,4.5,4.7,5,5.1,5.6,6.2,6.2,6.3,6.5,6.3,6.4,6.4,6.7,7,7.5,7.9
