"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"32","23","          Interest received","L318231A",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6
"33","24","          Contributions received (employer)","L318241A",-0.3,-0.3,0,0,-0.2,-0.5,-0.6,-0.8,-0.8,-0.9,-0.9,-1,-1.1,-1.1,-1.2,-1.3
"34","25","          Benefits paid","L318251A",0.6,0.7,0.8,0.9,1,1.1,1.3,1.5,1.6,1.8,2,2.2,2.6,2.9,3.3,3.9
"35","26","          Administrative expenses","L318261A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","27","        District of Columbia","L318271A",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"37","28","        Federal Home Loan banks and Federal Land banks","L318281A",-0.3,0,-0.3,0.2,0.4,0.1,-0.5,1.1,0.4,-0.3,1.1,0.5,1.8,1.2,1.8,-3
"38","29","        Net investment \8\","L318291A",7.6,8.6,7,3.3,1.6,2.4,2.1,4.6,4,4.4,5.6,4.7,3.6,2.5,2.6,4.4
"39","30","        Capital transfers paid \9\","L318301A",0.5,0.5,0.6,0.6,0.8,1.1,1.8,2.7,2.9,2.7,3,3.1,3.8,4.2,4.2,4.2
"40","31","        Financial transactions","L318311A",1.6,1.8,-0.6,1.3,2.4,4.4,3.4,4.3,2.5,3.2,4.8,2.8,3.7,3.9,4,2.1
"41","32","          Loan disbursements less loan repayments and sales \10\","L318321A",1.6,1.8,-0.7,0.9,1.6,3,2.5,3.3,1.4,1.9,3.7,1.6,2.8,3,3.5,2.1
"42","33","          Net purchases of foreign currency","L318331A",0,0,0.1,0.4,0.8,1.4,0.9,1,1.1,1.3,1.1,1.2,0.9,0.9,0.5,0
"43","34","        Other \11\","L318341A",-0.8,-0.5,-0.8,0,-0.9,-0.9,-0.5,-1.3,-1.1,-1,-1.7,-1.4,-1.9,-1.2,-2.1,-1.7
"44","35","      Netting and grossing differences","L318351A",0.7,0.4,0.4,0.6,0.7,0.4,0.5,0.4,0.5,0.4,0.4,1,0.9,0.4,0.9,0.6
"45","36","        Taxes received from the rest of the world \5\","B1068C1A",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"46","37","        Other \6\","L318371A",0.7,0.4,0.4,0.6,0.7,0.4,0.5,0.4,0.4,0.3,0.2,0.8,0.7,0.2,0.7,0.4
"47","38","Plus: Timing differences","L318381A",-0.3,0.6,0.9,0,0.5,0.4,2.4,1.2,0.6,0.6,2.2,0.6,1.1,0.8,-0.2,-0.7
"48","39","        Purchases (increase in payables net of advances) \12\","L318391A",-0.7,0.1,0.2,-0.4,-0.1,0.3,1.7,0.5,0.3,0.3,0.4,-0.5,-1.2,0.9,-0.3,-0.8
"49","40","        Interest","L318401A",0.8,0.7,0.6,0.5,0.5,0.4,0.3,0.9,0.5,0.2,0.7,0.9,0.9,0.8,0.8,0.7
"50","41","        Transfer payments","L318411A",0,0,0.1,0,0,0,0,0,0.1,-0.2,0.3,0.1,0,0,0,0.1
"51","42","        Subsidies less current surplus of government enterprises","L318421A",0,0,0.2,-0.1,-0.2,0.2,-0.1,-0.1,0,0,0.3,0.1,0.4,-0.1,0.2,-0.1
"52","43","        Checks outstanding and certain other accounts","L318431A",-0.4,-0.3,-0.1,-0.1,0.2,-0.6,0.6,-0.1,-0.3,0.3,0.5,-0.1,0.9,-0.9,-0.9,-0.6
"53","44","Equals: Federal Government current expenditures, national income and product accounts","L318441A",58.1,66,65.7,63.7,67.2,72.1,78.2,83.3,84.6,89.7,95.5,102.1,107.8,110.4,123.9,145.2
"54",NA,"      Surplus or deficit (-)"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","Consolidated cash budget surplus or deficit (-) (1-19)","L318451A",0,-5.3,-0.2,-2.7,4.5,2.1,-1.6,-13.1,0.7,-2.3,-5.8,-4,-4.8,-2.7,-3.3,-1.5
"56","46","Plus: Net investment (29)","L318461A",7.6,8.6,7,3.3,1.6,2.4,2.1,4.6,4,4.4,5.6,4.7,3.6,2.5,2.6,4.4
"57","47","Less: Net capital transfers received (5-30)","L318471A",0.4,0.3,0.3,0.3,0.4,0.3,-0.4,-1.4,-1.3,-0.8,-0.9,-1,-1.4,-1.5,-1.1,-1.2
"58","48","      Federal employee retirement plans (4-22)","L318481A",0.3,0.2,-0.1,-0.2,0,0.3,0.2,0.3,0.1,0.2,0.1,0,-0.1,-0.2,-0.5,-0.7
"59","49","      Other coverage differences (3+6+7+8-21-27-28-31-34)","L318491A",-0.1,-1,2.3,-0.7,-1.3,-3.1,-1.9,-3.5,-1.1,-0.9,-3.9,-1.4,-3.4,-3.5,-3.4,3.7
"60","50","      Timing differences (38-12)","L318501A",1.5,2,5.4,-1.2,-0.2,0.7,5.4,-3.4,0.1,1.8,-0.2,-0.7,0.3,0.3,1.4,5.3
"61","51","Equals: Federal Government surplus or deficit (-), national income and product accounts (18-44)","L318511A",5.7,1.9,-1.1,2.4,7.3,6.4,-2.7,-0.5,7,1.9,4.7,3.8,3.3,4.7,2.9,-4.2
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63"," 1. Consists largely of contributions for social insurance by residents of U.S. territories, Puerto Rico, and the Northern ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65"," 2. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66"," 3. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67"," 4. Consists largely of sales of land, receipts from offshore oil leases, and U.S. Treasury receipts from sales of foreign ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","currencies to Government agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69"," 5. Taxes received from the rest of the world are included in receipts in the cash budget and netted against expenditures ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","(transfer payments) in the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71"," 6. Consists largely of sales of goods and services and interest receipts that are recorded as receipts in the cash budget and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","netted against expenditures in the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73"," 7. Consists of transfer payments, subsidies, and grants-in-aid to residents of U.S. territories, Puerto Rico, and the Northern ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75"," 8. Net investment is gross investment less consumption of fixed capital for government enterprises and general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76"," 9. Consists of investment grants to State and local governments and maritime construction subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77"," 10. Also includes the financial transactions of deposit insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78"," 11. Consists largely of offshore oil leases and purchases of land, certain purchases of foreign currency from the U.S. Treasury ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","by Government agencies, net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","expenditures of foreign currencies, grants to the District of Columbia, and net purchases of silver and minor coin metal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," 12. Consists largely of real estate transactions, sales of military equipment to foreign countries, purchases of farm ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","commodities, and purchases of defense equipment and supplies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","  Note.  In this time period, fiscal year estimates reflect a July 1-June 30 fiscal year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","NIPA quarterly and fiscal year estimates in this table are consistent with the not seasonally adjusted estimates published in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","table 9.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
