"","Table 4#3# Exports and Imports of Goods and Services by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"14","7","  Capital goods, except automotive","A640RC",9.9,11.1,12.4,14.7,15.4,16.9,22,30.9,36.6,39.1,39.8,47.5,60.2,76.3,84.2,76.5,71.7,77,79.3,82.8,92.7,119.1,138.9,152.5,166.5,176.1,182.1,205.2,233.8,253.3,295.7,299.9,311.2,357,321.7,293.5
"15","8","    Civilian aircraft, engines, and parts","B688RC",0.8,1.4,1.3,1.5,1.9,1.7,2.3,3.4,3.2,3.2,2.8,7.3,10.6,14.1,13.9,10.1,11.1,10.2,13.5,15.4,16.4,21.2,26.6,32.2,36.6,37.7,32.7,31.5,26.1,30.8,41.4,53.5,52.9,48.1,52.6,51.4
"16","9","    Computers, peripherals, and parts","B850RC",0.5,0.6,0.8,1.2,1.3,1.3,1.7,2.2,2.2,2.6,3.3,4.3,5.7,7.8,8.9,9.4,11.1,14.2,14.7,15.7,18.8,24,24.5,25.9,27.3,28.8,29.3,33.3,39.7,43.7,49.4,45.2,46.7,55.5,47.6,38.7
"17","10","    Other","B689RC",8.6,9.1,10.4,11.9,12.2,13.9,18,25.3,31.2,33.3,33.8,35.9,43.9,54.4,61.4,57.1,49.5,52.6,51.1,51.7,57.5,73.9,87.9,94.5,102.6,109.6,120.1,140.5,168,178.7,205,201.1,211.6,253.4,221.6,203.3
"18","11","  Automotive vehicles, engines, and parts","B641RC",2.8,3.5,3.9,3.9,4.7,5.5,7,8.8,10.8,12.2,13.5,15.2,17.9,17.4,19.7,17.2,18.5,22.4,24.9,25.1,27.6,33.4,34.9,36.5,40,47,52.5,57.8,61.8,65,74,72.4,75.3,80.4,75.4,78.5
"19","12","  Consumer goods, except automotive","A642RC",2.1,2.3,2.6,2.8,2.9,3.6,4.8,6.4,6.6,8,8.9,11.4,14,17.8,17.7,16.1,14.9,15.1,14.6,16.7,20.3,27,37.3,43.7,46.9,51.4,54.7,60,64.4,70.1,77.4,80.3,80.9,89.4,88.3,84.9
"20","13","    Durable goods","B690RC",0.9,1,1.2,1.2,1.3,1.7,2.4,3.3,3.1,4,4.2,5.9,7.3,9.8,9,7.8,6.8,6.7,6.4,7.6,9.5,13.3,20.5,23.8,24.6,26.6,28.4,30.6,32.8,35.7,39.8,41.6,41.9,46.8,46.5,44.4
"21","14","    Nondurable goods","B691RC",1.2,1.3,1.4,1.6,1.6,1.9,2.4,3.1,3.4,4.1,4.8,5.5,6.7,8,8.7,8.4,8.1,8.3,8.2,9.1,10.8,13.6,16.9,19.9,22.2,24.9,26.2,29.4,31.6,34.3,37.6,38.7,39.1,42.6,41.9,40.5
"22","15","  Other","A643RC",2.3,2.5,2.9,3.6,3.8,4.4,5.2,6.4,7.1,6.9,8.5,7.3,8.2,10.1,13,11.1,13,17,19.4,18.8,24.3,28.3,26.2,28.9,31,28.8,27,28.9,32.1,33.5,37.7,39.5,41.6,43.8,43.3,46.1
"23","16","Exports of services \1\","A646RC",9.2,10,11,12.4,13.8,14.4,17.8,23.3,26.7,31.1,35.1,40.7,44.7,53.2,63.7,67.6,69.7,77.5,80.8,94.3,108.1,121.1,137.3,158.6,175.2,188.1,198.3,215.5,234.7,255.8,277.5,283.6,292,316.1,300.6,311.7
"24","17","  Transfers under U.S. military agency sales contracts","B267RC",1.2,1.4,1.5,1.5,1.9,1.4,2,3,4,5.5,7.4,8,6.5,8.3,10,12,12.3,9.8,8.7,8.5,11.1,9.2,8.5,9.8,10.3,10.9,11.6,11.7,13.7,14.6,16,16.5,14.8,12.8,11.2,11.4
"25","18","  Travel","B493RC",1.6,1.8,2,2.3,2.5,2.8,3.4,4,4.7,5.7,6.2,7.2,8.4,10.6,12.9,12.4,10.9,17.2,17.8,20.4,23.6,29.4,36.2,43,48.4,54.7,57.9,58.4,63.4,69.8,73.4,71.3,74.7,82.3,73.1,70.7
"26","19","  Passenger fares","B533RC",0.4,0.4,0.5,0.5,0.6,0.7,1,1.1,1,1.2,1.4,1.6,2.2,2.6,3.1,3.2,3.6,4.1,4.4,5.6,7,9,10.7,15.3,15.9,16.6,16.5,17,18.9,20.4,20.9,20.1,19.8,20.8,18,17.5
"27","20","  Other transportation","B683RC",2.4,2.5,2.7,3.1,3.3,3.6,4.5,5.7,5.8,6.7,7.1,8.1,10,11.6,12.6,12.3,12.6,13.8,14.7,15.4,17,19.3,20.5,22,22.6,21.5,22,23.8,26.1,26.1,27,25.6,26.9,30.1,28.3,28.1
"28","21","  Royalties and license fees","B684RC",1.7,1.9,2,2.3,2.5,2.8,3.2,3.9,4.4,4.5,5,6,6.3,7.2,7.4,5.6,5.8,6.2,6.7,8.1,10.2,12.1,13.8,16.6,17.8,20.8,21.7,26.7,30.3,32.5,33.6,35.6,36.9,39.6,38.7,42
"29","22","  Other private services","B720RC",0.7,0.8,0.9,1,1.3,1.5,1.7,3,3.7,4.5,4.9,6.2,7.3,8.6,13.2,16.9,17.6,18.6,19.4,26.8,28.2,30.2,35.9,39.2,46.5,48.6,52.5,60.1,63.5,72.4,84.5,91.3,98.2,104.7,108.1,117.1
"30","23","  Other","B980RC",1.1,1.2,1.4,1.6,1.6,1.7,2.1,2.6,2.9,3,3.2,3.7,4,4.3,4.5,5.3,6.8,7.8,9.2,9.5,11.1,11.9,11.8,12.6,13.7,14.9,16.1,17.7,18.9,20,22.1,23.2,20.7,25.9,23.2,24.9
"31","24","    Imports of goods and services","B021RC",39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,589.7,628.6,622.3,664.6,718.5,812.1,902.8,963.1,1055.8,1116.7,1239.2,1466.6,1383,1435.7
"32","25","Imports of goods \1\","A255RC",27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.5,508,500.7,544.9,592.8,676.7,757.6,808.3,885.1,930,1045.3,1243.1,1167.2,1190
"33","26","  Foods, feeds, and beverages","B647RC",4.6,5.3,5.2,6.1,6.4,7.3,9.1,10.6,9.6,11.5,14,15.8,18,18.6,18.6,17.5,18.8,21.9,21.8,24.4,24.8,24.9,24.9,26.4,26.2,27.6,27.9,31,33.2,35.7,39.7,41.2,43.6,46,46.6,49.5
"34","27","  Industrial supplies and materials, except petroleum and products","A649RC",9.9,12,11.7,12.2,13.6,16,19.2,27,23.6,28.5,33.4,39.3,45,47.3,52,45.4,51.1,62.6,59.2,62.5,66.1,76.6,78.6,78.1,75.6,82.3,88.9,105,119.9,125.2,135.4,142.5,147.9,172.8,164.8,158.7
"35","28","    Durable goods","A820RC",6,7.6,7.1,7.5,8.3,9.9,12.1,17.1,14.1,16.3,19.9,23.6,26.7,26.5,28.4,22.3,26.3,32.8,30.5,33.4,34,39.6,40.1,38.4,35.6,39.2,43.1,53.5,59.8,63.1,69.2,75.8,78.8,88.4,80,80.4
"36","29","    Nondurable goods","B696RC",3.9,4.4,4.5,4.8,5.3,6.1,7,9.9,9.5,12.2,13.5,15.7,18.3,20.8,23.7,23.1,24.8,29.8,28.7,29.1,32.1,37,38.5,39.6,40,43.2,45.9,51.4,60.2,62.1,66.2,66.7,69.1,84.4,84.8,78.3
"37","30","  Petroleum and products","B648RC",2.1,2.4,2.6,2.9,3.7,4.7,8.4,26.6,27,34.6,45,42.6,60.4,79.5,78.4,62,55.1,58.1,51.4,34.3,42.9,39.6,50.9,62.3,51.7,51.6,51.5,51.3,56.2,72.7,71.8,50.6,67.8,120.2,103.6,104
"38","31","  Capital goods, except automotive","A650RC",2.5,2.8,3.4,4,4.3,5.9,8.3,9.8,10.2,12.3,14,19.3,24.6,31.6,37.1,38.4,43.7,60.4,61.3,72,85.1,102.2,112.2,116.1,120.8,134.3,152.3,184.4,221.4,228.1,253.3,269.4,295.7,347,298,283.8
"39","32","    Civilian aircraft, engines, and parts","B932RC",0.1,0.2,0.2,0.2,0.2,0.5,0.6,0.6,0.5,0.4,0.6,0.8,1.4,3.1,3.9,3.5,3.2,3.7,5.3,6.1,6.6,7.9,9.4,10.5,11.7,12.6,11.3,11.3,10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.4
"40","33","    Computers, peripherals, and parts","B852RC",0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.7,1,1.2,1.5,1.9,2.7,5.5,8.3,8.4,11,14.8,18.4,21.4,22.9,26,31.7,38,46.2,56.3,61.5,70.2,72.5,81.5,89.8,74,75.7
"41","34","    Other","B853RC",2.2,2.6,3.1,3.6,3.9,5.2,7.3,8.8,9.2,11.3,12.7,17.5,22,27,31.3,32.2,35,48.4,47.6,54.9,63.7,76,81.3,82.7,83.1,90,103,126.9,154.4,153.9,166.5,175.2,190.5,230.9,192.6,182.8
"42","35","  Automotive vehicles, engines, and parts","B651RC",2.4,4,5.1,5.7,7.6,9,10.7,12.4,12.1,16.8,19.4,25,26.6,28.3,31,34.3,43,56.5,64.9,78.1,85.2,87.9,87.4,88.5,85.7,91.8,102.4,118.3,123.8,128.9,139.8,148.7,179,195.9,189.8,204.2
"43","36","  Consumer goods, except automotive","A652RC",4.2,5.4,6.5,7.4,8.4,11.1,12.9,14.4,13.2,17.2,21.8,29.4,31.3,34.3,38.4,39.7,47.3,61.1,66.3,79.4,88.8,96.4,103.6,105.1,107.8,122.7,134.1,146.3,160,172.1,193.9,217.1,242,282,284.5,307
"44","37","    Durable goods","B697RC",2.6,3.3,4,4.4,5,6.9,8.1,9.2,7.7,9.6,13.4,18,19.1,21.1,23.4,23.4,27.4,34.9,38.3,45.6,49,52.8,56.9,55.7,56.9,63.9,70.3,77.2,83.8,90.4,99.4,112.9,126.5,149.6,146.7,160.3
"45","38","    Nondurable goods","B698RC",1.6,2,2.5,3,3.3,4.2,4.8,5.2,5.5,7.6,8.4,11.3,12.2,13.2,15,16.2,19.8,26.2,28,33.7,39.8,43.6,46.7,49.3,50.9,58.7,63.8,69.1,76.2,81.7,94.5,104.2,115.6,132.4,137.8,146.8
"46","39","  Other","A653RC",2,2.1,2.3,2.5,2.7,3,3.3,3.7,3.3,3.8,5.1,6,6.8,9.1,12.3,13.3,13.6,15.8,18.3,19.5,21.8,24.3,26.9,31.6,32.9,34.6,35.7,40.6,43.1,45.6,51.2,60.3,69.4,79.2,79.9,82.7
"47","40","Imports of services \1\","B656RC",12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.2,93.1,101.1,105.2,120.6,121.6,119.8,125.7,135.4,145.2,154.8,170.7,186.7,193.9,223.5,215.8,245.7
"48","41","  Direct defense expenditures","B752RC",4.4,4.5,4.9,4.9,4.8,4.8,4.6,5,4.8,4.9,5.8,7.4,8.3,10.9,11.6,12.5,13.1,12.5,13.1,13.7,15,15.6,15.3,17.5,16.4,13.8,12.1,10.2,10,11,11.7,12.2,13.3,13.6,15.2,18.8
"49","42","  Travel","B768RC",3.2,3,3.4,4,4.4,5,5.5,6,6.4,6.9,7.5,8.5,9.4,10.4,11.5,12.4,13.2,22.9,24.6,25.9,29.3,32.1,33.4,37.4,35.3,38.6,40.7,43.8,44.9,48,52.1,56.5,58.9,64.8,60.1,60.4
"50","43","  Passenger fares","B769RC",0.8,0.9,1.1,1.2,1.3,1.6,1.8,2.1,2.3,2.6,2.7,2.9,3.2,3.6,4.5,4.8,6,5.7,6.4,6.5,7.3,7.7,8.2,10.5,10,10.6,11.4,13.1,14.7,15.8,18.1,20,21.3,24.3,22.4,21.3
"51","44","  Other transportation","B770RC",2.2,2.4,2.5,2.8,3.1,3.5,4.7,5.9,5.7,6.9,8,9.1,10.9,11.8,12.5,11.7,12.2,14.8,15.6,17.8,19,20.9,22.2,25,25,23.8,24.5,26,27,27.4,29,30.4,34.1,41.6,38.8,39.1
"52","45","  Royalties and license fees","B908RC",0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,1,0.9,0.8,0.8,0.9,1.2,1.2,1.4,1.9,2.6,2.5,3.1,4,5.2,5,5.9,6.9,7.8,9.6,11.2,12.6,16.1,16.4,19
"53","46","  Other private services","B909RC",0.4,0.5,0.6,0.6,0.7,0.8,0.9,1.9,2.3,2.9,3.2,3.9,4.6,5.1,6.3,7.4,7.3,8.2,9.4,13.1,16.5,17.7,18.9,22.2,25.6,22.3,26.3,30.4,35.2,38,43.3,49.3,46.3,55.3,54.6,78.4
"54","47","  Other","B910RC",1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.5,2.6,2.8,3.1,3.3,3.4,3.7,3.7,4.2,4.5,4.6,4.9,5.2,5.6,5.7,6.1,6.3,6.7,7,7.1,7.3,7.9,8.3,8.7
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of agricultural goods \2\","B181RC",6.5,6.3,6.1,7.4,7.8,9.5,18,22.4,22.2,23.4,24.3,29.9,35.5,42,44.1,37.3,37.1,38.4,29.6,27.2,29.5,38.3,42.2,40.2,40.1,44,43.7,47.1,57.2,61.5,58.4,53.2,49.7,52.8,54.9,54.2
"57","49","  Exports of nonagricultural goods","A182RC",25.7,29,32.2,37.2,37.7,42.3,55.9,78.6,87.4,94.4,99.3,115.5,148.6,183.7,195,177.7,170.2,187.2,192.6,198.8,228,287.5,329.5,358.4,386.2,404.6,416,462.5,526.6,556.9,630.5,628.2,647.7,732.2,678.6,651.7
"58","50","  Imports of nonpetroleum goods","A187RC",25.7,31.6,34.2,37.9,42.9,52.3,63.4,77.9,72,90.1,107.6,134.9,152.4,169.1,189.4,188.6,217.6,278.3,291.9,335.7,371.8,412.5,433.6,445.7,449,493.3,541.3,625.4,701.5,735.6,813.3,879.3,977.6,1122.9,1063.6,1086
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60"," 1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","in services.  Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63"," 2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
