"","Table 8#28# Comparison of Personal Income in the National Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"11","4","        Other labor income except fees","B1459C",3,3.4,3.8,4.7,5.8,6.4,7.1,7.4,8.4,9.9,11.3,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5,41.8,47.9,55.2,62.7,73.2,87.5,105.1,125.1,143.1,162.2,184.9,204.4,222.2,237.8,261.2,281.3,297.3,317.9,335.1,359,388.3,413.7,447.5,480.6,505.3,494.6,487.5,472.7,487.9,507.4,541.3,NA
"12","5","        Imputed income in personal income \1\","B4801C",7.9,8.4,8.7,9.5,11.1,12.1,13.4,14.2,14.6,15.1,15.6,16.4,17.3,18.6,19.5,20.5,21,21.7,22.5,24.2,25.5,25.9,28.2,29.8,31.1,31.6,34.6,37.9,41.3,42.6,42.9,52.3,58.6,64,66.1,66.4,79.6,83.9,91.2,100.9,121.9,134.5,132.6,145.9,163.9,175.2,205.2,230.8,242.7,264.3,291.9,320.3,343.5,370.6,NA
"13","6","        Investment income of life insurance carriers and pension plans","B1471C",1.7,1.7,1.8,2.1,2.2,2.5,2.8,3.1,3.4,3.8,4.3,4.7,5.4,6.1,6.8,7.5,8.3,9.2,10.1,11.1,12.2,13.3,14.7,16.5,18.2,20,22.7,27.1,32.1,36.7,42.8,53.6,64.4,78.6,86.4,97.7,120.2,153.1,186.1,205,231.3,237.5,261.7,278.8,292.8,301.2,319.7,321.1,358.8,366.7,405.7,427.9,431.2,469.6,NA
"14","7","        Investment income received by nonprofit institutions or retained by fiduciaries","B1462C",1.9,2,2,2.1,2.1,2.2,2.5,2.8,3.1,3.4,3.7,3.8,4,4.2,4.2,4.3,4.5,4.9,5.4,5.9,6.2,6.7,7,7.8,8.1,8.5,9,10.1,11.6,11.8,12.7,13.5,16,19.9,23.1,29.3,30.6,34.4,37.5,37.1,39.3,44.4,49.4,51.6,51.6,49.6,49,51.9,59.8,59.9,64.5,65.8,68.8,66,NA
"15","8","        Differences in accounting treatment between NIPA's and tax regulations, net","B1463C",-1.5,3.9,2.2,1.4,3.2,4.4,3.3,3.1,2.2,2,3,6.2,4.5,5.8,6.1,5.6,5.4,5.4,5.7,5.7,7.2,7.9,7.1,6.7,10.3,9.5,10.9,6.2,15.7,11.5,16.6,15,16.9,11.5,41.8,47.8,34.3,69,87.9,89,79.8,82.8,99.3,109.7,107.2,106,83.9,82,72.9,79.9,90,95.8,101.6,107.2,NA
"16","9","        Other personal income exempt or excluded from adjusted gross income","B1464C",3.3,3.3,2.7,1.6,2.8,3.7,3.6,4,3.9,4.2,4.4,4.6,4.8,5.2,5.3,6.2,6.5,7.2,8,10.3,12,13.8,14.9,15.8,16.9,17.6,18,22.2,24.4,26.1,28.6,33.2,38.9,43.6,60.5,96.1,117,136.7,156.4,170.6,106,120.1,130,155,171.3,180.5,187.9,217.6,240.6,273.2,299.9,341.2,362.3,394.1,NA
"17","10","Plus: Portion of adjusted gross income not included in personal income","A1465C",5.7,5.9,5.7,7.6,8.6,8.1,8.1,10.3,12.5,13.6,14.2,15.7,18.8,18.7,22.1,21,23.9,28.3,32.8,37.6,43.9,50.4,52.4,50.8,60.4,71.5,82.4,88.9,96.3,109.8,123.7,141.4,166.7,186.3,213.2,230.7,270.4,308.1,353.1,460.3,494.8,561.6,593.5,589.5,594.8,659,705.9,766.1,840.7,978,1152.1,1325.5,1502.5,1610.8,NA
"18","11","        Personal contributions for social insurance","B228RC",1.6,1.6,1.5,2.1,2.5,2.8,2.9,3.5,3.9,4.3,5,5,6,7.2,7.4,7.9,9.3,9.8,10.3,14.5,16.8,18.7,21.4,22.5,24.7,28,35.7,40.5,42.6,46.9,52,59.7,70.2,77.2,92.1,99.1,106.1,118.4,133.6,145.6,156.8,176.8,191.6,203.7,215.1,226.6,237.8,254.1,268.8,280.4,297.9,316.3,337.4,358.4,372.3
"19","12","        Gains, net of losses, from sales of property","B1467C",2.1,2.2,1.5,2.8,2.9,2.4,2,3.3,4.6,4.3,3.4,4.2,6.2,5.2,7.5,5.6,6.2,7.8,9.9,9.7,13.4,17.6,14.3,8.6,13,17.3,17,13.9,14.2,18.7,21.4,24.5,29.4,29.7,31.1,35,50.6,56.2,69.8,133.6,138,155.6,146.7,115.7,100.6,115.6,140.3,139.1,167.4,249.5,354.6,444.5,541,573.6,NA
"20","13","        Taxable pensions","B1468C",0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.7,2.1,2.3,2.7,3.1,3.5,4,4.5,5.1,5.9,6.7,7.9,9,10.3,11.9,13.9,16.4,19.2,21.9,26.2,31.6,37.3,43,49.2,57.1,68.2,82.2,95,110.5,129.2,145,175.1,181.5,183,204,215.7,229,245.8,253.7,271.9,292.2,311.6,334.4,356.3,383.3,412.8,NA
"21","14","        Small business corporation income","B1469C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.5,NA,1.8,1.7,2,2.1,2.1,2.6,2.1,1.9,2,2.3,2.2,0.7,-0.8,-0.9,2,6.2,6.3,7.6,17.7,34.5,35.6,36.4,31.7,47.9,51.9,71.7,79.2,89.3,103.7,115.2,127.4,119.8,NA
"22","15","        Other types of income","B1470C",1.4,1.5,1.9,1.9,2.2,1.8,2,2.1,2.3,2.9,3.5,3.8,3.5,2.8,3.2,3,3.3,4.9,5.8,4.3,3.1,3.7,3,4.1,4.3,4.8,5.6,5.8,5.9,4.9,5.4,5.7,7.7,10.4,8.7,2.4,1.3,-1.9,-1.7,-1.7,0.7,11.6,15.6,18.1,18.5,23.2,22.3,29.2,33.2,47.1,61.5,93.2,113.3,146.3,NA
"23","16","Equals: BEA-derived adjusted gross income","A1637C",170.8,183.9,181.5,202.3,228.8,241.1,255.4,256.6,278,298.8,312.1,314.8,339.1,351.4,365.8,387.8,409.2,442.2,479.8,521.7,555.4,609.3,663.3,699.3,744.8,825.5,926.1,1005.4,1048,1169.1,1297.6,1469.6,1658.5,1831.6,2016.3,2094.7,2225.7,2473.3,2629.9,2848.3,3125.4,3415.8,3658.6,3813.2,3864.4,4108.3,4260,4485.7,4766.4,5151.6,5594.3,6123.7,6562.4,7122.4,NA
"24","17","Adjusted gross income, IRS","B1456C",149.7,163.5,160.6,179.1,202.3,215.3,228.7,229.2,248.5,267.7,280.3,281.2,305.1,315.5,329.9,348.7,368.8,396.7,429.2,468.5,504.8,554.4,603.5,631.7,673.6,746,827.1,905.5,947.8,1053.9,1158.5,1302.4,1465.4,1613.7,1772.6,1852.1,1942.6,2139.9,2306,2481.7,2773.8,3083,3256.4,3405.4,3464.5,3629.1,3723.3,3907.5,4189.4,4536,4970,5416,5855.5,6330.6,NA
"25","18","Adjusted gross income (AGI) gap \2\","B1671C",21,20.4,20.9,23.1,26.5,25.8,26.7,27.4,29.5,31,31.8,33.6,34,36,36,39.1,40.4,45.6,50.6,53.3,50.6,54.9,59.7,67.6,71.2,79.5,99,99.8,100.2,115.2,139.1,167.1,193.1,217.9,243.7,242.6,283.1,333.4,323.9,366.6,351.6,332.8,402.3,407.8,399.9,479.2,536.7,578.2,577,615.6,624.3,707.7,707,791.9,NA
"26","19","      AGI gap (line 18) as a percentage of BEA-derived AGI (line 16)","A1639C",12.3,11.1,11.5,11.4,11.6,10.7,10.5,10.7,10.6,10.4,10.2,10.7,10,10.2,9.8,10.1,9.9,10.3,10.5,10.2,9.1,9,9,9.7,9.6,9.6,10.7,9.9,9.6,9.9,10.7,11.4,11.6,11.9,12.1,11.6,12.7,13.5,12.3,12.9,11.2,9.7,11,10.7,10.3,11.7,12.6,12.9,12.1,12,11.2,11.6,10.8,11.1,NA
"27","20","      AGI of IRS (line 17) as a percentage of BEA-derived AGI (line 16)","A1640C",87.7,88.9,88.5,88.6,88.4,89.3,89.5,89.3,89.4,89.6,89.8,89.3,90,89.8,90.2,89.9,90.1,89.7,89.5,89.8,90.9,91,91,90.3,90.4,90.4,89.3,90.1,90.4,90.1,89.3,88.6,88.4,88.1,87.9,88.4,87.3,86.5,87.7,87.1,88.8,90.3,89,89.3,89.7,88.3,87.4,87.1,87.9,88,88.8,88.4,89.2,88.9,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29"," 1. Consists of the imputations included in personal income shown in table 8.21 except for employer contributions for health and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","life insurance (line 146).  In table 8.28, these premiums are included in line 4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31"," 2. Consists of income earned by low-income individuals who are not required to file income tax returns, of unreported income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","that is included in the NIPA measure, and of gross errors and omissions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","in lines 2 through 15.  Also includes the net effect of errors in the IRS adjusted gross income (line 17) and NIPA personal ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","income (line 1) measures. Such errors can arise from the sample used by IRS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","to estimate line 17 and from the source data used by BEA to estimate line 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
