"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Excise taxes","B234RC1","562.0","535.0","489.0","633.0","1,220.0","1,761.0","1,694.0","1,687.0","1,771.0","1,702.0","1,818.0","2,109.0","2,814.0","3,358.0","4,055.0","5,217.0","6,175.0","7,202.0","7,246.0","7,436.0","7,505.0","8,200.0","8,615.0","9,557.0","10,137.0","8,963.0","9,771.0","10,245.0","10,732.0","10,373.0","11,162.0","12,006.0","12,131.0","12,929.0","13,459.0","14,106.0","13,814.0","12,580.0","13,255.0","14,614.0","15,442.0"
"22","4","    Gasoline","B2000C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,886.0","2,359.0","2,393.0","2,470.0","2,591.0","2,669.0","2,795.0","2,906.0","3,000.0","3,159.0","3,344.0"
"23","5","    Alcoholic beverages","B2001C1","13.0","11.0","10.0","7.0","138.0","374.0","458.0","569.0","587.0","564.0","602.0","720.0","927.0","1,214.0","1,452.0","2,069.0","2,336.0","2,648.0","2,292.0","2,139.0","2,161.0","2,380.0","2,410.0","2,677.0","2,748.0","2,628.0","2,731.0","2,968.0","2,822.0","2,881.0","3,019.0","3,077.0","3,182.0","3,291.0","3,345.0","3,582.0","3,622.0","3,786.0","4,026.0","4,220.0","4,473.0"
"24","6","    Tobacco","B2002C1","449.0","446.0","425.0","386.0","408.0","451.0","477.0","534.0","562.0","566.0","592.0","643.0","746.0","857.0","988.0","923.0","1,031.0","1,210.0","1,261.0","1,309.0","1,317.0","1,345.0","1,445.0","1,659.0","1,612.0","1,540.0","1,593.0","1,632.0","1,699.0","1,812.0","1,850.0","1,942.0","2,020.0","2,043.0","2,103.0","2,066.0","2,087.0","2,072.0","2,115.0","2,135.0","2,092.0"
"25","7","    Diesel fuel","B2003C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","    Air transport","B2004C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"27","9","    Crude oil windfall profits tax","B2005C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","    Other \1\","B2006C1","100.0","78.0","54.0","240.0","674.0","936.0","759.0","584.0","622.0","572.0","624.0","746.0","1,141.0","1,287.0","1,615.0","2,225.0","2,808.0","3,344.0","3,693.0","3,988.0","4,027.0","4,475.0","4,760.0","5,221.0","5,777.0","4,795.0","5,447.0","5,645.0","6,211.0","5,680.0","4,407.0","4,628.0","4,536.0","5,125.0","5,420.0","5,789.0","5,310.0","3,816.0","4,114.0","5,100.0","5,533.0"
"29","11","  Customs duties","B235RC1","575.0","454.0","356.0","248.0","283.0","291.0","353.0","387.0","454.0","342.0","327.0","305.0","416.0","295.0","396.0","363.0","384.0","489.0","418.0","392.0","365.0","534.0","575.0","564.0","570.0","544.0","657.0","721.0","768.0","825.0","1,049.0","1,066.0","1,030.0","1,202.0","1,227.0","1,318.0","1,613.0","1,869.0","1,909.0","2,258.0","2,370.0"
"30","12","  Other \2\","B036RC1","0.0","0.0","0.0","0.0","80.0","92.0","95.0","138.0","139.0","127.0","133.0","167.0","282.0","329.0","381.0","372.0","353.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"31","13","State and local","W072RC1","5,687.0","5,982.0","5,824.0","5,689.0","5,281.0","5,481.0","5,848.0","6,249.0","6,577.0","6,761.0","6,868.0","7,214.0","7,542.0","7,530.0","7,599.0","7,759.0","8,183.0","9,141.0","10,442.0","11,898.0","13,034.0","14,216.0","15,555.0","17,000.0","18,394.0","19,382.0","21,039.0","23,271.0","25,116.0","26,522.0","28,841.0","31,475.0","33,807.0","36,251.0","38,700.0","41,845.0","45,282.0","48,762.0","52,773.0","59,535.0","66,044.0"
"32","14","  Sales taxes","B248RC1","439.0","525.0","571.0","578.0","669.0","934.0","1,156.0","1,396.0","1,518.0","1,583.0","1,653.0","1,835.0","2,073.0","2,033.0","1,965.0","2,002.0","2,266.0","2,899.0","3,508.0","4,115.0","4,333.0","4,801.0","5,366.0","5,847.0","6,264.0","6,469.0","7,103.0","7,989.0","8,590.0","9,979.0","11,132.0","12,156.0","13,020.0","14,013.0","14,975.0","16,454.0","18,185.0","19,953.0","21,370.0","25,057.0","28,562.0"
"33","15","    State","A1666C1","414.0","500.0","545.0","552.0","641.0","904.0","1,096.0","1,306.0","1,417.0","1,463.0","1,542.0","1,705.0","1,942.0","1,900.0","1,831.0","1,866.0","2,110.0","2,716.0","3,202.0","3,715.0","3,882.0","4,317.0","4,815.0","5,220.0","5,546.0","5,766.0","6,324.0","7,100.0","7,559.0","8,900.0","9,982.0","10,817.0","11,588.0","12,557.0","13,413.0","14,522.0","16,135.0","17,955.0","19,426.0","22,770.0","25,693.0"
"34","16","      General \3\","L305131",".....",".....","7.0","10.0","61.0","228.0","300.0","398.0","440.0","449.0","465.0","533.0","621.0","642.0","700.0","751.0","806.0","1,051.0","1,330.0","1,584.0","1,609.0","1,828.0","2,118.0","2,347.0","2,509.0","2,557.0","2,838.0","3,208.0","3,512.0","3,512.0","4,059.0","4,441.0","4,848.0","5,394.0","5,788.0","6,439.0","7,326.0","8,567.0","9,515.0","11,678.0","13,304.0"
"35","17","      Gasoline","L305141","414.0","500.0","524.0","522.0","526.0","563.0","620.0","690.0","748.0","782.0","815.0","865.0","958.0","855.0","704.0","681.0","777.0","1,020.0","1,176.0","1,318.0","1,451.0","1,625.0","1,791.0","1,968.0","2,100.0","2,296.0","2,491.0","2,788.0","2,892.0","2,969.0","3,216.0","3,397.0","3,562.0","3,792.0","3,988.0","4,212.0","4,504.0","4,754.0","5,021.0","5,484.0","5,977.0"
"36","18","      Alcoholic beverages \3\","L305151",".....",".....","1.0","4.0","34.0","89.0","141.0","169.0","174.0","175.0","184.0","205.0","241.0","266.0","276.0","281.0","359.0","427.0","407.0","439.0","418.0","442.0","462.0","449.0","471.0","455.0","514.0","566.0","567.0","575.0","626.0","667.0","714.0","766.0","831.0","887.0","947.0","1,012.0","1,077.0","1,177.0","1,310.0"
"37","19","      Tobacco \3\","L305161",".....",".....","13.0","16.0","20.0","24.0","35.0","49.0","55.0","57.0","78.0","102.0","122.0","137.0","151.0","153.0","168.0","218.0","289.0","374.0","404.0","422.0","444.0","456.0","466.0","458.0","481.0","538.0","588.0","639.0","800.0","962.0","1,038.0","1,100.0","1,184.0","1,226.0","1,425.0","1,584.0","1,679.0","2,030.0","2,111.0"
"38","20","      Public utilities \4\","L305171",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","348.0","360.0","383.0","410.0","428.0","461.0","477.0","536.0","558.0","610.0","678.0","831.0"
"39","21","      Insurance receipts \4\","L305181",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","501.0","541.0","558.0","589.0","615.0","637.0","707.0","780.0","818.0","839.0","927.0","1,223.0"
"40","22","      Other \4\","L305191",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","380.0","409.0","427.0","462.0","524.0","574.0","617.0","662.0","685.0","796.0","937.0"
"41","23","    Local","A1667C1","25.0","25.0","26.0","26.0","28.0","30.0","60.0","90.0","101.0","120.0","111.0","130.0","131.0","133.0","134.0","136.0","156.0","183.0","306.0","400.0","451.0","484.0","551.0","627.0","718.0","703.0","779.0","889.0","1,031.0","1,079.0","1,150.0","1,339.0","1,432.0","1,456.0","1,562.0","1,932.0","2,050.0","1,998.0","1,944.0","2,287.0","2,869.0"
"42","24","      General","L305211",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","747.0","875.0","921.0","958.0","1,065.0","1,220.0","1,311.0","1,276.0","1,202.0","1,439.0","1,809.0"
"43","25","      Public utilities","L305221",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","233.0","268.0","298.0","312.0","332.0","362.0","372.0","392.0","381.0","467.0","612.0"
"44","26","      Other","L305231",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","170.0","196.0","213.0","186.0","165.0","350.0","367.0","330.0","361.0","381.0","448.0"
"45","27","  Property taxes","B249RC1","4,543.0","4,727.0","4,539.0","4,424.0","3,962.0","3,907.0","4,023.0","4,058.0","4,162.0","4,277.0","4,285.0","4,407.0","4,449.0","4,397.0","4,494.0","4,565.0","4,642.0","4,836.0","5,346.0","5,938.0","6,642.0","7,143.0","7,696.0","8,385.0","9,096.0","9,673.0","10,448.0","11,453.0","12,609.0","13,764.0","14,812.0","16,238.0","17,580.0","18,958.0","20,245.0","21,687.0","23,187.0","24,535.0","26,964.0","29,896.0","32,763.0"
"46","28","  Motor vehicle licenses","S230201","124.0","124.0","118.0","108.0","106.0","113.0","127.0","140.0","143.0","152.0","156.0","175.0","187.0","186.0","187.0","190.0","207.0","244.0","294.0","333.0","374.0","416.0","468.0","514.0","563.0","600.0","647.0","668.0","678.0","673.0","721.0","765.0","783.0","820.0","851.0","899.0","961.0","991.0","1,030.0","1,040.0","1,068.0"
"47","29","  Severance taxes \5\","S230431",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","407.0","436.0","451.0","460.0","478.0","497.0","510.0","565.0","595.0","625.0","652.0"
"48","30","  Special assessments","S230551",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","334.0","369.0","392.0","381.0","449.0","532.0","519.0","493.0","419.0","485.0","533.0"
"49","31","  Other taxes \6\","S230401","467.0","488.0","475.0","452.0","424.0","406.0","417.0","529.0","621.0","612.0","638.0","656.0","691.0","760.0","806.0","847.0","908.0","1,033.0","1,153.0","1,340.0","1,494.0","1,625.0","1,774.0","1,980.0","2,176.0","2,291.0","2,499.0","2,791.0","2,850.0","1,675.0","1,435.0","1,511.0","1,581.0","1,619.0","1,702.0","1,776.0","1,920.0","2,225.0","2,395.0","2,432.0","2,466.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and trucks, and of refunds other than those for alcoholic beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. For 1929-30, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","4. Prior to 1958, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5. Prior to 1959, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
