"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"42","22","  Wholesale trade","N658RC1","20,377.0","33,799.0","16,683.0","30,457.0","30,552.0","13,383.0","27,141.0","14,653.0","21,786.0","7,730.0","21,037.0","25,090.0","16,294.0","24,325.0","13,617.0","21,182.0","-5,842.0","-6,194.0","-22,765.0","-14,543.0","-6,799.0","5,461.0","4,056.0","-2,049.0","-5,786.0","-4,635.0","215.0","15,477.0","13,380.0","17,292.0","29,582.0","23,029.0","42,363.0","23,309.0","12,157.0","33,017.0","21,763.0","29,145.0","29,569.0","8,944.0","12,268.0","15,167.0","21,758.0","11,834.0","14,791.0","34,390.0","17,230.0","8,333.0","-70,218.0","-87,785.0","-81,552.0","-8,020.0","6,219.0","16,384.0","58,122.0","23,633.0","5,508.0","40,413.0","-2,870.0","43,944.0","25,550.0","15,782.0","36,961.0","11,250.0","11,164.0","3,040.0"
"43","23","    Merchant wholesale trade","N151RC1","19,162.0","30,824.0","15,399.0","25,228.0","26,954.0","13,084.0","25,464.0","12,315.0","19,850.0","4,296.0","17,955.0","23,136.0","12,918.0","19,100.0","8,840.0","18,243.0","-3,127.0","-2,494.0","-15,083.0","-11,474.0","-2,898.0","3,271.0","3,406.0","-616.0","-3,414.0","-3,775.0","617.0","13,387.0","12,439.0","14,289.0","25,442.0","23,428.0","28,345.0","17,712.0","10,237.0","21,493.0","14,438.0","26,020.0","23,254.0","3,073.0","6,755.0","9,123.0","13,521.0","8,905.0","-10,713.0","14,861.0","17,336.0","-4,574.0","-50,960.0","-70,514.0","-64,664.0","1,739.0","270.0","13,104.0","51,608.0","21,533.0","-3,524.0","27,596.0","-12,281.0","35,704.0","22,010.0","15,118.0","27,832.0","15,188.0","16,516.0","-2,608.0"
"44","24","      Durable goods industries","N626RC1","14,641.0","24,245.0","7,675.0","14,329.0","21,988.0","8,757.0","19,560.0","10,016.0","14,304.0","8,385.0","9,267.0","17,684.0","8,718.0","18,725.0","4,818.0","9,443.0","-3,706.0","-18,601.0","-15,869.0","-15,073.0","-7,164.0","-130.0","5,580.0","-6,676.0","5,688.0","-433.0","-3,901.0","8,980.0","15,247.0","18,363.0","23,790.0","15,765.0","20,923.0","17,280.0","6,148.0","19,677.0","9,503.0","23,040.0","18,481.0","6,649.0","7,790.0","-4,397.0","-885.0","7,888.0","7,427.0","2,719.0","22,126.0","-5,283.0","-56,350.0","-53,650.0","-45,454.0","-22,544.0","8,171.0","3,236.0","22,856.0","19,134.0","12,322.0","28,235.0","18,175.0","18,082.0","21,696.0","22,640.0","19,242.0","15,013.0","17,212.0","4,632.0"
"45","25","      Nondurable goods industries","N627RC1","4,521.0","6,579.0","7,724.0","10,899.0","4,966.0","4,327.0","5,904.0","2,299.0","5,546.0","-4,089.0","8,688.0","5,452.0","4,200.0","375.0","4,022.0","8,800.0","579.0","16,107.0","786.0","3,599.0","4,266.0","3,401.0","-2,174.0","6,060.0","-9,102.0","-3,342.0","4,518.0","4,407.0","-2,808.0","-4,074.0","1,652.0","7,663.0","7,422.0","432.0","4,089.0","1,816.0","4,935.0","2,980.0","4,773.0","-3,576.0","-1,035.0","13,520.0","14,406.0","1,017.0","-18,140.0","12,142.0","-4,790.0","709.0","5,390.0","-16,864.0","-19,210.0","24,283.0","-7,901.0","9,868.0","28,752.0","2,399.0","-15,846.0","-639.0","-30,456.0","17,622.0","314.0","-7,522.0","8,590.0","175.0","-696.0","-7,240.0"
"46","26","    Nonmerchant wholesale trade","N152RC1","1,215.0","2,975.0","1,285.0","5,229.0","3,598.0","299.0","1,677.0","2,338.0","1,936.0","3,434.0","3,082.0","1,954.0","3,376.0","5,225.0","4,777.0","2,939.0","-2,715.0","-3,700.0","-7,682.0","-3,069.0","-3,901.0","2,190.0","649.0","-1,434.0","-2,372.0","-860.0","-402.0","2,090.0","941.0","3,003.0","4,141.0","-398.0","14,018.0","5,597.0","1,921.0","11,524.0","7,325.0","3,125.0","6,315.0","5,871.0","5,513.0","6,044.0","8,237.0","2,930.0","25,503.0","19,529.0","-107.0","12,908.0","-19,258.0","-17,271.0","-16,888.0","-9,759.0","5,950.0","3,280.0","6,515.0","2,100.0","9,033.0","12,817.0","9,412.0","8,240.0","3,541.0","664.0","9,129.0","-3,938.0","-5,352.0","5,648.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
