"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"36","17","Current transfer payments","A084RC1","11,076.0","11,096.0","15,180.0","12,220.0","13,324.0","13,040.0","14,600.0","13,952.0","15,268.0","16,092.0","16,508.0","16,080.0","23,684.0","17,040.0","13,352.0","13,924.0","13,340.0","13,672.0","13,864.0","13,904.0","12,308.0","13,112.0","14,016.0","13,216.0","13,604.0","13,604.0","13,648.0","14,112.0","14,656.0","15,100.0","15,992.0","16,752.0","17,196.0","16,816.0","16,840.0","16,804.0","17,056.0","17,416.0","17,812.0","18,088.0","18,672.0","20,208.0","20,084.0","21,320.0","22,636.0","24,592.0","25,020.0","24,520.0","26,844.0","26,908.0","26,412.0","27,508.0","26,816.0","28,228.0","27,932.0","29,572.0","31,096.0","32,844.0","31,704.0","31,804.0","32,540.0","33,008.0","32,140.0","33,364.0","34,792.0","34,908.0","33,264.0","34,108.0","35,004.0","35,628.0","34,492.0","35,128.0","36,352.0","37,680.0","39,396.0","38,392.0","39,788.0","41,452.0","41,268.0","45,308.0","48,584.0","49,800.0","50,948.0","51,892.0","54,404.0","58,160.0","59,628.0","61,444.0","61,388.0","64,072.0"
"37","18","  Government social benefits","W063RC1","9,352.0","9,196.0","13,052.0","10,112.0","10,308.0","10,072.0","9,744.0","9,400.0","10,140.0","10,712.0","11,184.0","11,392.0","19,768.0","13,280.0","10,220.0","10,400.0","10,300.0","10,548.0","10,684.0","10,620.0","10,480.0","10,628.0","11,396.0","11,472.0","11,464.0","11,428.0","11,676.0","12,128.0","12,888.0","13,568.0","13,944.0","14,588.0","14,556.0","14,736.0","14,864.0","14,860.0","15,176.0","15,364.0","15,812.0","16,016.0","16,836.0","18,032.0","18,224.0","19,436.0","20,808.0","22,648.0","22,976.0","22,472.0","22,736.0","22,612.0","22,844.0","23,476.0","23,556.0","24,188.0","24,988.0","25,964.0","27,800.0","28,624.0","28,768.0","28,268.0","28,844.0","28,748.0","29,140.0","29,836.0","31,192.0","30,184.0","30,384.0","30,900.0","31,824.0","31,356.0","31,624.0","31,848.0","33,072.0","32,968.0","36,308.0","35,116.0","36,112.0","36,188.0","38,092.0","41,480.0","44,396.0","45,504.0","47,156.0","48,172.0","50,424.0","53,704.0","55,096.0","56,228.0","57,740.0","58,756.0"
"38","19","    To persons","A063RC1","9,352.0","9,196.0","13,052.0","10,112.0","10,308.0","10,072.0","9,744.0","9,400.0","10,140.0","10,712.0","11,184.0","11,392.0","19,768.0","13,280.0","10,220.0","10,400.0","10,300.0","10,548.0","10,684.0","10,620.0","10,480.0","10,628.0","11,396.0","11,472.0","11,464.0","11,428.0","11,676.0","12,128.0","12,888.0","13,568.0","13,944.0","14,588.0","14,556.0","14,736.0","14,864.0","14,860.0","15,176.0","15,364.0","15,812.0","16,016.0","16,836.0","18,032.0","18,224.0","19,436.0","20,808.0","22,648.0","22,976.0","22,472.0","22,736.0","22,612.0","22,844.0","23,476.0","23,304.0","23,968.0","24,740.0","25,700.0","27,512.0","28,348.0","28,504.0","27,992.0","28,520.0","28,460.0","28,852.0","29,540.0","30,852.0","29,852.0","30,076.0","30,584.0","31,496.0","31,036.0","31,264.0","31,472.0","32,700.0","32,340.0","35,896.0","34,716.0","35,692.0","35,772.0","37,512.0","41,040.0","43,928.0","45,008.0","46,408.0","47,664.0","49,920.0","53,196.0","54,452.0","55,656.0","57,184.0","58,180.0"
"39","20","    To the rest of the world \3\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","252.0","220.0","248.0","264.0","288.0","276.0","264.0","276.0","324.0","288.0","288.0","296.0","340.0","332.0","308.0","316.0","328.0","320.0","360.0","376.0","372.0","628.0","412.0","400.0","420.0","416.0","580.0","440.0","468.0","496.0","748.0","508.0","504.0","508.0","644.0","572.0","556.0","576.0"
"40","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","1,724.0","1,900.0","2,128.0","2,108.0","3,016.0","2,968.0","4,856.0","4,552.0","5,128.0","5,380.0","5,324.0","4,688.0","3,916.0","3,760.0","3,132.0","3,524.0","3,040.0","3,124.0","3,180.0","3,284.0","1,828.0","2,484.0","2,620.0","1,744.0","2,140.0","2,176.0","1,972.0","1,984.0","1,768.0","1,532.0","2,048.0","2,164.0","2,640.0","2,080.0","1,976.0","1,944.0","1,880.0","2,052.0","2,000.0","2,072.0","1,836.0","2,176.0","1,860.0","1,884.0","1,828.0","1,944.0","2,044.0","2,048.0","4,108.0","4,296.0","3,568.0","4,032.0","3,260.0","4,040.0","2,944.0","3,608.0","3,296.0","4,220.0","2,936.0","3,536.0","3,696.0","4,260.0","3,000.0","3,528.0","3,600.0","4,724.0","2,880.0","3,208.0","3,180.0","4,272.0","2,868.0","3,280.0","3,280.0","4,712.0","3,088.0","3,276.0","3,676.0","5,264.0","3,176.0","3,828.0","4,188.0","4,296.0","3,792.0","3,720.0","3,980.0","4,456.0","4,532.0","5,216.0","3,648.0","5,316.0"
"41","22","Interest payments \1\","A180RC1","5,793.0","5,789.0","5,778.0","5,871.0","5,933.0","5,985.0","6,048.0","6,194.0","6,312.0","6,390.0","6,462.0","6,559.0","6,654.0","6,750.0","6,870.0","6,973.0","7,080.0","7,124.0","7,228.0","7,374.0","7,439.0","7,480.0","7,597.0","7,740.0","7,878.0","7,965.0","8,109.0","8,243.0","8,405.0","8,541.0","8,676.0","8,763.0","8,795.0","8,807.0","9,073.0","9,370.0","9,470.0","9,844.0","10,150.0","10,783.0","10,760.0","11,124.0","11,370.0","11,812.0","11,369.0","11,358.0","11,617.0","12,043.0","13,054.0","12,715.0","13,343.0","13,875.0","16,940.0","17,032.0","16,789.0","16,672.0","16,701.0","16,984.0","17,350.0","17,643.0","18,028.0","18,425.0","18,855.0","19,139.0","19,421.0","19,789.0","20,266.0","20,817.0","21,179.0","21,591.0","21,751.0","22,033.0","22,465.0","22,960.0","23,173.0","23,636.0","24,182.0","24,841.0","25,492.0","26,103.0","26,344.0","26,504.0","27,290.0","28,524.0","29,254.0","30,310.0","31,076.0","31,674.0","31,911.0","33,108.0"
"42","23","  To persons and business \1\","A204RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,536.0","16,688.0","16,481.0","16,400.0","16,425.0","16,724.0","17,078.0","17,339.0","17,708.0","18,089.0","18,511.0","18,783.0","19,057.0","19,409.0","19,850.0","20,373.0","20,735.0","21,151.0","21,315.0","21,541.0","21,977.0","22,488.0","22,701.0","23,112.0","23,658.0","24,297.0","24,916.0","25,551.0","25,796.0","25,904.0","26,710.0","27,860.0","28,554.0","29,582.0","30,416.0","30,954.0","31,159.0","32,344.0"
"43","24","  To the rest of the world","B093RC1","24.0","12.0","12.0","16.0","12.0","16.0","24.0","16.0","28.0","20.0","28.0","24.0","24.0","24.0","40.0","36.0","48.0","48.0","48.0","44.0","48.0","48.0","80.0","80.0","80.0","80.0","92.0","92.0","60.0","56.0","56.0","64.0","64.0","80.0","108.0","124.0","136.0","136.0","156.0","188.0","188.0","208.0","204.0","204.0","168.0","92.0","128.0","168.0","208.0","236.0","296.0","384.0","404.0","344.0","308.0","272.0","276.0","260.0","272.0","304.0","320.0","336.0","344.0","356.0","364.0","380.0","416.0","444.0","444.0","440.0","436.0","492.0","488.0","472.0","472.0","524.0","524.0","544.0","576.0","552.0","548.0","600.0","580.0","664.0","700.0","728.0","660.0","720.0","752.0","764.0"
"44","25","Subsidies \2\","A107RC1","506.0","414.0","361.0","299.0","382.0","290.0","611.0","866.0","581.0","395.0","524.0","477.0","686.0","804.0","768.0","1,099.0","1,152.0","1,124.0","868.0","1,033.0","809.0","787.0","793.0","690.0","722.0","447.0","671.0","197.0","125.0","686.0","323.0","155.0","259.0","322.0","26.0","176.0","294.0","549.0","893.0","1,207.0","1,280.0","1,211.0","1,053.0","954.0","1,089.0","1,283.0","1,467.0","1,603.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,032.0","2,176.0","2,296.0","2,432.0","2,728.0","2,880.0","2,648.0","2,660.0","2,924.0","2,972.0","2,988.0","3,144.0","3,564.0","3,928.0","4,064.0","4,240.0","3,992.0","3,872.0","3,684.0","3,696.0","4,036.0","4,204.0","4,220.0","4,236.0","4,340.0","4,464.0"
"45","26","    Net government saving","A922RC1","2,915.0","2,278.0","-626.0","5,246.0","4,642.0","2,590.0","-1,091.0","-2,244.0","-5,472.0","-8,712.0","-8,825.0","-9,150.0","-11,615.0","-860.0","10,323.0","10,777.0","14,368.0","6,543.0","779.0","2,336.0","2,962.0","-1,158.0","-2,635.0","-212.0","195.0","-500.0","-296.0","-6,835.0","-7,368.0","-6,292.0","-5,786.0","-4,431.0","-1,207.0","1,452.0","1,771.0","4,512.0","5,195.0","3,812.0","4,247.0","4,242.0","3,724.0","1,256.0","901.0","-5,764.0","-9,204.0","-14,150.0","-11,590.0","-8,627.0","-3,158.0","159.0","-1,635.0","-2,164.0","7,420.0","3,844.0","2,157.0","-2,398.0","-2,610.0","-4,460.0","-2,483.0","-301.0","-2,395.0","-2,478.0","-1,041.0","-1,811.0","9.0","2,501.0","2,391.0","1,492.0","-1,058.0","-5,893.0","-2,339.0","-934.0","2,991.0","2,109.0","-5,296.0","-5,352.0","1,093.0","-222.0","-2,454.0","-5,542.0","-14,028.0","-15,788.0","-14,584.0","-14,663.0","-12,661.0","-13,536.0","-6,056.0","-5,652.0","5,915.0","2,407.0"
"46","27","Social insurance funds","A221RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,255.0","-3,520.0","-3,417.0","-2,352.0","-597.0","-252.0","-644.0","-1,139.0","1,367.0","829.0","216.0","-764.0","-2,111.0","-2,735.0","-2,654.0","-1,800.0","-653.0","-271.0","-507.0","-841.0","-150.0","1,157.0","1,203.0","1,234.0","527.0","1,369.0","1,545.0","1,743.0","922.0","1,718.0","-1,171.0","623.0","6,503.0","6,832.0","6,326.0","4,807.0","3,826.0","4,337.0","4,111.0","4,674.0","4,703.0","3,012.0","2,750.0","2,783.0","5,262.0","5,625.0"
"47","28","Other","A391RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-7,949.0","-10,631.0","-8,173.0","-6,275.0","-2,560.0","411.0","-991.0","-1,025.0","6,053.0","3,015.0","1,941.0","-1,634.0","-498.0","-1,726.0","171.0","1,499.0","-1,742.0","-2,207.0","-534.0","-971.0","159.0","1,344.0","1,188.0","256.0","-1,585.0","-7,263.0","-3,885.0","-2,676.0","2,070.0","392.0","-4,126.0","-5,976.0","-5,410.0","-7,054.0","-8,779.0","-10,350.0","-17,854.0","-20,125.0","-18,696.0","-19,337.0","-17,363.0","-16,549.0","-8,805.0","-8,434.0","653.0","-3,218.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","  Total receipts","W066RC1","56,436.0","55,686.0","55,422.0","58,021.0","58,964.0","57,948.0","57,249.0","57,141.0","56,154.0","54,364.0","54,266.0","53,228.0","58,740.0","63,333.0","70,391.0","75,202.0","84,228.0","81,172.0","80,838.0","85,196.0","85,720.0","86,273.0","87,193.0","90,804.0","93,103.0","93,589.0","93,095.0","88,004.0","85,719.0","86,054.0","87,054.0","89,556.0","94,311.0","96,611.0","99,099.0","101,613.0","103,070.0","105,339.0","105,605.0","108,988.0","112,019.0","112,185.0","112,487.0","109,644.0","106,582.0","106,796.0","110,744.0","115,326.0","120,985.0","125,260.0","124,876.0","126,292.0","136,542.0","136,288.0","136,181.0","135,646.0","136,485.0","139,108.0","142,028.0","146,525.0","148,689.0","151,264.0","154,410.0","156,383.0","160,188.0","163,527.0","166,043.0","168,236.0","168,327.0","166,130.0","170,229.0","172,580.0","179,937.0","182,868.0","182,631.0","187,617.0","198,580.0","204,596.0","208,458.0","212,316.0","214,587.0","216,550.0","223,033.0","229,428.0","241,251.0","248,478.0","262,204.0","269,254.0","281,647.0","287,364.0"
"50","30","    Current receipts","W021RC1","55,397.0","54,771.0","54,382.0","57,031.0","57,912.0","56,740.0","56,214.0","56,164.0","55,236.0","53,464.0","53,339.0","52,313.0","57,924.0","62,496.0","69,544.0","74,402.0","83,317.0","80,313.0","79,910.0","84,134.0","84,686.0","85,194.0","86,090.0","89,800.0","91,879.0","92,537.0","91,982.0","86,801.0","84,524.0","84,912.0","85,911.0","88,384.0","93,071.0","95,495.0","97,855.0","100,201.0","101,601.0","103,618.0","103,984.0","107,383.0","110,369.0","110,275.0","110,607.0","107,936.0","104,832.0","105,104.0","109,092.0","113,639.0","119,294.0","123,528.0","122,994.0","124,377.0","134,532.0","134,041.0","134,036.0","133,080.0","133,934.0","136,717.0","139,457.0","144,002.0","146,271.0","148,537.0","151,761.0","153,625.0","157,391.0","160,621.0","163,005.0","165,437.0","165,376.0","162,781.0","166,802.0","169,087.0","176,343.0","179,446.0","179,017.0","183,815.0","194,634.0","200,629.0","204,613.0","208,530.0","210,600.0","212,679.0","218,870.0","225,537.0","237,563.0","244,442.0","257,987.0","264,843.0","277,085.0","282,564.0"
"51","31","    Capital transfer receipts","W067RC1","1,039.0","915.0","1,040.0","990.0","1,052.0","1,208.0","1,035.0","977.0","918.0","900.0","927.0","915.0","816.0","837.0","847.0","800.0","911.0","859.0","928.0","1,062.0","1,034.0","1,079.0","1,103.0","1,004.0","1,224.0","1,052.0","1,113.0","1,203.0","1,195.0","1,142.0","1,143.0","1,172.0","1,240.0","1,116.0","1,244.0","1,412.0","1,469.0","1,721.0","1,621.0","1,605.0","1,650.0","1,910.0","1,880.0","1,708.0","1,750.0","1,692.0","1,652.0","1,687.0","1,691.0","1,732.0","1,882.0","1,915.0","2,010.0","2,247.0","2,145.0","2,566.0","2,551.0","2,391.0","2,571.0","2,523.0","2,418.0","2,727.0","2,649.0","2,758.0","2,797.0","2,906.0","3,038.0","2,799.0","2,951.0","3,349.0","3,427.0","3,493.0","3,594.0","3,422.0","3,614.0","3,802.0","3,946.0","3,967.0","3,845.0","3,786.0","3,987.0","3,871.0","4,163.0","3,891.0","3,688.0","4,036.0","4,217.0","4,411.0","4,562.0","4,800.0"
"52","32","  Total expenditures","W068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","144,137.0","147,326.0","150,389.0","153,703.0","157,221.0","160,688.0","162,583.0","166,202.0","170,619.0","172,745.0","175,128.0","177,696.0","178,916.0","179,888.0","184,379.0","186,314.0","189,592.0","192,475.0","192,770.0","192,436.0","195,660.0","199,544.0","208,446.0","213,696.0","220,568.0","226,912.0","235,062.0","243,150.0","254,676.0","256,099.0","263,325.0","267,459.0","276,214.0","285,774.0","291,258.0","297,989.0","299,514.0","305,995.0"
"53","33","    Current expenditures","W022RC1","52,482.0","52,493.0","55,008.0","51,785.0","53,270.0","54,150.0","57,305.0","58,408.0","60,708.0","62,176.0","62,164.0","61,463.0","69,539.0","63,356.0","59,221.0","63,625.0","68,949.0","73,770.0","79,131.0","81,798.0","81,724.0","86,352.0","88,725.0","90,012.0","91,684.0","93,037.0","92,278.0","93,636.0","91,892.0","91,204.0","91,697.0","92,815.0","94,278.0","94,043.0","96,084.0","95,689.0","96,406.0","99,806.0","99,737.0","103,141.0","106,645.0","109,019.0","109,706.0","113,700.0","114,036.0","119,254.0","120,682.0","122,266.0","122,452.0","123,369.0","124,629.0","126,541.0","127,112.0","130,197.0","131,879.0","135,478.0","136,544.0","141,177.0","141,940.0","144,303.0","148,666.0","151,015.0","152,802.0","155,436.0","157,382.0","158,120.0","160,614.0","163,945.0","166,434.0","168,674.0","169,141.0","170,021.0","173,352.0","177,337.0","184,313.0","189,167.0","193,541.0","200,851.0","207,067.0","214,072.0","224,628.0","228,467.0","233,454.0","240,200.0","250,224.0","257,978.0","264,043.0","270,495.0","271,170.0","280,157.0"
"54","34","    Gross government investment","A782RC1","4,954.0","5,118.0","6,081.0","6,579.0","7,549.0","8,252.0","8,785.0","9,367.0","10,242.0","11,288.0","11,921.0","11,786.0","10,679.0","11,089.0","11,723.0","12,317.0","14,879.0","18,193.0","21,126.0","24,088.0","24,082.0","24,263.0","24,838.0","25,294.0","26,537.0","27,148.0","27,016.0","25,917.0","26,415.0","25,946.0","24,720.0","24,484.0","24,137.0","24,750.0","24,261.0","24,274.0","25,578.0","26,573.0","27,748.0","28,646.0","29,764.0","29,735.0","30,593.0","30,830.0","31,271.0","31,983.0","32,913.0","34,316.0","36,220.0","36,146.0","36,120.0","34,938.0","35,098.0","35,196.0","36,830.0","36,870.0","39,619.0","38,509.0","39,852.0","41,616.0","41,953.0","41,861.0","43,107.0","43,474.0","43,255.0","43,556.0","45,809.0","45,137.0","45,769.0","46,505.0","46,563.0","46,719.0","46,209.0","46,900.0","48,869.0","49,473.0","51,922.0","51,935.0","54,181.0","56,229.0","57,893.0","56,556.0","57,914.0","58,280.0","58,354.0","59,517.0","59,530.0","59,536.0","61,517.0","59,714.0"
"55","35","    Capital transfer payments","W069RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","8.0","8.0","12.0","16.0","16.0","20.0","20.0","24.0","24.0","24.0","24.0","28.0","28.0","28.0","32.0","44.0","40.0","60.0","52.0","84.0","100.0","96.0","92.0","108.0","116.0","128.0","140.0","120.0","120.0","108.0","156.0","92.0","84.0","92.0","84.0","84.0","72.0","84.0","84.0","84.0","96.0","64.0","80.0","80.0","100.0","64.0","88.0","88.0","84.0","84.0","84.0","100.0","116.0","144.0","88.0","84.0","76.0"
"56","36","    Net purchases of nonproduced assets","AD07RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,121.0","1,368.0","1,410.0","1,365.0","1,331.0","1,540.0","1,621.0","1,449.0","1,608.0","1,753.0","1,615.0","1,628.0","1,516.0","1,835.0","1,862.0","1,491.0","1,960.0","2,190.0","2,239.0","1,147.0","1,869.0","1,439.0","1,813.0","1,939.0","2,366.0","1,914.0","2,113.0","1,659.0","1,412.0","841.0","2,344.0","3.0","-622.0","567.0","507.0","1,546.0","1,132.0","1,168.0"
"57","37","    Less: Consumption of fixed capital","A264RC1","11,457.0","11,452.0","11,560.0","11,393.0","10,899.0","10,585.0","10,507.0","10,292.0","10,229.0","9,872.0","9,543.0","9,339.0","9,080.0","8,918.0","9,015.0","9,383.0","9,683.0","9,862.0","10,110.0","10,392.0","10,577.0","10,892.0","11,290.0","11,542.0","11,824.0","12,107.0","12,224.0","12,382.0","12,599.0","12,948.0","13,133.0","13,412.0","13,501.0","13,662.0","14,043.0","14,365.0","14,828.0","15,149.0","15,495.0","15,791.0","16,213.0","16,514.0","16,829.0","17,068.0","17,027.0","17,311.0","17,697.0","18,022.0","18,259.0","18,483.0","18,738.0","19,002.0","19,278.0","19,535.0","19,826.0","20,102.0","20,381.0","20,654.0","20,958.0","21,306.0","21,728.0","22,004.0","22,504.0","22,998.0","23,329.0","23,707.0","23,998.0","24,343.0","24,655.0","24,966.0","25,257.0","25,535.0","25,854.0","26,228.0","26,613.0","26,963.0","27,341.0","27,888.0","28,363.0","28,898.0","29,345.0","29,849.0","30,471.0","31,108.0","31,842.0","32,404.0","32,966.0","33,676.0","34,389.0","35,120.0"
"58","38","  Net lending or net borrowing (-)","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-7,595.0","-11,038.0","-14,208.0","-18,057.0","-20,736.0","-21,580.0","-20,555.0","-19,677.0","-21,930.0","-21,481.0","-20,718.0","-21,313.0","-18,728.0","-16,361.0","-18,336.0","-18,078.0","-21,265.0","-26,345.0","-22,541.0","-19,856.0","-15,723.0","-16,676.0","-25,815.0","-26,079.0","-21,988.0","-22,316.0","-26,604.0","-30,834.0","-40,089.0","-39,549.0","-40,292.0","-38,031.0","-34,963.0","-37,296.0","-29,054.0","-28,735.0","-17,867.0","-18,631.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","of interest receipts. Interest payments to persons and business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","includes interest accrued on the actuarial liabilities of defined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","benefit pension plans for government employees. Miscellaneous receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","on line 9 includes rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
