"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"19","1","    Gross domestic product","A191CX1","845,135.0","881,939.0","932,807.0","993,418.0","1,058,944.0","1,088,010.0","1,141,405.0","1,177,213.0"
"20","2","Personal consumption expenditures","DPCECX1","487,205.0","507,278.0","537,480.0","571,549.0","603,916.0","621,950.0","657,664.0","682,252.0"
"21","3","  Goods","DGDSCX1","238,655.0","248,192.0","262,985.0","281,614.0","299,473.0","305,335.0","324,238.0","334,146.0"
"22","4","    Durable goods","DDURCX1","56,866.0","62,103.0","67,900.0","76,316.0","82,653.0","83,881.0","93,193.0","96,680.0"
"23","5","    Nondurable goods","DNDGCX1","183,072.0","187,013.0","195,793.0","205,659.0","217,088.0","221,749.0","231,132.0","237,526.0"
"24","6","  Services","DSERCX1","248,467.0","259,037.0","274,441.0","289,663.0","303,963.0","316,393.0","333,088.0","347,899.0"
"25","7","Gross private domestic investment","A006CX1","128,254.0","136,960.0","147,762.0","168,212.0","183,318.0","176,905.0","187,479.0","197,921.0"
"26","8","  Fixed investment","A007CX1","121,362.0","130,744.0","142,693.0","157,494.0","167,267.0","165,719.0","177,360.0","187,834.0"
"27","9","    Nonresidential","A008CX1","79,394.0","84,010.0","93,023.0","108,564.0","121,896.0","121,476.0","127,304.0","136,155.0"
"28","10","      Structures","B009CX1","32,179.0","32,552.0","35,937.0","41,668.0","44,519.0","43,399.0","44,007.0","46,382.0"
"29","11","      Equipment","Y033CX1","37,516.0","40,431.0","45,534.0","53,816.0","62,130.0","61,509.0","65,261.0","70,657.0"
"30","12","      Intellectual property products","Y001CX1","10,711.0","11,772.0","12,302.0","13,869.0","15,707.0","16,922.0","18,195.0","19,183.0"
"31","13","    Residential","A011CX1","42,637.0","47,631.0","50,492.0","49,200.0","45,072.0","43,896.0","49,838.0","51,402.0"
"32","14","  Change in private inventories","A014CX1","7,772.0","7,191.0","6,128.0","11,682.0","16,738.0","12,031.0","10,931.0","10,750.0"
"33","15","Net exports of goods and services","A019CX1","4,502.0","6,334.0","9,330.0","6,716.0","3,962.0","1,732.0","-1,654.0","-2,230.0"
"34","16","  Exports","A020CX1","38,416.0","41,163.0","46,009.0","47,299.0","50,577.0","51,743.0","55,809.0","58,508.0"
"35","17","    Goods","A253CX1","28,014.0","30,215.0","34,354.0","34,535.0","36,934.0","37,107.0","40,047.0","42,145.0"
"36","18","    Services","A646CX1","10,343.0","10,868.0","11,518.0","12,690.0","13,562.0","14,632.0","15,756.0","16,342.0"
"37","19","  Imports","A021CX1","33,914.0","34,829.0","36,679.0","40,583.0","46,614.0","50,011.0","57,463.0","60,738.0"
"38","20","    Goods","A255CX1","22,660.0","23,577.0","25,133.0","28,692.0","33,214.0","34,964.0","42,187.0","44,496.0"
"39","21","    Services","B656CX1","11,230.0","11,222.0","11,511.0","11,850.0","13,355.0","14,987.0","15,257.0","16,219.0"
"40","22","Government consumption expenditures and gross investment","A822CX1","228,607.0","234,185.0","240,020.0","247,771.0","269,381.0","290,723.0","300,703.0","301,170.0"
"41","23","  Federal","A823CX1","136,851.0","137,160.0","136,666.0","137,710.0","152,379.0","167,832.0","170,427.0","166,265.0"
"42","24","    National defense","A824CX1","113,219.0","110,728.0","107,290.0","105,851.0","119,507.0","134,494.0","136,644.0","131,021.0"
"43","25","    Nondefense","A825CX1","24,356.0","27,031.0","29,829.0","32,197.0","33,354.0","33,981.0","34,438.0","35,792.0"
"44","26","  State and local","A829CX1","91,822.0","97,200.0","103,700.0","110,571.0","117,462.0","123,341.0","130,732.0","135,294.0"
"45","27","Residual","A960CX1","-8,000.0","-7,000.0","-5,700.0","-3,900.0","-3,300.0","-5,200.0","-4,200.0","-3,200.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
