"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Wages and salaries","A4102C1","50,459.0","46,213.0","39,156.0","30,513.0","29,026.0","33,733.0","36,721.0","41,953.0","46,138.0","43,012.0","45,983.0","49,857.0","62,079.0","82,088.0","105,802.0","116,800.0","117,557.0","112,045.0","123,028.0","135,464.0","134,675.0","147,175.0","171,593.0","185,634.0","198,996.0","197,320.0","212,221.0","229,108.0","240,029.0","241,389.0","259,923.0","273,010.0","280,663.0","299,453.0","314,914.0","337,842.0","363,752.0","400,297.0","428,979.0","471,960.0","518,311.0"
"22","4","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","135,440.0","134,620.0","147,135.0","171,484.0","185,506.0","198,861.0","197,130.0","212,016.0","228,888.0","239,810.0","241,171.0","259,689.0","272,696.0","280,352.0","299,185.0","314,673.0","337,601.0","363,561.0","400,116.0","428,796.0","471,749.0","518,096.0"
"23","5","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","55.0","40.0","109.0","128.0","135.0","190.0","205.0","220.0","219.0","218.0","234.0","314.0","311.0","268.0","241.0","241.0","191.0","181.0","183.0","211.0","215.0"
"24","6","  Supplements to wages and salaries","A038RC1","984.0","993.0","955.0","864.0","796.0","855.0","986.0","1,379.0","2,220.0","2,454.0","2,624.0","2,948.0","4,164.0","6,005.0","6,984.0","7,651.0","8,900.0","10,585.0","9,394.0","8,920.0","9,779.0","11,212.0","14,320.0","15,705.0","16,533.0","17,180.0","18,748.0","20,614.0","23,029.0","23,802.0","26,467.0","28,996.0","30,569.0","33,554.0","36,328.0","39,033.0","42,590.0","49,965.0","53,934.0","60,129.0","67,683.0"
"25","7","Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"26","8","Less: Subsidies \1\","A107RC1","46.0","74.0","145.0","118.0","166.0","467.0","599.0","288.0","347.0","480.0","797.0","750.0","458.0","523.0","585.0","1,045.0","1,148.0","1,362.0","395.0","537.0","495.0","839.0","1,044.0","770.0","510.0","322.0","196.0","736.0","1,125.0","1,360.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"27","9","Net operating surplus","W271RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","130,483.0","131,340.0","137,487.0","149,977.0","159,705.0","172,005.0","190,929.0","205,094.0","207,758.0","221,656.0","228,094.0"
"28","10","  Private enterprises","W260RC1","35,227.0","28,324.0","20,544.0","13,118.0","12,140.0","16,287.0","20,933.0","23,387.0","26,380.0","22,765.0","25,140.0","29,463.0","40,148.0","52,930.0","62,317.0","63,530.0","60,749.0","62,718.0","67,761.0","80,112.0","73,906.0","85,021.0","96,501.0","96,852.0","98,371.0","99,220.0","112,940.0","114,851.0","117,778.0","117,454.0","129,939.0","130,877.0","137,152.0","149,598.0","158,906.0","171,242.0","190,249.0","204,822.0","207,603.0","221,352.0","228,089.0"
"29","11","    Net interest and miscellaneous payments, domestic industries","W272RC1","4,039.0","4,256.0","4,298.0","4,086.0","3,674.0","3,807.0","3,881.0","3,651.0","3,589.0","3,571.0","3,602.0","3,326.0","3,255.0","3,180.0","2,898.0","2,486.0","2,346.0","1,905.0","2,399.0","2,509.0","2,796.0","3,114.0","3,574.0","4,022.0","4,676.0","5,491.0","6,136.0","6,888.0","8,069.0","9,464.0","9,582.0","10,543.0","12,223.0","13,929.0","14,825.0","17,037.0","19,182.0","21,993.0","25,063.0","27,114.0","34,091.0"
"30","12","    Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","692.0","715.0","708.0","689.0","824.0","1,160.0","1,197.0","1,154.0","915.0","1,297.0","1,651.0","1,823.0","1,703.0","1,658.0","1,742.0","1,901.0","2,117.0","2,529.0","3,004.0","3,485.0","3,392.0","3,628.0","4,183.0","4,798.0"
"31","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,015.0","10,872.0","8,315.0","5,012.0","5,268.0","7,007.0","10,124.0","10,393.0","12,521.0","10,598.0","11,120.0","12,234.0","16,650.0","23,341.0","28,225.0","29,346.0","30,824.0","35,671.0","34,579.0","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"32","14","    Rental income of persons with capital consumption adjustment","A048RC1","6,062.0","5,369.0","4,438.0","3,598.0","2,857.0","2,515.0","2,563.0","2,683.0","2,965.0","3,479.0","3,715.0","3,846.0","4,414.0","5,453.0","6,024.0","6,337.0","6,578.0","6,898.0","6,889.0","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"33","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","10,600.0","7,360.0","2,955.0","-157.0","-174.0","2,456.0","3,859.0","6,127.0","6,781.0","4,707.0","6,268.0","9,606.0","15,302.0","20,411.0","24,528.0","24,549.0","20,110.0","17,552.0","23,179.0","30,132.0","27,933.0","34,790.0","39,454.0","37,777.0","38,496.0","37,498.0","47,813.0","46,825.0","46,048.0","41,333.0","52,796.0","51,542.0","52,629.0","60,272.0","66,427.0","73,238.0","84,583.0","91,594.0","89,091.0","96,112.0","91,821.0"
"34","16","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"35","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","9,231.0","6,518.0","2,457.0","-542.0","-695.0","1,712.0","2,908.0","4,718.0","5,279.0","3,678.0","4,827.0","6,772.0","7,692.0","8,996.0","10,454.0","11,600.0","9,421.0","8,448.0","11,911.0","17,711.0","17,730.0","16,865.0","16,895.0","18,378.0","18,209.0","19,874.0","25,772.0","24,832.0","24,625.0","22,369.0","29,069.0","28,760.0","29,739.0","36,177.0","40,056.0","45,083.0","53,518.0","57,713.0","56,192.0","56,484.0","51,844.0"
"36","18","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0"
"37","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","3,662.0","1,187.0","-1,613.0","-3,120.0","-2,735.0","-795.0","223.0","299.0","741.0","760.0","1,245.0","2,990.0","3,492.0","4,967.0","6,246.0","7,276.0","5,049.0","3,299.0","6,279.0","11,511.0","11,324.0","9,011.0","9,487.0","10,917.0","10,458.0","12,014.0","16,873.0","15,365.0","14,769.0","12,537.0","18,361.0","17,350.0","18,233.0","23,821.0","26,494.0","30,092.0","36,644.0","39,885.0","37,862.0","36,317.0","31,441.0"
"38","20","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"39","21","Consumption of fixed capital","A262RC1","10,378.0","10,186.0","9,492.0","8,314.0","7,991.0","8,406.0","8,462.0","8,783.0","9,748.0","10,030.0","10,091.0","10,567.0","12,054.0","14,893.0","18,013.0","21,380.0","23,194.0","25,771.0","29,200.0","31,393.0","32,337.0","33,430.0","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"40","22","  Private","A024RC1","9,410.0","9,219.0","8,551.0","7,464.0","7,040.0","7,287.0","7,325.0","7,508.0","8,369.0","8,580.0","8,593.0","8,974.0","9,950.0","11,245.0","11,538.0","12,040.0","12,508.0","14,248.0","17,735.0","20,822.0","22,591.0","24,332.0","27,746.0","29,542.0","31,346.0","32,958.0","34,992.0","38,809.0","42,257.0","44,911.0","46,818.0","48,208.0","49,782.0","51,792.0","54,158.0","57,275.0","61,566.0","67,170.0","73,326.0","80,602.0","89,433.0"
"41","23","  Government","A264RC1","968.0","967.0","941.0","850.0","951.0","1,119.0","1,137.0","1,275.0","1,379.0","1,450.0","1,498.0","1,593.0","2,104.0","3,648.0","6,475.0","9,340.0","10,686.0","11,523.0","11,465.0","10,571.0","9,746.0","9,098.0","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"42",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","24","  Statistical discrepancy","A030RC1","733.0","-447.0","735.0","270.0","513.0","372.0","-234.0","1,180.0","-50.0","674.0","1,286.0","1,066.0","315.0","-908.0","-1,840.0","2,523.0","3,826.0","1,223.0","2,852.0","-270.0","1,721.0","1,249.0","3,420.0","2,569.0","3,767.0","2,879.0","2,111.0","-2,068.0","-391.0","614.0","147.0","-1,356.0","-978.0","-82.0","-1,518.0","-13.0","771.0","5,123.0","3,409.0","3,173.0","1,611.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
