"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Business \1\","A363RC1","704,969.0","731,543.0","790,873.0","872,844.0","983,244.0","1,054,152.0","1,134,932.0","1,276,694.0","1,428,542.0","1,626,356.0","1,817,378.0","1,941,928.0","2,172,822.0","2,203,346.0","2,418,191.0","2,727,343.0","2,923,030.0","3,077,888.0","3,257,032.0","3,506,918.0","3,774,619.0","3,966,207.0","4,049,135.0","4,308,530.0","4,541,819.0","4,853,434.0","5,068,259.0","5,386,371.0","5,758,375.0","6,081,662.0","6,463,516.0","6,860,538.0","7,004,958.0","7,190,677.0","7,532,022.0","8,052,939.0","8,592,463.0","9,094,519.0","9,499,451.0","9,488,010.0","9,063,785.0","9,535,635.0","9,997,067.0"
"21","3","  Nonfarm \2\","A364RC1","686,903.0","712,914.0","770,937.0","849,032.0","942,825.0","1,017,379.0","1,098,223.0","1,243,632.0","1,396,171.0","1,588,092.0","1,771,516.0","1,906,895.0","2,125,834.0","2,161,979.0","2,392,200.0","2,681,820.0","2,877,766.0","3,036,188.0","3,212,977.0","3,463,452.0","3,718,443.0","3,906,881.0","3,996,754.0","4,246,305.0","4,488,664.0","4,788,242.0","5,018,549.0","5,313,317.0","5,691,410.0","6,024,458.0","6,415,112.0","6,810,180.0","6,952,634.0","7,143,027.0","7,465,364.0","7,962,052.0","8,519,940.0","9,032,741.0","9,417,498.0","9,390,079.0","8,984,331.0","9,445,477.0","9,894,990.0"
"22","4","  Farm","A365RC1","18,066.0","18,629.0","19,936.0","23,812.0","40,419.0","36,773.0","36,709.0","33,062.0","32,371.0","38,264.0","45,862.0","35,033.0","46,988.0","41,367.0","25,991.0","45,523.0","45,264.0","41,700.0","44,055.0","43,466.0","56,176.0","59,326.0","52,381.0","62,225.0","53,155.0","65,192.0","49,710.0","73,054.0","66,965.0","57,204.0","48,404.0","50,358.0","52,324.0","47,650.0","66,658.0","90,887.0","72,523.0","61,778.0","81,953.0","97,931.0","79,454.0","90,158.0","102,077.0"
"23","5","Households and institutions","W503RC1","72,810.0","79,077.0","87,276.0","94,813.0","102,825.0","111,875.0","122,791.0","133,366.0","144,817.0","161,320.0","179,845.0","206,628.0","235,489.0","263,587.0","290,030.0","318,777.0","345,308.0","373,072.0","408,679.0","450,171.0","488,974.0","533,382.0","571,089.0","612,164.0","646,862.0","688,482.0","733,399.0","772,806.0","818,006.0","870,622.0","932,523.0","994,660.0","1,057,850.0","1,112,521.0","1,146,715.0","1,201,626.0","1,261,335.0","1,334,746.0","1,400,338.0","1,511,070.0","1,552,113.0","1,556,336.0","1,590,383.0"
"24","6","  Households","W504RC1","46,500.0","49,691.0","54,416.0","58,539.0","62,527.0","67,053.0","72,834.0","78,975.0","85,373.0","94,984.0","105,444.0","121,524.0","138,987.0","155,255.0","169,524.0","185,522.0","202,423.0","216,750.0","233,105.0","254,210.0","274,352.0","296,957.0","314,859.0","333,964.0","352,440.0","380,444.0","405,589.0","428,570.0","454,264.0","481,588.0","518,373.0","554,945.0","591,855.0","611,019.0","616,464.0","642,593.0","682,973.0","725,600.0","760,040.0","833,286.0","843,787.0","833,001.0","845,732.0"
"25","7","  Nonprofit institutions serving households \3\","W505RC1","26,310.0","29,386.0","32,860.0","36,274.0","40,298.0","44,822.0","49,957.0","54,391.0","59,444.0","66,336.0","74,401.0","85,104.0","96,502.0","108,332.0","120,506.0","133,255.0","142,885.0","156,322.0","175,574.0","195,961.0","214,622.0","236,425.0","256,230.0","278,200.0","294,422.0","308,038.0","327,810.0","344,236.0","363,742.0","389,034.0","414,150.0","439,715.0","465,995.0","501,502.0","530,251.0","559,033.0","578,362.0","609,146.0","640,298.0","677,784.0","708,326.0","723,335.0","744,651.0"
"26","8","General government \4\","A194RC1","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,361,375.0","1,438,386.0","1,491,464.0","1,533,510.0","1,551,439.0"
"27","9","  Federal","B568RC1","44,862.0","48,335.0","51,659.0","55,384.0","57,434.0","62,044.0","68,384.0","73,307.0","79,930.0","85,758.0","91,808.0","102,536.0","115,089.0","125,308.0","132,317.0","149,362.0","158,952.0","163,082.0","170,292.0","177,973.0","185,701.0","193,865.0","205,860.0","210,697.0","210,944.0","208,854.0","205,811.0","209,699.0","212,095.0","214,253.0","220,592.0","232,963.0","242,096.0","268,381.0","297,768.0","323,011.0","344,448.0","360,145.0","379,723.0","404,270.0","435,066.0","465,764.0","476,991.0"
"28","10","  State and local","B251RC1","62,599.0","71,058.0","79,236.0","87,693.0","97,984.0","107,695.0","121,214.0","133,046.0","145,065.0","158,914.0","174,296.0","192,966.0","210,095.0","227,411.0","242,963.0","261,066.0","284,737.0","307,550.0","329,257.0","354,346.0","381,400.0","415,871.0","441,650.0","466,564.0","489,710.0","515,223.0","537,726.0","557,063.0","580,081.0","606,411.0","642,463.0","678,997.0","725,042.0","765,758.0","811,655.0","842,913.0","883,338.0","927,128.0","981,652.0","1,034,116.0","1,056,398.0","1,067,746.0","1,074,448.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
