"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,110,021.0","2,289,994.0","2,459,132.0","2,534,006.0","2,609,957.0","2,728,045.0","2,892,117.0","3,076,728.0","3,224,733.0","3,363,945.0","3,381,677.0","3,194,368.0","3,364,867.0","3,624,821.0"
"21","3","  Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","780,006.0","857,356.0","915,778.0","946,347.0","992,102.0","1,019,918.0","1,072,866.0","1,123,352.0","1,154,973.0","1,188,447.0","1,108,861.0","1,029,582.0","1,079,411.0","1,146,423.0"
"22","4","    Motor vehicles and parts","DMOTRC1","37,448.0","34,538.0","43,233.0","49,365.0","54,358.0","48,166.0","52,643.0","68,172.0","79,796.0","89,173.0","90,175.0","84,430.0","93,017.0","100,014.0","122,945.0","147,192.0","170,065.0","187,519.0","188,181.0","202,213.0","207,771.0","205,119.0","185,748.0","204,798.0","224,715.0","249,843.0","255,709.0","273,486.0","293,083.0","320,205.0","350,729.0","363,227.0","383,290.0","401,347.0","401,025.0","403,873.0","408,191.0","394,812.0","399,919.0","339,275.0","316,016.0","342,722.0","373,596.0"
"23","5","      New motor vehicles (55)","DNMVRC1","26,842.0","23,438.0","30,535.0","35,171.0","38,710.0","31,691.0","34,568.0","46,639.0","55,858.0","62,734.0","61,406.0","54,331.0","59,142.0","64,278.0","82,867.0","99,666.0","117,830.0","134,047.0","128,790.0","138,220.0","139,304.0","134,664.0","112,903.0","126,690.0","138,896.0","151,200.0","147,451.0","152,971.0","162,209.0","179,374.0","200,058.0","210,708.0","230,018.0","243,551.0","251,607.0","252,431.0","248,894.0","233,047.0","233,151.0","185,218.0","165,623.0","177,775.0","203,032.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRC1","5,203.0","5,013.0","5,562.0","6,190.0","6,750.0","6,968.0","7,788.0","10,166.0","11,061.0","12,022.0","12,434.0","12,173.0","14,301.0","15,306.0","17,961.0","24,732.0","28,752.0","29,928.0","35,451.0","37,682.0","41,501.0","42,201.0","45,042.0","49,381.0","55,022.0","64,906.0","72,892.0","82,868.0","91,741.0","101,354.0","109,602.0","110,731.0","112,012.0","116,122.0","106,633.0","107,115.0","112,707.0","113,525.0","116,713.0","105,145.0","104,205.0","115,379.0","117,255.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRC1","5,403.0","6,087.0","7,136.0","8,004.0","8,898.0","9,507.0","10,287.0","11,367.0","12,877.0","14,417.0","16,335.0","17,926.0","19,574.0","20,430.0","22,117.0","22,794.0","23,483.0","23,544.0","23,940.0","26,311.0","26,966.0","28,254.0","27,803.0","28,727.0","30,797.0","33,737.0","35,366.0","37,647.0","39,133.0","39,477.0","41,069.0","41,788.0","41,260.0","41,674.0","42,785.0","44,327.0","46,590.0","48,240.0","50,055.0","48,912.0","46,188.0","49,568.0","53,309.0"
"26","8","    Furnishings and durable household equipment","DFDHRC1","27,588.0","28,152.0","29,944.0","33,522.0","37,961.0","40,891.0","42,612.0","47,172.0","53,355.0","59,004.0","65,254.0","67,843.0","71,461.0","71,811.0","79,770.0","88,832.0","94,619.0","103,455.0","109,536.0","115,154.0","121,387.0","120,941.0","118,786.0","124,288.0","131,367.0","140,510.0","146,742.0","153,535.0","160,491.0","173,579.0","191,185.0","208,105.0","214,939.0","225,868.0","231,789.0","246,995.0","261,281.0","271,453.0","271,297.0","257,887.0","235,426.0","241,348.0","251,704.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1","15,745.0","15,765.0","16,591.0","18,597.0","21,183.0","22,883.0","23,527.0","25,967.0","29,617.0","32,632.0","36,055.0","36,934.0","38,422.0","37,827.0","43,158.0","49,334.0","53,133.0","59,392.0","64,509.0","67,473.0","70,795.0","69,228.0","67,120.0","69,274.0","73,535.0","79,384.0","83,382.0","88,322.0","93,791.0","101,193.0","111,282.0","121,676.0","124,482.0","130,213.0","133,724.0","143,624.0","153,002.0","160,233.0","161,155.0","150,865.0","135,735.0","139,225.0","144,753.0"
"28","10","      Household appliances (part of 33)","DAPPRC1","6,808.0","7,257.0","7,944.0","8,997.0","9,895.0","10,334.0","10,581.0","11,506.0","12,725.0","13,605.0","14,806.0","15,104.0","15,518.0","15,177.0","16,795.0","18,375.0","19,819.0","21,243.0","21,781.0","22,696.0","23,852.0","23,660.0","23,262.0","24,287.0","25,195.0","25,819.0","26,571.0","26,798.0","26,532.0","28,638.0","31,616.0","34,078.0","35,739.0","37,605.0","38,372.0","40,817.0","43,301.0","44,601.0","44,598.0","43,218.0","39,757.0","40,418.0","41,621.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERC1","3,505.0","3,561.0","3,735.0","4,083.0","4,715.0","5,213.0","5,732.0","6,511.0","7,321.0","8,558.0","9,537.0","10,550.0","11,815.0","12,809.0","13,351.0","14,084.0","14,397.0","15,142.0","15,123.0","16,271.0","17,502.0","18,360.0","18,537.0","20,050.0","21,145.0","22,766.0","23,743.0","24,772.0","25,682.0","28,326.0","31,909.0","35,274.0","37,115.0","39,973.0","40,618.0","41,700.0","42,650.0","43,295.0","42,585.0","41,630.0","39,357.0","40,951.0","43,733.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORC1","1,530.0","1,569.0","1,674.0","1,845.0","2,168.0","2,461.0","2,772.0","3,188.0","3,692.0","4,209.0","4,856.0","5,255.0","5,706.0","5,998.0","6,466.0","7,039.0","7,270.0","7,678.0","8,123.0","8,714.0","9,238.0","9,693.0","9,867.0","10,677.0","11,492.0","12,541.0","13,046.0","13,643.0","14,486.0","15,422.0","16,378.0","17,077.0","17,603.0","18,077.0","19,075.0","20,854.0","22,328.0","23,324.0","22,959.0","22,174.0","20,577.0","20,754.0","21,597.0"
"31","13","    Recreational goods and vehicles","DREQRC1","16,732.0","17,924.0","19,197.0","22,591.0","25,346.0","26,585.0","30,363.0","34,172.0","37,730.0","41,702.0","45,835.0","46,490.0","49,879.0","51,287.0","58,655.0","67,844.0","74,074.0","83,016.0","91,802.0","99,877.0","103,905.0","105,558.0","107,716.0","110,995.0","123,473.0","140,340.0","153,723.0","164,929.0","174,632.0","192,072.0","212,709.0","234,066.0","239,766.0","251,507.0","265,711.0","290,507.0","312,815.0","334,090.0","349,401.0","344,012.0","317,307.0","326,664.0","340,117.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1","8,323.0","8,806.0","9,233.0","10,637.0","12,089.0","12,951.0","14,346.0","15,858.0","17,016.0","18,602.0","20,717.0","21,930.0","23,487.0","24,477.0","30,202.0","34,235.0","38,464.0","44,778.0","49,502.0","54,248.0","55,764.0","56,095.0","58,085.0","59,695.0","66,711.0","76,705.0","84,728.0","91,118.0","96,173.0","106,971.0","118,993.0","130,886.0","133,442.0","140,803.0","148,842.0","166,285.0","182,923.0","198,222.0","211,200.0","210,669.0","198,999.0","208,378.0","214,896.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1","2,868.0","2,876.0","2,961.0","3,604.0","3,830.0","4,282.0","5,068.0","6,173.0","6,788.0","7,577.0","8,120.0","8,893.0","9,460.0","9,509.0","9,967.0","11,439.0","12,156.0","13,147.0","15,381.0","17,149.0","18,778.0","19,943.0","20,452.0","21,743.0","23,603.0","25,924.0","27,167.0","28,529.0","29,522.0","32,081.0","35,276.0","39,092.0","41,266.0","43,075.0","44,963.0","47,769.0","50,715.0","54,416.0","55,840.0","55,747.0","51,389.0","51,819.0","55,118.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRC1","3,258.0","3,472.0","4,178.0","5,479.0","6,409.0","6,199.0","7,451.0","8,578.0","9,983.0","10,845.0","11,706.0","9,826.0","10,424.0","10,346.0","10,748.0","13,759.0","14,622.0","15,714.0","16,434.0","17,024.0","17,310.0","16,617.0","15,963.0","15,864.0","17,979.0","20,379.0","22,491.0","24,076.0","26,034.0","28,655.0","31,824.0","34,917.0","35,377.0","36,547.0","40,005.0","43,646.0","45,733.0","46,957.0","47,299.0","42,682.0","33,465.0","32,237.0","33,834.0"
"35","17","      Recreational books (part of 90)","DRBKRC1","1,726.0","2,185.0","2,225.0","2,201.0","2,275.0","2,365.0","2,630.0","2,619.0","2,974.0","3,638.0","4,173.0","4,704.0","5,346.0","5,850.0","6,496.0","7,061.0","7,348.0","7,771.0","8,757.0","9,565.0","10,112.0","10,853.0","11,041.0","11,507.0","12,795.0","14,632.0","16,410.0","18,116.0","19,691.0","20,884.0","22,690.0","24,423.0","24,749.0","25,902.0","26,826.0","27,464.0","28,067.0","28,854.0","29,481.0","29,594.0","28,726.0","29,496.0","31,322.0"
"36","18","      Musical instruments (part of 80)","DMSCRC1","557.0","585.0","600.0","670.0","743.0","788.0","868.0","944.0","969.0","1,040.0","1,119.0","1,137.0","1,162.0","1,105.0","1,242.0","1,350.0","1,484.0","1,606.0","1,728.0","1,891.0","1,941.0","2,050.0","2,175.0","2,186.0","2,385.0","2,700.0","2,927.0","3,090.0","3,212.0","3,481.0","3,926.0","4,748.0","4,932.0","5,180.0","5,075.0","5,343.0","5,377.0","5,641.0","5,581.0","5,320.0","4,728.0","4,734.0","4,947.0"
"37","19","    Other durable goods","DODGRC1","8,714.0","9,374.0","10,073.0","10,966.0","12,862.0","14,535.0","16,547.0","19,108.0","21,082.0","23,470.0","25,076.0","27,627.0","29,583.0","29,920.0","33,659.0","38,288.0","41,605.0","47,450.0","52,502.0","57,808.0","61,265.0","65,462.0","64,935.0","68,001.0","71,977.0","76,478.0","79,564.0","84,347.0","87,324.0","94,150.0","102,733.0","110,380.0","108,352.0","113,380.0","121,393.0","131,491.0","141,065.0","154,618.0","167,830.0","167,687.0","160,833.0","168,677.0","181,006.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRC1","4,016.0","4,096.0","4,412.0","4,784.0","6,012.0","6,996.0","8,098.0","9,844.0","10,985.0","12,316.0","13,032.0","14,978.0","16,041.0","15,635.0","17,395.0","19,759.0","21,056.0","24,333.0","26,237.0","28,288.0","29,175.0","30,279.0","30,192.0","31,645.0","33,854.0","36,014.0","37,842.0","39,892.0","39,908.0","42,557.0","46,539.0","49,088.0","47,577.0","49,111.0","51,374.0","55,336.0","58,128.0","62,334.0","65,283.0","63,448.0","58,448.0","60,814.0","67,316.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERC1","1,666.0","1,904.0","1,939.0","2,167.0","2,410.0","2,702.0","3,037.0","3,257.0","3,514.0","3,949.0","4,527.0","5,072.0","5,661.0","6,243.0","7,136.0","8,359.0","9,618.0","11,011.0","12,601.0","14,768.0","15,869.0","18,405.0","17,513.0","18,097.0","18,882.0","20,375.0","21,013.0","23,005.0","25,261.0","27,814.0","29,704.0","32,169.0","31,833.0","34,043.0","35,954.0","38,603.0","41,528.0","44,678.0","48,991.0","49,806.0","49,766.0","52,642.0","55,225.0"
"40","22","      Educational books (96)","DEBKRC1","583.0","737.0","751.0","743.0","778.0","827.0","940.0","957.0","1,100.0","1,346.0","1,546.0","1,746.0","1,986.0","2,175.0","2,508.0","2,913.0","3,235.0","3,646.0","4,246.0","4,645.0","4,923.0","5,298.0","5,404.0","5,641.0","6,054.0","6,484.0","6,802.0","7,007.0","7,335.0","7,855.0","8,564.0","9,043.0","9,230.0","9,702.0","10,365.0","10,946.0","11,542.0","12,249.0","12,930.0","12,978.0","12,595.0","12,928.0","13,723.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRC1","2,429.0","2,616.0","2,949.0","3,248.0","3,634.0","3,979.0","4,438.0","5,011.0","5,439.0","5,707.0","5,593.0","5,178.0","4,916.0","4,668.0","5,396.0","6,013.0","6,476.0","7,204.0","8,112.0","8,671.0","9,673.0","9,698.0","9,952.0","10,569.0","10,885.0","10,929.0","10,896.0","11,054.0","11,084.0","11,747.0","13,120.0","14,565.0","13,873.0","14,281.0","16,121.0","17,885.0","20,491.0","23,751.0","26,828.0","27,342.0","26,673.0","28,905.0","30,816.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERC1","20.0","21.0","22.0","24.0","28.0","31.0","34.0","39.0","44.0","152.0","378.0","653.0","979.0","1,199.0","1,224.0","1,244.0","1,220.0","1,256.0","1,306.0","1,436.0","1,625.0","1,782.0","1,874.0","2,049.0","2,302.0","2,676.0","3,011.0","3,389.0","3,736.0","4,177.0","4,806.0","5,515.0","5,839.0","6,243.0","7,579.0","8,721.0","9,376.0","11,606.0","13,798.0","14,113.0","13,351.0","13,388.0","13,926.0"
"43","25","  Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,330,015.0","1,432,638.0","1,543,354.0","1,587,659.0","1,617,855.0","1,708,127.0","1,819,251.0","1,953,376.0","2,069,760.0","2,175,498.0","2,272,816.0","2,164,786.0","2,285,456.0","2,478,398.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARC1","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","486,506.0","513,569.0","537,457.0","559,707.0","569,607.0","587,529.0","612,963.0","644,493.0","674,192.0","711,207.0","746,394.0","742,317.0","760,638.0","810,187.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1","83,626.0","90,403.0","92,596.0","98,682.0","109,591.0","124,183.0","136,203.0","145,643.0","156,544.0","171,120.0","190,251.0","207,982.0","221,683.0","231,345.0","239,182.0","252,733.0","262,331.0","273,849.0","281,807.0","298,998.0","319,460.0","341,238.0","351,488.0","354,596.0","362,392.0","378,285.0","388,268.0","402,756.0","412,764.0","422,087.0","444,945.0","463,125.0","482,228.0","490,397.0","507,316.0","529,824.0","558,166.0","582,169.0","614,901.0","647,357.0","642,442.0","654,504.0","698,220.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1","11,014.0","12,327.0","13,785.0","14,901.0","16,009.0","17,665.0","19,234.0","20,469.0","22,065.0","23,777.0","26,773.0","29,952.0","32,442.0","34,667.0","36,805.0","37,352.0","39,696.0","41,670.0","41,762.0","43,077.0","45,256.0","49,298.0","50,858.0","49,294.0","50,537.0","53,313.0","55,000.0","58,676.0","61,598.0","64,037.0","68,274.0","74,014.0","77,193.0","78,929.0","79,938.0","82,838.0","85,984.0","91,609.0","95,952.0","98,665.0","99,529.0","105,778.0","111,623.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRC1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","301.0","343.0","414.0","354.0","372.0","346.0","356.0","344.0"
"48","30","    Clothing and footwear","DCLORC1","44,331.0","45,450.0","49,046.0","53,491.0","59,243.0","62,423.0","66,867.0","72,191.0","79,305.0","89,317.0","96,371.0","103,002.0","113,178.0","116,745.0","126,445.0","137,621.0","146,845.0","157,201.0","167,726.0","178,213.0","190,397.0","195,245.0","199,098.0","211,234.0","219,054.0","227,435.0","231,245.0","239,542.0","247,496.0","257,805.0","271,097.0","280,831.0","277,868.0","278,836.0","286,162.0","298,697.0","314,019.0","327,312.0","335,432.0","330,907.0","316,994.0","331,638.0","349,182.0"
"49","31","      Garments","DGARRC1","35,477.0","36,617.0","39,637.0","43,168.0","47,808.0","50,826.0","54,905.0","59,203.0","65,063.0","73,082.0","78,224.0","83,275.0","91,390.0","94,941.0","103,338.0","113,149.0","120,984.0","129,527.0","138,166.0","146,880.0","156,207.0","159,977.0","163,962.0","174,421.0","180,888.0","187,271.0","190,094.0","196,380.0","203,240.0","211,129.0","221,908.0","230,023.0","227,216.0","228,008.0","233,994.0","244,694.0","256,337.0","265,987.0","272,459.0","268,110.0","256,840.0","268,502.0","283,108.0"
"50","32","        Women's and girls' clothing (10)","DWGCRC1","21,299.0","21,939.0","24,019.0","25,761.0","28,305.0","29,859.0","32,158.0","34,493.0","37,532.0","42,476.0","45,544.0","48,470.0","53,260.0","55,319.0","60,745.0","66,992.0","72,201.0","77,933.0","83,096.0","87,550.0","92,654.0","94,545.0","96,473.0","103,175.0","106,397.0","108,421.0","108,922.0","111,410.0","113,922.0","118,968.0","126,520.0","132,721.0","132,134.0","133,306.0","137,549.0","145,021.0","152,457.0","158,903.0","163,973.0","160,083.0","153,227.0","160,596.0","169,519.0"
"51","33","        Men's and boys' clothing (11)","DMBCRC1","13,390.0","13,724.0","14,747.0","16,331.0","18,175.0","19,303.0","20,874.0","22,549.0","25,065.0","27,601.0","29,236.0","30,894.0","33,548.0","34,524.0","37,092.0","40,190.0","42,459.0","44,884.0","48,049.0","51,723.0","55,584.0","57,381.0","59,392.0","63,009.0","66,065.0","70,095.0","72,209.0","75,838.0","79,957.0","82,193.0","84,621.0","85,874.0","83,203.0","82,445.0","84,201.0","87,259.0","91,022.0","93,907.0","95,156.0","94,516.0","90,744.0","94,542.0","99,612.0"
"52","34","        Children's and infants' clothing (12)","DCICRC1","788.0","954.0","871.0","1,076.0","1,328.0","1,664.0","1,873.0","2,161.0","2,466.0","3,005.0","3,444.0","3,911.0","4,582.0","5,098.0","5,501.0","5,967.0","6,324.0","6,710.0","7,021.0","7,607.0","7,969.0","8,051.0","8,097.0","8,237.0","8,426.0","8,755.0","8,963.0","9,132.0","9,361.0","9,968.0","10,767.0","11,428.0","11,879.0","12,257.0","12,244.0","12,414.0","12,858.0","13,177.0","13,330.0","13,511.0","12,869.0","13,364.0","13,977.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1","8,854.0","8,833.0","9,409.0","10,323.0","11,435.0","11,597.0","11,962.0","12,988.0","14,242.0","16,235.0","18,147.0","19,727.0","21,788.0","21,804.0","23,107.0","24,472.0","25,861.0","27,674.0","29,560.0","31,333.0","34,190.0","35,268.0","35,136.0","36,813.0","38,166.0","40,164.0","41,151.0","43,162.0","44,256.0","46,676.0","49,189.0","50,808.0","50,652.0","50,828.0","52,168.0","54,003.0","57,682.0","61,325.0","62,973.0","62,797.0","60,154.0","63,136.0","66,074.0"
"54","36","    Gasoline and other energy goods","DGOERC1","24,968.0","26,286.0","27,647.0","29,393.0","34,325.0","43,849.0","48,020.0","53,013.0","57,817.0","61,453.0","80,388.0","101,898.0","113,443.0","108,350.0","106,456.0","108,200.0","110,532.0","91,191.0","96,369.0","99,850.0","110,439.0","124,199.0","121,129.0","125,007.0","126,882.0","129,231.0","133,405.0","144,745.0","147,662.0","133,359.0","148,811.0","188,836.0","183,583.0","174,562.0","209,475.0","249,423.0","303,787.0","335,246.0","364,765.0","410,459.0","299,335.0","352,383.0","428,303.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1","20,460.0","21,921.0","23,150.0","24,406.0","28,131.0","36,130.0","39,703.0","43,046.0","46,934.0","50,102.0","66,243.0","86,689.0","97,919.0","94,125.0","93,081.0","94,568.0","97,205.0","80,052.0","85,355.0","88,395.0","98,716.0","111,440.0","108,852.0","112,864.0","114,518.0","116,492.0","120,410.0","130,494.0","134,428.0","121,791.0","136,456.0","172,929.0","168,083.0","160,273.0","192,793.0","231,555.0","283,798.0","314,665.0","342,973.0","384,516.0","278,711.0","330,122.0","403,787.0"
