"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","    Wage and salary disbursements","A576RC1","518,333.0","551,560.0","583,969.0","638,782.0","708,820.0","772,762.0","814,738.0","899,645.0","994,058.0","1,120,299.0","1,253,495.0","1,373,462.0","1,511,314.0","1,587,521.0","1,677,957.0","1,844,695.0","1,982,780.0","2,102,334.0","2,256,266.0","2,439,783.0","2,583,050.0","2,741,149.0","2,814,527.0","2,973,540.0","3,076,590.0","3,230,839.0","3,418,022.0","3,616,341.0","3,876,569.0","4,181,621.0","4,460,027.0","4,827,698.0","4,952,201.0","4,997,307.0","5,139,598.0","5,425,691.0","5,700,980.0","6,068,893.0","6,421,726.0","6,550,861.0","6,270,331.0","6,404,564.0","6,661,293.0","6,905,956.0"
"22","4","      Private industries","A132RC1","412,733.0","434,328.0","457,398.0","501,228.0","560,009.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,717.0","1,496,777.0","1,608,687.0","1,705,114.0","1,833,149.0","1,987,746.0","2,101,944.0","2,222,150.0","2,265,712.0","2,401,539.0","2,487,580.0","2,621,343.0","2,788,996.0","2,968,280.0","3,204,758.0","3,480,383.0","3,726,338.0","4,047,987.0","4,130,317.0","4,124,194.0","4,226,273.0","4,472,883.0","4,709,491.0","5,033,742.0","5,332,699.0","5,406,756.0","5,095,105.0","5,213,278.0","5,465,967.0","5,704,483.0"
"23","5","      Government","B202RC1","105,600.0","117,232.0","126,571.0","137,554.0","148,811.0","160,992.0","176,140.0","188,806.0","202,488.0","219,747.0","237,317.0","261,501.0","285,790.0","307,541.0","325,240.0","347,918.0","374,093.0","397,220.0","423,117.0","452,037.0","481,106.0","518,999.0","548,815.0","572,001.0","589,010.0","609,496.0","629,026.0","648,061.0","671,811.0","701,238.0","733,689.0","779,711.0","821,884.0","873,113.0","913,325.0","952,808.0","991,489.0","1,035,151.0","1,089,027.0","1,144,105.0","1,175,226.0","1,191,286.0","1,195,326.0","1,201,473.0"
"24","6","    Supplements to wages and salaries","A038RC1","59,278.0","65,658.0","74,360.0","86,352.0","102,461.0","117,967.0","134,307.0","159,597.0","186,367.0","214,886.0","244,976.0","274,150.0","308,291.0","332,125.0","358,021.0","400,531.0","429,198.0","455,320.0","479,372.0","514,373.0","548,267.0","585,058.0","623,853.0","673,644.0","714,058.0","750,076.0","760,787.0","771,375.0","791,984.0","842,326.0","888,761.0","961,151.0","1,027,117.0","1,113,509.0","1,227,991.0","1,282,716.0","1,359,061.0","1,406,853.0","1,440,425.0","1,522,452.0","1,524,027.0","1,565,444.0","1,633,939.0","1,686,897.0"
"25","7","      Employer contributions for employee pension and insurance funds","B040RC1","36,524.0","41,819.0","47,914.0","55,195.0","62,678.0","73,273.0","87,583.0","105,199.0","125,263.0","143,358.0","162,389.0","185,210.0","204,681.0","222,356.0","238,139.0","261,493.0","281,464.0","297,451.0","313,112.0","329,740.0","354,594.0","378,606.0","408,721.0","445,246.0","474,379.0","495,937.0","496,667.0","496,570.0","502,391.0","535,089.0","565,422.0","615,931.0","669,131.0","747,398.0","845,564.0","874,621.0","931,569.0","960,146.0","980,494.0","1,052,365.0","1,067,165.0","1,097,343.0","1,139,046.0","1,172,134.0"
"26","8","      Employer contributions for government social insurance","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,452.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,111.0","382,427.0","408,095.0","427,492.0","446,707.0","459,931.0","470,087.0","456,862.0","468,101.0","494,893.0","514,763.0"
"27","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,097,887.0","979,406.0","1,103,365.0","1,157,328.0","1,202,343.0"
"28","10","    Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","37,779.0","51,752.0","39,873.0","44,309.0","54,567.0","56,206.0"
"29","11","    Nonfarm","A045RC1","64,675.0","65,583.0","71,297.0","79,013.0","84,552.0","90,015.0","97,609.0","115,030.0","130,065.0","147,582.0","158,960.0","161,760.0","162,588.0","161,519.0","184,477.0","212,131.0","225,127.0","239,726.0","265,340.0","308,037.0","318,554.0","332,976.0","339,777.0","379,112.0","417,589.0","449,509.0","492,588.0","545,247.0","595,645.0","658,651.0","718,307.0","787,826.0","840,202.0","871,840.0","894,111.0","984,093.0","1,025,906.0","1,103,626.0","1,052,583.0","1,046,135.0","939,533.0","1,059,056.0","1,102,761.0","1,146,137.0"
"30","12","  Rental income of persons with capital consumption adjustment","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","231,617.0","289,721.0","349,196.0","409,685.0","462,637.0"
"31","13","  Personal income receipts on assets","W210RC1","84,135.0","93,506.0","100,972.0","109,610.0","124,663.0","146,371.0","162,173.0","178,448.0","205,306.0","234,776.0","274,740.0","338,660.0","421,928.0","488,350.0","529,587.0","607,881.0","653,227.0","694,453.0","715,798.0","767,040.0","874,793.0","920,769.0","928,573.0","909,722.0","900,453.0","947,667.0","1,005,363.0","1,080,741.0","1,165,451.0","1,269,164.0","1,246,789.0","1,360,679.0","1,345,968.0","1,309,562.0","1,312,896.0","1,408,483.0","1,541,986.0","1,829,676.0","2,057,026.0","2,165,398.0","1,626,519.0","1,598,282.0","1,685,118.0","1,749,667.0"
"32","14","    Personal interest income","A064RC1","59,896.0","69,199.0","75,945.0","82,774.0","94,783.0","113,184.0","129,251.0","139,477.0","160,583.0","184,048.0","217,303.0","274,687.0","348,298.0","410,790.0","446,299.0","517,238.0","555,831.0","588,423.0","603,648.0","637,297.0","716,996.0","751,945.0","748,233.0","722,160.0","698,109.0","712,700.0","751,922.0","784,372.0","835,771.0","919,345.0","910,889.0","984,168.0","976,472.0","911,857.0","889,775.0","860,199.0","986,974.0","1,127,482.0","1,265,145.0","1,381,997.0","1,093,275.0","1,016,593.0","1,008,802.0","992,624.0"
"33","15","    Personal dividend income","B703RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,560.0","83,288.0","90,643.0","97,396.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,340.0","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0","791,881.0","783,401.0","533,244.0","581,689.0","676,316.0","757,043.0"
"34","16","  Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,012.0","1,188,105.0","1,282,143.0","1,341,748.0","1,415,516.0","1,508,578.0","1,605,003.0","1,718,459.0","1,879,235.0","2,140,129.0","2,284,290.0","2,319,243.0","2,375,102.0"
"35","17","    Government social benefits to persons","A063RC1","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,280.0","189,122.0","203,175.0","227,087.0","270,841.0","307,194.0","342,446.0","369,945.0","380,405.0","402,638.0","428,018.0","447,384.0","475,863.0","519,431.0","572,714.0","648,231.0","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,578.0","1,141,337.0","1,247,949.0","1,316,047.0","1,398,574.0","1,482,742.0","1,583,630.0","1,687,921.0","1,842,434.0","2,100,533.0","2,236,871.0","2,274,302.0","2,329,167.0"
"36","18","      Social security \1\","W823RC1","26,382.0","31,380.0","36,617.0","40,948.0","50,665.0","57,607.0","65,895.0","74,501.0","83,239.0","91,380.0","102,581.0","118,586.0","138,644.0","153,708.0","164,426.0","173,027.0","183,275.0","193,631.0","200,995.0","213,916.0","227,380.0","244,135.0","264,204.0","281,776.0","297,935.0","312,161.0","327,675.0","342,005.0","356,592.0","369,182.0","379,864.0","401,393.0","425,084.0","446,909.0","463,531.0","485,512.0","512,728.0","544,096.0","575,648.0","605,542.0","664,470.0","690,174.0","713,276.0","762,167.0"
"37","19","      Medicare \2\","W824RC1","6,695.0","7,254.0","8,049.0","8,836.0","10,244.0","12,726.0","15,633.0","18,795.0","22,101.0","25,543.0","29,936.0","36,201.0","43,499.0","50,927.0","57,797.0","64,748.0","69,720.0","75,269.0","81,585.0","86,289.0","98,175.0","107,638.0","117,487.0","132,596.0","146,785.0","164,423.0","181,220.0","194,868.0","206,917.0","205,558.0","208,736.0","219,117.0","242,580.0","259,189.0","276,862.0","304,659.0","331,924.0","399,193.0","427,556.0","461,634.0","494,534.0","515,258.0","545,096.0","562,032.0"
"38","20","      Medicaid","W729RC1","4,551.0","5,455.0","6,744.0","8,211.0","9,611.0","11,176.0","13,863.0","15,457.0","16,737.0","18,619.0","21,067.0","23,855.0","27,746.0","30,159.0","33,871.0","36,572.0","39,673.0","43,645.0","47,836.0","53,027.0","60,838.0","73,144.0","96,911.0","116,248.0","130,104.0","139,429.0","149,570.0","158,188.0","163,124.0","170,195.0","184,555.0","199,493.0","227,259.0","250,070.0","264,558.0","289,673.0","304,391.0","299,043.0","324,064.0","338,233.0","369,180.0","396,556.0","403,893.0","415,286.0"
"39","21","      Unemployment insurance","W825RC1","2,327.0","4,186.0","6,160.0","6,033.0","4,570.0","7,021.0","18,140.0","16,386.0","13,129.0","9,417.0","9,692.0","16,097.0","15,885.0","25,227.0","26,411.0","15,991.0","15,861.0","16,467.0","14,625.0","13,328.0","14,410.0","18,162.0","26,787.0","39,617.0","34,848.0","23,942.0","21,734.0","22,274.0","20,103.0","19,693.0","20,509.0","20,741.0","31,899.0","53,481.0","53,174.0","36,424.0","31,774.0","30,367.0","32,739.0","50,934.0","131,209.0","138,855.0","107,965.0","80,914.0"
"40","22","      Veterans' benefits","W826RC1","6,612.0","7,457.0","8,404.0","9,374.0","10,242.0","11,581.0","13,950.0","13,765.0","13,349.0","13,597.0","14,153.0","14,660.0","15,782.0","16,290.0","16,445.0","16,275.0","16,551.0","16,589.0","16,463.0","16,735.0","17,214.0","17,687.0","18,131.0","18,620.0","19,307.0","19,703.0","20,543.0","21,425.0","22,306.0","23,266.0","24,139.0","25,004.0","26,597.0","29,543.0","31,832.0","34,046.0","36,370.0","38,876.0","41,675.0","45,007.0","51,470.0","57,926.0","63,263.0","72,269.0"
"41","23","      Other","W827RC1","12,406.0","16,005.0","19,438.0","21,406.0","23,296.0","28,445.0","35,653.0","38,376.0","40,567.0","44,619.0","49,658.0","61,442.0","65,638.0","66,135.0","70,995.0","73,792.0","77,558.0","82,417.0","85,880.0","92,568.0","101,414.0","111,948.0","124,711.0","140,622.0","147,734.0","153,482.0","159,477.0","162,438.0","160,708.0","164,028.0","169,809.0","174,830.0","187,918.0","208,757.0","226,090.0","248,261.0","265,555.0","272,055.0","286,239.0","341,084.0","389,670.0","438,102.0","440,809.0","436,499.0"
"42","24","    Other current transfer receipts, from business (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0","30,538.0","36,801.0","39,596.0","47,419.0","44,941.0","45,935.0"
"43","25","  Less: Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0","959,483.0","987,291.0","963,138.0","983,253.0","919,331.0","951,463.0"
"44","26","Less: Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,488,657.0","1,435,653.0","1,144,566.0","1,194,835.0","1,397,977.0","1,480,371.0"
"45","27","Equals: Disposable personal income","A067RC1","673,821.0","735,509.0","801,392.0","868,998.0","978,138.0","1,071,696.0","1,187,254.0","1,302,347.0","1,434,984.0","1,607,330.0","1,790,861.0","2,002,661.0","2,237,111.0","2,412,707.0","2,599,844.0","2,891,456.0","3,079,348.0","3,258,809.0","3,435,308.0","3,726,305.0","3,991,377.0","4,254,015.0","4,444,876.0","4,736,731.0","4,921,615.0","5,184,312.0","5,457,013.0","5,759,623.0","6,074,591.0","6,498,949.0","6,803,307.0","7,327,174.0","7,648,460.0","8,009,679.0","8,377,778.0","8,889,416.0","9,277,293.0","9,915,675.0","10,423,601.0","11,024,504.0","10,722,429.0","11,127,052.0","11,549,297.0","11,950,766.0"
"46","28","Less: Personal outlays","A068RC1","621,357.0","666,081.0","720,970.0","791,536.0","875,207.0","957,515.0","1,061,311.0","1,179,552.0","1,309,682.0","1,464,955.0","1,633,410.0","1,806,352.0","2,000,371.0","2,148,794.0","2,372,918.0","2,595,192.0","2,825,749.0","3,012,356.0","3,211,870.0","3,469,688.0","3,726,396.0","3,977,323.0","4,131,682.0","4,388,664.0","4,636,229.0","4,913,629.0","5,170,756.0","5,478,482.0","5,794,167.0","6,157,471.0","6,595,527.0","7,114,078.0","7,443,544.0","7,727,479.0","8,088,130.0","8,571,180.0","9,134,125.0","9,659,060.0","10,174,872.0","10,432,162.0","10,214,264.0","10,560,353.0","11,059,939.0","11,460,298.0"
"47","29","  Personal consumption expenditures","DPCERC1","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,120.0","8,270,574.0","8,803,526.0","9,300,999.0","9,772,270.0","10,035,524.0","9,845,903.0","10,215,722.0","10,729,044.0","11,119,622.0"
"48","30","  Personal interest payments \3\","B069RC1","13,990.0","15,213.0","16,551.0","18,140.0","19,805.0","21,152.0","23,692.0","23,904.0","27,018.0","31,903.0","36,201.0","43,622.0","49,336.0","59,495.0","69,214.0","77,042.0","89,389.0","94,507.0","91,688.0","93,996.0","103,861.0","111,298.0","114,956.0","111,286.0","106,996.0","113,001.0","130,573.0","147,308.0","159,679.0","169,454.0","176,504.0","200,308.0","203,735.0","191,274.0","182,669.0","190,289.0","210,834.0","230,082.0","260,893.0","245,623.0","217,101.0","183,764.0","168,047.0","172,717.0"
"49","31","  Personal current transfer payments","W211RC1","2,243.0","2,567.0","2,806.0","3,166.0","3,389.0","3,431.0","3,831.0","4,394.0","4,841.0","5,431.0","6,042.0","6,904.0","11,529.0","13,804.0","15,128.0","17,067.0","18,752.0","21,103.0","23,222.0","25,636.0","28,045.0","30,572.0","36,653.0","40,487.0","45,639.0","49,822.0","52,903.0","57,566.0","63,862.0","69,529.0","76,239.0","83,399.0","91,002.0","97,014.0","101,341.0","110,317.0","119,765.0","127,979.0","141,709.0","151,015.0","151,260.0","160,867.0","162,848.0","167,959.0"
"50","32","    To government","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,151.0","66,717.0","71,411.0","76,382.0","82,370.0","84,851.0","85,188.0","87,379.0","88,918.0","91,547.0"
"51","33","    To the rest of the world (net)","B070RC1","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,634.0","41,190.0","43,600.0","48,354.0","51,597.0","59,339.0","66,164.0","66,072.0","73,488.0","73,930.0","76,412.0"
"52","34","Equals: Personal saving","A071RC1","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,648.0","318,236.0","143,168.0","256,615.0","248,729.0","592,342.0","508,165.0","566,699.0","489,358.0","490,468.0"
"53","35","  Personal saving as a percentage of disposable personal income","A072RC1","7.8","9.4","10.0","8.9","10.5","10.7","10.6","9.4","8.7","8.9","8.8","9.8","10.6","10.9","8.7","10.2","8.2","7.6","6.5","6.9","6.6","6.5","7.0","7.3","5.8","5.2","5.2","4.9","4.6","5.3","3.1","2.9","2.7","3.5","3.5","3.6","1.5","2.6","2.4","5.4","4.7","5.1","4.2","4.1"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
