"","Table 3#4U# Personal Current Tax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86"
"11","3","  Income taxes","B231RC0",401684,399628,401576,408664,437916,446836,455480,465792,461260,470116,475088,474308,457328,459204,461892,466972,459124,468028,477228,496776,481436,502844,511716,526140,523280,553700,542344,551396,564572,590560,586836,601844,631308,668052,669180,685204,717952,733500,751840,774028,796108,816512,836280,854476,864092,879748,899524,928704,975440,987368,1011672,1021740,1047324,1045720,880996,1004148,843092,835192,825832,817992,804412,810440,708232,774744,767476,785812,809568,826564,894888,917800,944244,965816,1018804,1031584,1056020,1093176,1139496,1157104,1178080,1194716,1201244,999776,1139676
"12","4","    Withheld","PTN0180",344128,343836,346036,352272,360952,367820,374812,383556,388768,396852,401576,401188,397992,399656,401300,404492,396348,402772,409652,427228,412720,432152,440036,454236,449608,464284,470340,480036,486484,495364,506364,518136,527380,543044,556580,568888,577564,588316,600512,615608,626544,640620,656392,672924,693784,707780,723480,746224,768176,773388,791864,797940,814400,814384,794984,787468,736408,736856,734196,731896,734040,743144,703708,716904,719968,737388,758068,770500,778524,793388,811940,824128,845912,850044,866596,897008,930680,942676,958948,971764,969104,964684,960808
"13","5","    Declarations and settlements","PTN1000",129884,128120,127868,128720,147164,149216,150868,152436,145948,146720,146968,146576,139512,139724,140768,142656,142564,145044,147364,149336,144300,146276,147264,147488,150784,166528,149116,148472,164020,181128,166404,169640,193268,214348,201940,205656,234180,238980,245124,252212,269584,275912,279908,281572,295488,297148,301224,307660,341368,348084,353912,357904,381772,380184,234860,365528,288216,279868,273168,267628,249260,246184,183412,236728,234412,235328,238404,242968,296792,304840,312732,322116,369284,377932,385816,392560,415576,421188,425892,429712,444140,446460,447936
"14","6","    Less: Refunds","PTN2000",72328,72328,72328,72328,70200,70200,70200,70200,73456,73456,73456,73456,80176,80176,80176,80176,79788,79788,79788,79788,75584,75584,75584,75584,77112,77112,77112,77112,85932,85932,85932,85932,89340,89340,89340,89340,93796,93796,93796,93796,100020,100020,100020,100020,125180,125180,125180,125180,134104,134104,134104,134104,148848,148848,148848,148848,181532,181532,181532,181532,178888,178888,178888,178888,186904,186904,186904,186904,180428,180428,180428,180428,196392,196392,196392,196392,206760,206760,206760,206760,212000,411364,269040
"15","7","  Other taxes","B035RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","State and local","W071RC0",99411,97227,104140,107598,113385,118249,114509,112413,119335,122553,123722,124626,121197,124526,126101,129420,127470,136898,136698,140154,136451,138310,143566,145941,146892,141914,151151,152003,156833,152354,160645,162604,165285,165897,169346,174164,177782,176887,184075,189248,195056,201834,201449,206477,207639,210416,215978,223823,231605,243700,236306,234829,249232,266590,229320,225834,220136,215132,224184,225780,218330,213217,234384,240609,240609,238645,252507,264087,268914,274881,278019,286650,297184,309476,300210,306398,320032,332338,323499,325831,333737,346371,328961
"17","9","  Income taxes","B245RC0",88279,85800,92491,95826,101291,105833,102142,99814,106638,109512,110751,111475,107950,111221,112227,115482,112714,122258,121935,124601,121765,123948,128663,130524,131395,125763,135082,136724,140623,136122,144241,145962,148999,149633,152847,157825,160726,159572,166757,171613,177211,183626,183210,187965,188831,191605,196945,204667,212206,224520,216617,215669,230056,246918,209531,205879,200270,194570,203529,204895,197136,191361,211696,217703,217086,215082,228423,239469,244238,250102,252875,261009,271233,283176,273818,279825,293172,305382,296341,298381,306736,318964,301329
"18","10","  Motor vehicle licenses","S210300",7035,7285,7430,7454,7608,7839,7707,7858,7929,8197,8075,8215,8256,8174,8613,8505,9010,8969,8958,9675,8902,8564,8948,9294,9103,9563,9391,8619,9612,9642,9787,9943,9371,9258,9488,9095,9709,10044,9819,10116,10236,10437,10411,10576,10729,10617,10829,11013,11421,11297,11738,11160,11057,11339,11346,11462,11407,12038,12063,12100,12005,12310,12922,13103,13365,13373,13698,14156,13916,13783,14014,14291,14472,14652,14610,14658,14807,14766,14837,15038,14610,14862,14882
"19","11","  Property taxes","S210400",2427,2446,2489,2554,2662,2744,2811,2867,2898,2946,2995,3049,3087,3166,3263,3376,3569,3650,3692,3697,3572,3578,3626,3716,3936,4040,4113,4155,4090,4125,4183,4266,4430,4520,4580,4614,4577,4599,4627,4669,4718,4790,4872,4960,5119,5160,5150,5095,4889,4833,4817,4845,4952,5037,5085,5102,5074,5096,5160,5270,5604,5843,5964,5969,5873,5819,5813,5863,6005,6135,6247,6345,6428,6505,6577,6646,6710,6775,6836,6895,6940,6968,7006
"20","12","  Other taxes \2\","S210500",1670,1696,1730,1764,1824,1833,1849,1874,1870,1898,1901,1887,1904,1965,1998,2057,2177,2021,2113,2181,2212,2220,2329,2407,2458,2548,2565,2505,2508,2465,2434,2433,2485,2486,2431,2630,2770,2672,2872,2850,2891,2981,2956,2976,2960,3034,3054,3048,3089,3050,3134,3155,3167,3296,3358,3391,3385,3428,3432,3515,3585,3703,3802,3834,4285,4371,4573,4599,4755,4861,4883,5005,5051,5143,5205,5269,5343,5415,5485,5517,5451,5577,5744
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
