"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"36","28","    Transportation","W047RX0",6364,6483,6653,6833,7461,7638,7704,7311,6895,6563,6332,6338,6402,6567,6709,6830,6844,6795,6438,6290,6020,6203,6130,6012,5762,5449,5550,5633,5675,5963,5957,6067,5891,5927,5981,6247,6661,7216,7279,7201,7378,7579,7471,7619,7710,7886,7866
"37","29","      Air","W048RX0",1194,1128,1132,1072,1294,1269,1327,1154,1248,1352,1417,1573,1606,1792,2060,2296,2326,2272,1896,1693,1303,1424,1342,1282,1233,889,920,925,825,963,849,882,765,747,663,671,658,822,644,446,536,643,568,734,655,633,714
"38","30","      Land\3\","W049RX0",5163,5343,5508,5744,6153,6352,6362,6140,5637,5205,4913,4765,4796,4774,4649,4533,4517,4522,4542,4596,4716,4778,4787,4728,4527,4558,4629,4707,4850,4999,5111,5188,5133,5188,5335,5597,6033,6409,6681,6833,6909,6988,6968,6922,7108,7314,7200
"39","31","    Farm","C316RX0",4149,4193,4461,4419,4497,4969,4625,4570,4824,5848,5093,5371,5642,5570,6268,6472,5226,5011,4885,4541,5099,5077,5380,5540,4587,4634,4689,4711,5217,4932,4638,4116,4253,4538,4753,5030,4709,4270,3989,4092,4800,5287,4960,5329,5127,5167,5036
"40","32","    Other\4\","W050RX0",4133,4114,4207,4079,4442,4731,3904,3528,3440,3887,3683,4007,3948,4129,5064,5431,4685,3648,3134,2534,2230,2152,2634,2825,2133,2042,2237,2620,2884,3078,2822,2322,3159,2863,2749,2941,2918,2896,2897,2761,2658,2970,2650,2917,3891,3213,2944
"41","33","    Brokers' commissions on sale of structures","C321RX0",2094,2033,2138,2125,2183,2242,2245,2330,2359,2287,2263,2269,2368,2444,2483,2369,2325,2359,2241,2168,2113,1986,1860,1849,1884,1959,1972,1979,1967,1976,2045,2084,2124,2130,2154,2255,2392,2488,2589,2641,2781,2950,3112,3268,3337,3488,3535
"42","34","    Net purchases of used structures","E322RX0",-1024,-1029,-1064,2478,-1257,-1329,-1378,-1387,-1391,-1399,-1403,-1408,-1389,-1377,-1363,-1350,-1471,-1559,10819,-1614,-1560,-1676,-1869,-2075,-2017,-1924,-1797,-1658,-1466,-1291,-1128,-943,-874,-631,-631,-1145,-1411,-1600,-1734,-1677,-1756,-1849,-1938,-2034,-2020,-2012,-1985
"43","35","Residential","A012RX0",377009,381805,383519,387457,395523,406485,417667,427746,431341,434871,437297,442747,447103,443068,433820,434181,436567,442734,444769,440365,451389,461815,464197,471590,476412,488345,513496,526652,531759,552840,558457,561670,572922,586425,592319,592407,586838,560584,527399,499316,477300,462768,436479,402999,374561,361058,345630
"44","36","  Permanent site","A943RX0",221383,224243,222221,226199,232889,239536,249303,257204,261058,260281,261962,268376,272553,268805,259282,259547,263730,268421,269664,264594,268734,277297,280070,283250,288965,293781,309376,325759,327988,339488,345526,345849,355484,361280,365977,372020,371575,346750,319946,293187,271930,261045,242232,213387,187147,175217,163489
"45","37","    Single-family structures","A944RX0",195100,196994,196039,198385,205046,213467,223274,230627,232465,231836,232792,239616,243519,239686,232444,231503,234594,239131,240256,234543,238005,245939,248880,252447,257410,262390,276886,293630,295402,305566,310074,310109,318834,323478,327592,333672,333125,308694,282729,255168,235618,227325,210336,182941,156686,142946,130546
"46","38","    Multifamily structures","C292RX0",26326,27323,26206,27873,27853,26064,26029,26577,28588,28445,29175,28762,29034,29118,26838,28046,29145,29294,29411,30082,30760,31382,31206,30809,31568,31387,32465,32010,32465,33801,35379,35678,36570,37766,38368,38317,38475,38154,37339,38135,36392,33805,31958,30443,30358,32077,32686
"47","39","  Other structures","A863RX0",155547,157486,161135,161137,162560,166886,168357,170558,170296,174583,175328,174369,174550,174266,174538,174630,172837,174311,175095,175779,182685,184523,184125,188347,187412,194584,204124,200730,203597,213210,212665,215623,217152,224964,226100,219813,214477,213571,207572,206881,206682,203167,195860,191740,189996,188531,184819
"48","40","    Manufactured homes","A945RX0",14046,14686,15011,15016,15221,15757,16270,16701,16359,15447,14570,14235,13599,11986,10896,9359,8665,8917,9405,9633,8963,8198,8130,7711,7064,6550,6784,6553,6718,6166,6368,6919,7240,6736,7083,8024,6740,6042,5422,4843,4843,4711,4741,4494,4395,4036,3536
"49","41","    Dormitories","C295RX0",803,870,917,955,926,1025,1029,1203,1211,1235,1288,1604,1617,1308,1149,1357,1553,1396,1461,1520,1479,1408,1264,1519,1520,1548,1617,1505,1431,1534,1367,1088,1112,1023,1150,1336,1432,1468,1490,1470,1714,1913,2078,2600,2515,2591,2891
"50","42","    Improvements","A946RX0",99895,99941,100246,100413,100175,100310,100730,101502,102834,103679,104682,105898,106117,106782,107531,108117,108080,108241,108452,109723,112110,113947,115987,116982,117331,119853,121968,122825,123165,123423,123380,125184,126802,127838,127259,126806,126107,125903,126551,126788,126895,127555,127960,127713,128194,127903,125818
"51","43","    Brokers' commissions on sale of structures","A758RX0",43109,44480,47646,47644,49344,53040,53677,54529,53628,57920,58265,55882,55426,55894,56282,56598,55873,57173,57403,57174,62633,63743,61765,64966,64398,69497,76426,72404,74286,83744,83055,83887,82564,89806,91125,84221,80709,80814,74873,74816,74540,70379,62416,58262,56165,55278,53883
"52","44","    Net purchases of used structures","A759RX0",-2335,-2546,-2744,-2953,-3173,-3328,-3445,-3481,-3834,-3746,-3497,-3268,-2215,-1698,-1313,-806,-1356,-1461,-1665,-2296,-2603,-2906,-3104,-2994,-3071,-3139,-3079,-2883,-2374,-2124,-1969,-1912,-1058,-944,-1020,-1042,-1028,-1178,-1374,-1634,-1904,-2107,-2276,-2426,-2457,-2499,-2540
"53","45","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Private fixed investment in new structures\5\","W040RX0",611468,612736,621806,624630,635282,653965,662094,673408,672530,673910,673478,684103,692768,700311,697453,698031,694992,696770,691276,669665,660700,656412,650486,651295,652334,667420,684744,698589,700883,715815,723902,725931,742091,747208,745555,753656,760753,747835,731257,706495,694141,697327,694873,674001,656301,659758,655457
"56","47","    Nonresidential structures","A771RX0",275078,272712,283084,281748,285812,297046,294608,296700,291034,293238,290966,293984,298885,311451,318602,319611,312887,309735,302287,284295,269675,256069,245790,242672,238274,246436,245781,242684,242328,245774,247753,247422,251839,250772,244757,246324,255554,267402,276532,278152,285644,297864,312072,318524,325120,339097,346982
"57","48","    Residential structures","A756RX0",336318,339933,338631,342786,349365,356765,367437,376697,381544,380701,382533,390129,393887,388874,378856,378391,382060,387018,389020,385471,391303,400917,405510,409545,415035,421919,440010,457050,459718,471199,477282,479615,491273,497571,502226,508994,506758,480755,453643,426165,404948,394630,376169,347063,320921,308440,294533
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
