"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"65","58","      Domestic","AB71RX0",3060,-3642,308,1457,-79,659,-6997,6491,-1096,-388,-713,1369,-2657,3983
"66","59","      Foreign","AB72RX0",-736,-1742,186,1023,1289,535,650,1242,-235,-995,-454,1195,-848,1935
"67","60","    Used","B147RX0",917,1840,1116,694,1145,2626,2210,-241,71,526,-1041,-1635,-1090,-1735
"68","61","  Trucks","B709RX0",3860,1295,3069,-3161,10238,7052,-10105,5779,9215,5360,-1423,-4681,-3222,-13569
"69","62","    New trucks","W244RX0",4222,-821,4198,-2996,10017,5293,-12641,6194,9029,4843,39,-2700,-2949,-12994
"70","63","      Domestic","AB73RX0",4766,-1033,3543,-2924,9624,4288,-12177,4651,8983,4901,-605,-3487,-2171,-14104
"71","64","      Foreign","AB74RX0",-328,139,559,-102,458,920,-543,1463,55,-61,644,772,-758,1007
"72","65","    Used \1\","W245RX0",128,1471,-577,-311,738,1747,1479,-188,208,497,-1463,-1975,-274,-508
"73",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","66","  Final sales of motor vehicles to domestic purchasers","AB75RX0",329753,344959,368998,405257,448484,454541,460527,477185,483524,505994,524659,528299,511347,415277
"75","67","  Private fixed investment in new autos and new light trucks","AB76RX0",108211,124496,137077,146893,164997,165554,156477,154949,149083,162271,176550,190262,191494,153183
"76","68","  Domestic output of new autos \2\","B148RX0",110526,107521,106774,107159,111547,113599,105565,109733,97056,97110,107790,108277,104781,99935
"77","69","  Sales of imported new autos \3\","B149RX0",54293,52813,57429,64567,75001,79957,78283,84440,82661,85204,86357,95323,99125,88781
"78","70","    Imports from Canada","GAP900",16763,16022,17580,21567,22630,19685,14698,19049,19669,20222,15972,14651,17074,14375
"79","71","      Sales","GAP1090",16357,16518,17536,21299,22631,19603,15572,18105,19849,20284,16044,14491,17459,13879
"80","72","      Inventory change","GAP1110",405,-496,45,268,-1,82,-874,944,-180,-62,-72,161,-386,495
"81","73","    Imports from Mexico","GAP1270",4283,4473,4063,5247,6596,9605,9448,10775,8091,8609,12049,18156,16587,16778
"82","74","      Sales","GAP1300",4202,4656,4043,5213,6598,9545,10014,10195,8161,8641,12096,17950,16970,15977
"83","75","      Inventory change","GAP1320",81,-182,20,34,-2,60,-566,580,-71,-33,-48,206,-383,801
"84","76","  Exports of used autos","GAP990",1391,1502,1411,1161,865,683,664,722,992,2121,3374,4344,6773,10172
"85","77","  Imports of used autos","GAP1020",92,72,108,326,606,904,873,1003,550,350,287,237,307,373
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","  This table is based on annual and quarterly data published in NIPA table 7.2.6B with underlying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","detail added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","  Chain-type quantity indexes for the series in this table are shown in table NIPA table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
