"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"11","3","Manufacturing industries","I300",8391,6781,7520,8119,5866,6958,11213,16023,14956,1521,-4234,-12610,-9615,-13976,-8878,-9196,-8245,6006,11459,11072,17420,5739,-5792,-13510,-13486,-2263,-5484,-10466,-19299,-29315,-27447,-23833,-25012,-12851,-12802,-19740,-18990,-28283,-23069,-6689,-18932,-20674,-17222,-34267,-36784,-70254,-39108,78660,40592,18784,-1772
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","I30D0",1913,4049,6749,8362,2371,4041,8229,11877,7204,693,-388,-4920,1412,-5874,-4344,-5845,-4016,3954,5489,6068,10231,3423,180,-5365,-1484,2653,-1120,-4310,-9144,-15893,-18850,-15307,-12219,-3405,-1256,-6060,-10229,-19625,-18153,-6946,-9110,-11358,-4034,-8883,-15694,-31422,-14171,23713,26576,15716,-4780
"14","5","      Wood product manufacturing","I3210",-297,-300,-245,-177,476,518,190,-200,-109,-149,169,205,131,502,91,-259,151,157,118,251,-488,256,626,2,-97,3,-377,-453,-1345,-642,-86,124,-1042,124,397,-159,-50,-356,-140,334,-725,-213,-482,-599,369,-445,-798,-167,360,312,48
"15","6","      Nonmetallic mineral product manufacturing","I3270",175,-167,-173,64,46,-176,-69,-96,-79,-77,-228,-268,-319,-172,-503,-542,-664,-71,40,139,194,19,86,-501,-519,-352,-282,553,366,-137,-696,-549,-860,-625,-367,-296,-594,-690,-566,-399,-238,-388,-343,-1132,-182,-693,-397,397,-192,-8,396
"16","7","      Primary metal manufacturing","I3310",-1920,954,839,398,1853,1294,1923,2174,2015,639,-452,-1166,-1709,-976,-132,963,-72,809,943,695,739,535,-499,-806,-792,127,-236,-1671,-2383,-3111,-3355,-4801,-2730,-327,170,-1096,-2951,-5360,-3395,-2194,-2533,-4667,-1353,-1423,-2374,-7380,-3341,9205,7680,2808,-1928
"17","8","      Fabricated metal product manufacturing","I3320",-44,230,47,-185,62,-43,444,1209,1334,400,-379,-816,-1224,-692,-620,498,398,1233,566,762,583,73,-510,-645,-1610,-724,-503,1352,-1293,-3678,-5837,-4994,-2472,-18,787,-1945,-2498,-3783,-3307,-860,-3343,-2852,-575,-922,-3818,-8550,-3893,7401,9268,4744,-304
"18","9","      Machinery manufacturing","I3330",1108,-1347,-481,873,-970,-724,55,1157,-324,-305,258,-565,581,-861,-563,-1289,-1472,528,845,1046,2274,992,-427,-1250,-414,88,-548,-1787,-1867,-2585,-2972,-2552,-2190,-1529,-1064,907,-2190,-2390,-2388,-837,-2784,-2308,-1354,-174,-3193,-6005,-3252,4025,2488,2828,-760
"19","10","      Computer and electronic product manufacturing","I3340",4146,5313,6210,4999,2995,2686,3937,4257,3758,917,208,-122,4715,-965,1056,-2890,-3132,628,3126,2570,2151,1925,1322,934,4598,3886,1346,-709,730,-337,158,870,1226,709,431,-911,-971,-1034,-799,356,1349,2709,1885,-205,1378,-495,-14,607,2284,2036,1168
"20","11","      Electrical equipment, appliance, and component manufacturing","I3350",-748,-143,171,680,622,659,367,44,272,-121,-218,-76,-43,-569,343,-440,-396,-235,221,606,173,-10,146,295,-131,-29,96,-244,-893,-809,-955,-868,-702,-323,-241,-910,-1091,-1866,-1126,-153,149,-1261,-369,-562,-1546,-1430,-127,1816,1796,496,-508
"21","12","      Transportation equipment manufacturing","I3360",-750,-302,356,2018,-2794,-351,1041,2787,424,-142,623,-2160,270,-2220,-3907,-2155,1699,1286,-797,-941,3972,-952,-876,-3305,-415,27,-60,-1849,-1162,-2905,-3797,-1946,-2043,-305,-793,-1823,1435,-2733,-5502,-2795,584,-1362,-678,-4101,-5567,-4790,-627,-546,188,1196,-2992
"22","13","        Motor vehicle and parts manufacturing","I336MV0",652,-128,-257,951,-419,479,675,-193,-545,-47,1117,200,-1201,-340,-505,374,-591,460,-138,634,1237,-174,173,-988,-120,136,279,-359,-2207,-2087,-411,571,-2166,-811,203,282,11,-1123,-2230,-2,-766,-421,263,-1228,-1281,-3391,-1589,1737,1480,1052,-500
"23","14","        Other transportation equipment manufacturing","I336OT0",-1402,-174,614,1067,-2375,-831,366,2980,969,-95,-494,-2360,1471,-1880,-3402,-2529,2289,827,-658,-1574,2735,-778,-1049,-2317,-295,-109,-338,-1490,1045,-818,-3386,-2517,124,506,-996,-2105,1424,-1610,-3272,-2794,1350,-942,-941,-2874,-4286,-1399,961,-2283,-1292,144,-2492
"24","15","      Furniture and related product manufacturing","I3370",-64,-137,32,65,-133,52,19,182,-98,-169,-146,172,-212,-207,129,256,-239,-490,246,763,400,320,-1,-329,-1065,-581,-457,547,-424,-703,-193,-7,-358,-125,-101,-140,-394,-177,41,114,-420,-242,-142,-9,-447,-725,-243,379,652,244,-72
"25","16","      Miscellaneous durable goods manufacturing","I3390",307,-51,-7,-373,215,127,322,365,11,-301,-222,-124,-777,285,-237,13,-288,108,180,176,233,265,312,241,-1039,208,-100,-50,-873,-986,-1116,-585,-1048,-987,-474,313,-924,-1236,-973,-511,-1149,-774,-621,245,-314,-909,-1478,598,2052,1060,172
"26","17","    Nondurable goods industries","I30N0",6477,2731,772,-243,3495,2917,2984,4146,7752,828,-3846,-7690,-11027,-8102,-4534,-3352,-4229,2052,5970,5004,7189,2316,-5972,-8144,-12001,-4916,-4363,-6156,-10155,-13422,-8597,-8526,-12793,-9446,-11545,-13680,-8761,-8658,-4916,257,-9822,-9316,-13189,-25384,-21090,-38832,-24936,54946,14016,3068,3008
"27","18","      Food manufacturing","I3110",379,392,450,-633,924,124,54,502,1288,319,-738,-483,-1487,-1198,688,-983,-2070,-659,253,632,-816,856,-1639,376,-2617,-2383,-3075,-2004,-3280,-4080,3351,-1184,-470,342,118,-597,878,-313,-3178,-3843,-5881,-4649,-4240,-6365,-6466,-2647,979,7429,5388,-684,2408
"28","19","      Beverage and tobacco product manufacturing","I3120",559,-84,-565,-654,-256,5,-159,-145,290,296,-136,-670,-377,-308,-150,23,-18,31,198,70,-777,-72,122,326,51,-206,-230,133,-854,-889,-693,-28,1241,1143,1092,921,282,73,-409,-618,-875,-752,-436,-264,-171,-142,-111,-48,316,284,152
"29","20","      Textile mills","I3130",115,-2,69,53,-145,-67,74,231,784,254,27,-214,-214,-85,20,62,-628,590,775,895,406,246,-79,-165,-242,48,-62,77,139,-165,154,84,-54,12,-219,-299,-287,-42,7,128,-9,20,-89,-281,120,-209,-126,179,392,60,-8
"30","21","      Textile product mills","I3140",24,65,12,-5,9,99,123,86,343,135,88,10,-184,-199,-25,176,173,362,267,102,-43,-131,8,94,62,126,75,41,41,-167,-29,-16,-265,-26,-38,101,-224,-103,50,162,3,-48,-96,-62,71,-94,-214,113,196,32,28
"31","22","      Apparel manufacturing","I3150",133,37,38,-57,2,203,212,191,1205,365,-273,-201,-47,-65,-16,12,-674,83,609,491,193,-50,-145,-119,102,-71,-255,468,-74,-118,-203,-106,-410,-226,232,243,-353,-307,103,181,109,1,-39,-104,21,-107,-146,-112,-144,-156,-116
"32","23","      Leather and allied product manufacturing","I3160",-131,32,70,44,72,12,1,162,69,4,-51,-42,-139,23,-44,-76,-139,-27,45,109,-143,-28,-69,96,-76,14,-47,-22,7,-26,44,-74,29,-56,-24,62,60,-69,-12,-55,-101,-2,-29,17,-27,3,-17,-17,-4,68,20
"33","24","      Paper manufacturing","I3220",1623,26,5,-14,-935,-232,93,444,1097,869,597,-299,-1362,-1223,-577,-22,-260,408,632,-98,1360,1295,541,-172,-261,-560,-235,-128,269,-821,-1003,-1125,-1607,-1043,-122,757,-1289,-746,-249,96,-351,237,-415,-1239,-1365,-1883,-919,1009,944,1884,1416
"34","25","      Printing and related support activities","I3230",1116,-452,-363,-313,-391,-142,-193,22,917,660,248,-56,-753,-552,-340,112,-467,-125,409,578,1580,512,-200,-442,-365,-304,-17,142,36,-275,-194,-527,-364,-328,-429,17,-639,-273,-63,158,783,661,-24,-210,468,-868,-1110,-633,404,1224,1100
"35","26","      Petroleum and coal product manufacturing","I3240",1654,2061,1022,1142,4316,2143,1078,213,-177,-2255,-2416,-3860,-3148,-861,-1157,-954,906,685,822,1778,30,-1403,-2320,-4920,-3850,1147,-1150,-4055,-2728,-2752,-4684,-1451,-7959,-6656,-8817,-3540,-2696,-4024,1922,1346,-253,-1484,-4370,-10979,-4430,-20354,-15174,37549,796,-2316,-2112
"36","27","      Chemical manufacturing","I3250",847,752,-144,-124,-596,119,1060,2111,1031,219,-491,-1099,-1962,-2115,-2514,-1922,-1069,208,612,-87,1744,480,-463,-635,-3445,-1970,313,-373,-3147,-2878,-3754,-2165,-800,-1613,-2717,-9233,-3739,-3514,-1595,1706,-3527,-2612,-2918,-5085,-7877,-10239,-5818,6758,3280,1624,476
"37","28","      Plastics and rubber product manufacturing","I3260",158,-95,176,318,495,653,641,331,903,-38,-702,-775,-1354,-1520,-420,219,17,495,1348,535,3655,611,-1728,-2583,-1360,-758,320,-435,-563,-1253,-1587,-1934,-2131,-995,-622,-2112,-754,659,-1492,997,280,-688,-532,-812,-1434,-2291,-2282,2719,2448,1048,-356
"38",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","    Materials and supplies","I30M0",3406,1954,2325,3820,-1169,1557,5556,10288,9145,3908,-1963,-8642,-1082,-4236,-4229,-3014,-1715,207,4646,6336,5909,1888,-3150,-3886,-3605,-1054,-2285,-6349,-8682,-10470,-10658,-11303,-8590,-3419,-5479,-11141,-6400,-10631,-7662,-3497,-7447,-9942,-6582,-7984,-21466,-29139,-15835,30381,19456,9028,-380
"40","30","      Durable goods industries","I30DM0",1122,1525,1942,2947,-1386,657,4025,7553,4714,2474,-411,-4316,2776,-1286,-3076,-1756,-243,-57,2855,3910,1730,354,-175,-264,586,901,-116,-3444,-4013,-6139,-7560,-7748,-5253,-1227,-803,-3680,-2762,-7853,-7381,-2641,-2988,-5730,-1326,-2862,-11106,-15134,-6499,12740,13688,7348,-2044
"41","31","      Nondurable goods industries","I30NM0",2284,429,382,873,217,900,1532,2735,4431,1434,-1552,-4326,-3858,-2950,-1153,-1258,-1472,264,1790,2426,4179,1534,-2975,-3622,-4191,-1955,-2169,-2906,-4669,-4330,-3098,-3555,-3337,-2191,-4675,-7461,-3638,-2778,-282,-857,-4459,-4212,-5256,-5123,-10360,-14006,-9336,17641,5768,1680,1664
"42","32","    Work-in-process","I30W0",3281,2999,1454,2787,2328,2207,3133,4580,1475,-1151,-90,-1001,-1042,-4851,-1830,-3930,1949,3400,461,-874,3861,-638,-720,-1744,-4008,1138,-1739,939,-4558,-6377,-7176,-5222,-4022,-1822,-4073,-5899,-2166,-8820,-9129,-2486,-1795,-3317,-3848,-11480,-8697,-16755,-7649,18602,7052,4176,-2448
"43","33","      Durable goods industries","I30DW0",2455,2325,1427,2932,1449,1907,2168,3618,1751,-514,25,-915,-218,-3716,-648,-2796,1216,2198,174,-499,5903,785,-710,-3618,-1225,1180,-1123,633,-2702,-4735,-5380,-3972,-1938,308,-1443,-3175,-2561,-5994,-5258,-3879,-1736,-2795,-1435,-2679,-6251,-7939,-1167,4348,5912,4256,-2248
"44","34","      Nondurable goods industries","I30NW0",826,674,27,-145,879,301,965,962,-276,-637,-115,-86,-824,-1135,-1182,-1134,733,1202,287,-375,-2042,-1423,-10,1874,-2783,-42,-616,306,-1857,-1642,-1795,-1250,-2084,-2130,-2630,-2724,395,-2826,-3871,1393,-59,-523,-2413,-8801,-2446,-8816,-6482,14254,1140,-80,-200
"45","35","    Finished goods","I30F0",1704,1827,3742,1513,4707,3194,2524,1155,4336,-1237,-2181,-2967,-7492,-4889,-2819,-2252,-8479,2399,6353,5610,7650,4489,-1922,-7880,-5872,-2347,-1460,-5056,-6059,-12468,-9613,-7309,-12400,-7610,-3250,-2700,-10425,-8832,-6278,-706,-9691,-7415,-6792,-14803,-6621,-24359,-15623,29677,14084,5580,1056
"46","36","      Durable goods industries","I30DF0",-1663,199,3379,2483,2309,1478,2037,705,740,-1267,-2,311,-1147,-872,-619,-1293,-4989,1812,2460,2657,2598,2284,1065,-1484,-845,572,118,-1500,-2429,-5019,-5909,-3588,-5028,-2485,990,796,-4905,-5778,-5515,-426,-4386,-2834,-1272,-3342,1663,-8349,-6505,6626,6976,4112,-488
"47","37","      Nondurable goods industries","I30NF0",3367,1628,363,-971,2399,1717,487,449,3596,30,-2179,-3278,-6345,-4017,-2199,-959,-3490,586,3893,2953,5052,2205,-2987,-6396,-5027,-2919,-1578,-3556,-3629,-7449,-3704,-3722,-7372,-5125,-4240,-3496,-5519,-3054,-764,-280,-5305,-4581,-5520,-11461,-8284,-16011,-9118,23051,7108,1468,1544
"48","38","Wholesale trade industries","IWT0",5099,8961,7815,4057,10106,12576,10024,302,7842,2511,-3104,-9168,-16002,-4989,-245,2411,-6619,-2274,4565,21950,13639,2601,-15417,-15297,-11358,1769,-492,-15654,-14504,-15045,-10029,-16814,-9875,-7067,-7889,-20233,-11871,-16915,-22065,-23523,-17661,-4988,-6938,-38004,-49479,-44512,-9500,52433,33636,-936,-10348
"49",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Durable goods industries","IWTD0",5773,3757,6083,5333,5864,9609,8216,676,8116,4105,-1561,-4608,-6610,-1727,2162,6587,-3694,-985,3083,14003,11709,4649,-3339,-8522,-571,4487,2641,-9919,-9362,-10880,-7543,-7803,-4060,-290,3044,-13793,-8081,-9925,-14046,-7034,-3258,-1304,-3170,-5427,-12048,-22555,-11183,22970,12964,4692,-4020
"51","40","    Nondurable goods industries","IWTN0",-675,5203,1732,-1277,4242,2967,1808,-373,-274,-1593,-1544,-4560,-9392,-3261,-2406,-4176,-2925,-1289,1482,7947,1930,-2048,-12079,-6775,-10788,-2717,-3133,-5735,-5142,-4165,-2486,-9010,-5815,-6777,-10933,-6439,-3790,-6989,-8019,-16489,-14403,-3684,-3768,-32577,-37431,-21956,1683,29463,20672,-5628,-6328
"52",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Merchant wholesale industries","I42W0",3287,7369,6603,3341,8222,12032,8936,-1226,7034,2347,-2184,-8036,-12258,-5041,1479,3075,-5907,-2226,3537,20274,10711,2177,-13225,-9153,-9738,2621,-1380,-11574,-9640,-8653,-6549,-14650,-3555,-2759,-5945,-18369,-6047,-10455,-15073,-17859,-16001,-4836,-6966,-35144,-47707,-35396,-2736,44229,28928,-2876,-10496
"54","42","      Durable goods industries","I42WD0",4429,2477,4807,4521,4812,9517,7488,-404,7504,3569,-1297,-4404,-4670,-2651,2826,6031,-3542,-1045,2899,13623,10081,4085,-3663,-7130,-1075,3811,1293,-7611,-6290,-7396,-6419,-7891,-1456,926,2324,-14393,-5829,-7097,-11218,-5382,-1838,-592,-3098,-5123,-12716,-17771,-7739,19478,10768,2948,-3724
"55","43","        Motor vehicles, parts, and supplies wholesalers","I42110",-550,346,1281,1799,-423,3269,862,-3965,154,-170,-103,-733,-86,-645,-407,-122,-952,132,-1836,3892,2917,1601,-1204,-1514,-812,3187,1341,-3932,-3437,-983,411,3564,1007,384,692,-1143,580,1586,-3013,43,4133,2304,-3233,-4039,-776,-393,-185,90,-32,-520,-620
"56","44","        Furniture and home furnishings wholesalers","I42120",69,103,5,-1,-210,65,-185,98,352,109,-164,-424,-454,-234,49,311,-59,12,56,-5,211,233,-265,-442,-226,-123,-35,101,-188,-174,-174,96,-140,-215,-149,-263,-40,109,-183,-554,-397,-206,-54,73,-815,-544,-42,374,-144,-56,20
"57","45","        Lumber and other construction materials wholesalers","I42130",-371,-922,67,1002,25,285,330,387,-607,-648,-621,372,-552,199,869,436,622,-905,-399,581,347,-159,-84,-122,559,363,-609,-1240,-1311,-1733,-629,373,499,444,662,-2853,-1884,-752,900,1310,-314,586,-316,-19,-150,-667,-1179,75,664,616,-24
"58","46","        Professional and commercial equipment wholesalers","I42140",4245,2416,3117,1526,2553,3365,4231,4895,4919,2851,1487,311,467,664,1717,2443,1694,545,2826,3730,0,459,1636,1902,-325,-14,888,2399,1246,824,591,-413,1267,1117,1110,1027,1663,1286,735,187,68,947,1479,1775,-3271,-817,2077,4126,924,628,424
"59","47","          Computers and software wholesalers","I421430",2985,2926,2985,2804,2156,3583,4610,4820,4854,2983,1646,405,2407,1547,920,987,2374,943,2699,3240,-161,271,1945,2753,611,574,1072,1503,1336,1025,765,95,2075,1540,940,529,1808,1448,1004,412,837,1111,1248,1008,-1463,-111,1675,3127,1076,936,564
"60","48","          Other professional and commercial equipment wholesalers","I4214X0",1260,-509,132,-1278,397,-218,-379,75,65,-132,-159,-93,-1939,-883,797,1457,-680,-398,127,490,161,188,-309,-851,-937,-588,-184,897,-90,-201,-173,-508,-808,-423,170,498,-145,-162,-269,-224,-769,-165,230,767,-1807,-706,402,999,-152,-308,-140
"61","49","        Metal and mineral (except petroleum) wholesalers","I42150",-566,16,315,311,621,582,646,720,1738,1149,-67,-2260,-1219,-1035,-513,1319,465,489,412,386,1219,-202,-1216,-1288,-113,140,-96,-1865,-2819,-4830,-3389,-3738,-2708,1057,2288,-3409,-1005,-2218,-3232,-3165,-104,-2003,387,865,-1440,-7654,-4605,10730,9684,3256,-1476
"62","50","        Electrical goods wholesalers","I42160",-582,-100,428,2218,-123,208,809,486,1522,812,-49,-960,1548,825,-86,-1323,-1691,136,1482,2095,2513,876,-186,-1520,1658,1144,-23,-1824,-633,-40,982,408,-95,356,43,-691,-323,-1002,-598,-346,-1193,1241,653,-1161,-2058,-926,407,1121,152,-56,172
"63","51","        Hardware and plumbing and heating equipment wholesalers","I42170",111,19,-98,-265,-428,-231,-32,666,49,-13,-242,-285,-544,-209,61,232,-58,-149,-243,-362,147,98,-195,-442,-464,-284,-42,422,174,-185,-587,-970,392,-281,-540,-1482,-1322,-691,-113,594,-327,-427,-188,-270,-1013,-746,-349,123,-196,160,112
"64","52","        Machinery, equipment, and supplies wholesalers","I42180",2002,1107,-481,-2256,1229,754,10,-3693,-1366,-790,-435,1778,-1856,-1002,292,1266,-4046,-1497,629,3341,2185,1336,-1301,-2892,-1875,-1005,-56,1256,1764,-465,-2377,-4682,-1587,-2597,-2205,-2007,-4288,-3304,-1954,-998,-1082,-1317,-1071,-1203,-931,-2209,-3513,-4371,-2180,-168,736
"65","53","        Miscellaneous durable goods wholesalers","I42190",72,-507,172,187,1567,1218,817,2,745,270,-1103,-2203,-1975,-1215,844,1469,483,191,-30,-36,543,-157,-847,-810,525,402,-75,-2928,-1086,190,-1248,-2528,-90,661,423,-3570,789,-2113,-3759,-2454,-2621,-1718,-755,-1143,-2262,-3817,-350,7210,1896,-912,-3068
"66","54","      Nondurable goods industries","I42WN0",-1143,4891,1796,-1181,3410,2515,1448,-821,-470,-1221,-888,-3632,-7588,-2389,-1346,-2956,-2365,-1181,638,6651,630,-1908,-9563,-2023,-8664,-1189,-2673,-3963,-3350,-1257,-130,-6758,-2099,-3685,-8269,-3975,-218,-3357,-3855,-12477,-14163,-4244,-3868,-30021,-34991,-17624,5003,24751,18160,-5824,-6772
"67","55","        Paper and paper products wholesalers","I42210",104,24,-157,85,-76,280,122,34,-99,-374,-325,41,-872,-851,-101,116,72,305,348,67,263,217,-134,-74,13,513,30,-588,817,-166,-990,-733,-390,-183,236,-288,606,-417,-1112,-865,-462,-453,-439,-214,-702,-464,-658,96,488,764,468
"68","56","        Drugs and druggists' sundries wholesalers","I42220",81,394,-68,-667,-2655,-1814,-189,201,-1466,-952,395,1555,800,719,-1112,-1026,51,-76,-68,465,3410,1821,-1722,-4542,-4226,-2036,650,3986,-3620,-963,250,3149,1521,63,-1488,-1868,-739,-398,-194,247,1709,1064,-940,-2672,-3229,-1453,313,1868,-428,-416,-440
"69","57","        Apparel, piece goods, and notions wholesalers","I42230",-432,-246,18,225,729,185,-280,-666,1371,-165,-321,-633,-1227,-251,570,968,-143,-2192,-330,2477,669,171,-138,-67,263,-189,105,-483,-143,282,396,-676,-130,-1017,266,1025,1235,219,-688,-789,-1601,-643,184,1583,-346,-240,1,101,-156,40,88
"70","58","        Grocery and related products wholesalers","I42240",278,367,-23,-6,-921,-161,-228,698,-537,-754,279,877,-284,-133,132,-179,-611,-334,-173,-101,-219,1890,-82,-457,-887,-632,-1277,-1605,73,-1785,-285,-1071,-198,190,283,-1672,1142,120,-1992,-106,-3291,-207,-494,-1596,-320,-661,-1502,-589,1972,536,168
"71","59","        Farm product raw material wholesalers","I42250",272,931,1478,-32,4416,2900,1173,-1997,1331,1523,1204,458,-1642,195,1057,-2098,316,519,-967,652,-2208,-2980,-5208,3804,593,-561,-346,-3610,-814,2602,4383,-247,-254,-65,828,491,714,-133,-2310,-9503,-9492,-344,-355,-12897,-19533,-6627,5437,6487,6348,-384,-144
"72","60","        Chemical and allied products wholesalers","I42260",112,87,-57,-14,358,231,90,-83,581,510,-158,-1193,-581,-401,-210,100,-305,168,565,343,583,-351,-316,-461,-982,-251,106,-94,151,67,-1219,-2106,-1286,-961,-521,-308,-1321,-437,-76,255,33,-661,-483,-1112,-2030,-2075,-1371,2785,3044,156,-812
"73","61","        Petroleum amd petroleum products wholesalers","I42270",1206,1428,-363,169,1430,1081,1253,764,-1478,-2929,-1662,-115,-2542,-436,-1016,-842,2002,732,1037,2197,-2115,-1676,-1055,-226,-2801,2587,-1713,-2004,-152,79,-2215,-4619,-2932,-1418,-6412,1641,-1260,-2244,2403,-819,951,-1000,-518,-11757,-4183,-1850,5829,11860,4132,-6876,-7116
"74","62","        Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-106,305,208,-612,-468,-403,-365,756,-80,-22,-92,-13,-228,-330,-195,-46,4,-55,-40,-269,-106,-109,-97,-184,-538,-71,-76,504,388,-175,-611,-99,-497,-34,34,37,-88,-35,154,17,-500,-491,-123,397,-129,-113,-40,-287,-332,-112,4
"75","63","        Miscellaneous nondurable goods wholesalers","I42290",-2658,1602,761,-329,596,215,-127,-528,-93,1941,-208,-4609,-1013,-900,-472,52,-3752,-249,267,822,352,-891,-811,182,-101,-550,-152,-70,-50,-1198,161,-357,2066,-261,-1495,-3034,-506,-33,-40,-913,-1511,-1508,-700,-1753,-4520,-4141,-3006,2429,3092,468,1012
