"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"29","22","    Mining","C320RX0",1931,2173,2016,1488,1302,1671,1524,2689,2101,3038,3534,4788,5038,5081
"30","23","  Other structures","W004RX0",59185,69603,78951,83168,83284,85760,81731,68924,66549,67449,63728,69589,80835,89824
"31","24","    Religious","C309RX0",6305,6463,7978,8835,9517,9983,10045,9849,9815,8813,7715,7129,6616,6142
"32","25","    Educational and vocational","W044RX0",9234,11049,13762,14637,13442,15720,16578,16508,16253,14582,13794,13543,14831,15248
"33","26","    Lodging","W045RX0",13153,19731,22613,25145,25965,25410,21663,15347,14130,16044,15692,20111,29945,37942
"34","27","    Amusement and recreation","W046RX0",12734,13559,14492,14113,15049,13232,11309,10607,10711,10940,9010,10308,10759,10716
"35","28","    Transportation","W047RX0",5877,6964,7652,8807,7736,7933,7830,7374,6963,7021,7121,8371,8493,9041
"36","29","      Air","W048RX0",1144,1396,1424,1589,1766,2459,2604,1707,1266,1122,907,817,876,766
"37","30","      Land \3\","W049RX0",4749,5592,6239,7224,6018,5585,5350,5718,5715,5906,6214,7561,7620,8292
"38","31","    Farm","C316RX0",4527,5372,5429,5878,6661,7550,6198,6649,5869,5957,5854,5358,5534,5541
"39","32","    Other \4\","W050RX0",7300,6038,5222,5225,4564,5346,3932,2795,3142,3594,3126,3707,3833,3804
"40","33","    Brokers' commissions on sale of structures","C321RX0",1893,2079,2253,2416,2464,2594,2441,2096,2017,2089,2242,2599,3210,3773
"41","34","    Net purchases of used structures","E322RX0",-1871,-1605,-309,-1824,-1912,-1841,1875,-2300,-2342,-1566,-827,-1533,-2441,-2400
"42","35","Residential","A012RX0",450068,486818,496277,534482,567471,572561,575605,605911,655877,720140,765166,708085,574980,441451
"43","36","  Permanent site","A943RX0",268679,293896,295489,323544,347586,350399,352455,366648,402518,449108,480808,438819,327129,217419
"44","37","    Single-family structures","A944RX0",240190,262402,261560,290125,311507,314980,315436,327656,362590,406099,433510,391116,283891,179740
"45","38","    Multifamily structures","C292RX0",28325,31317,33739,33362,36007,35402,36935,38885,39910,43008,47298,47608,42776,36426
"46","39","  Other structures","A863RX0",180886,192642,200182,210640,219793,222055,223051,238979,253233,271019,284358,269320,248396,224742
"47","40","    Manufactured homes","A945RX0",16013,17693,18296,19137,18140,13719,10959,11473,9369,9098,10110,8002,6562,5372
"48","41","    Dormitories","C295RX0",768,883,1181,1393,1777,1807,1973,1886,2059,1803,1537,1944,2705,3633
"49","42","    Improvements","A946RX0",119123,124264,126550,128048,133379,137804,140841,150033,156966,160039,164434,163653,158173,151354
"50","43","    Brokers' commissions on sale of structures","A758RX0",47106,52526,57777,66533,71305,70833,71914,79965,89323,102670,109855,98321,84082,67947
"51","44","    Net purchases of used structures","A759RX0",-1919,-2637,-3599,-4487,-4727,-1743,-2285,-4146,-4422,-2605,-1578,-2697,-3506,-4548
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RX0",744450,795392,824285,875621,905102,938343,930649,885077,913393,966021,1007228,996446,943230,882076
"54","46","    Nonresidential structures","A771RX0",342180,361040,385922,407209,407729,439370,428774,356868,343408,346230,350339,382973,440652,485479
"55","47","    Residential structures","A756RX0",405700,437688,442599,472767,501220,503903,506371,530278,571056,620072,656889,612405,494522,378317
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","constructed by power utilities for their own use. Includes all financial buildings.  Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","industries.  Consists of auto dealerships, garages, service stations, drug stores,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","restaurants, mobile structures, and other structures used for commercial purposes.  Bus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","NOTE. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
