"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Domestic business","A127RC1",30.3,23.4,32.9,42.2,44.6,29.1,48.7,57.3,72.6,82.8,77.8,50.2,65.2,61.5,95.7,130.3,135.6,98.3,125.1,155.1,121.5,120,138,159.5,169.7,199.4,243.9,272.3,308.2,212.6,260.1,176.3,210,280.6,309.2,390.5,486.4,430.3,270.7,152.5,469.6,651.7,712.9
"12","5","      Undistributed corporate profits","B057RC1",27.2,21.9,29.7,39,55.1,61.8,60.9,75.4,91.3,110.5,124.6,102.3,85.6,54.4,69.9,80.3,60.5,30.1,80.3,118.4,86.4,97.2,106.1,137.7,145.1,170.2,212.1,211.5,225.1,123.1,184.3,129.5,138.5,173.8,234.8,373,670.5,644.7,498.4,264,563.3,671.1,666.5
"13","6","      Inventory valuation adjustment, corporate","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-47.2,-44.5,0.6,-39.1,-60.1
"14","7","      Capital consumption adjustment, corporate","A059RC1",9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-180.5,-67.1,-94.3,19.7,106.6
"15","8","    Households and institutions","W986RC1",52.5,69.4,80.8,77.1,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,332.3,291.8,288.3,302.6,284.8,277.5,340.8,212.9,213.1,204.9,282.2,304.6,303.2,148.2,257.9,242.5,587.3,557.6,592.8,549.8
"16","9","      Personal saving","A071RC1",52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.6,318.2,143.2,256.6,248.7,592.3,552.6,592.8,549.8
"17","10","      Wage accruals less disbursements","B185RC1",0,0,0.4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5,5,0,0
"18","11","  Net government saving","A922RC1",16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-233,-685.7,-1296,-1299,-1248.6
"19","12","    Federal","A923RC1",8.6,-15.5,-28.7,-24.9,-11.8,-14.5,-70.6,-53.7,-46.1,-28.9,-14,-56.6,-56.8,-135.3,-176.2,-171.5,-178.6,-194.6,-149.3,-138.4,-133.9,-176.4,-218.4,-302.5,-280.2,-220.4,-206.2,-148.2,-60.1,33.6,98.8,185.2,40.5,-252.8,-376.4,-379.5,-283,-203.8,-245.2,-613.5,-1217.9,-1273.7,-1183.1
"20","13","    State and local","A924RC1",8,7.1,6.5,15.6,15.7,9.3,2.5,7.4,13.1,18.7,13,8.8,7.6,-2.2,4.9,23.9,22.4,20.7,12,17.2,20.1,6.2,-5.8,-1.4,-0.9,8.2,9.2,23,36.3,46.9,41.8,41.3,-15.9,-54.1,-38.8,-8.4,25.9,51,12.2,-72.2,-78,-25.3,-65.5
"21","14","Consumption of fixed capital","A262RC1",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1854.1,1866.2,1874.9,1950.1
"22","15","  Private","A024RC1",74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1476.2,1542.9,1542.4,1540.9,1597.9
"23","16","    Domestic business","W276RC1",61.9,68.2,74.6,81.2,90.6,106.1,125.8,138.5,155.5,176.4,203.5,235.4,271.2,300.7,311.4,326,348,369.9,390.3,417.6,444.4,469.8,490.6,500.9,521.2,549.4,586,619.2,658.5,702.1,756.8,824.3,876.5,908.5,935.4,978.7,1045.7,1123.3,1190.7,1248.3,1249.9,1245.7,1294.4
"24","17","    Households and institutions","W279RC1",12.6,13.5,14.9,16.5,18.8,21.7,24.7,27.1,30.7,35.5,41,46.9,52.1,55.8,58.1,61.5,64.8,69.2,74.1,79.5,85.2,90.6,94.8,99,105.2,111.5,118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,285.5,294.6,292.5,295.2,303.4
"25","18","  Government","A264RC1",24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,291.3,311.2,323.7,334,352.2
"26","19","    Federal","A918RC1",15.4,16.1,16.5,16.6,17,18.2,19.7,21.4,23,25,27,30,33.8,37.6,40.7,44.5,48,51.6,55.2,59.1,63.3,67.7,72,74.6,77.8,80.1,81.7,81.9,82.5,82.8,85,87.8,88.6,89.2,90.8,94.8,100.4,106.6,112.6,120,124.7,130,137.9
"27","20","    State and local","A919RC1",9.3,10.6,11.8,12.8,14.3,17.7,20.2,21.3,22.6,24.5,27.5,31.8,36.3,39.5,40.9,42.3,44.6,47.8,51.4,54.8,58.5,63,66.9,69.9,73.8,78.1,83.1,87.2,91.6,96.2,102.1,109.7,116,121.8,127.3,137.1,150.1,162.7,178.7,191.2,199,204,214.3
"28","21","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",201.3,199.7,220.2,246.2,300.2,311.6,313.2,365.4,417.9,502.4,580.2,588,682.6,626.2,652.1,784.9,780.7,777.1,815.1,892,980.3,1001.8,1031,1042.3,1094.2,1203.5,1271.6,1370.3,1511.7,1569.1,1637,1666.2,1592.3,1538.9,1569.3,1716.3,1823.8,1953.8,2035.7,1905.8,1674.8,1821.3,1916.4
"29","22","Gross domestic investment","W170RC1",199.7,196,219.9,250.2,291.3,305.7,293.3,358.4,428.8,515,581.4,579.5,679.3,629.5,687.2,875,895,919.7,969.2,1007.7,1072.6,1076.7,1023.2,1087.9,1172.8,1318.2,1376.6,1484.4,1641,1773.6,1928.9,2076.5,1984,1990.4,2085.4,2340.9,2564.3,2752.2,2751.7,2584.8,2052.2,2300.4,2399.5
"30","23","  Gross private domestic investment","A006RC1",156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.3,1097.3,1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.3,2327.1,2295.2,2087.6,1546.8,1795.1,1916.2
"31","24","    Domestic business","W987RC1",119.5,116.7,131.6,149.8,180.3,191,170.4,213.8,258.4,318.6,370.1,369.7,462.5,414.1,420.8,567.6,562.8,545.7,565.6,590.2,641.6,638.8,590.9,620.7,685.6,795.3,849.3,912.2,1036.4,1113.4,1209.9,1313.7,1176.2,1125,1142.9,1278.2,1391.3,1549.5,1633.3,1558.4,1127.2,1388.6,1509.2
"32","25","    Households and institutions","W988RC1",36.9,35.7,46.6,57.8,64.2,58.5,59.9,78.2,103,119.4,122.8,109.6,109.9,103.1,143.5,168.1,173.4,200.8,219.4,231.4,233.3,222.2,212,244.1,267.7,302,294.7,328,352.3,397.4,431.6,458.5,485.7,522,586.7,690.4,781,777.7,661.9,529.2,419.6,406.5,407
"33","26","  Gross government investment","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,505.4,505.3,483.3
"34","27","    Federal","A787RC1",15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.8,77.9,78.6,80.4,73.4,76.4,81.6,80.1,81.5,90.1,96.2,103.3,110.5,120.7,127.4,148.4,156.1,168.8,160.8
"35","28","    State and local","A799RC1",28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,329,348.8,349.3,336.5,322.5
"36","29","Capital account transactions (net) \1\","W167RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,-1.3,0.9,1.3,0.4,0.2,0.5,0.2,4.5,0.3,-12.9,0.5,2.1,-2.8,-12.9,2.1,-0.1,-5.4,0.6,0.7,1.3
"37","30","  Private","W999RC1",3.5,3.8,4.5,5.7,7.9,9.9,4.7,7.7,9,6,8.4,10.8,12.6,11.5,10.9,9.7,7,9.3,6.8,6.9,8.2,10.8,9.6,8.2,11.6,13.9,20.6,20.9,28.8,30.6,28.4,27.3,14.7,17.5,1.7,-5.5,-32.6,19,-10,-71,-143.5,-85.3,-84.4
"38","31","    Domestic business","W989RC1",-0.4,-0.1,-0.1,0.1,2.6,5,-0.3,1.8,0.9,0.1,2.2,3.4,4.9,3.1,4.6,3.5,0.6,2.2,-0.5,-0.8,1.3,-0.7,-0.6,6.8,-0.7,3,6.5,2.4,6.7,4.1,-1.2,-1.6,-7.8,-3.2,-2.9,1.8,-1.5,12.5,-1.7,-51.2,-85.7,-31.4,-43
"39","32","    Households and institutions","W990RC1",3.9,3.9,4.5,5.5,5.3,4.9,5,5.9,8.1,6,6.2,7.4,7.7,8.3,6.3,6.2,6.4,7.1,7.3,7.7,7,11.5,10.2,1.4,12.3,10.9,14.1,18.5,22.1,26.5,29.7,28.8,22.5,20.7,4.7,-7.4,-31.2,6.5,-8.3,-19.8,-57.8,-53.9,-41.4
"40","33","  Government","W991RC1",-3.5,-3.8,-4.4,-5.6,-7.9,-9.8,-4.6,-7.6,-8.9,-5.9,-8.3,-10.6,-12.5,-11.4,-10.8,-9.6,-6.9,-9.2,-6.7,-6.8,-7.9,-3.4,-4.3,-9.5,-10.7,-12.6,-20.2,-20.7,-28.3,-30.4,-24,-26.9,-27.7,-17,0.4,2.8,19.8,-17,10,65.6,144.1,86,85.7
"41","34","    Federal","W992RC1",2.4,1.3,0.9,0,-2.3,-2.5,4.4,2.7,2.6,6.2,6.2,6.2,3.4,3.5,4.9,7.9,12,10.1,11.5,12,10.6,15.9,15.7,11.6,11.6,11.1,5.6,7.2,1.1,-2.1,7.2,8.2,13.4,24.2,40.4,38.9,59.3,29.3,55,114.3,197,149.8,146.2
"42","35","    State and local","W993RC1",-5.9,-5.1,-5.4,-5.6,-5.6,-7.3,-9,-10.3,-11.5,-12.1,-14.5,-16.8,-15.8,-14.9,-15.7,-17.5,-18.9,-19.3,-18.2,-18.8,-18.5,-19.3,-20,-21,-22.3,-23.7,-25.8,-27.8,-29.4,-28.3,-31.2,-35.2,-41.1,-41.2,-40,-36.2,-39.5,-46.3,-45.1,-48.7,-52.9,-63.8,-60.6
"43","36","Net lending or net borrowing (-), NIPAs","W162RC1",1.6,3.7,0.3,-4.1,8.8,5.9,19.8,7,-11,-12.7,-1.3,8.4,3.2,-3.4,-35.2,-90.2,-114.5,-142.8,-154.2,-115.9,-92.7,-82.3,2.6,-44.3,-79.4,-116,-105.5,-114.4,-129.8,-204.8,-296.4,-410.7,-378.7,-452.1,-518.2,-621.8,-727.7,-800.5,-715.9,-673.6,-378,-479.9,-484.4
"44","37","  Private","W994RC1",0.2,25.3,31.6,12.8,12.6,21.7,106.5,69.5,35,19.2,25.4,84,76.8,157.9,166.6,100.2,101.1,95.7,54.1,70.8,89,169.5,303.9,328.8,258.8,146.3,139,65.3,-56,-231.8,-360.8,-557.3,-313.6,-29.7,35,-90.7,-309.4,-508.9,-307.8,263.7,1243.7,1076.4,980.9
"45","38","    Domestic business","W995RC1",-24.1,-18.1,-13,-17.6,-39.7,-50.9,20.7,3.7,-9.9,-33.4,-44,-42.2,-94.4,-50.3,31.4,-83.3,-37.5,-12,-16.7,-26.3,-20.9,35.9,118,143,141.8,59.3,26.5,2.8,-90.3,-288.2,-262.8,-445.6,-185.3,45.3,121.3,66.8,47.2,-250.7,-182.2,-108.8,755.4,541,493.3
"46","39","    Households and institutions","W996RC1",24.2,43.4,44.6,30.3,52.3,72.6,85.8,65.8,44.9,52.6,69.4,126.3,171.2,208.2,135.2,183.5,138.6,107.7,70.9,97.1,109.9,133.7,185.9,185.8,117.1,86.9,112.5,62.5,34.3,56.4,-98,-111.7,-128.2,-75,-86.2,-157.6,-356.6,-258.2,-125.7,372.6,488.3,535.4,487.6
"47","40","  Government","AD01RC1",1.4,-21.5,-31.3,-16.8,-3.8,-15.7,-86.7,-62.5,-46,-31.9,-26.7,-75.7,-73.5,-161.3,-201.8,-190.4,-215.5,-238.5,-208.4,-186.7,-181.7,-251.8,-301.3,-373.1,-338.3,-262.3,-244.5,-179.7,-73.8,27,64.4,146.6,-65.1,-422.4,-553.3,-531.1,-418.3,-291.6,-408.1,-937.3,-1621.7,-1556.3,-1465.3
"48","41","    Federal","AD02RC1",6.6,-15.6,-24.9,-20.3,-6.1,-10.4,-74.9,-57.5,-50.4,-37.7,-24.9,-69.1,-68.2,-148.7,-196.9,-199.2,-217,-233.6,-191.5,-171.2,-164.2,-213.1,-250.3,-328.2,-297.8,-229.3,-208.7,-153.9,-52.1,42,95,184.7,34.2,-278,-422.2,-426.8,-352.4,-247.2,-315,-756.2,-1446.3,-1462.3,-1352.2
"49","42","    State and local","AD03RC1",-5.1,-6,-6.4,3.4,2.4,-5.3,-11.9,-4.9,4.5,5.8,-1.8,-6.6,-5.3,-12.6,-4.9,8.8,1.5,-4.9,-16.9,-15.5,-17.5,-38.8,-51,-44.9,-40.5,-33,-35.9,-25.7,-21.7,-15.1,-30.6,-38.1,-99.3,-144.4,-131.1,-104.2,-66,-44.3,-93.1,-181.1,-175.4,-94,-113.1
"50","43","    Statistical discrepancy","A030RC1",2.9,6.9,11,8.9,8,9.8,16.3,23.5,21.2,26.1,47,45.3,36.6,4.8,49.7,31.5,42.3,67.7,32.9,-9.5,56.1,84.2,79.7,110,135.8,108.8,52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.7,-22.3,-95.1,-242.3,-12,-2.4,77.4,0.8,-47.9
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross private saving","A126RC1",157.2,174.6,203.2,217.1,257,271.1,325.1,345.6,384.1,437.1,479.7,528.8,625.2,681.9,692.2,814,802,783.8,813,908.8,916.1,957.1,1036.6,1091.7,1088,1148.6,1251.2,1300.5,1375.4,1394.9,1380.3,1376.2,1466.5,1656.8,1749.7,1894.6,1925.4,2079.5,1989.4,2282.8,2569.6,2785.4,2860.6
"53","45","    Domestic business","W997RC1",92.2,91.6,107.5,123.4,135.2,135.2,174.5,195.8,228.1,259.2,281.3,285.6,336.4,362.2,407.1,456.2,483.6,468.2,515.4,572.7,565.9,589.8,628.6,660.4,690.9,748.8,829.9,891.5,966.7,914.7,1016.9,1000.6,1086.5,1189.1,1244.6,1369.2,1532.1,1553.6,1461.4,1400.8,1719.5,1897.4,2007.4
"54","46","    Households and institutions","W998RC1",65,83,95.7,93.7,121.7,135.9,150.6,149.9,156,177.9,198.4,243.2,288.8,319.7,285.1,357.8,318.4,315.6,297.6,336.1,350.2,367.3,408,431.3,397.1,399.8,421.3,409,408.7,480.3,363.3,375.6,380,467.7,505.1,525.4,393.3,526,528,882,850.1,888,853.3
"55","47","  Gross government saving","A927RC1",41.2,18.2,6,20.2,35.2,30.7,-28.2,-3.7,12.6,39.2,53.5,14,20.9,-60.4,-89.8,-60.6,-63.6,-74.5,-30.8,-7.3,8,-39.5,-85.3,-159.4,-129.5,-53.9,-32.2,43.9,150.3,259.5,327.8,424,229.2,-95.9,-197.1,-155.9,-6.5,116.5,58.3,-374.6,-972.3,-964.9,-896.3
"56","48","    Federal","A926RC1",23.9,0.6,-12.2,-8.3,5.2,3.7,-50.9,-32.3,-23.1,-3.9,13,-26.6,-23,-97.7,-135.6,-126.9,-130.6,-143,-94.2,-79.3,-70.6,-108.7,-146.4,-227.9,-202.4,-140.3,-124.5,-66.3,22.4,116.4,183.9,273,129.1,-163.6,-285.5,-284.6,-182.6,-97.2,-132.6,-493.5,-1093.2,-1143.6,-1045.2
"57","49","    State and local","A925RC1",17.3,17.7,18.3,28.5,30,27,22.7,28.6,35.7,43.2,40.5,40.6,43.8,37.3,45.8,66.3,67,68.6,63.4,72,78.7,69.2,61.1,68.5,72.9,86.4,92.3,110.2,127.9,143.1,143.9,151,100.1,67.7,88.4,128.7,176.1,213.8,190.9,119,121,178.7,148.8
"58","50","  Net domestic investment","W171RC1",100.5,87.6,102.2,123.1,150.6,142,102.9,150.2,197.1,253.6,282.4,235.4,285.9,196,236,400.6,389.5,381.3,398.1,396.7,421.2,385.5,298.8,343.5,394.8,499,507.2,571.9,677.2,753.1,834.5,892.2,727.7,685.4,731.4,908.2,1022.9,1091.5,984.2,730.7,186,425.5,449.4
"59","51","    Private","A557RC1",82,70.7,88.6,109.9,135,121.6,79.8,126.4,175.2,226,248.4,197,249.1,160.8,194.8,348.2,323.4,307.5,320.5,324.5,345.3,300.6,217.5,264.9,327,436.3,439.4,496.8,598.9,669.2,734.3,785.4,610.3,552.9,593.7,767.7,881.5,935.7,819,544.7,4.4,254.2,318.4
"60","52","      Domestic business","W790RC1",57.6,48.5,57,68.6,89.7,84.9,44.6,75.3,102.9,142.1,166.6,134.3,191.3,113.4,109.4,241.6,214.8,175.8,175.2,172.6,197.2,169,100.3,119.8,164.5,245.9,263.4,293,377.9,411.4,453,489.4,299.7,216.5,207.5,299.5,345.6,426.2,442.6,310.1,-122.7,143,214.8
"61","53","      Households and institutions","W791RC1",24.3,22.1,31.7,41.3,45.3,36.7,35.2,51.1,72.3,83.8,81.8,62.7,57.8,47.4,85.4,106.6,108.6,131.6,145.3,151.9,148.1,131.6,117.1,145.1,162.5,190.4,176,203.8,221,257.9,281.2,296,310.6,336.4,386.2,468.2,535.9,509.6,376.5,234.6,127.1,111.3,103.6
"62","54","    Government","A889RC1",18.6,17,13.5,13.2,15.5,20.4,23.2,23.8,21.9,27.6,34,38.5,36.8,35.2,41.3,52.5,66.1,73.8,77.7,72.2,75.8,85,81.4,78.7,67.8,62.7,67.8,75.1,78.3,83.9,100.2,106.8,117.4,132.5,137.7,140.5,141.5,155.8,165.1,186,181.6,171.3,131
"63","55","      Federal","A890RC1",-0.4,-1.2,-4.8,-4.6,-3.4,-1.6,-0.2,1.2,1.7,2.6,4.7,6.3,8.1,9.9,15.7,19.8,26.4,28.9,30.7,20.8,19.7,20.8,16.2,14.2,5.9,-2.2,-3.1,-1.5,-9.1,-6.4,-3.4,-7.7,-7.1,1,5.4,8.4,10,14.1,14.8,28.4,31.4,38.8,22.8
"64","56","      State and local","A893RC1",19,18.2,18.3,17.8,18.9,22,23.4,22.6,20.2,25,29.3,32.2,28.7,25.3,25.5,32.6,39.7,45,47,51.5,56.2,64.2,65.2,64.5,61.9,64.9,70.8,76.5,87.4,90.3,103.6,114.5,124.5,131.5,132.3,132,131.4,141.6,150.4,157.6,150.3,132.5,108.2
"65","57","  Gross saving as a percentage of gross national income","W206RC1",20.1,18.6,18.6,19.2,21.1,20.1,18.2,18.8,19.6,20.8,20.9,19.5,20.7,18.9,17.1,19.1,17.6,16.1,16.6,17.6,17,16,16,14.9,14.6,15.6,16.5,17.1,18.2,18.6,18.1,17.8,16.2,14.6,13.9,14.5,15,16,14.5,13.2,11.4,12.4,12.8
"66","58","  Net saving as a percentage of gross national income","W207RC1",10,8.1,8.1,8.9,10.9,9.2,6.5,7.4,8.1,9.4,9.2,7.2,8.1,5.7,4.3,7.1,5.5,3.9,4.5,5.7,5,3.9,3.8,3,2.7,3.9,4.7,5.5,6.7,7.1,6.5,6.1,4.2,2.4,1.8,2.6,2.9,3.9,2,0.4,-1.9,-0.4,0.1
"67","59","  Disaster losses \2\","W771RC1",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,9,0,1.5,17.9,4.1,20.4,2.4,0,0,0,3.5,0,19.2,0,0,29.4,110.4,0,0,19.1,0,0,0
"68","60","    Private","W772RC1",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.9,0,1.5,17.9,4.1,18.4,2.4,0,0,0,3.5,0,17.5,0,0,29.4,99.2,0,0,19.1,0,0,0
"69","61","      Domestic business","W773RC1",NA,NA,0.1,1,0.5,0.1,0,0.1,0.3,0,0.8,0.4,0,0.6,0.6,0,0.5,0,0,0,4.7,0,0.3,8.2,2.5,13.6,1.2,0,0,0,2.2,0,15.5,0,0,17.4,48.8,0,0,10.8,0,0,0
"70","62","      Households and institutions","W774RC1",NA,NA,0.1,0.6,0.2,0.1,0,0.1,0.1,0,0.3,0.1,0,0.3,0.5,0,1.2,0,0,0,3.3,0,1.2,9.8,1.6,4.8,1.2,0,0,0,1.3,0,2,0,0,12,50.4,0,0,8.3,0,0,0
"71","63","    Government","W775RC1",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.7,0,0,0,11.2,0,0,0,0,0,0
"72","64","      Federal","W776RC1",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"73","65","      State and local","W777RC1",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.7,0,0,0,10.7,0,0,0,0,0,0
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
