"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","    Primary metal industries","B1736C0",370,400,440,530,705,1017,1183,1303,1341,1406,1313,1284,1353,1367,1693,1724,1849,1955,2105,2330,2489,2528
"24","17","    Fabricated metal products","B1737C0",146,158,169,204,234,267,295,337,345,392,428,447,494,526,640,652,681,741,775,874,995,1081
"25","18","    Machinery, except electrical","B1738C0",240,273,302,354,417,472,547,628,689,755,774,869,898,965,1125,1100,1265,1384,1463,1750,1900,2137
"26","19","    Electric and electronic equipment","B1739C0",122,132,150,179,217,263,301,352,392,435,476,478,514,566,645,710,750,810,924,1100,1265,1508
"27","20","    Motor vehicles and equipment","B1740C0",185,202,228,249,294,382,456,526,613,730,741,767,994,963,1193,1407,1553,1892,2314,2503,2680,2674
"28","21","    Other transportation equipment","B1741C0",56,64,62,88,120,148,167,184,202,238,278,308,339,344,389,430,462,485,532,751,934,949
"29","22","    Instruments and related products","B1742C0",33,38,43,63,75,83,94,112,138,151,168,182,197,242,273,330,292,332,382,450,532,587
"30","23","    Miscellaneous manufacturing industries","B1743C0",63,68,65,74,80,88,97,115,124,135,148,149,141,146,157,140,150,160,157,168,205,239
"31","24","  Nondurable goods","A1744C0",1802,2046,2205,2501,2769,3129,3665,4247,4555,4981,5425,5713,5870,6259,7200,7732,8153,8720,9266,9825,10592,11547
"32","25","    Food and kindred products","B1745C0",371,430,463,516,546,559,617,698,721,783,948,1008,1040,1096,1272,1304,1397,1479,1679,1637,1761,1971
"33","26","    Tobacco manufactures","B1746C0",11,13,14,15,14,17,19,21,24,27,31,37,40,42,51,59,60,61,67,71,71,117
"34","27","    Textile mill products","B1747C0",156,174,193,210,223,242,258,290,306,327,320,321,329,366,401,421,449,467,501,547,568,629
"35","28","    Apparel and other textile products","B1748C0",41,48,48,54,56,59,64,72,73,74,83,88,87,95,118,115,129,141,166,183,202,214
"36","29","    Paper and allied products","B1749C0",122,140,154,179,204,234,275,338,370,419,464,474,496,541,653,665,722,735,773,840,902,960
"37","30","    Printing and publishing","B1750C0",80,95,107,122,131,143,154,182,201,223,250,270,304,320,386,422,468,491,528,573,633,740
"38","31","    Chemicals and allied products","B1751C0",277,327,369,432,539,660,784,916,973,1045,1127,1257,1259,1370,1651,1751,1800,1946,1995,2098,2294,2494
"39","32","    Petroleum and coal products","B1752C0",655,731,767,861,932,1078,1341,1549,1686,1856,1944,1999,2042,2136,2326,2622,2750,3001,3121,3396,3662,3803
"40","33","    Rubber and miscellaneous plastics products","B1753C0",67,63,67,86,96,110,126,151,166,189,218,219,228,251,298,314,323,341,371,409,430,536
"41","34","    Leather and leather products","B1754C0",22,25,23,26,28,27,27,30,35,38,40,40,45,42,44,59,55,58,65,71,69,83
"42","35","Transportation and public utilities","A1755C0",2199,2309,2539,3009,3287,3736,4031,4621,4925,5253,5443,5922,6198,6480,7353,7862,8371,9045,9947,10764,11776,12774
"43","36","  Transportation","A1756C0",1349,1400,1463,1783,1965,2231,2207,2460,2517,2603,2568,2663,2693,2740,3207,3278,3478,3741,4207,4595,5003,5339
"44","37","    Railroad transportation","B1757C0",901,898,932,1159,1305,1473,1396,1527,1491,1469,1361,1305,1225,1161,1418,1425,1538,1644,1844,1848,1895,2022
"45","38","    Local and interurban passenger transit","B1758C0",121,136,125,133,135,138,121,141,150,146,141,133,129,147,163,154,169,178,213,245,254,230
"46","39","    Trucking and warehousing","B1759C0",112,133,152,198,212,233,262,325,379,407,410,500,524,519,601,612,635,705,777,823,861,1008
"47","40","    Water transportation","B1760C0",77,91,92,105,112,121,123,136,138,145,183,204,212,201,231,251,266,279,274,309,356,317
"48","41","    Transportation by air","B1761C0",85,85,89,95,103,144,173,179,197,261,301,344,421,507,567,567,553,607,754,968,1233,1334
"49","42","    Pipelines, except natural gas","B1762C0",31,33,49,56,60,69,74,80,84,79,87,91,96,102,104,133,173,169,174,185,192,219
"50","43","    Transportation services","B1763C0",22,24,24,37,38,53,58,72,78,96,85,86,86,103,123,136,144,159,171,217,212,209
"51","44","  Communication","A1764C0",323,345,413,449,471,517,579,647,688,768,839,954,1047,1156,1285,1684,1893,2099,2321,2531,2817,3062
"52","45","    Telephone and telegraph","B1765C0",312,326,390,424,445,485,534,586,627,691,765,878,961,1064,1182,1573,1772,1983,2186,2360,2618,2838
"53","46","    Radio and television","B1766C0",11,19,23,25,26,32,45,61,61,77,74,76,86,92,103,111,121,116,135,171,199,224
"54","47","  Electric, gas, and sanitary services","B1767C0",527,564,663,777,851,988,1245,1514,1720,1882,2036,2305,2458,2584,2861,2900,3000,3205,3419,3638,3956,4373
"55","48","Wholesale trade","B1768C0",254,322,378,441,465,488,538,668,736,793,765,788,846,842,940,976,1015,1119,1253,1328,1615,1855
"56","49","Retail trade","B1769C0",496,578,651,715,760,808,868,1013,1106,1233,1252,1367,1486,1573,1745,1824,1962,2124,2282,2569,2637,3049
"57","50","Finance, insurance, and real estate","A1770C0",519,633,675,789,853,963,1099,1262,1397,1607,1760,1919,2165,2327,2567,2701,3067,3286,3501,3730,4129,4666
"58","51","  Banking","A1771C0",73,83,91,101,112,125,144,174,193,222,248,327,361,397,428,463,574,632,691,819,1058,1258
"59","52","    Federal Reserve banks","B1772C0",1,1,1,2,3,3,3,3,3,4,4,5,6,6,6,6,6,6,5,5,6,5
"60","53","    Commercial and mutual banks","B1773C0",72,82,90,99,109,122,141,171,190,218,244,322,355,391,422,457,568,626,686,814,1052,1253
"61","54","  Credit agencies other than banks","B1774C0",16,17,20,25,27,34,41,49,55,70,88,25,27,30,33,35,44,48,53,63,81,97
"62","55","  Security and commodity brokers","B1775C0",2,3,3,3,3,3,4,4,6,5,6,7,8,9,16,11,14,17,18,20,33,47
"63","56","  Insurance carriers","B1776C0",29,36,45,64,75,90,101,114,129,138,148,166,200,203,240,264,290,298,339,356,395,518
"64","57","  Insurance agents, brokers, and service","B1777C0",4,5,6,7,7,10,12,14,17,18,21,23,26,33,34,37,38,40,42,45,59,67
"65","58","  Real estate","B1778C0",381,437,490,573,610,681,775,873,956,1097,1195,1302,1462,1550,1689,1787,1989,2118,2241,2258,2369,2567
"66","59","  Holding and other investment offices","B1779C0",14,52,20,16,19,20,22,34,41,57,54,69,81,105,127,104,118,133,117,169,134,112
"67","60","Services","A1780C0",303,375,400,462,496,565,644,763,944,1090,1141,1355,1530,1636,1888,2136,2296,2539,2743,2933,3279,3877
"68","61","  Hotels and other lodging places","B1781C0",82,91,98,108,110,117,132,151,168,198,197,226,246,267,298,317,340,375,398,427,438,485
"69","62","  Personal services","B1782C0",47,55,60,67,70,76,75,88,99,108,124,139,149,172,183,201,206,209,235,263,285,293
"70","63","  Business services","B1783C0",47,58,72,90,104,119,134,163,218,267,298,338,371,422,501,579,578,686,739,810,960,1267
"71","64","  Auto repair, services, and parking","B1784C0",25,32,40,55,66,93,114,139,203,244,258,333,390,361,437,517,627,683,741,728,847,1007
"72","65","  Miscellaneous repair services","B1785C0",4,5,6,6,7,10,12,13,17,22,12,17,16,19,23,23,31,31,31,34,42,39
"73","66","  Motion pictures","B1786C0",54,83,71,79,80,86,101,117,131,117,98,108,102,107,123,129,131,153,168,178,201,212
"74","67","  Amusement and recreation services","B1787C0",29,34,35,36,38,40,51,61,72,89,107,141,202,216,251,257,268,262,268,250,295,280
"75","68","  Other services","A1788C0",15,17,18,21,21,24,25,31,36,45,47,53,54,72,72,113,115,140,163,243,211,294
"76","69","    Health services","B1789C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,50,61,75,102,97,136
"77","70","    Legal services","B1790C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0
"78","71","    Educational services","B1791C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,14,19,27,31,35
"79","72","    Other \1\","B1792C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,64,69,114,83,123
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
