"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5"
"39","30","        Financial transactions","M318311",8.2,3.2
"40","31","          Loan disbursements less loan repayments and sales","M318321",7.7,3.2
"41","32","          Deposit insurance","B1069C1",0,0
"42","33","          Net purchases of foreign currency","M318341",0.7,0.3
"43","34","          Other","M318351",-0.2,-0.3
"44","35","        Net purchases of nonproduced assets","M318361",-0.6,-0.1
"45","36","          Outer Continental Shelf","M318371",-0.9,-0.3
"46","37","          Land and other \9\","M318381",0.3,0.2
"47","38","        Other \10\","M318391",-0.1,0
"48","39","Less: Netting and grossing differences","M318401",-3.7,-4.6
"49","40","        Supplementary medical insurance premiums","M318411",NA,NA
"50","41","        Interest receipts","W706MC1",-2.5,-2.5
"51","42","        Current surplus of government enterprises","W707MC1",0.5,0.4
"52","43","        Other \4\","M318431",-1.7,-2.6
"53","44","Plus: Timing differences","M318441",-1.6,-0.8
"54","45","        Purchases (increase in payables net of advances)","M318451",-2.5,-1.4
"55","46","        Interest payments","M318461",0.2,0.1
"56","47","        Current transfer payments","M318471",0.4,0.1
"57","48","        Other \11\","W708MC1",0.2,0.3
"58","49","Equals: Federal government current expenditures, NIPAs","M318491",164.9,178.2
"59",NA,"      Net federal government saving"," ",NA,NA
"60","50","Budget surplus or deficit (-) (1-19)","M318501",-25.2,3.2
"61","51","Plus: Net investment (28)","M318511",2.9,0.5
"62","52","Less: Net capital transfers received (4-29)","M318521",-2.1,-2.6
"63","53","      Federal employee retirement plans (3-21)","M318531",-0.8,-1.2
"64","54","      Other coverage differences (5+6-26-27-30-35-38)","M318541",-6.1,-0.8
"65","55","      Timing differences (44-12)","M318551",-4.7,0.4
"66","56","Equals: Federal government saving, national income and product accounts (18-49)","M318561",-8.6,7.9
"67",NA,NA,NA,NA,NA
"68","1. These transactions are included in the NIPA personal sector.  Beginning with October 2002, the",NA,NA,NA,NA
"69","transactions include the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA
"70","2. Consists of estate and gift taxes.",NA,NA,NA,NA
"71","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA
"72","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA
"73","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA
"74","and Northern Mariana Islands.",NA,NA,NA,NA
"75","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA
"76","as receipts in the NIPAs.  Also includes some transactions that are not reflected in the budget data but",NA,NA,NA,NA
"77","that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA
"78","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA
"79","post-1991 direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans",NA,NA,NA,NA
"80","or loan repayments; consequently, related entries are included in ""Loan disbursements less loan",NA,NA,NA,NA
"81","repayments and sales.""",NA,NA,NA,NA
"82","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA
"83","were not included in the budget in some time periods, and beginning with 1996, the Universal Service Fund.",NA,NA,NA,NA
"84","Includes repayments of certain collections from the U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA
"85","and Northern Mariana Islands.",NA,NA,NA,NA
"86","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA
"87","general government.",NA,NA,NA,NA
"88","8. Consists of investment grants to state and local governments and maritime construction subsidies.  Does",NA,NA,NA,NA
"89","not include the forgiveness of debts owed by foreign governments to the U.S. government or payments to the",NA,NA,NA,NA
"90","Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified as capital",NA,NA,NA,NA
"91","transfers paid by the United States and are excluded from both budget outlays and NIPA current expenditures.",NA,NA,NA,NA
"92","9. Consists of net sales of land other than the Outer Continental Shelf and, beginning with 1995, includes",NA,NA,NA,NA
"93","the auction of the radio spectrum.",NA,NA,NA,NA
"94","10. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA
"95","11. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA
"96","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year.  Beginning with 1977,",NA,NA,NA,NA
"97","fiscal year estimates reflect an October 1-September 30 federal fiscal year.  NIPA quarterly and fiscal year",NA,NA,NA,NA
"98","estimates in this table are consistent with the not seasonally adjusted estimates in table 3.22.",NA,NA,NA,NA
"99","NIPAs National income and product accounts",NA,NA,NA,NA
