"","Table 5#4#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","  Mining exploration, shafts, and wells","E318RL1",-23.1,-43.9,25.6,-17.3,41.8,21.6,19.1,29.6,-13.4,-6,12.5,3.5,-31.9,-8.9,36.6,10.3,15.4,11.6,22.8,1.2,18.7,5.1,11.3,9.3,10.6,7.6,-3.2,-5.6,-6.5,2.7,-6.1,1.8,4.9,-6.1,7.1,-1.2,-5.2,-4.4,0.6,4.2
"28","21","    Petroleum and natural gas","C319RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,24.3,1.8,18.5,5,12.2,9.2,11.6,7.8,-3.2,-5.5,-7.9,2.3,-6.8,1.5,4.9,-6.8,7.6,-1.3,-5.6,-4.7,-0.8,3.5
"29","22","    Mining","C320RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,0.5,-9.7,23.1,6.8,-5.9,10.3,-11.8,0.9,-5.7,-8.5,38.1,10.4,7.9,8.3,5.4,5,0.5,-0.1,-0.7,-0.7,19.1,11.6
"30","23","  Other structures","W004RL1",-6.7,-28.7,-42.2,-21.6,9.9,9.1,22.8,11.2,-12.1,6.4,-1.1,13.8,-18.6,0.6,23.1,13.8,98.4,-21.2,0,1.2,-1.3,-2.2,0.5,3.7,5.3,0.2,-1,0,4.6,10.4,11.1,-2.3,2.1,5.8,9.7,12.4,3.8,-2.1,-11.6,-0.8
"31","24","    Religious","C309RL1",-0.5,-26.2,-38.3,-49.1,-12.3,31.1,13.9,11.3,15.9,-6.3,20.5,-1.9,-55.2,-82.1,73.7,131.2,149,23.6,78.9,47.4,14.3,-2.6,-14,17.7,29.1,15.5,6.6,3.6,2.3,10.7,7.1,-0.7,1.8,-4.9,-2.9,17.2,-8.1,-10,-3.3,-14.4
"32","25","    Educational and vocational","W044RL1",6.5,-2.9,-36.9,-70.5,-14.5,19.8,120.5,-9.4,-5.1,-2.4,25.7,7.7,-62.9,-76.9,73.7,173.5,240,5.6,30.6,9.3,9.9,3.5,-0.8,20.8,27.6,-13.3,11,-10.2,12.5,-7.7,7.9,7.9,10.3,-2.1,8.5,1.4,20.9,3,4.3,-12.2
"33","26","    Lodging","W045RL1",-7.4,-28.3,-45.3,-23.1,-8.3,4.2,25.8,18.5,21.6,5.6,-20.1,3.5,-55.7,-65,74,87,166.1,-40.9,59.2,19.3,-4.4,3.6,-9.4,14.4,22.8,-19.7,18.9,4.1,30,30.3,20.2,18.3,-6.8,25.2,53.2,-1.2,-7.8,-13.7,-7.2,3.8
"34","27","    Amusement and recreation","W046RL1",-8.2,-26.2,-41.2,-14.5,-14.5,-2.9,16.3,17.9,18,4.1,-16.6,1.5,-54.5,-65.1,73.1,84.2,159,-36.2,46.4,19.6,0.7,-4.3,-6.3,17.2,20.2,-14.8,12,9.5,25.2,17.1,21.7,-4.6,3.4,9.1,-2.6,30.5,2.1,-3.6,-48.9,18.4
"35","28","    Transportation","W047RL1",-1.5,-30.2,-42,-15.9,23.5,0.9,18.9,8.4,-24.2,14,7.6,11.5,4.7,18,24.2,-2.6,-15.3,-8.7,-0.3,-5.6,-10.4,7.8,6.8,-3.8,-16.6,-8.1,6.7,-6.9,-24.1,-5.8,4.7,-12.8,0.9,11.8,4.8,9.7,10.9,-8.1,3,3.2
"36","29","      Air","W048RL1",-7.8,-27.1,-42.8,-17.8,-12.2,-0.2,20,18.1,19.5,4.7,-18.1,2.4,-55,-65.1,73.4,85.3,162,-38.2,51.6,19.4,-1.5,-1,-7.7,16,21.3,-16.8,14.8,7.2,27.2,17.6,20.9,-4.2,3.1,9.1,-3.2,31.3,1.5,-3.2,-53.2,18.1
"37","30","      Land \3\","W049RL1",-1.4,-30.3,-41.9,-15.9,24.3,0.9,18.8,8.2,-25.2,14.3,8.4,11.7,6.1,18.8,24,-3,-16.8,-7.8,-1.4,-6.4,-10.7,8.2,7.4,-4.4,-17.9,-7.6,6.3,-7.7,-27,-8,2.8,-14,0.5,12.3,6.1,6.4,12.8,-8.9,13.6,2
"38","31","    Farm","C316RL1",-45.8,-50.1,-61.6,62.2,35.2,123.7,26.4,18.8,-13.6,14.7,-20.5,23,-10.7,21.6,-1.2,-8.3,297.2,-5.2,-6.5,-2.8,1.1,-5.8,5.8,-10.4,-3.5,-5.6,3.3,-7.2,13.7,33.7,7.8,-3.4,9.7,1.1,-1.3,0.9,3.1,11.2,-10.6,-1.7
"39","32","    Other \4\","W050RL1",-14.2,-23.5,-27.2,6,-26.9,-18.1,-11.5,22.4,1.1,-1.4,2.9,-5.6,-47.8,-65,71.2,69.3,131.9,-3.9,-0.9,20.6,35.6,-37.7,13.4,33.4,9.1,15.2,-15.8,35.2,3.9,12.3,33.1,-9.4,6.6,9.3,4.5,23.1,9.1,-8.1,-0.7,20.8
"40","33","    Brokers' commissions on sale of structures","C321RL1",-21.9,-31.7,-26.1,3.8,-12,10.4,15.5,13.2,-25,5.7,20.2,26.7,-49.6,-29.3,16.2,70.5,146.4,-28.4,-16.6,-20.3,1.8,-1.8,-5.7,13.9,4,17.4,-1.7,1.7,13.3,3.2,14.9,5.9,7.4,-1.8,9.2,24,6.2,-6.4,-14.4,-12
"41","34","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","A012RL1",-39.7,-16.7,-47.9,-19.8,37.8,40.9,27.1,8.7,1.2,42.6,12.7,5.9,-49.8,-40,-13.4,16.8,321.2,28.3,20.1,-7.6,37,-16.5,-1.8,3.5,8.4,16.2,-8.5,-6.2,0.9,25.6,-7.1,0.3,9.7,11.8,5.8,-3.2,-9.2,-3.3,13.5,2.7
"43","36","  Permanent site","A943RL1",-46.4,-9,-54.9,-37.1,16.1,90,60,12,4.5,39.3,11,9,-54.3,-51,-26.5,11.5,488.2,33,24.1,-5.6,47.1,-20.1,-5.8,3.3,10,18.2,-13.4,-9.1,2.6,27.4,-11.7,-0.5,14,13.4,6.7,-4.4,-12.3,-4.7,17.5,2.9
"44","37","    Single-family structures","A944RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,-11.6,-5.2,6.7,6.8,9.7,-2.3,-10.9,-2,9.9,-5.1
"45","38","    Multifamily structures","C292RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,-12,26,45.4,34.2,-0.7,-10.1,-16.2,-13.1,44.5,24.4
"46","39","  Other structures","A863RL1",-9.6,-37.4,-20.4,18.3,63.2,-0.3,-25.4,-2.6,-11.6,57.9,19.8,-6.1,-30.5,-8.1,7,22.4,159.2,18.5,10.5,-12.9,7.6,-1.7,11.1,4.1,4.1,10.7,6.9,0.9,-2.7,21.5,4.2,2,0.6,7.9,3.5,-0.1,-1.5,-0.1,5,2.3
"47","40","    Manufactured homes","A945RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,18.3,-48.8,18.6,6.5,60.7,2.7,8.9,63.1,48.5,8.2,-1.9,12.9,-2,-0.8,26.8,28.1,36.9,21.2,11.5,13.8,41.8,26.3
"48","41","    Dormitories","C295RL1",-16.3,-61.3,-29.9,-11.4,16.2,12.5,13.2,21.1,-10.3,20.1,-3.5,-3.3,-50.8,-72.3,52.3,50.7,234.7,-29,14.2,17.9,-7.1,1,-5.6,43,10.8,11.5,28.5,11.6,27.9,6.3,-2.8,35.1,63.9,-13.8,23.2,8.3,-7.5,-21.6,-18.1,-21.8
"49","42","    Improvements","A946RL1",-7.9,-36.7,-26.4,40.4,24.3,27.3,12.3,-1.6,-10.6,7.7,1.2,2.7,-43.8,-33.9,26.9,60.9,218.3,24.6,16,-11.7,6.5,-3.1,8.6,4.6,1.4,9.2,6.1,4.9,-1.5,12.9,6.7,2,-8.1,3.6,-0.1,-2.4,2.5,1.2,-2.4,-1.5
"50","43","    Brokers' commissions on sale of structures","A758RL1",-12.2,-23.4,-0.8,-16.9,149.3,-31.4,-18.9,-4.8,-12,6.8,22.9,-0.6,-3.6,6.6,17.7,8.4,51.3,-14.7,-19.3,1.3,18.4,6.3,13.7,1.9,15,9.2,-5.9,-4.9,13.4,28,-8.8,2.1,17.4,16.5,4.3,2.4,-9.9,-0.3,12.3,-1.9
"51","44","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RL1",-25.2,-29.1,-42.9,-21.7,14.7,29.4,37.1,18.3,-10.6,19.7,11.2,12.1,-46,-37.1,13,30,170.7,13.9,16.5,-5.4,26,-8.5,-1.6,5.9,6.1,12.2,-0.2,-3.1,-1.7,14.1,-1,1,7.2,6.7,7.8,4.7,-1.5,-2.9,7.2,4.1
"54","46","    Nonresidential structures","A771RL1",-14.3,-35.4,-38.4,-22.5,12.4,10.7,31,26.6,-19.6,6.2,13.8,17.3,-38.3,-27.3,30.7,31.3,83.5,-4.4,8.5,-2.1,7.8,8.2,-0.4,8.9,3.4,5.7,12.6,-0.4,-5.5,2.9,8.1,1.7,5,1.2,10.1,15.1,6.4,-2.8,1.4,5.5
"55","47","    Residential structures","A756RL1",-41,-16,-50.4,-19.9,19.2,63.8,44.8,8.9,1.1,33.1,9.3,8,-52.8,-48.5,-15.3,27,380.9,31.1,22,-7.5,37.7,-17,-2.4,3.7,8,16.8,-8.4,-5.3,1.6,23.2,-7.2,0.5,8.9,10.9,6.1,-3.1,-8.4,-3,13.1,2.8
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
