"","Table 6#22A# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"61","54","  Security and commodity brokers, and services","B1775C0",8,8,7,5,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2
"62","55","  Credit agencies (other than banks) and holding and other investment companies","B1779C0",31,30,29,27,25,27,32,36,28,31,25,38,40,19,14,17,23,19,26
"63","56","  Insurance carriers","B1776C0",12,15,17,20,26,30,37,41,43,43,43,43,40,37,32,26,20,19,21
"64","57","  Insurance agents, brokers, and service","B1777C0",1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,4,5
"65","58","  Real estate","B1778C0",276,304,317,309,293,324,312,315,299,310,302,309,310,289,292,296,297,319,340
"66","59","Services","A1780C0",143,140,134,130,113,115,116,119,128,143,141,143,146,154,147,141,141,171,220
"67","60","  Hotels and other lodging places","B1781C0",32,33,31,31,28,34,40,41,46,50,50,49,50,50,49,51,51,59,70
"68","61","  Personal services","B1782C0",17,18,17,17,16,19,22,22,25,28,26,27,27,27,25,23,22,25,35
"69","62","  Business services","B1783C0",15,15,14,13,10,11,10,11,11,16,15,16,17,18,18,16,17,21,32
"70","63","  Miscellaneous repair services","B1785C0",1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,2,3
"71","64","  Motion pictures","B1786C0",53,45,48,46,40,32,26,27,27,28,28,30,29,35,31,30,31,36,42
"72","65","  Amusement and recreation services","B1787C0",19,19,16,16,13,13,12,12,13,12,13,14,14,14,11,11,12,17,23
"73","66","  Other services","A1788C0",6,8,7,6,5,5,5,5,5,7,7,6,7,8,10,7,6,11,15
"74","67","    Health services","B1789C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","68","    Legal services","B1790C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","    Educational services, n.e.c.","B1791C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","n.e.c.  Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
