"","Table 5#4#2A# Contributions to Percent Change in Real Private Fi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"13","4","    Commercial, including office","C308RW2",-2.49,-5.36,-4.11,-3.71,1.48,1.83,2.41,1.56,-2.28,0.23,0.98,0.53,-3.85,-2.83,0.68,3.79,16.26,-2.99,1.53,-0.74,1.03,-0.32,-1.31,2.14,1.48,2.28,1.2,-0.93,0.31,0.96,0.56,1.13,0.92,-0.47,0.56,1.92,-0.29,-0.3,0.95,1.41,-0.19,1.21,1.26,0.85,-0.78,-3.43,-0.3,0.83,1.64,2.22,1.2,1.02,0.76,-0.91,4.25,3.44,-1.47,-0.86,0.28,-0.21,-1,-4.41,-1.4,0.48,0.92,1.26,1.21,1.46
"14","5","      Office, including medical buildings \1\","B346RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,-0.33,-1.25,-0.24,0.17,0.6,1.14,1.27,1.37,1.9,-1.17,1.83,1.75,-1.28,-1.04,0.14,-0.23,-0.68,-1.76,-1.21,-0.01,0.12,0.59,0.38,1.13
"15","6","      Commercial \2\","B347RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,-0.45,-2.18,-0.06,0.66,1.03,1.08,-0.07,-0.35,-1.14,0.26,2.42,1.69,-0.19,0.18,0.14,0.02,-0.32,-2.65,-0.18,0.49,0.8,0.67,0.83,0.33
"16","7","    Hospitals and special care","C311RW2",0.15,-0.4,-0.69,-1.1,-0.11,0.04,0.23,0.28,0.09,-0.1,0.02,0.17,-0.28,-0.43,0.44,0.26,0.74,-0.02,0.02,0.32,0.6,0.09,-0.12,-0.26,0.09,-0.02,-0.04,0.39,0.23,-0.06,0.08,0.37,0.45,0.05,0.45,0.1,-0.04,-0.21,0.27,0.62,0.39,0.24,0.16,-0.17,-0.18,-0.19,0.12,-0.18,-0.09,-0.05,0.09,0.26,0.7,0.32,-0.2,-0.33,-0.12,0.11,0.32,-0.05,0.18,-0.23,0.14,0.17,-0.17,-0.34,0.06,0.27
"17","8","  Manufacturing","C307RW2",-3.68,-4,-3.31,4.73,-0.8,-1.72,3.59,4.88,-5.45,0.75,3.13,4.77,-7.14,-4.61,1.82,10.88,15.8,-1.66,-2.27,-1.57,0.4,2.73,0.48,-0.33,-0.44,0.56,1.82,0.48,-2.69,-0.65,1.63,-0.14,0.06,0.02,1.12,2.38,2,-1.25,-0.35,0.44,-0.3,-1.52,-0.82,1.23,0.86,-0.33,-0.65,0.18,2.01,1.66,-1.42,1.08,-0.31,-2.63,0.22,0.71,-1.02,-0.14,0.29,1.11,0.9,-0.63,-0.67,-1.54,0.99,1.08,0.36,-0.31
"18","9","  Power and communication","W003RW2",-0.04,-4.75,-6.69,-7.53,0.89,2.03,4.09,2.87,-0.39,1.5,0.87,0.63,-1.87,-5.45,3.62,1.91,6.82,3.47,1.83,0.52,-0.06,0.03,0.09,1.04,-0.96,-0.46,1.41,0.39,-0.43,-0.46,0.09,-0.61,0.05,0.56,0.73,0.88,1.21,0.94,1.25,0,1.04,0.1,0.48,0.67,-0.7,-0.97,1.16,-0.19,0.49,0.36,0.09,0.27,-0.58,-1.5,0.18,-0.08,0.47,-0.79,-0.36,0.23,-0.45,1.17,0.5,-0.55,-0.71,0.13,-0.92,-0.19
"19","10","    Power","W028RW2",-0.17,-2.45,-5.15,-5.6,0.91,1.85,3.59,1.98,-0.28,1.49,0.4,-0.14,-1.37,-3.25,2.95,1.15,3.64,2.73,1,1.3,0.33,0.01,-0.14,0.93,-1.06,-0.7,0.67,0.51,-0.03,-0.52,-0.16,-0.32,-0.06,0.35,0.41,0.69,1.11,1.01,1.21,-0.55,0.44,0.07,0.31,0.34,-0.49,-0.48,1.18,-0.36,0.08,0.12,0.06,0.16,-0.62,-1.26,-0.05,-0.12,0.26,-0.85,-0.43,0.41,-0.43,1.39,0.49,-0.66,-0.79,0.07,-0.96,-0.25
"20","11","      Electric","C571RW2",0.44,-2.15,-2.44,-2.35,0.04,0.89,1.76,1.74,1,0.91,0.06,-0.42,-0.91,-2.58,0.57,2.07,3.19,1.47,0.85,0.94,-0.59,-0.2,0.65,0.57,-0.43,-0.79,0.41,0.59,0.17,-0.85,0.02,-0.26,-0.01,0.29,0.17,0.5,0.7,0.87,0.51,0.07,0.66,0.17,0.3,0.33,-0.59,-0.78,0.68,0.77,0.33,-0.05,-0.12,0.14,-0.28,-0.82,-0.06,-0.3,0.29,-0.84,-0.49,0.3,-0.52,1.16,0.14,-0.34,-0.44,-0.22,-0.64,-0.03
"21","12","      Other power","W029RW2",-0.61,-0.31,-2.72,-3.26,0.87,0.96,1.83,0.24,-1.28,0.58,0.35,0.28,-0.46,-0.67,2.38,-0.92,0.46,1.26,0.15,0.36,0.93,0.2,-0.79,0.36,-0.63,0.09,0.26,-0.08,-0.21,0.34,-0.18,-0.06,-0.05,0.06,0.24,0.19,0.41,0.14,0.7,-0.62,-0.22,-0.11,0.01,0,0.1,0.3,0.5,-1.12,-0.25,0.17,0.18,0.02,-0.35,-0.45,0.01,0.18,-0.03,-0.01,0.06,0.12,0.09,0.23,0.34,-0.32,-0.34,0.29,-0.32,-0.22
"22","13","    Communication","C314RW2",0.13,-2.3,-1.54,-1.93,-0.02,0.18,0.5,0.89,-0.11,0.01,0.46,0.76,-0.49,-2.2,0.67,0.76,3.18,0.74,0.83,-0.78,-0.39,0.02,0.23,0.11,0.1,0.24,0.74,-0.12,-0.39,0.06,0.24,-0.29,0.11,0.21,0.32,0.19,0.11,-0.08,0.04,0.55,0.61,0.03,0.18,0.33,-0.21,-0.49,-0.02,0.17,0.41,0.24,0.03,0.1,0.05,-0.23,0.23,0.04,0.21,0.06,0.07,-0.18,-0.02,-0.22,0.01,0.12,0.08,0.07,0.04,0.06
"23","14","  Mining exploration, shafts, and wells","E318RW2",-1.04,-2.37,1.2,-1.9,4.39,2.36,2.06,2.84,-1.45,-0.61,0.92,0.24,-2.02,-0.76,4.65,1.66,1.98,0.55,1.04,0.06,0.95,0.25,0.64,0.59,0.69,0.5,-0.21,-0.36,-0.41,0.16,-0.34,0.09,0.25,-0.3,0.3,-0.05,-0.21,-0.17,0.02,0.15,-0.21,-0.25,0.2,0.18,0.54,0.73,0.48,0.79,0.91,0.46,2.91,1.91,-1.16,-2.5,1.29,-0.95,-2.96,-0.08,0.32,-0.36,0.55,-0.1,-0.8,0.53,-0.13,-0.53,0.19,0.55
"24","15","    Petroleum and natural gas","C319RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,1.04,0.09,0.9,0.23,0.66,0.56,0.72,0.5,-0.2,-0.35,-0.49,0.13,-0.36,0.07,0.24,-0.32,0.3,-0.05,-0.21,-0.17,-0.03,0.11,-0.24,-0.27,0.19,0.14,0.42,0.65,0.31,0.67,1,0.51,2.81,1.72,-0.97,-2.29,1.25,-0.92,-2.79,-0.01,0.32,-0.38,0.52,-0.13,-0.79,0.52,-0.22,-0.42,0.16,0.57
"25","16","    Mining","C320RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.03,0.06,0.02,-0.02,0.03,-0.03,0,-0.01,-0.02,0.07,0.03,0.02,0.02,0.02,0.01,0,0,0,0,0.05,0.04,0.03,0.02,0.01,0.04,0.12,0.08,0.18,0.12,-0.09,-0.05,0.1,0.2,-0.19,-0.21,0.04,-0.03,-0.17,-0.07,0.01,0.02,0.03,0.04,-0.01,0.01,0.09,-0.11,0.03,-0.02
"26","17","  Other structures","W004RW2",-1.3,-6.69,-10.04,-5.15,2.28,1.85,4.15,1.97,-1.98,1.01,-0.13,1.6,-2.22,0.1,5.82,3.74,23.78,-3.8,-0.01,0.15,-0.15,-0.22,0.06,0.4,0.56,0.03,-0.1,0.01,0.46,1.11,1.13,-0.26,0.23,0.62,1.03,1.36,0.45,-0.26,-1.42,-0.08,-0.59,-0.6,0.08,0.57,-0.66,-0.96,0.41,0.42,0.91,0.67,-0.22,-0.25,-0.42,0.43,1.33,0.81,-0.51,0.47,-0.57,0.16,0.5,-1.18,-0.62,0.6,-0.18,0.86,1.42,1.19
"27","18","    Religious","C309RW2",-0.01,-0.51,-0.76,-1.02,-0.16,0.31,0.15,0.11,0.15,-0.08,0.19,-0.02,-0.48,-0.58,0.14,0.39,0.8,0.13,0.5,0.47,0.22,-0.04,-0.21,0.23,0.42,0.26,0.12,0.07,0.05,0.23,0.15,-0.01,0.04,-0.1,-0.06,0.3,-0.16,-0.18,-0.06,-0.22,-0.14,-0.22,-0.03,-0.08,0.01,-0.1,0.05,0.02,0.09,0.09,-0.01,-0.02,-0.07,0.09,0.12,0.08,0.07,0.03,0.02,0.04,-0.07,-0.09,-0.11,0.07,-0.04,0.06,0.02,0.19
"28","19","    Educational","C310RW2",0.08,-0.05,-0.85,-1.73,-0.13,0.13,0.78,-0.11,-0.05,-0.02,0.19,0.06,-0.51,-0.42,0.14,0.51,1.53,0.05,0.27,0.09,0.11,0.03,-0.01,0.24,0.36,-0.2,0.13,-0.14,0.16,-0.11,0.09,0.1,0.14,-0.03,0.11,0.02,0.27,0.05,0.07,-0.2,-0.27,0,-0.03,-0.13,-0.25,-0.11,0.03,-0.01,0.03,0.05,0.13,-0.01,0.04,0.05,0.02,0.1,0.12,0.33,-0.26,0.09,0.09,0.02,0.04,0,0,0.1,0.24,0.34
"29","20","    Other buildings \3\","C312RW2",-0.3,-1.35,-2.17,-1,-0.42,0.1,0.73,0.53,0.64,0.21,-0.69,0.08,-1.3,-1.21,0.71,1.29,3.63,-0.94,0.75,0.34,-0.1,0.06,-0.17,0.25,0.42,-0.43,0.3,0.09,0.62,0.61,0.57,0.18,-0.05,0.54,0.83,0.54,-0.16,-0.36,-1.49,0.22,-0.14,-0.14,0.5,0.23,-0.75,-0.66,-0.03,-0.01,0.25,0.44,0.31,0.21,0.08,0.47,0.71,0.24,-0.01,-0.02,0.07,-0.16,0.31,-0.94,-0.96,0.48,0.12,0.53,1.16,0.6
"30","21","    Railroads","C573RW2",-0.13,-3.71,-5.33,-2.1,3.28,0.12,2,0.79,-2.19,1.02,0.56,0.73,0.39,2.18,4.58,-0.62,-2.62,-0.35,-0.06,-0.23,-0.38,0.21,0.22,-0.15,-0.57,-0.19,0.13,-0.18,-0.61,-0.14,0.03,-0.2,0.01,0.14,0.07,0.06,0.15,-0.11,0.18,0.02,-0.18,0.04,0.04,0.04,0.01,-0.17,0.29,0.09,0.2,-0.01,-0.09,-0.04,-0.11,-0.08,0.15,0.14,-0.28,-0.12,-0.05,0.05,-0.02,-0.06,0.13,-0.01,0.03,0.02,0.14,0.08
"31","22","    Farm","C316RW2",-0.67,-0.51,-0.43,0.28,0.34,1.46,0.56,0.37,-0.25,0.26,-0.31,0.24,-0.13,0.48,-0.05,-0.34,8.77,-0.23,-0.25,-0.09,0.04,-0.15,0.15,-0.29,-0.08,-0.12,0.06,-0.14,0.25,0.71,0.19,-0.09,0.25,0.03,-0.03,0.02,0.07,0.26,-0.28,-0.04,0.1,-0.14,-0.28,0.48,0.31,0.12,0.08,0.12,0.18,0,-0.44,-0.35,-0.41,-0.21,-0.05,-0.3,-0.05,0.1,-0.07,0.01,0.04,-0.02,-0.1,0.22,-0.07,-0.07,0.11,0.01
"32","23","    Other \4\","C317RW2",-0.18,-0.29,-0.31,0.24,-0.84,-0.37,-0.21,0.16,-0.04,-0.03,0.08,-0.05,-0.2,-0.28,0.15,0.21,0.51,0.05,-0.06,0.05,0.18,-0.19,0.06,0.12,0.02,0.11,-0.1,0.15,-0.02,0.05,0.17,-0.07,0.04,0.05,0.04,0.12,0.08,-0.08,0.15,0.17,0.17,-0.02,-0.11,-0.04,-0.04,-0.02,0.02,0.13,0.12,0.14,-0.09,0,0.03,0.17,0.36,0.53,-0.33,0.16,-0.32,0.16,0.22,-0.05,0.37,-0.19,-0.26,0.19,-0.34,-0.21
"33","24","    Brokers' commissions on sale of structures","C321RW2",-0.17,-0.25,-0.19,0.04,-0.15,0.1,0.13,0.1,-0.19,0.04,0.11,0.15,-0.33,-0.18,0.1,0.46,1.31,-0.24,-0.09,-0.08,0.01,-0.01,-0.02,0.04,0.01,0.05,-0.01,0.01,0.04,0.01,0.05,0.02,0.03,-0.01,0.04,0.09,0.03,-0.03,-0.07,-0.05,-0.06,-0.05,-0.02,0.08,0.05,-0.04,-0.01,0.08,-0.02,-0.02,-0.02,-0.02,-0.01,0,0.06,0.04,-0.01,0.01,0.02,0.02,0.01,-0.05,-0.01,0,0.02,0.03,0.03,0.03
"34","25","    Net purchases of used structures","E322RW2",0.07,-0.02,0,0.13,0.36,0.01,0.01,0.01,-0.05,-0.39,-0.26,0.4,0.33,0.12,0.05,1.85,9.84,-2.27,-1.07,-0.42,-0.21,-0.14,0.03,-0.03,-0.01,0.54,-0.73,0.15,-0.04,-0.25,-0.12,-0.19,-0.22,0,0.02,0.2,0.17,0.19,0.08,0.01,-0.05,-0.07,0.01,-0.02,0,0.02,-0.02,0.01,0.06,-0.02,-0.01,-0.03,0.04,-0.06,-0.02,-0.01,-0.02,-0.01,0.03,-0.05,-0.07,0,0.01,0.04,0.02,0.01,0.04,0.17
"35","26","Residential","A012RW2",-16.61,-5.65,-18.61,-6.77,13.48,16.82,12.72,4.01,0.53,21.08,7.29,3.38,-27.16,-19.53,-6.03,6.07,106.39,14.36,11.79,-4.69,22.65,-10.94,-1.09,2.09,4.91,9.73,-5.18,-3.46,0.5,14.18,-4.31,0.16,5.48,6.79,3.46,-1.87,-4.97,-1.64,6.78,1.43,-3.3,13.85,9.92,-0.55,-12.04,-6.69,12.06,12,3.71,-2.28,-11.71,-3.81,-7.67,15.75,7.37,0.71,6.04,1.07,-0.64,-1.75,-4.79,-5.05,7.39,4.77,5.85,-2.02,4.81,1.15
"36","27","  Permanent site","A943RW2",-15.89,-2.22,-16.99,-8.73,3.11,16.89,17.31,4.28,1.54,15.97,5.04,4.12,-24.07,-18.51,-7.25,2.16,79.02,11.36,9.97,-2.52,21.46,-10.72,-2.66,1.44,4.27,8.09,-6.21,-3.61,0.95,10.68,-5.03,-0.21,5.36,5.42,2.86,-1.85,-4.74,-1.62,5.98,1.08,-3.47,11.64,8.36,-0.2,-11.64,-8.08,9.38,10.11,1.83,-2.47,-10.43,-2.08,-5.31,13.12,5.51,-0.42,3.59,0.47,-1.27,-0.84,-3.23,-4.35,4.98,2.27,4.15,-2.41,3.19,0.19
"37","28","    Single-family structures","A944RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.24,-1.72,2.06,2.07,2.94,-0.7,-3.17,-0.53,2.65,-1.38,-3.22,8.42,5.02,-0.62,-6.31,-2.05,9.55,8.57,1.13,-3.73,-9.73,-1.84,-4.17,11,3.85,-0.21,3.37,2.15,-0.35,-0.83,-2.58,-3.3,5.58,2.9,3.44,-3.11,2.81,-0.1
"38","29","    Multifamily structures","C292RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,1.51,3.3,3.35,-0.08,-1.14,-1.57,-1.1,3.33,2.46,-0.25,3.21,3.34,0.42,-5.33,-6.03,-0.17,1.54,0.7,1.26,-0.7,-0.25,-1.14,2.12,1.65,-0.21,0.23,-1.68,-0.92,-0.01,-0.65,-1.05,-0.6,-0.63,0.71,0.69,0.38,0.29
"39","30","  Other structures","A863RW2",-0.72,-3.44,-1.63,1.96,10.38,-0.06,-4.58,-0.28,-1.01,5.11,2.25,-0.73,-3.1,-1.01,1.23,3.92,28.14,3,1.82,-2.17,1.18,-0.22,1.57,0.66,0.64,1.64,1.04,0.14,-0.44,3.5,0.72,0.37,0.11,1.37,0.6,-0.02,-0.24,-0.02,0.79,0.36,0.17,2.22,1.56,-0.35,-0.4,1.38,2.68,1.89,1.88,0.19,-1.28,-1.72,-2.36,2.63,1.87,1.12,2.45,0.61,0.64,-0.91,-1.55,-0.7,2.4,2.5,1.7,0.39,1.63,0.97
"40","31","    Manufactured homes","A945RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.15,-0.39,0.08,0.03,0.28,0.02,0.06,0.42,0.44,0.1,-0.03,0.17,-0.02,-0.01,0.28,0.3,0.44,0.31,0.18,0.23,0.78,0.64,-0.13,1.01,0.86,0.2,-1.04,-0.85,0.42,0.42,0.07,0.01,-0.34,0.04,-0.1,0.5,0.03,-0.08,-0.22,-0.03,-0.08,-0.08,-0.08,-0.15,0.28,0.37,0.36,0.28,0.24,0.08
"41","32","    Dormitories","C295RW2",-0.15,-0.64,-0.17,-0.07,0.12,0.09,0.09,0.12,-0.06,0.13,-0.02,-0.02,-0.23,-0.29,0.09,0.12,0.65,-0.1,0.03,0.04,-0.02,0,-0.01,0.09,0.03,0.03,0.08,0.04,0.12,0.04,-0.01,0.18,0.44,-0.15,0.19,0.08,-0.07,-0.2,-0.14,-0.13,-0.15,-0.09,-0.07,0.01,-0.02,0.06,-0.08,-0.05,0.02,-0.02,0.01,0.03,0.02,0.02,0.02,-0.01,0.01,0.05,-0.01,0.01,0.02,-0.12,0.02,0.04,-0.05,0.03,0.01,0.04
"42","33","    Improvements","A946RW2",-0.39,-2.22,-1.4,2.66,2.92,3.4,1.58,-0.17,-1,0.75,0.1,0.2,-3.07,-2.38,1.9,5.05,22.75,2.97,2.18,-1.62,0.85,-0.35,1,0.59,0.18,1.12,0.71,0.61,-0.21,1.74,0.89,0.29,-1.19,0.46,-0.01,-0.28,0.27,0.13,-0.28,-0.16,0.37,0.55,0.2,-0.75,0.69,1.41,1.23,0.58,1.32,0.31,0.16,-0.97,-1.61,0.64,1.47,0.78,2.3,0.64,0.19,-0.4,-1.16,-0.59,1.58,1.99,0.96,-0.01,0.7,0.29
"43","34","    Brokers' commissions on sale of structures","A758RW2",-0.26,-0.58,-0.02,-0.75,7.1,-3.11,-1.04,-0.17,-0.34,0.19,0.57,-0.02,-0.09,0.27,1.18,0.61,3.17,-0.5,-0.51,0.02,0.37,0.12,0.3,0.05,0.36,0.24,-0.15,-0.12,0.31,0.75,-0.26,0.06,0.48,0.5,0.14,0.08,-0.3,-0.01,0.35,-0.06,0.2,0.98,0.52,0.07,-0.24,0.33,1.08,1.01,0.51,-0.19,-1.08,-0.82,-0.65,1.41,0.43,0.52,0.6,-0.08,0.2,-0.37,-0.27,0.14,0.51,0.2,0.24,0.08,0.75,0.67
"44","35","    Net purchases of used structures","A759RW2",0.07,0.01,-0.04,0.12,0.23,-0.44,-5.22,-0.06,0.39,4.04,1.6,-0.9,0.29,1.38,-1.94,-1.87,-0.04,0.13,-0.04,-0.22,-0.1,-0.03,0.01,-0.09,0.01,-0.17,-0.05,-0.49,-0.64,0.82,0.13,-0.15,0.1,0.25,-0.17,-0.21,-0.31,-0.17,0.08,0.06,-0.11,-0.22,0.05,0.11,0.21,0.44,0.03,-0.07,-0.04,0.09,-0.03,-0.01,-0.02,0.05,-0.08,-0.09,-0.25,0.03,0.34,-0.06,-0.06,0.02,0,-0.1,0.19,0.01,-0.08,-0.11
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","36","  Private fixed investment in new structures \5\","W040RW2",-24.73,-28.39,-42,-20.97,14.07,26.65,35.36,18.52,-10.75,19.98,11.07,11.69,-44.73,-35.09,11.6,27.26,157.49,12.78,15.64,-5.26,25.37,-8.33,-1.57,5.72,5.96,11.94,-0.17,-3.03,-1.71,13.93,-0.95,0.99,7.04,6.51,7.61,4.56,-1.44,-2.88,7.06,4,-3.13,12.39,10.73,2.53,-12.98,-12.61,12.2,12.83,9.06,3.2,-7.91,1.36,-8.02,7.55,14.07,3.81,0.1,-0.15,-0.94,-0.42,-3.72,-10.54,4.02,4.33,6.1,0.32,6.39,3.37
