"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",10.5,7.3,2.9,-0.1,-0.1,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.1,20.3,24.6,24.5,19.9,17.1,22.7,29.9,27.9,34.7,39.5,37.4,37.9,36.9,47.2,45.7,45.3,41,53,50.6,51.5,59.5,64.9,72,82.8,88.7,86.6,93.2,88.8,76.5,90.2,102.6,110.6,98.3,120.2,146.8,173.3,193.8,188.6,165.7,196.4,177.1,229.2,282,292.2,280,320.8,375.7,359.5,361.7,374.7,406.2,465,523.2,603.9,684.3,757.5,698.7,729.8,672.2,597.6,730.5,827.7,1006.3,1133.7
"19","12","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.7,218.7,231.7,246.1,248.3,258.6,265.2,204.1,192.6,243.3,300.1,399.3
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",9.2,6.5,2.4,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.7,7.5,8.9,10.5,11.6,9.2,8,11.4,17.5,17.7,16.8,16.9,18,17.6,19.3,25.1,23.7,23.8,22,29.2,27.9,28.6,35.4,38.5,43.8,51.7,54.8,53.7,53.5,48.8,41.8,52,60.2,60.6,45.5,68.6,81.5,98.9,108.9,98.6,78.5,112.1,110.6,148.5,184.5,192.8,170.4,190.4,234,213.4,216.3,236.1,257.5,294,329.5,385.2,452.6,511.5,450.4,471.1,407,393.5,537.9,584.4,706.2,734.4
"21","14","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,159.9,182.2,197.4,221.6,257.3,283.9,309.2,295.7,348.4,330.1,351.3,392.8,492.7,338.7
"22","15","        Undistributed profits with IVA and CCAdj","W274RC1",3.6,1.1,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.8,0.8,1.3,3,3.3,4.8,6.3,7.2,4.9,2.9,5.8,11.3,11.3,9,9.5,10.5,9.9,11.4,16.2,14.2,14,12.2,18.5,16.4,17.1,23,25,28.9,34.8,37,35.3,33.4,28.4,21.4,31.7,38.3,37.5,22.1,42.2,51.4,65.2,69.3,57.1,31.1,53.8,49.2,77.2,106,107.1,82.1,94.8,136,87,72.2,79.8,97.7,111.7,132,163.7,195.3,227.6,141.2,175.5,58.6,63.4,186.5,191.6,213.6,395.7
"23","16","    Gross value added of financial corporate business \1\","A454RC1",4,2.9,2.4,2.1,1.9,2,2.2,2.5,2.6,2.8,2.9,3,3.3,3.4,3.8,4,4.2,5.1,5.3,6.1,6.8,7.3,8.2,9.2,10.2,10.8,11.8,12.9,13.8,14.7,15.9,17.5,18.4,19.3,19.7,21.6,23.2,25.1,28.1,31.3,36.2,39.4,43.1,47.3,51.8,60,67.8,73.2,85.8,103.6,114.7,128.8,147.3,165.2,188,210.5,233.3,262.3,280.8,299.7,322.7,340.5,369.2,407.1,427,433.9,475,517,581.8,658.6,704.1,779.6,805.9,854.1,898.5,940.3,987.3
"24","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",50.4,44.9,35.1,25.4,24.7,31.1,34.5,39.7,45.2,39.7,43.9,50.4,65.8,83.1,98.8,102.3,95.5,99.4,120.6,138.4,134.7,153.1,175.7,183.4,195.9,192.9,217.7,232.7,243.1,237.1,266,276.4,283.7,309.8,329.9,356.1,391.2,429,451.2,497.8,540.5,558.3,603,669.5,750.8,809.8,876.7,989.7,1119.4,1272.9,1415.9,1537.1,1746,1806.2,1933,2167.5,2302,2387.5,2557.1,2771.6,2912.3,3041.5,3099.7,3236,3397.8,3669.5,3879.5,4109.5,4401.8,4655,4950.8,5272.2,5293.5,5371.7,5558.4,5932.9,6369.7
"25","18","Consumption of fixed capital","B456RC1",4.7,4.6,4.2,3.8,3.5,3.6,3.6,3.6,4.1,4.1,4.1,4.3,4.7,5.3,5.4,5.6,5.9,6.8,8.4,9.8,10.6,11.3,12.9,13.6,14.4,15.2,16.1,18.1,19.9,21,21.1,22.6,23.2,23.9,25.2,26.4,28.4,31.5,34.3,37.6,42.4,46.8,50.7,56.4,62.7,74.1,87.9,97,110.5,127.8,147.3,168.2,191.5,211.2,217.6,230.7,247.4,255.3,266.5,281.6,301.6,319.2,341.4,353.6,363.4,391.5,415,436.5,467.1,493.3,523.8,567.8,646.8,643.6,657.5,686.2,739.7
"26","19","Net value added","A457RC1",45.7,40.3,30.8,21.6,21.1,27.5,30.9,36.1,41.2,35.6,39.8,46.2,61.1,77.7,93.4,96.7,89.6,92.6,112.2,128.6,124.2,141.8,162.9,169.7,181.6,177.7,201.7,214.6,223.2,216.2,244.9,253.8,260.5,285.9,304.7,329.7,362.8,397.4,416.8,460.2,498.1,511.5,552.4,613.2,688.1,735.7,788.7,892.7,1008.8,1145.1,1268.6,1368.9,1554.5,1594.9,1715.4,1936.8,2054.6,2132.2,2290.6,2490,2610.7,2722.3,2758.3,2882.3,3034.4,3278,3464.5,3673,3934.7,4161.7,4427,4704.3,4646.7,4728.2,4900.9,5246.7,5630.1
"27","20","  Compensation of employees","A460RC1",32.1,28.8,23.5,17.4,16.6,19.6,21.5,24.6,28.8,25.5,28,31,39.6,50.8,62,64.8,61.7,66.9,78.8,87.5,84.9,94.4,109.8,117.8,128.2,125.9,137.9,150.8,158.4,155.2,170.8,180.4,184.5,199.3,210.1,225.7,245.4,272.9,291.1,321.9,357.1,376.5,399.4,443.9,502.2,552.2,575.5,651.4,735.3,845.3,959.9,1049.8,1161.5,1203.9,1266.9,1406.1,1504.2,1583.1,1687.8,1812.8,1914.7,2012.9,2048.4,2154.1,2244.8,2381.5,2509.8,2630.8,2812.9,3045.6,3267.7,3544.4,3595.9,3611.9,3703.2,3873.4,4099.7
"28","21","    Wage and salary accruals","B461RC1",31.8,28.4,23.2,17.1,16.3,19.3,21.2,24.1,27.6,24.2,26.6,29.5,37.8,48.6,59.3,61.8,58.6,63.6,74.8,83.4,80.7,88.9,103.1,110.5,120.4,117.7,128.5,140.1,146.5,143.3,156.9,165.1,168.6,181.2,190.6,204.5,222.2,245.2,261.6,288.1,318.8,334.9,353.5,389.9,437.3,478.5,495.1,554.6,621.6,709.1,804,877.2,968.1,998.5,1048.6,1166.2,1251.1,1315,1406.1,1514.1,1598.5,1680.3,1697.2,1774.8,1840.3,1950.7,2076.7,2197,2367.9,2567.2,2758,2989.8,3016.5,2969.9,3019.4,3158.4,3335.1
"29","22","    Supplements to wages and salaries","B462RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,1.2,1.3,1.4,1.5,1.9,2.2,2.7,3.1,3,3.2,4,4,4.2,5.4,6.8,7.2,7.8,8.2,9.4,10.7,11.9,11.9,13.9,15.4,15.9,18.1,19.5,21.1,23.2,27.6,29.4,33.7,38.3,41.5,46,54,64.8,73.7,80.4,96.8,113.7,136.2,155.9,172.5,193.4,205.4,218.3,239.9,253.1,268.1,281.7,298.6,316.2,332.6,351.2,379.3,404.5,430.8,433.1,433.8,445.1,478.4,509.7,554.5,579.3,642,683.8,714.9,764.6
"30","23","  Taxes on production and imports less subsidies","W325RC1",3,3,2.8,2.9,3.4,4,4.1,4.3,4.5,4.5,4.7,5,5.9,6.3,6.6,7.3,8.1,9.5,11.2,12.4,13,14.4,15.4,16.8,17.9,17.3,19.2,20.8,22,22.3,24.4,26.6,27.6,29.9,31.7,33.9,36,37,39.3,45.5,50.2,54.2,59.5,63.7,70.1,74.4,80.2,86.7,94.6,102.7,108.8,121.5,146.7,152.9,168,185,196.6,204.6,216.8,233.8,248.2,263.5,285.7,302.5,318.8,349.6,356.9,369.1,385.5,398.7,416.6,443.4,439.1,465.5,488.5,522.9,558.1
"31","24","  Net operating surplus","W326RC1",10.6,8.5,4.5,1.3,1.1,3.9,5.3,7.2,7.9,5.6,7.1,10.1,15.5,20.7,24.7,24.5,19.9,16.2,22.2,28.7,26.3,33.1,37.7,35.2,35.5,34.4,44.6,43,42.7,38.6,49.7,46.8,48.4,56.8,62.9,70.2,81.4,87.6,86.4,92.8,90.8,80.7,93.4,105.6,115.8,109.1,133.1,154.7,178.9,197,200,197.6,246.4,238.1,280.5,345.7,353.8,344.5,386,443.4,447.9,445.8,424.2,425.7,470.8,546.9,597.8,673.1,736.3,717.4,742.7,716.5,611.8,650.8,709.2,850.4,972.2
"32","25","    Net interest and miscellaneous payments","B471RC1",1.4,1.6,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.3,1.2,1.2,1.1,1,0.9,0.7,0.8,0.8,1,0.9,1,1.2,1.3,1.6,1.6,1.8,2.2,2.8,2.9,3.2,3.7,4.3,4.7,5.2,5.8,7,8.4,9.7,12.7,16.6,17.6,18.6,21.8,27.5,28.4,26,28.5,33.4,41.8,54.2,67.2,77.4,77,86,91.5,95.1,96.4,109.8,142,146.2,135.9,111.3,102,101,115.2,111.9,124,143.8,160.2,191.7,204,167.4,152.6,137.8,156.6
"33","26","    Business current transfer payments","W327RC1",0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.5,0.6,0.6,0.6,0.6,0.8,0.9,1,0.9,1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.7,2,2.2,2.7,2.8,3.1,3.2,3.3,3.7,4,4.7,4.1,5,7,9,9.5,9.5,10.2,11.4,8.8,10.5,11.7,16.1,27.3,29.9,27.4,23,25.4,26.7,25.2,29.6,30,30.2,38,39,35.2,45,48.4,50.6,54,64.4,60,51.4
"34","27","    Corporate profits with IVA and CCAdj","A463RC1",8.9,6.6,2.4,-0.8,-0.9,1.9,3.3,5.2,6,3.8,5.3,8.5,13.9,19,23.2,22.9,18.2,15,20.9,27.3,24.8,31.6,35.9,33.1,33.2,31.9,41.9,40.2,39.4,34.6,45.5,42.2,43.2,50.8,56.5,63,73.3,77.9,75.2,80,74.9,60.9,72.1,83,89.4,77.5,99.6,121.7,141.4,154.1,148.8,133.2,167.7,151.9,192.9,248,246.3,222.1,259.7,306.2,282.9,274.3,261.5,289.2,339.2,415.9,452.5,523.2,573.4,538.3,537.6,476.4,357.2,429.4,492.1,652.6,764.2
"35","28","      Taxes on corporate income","B465RC1",1.1,0.7,0.5,0.3,0.5,0.7,0.9,1.3,1.4,0.9,1.3,2.7,7.4,11.1,13.7,12.6,10.2,8.6,10.8,11.7,9.3,16.8,21.1,17.7,18.4,15.5,20.1,19.9,19,16.1,20.7,19.1,19.4,20.6,22.8,23.9,27.1,29.5,27.8,33.5,33.3,27.3,30,33.8,40.4,42.8,41.9,53.5,60.6,67.6,70.6,68.2,66,48.8,61.7,75.9,71.1,76.2,94.2,104,101.2,98.5,88.6,94.4,108,132.9,141,153.1,161.9,158.6,171.2,170.2,111.7,97,135.7,185.3,251.4
"36","29","      Profits after tax with IVA and CCAdj","W328RC1",7.8,5.9,1.9,-1.2,-1.4,1.2,2.4,4,4.6,2.9,4,5.8,6.5,7.9,9.4,10.3,8.1,6.5,10.1,15.6,15.5,14.8,14.8,15.5,14.9,16.4,21.8,20.2,20.4,18.6,24.8,23.1,23.8,30.2,33.8,39.2,46.2,48.4,47.3,46.5,41.6,33.6,42.1,49.2,49,34.7,57.7,68.2,80.9,86.6,78.1,65,101.7,103.1,131.2,172,175.2,145.9,165.5,202.3,181.7,175.8,172.9,194.8,231.2,283.1,311.4,370.1,411.5,379.7,366.3,306.2,245.5,332.3,356.4,467.4,512.9
"37","30","        Net dividends","B467RC1",5.1,5,3.8,2.4,2,2.7,3.2,4.3,4.4,2.7,3.4,3.7,4.1,3.8,3.9,4.1,4.1,4.9,5.4,5.9,6,7.4,7,7.1,7.2,7.4,8.4,9,9.2,9.1,9.8,10.5,10.6,11.6,12.4,14,16.2,16.8,17.3,19,19,18.3,18.1,19.7,20.8,21.5,24.6,27.8,30.9,35.9,37.6,44.7,52.5,54.1,63.2,67.2,72,72.9,76.3,82.2,105.4,118.3,125.5,134.1,149.1,157.9,178,197.5,215.9,241,224.6,251.3,245.4,254.8,292.7,366.9,228.5
"38","31","        Undistributed profits with IVA and CCAdj","W332RC1",2.7,0.9,-1.8,-3.6,-3.4,-1.4,-0.7,-0.3,0.2,0.1,0.6,2.1,2.4,4.1,5.5,6.3,4,1.6,4.8,9.7,9.5,7.4,7.7,8.4,7.6,9,13.4,11.2,11.2,9.5,15,12.6,13.2,18.6,21.3,25.2,30,31.6,30.1,27.5,22.5,15.3,24,29.5,28.2,13.1,33.2,40.5,50,50.6,40.5,20.4,49.2,49,68,104.8,103.2,73,89.2,120.1,76.4,57.5,47.4,60.7,82.1,125.2,133.5,172.6,195.6,138.7,141.7,54.8,0.1,77.5,63.8,100.5,284.4
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","32","    Profits before tax (without IVA and CCAdj)","A446RC1",10.4,4.2,0.4,-1.4,1.7,3,4.1,6.8,7.2,4.1,7.3,10.2,18,21.7,25.2,24,19.7,24.2,31,34.6,28.5,42,43,38.3,39.9,37.4,47.5,47.6,46,40.4,51,48.5,48.3,53.2,58,64.6,75.4,82.2,78.8,86.8,84.8,73.9,85,98.3,120,130.3,130.9,163.2,191.3,223.3,237.3,218,214.1,166,198.8,232,219.3,206.5,269.6,329.1,316.6,333.4,346.5,388,440.2,500,581.5,631.2,687.2,615.3,654.4,627.7,538.2,612.6,742.6,968,1321.7
"42","33","    Profits after tax (without IVA and CCAdj)","A448RC1",9,3.3,-0.1,-1.8,1.2,2.3,3.1,5.4,5.7,3.1,5.9,7.3,10.3,10.3,11.1,11.1,9,15.1,19.7,22.2,18.3,24,20.5,18.9,19.6,19.8,25.5,25.6,24.6,21.5,27.3,25.7,25.4,29.1,31.6,36.5,44.4,48.3,45.9,47.2,44.8,39.1,46.8,55.9,70,77.5,79.3,97.9,116.9,138.4,147.3,130.8,129.7,99.5,118.2,134.5,119.9,96.8,139.2,187.5,170.5,188,207.9,239.3,269.1,306.2,362.8,399.5,441.2,367,395.7,362.5,334.1,420,499.3,667.9,922.4
"43","34","    Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,20.2,1,-14.1,11.3,-2.2,-13.6,-39.8,-32.6
