"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"23","40","    Miscellaneous durable goods manufacturing","KS339W0",4204,4050,4031,3941,3945,3990,3944,3930,3957,3985,4058,3972,3975,3927,4021,4032,3973,4006,4053,3977,3940,3892,3938,3853,3850,3873,3860,3881,3917,3874,3847,3862,4021,3901,3891,3975,3918,3965,3972,4052,4053,4078,4113,4114,4263,4246,4245,4210,4276,4354,4156,4144,4232,4266,4306,4259,4217,4124,4066,4006,4033,3983,3926,4001,4005,4012,3905,3963,3992,4041,4071,4072,4128,4148,4251,4143,4259,4397,4722,4595,3968,3939,4232,4211,4136,4270,4318,3965,3975,4028,4039,4010,4025,4276,4232,4248,4139,4389,4241,4573,4441,4354,4282,4386,4279,4237,4216,4327,4271,4267,4184,4295,4218,4200,4399,4373,4389,4450,4401,4410,4418,4386,4317,4308,4363,4350,4371,4377,4436,4518,4451,4454,4535,4456,4478,4456,4445,4545,4519,4475,4487,4527,4527,4497,4490,4521,4454,4365,4345,4221,4262,4221,4180,4229,4275,4324,4294,4324,4351,4428,4422,4484,4467,4466,4501,4498,4424,4461,4497,4480,4456,4442,4428,4422,4405,4433,4423,4400,4440,4451,4429,4390,4449,4469,4503,4501
"24","41","  Nondurable goods industries","KS30NW0",32376,32502,32573,32966,33502,33263,33344,33903,34196,34600,34752,35026,34434,34717,34448,34936,35019,34794,34716,34259,33996,33900,34436,34135,34344,34555,34531,35465,35901,35670,35206,34521,34665,35207,35554,35802,35419,35481,35452,35837,35656,36056,36470,36027,35873,36628,36245,36043,36137,35872,35499,35656,35663,35165,35011,35257,35783,35133,34600,34757,34935,34856,34756,34566,34690,34464,34885,35642,35753,35434,35323,35085,34883,35288,35405,35000,35090,35384,35720,35821,35604,35682,36033,35063,35172,35455,35772,35885,35353,35764,35259,35321,34771,34995,34991,35459,34903,35677,36160,35476,35007,35453,35542,35727,36208,36735,36708,36368,37930,36369,36526,37560,36439,38282,38125,38166,37492,37881,38289,38107,38223,38460,38786,38970,39446,39570,39287,38827,39351,39944,40542,41337,43699,44910,44493,43769,44482,43459,44244,43697,43205,41362,41025,39408,40005,39343,39855,39532,39459,39261,38776,39219,39144,39298,39253,39245,38467,38990,39296,39037,37832,37587,37451,37915,37585,38098,38078,38939,38864,38914,38522,39611,38981,39051,38610,37541,37633,38233,38245,38329,38775,38926,38463,37152,37673,37142
"25","42","    Food manufacturing","KS311W0",5805,5887,5802,5837,5968,5891,5859,5959,5925,5990,5995,5951,5790,5786,5652,5747,5771,5693,5687,5730,5606,5558,5563,5540,5619,5643,5629,5605,5559,5591,5591,5530,5607,5605,5707,5673,5675,5725,5809,5844,5915,5871,5862,5840,5843,5640,5733,5831,5828,5786,5728,5653,5640,5635,5460,5520,5582,5646,5666,5534,5556,5669,5521,5518,5533,5584,5652,5641,5554,5580,5606,5632,5554,5771,5795,5767,5754,5685,5689,5641,5629,5519,5489,5539,5545,5510,5468,5474,5527,5427,5455,5479,5431,5452,5351,5486,5248,5517,5556,5608,5582,5395,5350,5363,5397,5588,5636,5587,5573,5558,5559,5473,5524,5587,5576,5533,5486,5995,5906,5739,5731,5737,5687,5711,5772,5773,5869,5943,5845,5728,5630,5741,5889,5819,5756,5804,5780,5715,5687,5688,5862,5907,5883,5819,5925,5877,6110,5913,5889,5838,5837,5763,5795,5908,5851,5834,5763,5774,5752,5652,5683,5740,5717,5833,5829,5895,5896,5875,5764,5810,5723,5744,5768,5782,5771,5695,5631,5602,5654,5653,5732,5686,5738,5767,5829,5818
"26","43","    Beverage and tobacco product manufacturing","KS312W0",895,949,1080,1080,1210,1194,1326,1554,1591,1609,1546,1671,1682,1742,1834,1886,1820,1842,1796,1539,1404,1452,1529,1678,1726,1778,1692,1735,1676,1702,1623,1540,1384,1545,1504,1550,1655,1670,1663,1833,1816,1933,1987,1931,1940,1958,1960,2090,2025,2136,2036,2127,2163,2197,2298,2369,2386,2349,2343,2302,2377,2376,2348,2269,2239,2184,2158,2269,2392,2364,2313,2272,2231,2217,2175,2209,2205,2118,2238,2215,2323,2342,2324,2344,2346,2275,2153,2084,2126,2118,2035,2258,2360,2168,1999,2119,2155,2071,2069,2025,2192,2236,2261,2133,2115,2437,2497,2464,2413,2421,2377,2406,2326,2374,2345,2379,2318,2401,2483,2467,2428,2536,2554,2604,2622,2549,2568,2526,2495,2490,2518,2497,2535,2494,2473,2470,2436,2423,2430,2489,2529,2425,2431,2470,2553,2675,2777,2828,2853,2957,2938,3025,3088,3134,3084,3096,3035,3021,2979,2896,2924,2943,2911,2768,2628,2710,2706,2715,2728,2760,2761,2803,2789,2770,2807,2744,2716,2823,2841,2842,2826,2803,2830,2858,2808,2808
"27","44","    Textile mills","KS313W0",1757,1731,1697,1726,1721,1689,1700,1709,1703,1716,1709,1687,1672,1676,1676,1678,1623,1655,1681,1686,1684,1656,1654,1643,1650,1625,1653,1654,1633,1610,1631,1602,1611,1632,1651,1636,1619,1594,1576,1602,1603,1593,1520,1547,1532,1533,1506,1517,1566,1543,1506,1504,1440,1474,1432,1406,1419,1420,1436,1406,1395,1405,1388,1352,1345,1346,1332,1349,1270,1282,1273,1306,1325,1313,1287,1287,1340,1341,1328,1321,1313,1296,1285,1294,1291,1283,1297,1309,1278,1260,1266,1276,1275,1275,1276,1263,1263,1265,1252,1205,1228,1246,1257,1256,1252,1303,1287,1246,1269,1258,1292,1283,1243,1232,1248,1241,1234,1234,1219,1205,1201,1197,1135,1147,1135,1151,1154,1140,1139,1128,1127,1115,1099,1048,1079,1061,1081,1045,1082,1082,1070,1053,1066,1021,989,974,976,957,958,924,901,906,895,899,904,892,891,884,879,883,883,884,878,884,893,881,884,876,881,885,882,901,900,901,916,910,906,927,922,921,904,901,899,895,890,884
"28","45","    Textile product mills","KS314W0",737,772,775,770,795,799,794,794,805,804,795,816,810,815,809,806,804,800,796,800,784,782,778,778,757,769,794,802,822,838,824,819,825,832,834,841,839,846,845,839,846,831,854,855,876,864,867,861,853,851,841,856,843,858,845,837,839,821,822,823,805,806,797,792,780,762,753,757,738,738,732,714,725,731,747,732,736,739,741,742,730,713,703,711,724,709,707,703,707,706,700,702,693,703,693,699,705,704,703,696,705,711,712,712,719,732,729,728,727,724,721,718,701,697,701,688,689,678,674,689,680,686,664,671,678,680,676,671,677,684,692,683,689,694,682,675,671,666,678,683,678,698,675,670,637,625,607,589,577,583,587,584,589,579,582,580,576,574,571,572,572,571,560,566,565,561,567,574,578,570,574,571,563,554,562,566,561,566,561,573,561,556,556,540,543,545
"29","46","    Apparel manufacturing","KS315W0",1685,1715,1727,1743,1757,1798,1845,1820,1809,1834,1849,1895,1843,1785,1767,1758,1808,1771,1781,1800,1785,1760,1768,1736,1695,1716,1723,1799,1797,1863,1860,1904,1864,1952,1945,1915,1946,1963,1966,1898,1924,1915,1945,1913,1904,1854,1882,1826,1850,1786,1729,1758,1704,1610,1519,1465,1458,1459,1434,1363,1357,1365,1348,1318,1404,1413,1423,1418,1312,1317,1362,1353,1370,1356,1353,1346,1336,1357,1364,1334,1296,1301,1333,1309,1288,1280,1272,1279,1263,1264,1268,1262,1260,1251,1235,1200,1199,1187,1187,1184,1176,1169,1175,1176,1184,1192,1167,1151,1143,1137,1178,1134,1134,1100,1099,1095,1087,1106,1123,1131,1099,1110,1121,1115,1100,1102,1107,1095,1093,1083,1074,1073,1101,1044,1027,1032,1029,1021,1021,1020,1010,1009,1006,1009,995,993,990,980,973,976,975,968,969,972,979,974,978,973,967,962,973,986,983,985,993,986,982,979,983,989,980,968,978,984,987,997,978,985,982,984,982,983,991,989,989,987
"30","47","    Leather and allied product manufacturing","KS316W0",358,371,383,393,388,388,368,371,378,390,416,386,390,399,378,377,372,362,367,358,356,358,366,368,364,360,346,358,351,358,360,358,375,388,382,367,360,361,342,345,350,362,349,357,374,351,355,344,352,332,342,332,327,320,314,319,319,309,308,300,255,342,326,310,302,288,297,267,263,248,273,268,253,248,251,245,248,240,244,237,239,248,258,248,253,243,238,237,232,229,226,230,231,240,237,243,244,245,246,247,241,240,229,247,250,226,231,242,265,261,257,258,253,257,245,246,242,231,234,232,234,238,236,237,237,242,224,225,228,231,230,232,230,227,229,282,273,261,250,247,244,240,238,227,218,215,219,214,213,211,216,213,215,211,214,216,224,218,214,214,216,220,222,223,224,227,225,230,230,233,235,237,239,238,238,241,242,243,249,248,246,244,245,245,246,246
"31","48","    Paper manufacturing","KS322W0",1727,1745,1774,1767,1770,1754,1727,1732,1768,1750,1721,1793,1791,1772,1735,1727,1698,1619,1621,1624,1582,1560,1557,1633,1644,1667,1677,1650,1657,1685,1662,1666,1715,1717,1766,1740,1758,1751,1684,1683,1665,1715,1699,1697,1698,1685,1658,1653,1652,1690,1563,1574,1629,1617,1649,1682,1676,1700,1661,1656,1694,1676,1696,1755,1745,1778,1799,1857,1751,1728,1751,1761,1749,1729,1717,1728,1705,1731,1712,1715,1750,1757,1766,1694,1729,1662,1651,1658,1682,1662,1672,1683,1645,1661,1665,1643,1636,1665,1696,1681,1678,1662,1635,1680,1686,1699,1713,1692,1695,1733,1748,1740,1753,1739,1772,1748,1767,1801,1839,1780,1782,1766,1761,1776,1778,1775,1773,1768,1770,1739,1715,1813,1750,1751,1763,1757,1767,1789,1760,1785,1785,1783,1793,1683,1606,1745,1734,1681,1675,1694,1652,1659,1640,1654,1670,1658,1652,1653,1645,1676,1665,1640,1684,1694,1696,1690,1689,1682,1707,1697,1690,1685,1657,1683,1697,1672,1685,1705,1691,1643,1665,1663,1648,1634,1637,1624
"32","49","    Printing and related support activities","KS323W0",1509,1409,1289,1408,1439,1355,1407,1552,1520,1496,1573,1466,1344,1381,1257,1414,1494,1467,1477,1354,1414,1310,1268,1318,1351,1329,1382,1635,1526,1515,1524,1252,1341,1373,1449,1490,1502,1553,1406,1354,1386,1392,1293,1332,1362,1429,1428,1362,1392,1369,1407,1324,1355,1384,1359,1372,1354,1189,1125,1221,1279,1201,1319,1399,1389,1483,1486,1457,1373,1426,1420,1316,1319,1296,1319,1221,1161,1139,1149,1178,1113,1083,1204,1218,1143,1171,1149,1164,1307,1170,1167,1222,1219,1248,1195,1190,1105,1167,1151,1162,1193,1183,1223,1172,1218,1172,1206,1205,1234,1217,1132,1128,1127,1139,1186,1169,1235,1259,1218,1220,1242,1227,1274,1276,1273,1299,1263,1281,1313,1321,1310,1306,1196,1253,1264,1236,1242,1206,1180,1148,1113,1053,1087,1048,980,936,959,948,937,925,932,947,931,925,908,949,944,966,945,925,944,969,884,864,876,869,925,947,941,930,925,914,861,873,881,894,870,871,838,827,815,803,795,814,806,803
"33","50","    Petroleum and coal product manufacturing","KS324W0",6152,6132,6234,6370,6381,6438,6422,6641,6829,6953,7186,7091,6820,7160,7127,7077,7131,7111,7014,6710,7004,7056,6918,6761,6637,6442,6733,6871,6816,6720,6590,6835,6741,6545,6885,6815,6799,6720,6622,6837,6800,7014,6925,6843,6877,7428,6965,6868,6925,6998,6976,6983,7211,6985,6876,6912,7238,6745,6794,7059,6649,6075,7310,7328,7316,7351,7012,7090,6932,6599,6315,6714,6544,6499,6728,6324,5905,6408,6520,6555,6287,6634,6435,6132,6508,6716,6767,6984,6197,6531,6660,6262,6234,6730,6710,6324,6503,6785,6916,6541,5819,6276,6477,6620,6954,7048,7013,6735,7851,6512,6530,7337,6496,7967,7878,7895,6679,6632,7088,7248,6960,7111,7540,7909,7959,7936,7435,7188,7578,8211,8399,8943,10067,11495,11519,11153,11637,11068,11653,11359,11167,9502,9642,7616,8644,7553,7633,7757,7791,8538,8093,8319,8156,8148,8242,8570,8416,8767,8874,8889,7943,7710,7662,8020,7761,7929,8307,8735,8663,8758,8677,9631,9139,9124,8967,8367,8560,8743,8821,8941,8943,9236,8911,8123,8503,8066
"34","51","    Chemical manufacturing","KS325W0",9312,9305,9394,9483,9566,9498,9425,9353,9453,9738,9726,9953,9925,9988,9975,10147,10208,10172,10154,10111,10033,10169,10667,10197,10257,10480,10317,10701,11385,11071,10799,10494,10619,10906,10868,11108,10727,10745,10885,10970,10774,10949,11538,11208,11018,11557,11563,11194,11121,10879,10957,11105,11075,10738,10860,10980,11259,11058,10647,10882,11139,11275,10735,10670,10773,10640,11127,11673,12237,11988,11946,11476,11510,11776,11739,11743,12137,12182,12401,12618,12518,12544,12925,12213,12111,12445,12874,12892,12731,13095,12559,12601,12079,12043,12366,12966,12522,12744,13013,12769,12787,13003,12905,13036,13106,12977,12896,12991,13302,13211,13392,13571,13533,13638,13498,13635,14330,14140,14058,13950,14419,14392,14324,14032,14355,14552,14741,14531,14750,14741,15235,15082,16040,15320,14973,14771,14894,14987,15010,14951,14681,15136,14771,15260,15140,15122,15281,15140,15126,14270,14286,14469,14498,14503,14467,14123,13643,13777,14041,13922,13685,13569,13573,13628,13690,13927,13459,13813,13835,13726,13679,13453,13487,13502,13246,13076,13072,13356,13234,13223,13623,13454,13358,13036,13000,13025
"35","52","    Plastics and rubber product manufacturing","KS326W0",2447,2472,2456,2451,2519,2521,2501,2491,2564,2511,2533,2544,2520,2539,2589,2581,2577,2608,2587,2668,2686,2653,2654,2674,2740,2692,2707,2735,2713,2701,2698,2684,2700,2671,2647,2715,2587,2563,2654,2689,2622,2576,2564,2557,2514,2533,2408,2561,2645,2613,2562,2584,2510,2514,2538,2529,2496,2512,2509,2479,2458,2397,2338,2248,2239,2029,2076,2070,2084,2211,2282,2388,2380,2408,2406,2408,2412,2465,2371,2313,2374,2344,2323,2303,2276,2255,2306,2262,2267,2358,2342,2340,2331,2273,2326,2326,2355,2375,2417,2386,2380,2336,2324,2332,2298,2339,2315,2327,2348,2366,2366,2449,2409,2398,2441,2404,2437,2421,2437,2420,2448,2451,2460,2436,2486,2471,2485,2498,2476,2453,2457,2487,2405,2460,2447,2473,2475,2443,2441,2434,2403,2387,2404,2282,2299,2309,2241,2253,2206,2197,2206,2208,2218,2215,2188,2157,2169,2160,2184,2205,2221,2267,2279,2314,2303,2279,2259,2278,2356,2330,2170,2166,2217,2281,2221,2186,2167,2163,2170,2146,2168,2163,2172,2168,2225,2220
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2005 equals the current-dollar change in inventories for 2005 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
