"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","5","  Taxes on corporate income","W025RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.4,25.6,23,22.5,25,23,21.9,20.8,20.6,22,23.3,25.3,23.8,23.5,24.2,24.3,24.4,26.1,26.9,27.5,27.7,27.8,28.4,28,29.4,30.3,30.9,32.9,34,34,33.6,33,32.3,32,32.2,34.2,38.5,39.2,39.4,40.4,41.2,40.1,38.8,38.5
"14","6","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"15","7","Contributions for government social insurance","W782RC1",6.3,6,5.2,4.8,4.8,4.6,4.6,4.5,5.2,5.1,4.8,4.5,5.3,5.3,5.5,5.8,6.6,6.7,6.6,6.7,7,6.8,6.9,7.1,7.1,7.2,7.2,7.1,8.1,8.1,8.1,8.2,8.9,9.1,9.2,9.3,9.9,10,10,10.2,11.4,11.5,11.5,11.4,11.4,11.3,11.5,11.6,13.7,13.9,13.9,14,16.5,16.5,16.5,16.4,16.8,17,17.1,17.4,18.9,19.2,19.3,19.3,21.4,21.6,21.8,22.1,22.1,22.3,22.6,22.8,23,23.3,23.6,24.1,30.5,30.9,32,32.3,33.7,34.7,35.3,36.1,37.7,38.6,39.2,39.9,43.1,43.9,44.8,45.5
"16","8","Income receipts on assets","W058RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,2.7,2.8,2.9,2.8,2.9,3,3,3.1,3.2,3.4,3.4,3.4,3.4,3.5,3.6,3.6,3.8,3.9,4,3.7,4.2,4.3,4.3,4.1,4.7,4.7,4.9,5.1,5.3,5.5,5.8,6.1,6.4,6.5,6.7,6.6,6.7,7,7.3,7.6
"17","9","  Interest and miscellaneous receipts \1\","W059RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,2.7,2.8,2.9,2.8,2.9,3,3,3.1,3.2,3.4,3.4,3.4,3.4,3.5,3.6,3.6,3.8,3.9,4,3.7,4.2,4.3,4.3,4.1,4.7,4.7,4.9,5.1,5.3,5.5,5.8,6.1,6.4,6.5,6.7,6.6,6.7,7,7.3,7.6
"18","10","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","Current transfer receipts","W060RC1",0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1,1,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.6,1.6,1.7,1.8,1.8,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.7
"20","12","  From business (net)","W061RC1",0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,1,1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5
"21","13","  From persons","W062RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2
"22","14","Current surplus of government enterprises \2\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.6,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.5,0.4,0.3,0.4,0.4,0.7,0.8,0.8,0.9,0.9,0.8,0.6,0.8,0.7,0.8,0.7,0.5,0.5,0.3,0.1,0.2,0.1,0.2,0.3,0,0.3,0.3,0.3,0.2,0,0,0,0
"23","15","    Current expenditures","W022RC1",52.5,52.5,55,51.8,53.3,54.2,57.3,58.4,60.7,62.2,62.2,61.5,69.5,63.4,59.2,63.6,68.9,73.8,79.1,81.8,81.7,86.4,88.7,90,91.7,93,92.3,93.6,91.9,91.2,91.7,92.8,94.3,94,96.1,95.7,96.4,99.8,99.7,103.1,106.6,109,109.7,113.7,114,119.3,120.7,122.3,122.5,123.4,124.6,126.5,127.1,130.2,131.9,135.5,136.5,141.2,141.9,144.3,148.7,151,152.8,155.4,157.4,158.1,160.6,163.9,166.4,168.7,169.1,170,173.4,177.3,184.3,189.2,193.5,200.9,207.1,214.1,224.6,228.5,233.5,240.2,250.2,258,264,270.5,271.2,280.2,287.4,295.3
"24","16","Consumption expenditures","A955RC1",35.1,35.2,33.7,33.4,33.6,34.8,36,37.4,38.5,39.3,38.7,38.3,38.5,38.8,38.2,41.6,47.4,51.9,57.2,59.5,61.2,65,66.3,68.4,69.5,71,69.9,71.1,68.7,66.9,66.7,67.1,68,68.1,70.1,69.3,69.6,72,70.9,73.1,75.9,76.5,77.2,79.6,78.9,82,82.6,84.1,81.4,82.8,83.8,84.1,82.3,83.7,86.1,88,87.2,89.3,90.7,92.6,95.8,97.2,99.6,100.7,101.1,101.2,104.8,106.6,107.5,108.6,110.3,110.2,111.6,113.7,118.8,124,126,130.6,136.2,138.4,145.7,148.3,151.5,156.1,162.5,165.3,169.1,173.1,173.5,178.5,184.1,187.3
"25","17","Current transfer payments","A084RC1",11.1,11.1,15.2,12.2,13.3,13,14.6,14,15.3,16.1,16.5,16.1,23.7,17,13.4,13.9,13.3,13.7,13.9,13.9,12.3,13.1,14,13.2,13.6,13.6,13.6,14.1,14.7,15.1,16,16.8,17.2,16.8,16.8,16.8,17.1,17.4,17.8,18.1,18.7,20.2,20.1,21.3,22.6,24.6,25,24.5,26.8,26.9,26.4,27.5,26.8,28.2,27.9,29.6,31.1,32.8,31.7,31.8,32.5,33,32.1,33.4,34.8,34.9,33.3,34.1,35,35.6,34.5,35.1,36.4,37.7,39.4,38.4,39.8,41.5,41.3,45.3,48.6,49.8,50.9,51.9,54.4,58.2,59.6,61.4,61.4,64.1,64.2,66.8
"26","18","  Government social benefits","W063RC1",9.4,9.2,13.1,10.1,10.3,10.1,9.7,9.4,10.1,10.7,11.2,11.4,19.8,13.3,10.2,10.4,10.3,10.5,10.7,10.6,10.5,10.6,11.4,11.5,11.5,11.4,11.7,12.1,12.9,13.6,13.9,14.6,14.6,14.7,14.9,14.9,15.2,15.4,15.8,16,16.8,18,18.2,19.4,20.8,22.6,23,22.5,22.7,22.6,22.8,23.5,23.6,24.2,25,26,27.8,28.6,28.8,28.3,28.8,28.7,29.1,29.8,31.2,30.2,30.4,30.9,31.8,31.4,31.6,31.8,33.1,33,36.3,35.1,36.1,36.2,38.1,41.5,44.4,45.5,47.2,48.2,50.4,53.7,55.1,56.2,57.7,58.8,60.1,61.6
"27","19","    To persons","A063RC1",9.4,9.2,13.1,10.1,10.3,10.1,9.7,9.4,10.1,10.7,11.2,11.4,19.8,13.3,10.2,10.4,10.3,10.5,10.7,10.6,10.5,10.6,11.4,11.5,11.5,11.4,11.7,12.1,12.9,13.6,13.9,14.6,14.6,14.7,14.9,14.9,15.2,15.4,15.8,16,16.8,18,18.2,19.4,20.8,22.6,23,22.5,22.7,22.6,22.8,23.5,23.3,24,24.7,25.7,27.5,28.3,28.5,28,28.5,28.5,28.9,29.5,30.9,29.9,30.1,30.6,31.5,31,31.3,31.5,32.7,32.3,35.9,34.7,35.7,35.8,37.5,41,43.9,45,46.4,47.7,49.9,53.2,54.5,55.7,57.2,58.2,59.5,61
"28","20","    To the rest of the world \3\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
"29","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.3,1.8,2.5,2.6,1.7,2.1,2.2,2,2,1.8,1.5,2,2.2,2.6,2.1,2,1.9,1.9,2.1,2,2.1,1.8,2.2,1.9,1.9,1.8,1.9,2,2,4.1,4.3,3.6,4,3.3,4,2.9,3.6,3.3,4.2,2.9,3.5,3.7,4.3,3,3.5,3.6,4.7,2.9,3.2,3.2,4.3,2.9,3.3,3.3,4.7,3.1,3.3,3.7,5.3,3.2,3.8,4.2,4.3,3.8,3.7,4,4.5,4.5,5.2,3.6,5.3,4.1,5.1
"30","22","Interest payments \1\","A180RC1",5.8,5.8,5.8,5.9,5.9,6,6,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.1,7.2,7.4,7.4,7.5,7.6,7.7,7.9,8,8.1,8.2,8.4,8.5,8.7,8.8,8.8,8.8,9.1,9.4,9.5,9.8,10.2,10.8,10.8,11.1,11.4,11.8,11.4,11.4,11.6,12,13.1,12.7,13.3,13.9,16.9,17,16.8,16.7,16.7,17,17.4,17.6,18,18.4,18.9,19.1,19.4,19.8,20.3,20.8,21.2,21.6,21.8,22,22.5,23,23.2,23.6,24.2,24.8,25.5,26.1,26.3,26.5,27.3,28.5,29.3,30.3,31.1,31.7,31.9,33.1,34.5,36.6
"31","23","  To persons and business \1\","A204RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,16.7,16.5,16.4,16.4,16.7,17.1,17.3,17.7,18.1,18.5,18.8,19.1,19.4,19.9,20.4,20.7,21.2,21.3,21.5,22,22.5,22.7,23.1,23.7,24.3,24.9,25.6,25.8,25.9,26.7,27.9,28.6,29.6,30.4,31,31.2,32.3,33.7,35.8
"32","24","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
"33","25","Subsidies \2\","A107RC1",0.5,0.4,0.4,0.3,0.4,0.3,0.6,0.9,0.6,0.4,0.5,0.5,0.7,0.8,0.8,1.1,1.2,1.1,0.9,1,0.8,0.8,0.8,0.7,0.7,0.4,0.7,0.2,0.1,0.7,0.3,0.2,0.3,0.3,0,0.2,0.3,0.5,0.9,1.2,1.3,1.2,1.1,1,1.1,1.3,1.5,1.6,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.6,3.9,4.1,4.2,4,3.9,3.7,3.7,4,4.2,4.2,4.2,4.3,4.5,4.7,4.7
"34","26","    Net government saving","A922RC1",2.9,2.3,-0.6,5.2,4.6,2.6,-1.1,-2.2,-5.5,-8.7,-8.8,-9.2,-11.6,-0.9,10.3,10.8,14.4,6.5,0.8,2.3,3,-1.2,-2.6,-0.2,0.2,-0.5,-0.3,-6.8,-7.4,-6.3,-5.8,-4.4,-1.2,1.5,1.8,4.5,5.2,3.8,4.2,4.2,3.7,1.3,0.9,-5.8,-9.2,-14.2,-11.6,-8.6,-3.2,0.2,-1.6,-2.2,7.4,3.8,2.2,-2.4,-2.6,-4.5,-2.5,-0.3,-2.4,-2.5,-1,-1.8,0,2.5,2.4,1.5,-1.1,-5.9,-2.3,-0.9,3,2.1,-5.3,-5.4,1.1,-0.2,-2.5,-5.5,-14,-15.8,-14.6,-14.7,-12.7,-13.5,-6.1,-5.7,5.9,2.4,-4.1,-8.3
"35","27","Social insurance funds","A221RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,-3.5,-3.4,-2.4,-0.6,-0.3,-0.6,-1.1,1.4,0.8,0.2,-0.8,-2.1,-2.7,-2.7,-1.8,-0.7,-0.3,-0.5,-0.8,-0.2,1.2,1.2,1.2,0.5,1.4,1.5,1.7,0.9,1.7,-1.2,0.6,6.5,6.8,6.3,4.8,3.8,4.3,4.1,4.7,4.7,3,2.8,2.8,5.3,5.6,6.1,6.4
"36","28","Other","A391RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.9,-10.6,-8.2,-6.3,-2.6,0.4,-1,-1,6.1,3,1.9,-1.6,-0.5,-1.7,0.2,1.5,-1.7,-2.2,-0.5,-1,0.2,1.3,1.2,0.3,-1.6,-7.3,-3.9,-2.7,2.1,0.4,-4.1,-6,-5.4,-7.1,-8.8,-10.4,-17.9,-20.1,-18.7,-19.3,-17.4,-16.5,-8.8,-8.4,0.7,-3.2,-10.2,-14.6
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","  Total receipts","W066RC1",56.4,55.7,55.4,58,59,57.9,57.2,57.1,56.2,54.4,54.3,53.2,58.7,63.3,70.4,75.2,84.2,81.2,80.8,85.2,85.7,86.3,87.2,90.8,93.1,93.6,93.1,88,85.7,86.1,87.1,89.6,94.3,96.6,99.1,101.6,103.1,105.3,105.6,109,112,112.2,112.5,109.6,106.6,106.8,110.7,115.3,121,125.3,124.9,126.3,136.5,136.3,136.2,135.6,136.5,139.1,142,146.5,148.7,151.3,154.4,156.4,160.2,163.5,166,168.2,168.3,166.1,170.2,172.6,179.9,182.9,182.6,187.6,198.6,204.6,208.5,212.3,214.6,216.6,223,229.4,241.3,248.5,262.2,269.3,281.6,287.4,287.9,291.7
