"","Table 5#6#5# Private Fixed Investment in Intellectual Property P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","    Nonmanufacturing","Y028RC1",0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.8,1.1,1.5,2.1,2.8,3.7,4.7,5.7,7.2,8.7,9.9,10.2,12.6,15.6,19.3,22.5,22.5,24.5,22,22.4,23.3,25.7,26.6,32,33.5,29.6,30.8,29,27.5,31.8,32.9,35.4,40.6,36.5,38.6,41.7,46.5
"24","17","      Scientific research and development services","Y029RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.7,1.2,1.7,1.8,1.8,1.9,2,2.2,2.7,3.6,4,5.1,5.3,4.7,4.3,5.3,5.7,6.3,7.3,9.2,9.1,7.7,8.5,9.1
"25","18","      All other nonmanufacturing","Y008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,12.2,14.8,18,20.8,20.7,22.7,20.1,20.4,21,22.9,23,28,28.4,24.3,26.1,24.7,22.2,26.1,26.6,28.1,31.4,27.4,30.9,33.2,37.4
"26","19","  Nonprofit institutions serving households","Y017RC1",0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.7,2,2.2,2.5,2.8,2.9,3.1,3.4,4,4.5,5.3,5.6,5.8,6.3,6.6,6.8,6.9,7.2,7.8,8.2,9.1,9.5,9.8,10,10.7,11,11.3,11.6,12,12.5,13.2,15.1,16.6,19.9,20.4
"27","20","    Universities and colleges \4\","Y018RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.3,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,3
"28","21","    Other nonprofit institutions","Y019RC1",0.5,0.6,0.6,0.7,0.7,0.8,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.7,2.8,3.1,3.6,4.1,4.8,5.1,5.3,5.6,5.9,6.1,6.2,6.5,6.9,7.3,8.2,8.5,8.8,8.9,9.5,9.6,9.8,10,10.1,10.4,11,12.5,13.8,17.1,17.4
"29","22","Entertainment, literary, and artistic originals","Y020RC1",4.4,4.1,4.4,4.9,4.9,5.2,5.5,7.4,8.6,9.1,10.9,10.3,13.2,13.9,15.3,17.8,18.6,21.4,21.9,23,25.4,27.5,29.4,31.2,33.4,36.1,40.2,44.3,46.1,48.3,51,55.6,54.7,57.6,62.7,64.1,69.8,71.2,70.4,67.2,65.1,72.2,73.8,74.3
"30","23","  Theatrical movies","Y021RC1",1.1,0.8,0.9,1,0.8,0.8,0.8,1.7,1.6,1.4,2.3,2,2.9,3,3.4,4,3.8,4.8,4.9,5.1,6.2,6.1,7.3,6.7,8.3,8.6,10.5,13.1,12.6,13.5,12.8,16.1,15.4,15.9,17.7,18,18.9,20.1,20,18.3,17,21.3,21.5,21.6
"31","24","  Long-lived television programs","Y022RC1",1.5,1.5,1.5,1.8,1.8,2.1,2.1,2.9,3.4,3.8,4.5,4,5.5,6,7,8,8.8,9.8,9.3,9.8,10.4,11.6,11.6,13.2,12.8,13.8,15.6,17.5,18.2,19.1,20.4,21.1,21.1,23.5,25.9,26.1,30.5,31.1,30.4,28.6,28.4,30.5,32.2,32.5
"32","25","  Books","Y023RC1",0.7,0.8,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.6,1.8,2,2.2,2.3,2.6,2.8,3,3.3,3.6,4,4.2,4.4,4.7,5,5.3,5.5,5.5,6.1,6.5,6.9,7.2,7.3,7.6,7.8,8.2,8.7,8.6,9.1,9.2,8.9,10.3,10.3,10
"33","26","  Music","Y024RC1",0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.6,1.7,1.8,1.8,2,1.8,1.6,2.1,2,2.4,3,3,3.3,3.9,4.2,4.6,5,6.1,6.1,5.7,6.5,6.5,8.1,8.2,7.9,7.7,8.2,8.7,8.4,8.1,7.8,7.9,7.9,7.6,7.3,7.5
"34","27","  Other","Y025RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.8,1.9,2.2,2.3,2.5,2.6,2.7,2.7,2.8,3,3,3,3.1,3.2,3.3,3.3,3.2,3.3,3,2.5,2.6,2.7
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. R&D investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","expenditures are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
