"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","15","    Rental income of persons with CCAdj","W155RC1",6,6.2,6.3,7.4,8.6,8.4,8.5,8.5,9,9.6,10.6,13.8,19.1,23.2,25.3,28.1,32.6,30.2,28.9,27.6,26.6,30.2,34.9,42.9,49.3,53.2,58,61.3,63.9,64.9,64.1,63.1,68.5,66.3,68,70.4,75.5,78.2,87.4,108.7,109.6,126.7,147.6,163.5
"23","16","    Net interest","W468RC1",10.4,12,13.7,15.7,19.5,23.4,26.4,28.9,32.4,36.5,44.1,52.9,64.7,73.4,78.5,95.7,107.1,116.6,115.5,127,146.4,144.8,138.7,125.4,117.9,122.1,119.5,123.2,131.9,144.9,139.9,158.9,165,140.2,134.8,134.5,180,206.6,234.9,199.4,161.7,142.2,149.3,152.5
"24","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1",13.6,15.1,16.9,16.7,19.2,22.9,24.4,26,26.4,26.8,29.3,32.4,37.1,28.9,25.9,31.5,34.5,35,36.6,41,46.9,53,56,60.7,55,66.2,67.2,76.7,89.1,97.4,99,104.7,112.3,128.1,138.4,152.4,159.2,177.5,184.3,176.8,178.9,187.5,190.9,196.6
"25","18","    Current surplus of government enterprises \1\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-23.8,-27.7
"26","19","    Sole proprietorships and partnerships","A1641C1",139.9,144,153.3,167.4,196.3,206.8,219,240.4,261.4,294.7,327.5,337.3,367.2,363.8,384.7,458.2,492.4,519.9,552,611.1,660.6,688.2,690.1,742.1,776.2,835,874.1,965.4,1043.8,1143.7,1215.9,1322.5,1511.5,1564.2,1649,1793,1924.1,2124.7,2164.5,2180,2050.9,2111.5,2286.6,2406.9
"27","20","      Compensation of employees","A1642C1",48.1,49.2,49.6,51.6,58.1,62.3,65.8,71.6,76.8,85,95.1,102.2,108.9,114.5,120,132.1,142.1,149.6,155.9,163.9,175.2,186.9,191.3,201.8,214.3,226.4,239.5,253.6,271.6,294.7,315.7,343.8,440.3,467.2,517.9,589.2,655.7,742,825.8,840.7,799.1,808.2,848.5,890.4
"28","21","        Wages and salaries","B1643C1",44.2,45.1,45.3,46.8,52.4,56.1,59,63.7,68,76.2,85.2,91.8,97.9,103,107.3,117.4,126.2,132.1,138.5,142.7,150.9,160.6,163.2,171.9,182,193.8,205.4,218.2,235,254.6,273.2,297.3,377.8,399,439.4,498.1,554.7,630.6,705,714.9,674.1,685.4,719.1,755.5
"29","22","        Supplements to wages and salaries","B1644C1",3.9,4.1,4.3,4.8,5.6,6.2,6.8,7.9,8.8,8.8,9.8,10.4,11,11.5,12.7,14.7,16,17.4,17.4,21.3,24.3,26.3,28.1,29.9,32.4,32.6,34.1,35.4,36.6,40.1,42.5,46.5,62.6,68.2,78.5,91.1,101.1,111.4,120.7,125.8,125,122.8,129.4,134.9
"30","23","      Proprietors' income with IVA and CCAdj","A1645C1",76.6,77.4,83.4,94.5,111.9,111.7,117.7,130.4,143.9,165.3,178.8,171,179.1,170.5,185.3,227,240,255.5,284.8,324,340,352.9,354.2,400.5,428.6,457.1,482,545,585.2,642.2,699,756.4,835.4,869.8,898.9,959.8,976.6,1050.8,975.7,1022.2,968.3,1027.8,1149.9,1219.1
"31","24","        Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,26.8,34.8,31.4,34.7,22,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38,50.4,46.4,36,38.1,47,35.5,46,72.6,75.4
"32","25","        Nonfarm","A1646C1",63.7,64.5,70,77.5,82.8,88.2,95.7,113.2,127.9,145.4,156.6,159.3,160.1,157.2,179.1,206.1,219.1,232.7,255.9,297.2,307,320.8,327.4,365.7,397.2,422.4,460,507.7,552.9,613.8,670.9,724.9,803.3,849.9,860.8,909.3,930.2,1014.8,937.6,975.2,932.9,981.8,1077.4,1143.8
"33","26","      Net interest","B1649C1",5.1,6,7.2,8.4,11.2,14,15.5,17.1,19.3,22.1,28.1,34.8,44.5,51.3,54.7,69.3,77.5,83,79.3,88.2,104.5,101.4,94.7,85.3,82.5,88.7,86.6,91.4,100.3,113.4,107.6,124.6,130.6,106.1,101.8,101,143.7,167.2,191.6,152.4,115.4,98.6,107.2,111.7
"34","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",10.3,11.5,13.1,12.8,15.1,18.9,20,21.3,21.4,22.3,25.6,29.2,34.7,27.5,24.8,29.8,32.7,31.8,31.9,35,40.9,46.9,49.9,54.6,50.8,62.8,65.9,75.3,86.7,93.3,93.6,97.7,105.1,121.1,130.4,143.1,148.1,164.8,171.6,164.7,168.1,176.9,181,185.6
"35","28","    Other private business","A1650C1",18,19.4,20.6,22.8,25.7,26.7,29.1,30.7,33.4,35.4,37.9,43.2,50.5,56.1,60.5,67.5,75.7,79.2,83,86,89.1,94.3,100.1,104.9,105,107,109.7,112.6,117.6,122.2,124.8,129.5,136.4,136.6,138.6,145.3,155.5,164.6,179.2,205.9,205.2,219.6,239.5,257.3
"36","29","      Compensation of employees","A1651C1",3,3.2,3.4,3.8,4.1,4.4,4.7,5.1,5.7,6.2,6.9,7.6,8.2,8.7,9.3,10.1,10.7,11.2,11.6,11.8,12.5,13.1,13.2,13.8,14.2,14.6,15,15.8,17.1,19.8,21.6,23.7,25,27.9,28.5,29.7,30.2,31.3,32.3,33.9,33.8,33.7,34.7,36.3
"37","30","        Wages and salaries","B1652C1",2.8,2.9,3.1,3.4,3.7,3.9,4.2,4.5,5,5.6,6.3,6.9,7.4,7.8,8.3,8.9,9.5,9.9,10.3,10.5,11.1,11.5,11.6,12.1,12.3,12.6,13,13.7,14.8,17,18.5,20.2,21,23.3,23.9,24.7,25.1,26.2,27.1,28.3,27.9,28.5,29.2,30.6
"38","31","        Supplements to wages and salaries","B1653C1",0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.3,2.7,3,3.5,4,4.6,4.6,5,5.1,5.1,5.2,5.6,5.9,5.2,5.4,5.7
"39","32","      Proprietors' income with IVA and CCAdj","A1654C1",0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.7,1,1.3,1,1,1.6,1.8,1.9,1.5,1.8,1.9,1.9,2.4,2.5,2.3,2.6,2,1.4,1.3,1.4,1.2,1.2,2.3,2.4,2.9,3.5,4.2,4.7,4.9,5.2,5.8
"40","33","      Rental income of persons with CCAdj","W155RC1",6,6.2,6.3,7.4,8.6,8.4,8.5,8.5,9,9.6,10.6,13.8,19.1,23.2,25.3,28.1,32.6,30.2,28.9,27.6,26.6,30.2,34.9,42.9,49.3,53.2,58,61.3,63.9,64.9,64.1,63.1,68.5,66.3,68,70.4,75.5,78.2,87.4,108.7,109.6,126.7,147.6,163.5
"41","34","      Net interest","B1657C1",5.3,5.9,6.6,7.3,8.3,9.4,10.9,11.8,13.1,14.4,16,18.1,20.2,22.1,23.8,26.4,29.5,33.6,36.2,38.8,42,43.4,44,40.1,35.4,33.4,32.9,31.8,31.6,31.5,32.3,34.3,34.4,34.1,33,33.5,36.3,39.4,43.3,47,46.2,43.6,42.1,40.7
"42","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",3.3,3.6,3.8,3.8,4.1,4,4.4,4.7,5,4.6,3.7,3.2,2.4,1.4,1.2,1.7,1.8,3.2,4.7,6,6,6,6.1,6.1,4.2,3.4,1.3,1.4,2.4,4.1,5.4,7,7.3,7,8,9.4,11.1,12.7,12.7,12,10.8,10.6,9.9,11
"43","36","    Government enterprises","W474RC1",11.9,12.8,13.8,15.7,16.3,18.3,19,22.2,23.2,26,28.4,30.6,35,38.3,42.8,47.4,54,56.5,59,66.6,72.1,75,82.7,90,91.9,96.7,102.8,106.8,110.6,113.4,117.8,119.8,119,125.9,127,130.5,129.1,131,129.5,128.4,128.2,128.4,128.3,125.5
"44","37","      Compensation of employees","A1658C1",11.9,14,15.5,16.8,18.5,21,23.3,24.9,26.5,28.9,31.6,35.7,40.1,42.1,45.1,48.7,52.7,54.5,56.9,61.5,65.5,71.7,74.9,80.1,81.1,84.9,87.1,89.9,93.2,97.1,101.6,109.1,113.8,118.9,123.1,132.3,135.5,140.4,145.9,149.6,148.8,151.3,152.1,153.2
"45","38","        Wages and salaries","B1659C1",10.2,11.7,12.5,13.5,14.9,16.8,18.5,19.8,20.9,22.9,25,28.2,31.7,33.1,35.3,38.1,40.8,42.5,45,48.3,50.6,54.6,57.1,60.2,61,63.8,65.7,68,70.4,73.3,76,81.6,84.2,87.8,89.7,94.8,96.5,99.9,103.8,106.3,105.4,104.5,104.8,105.1
"46","39","        Supplements to wages and salaries","B1660C1",1.8,2.3,3,3.3,3.6,4.2,4.8,5.2,5.6,6,6.6,7.4,8.5,8.9,9.8,10.6,11.9,12,11.9,13.2,14.9,17.1,17.8,20,20.1,21.1,21.4,21.9,22.8,23.8,25.6,27.5,29.7,31,33.4,37.5,38.9,40.4,42.1,43.3,43.4,46.8,47.3,48.1
"47","40","      Current surplus of government enterprises \1\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-23.8,-27.7
"48","41","Households and institutions","W503RC1",72.4,78.7,87,94.5,102.3,111.3,122.1,132.1,141.9,157.9,174.5,198.5,225.5,252.7,279.8,306.8,329.6,358.2,393.5,436.9,474.2,517.3,553.4,592.4,635.3,677.2,720.9,758.9,802.2,854.9,911.1,972.7,1029.2,1090.6,1136.3,1187.5,1237.5,1293.2,1335.9,1440.7,1510.3,1527.1,1569,1615.5
"49","42","  Households","W504RC1",46,49.4,54.1,58.2,62,66.4,72.1,77.7,82.5,91.6,100.2,113.4,129,144.4,159.3,173.6,186.8,201.7,217.5,238.1,256.3,277.5,293.6,312.1,335,361.5,388.1,409.4,433,459.9,491.7,526.5,563.1,588.1,606.8,631.3,663.8,693.1,710.7,774.2,812.7,818.8,838.5,855.6
"50","43","    Compensation of employees","W151RC1",4.4,4.5,4.6,4.6,4.8,4.6,4.6,5.4,5.9,6.5,6.4,6.1,6.2,6.3,6.3,7.3,7.3,7.7,7.7,8.3,9,9.4,9.2,10.2,10.8,11.2,12,12.2,12.2,14.1,12.9,13.8,13.1,12.8,14.2,15.2,15.4,16.5,18.1,19.2,17.6,15.5,16.4,17.3
"51","44","      Wages and salaries","B1661C1",4.4,4.4,4.5,4.6,4.7,4.5,4.6,5.3,5.8,6.4,6.3,6,6,6.1,6.2,7.1,7.2,7.6,7.6,8.2,8.8,9.2,9,10,10.5,10.9,11.7,11.8,11.9,13.8,12.5,13.4,12.8,12.5,13.9,14.8,15,16.1,17.7,18.6,16.7,14.8,15.9,16.8
"52","45","      Supplements to wages and salaries","B1662C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.8,0.7,0.5,0.5
"53","46","    Rental income of persons with CCAdj","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327.4,367.3
"54","47","    Net interest","A2015C1",14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,139.3,155.2,166.4,177.6,192,205.6,211.2,213.4,210,213.1,232.3,239.3,252.8,262.8,279.1,305.8,326.3,329.3,320.3,322.1,365.7,418.6,460.6,470.3,430.1,388.5,355.1,324.8
"55","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1",12.7,14.4,15.9,17.3,18.6,19.5,21.5,24.2,26.9,27.6,27.9,30.1,33.8,36.7,39,41.9,44.3,48.2,53.2,55.7,58.7,62.6,67.4,68.7,71.6,75,75.2,75.2,83.1,81.7,84.5,86.1,89,99.7,106.9,113.8,124.8,133.7,135.5,137.4,148.3,146.8,139.6,146.1
"56","49","  Nonprofit institutions serving households","W505RC1",26.3,29.4,32.9,36.3,40.3,44.8,50,54.4,59.4,66.3,74.4,85.1,96.5,108.3,120.5,133.3,142.9,156.5,176,198.8,217.9,239.8,259.7,280.3,300.3,315.7,332.8,349.5,369.2,395,419.4,446.1,466.2,502.4,529.4,556.2,573.6,600.1,625.2,666.5,697.6,708.2,730.6,760
"57","50","    Compensation of employees","W152RC1",25,27.9,31,34.3,38.2,42.6,47.3,51.6,56.4,63,70.5,80.4,90.7,101.1,111.8,122.6,132.2,144.4,163.3,184.8,202.8,224.2,243.2,262.8,280.6,296.4,312.2,327.5,346,370.8,394.7,421.1,440.4,476.2,503.5,530.4,548,574.4,598.6,639,669.1,679.7,701.1,730.4
"58","51","      Wages and salaries","W481RC1",23.3,25.9,28.6,31.3,34.5,38.3,42.5,46.1,50.1,56.2,62.9,71.8,80.9,90.2,98.5,106.7,114.6,125,141.6,161.3,175.9,193.8,209.4,224.8,239.7,253.4,266.8,280.6,296.9,316.3,334.8,358,374,399.6,418.6,437.4,451.2,474.8,498.3,531.3,549.4,562.6,580.7,603.5
"59","52","      Supplements to wages and salaries","W482RC1",1.7,2,2.4,3,3.7,4.2,4.9,5.5,6.4,6.8,7.7,8.6,9.8,10.9,13.3,15.9,17.6,19.4,21.7,23.5,26.8,30.4,33.9,38,40.8,43,45.3,46.9,49.2,54.6,59.9,63.1,66.4,76.7,84.9,93.1,96.8,99.6,100.4,107.7,119.7,117.2,120.4,126.9
"60","53","    Rental income of persons","W159RC1",0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.8,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.6,1.8,2.1,2.6,2.9,3.2,3.7,3.8,3.8,4.3,4.7,4.7,4.8,4.9,5,5.6,6.2,7.3,8,9.4,10.3
"61","54","    Net interest","B1131C1",0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.7,9.1,10.3,11.1,11.2,11.7,12.2,14.3,13.2,14.1,15,15.6,16,16.2,16.2,16.1,15.7,15,14.3,13.5,12.8,12.3,12.2,11.5,10.8,10.2,9.4
"62","55","    Taxes on production and imports","B1320C1",0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.8,2,2.1,2.3,2.5,2.7,2.9,3.2,3.5,3.7,3.7,3.9,3.9,4.1,4.3,4.5,4.8,5.1,5.4,5.8,6.2,6.7,7.2,7.8,8.7,9.2,9.7,9.7,9.9,10
"63","56","General government","A194RC1",116.1,128.3,141.2,154.3,165.3,178.3,196.6,209.8,226,246,266.2,292.3,320.7,346.8,368.6,395.7,428.1,454.9,482.6,518.2,559.6,604.7,645,684.9,707.3,731.6,753,773.5,802.4,838.4,886.8,942.8,1005.6,1072.8,1143.4,1210.5,1268.7,1325.9,1395.1,1467.9,1517.4,1572.2,1581.2,1589.6
"64","57","  Compensation of employees","A194RC1",116.1,128.3,141.2,154.3,165.3,178.3,196.6,209.8,226,246,266.2,292.3,320.7,346.8,368.6,395.7,428.1,454.9,482.6,518.2,559.6,604.7,645,684.9,707.3,731.6,753,773.5,802.4,838.4,886.8,942.8,1005.6,1072.8,1143.4,1210.5,1268.7,1325.9,1395.1,1467.9,1517.4,1572.2,1581.2,1589.6
"65","58","    Wages and salaries","B1663C1",95.4,105.5,114.3,124.3,133.9,143.7,157.7,169.1,181.7,197.1,212.1,233.2,254.2,274.4,289.5,310,333,354.8,378.2,403.8,430.5,464.4,491.7,511.8,528,545.7,563.3,580.1,601.5,628,657.8,698.2,737.8,785.3,823.6,857.8,895,935.1,985,1037.8,1069.8,1086.5,1089.7,1092.2
"66","59","    Supplements to wages and salaries","B1664C1",20.6,22.8,26.9,30,31.4,34.5,38.9,40.6,44.3,48.9,54,59.1,66.5,72.4,79.1,85.7,95.1,100.2,104.5,114.5,129,140.3,153.4,173.1,179.2,185.9,189.7,193.5,200.9,210.4,229,244.6,267.7,287.4,319.9,352.7,373.7,390.8,410,430.1,447.6,485.6,491.5,497.3
"67","60","Rest of the world","A192RC1",6.1,6.4,7.6,8.6,12.6,15.5,13,16.8,20.3,21.6,31.9,34.2,32.9,36.5,37.1,36.3,25.4,17,17.5,22.7,24.8,34.7,31.6,31.1,32,23.9,28.8,31.8,24.1,18.2,27.1,37,51.8,48.6,68,90.1,93.5,68.4,126.5,173,147.2,206,260.8,252.8
"68","61","  Compensation of employees","A4187C1",0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-1.8,-1.4,-0.9,-1.3,-2.3,-2.8,-3,-3.3,-4,-4.1,-4.1,-4.4,-4.6,-7.2,-6.6,-7.2,-7.8,-7.3,-8.3,-10.2,-10.5,-9.6,-10.8,-7.8,-8,-8.1,-8.3
"69","62","  Corporate profits","B394RC1",6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,122,146.2,170.4,158.8,166.6,205,239.1,256.2,353.4,406.7,352.8,395.2,436.6,418.9
"70","63","  Net interest","A1627C1",-0.5,-0.7,-0.3,-1,-2.3,-1.9,-1.6,0.3,1.2,-1.2,-2.6,-1.2,3.4,4.1,2.2,-0.1,-12.5,-20.7,-29.2,-33.5,-41.1,-39.1,-42.1,-39.1,-41.6,-50.1,-60.1,-66.1,-79.1,-80,-87.7,-102.6,-111.4,-102.4,-91.3,-106.7,-135.4,-177.2,-217.3,-223,-197.8,-181.2,-167.7,-157.7
"71",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
