"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"21","13","Services \2\","A341RA3",32.355,32.832,33.031,33.341,33.421,33.501,33.765,33.92,34.174,34.372,34.533,34.918,35.324,35.611,35.849,36.177,36.452,36.762,36.926,37.13,37.243,37.541,37.709,38.137,38.562,39.091,39.032,39.432,39.663,39.851,40.188,40.627,40.991,41.219,41.642,41.914,42.432,42.938,43.194,43.446,43.818,43.999,43.954,44.349,44.556,44.663,44.956,45.29,45.382,45.809,45.829,45.889,46.096,46.245,46.64,47.268,47.907,48.373,48.956,48.809,49.084,49.655,50.08,50.517,51.366,51.914,52.761,53.21,53.61,54.239,54.803,55.228,55.833,56.297,56.626,57.244,57.923,58.395,59.065,59.723,60.062,60.563,60.975,61.528,61.975,62.615,62.985,63.123,63.287,63.923,64.147,64.44,65.327,65.753,66.462,66.928,67.042,67.253,67.89,68.165,68.56,69.052,69.637,69.854,70.18,70.838,71.417,71.505,71.933,72.625,72.75,73.472,73.718,74.461,75.067,75.703,76.177,77.248,77.807,78.492,79.01,79.674,80.637,81.618,82.175,83.27,83.606,84.255,84.849,85.135,85.41,85.698,86.456,87.139,87.541,87.963,88.069,88.951,89.277,89.928,90.721,91.212,91.879,92.558,93.05,93.611,94.408,94.659,95.257,95.859,96.274,97.139,97.52,97.959,98.648,99.15,99.347,99.675,99.724,99.793,99.536,99.932,100.122,100.41,100.427,100.937,101.366,101.77,101.811,102.181,102.52,102.464,103.077,103.364,103.778,103.634,103.723,103.912,103.967,104.354
"22","14","Structures","A755RA3",71.666,71.374,71.603,68.26,67.764,65.737,68.015,69.963,71.156,73.997,75.121,76.485,79.078,79.099,79.201,81.457,83.759,81.885,80.815,79.048,76.66,75.724,72.518,67.836,66.213,64.604,66.954,69.233,73.401,72.45,71.129,74.415,75.988,81.272,80.939,80.26,80.277,87.372,90.287,91.487,88.4,89.159,90.751,90.429,88.422,79.884,80.089,83.639,83.74,82.499,80.138,80.496,77.05,74.798,72.633,74.011,76.477,78.115,82.72,84.871,88.441,91.393,92.615,93.236,95.102,96.328,96.571,97.565,99.138,98.167,97.829,97.472,97.381,97.956,99.085,100.036,97.329,99.288,98.426,98.872,98.505,96.816,97.933,97.266,99.356,97.027,94.624,91.221,88.173,88.595,88.022,88.847,91.48,92.085,91.367,93.306,92.816,93.639,95.521,98.831,97.628,100.847,100.685,100.485,100.275,99.736,101.262,101.81,103.643,107.349,108.288,110.529,111.645,111.546,112.998,112.668,113.253,118.172,121.058,122.165,122.664,122.92,123.506,125.282,126.99,127.436,128.07,128.41,127.879,131.003,129.538,126.892,127.522,126.787,125.564,126.673,127.443,129.197,133.869,135.548,135.615,138.488,138.766,139.02,141.219,142.551,143.116,143.38,143.653,141.174,137.082,133.217,131.544,131.395,129.239,125.4,121.219,120.424,118.025,112.436,105.144,100.296,99.282,95.278,91.01,94.909,91.442,91.56,87.843,89.583,91.644,93.516,95.17,96.212,97.313,100.256,97.863,100.648,103.339,101.942
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",51.763,47.384,51.945,47.807,41.884,46.141,43.89,28.882,52.97,49.839,50.854,53.277,56.967,56.869,52.665,63.693,71.257,66.589,64.557,62.235,56.33,54.378,60.778,54.674,44.492,48.761,56.168,55.388,63.617,66.506,64.883,67,75.121,73.892,75.258,74.976,71.868,79.237,76.834,81.603,83.114,73.025,67.421,62.734,58.697,47.432,50.763,60.323,59.366,61.788,58.893,53.524,50.273,57.698,58.206,51.482,59.501,63.385,73.826,82.933,84.726,80.66,81.868,91.156,88.077,91.756,97.507,94.864,90.763,92.959,95.145,92.76,92.426,91.096,90.429,93.767,92.235,99.501,94.891,100.836,105.482,99.089,96.366,93.443,91.156,92.488,92.888,80.742,73.734,79.738,85.523,81.491,83.042,89.197,90.515,96.314,95.9,97.382,94.418,104.336,111.289,106.947,109.497,112.482,110.982,107.946,106.531,113.044,101.909,115.143,115.553,110.538,115.122,114.549,122.233,127.589,124.942,124.54,125.146,141.904,138.224,139.204,143.451,146.391,148.612,142.969,136.355,131.729,125.767,134.953,133.735,139.128,146.139,148.13,152.472,147.654,144.327,151.445,152,154.142,155.096,152.717,159.773,159.111,159.78,162.305,170.888,157.774,163.475,160.209,161.394,157.284,161.628,163.545,162.656,156.273,149.777,141.653,132.208,105.092,84.854,90.218,110.343,114.585,123.929,129.163,136.321,131.583,140.914,139.04,142.723,151.033,160.764,163.24,163.327,162.19,165.81,170.616,164.819,172.152
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",32.166,32.405,32.481,32.454,32.567,32.505,32.871,32.959,33.158,33.451,33.695,33.728,34.25,35.081,35.536,35.851,36.576,37.136,36.978,37.398,37.223,37.374,36.836,36.838,36.634,36.817,37.258,37.799,38.474,38.702,38.95,39.201,39.467,40.311,41.023,41.035,41.265,42.751,43.25,43.735,43.787,44.103,44.576,44.815,45.067,44.411,44.256,44.859,45.844,45.438,46.049,45.629,44.923,44.991,44.811,45.021,45.431,46.406,47.09,47.875,48.823,49.816,50.297,50.487,51.086,51.484,52.18,52.653,53.262,53.463,53.971,54.321,54.725,55.397,55.936,56.813,57.182,57.794,58.25,58.911,59.42,60.058,60.587,60.789,61.531,61.746,61.753,61.488,61.354,61.705,61.876,62.248,62.97,63.543,64.15,64.68,64.814,65.178,65.576,66.247,66.756,67.808,68.161,68.893,69.174,69.498,70.15,70.509,71.261,72.225,72.909,73.832,74.303,75.48,76.29,76.775,77.629,78.421,79.471,80.426,81.296,81.985,82.971,84.398,84.599,86.393,86.659,87.241,87.114,87.385,87.136,87.238,87.934,88.389,88.735,88.884,89.42,90.145,91.709,92.74,93.294,94.081,94.792,95.632,96.699,97.194,97.845,98.66,99.784,100.168,100.236,101.119,101.106,101.873,102.595,103.097,102.503,103.169,102.812,101.017,99.935,99.74,99.714,100.612,100.848,101.744,102.33,103.142,102.633,103.495,103.789,104.909,105.718,105.999,106.749,106.809,107.057,107.646,108.879,109.473
"26","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0.059,0.071,0.081,0.088,0.094,0.106,0.123,0.133,0.154,0.184,0.2,0.219,0.223,0.242,0.276,0.265,0.249,0.254,0.259,0.31,0.355,0.408,0.431,0.483,0.544,0.624,0.692,0.696,0.756,0.728,0.786,0.836,0.888,0.857,0.902,0.986,1.047,1.123,1.141,1.205,1.27,1.319,1.379,1.33,1.491,1.509,1.497,1.568,1.528,1.515,1.583,1.586,1.647,1.772,1.947,1.951,2.156,2.297,2.372,2.57,2.589,2.819,2.958,3.126,3.195,3.369,3.734,4.337,4.877,5.384,6.288,7.148,7.791,8.634,9.431,10.638,12.01,13.643,14.188,15.437,16.991,18.958,20.78,23.197,25.573,27.418,27.141,30.45,33.595,34.578,36.342,39.616,38.216,36.441,38.22,37.865,37.91,40.131,41.294,42.659,42.691,48.484,50.407,47.111,47.207,47.842,50.971,51.904,55.635,57.694,61.541,66.228,69.567,71.799,75.305,75.246,76.434,84.64,92.701,93.475,98.512,96.669,97.162,104.283,103.21,97.941,94.567,100.481,92.83,90.925,97.945,103.067,103.201,102.459,112.3,121.057,113.872,114.126,126.373,131.57,136.355,131.927,130.69
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.39,46.072,46.483,47.073,47.148,47.189,47.495,47.573,47.703,46.681,46.549,47.388,48.344,47.982,48.506,47.882,47.092,47.377,47.198,47.235,47.784,48.821,49.719,50.725,51.684,52.537,52.982,53.348,53.884,54.335,55.212,55.587,56.071,56.296,56.888,57.156,57.507,58.124,58.615,59.583,59.888,60.654,60.984,61.772,62.424,62.847,63.313,63.454,64.128,64.394,64.415,63.836,63.532,64.007,64.277,64.507,65.274,65.943,66.553,67.207,67.287,67.686,67.971,68.859,69.508,70.452,70.839,71.586,71.734,71.905,72.456,72.861,73.245,74.47,75.084,75.813,76.295,77.354,78.235,78.811,79.523,80.216,81.18,82.446,83.127,83.746,84.758,86.248,86.392,87.948,88.035,88.464,88.13,88.638,88.405,88.586,89.429,89.919,90.314,90.337,90.776,91.639,93.114,94.151,94.765,95.494,96.329,97.106,98.162,98.658,99.446,99.96,101.136,101.422,101.491,102.258,102.325,103.108,103.747,104.073,103.366,103.851,103.346,101.109,99.658,99.559,99.904,100.88,101.251,102.265,102.979,103.666,103.306,104.122,104.479,105.694,106.63,106.979,107.718,107.713,108.003,108.653,109.779,110.499
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.493,45.826,46.254,46.753,46.818,46.872,46.974,46.913,46.942,45.517,45.073,46.16,47.201,46.828,47.383,46.884,46.171,46.362,46.558,46.611,47.179,48.495,49.66,50.794,52.035,52.994,53.498,53.942,54.355,55.061,55.921,56.374,56.724,57.13,57.776,57.942,58.239,58.826,59.241,60.17,60.2,60.741,61.114,61.941,62.409,62.635,63.021,63.177,63.828,64.008,63.974,63.162,62.75,63.107,63.393,63.623,64.295,65.048,65.597,66.368,66.561,66.994,67.375,68.324,69.053,70.014,70.347,71.123,71.322,71.443,71.679,72.057,72.634,73.885,74.699,75.103,75.791,76.793,77.788,78.547,79.501,80.484,81.609,82.835,83.751,84.556,85.719,87.191,87.7,89.293,89.556,90.098,89.701,90.144,90.072,90.319,91.22,91.856,92.363,92.701,93.037,94.058,95.434,96.508,97.214,98.27,99.178,100.06,101.128,101.56,102.34,103.022,104.096,104.346,104.537,104.839,104.968,105.612,105.86,105.596,104.898,104.846,104.155,102.088,100.137,99.407,99.794,100.662,101.265,102.649,103.572,103.942,103.614,104.224,104.518,105.858,106.651,106.954,107.722,107.486,107.871,108.549,109.583,109.976
"29","20","  Research and development","Y694RA3",33.02,33.12,33.054,32.783,32.253,31.729,31.389,31.004,30.944,30.956,31.011,31.248,31.756,32.077,32.265,32.608,32.873,32.936,32.839,32.645,32.239,32.041,31.909,31.652,31.299,31.265,31.64,32.168,32.869,33.126,33.462,33.715,34.112,34.631,35.041,35.447,35.918,36.681,37.169,37.685,38.192,38.602,39.108,39.688,40.051,40.255,40.649,41.398,42.002,42.297,42.923,43.091,43.559,43.996,44.518,44.765,45.35,46.295,47.026,48.092,48.815,50.108,51.255,52.786,54.191,55.354,56.221,57.074,57.354,57.538,58.091,58.872,59.671,60.226,60.703,60.955,60.621,60.864,61.225,61.639,61.836,61.959,62.312,62.865,63.543,64.048,64.193,64.117,64.149,64.587,63.847,64.482,64.207,63.797,63.154,62.869,62.959,62.89,62.58,61.758,61.836,62.029,62.472,62.647,62.685,63.403,63.764,64.922,65.659,66.454,67.448,68.492,69.239,69.095,69.323,69.477,70.754,71.382,72.32,72.227,73.186,74.187,75.784,76.057,77.458,77.54,78.324,78.34,79.57,80.173,80.314,80.553,80.061,80.887,81.149,82.52,83.042,83.48,83.462,83.622,84.006,84.968,86.283,87.006,89.03,89.634,90.653,89.862,90.971,92.733,95.474,97.092,97.281,97.856,97.916,100.534,101.093,101.72,100.602,100.423,98.989,100.004,100.017,100.99,101.268,101.002,102.401,102.972,102.958,103.218,103.502,103.424,103.131,102.554,102.99,103.103,103.064,103.561,104.325,104.878
"30","21","  Gross domestic product excluding research and development","Y695RA3",32.493,32.597,32.809,32.67,32.627,32.701,33.007,32.669,33.569,33.765,34.033,34.129,34.738,35.554,35.885,36.486,37.399,37.832,37.624,37.989,37.677,37.784,37.413,37.267,36.816,37.107,37.725,38.23,39.094,39.389,39.585,39.882,40.346,41.142,41.876,41.869,42.005,43.655,44.079,44.67,44.746,44.791,45.106,45.21,45.35,44.402,44.322,45.143,46.085,45.732,46.253,45.695,44.897,45.137,44.955,44.993,45.583,46.625,47.543,48.521,49.492,50.349,50.826,51.199,51.684,52.138,52.949,53.334,53.835,54.085,54.63,54.9,55.273,55.897,56.406,57.357,57.699,58.477,58.814,59.604,60.217,60.7,61.156,61.274,61.945,62.177,62.189,61.646,61.349,61.826,62.152,62.413,63.179,63.906,64.561,65.233,65.355,65.756,66.093,67.02,67.691,68.634,69.037,69.835,70.079,70.31,70.917,71.4,71.86,73.125,73.791,74.561,75.123,76.289,77.279,77.89,78.644,79.408,80.447,81.803,82.559,83.244,84.285,85.773,85.985,87.649,87.741,88.22,87.926,88.388,88.108,88.323,89.188,89.664,90.099,90.106,90.56,91.425,93.009,94.086,94.651,95.367,96.188,97,98.032,98.563,99.36,99.944,101.157,101.431,101.449,102.218,102.282,103.075,103.785,104.103,103.371,103.88,103.382,101.104,99.7,99.565,99.89,100.844,101.246,102.253,102.937,103.655,103.311,104.139,104.494,105.779,106.78,107.125,107.87,107.908,108.225,108.893,110.01,110.728
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
