"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","    Net domestic product \1\","A362RC1",895,939.1,1018.9,1121.6,1250.5,1342.7,1451.4,1618.4,1797.6,2031.5,2261,2436.5,2725.9,2810.7,3077.6,3446.4,3710.1,3908,4142.3,4470.2,4821.6,5092.7,5242.9,5579.5,5875.1,6253.2,6541.2,6924.1,7368.5,7778.9,8264.8,8775.5,9021.3,9318.1,9785,10445.3,11113.5,11721.9,12216,12356.9,12049.6,12576.7,13081.3,13701.7,14153.2
"12","4","    Net domestic income \1\","W256RC1",893.4,933.8,1009.4,1114.4,1244.4,1335.2,1438.1,1597.9,1778.4,2008.4,2216.2,2392.6,2689.2,2803.9,3023.4,3407.7,3658.8,3831.2,4101.7,4470.7,4757.4,5001.4,5154.5,5468.7,5722.8,6116.4,6450.7,6867.6,7356.3,7839,8297.3,8870,9132.8,9388.2,9797.1,10451.8,11147.3,11937.1,12195.8,12257.9,11977.3,12533.6,13134.9,13718.8,14285.3
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RC1",1026,1082.3,1175.4,1291,1441.2,1564.3,1701.9,1894.4,2106.2,2378.2,2664.1,2896.7,3243.9,3381.5,3675.2,4077,4372.1,4607.1,4887.7,5275.3,5682.5,6014.3,6205.6,6570.4,6910.7,7332.6,7692.8,8131.9,8632.6,9107.4,9692.8,10326.8,10677.1,11028.8,11580.3,12367.1,13189,13926.3,14606.8,14893.2,14565.1,15164.2,15794.6,16497.4,17057.5
"15","6","    Gross national income","A023RC1",1024.4,1076.9,1165.9,1283.9,1435.1,1556.9,1688.7,1874,2087,2355,2619.3,2852.8,3207.2,3374.7,3621.1,4038.3,4320.8,4530.4,4847.2,5275.8,5618.3,5922.9,6117.3,6459.5,6758.4,7195.8,7602.3,8075.4,8620.3,9167.6,9725.3,10421.3,10788.6,11098.9,11592.3,12373.6,13222.7,14141.6,14586.6,14794.2,14492.9,15121.1,15848.3,16514.5,17189.7
"16","7","    Net national product \1\","A027RC1",901.1,945.5,1026.5,1130.1,1263.1,1358.2,1464.4,1635.2,1817.9,2053.1,2292.9,2470.7,2758.8,2847.2,3114.7,3482.6,3735.4,3924.9,4159.7,4492.9,4846.4,5127.4,5274.5,5610.6,5907.1,6277,6570,6955.9,7392.6,7797.1,8292,8812.5,9073.1,9366.7,9853.1,10535.4,11207,11790.3,12342.4,12529.8,12196.7,12782.6,13342,13954.6,14410.9
"17","8","    National income \2\","A032RC1",899.5,940.1,1017,1123,1257,1350.8,1451.1,1614.8,1798.7,2029.9,2248.2,2426.8,2722.1,2840.4,3060.5,3444,3684.2,3848.2,4119.2,4493.4,4782.2,5036.1,5186.1,5499.7,5754.8,6140.2,6479.5,6899.4,7380.4,7857.3,8324.4,8907,9184.6,9436.8,9865.1,10541.9,11240.8,12005.6,12322.3,12430.8,12124.5,12739.5,13395.7,13971.6,14543.1
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Gross domestic purchases","A712RC1",1018.4,1071.9,1167.1,1285.8,1424.4,1549.6,1672.9,1879.2,2109,2381.9,2654.7,2875.6,3223.5,3365,3689.8,4143.4,4460.8,4722,5015,5362,5744.4,6057.4,6202.7,6574,6943.9,7401.2,7753.8,8196.6,8710.5,9251.9,9927.1,10669.8,10994.3,11405.2,12013.2,12891.8,13811.1,14620.3,15190.1,15433.5,14810.1,15476.7,16102.6,16791.8,17297
"20","10","    Final sales to domestic purchasers \3\","A713RC1",1009.3,1069.9,1158.9,1276.7,1408.6,1535.6,1679.2,1862.1,2086.7,2356.1,2636.7,2881.9,3193.7,3379.9,3695.5,4078,4438.9,4715.5,4987.8,5343.5,5716.7,6042.9,6203.1,6557.7,6923.1,7337.5,7722.6,8165.8,8639.5,9188.2,9866.3,10615.3,11032.6,11386.7,11993.9,12828,13751.6,14553.3,15155.7,15465.5,14957.7,15415.2,16066.2,16725.7,17191
"21",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","11","    Disposable personal income","A067RC1",695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.3,5000.2,5244.2,5532.6,5829.9,6148.9,6561.3,6876.3,7400.5,7752.3,8099.2,8486.7,9003.2,9401.8,10037.7,10507.9,10995.4,10937.2,11243.7,11787.4,12245.8,12476.7
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
