"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"11","3","          Value added","W102RX1",1648.4,1649.4,1655,1662.4,1671.3,1684.8,1682.2,1685.2,1696.4,1707.5,1717.3,1723.5,1732.5,1741.3,1748.6,1751.6,1760.6,1765.6,1766.6,1767.9,1771.9,1775,1778.8,1785.7,1790.1,1791.6,1796.2,1798.5,1798.8,1802.9,1813.6,1820.9,1823.8,1829.3,1837.4,1848.2,1858,1865.7,1879.7,1888.4,1896.3,1909.1,1910.4,1914.7,1917.2,1925.8,1918.4,1916.5,1915.4,1913,1909.8,1910.7,1912.2,1910.7,1913.7,1911.6,1910,1909,1903.8,1897.3
"12","4","            Compensation of general government employees","A194RX1",1354.6,1354.1,1358.3,1364.4,1372.1,1384.3,1379.9,1381.2,1391,1400.7,1409.1,1413.8,1421.4,1428.6,1434,1435,1442.4,1445.3,1444,1442.9,1444.5,1445.1,1446.3,1450.6,1452.4,1451.2,1453.1,1452.5,1450,1451.1,1458.9,1463.1,1463,1465.4,1470.4,1478,1484.6,1489.2,1499.8,1505,1509.4,1519.5,1518.8,1521.8,1521.1,1526.8,1516.8,1512.9,1509.9,1505.8,1501,1500.3,1500.4,1497.6,1499.4,1496.1,1493.4,1491.4,1485,1477.5
"13","5","            Consumption of general government fixed capital \2\","A265RX1",295.3,296.5,297.9,299.2,300.5,302,303.4,304.9,306.4,307.9,309.4,310.9,312.3,313.9,315.6,317.5,319.1,321.2,323.4,325.7,328,330.4,332.9,335.5,338.1,340.7,343.4,346.3,349.1,352,354.9,357.9,360.9,364,367.1,370.2,373.4,376.6,379.9,383.4,386.9,389.6,391.6,392.9,396.1,399.1,401.7,403.9,405.7,407.5,409.2,410.7,412.1,413.5,414.7,415.9,417,418,419.2,420.3
"14","6","          Intermediate goods and services purchased \3\","W104RX1",665.9,677.3,695.3,713.8,689.6,714.8,713.8,723.8,747.9,765.2,777.2,791.3,811,822.3,831.2,840.9,823.3,857.4,844.3,860.6,863.8,870.5,880.8,869.8,876.2,873.1,890.6,878,899.4,894.9,895.4,902.4,893.3,903.7,915.9,912.5,912.9,911.1,934,947.3,952.5,984.6,999.4,1000.8,985.6,985.8,990.7,968.3,937.7,939.3,943.7,923.7,927.3,928.4,954.2,914.8,903.6,900,902.6,881.6
"15","7","            Durable goods","W105RX1",41.7,45,47,45,45.7,45.9,46.6,45.9,45.9,48.3,50.1,47.5,48.2,49.5,51.1,49.8,48.6,52.1,53,53.2,53.7,55.2,57,55.6,54.7,55.8,57.1,57.3,58.6,58.9,60.2,62,61,62.9,65.6,66.7,67.4,69.7,72,73,69.9,74.2,77.5,76,71.9,74,76,77.9,68.9,71,72.2,73.8,69.5,70.2,72,70.9,66.6,67.9,67.5,66.3
"16","8","            Nondurable goods","W106RX1",188.8,192.8,197.3,196.3,201.5,202.6,204.3,207.8,213.6,221.6,221,226.1,227.6,231.6,230.2,231.6,229.2,232.3,229.6,233.6,237.1,238.4,238.9,236.2,240.2,237.7,241.1,241.5,242.3,241.9,245.1,245.3,247.8,249,249.9,247.7,246.1,245.7,246.5,251.8,257.6,264,265.9,264.2,258.4,256,252.3,248.9,246.3,243.4,244.1,245.5,245.6,245.4,245.4,246.8,246.5,243.1,243.2,241.3
"17","9","            Services","W107RX1",436.2,439.6,450.9,472.6,442.9,466.8,463.6,471.1,489.7,496.5,506.8,519.3,536.4,542.5,550.4,560.3,546.4,573.2,561.7,573.8,573.2,576.9,584.6,577.9,581.3,579.5,592.3,578.8,598.4,594,589.7,594.6,583.9,591.2,599.8,597.4,598.9,595.3,616,622.7,625.1,646.5,656,660.6,655.4,656,663,642,622.3,625.1,627.9,603.7,611.6,612.3,637.4,595.7,588.5,587.4,590.4,571.9
"18","10","        Less: Own-account investment \4\","W108RX1",51.1,53.7,53.6,54.2,54.2,54.3,55.7,56.2,58.7,60.7,60.6,61.2,62,62.2,62.8,63,62.8,63,63.3,63.5,62.8,63.3,63.5,63.6,63.9,64.9,65.5,66.1,66.1,67.2,67.6,68,68.5,69.1,69.5,69.7,70,70.4,70.7,71,71.2,71.3,71.1,70.3,69.5,69.4,69.6,68.8,68.5,68.4,68.3,68.3,66.9,66.6,66.2,65.5,65.3,65.4,65.8,65.1
"19","11","        Less: Sales to other sectors \5\","W109RX1",312.4,317.2,320.2,321.9,329.6,331.8,336.6,344.7,347,349,352.5,356.8,357.1,356.1,360.3,358.3,359,360.9,360.6,361.2,362.1,362.9,364.7,365.9,368.2,366.4,369.3,371.3,375.1,376.3,377.3,374.1,374.1,376.4,377.3,375.4,373.8,373.3,376.2,373.9,375.1,377.7,380.4,382.5,384.2,387.3,389.9,390,392.1,396.1,411,400.4,400.6,402.9,402,401.8,404.9,406.2,407.9,409.9
"20","12","Federal consumption expenditures \1\","A957RX1",636.7,632.9,644.1,659,632.3,662.7,646.1,642.3,659.6,670.5,674.6,678.4,695,708,715.4,730.8,728.4,768.3,760.2,778,782.9,787.9,799.3,791.1,797.8,795.9,809.5,795.7,815.4,809.4,811.8,817.3,804.5,813.3,832,837.3,852.5,860.3,887.9,905.2,903.1,935.2,947.4,949.1,959.6,977.8,987.2,976.3,954.5,959.4,952.3,944.8,947.3,943.6,970,928.2,911.5,903.9,897.8,866.9
"21","13","      Gross output of general government","W110RX1",665.7,666.9,678.5,691.2,667,695.7,680.5,680.3,695.7,705.4,710,715.9,732.1,743.3,754.4,767.5,766.1,807.5,798.4,816.3,820.2,825.5,838.5,831.3,839.4,836,852.6,840.6,857.6,851.9,854.7,859.3,845.7,855.2,873.8,879,894.6,902.7,933.3,948.3,946.9,979.3,992.1,994,1004.5,1023.5,1033.6,1020.1,997.5,1003.7,1008.9,989,989.4,986.5,1010.8,968.4,952.7,944.2,938.1,906.1
"22","14","        Value added","W111RX1",501.2,497.8,496.7,496.5,499.1,507.1,499.6,497.7,501.5,503.4,504.2,503,507.3,510.3,513.4,515.5,521.4,525.4,526.6,527.7,530.5,531.2,534.1,537.9,539.6,539.7,540.5,543.4,541.5,542.9,547.7,549,549.4,550,555.2,558,563.4,569.3,577.7,586.3,592.6,603.6,607.5,610.8,617.5,627.4,625.4,626.7,629.3,630.3,630.3,631.8,631.7,630.5,629.6,628.5,626.6,624.1,617,609
"23","15","          Compensation of general government employees","B568RX1",323.7,319.8,318.2,318,320.9,329.9,321.1,318.6,322.5,324.4,324.8,323.1,327.5,330.3,332.9,334.1,339.2,342.2,342.2,341.8,343.3,342.4,343.7,345.9,345.9,344.1,343.1,344.1,340.3,339.7,342.7,342,340.4,339.1,342.4,343.2,346.6,350.4,356.6,362.8,366.7,375.8,378.5,381,385.3,393.1,389.3,389.1,390.4,390.2,389.2,389.7,388.7,386.7,385,383.3,380.8,377.8,370.1,361.6
"24","16","          Consumption of general government fixed capital \2\","B995RX1",178.2,178.2,178.3,178.3,178.4,178.5,178.7,178.9,179.2,179.4,179.7,180,180.3,180.7,181.4,182.2,183.2,184.2,185.4,186.7,188,189.5,191,192.6,194.2,195.9,197.7,199.5,201.4,203.3,205.2,207,208.9,210.8,212.8,214.7,216.8,218.9,221.1,223.5,225.9,227.8,229.1,229.7,232.1,234.3,236.1,237.7,239,240.2,241.3,242.2,243.1,243.9,244.7,245.4,246,246.6,247.2,247.8
"25","17","        Intermediate goods and services purchased \3\","W113RX1",169.4,173.6,185.6,197.7,172.5,192.2,184.8,186.4,197.4,204.7,208.4,215,226.5,234.4,242.1,252.7,245.7,282.5,272.4,289,290,294.5,304.6,293.9,300.2,296.7,312.3,297.6,316.3,309.3,307.3,310.6,296.6,305.5,318.9,321.3,331.5,333.7,355.5,361.9,354.2,375.7,384.6,383.2,387,396.1,408.2,393.4,368.3,373.5,378.6,357.5,358,356.3,381.2,340.4,326.9,321,321.9,298
"26","18","          Durable goods","W114RX1",23.1,26.1,27.8,25.3,25.7,25.6,25.8,24.9,24.2,26.2,27.8,25,25.6,27,28.8,27.5,26.6,30.2,31,31.2,31.4,32.7,34.4,33,32.1,33,34.2,34.3,35.4,35.5,36.6,38.2,36.8,38.6,41.2,42.4,43.3,45.7,47.9,48.6,45,49.1,52.3,50.8,47.3,49.7,52,54.2,45.4,47.7,48.9,50.6,46.2,46.7,48.6,47.6,43.3,44.6,44,42.8
"27","19","          Nondurable goods","W115RX1",22.5,24,26.5,23.6,27.9,27.4,26.6,27.4,29.1,33.8,30.5,33.2,32.3,35.4,33.9,35.7,36.9,41,38.2,41.8,44.1,43.8,44.1,41.5,45.3,42.5,44.7,44.2,44.2,42.7,44.6,42.8,42.7,43,44.2,43.5,45.3,46.1,46.3,48.4,49.4,52.3,52.1,49.6,51.1,52.1,51.1,50.3,49.7,48,48.9,49.8,48.8,47.6,47.1,48.3,47.2,43.1,42.3,39.7
"28","20","          Services","W116RX1",122.9,122.1,130,148,118,138.6,131.6,133.5,143.9,144.7,149.4,157,168.4,172.1,179.1,189.5,182.4,211.5,202.9,216.1,214.8,218.1,226,219.3,223,221.3,233.5,219.1,236.8,231.2,225.9,229.5,216.9,223.8,233.3,235.2,242.7,241.7,261.6,265.1,259.9,274.4,280.1,282.7,288.6,294.3,305.3,289.2,273,278,280.9,256.9,262.7,262,286,244.2,235.8,233.3,235.6,215.6
"29","21","      Less: Own-account investment \4\","W117RX1",24.1,26.6,26.6,26.2,25.4,26,26.6,27.1,28.5,29.2,29.4,29.7,30.1,30.4,30.9,31.1,31.2,31.5,31.4,31.8,31.1,31.2,31.5,31.6,31.8,32.1,32.4,32.6,32.5,32.8,33.2,33.5,33.7,33.9,34.2,34.1,34.3,34.3,34.5,34.6,34.6,34.6,34.9,35.2,35,34.6,34.7,34.6,35,35.1,34.9,34.6,33.7,33.2,32.9,32.6,32.5,32.4,32.3,31.5
"30","22","      Less: Sales to other sectors","W118RX1",5.1,7.3,7.8,6.2,9.2,7.2,7.8,10.7,7.4,5.6,5.9,7.5,6.8,4.7,7.9,5.4,6.4,7.6,6.7,6.6,6.2,6.3,7.8,8.7,10,8.1,10.7,12.3,9.7,9.8,9.7,8.6,7.5,8,7.6,7.6,7.9,8.1,10.9,8.5,9.1,9.5,9.7,9.7,9.9,11.2,11.7,9.1,8,9.3,21.6,9.7,8.6,9.7,8,7.6,8.8,7.9,8.1,7.7
"31","23","    Defense consumption expenditures \1\","A997RX1",420.2,420.7,431.6,445,412.2,435.1,422.8,423,430.2,434.4,437.5,439.3,449.9,455.6,459.6,470.8,468,505.3,494.7,510.6,513.9,517.5,531.2,517.1,523.4,524.6,536.3,518.6,529.4,528.3,527.6,538.6,526,533.5,548.8,549.6,559.1,562.1,588.6,597,587.4,612.1,626.6,627,625.3,633.7,647.1,637.9,620.7,631.7,638.7,617.4,613.2,608.4,631.7,588.1,573.4,568.8,566.3,545.6
"32","24","      Gross output of general government","W085RX1",432.3,434.9,447.4,459.2,428.4,449,438.3,437.4,448.2,450.4,454.2,456.9,467.6,473.1,480.6,489.5,487.7,524.8,514,529.9,532.8,536.6,550.5,537,543.3,545.1,557.3,540.2,551.5,550.8,550.3,561.5,548.7,556.1,571.4,572.5,582.3,585.5,612,620.4,610.7,635.3,649.9,650.3,648.5,656.5,670,661.1,644.2,655.3,662.4,641,636.1,631,654,610.2,595.5,590.7,588.2,567.2
"33","25","        Value added","W086RX1",312.9,311.5,311.4,310.5,308.2,308.7,308.2,307.3,308,308,308.2,308,310.5,312.2,313.3,312.8,317.6,320.8,322,322.9,326.1,326.3,329.3,331.5,332.8,332.9,334.1,335.5,333.3,333.8,337.2,338.6,337.7,338.1,341.8,343.6,346.7,350.2,356.8,362.1,365.7,371.6,376.8,379.7,382.4,384.6,386.5,388.3,389.3,390.4,391.3,392.6,389.5,388,387.2,385.5,383.5,382.3,376,376.6
"34","26","          Compensation of general government employees","B237RX1",195.2,194.2,194.8,194.5,192.6,193.7,193.6,193,193.9,194.3,194.8,194.8,197.8,199.7,200.7,199.7,204.2,206.8,207.3,207.3,209.6,208.8,210.7,211.8,211.8,210.7,210.6,210.8,207.4,206.5,208.6,208.8,206.6,205.7,208,208.4,209.9,212,217.1,220.7,222.5,227.2,231.5,233.9,235,235.9,236.6,237.4,237.8,238.3,238.7,239.6,236.2,234.5,233.5,231.6,229.6,228.3,222,222.6
"35","27","          Consumption of general government fixed capital \2\","B432RX1",116.8,116.2,115.8,115.3,114.7,114.3,114,113.8,113.6,113.4,113.2,113,112.8,112.8,113,113.3,113.9,114.5,115.2,116.1,117,117.9,119,120.1,121.3,122.5,123.6,124.9,126.1,127.3,128.6,129.8,131.1,132.5,133.9,135.2,136.7,138.2,139.8,141.4,143.1,144.4,145.3,145.7,147.4,148.7,149.9,150.8,151.5,152.1,152.6,153,153.3,153.5,153.8,153.9,154,154.1,154.2,154.2
"36","28","        Intermediate goods and services purchased \3\","W087RX1",123.2,127,138.7,150.4,123.8,142.6,133.1,132.9,142.5,144.4,147.9,150.6,158.5,162.1,168.3,177.2,170.9,204.2,192.4,207.1,206.9,210.4,221.1,205.8,210.7,212.3,223.2,205,218.3,217.2,213.4,223,211.1,218.1,229.8,229.1,235.8,235.4,255.1,258.2,245,263.7,273.1,270.6,266.1,271.9,283.6,272.9,255.1,265,271,248.7,246.9,243.4,266.8,225.3,212.8,209.2,212.8,191.3
"37","29","          Durable goods","A998RX1",21.8,24.8,26.5,23.9,24.4,24.2,24.3,23.3,22.7,24.7,26.2,23.3,23.7,25,26.8,25.4,24.6,28.2,28.9,29.1,29.3,30.5,32.2,30.6,29.7,30.5,31.6,31.7,32.5,32.7,33.8,35.5,34.1,35.8,38.3,39.4,40.2,42.5,44.7,45.3,41.6,45.6,48.8,47.3,43.6,45.8,48.1,50.3,41.6,44,45.3,46.9,42.5,42.9,44.7,43.7,39.4,40.8,40.3,39.1
"38","30","          Nondurable goods","A725RX1",13.2,14.5,17.6,14.6,17.4,16.7,14.5,14.3,14.9,16.6,15.7,17.5,17.4,18.8,17.8,19.7,20.3,21.4,17.5,20.7,23.3,22.9,25.2,19.6,21.1,23.8,24.2,22.5,21.9,21.5,23.4,22.7,23.1,22.6,23.1,21.7,22.8,23.3,23.2,24.2,22.8,24.7,26.4,23.9,24,24.1,23,23.2,24,23.5,24.6,25,23.9,22.3,21.7,22.5,21.1,18.3,18,16.3
"39","31","          Services","A489RX1",87.4,86.6,94,111.2,81.6,101.4,93.5,94.7,104.4,102.8,105.2,109.8,117.2,118.3,123.3,132.1,126.3,154.5,144.9,156.8,154.2,156.8,163.7,155,159.7,157.8,167.3,150.5,163.7,162.8,155.8,164.4,153.4,159.2,167.9,167.7,172.6,169.2,187.5,188.8,180.6,193.3,197.9,199.5,198.4,201.9,212.8,199.6,189,197.4,201,176.1,180.1,178.1,201,158.7,151.8,150.5,154.9,136.4
"40","32","      Less: Own-account investment \4\","W088RX1",11.2,12.1,12.1,12.1,11.9,12.2,12.6,13,13.8,14,14.4,15,15.4,15.7,15.9,16.2,16.3,16.4,16.3,16.4,16,16.1,16.2,16.4,16.5,16.7,17,17.2,17.3,17.6,18,18.4,18.8,19.2,19.4,19.5,19.6,19.6,19.5,19.5,19.4,19.4,19.5,19.6,19.6,19.3,19.4,19.6,19.8,19.9,19.9,19.8,19.2,18.9,18.7,18.5,18.5,18.5,18.4,18.1
"41","33","      Less: Sales to other sectors","W089RX1",1.2,2.3,4,2.5,4.6,2,3.1,1.5,4.2,2,2.4,2.6,2.2,1.8,5.1,2.4,3.4,3.1,3,3,2.9,3,3.2,3.4,3.4,3.7,4.1,4.5,4.8,5,4.9,4.6,3.8,3.5,3.3,3.4,3.7,3.9,3.9,4,3.9,3.8,3.8,3.7,3.5,3.5,3.5,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.4,3.5,3.5
"42","34","    Nondefense consumption expenditures \1\","A542RX1",216.6,212.4,212.8,214.5,220.2,227.7,223.4,219.5,229.4,236.1,237.1,239.1,245.1,252.3,255.7,260,260.3,263.1,265.6,267.4,269,270.4,268.2,274,274.4,271.3,273.3,277.2,286.1,281.1,284.3,278.7,278.5,279.8,283.2,287.7,293.4,298.3,299.2,308.1,315.7,323.1,320.8,322.1,334.2,344.1,340.1,338.4,333.8,327.7,313.6,327.3,334,335.2,338.3,340.2,338.1,335.1,331.5,321.4
"43","35","      Gross output of general government","W128RX1",233.5,232.1,231.4,232.5,238.6,246.8,242.3,243,247.5,255,255.8,258.9,264.5,270.1,273.7,277.9,278.3,282.8,284.4,286.4,287.4,288.9,288.1,294.4,296.2,291,295.3,300.5,306.2,301.1,304.4,297.8,297,299.1,302.3,306.5,312.3,317.3,321.1,327.8,336.1,344,342.2,343.7,356,367,363.5,359,353.3,348.4,346.5,348,353.3,355.4,356.8,358.2,357.2,353.5,350,339
"44","36","        Value added","W129RX1",188.6,186.7,185.6,186.3,191,198.3,191.5,190.5,193.6,195.4,195.9,195,196.8,198.1,200.1,202.6,203.7,204.6,204.6,204.7,204.4,204.9,204.8,206.4,206.8,206.7,206.4,207.9,208.2,209.1,210.6,210.4,211.7,211.9,213.4,214.4,216.7,219,220.9,224.2,226.9,232,230.7,231.1,235.1,242.8,238.9,238.5,240.1,239.9,239,239.3,242.2,242.5,242.4,243.1,243.1,241.8,240.9,232.4
"45","37","          Compensation of general government employees","W130RX1",128.5,125.6,123.6,123.6,128.2,135.7,127.4,125.6,128.5,129.9,129.9,128.3,129.7,130.5,132.1,134.3,134.9,135.4,134.8,134.4,133.6,133.6,133,134.1,134,133.4,132.5,133.3,133,133.2,134,133.2,133.9,133.5,134.4,134.9,136.6,138.3,139.5,142.1,144.1,148.6,146.9,147.1,150.3,157.2,152.7,151.6,152.6,151.9,150.4,150.1,152.4,152.2,151.5,151.7,151.2,149.4,148.1,139.1
"46","38","          Consumption of general government fixed capital \2\","B546RX1",61.5,62,62.6,63.1,63.7,64.2,64.7,65.2,65.6,66.1,66.5,67,67.5,67.9,68.4,68.8,69.3,69.7,70.1,70.6,71.1,71.5,72,72.5,72.9,73.5,74,74.6,75.3,75.9,76.6,77.2,77.8,78.4,78.9,79.5,80.1,80.7,81.3,82,82.8,83.4,83.8,84,84.8,85.5,86.2,86.9,87.5,88.1,88.6,89.2,89.8,90.4,90.9,91.5,92,92.5,93.1,93.7
"47","39","        Intermediate goods and services purchased \3\","W131RX1",46.2,46.6,47,47.4,48.7,49.7,51.8,53.4,54.9,60.3,60.5,64.4,68,72.2,73.8,75.5,74.8,78.3,80,81.8,83.1,84.1,83.5,88.2,89.5,84.3,89,92.7,98.1,92.1,93.9,87.5,85.5,87.4,89.1,92.2,95.7,98.3,100.3,103.6,109.1,112,111.5,112.7,120.9,124.2,124.7,120.5,113.2,108.5,107.5,108.7,111.1,112.9,114.4,115.1,114.1,111.8,109.1,106.7
"48","40","          Durable goods","A543RX1",1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.5,1.6,1.7,1.7,1.9,2,2,2.1,2.1,2,2.1,2.1,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.9,2.8,2.8,2.7,2.7,2.8,2.9,3,3.1,3.2,3.2,3.4,3.4,3.5,3.6,3.5,3.8,3.9,3.9,3.9,3.7,3.6,3.6,3.6,3.7,3.8,3.9,3.9,3.8,3.8,3.7,3.7
"49","41","          Nondurable goods","A729RX1",9.5,9.8,9.7,9.4,10.8,10.9,12,13.1,14,16.9,14.6,15.4,14.8,16.4,15.9,16,16.6,19.3,20,20.6,20.7,20.6,19.1,21.6,24,18.5,20.4,21.5,22.2,21,21,19.8,19.4,20.1,20.8,21.6,22.3,22.9,22.9,24,26.5,27.6,25.8,25.8,27.1,28,28.3,27.1,25.5,24.3,24,24.3,24.7,25.4,25.5,25.8,26.4,25.3,24.7,24
"50","42","            Commodity Credit Corporation inventory change","B826RX1",0.1,0.3,0.3,-0.1,0.7,0.7,0.9,1.5,1,3.3,-0.2,-0.3,-0.2,0.7,0.2,-0.2,-0.4,0.3,-0.3,-0.2,-1.2,-0.7,-1.9,-0.4,1.7,-3.2,-0.8,0.2,-0.3,0.1,0,0,0,-0.1,0,0,0,-1.1,0,0.4,0.2,0.1,0.1,0.1,-0.3,-0.2,0,0,0,0.1,0,0,0.1,-0.1,0,0.1,0.1,0.1,0.1,0
"51","43","            Other nondurable goods","B828RX1",9.4,9.4,9.4,9.5,10.1,10.2,11.1,11.6,13,13.6,14.7,15.7,14.9,15.7,15.7,16.2,17,19,20.4,20.7,21.9,21.2,21,22,22.3,21.6,21.2,21.4,22.5,21,21,19.8,19.4,20.2,20.7,21.7,22.3,23.9,22.9,23.6,26.3,27.4,25.7,25.7,27.4,28.2,28.3,27.1,25.5,24.2,24,24.4,24.7,25.5,25.4,25.7,26.4,25.3,24.6,24
"52","44","          Services","A544RX1",35.6,35.5,35.9,36.7,36.4,37.2,38.1,38.8,39.4,41.9,44.3,47.1,51.2,53.9,55.8,57.4,56.1,57,58,59.2,60.5,61.3,62.3,64.2,63.3,63.5,66.2,68.7,73.1,68.4,70.2,65.1,63.5,64.6,65.4,67.5,70.2,72.4,74.1,76.3,79.2,81,82.2,83.3,90.1,92.3,92.5,89.5,84,80.6,79.9,80.8,82.6,83.8,85.1,85.3,83.8,82.6,80.6,79
"53","45","      Less: Own-account investment \4\","W136RX1",12.9,14.6,14.5,14.2,13.5,13.8,14,14.1,14.8,15.2,15,14.7,14.7,14.7,15,15,15,15.2,15.1,15.4,15.1,15.1,15.3,15.1,15.3,15.4,15.4,15.4,15.3,15.2,15.2,15.1,14.8,14.8,14.8,14.6,14.7,14.8,15,15.2,15.2,15.2,15.5,15.6,15.5,15.3,15.3,15.1,15.2,15.2,15,14.9,14.5,14.3,14.2,14.1,14,14,13.9,13.4
"54","46","      Less: Sales to other sectors","W137RX1",3.8,4.9,3.8,3.7,4.7,5.2,4.7,9,3.2,3.5,3.5,4.9,4.6,3,2.8,3,3,4.4,3.7,3.6,3.3,3.3,4.6,5.3,6.5,4.3,6.6,7.8,4.9,4.8,4.9,4.1,3.7,4.6,4.4,4.2,4.2,4.3,7,4.5,5.2,5.7,5.9,6.1,6.4,7.7,8.2,5.5,4.3,5.6,17.8,5.9,4.9,6.1,4.4,4,5.2,4.5,4.6,4.3
