"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","14","      Imputations (173+179+185)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,6,5.3,5.3,5.2,4.6,4.5,5.6,6.9,8.2,8.1,7.5,7.5,7.1,6.7,7.2,6.1,6.2,6.6,7.2,7.1,8.3,8.3,9.6,9.4,9.3,10.3,10.7
"23","15","      Excluding imputations (13-14)","W513RC1",51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.7,804.7,860.1,946.3,945.8,982.5,1087.2,1022.7,998.5,1036.7,1176,1303.3,1470.2,1657.4,1833.6,1574.4,1834.2,2090.9,2185.2
"24","16","    Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1250.6,1474.4,1397.8,1429.7,1544.3,1797.9,2026.1,2240.9,2375.5,2556.4,1976,2362,2669.9,2743.1
"25","17","      Imputations (186)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.1,8.2
"26","18","      Excluding imputations (16-17)","W515RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1247.6,1470.7,1392.9,1424.2,1538.3,1791,2021.6,2233.5,2367.2,2546,1965.7,2353.3,2661.8,2735
"27","19","  Government consumption expenditures and gross investment","A822RC1",240.4,254.2,269.3,288.2,306.4,343.1,382.9,405.8,435.8,477.4,525.5,590.8,654.7,710,765.7,825.2,908.4,974.5,1030.8,1078.2,1151.9,1238.4,1298.2,1345.4,1366.1,1403.7,1452.2,1496.4,1554.2,1613.5,1726,1834.4,1958.8,2094.9,2220.8,2357.4,2493.7,2642.2,2801.9,3003.2,3089.1,3174,3158.7,3167
"28","20","    Imputations (171+176+182+190+207+212)","A1684C1",44.1,47.8,51.9,54.9,56,60.6,65.2,65.1,66.7,71.3,75.8,81.7,90.9,100.8,108.4,108.4,119.1,129.1,136.8,150.9,168.4,181.4,194.6,211.1,217,223.9,233.6,234.9,242.2,254,268.5,286.7,300.2,308.4,314.1,340.5,357.5,374.8,378.7,396.4,405.1,429.9,435.7,439.7
"29","21","    Excluding imputations (19-20)","A2089C1",196.3,206.4,217.5,233.3,250.3,282.5,317.7,340.7,369,406.1,449.7,509.1,563.9,609.3,657.3,716.8,789.3,845.4,894,927.3,983.5,1056.9,1103.5,1134.3,1149.1,1179.8,1218.6,1261.6,1312,1359.6,1457.5,1547.7,1658.5,1786.5,1906.7,2016.9,2136.2,2267.4,2423.3,2606.8,2684,2744.1,2723,2727.3
"30","22","    Government consumption expenditures","A955RC1",180.9,194.4,210.8,227.6,240.7,267,298.5,316.2,342.6,371.8,405.4,454.9,507.4,553.1,594.6,632,688.6,736.4,776.1,819.8,881.5,948,1004.1,1049.3,1074.2,1109.6,1144.5,1176.5,1224.6,1272.1,1357.6,1444.2,1545.1,1651.4,1755.6,1868.9,1980,2089.8,2209.7,2368.6,2442.1,2522.2,2526.1,2548
"31","23","      Imputations (171+176+182+190+207+212-213)","A2097C1",-15.4,-12,-6.6,-5.8,-9.6,-15.5,-19.2,-24.5,-26.4,-34.3,-44.3,-54.2,-56.5,-56.2,-62.7,-84.8,-100.7,-109,-117.9,-107.5,-102,-108.9,-99.5,-85.1,-74.9,-70.2,-74.1,-85.1,-87.4,-87.5,-99.9,-103.5,-113.4,-135.2,-151.1,-148,-156.2,-177.6,-213.5,-238.2,-241.9,-221.9,-196.9,-179.3
"32","24","      Excluding imputations (22-23)","A2098C1",196.3,206.4,217.5,233.3,250.3,282.5,317.7,340.7,369,406.1,449.7,509.1,563.9,609.3,657.3,716.8,789.3,845.4,894,927.3,983.5,1056.9,1103.5,1134.3,1149.1,1179.8,1218.6,1261.6,1312,1359.6,1457.5,1547.7,1658.5,1786.5,1906.7,2016.9,2136.2,2267.4,2423.3,2606.8,2684,2744.1,2723,2727.3
"33","25","    Gross government investment","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,632.6,619
"34","26","      Imputations (213)","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,632.6,619
"35","27","      Excluding imputations (25-26)","A1680C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","Gross domestic income","A261RC1",1018.3,1070.5,1158.3,1275.3,1422.4,1541.4,1675.7,1857.1,2066.7,2333.4,2587.4,2818.6,3174.2,3338.2,3584,4002,4295.5,4513.4,4829.7,5253.1,5593.5,5888.2,6085.7,6428.4,6726.4,7171.9,7573.5,8043.6,8596.2,9149.3,9698.1,10384.3,10736.8,11050.3,11524.3,12283.5,13129.2,14073.2,14460.1,14621.2,14345.7,14915.2,15587.5,16261.6
"38","29","    Imputations (153-156+165+170+171+173+175+176+179+181+182+185-186+187+190+199+202+211+212)","A2023C1",128.1,140.3,153.3,166.8,179.8,200.5,224.4,241.6,264.3,300.4,334.6,373.6,418.7,461.3,516.2,548.2,610.8,654.9,697.3,761.2,824.8,883,936.9,1015.9,1087.7,1153.7,1200.6,1244.1,1300.8,1382.3,1483.3,1607.6,1702.9,1780.6,1870.3,2005,2152.3,2255.6,2331.6,2422.4,2450.5,2506,2566.9,2617.2
"39","30","    Excluding imputations (28-29)","W516RC1",890.2,930.2,1004.9,1108.6,1242.6,1340.9,1451.3,1615.5,1802.4,2033,2252.8,2445,2755.6,2877,3067.8,3453.8,3684.6,3858.5,4132.4,4491.9,4768.7,5005.2,5148.8,5412.5,5638.7,6018.3,6372.9,6799.6,7295.4,7767.1,8214.9,8776.6,9033.9,9269.7,9654,10278.5,10976.9,11817.6,12128.5,12198.9,11895.2,12409.2,13020.6,13644.4
"40","31","  Compensation of employees, paid","A4002C1",586,625.1,667,733.6,815.1,890.3,950.2,1051.3,1169,1320.3,1481.1,1626.3,1795.4,1894.5,2014.1,2217.6,2389.2,2545.6,2725.7,2950.9,3143.9,3345,3454.7,3674.1,3824,4014.1,4206.7,4426.2,4719.1,5082.4,5417.5,5863.1,6053.8,6149.7,6372.7,6748.8,7097.9,7513.7,7908.8,8090,7795.7,7975.3,8286.6,8620
"41","32","     Imputations (188+202)","Y523RC1",23.6,25.5,27.4,30.3,27.8,27.8,34.3,32.3,35.8,40.1,45.5,50.9,59.4,70,82.8,85.3,100.9,117.6,129,153.2,185.5,210.1,223.1,263.9,278.5,286.4,283.8,298,313.7,341.3,382.2,422.6,450,443.3,447.4,519.7,555.8,569.3,596.6,569.8,565.8,572.9,577.7,571.2
"42","33","     Excluding imputations (31-32)","A2100C1",562.4,599.6,639.7,703.3,787.2,862.6,915.9,1018.9,1133.2,1280.2,1435.6,1575.4,1736,1824.5,1931.2,2132.3,2288.3,2428,2596.7,2797.7,2958.3,3134.9,3231.6,3410.2,3545.5,3727.7,3923,4128.3,4405.4,4741,5035.3,5440.6,5603.7,5706.4,5925.3,6229.1,6542.1,6944.4,7312.2,7520.1,7229.9,7402.4,7708.9,8048.8
"43","34","  Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1097.1,1122.9
"44","35","    Imputations (157)","A2094C1",12.7,14.4,15.8,17.1,18.5,19.8,21.8,24.1,26.6,27.2,28.1,30.6,33.9,37,39.4,42.3,44.9,47.5,51.8,55.2,59.8,63.5,68.2,70.5,70.3,73.7,73.8,76.2,78.9,80.2,83,85.7,90.5,97.4,103.1,109.4,117.5,125.1,134.4,137.6,144.7,144.6,145.2,146.9
"45","36","    Excluding imputations (34-35)","A2095C1",71.2,77,84.7,90.8,98.7,105.1,113.5,122.3,133.1,143.7,152,169.8,201.8,204,223.9,247.5,263.3,275.9,295.8,319.3,339.1,361.5,388.9,412.9,432.8,471.5,484.1,504.6,532.7,559.2,590.6,622.9,637.2,665.2,704.9,754.5,817,866.9,900.2,904.3,881.5,912.5,951.9,976.1
"46","37","  Less: Subsidies","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60,57.3
"47","38","    Imputations (158)","B1154C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6,2,1.5,0.9,0.7
"48","39","    Excluding imputations (37-38)","A2096C1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7,8.8,8.4,9.7,11.3,14.8,21,20.8,21.1,24.7,30.1,29.3,27.2,26.8,27.3,29.8,36.4,32,34.6,35,33.5,36,44.7,45.4,58.2,41.1,48.5,45,56.9,49.4,46.6,49,56.4,54.4,59,56.6
"49","40","  Net operating surplus","W271RC1",228.1,222,246.6,279.5,317.3,323.3,357.1,405.4,456.8,526.1,563.6,575.7,669.6,683.5,767.4,921.4,982.9,987.1,1058.8,1174.8,1242.1,1258.4,1270.2,1341.3,1432.4,1589.5,1720.9,1895.9,2059.4,2153.6,2251.4,2344.2,2410.1,2517.3,2665.4,2885.5,3175.7,3483,3307,3178.6,3213.9,3557,3811.2,4033.2
"50","41","    Imputations (162+163+187-189-191+194-195+199+211+214)","W517RC1",43.8,48.4,54,59.3,67.8,78,84.6,94.7,102.2,121.6,135.3,149.3,165.7,180.4,209.8,223.3,253.9,261.9,270.1,287.1,294.7,307.2,327.9,352.4,393.6,432.4,464.4,479.8,504.5,540.4,573.6,625.2,661.1,715.8,763,773,819.6,845.2,848.3,933.3,953.3,990.5,1025.6,1060.6
"51","42","    Excluding imputations (40-41)","W518RC1",184.3,173.6,192.6,220.1,249.5,245.4,272.5,310.7,354.5,404.5,428.3,426.4,503.9,503.1,557.6,698.1,729,725.2,788.6,887.7,947.4,951.3,942.3,988.9,1038.8,1157.1,1256.5,1416.1,1554.9,1613.2,1677.8,1719,1749,1801.5,1902.4,2112.4,2356.1,2637.8,2458.7,2245.2,2260.6,2566.5,2785.6,2972.5
"52","43","    Net interest and miscellaneous payments, domestic industries","W272RC1",34.1,41.2,45.5,50.3,59.5,75.4,87.5,89.6,104.6,120,143.6,187.4,235,273.4,289.6,336.2,360.6,385.9,398.7,428.2,483.7,489.1,450.6,422.8,413,416,436.6,447.9,493.7,557.8,575.7,667.6,677.8,592.9,557.4,510.1,632.2,758.1,880.7,916.4,760.9,670.6,624.6,597.4
"53","44","      Imputations (214)","A2104C1",33,37.9,42,47.6,54,63.4,76,83.9,95.7,113,133.5,156.5,181.8,214.8,259.2,282,324.2,356.2,380,403.7,425.5,448.9,457.1,470.8,479.2,500.9,529,544.8,575.6,598.9,625,673.1,689.2,703.2,685.7,701.3,762.8,818.7,887.4,932.3,846.8,817.5,797.4,766.4
"54","45","      Excluding imputations (43-44)","A2105C1",1.1,3.3,3.5,2.7,5.5,12.1,11.5,5.7,8.9,6.9,10.2,30.9,53.2,58.5,30.4,54.2,36.3,29.8,18.7,24.5,58.2,40.3,-6.5,-48,-66.2,-84.9,-92.4,-96.9,-81.8,-41.1,-49.3,-5.5,-11.4,-110.3,-128.2,-191.2,-130.7,-60.6,-6.7,-15.9,-86,-146.9,-172.8,-169.1
"55","46","    Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,116.4,127.2,128.5,129.6,106.9
"56","47","      Imputations (162-197+198)","Y505RC1",7,7.8,9.9,10.1,11,12.9,13.6,16.9,20.5,20.3,16.8,12.1,4.4,-9.4,-20,24.8,12.1,-8.9,-13.4,-16.6,-27.7,-32.8,-34.3,-39.8,-40,-41.6,-49.6,-75.2,-83.7,-102.9,-123,-137.7,-137,-109.4,-72.1,-102.6,-99.5,-116.4,-132.4,-108.6,-104,-96,-109.1,-104.7
"57","48","      Excluding imputations (46-47)","W530RC1",-2.2,-3.4,-5.7,-5.3,-5.2,-6.1,-4.6,-7.8,-12.4,-9.9,-4.1,1.9,12.5,28.7,41.7,4.3,21.9,44.9,46.7,49.4,66,72,73.2,79.5,79.4,82.3,94.5,127.9,133.8,167,190.8,223,236.2,190.1,148.4,183.9,193.4,199,231,225,231.1,224.5,238.7,211.6
"58","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1155.1,1224.9
"59","50","      Imputations (199+211)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.7,2.3,0.7,0.2,0.8,0.8,0.9
"60","51","      Excluding imputations (49-50)","A2102C1",76.3,77,83,94.1,111.2,110.8,116.8,128.8,141.7,162.9,176.2,169.2,177.6,169.3,183.4,225.3,238,252.9,283.2,322.7,339.1,351.5,353.6,399.1,427.5,456.1,481.7,544.4,584.8,641.3,697.2,755,834,868,897,958.3,974.7,1050,976.9,1025.8,972.8,1031.9,1154.3,1224
"61","52","    Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,484.4,541.2
"62","53","      Imputations (163)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327.4,367.3
"63","54","      Excluding imputations (52-53)","A2103C1",6,6.2,6.4,7.5,8.7,8.5,8.6,8.6,9.1,9.8,10.8,14.1,19.6,24,26.2,29.1,33.7,31.4,30.1,28.7,27.8,31.4,36.2,44.5,51,55.3,60.7,64.2,67.1,68.6,67.9,66.9,72.8,71,72.7,75.2,80.4,83.2,93,114.9,116.9,134.7,157,173.8
"64","55","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1345.4,1441.2,1590.5
"65","56","      Imputations (187-189+194-195+197-198)","Y674RC1",-10.5,-11.5,-12.8,-13.1,-11.4,-13,-19.4,-19.5,-23.4,-21.6,-23.9,-27.6,-29,-30,-34.6,-86.3,-82.4,-80.9,-92.3,-102.3,-104.8,-113.8,-105.8,-103.8,-93.9,-95.3,-89.3,-78.7,-78.7,-62.7,-49.1,-35.6,-29.9,-28.2,-16.6,-7.2,-3.7,16.7,-3.5,-36.2,-5.2,3.8,12.1,33.2
"66","57","      Excluding imputations (55-56)","Y675RC1",102.3,90.6,105.6,120.8,129.9,121.3,143.6,177.3,210,237.3,238.3,215.6,246.8,227.3,279.3,387.6,398.8,365.8,410.3,460.2,451.9,454.9,480.7,506,539,639.3,699.4,762.8,837,764.1,757.3,670.6,613.5,776.6,906.3,1085.5,1242.3,1373.6,1179.1,914.6,1045,1341.5,1429.1,1557.3
"67","58","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,374.2,434.8
"68","59","      Profits after tax with inventory valuation adjustment and capital consumption adjustments","W273RC1",51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217,175.2,187.5,216.3,201,195.6,236.3,253.5,274,350.8,392.2,452.6,512.8,453,449.4,369.9,380.3,556.1,646,772.2,826.3,917,730.1,569.3,770.3,974.8,1067,1155.7
