"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"  Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Gains, net of losses, from sale of property","B1183C1",7.8,5.2,7.4,10.1,9.5,7.7,8.9,10.6,14,16.7,21,27.1,28.8,29.1,42,46.7,75.2,124,82.9,80.1,82.9,62.8,62.2,70.9,90.8,71,115.5,132.8,200.8,201,269.4,286.3,156.6,96.4,123.3,170.8,246.1,281.5,324.5,69.4,59.3,152.3,".....","....."
"26","16","    Dividends received from domestic corporations","B1184C1",5,5.2,5.5,6.5,9.4,13.8,8.8,12,13,13.3,16.8,18.7,17.4,18.2,19.7,21.2,17,15.2,13.9,22.3,24.8,23.4,23.5,25.3,28.8,33,38.7,47.2,57.7,64.2,67.3,69.6,67.6,68.1,76.1,98.7,122.3,156.2,197,206.7,155.4,176.1,".....","....."
"27","17","    Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1",7.8,8.5,10.7,13.3,20.6,43.6,41.9,49.8,52.3,53.6,77.8,52.2,44.1,44.8,41.6,44.8,45.7,41.7,48.4,64.9,55,61.9,54.2,67.2,77.1,79.2,92.3,107.1,113.8,107.3,123.5,131.5,115.7,108.2,132.3,167.9,514,250.2,286.3,288,282.9,336.1,".....","....."
"28","18","  Costs of trading or issuing corporate securities \6\","B1186C1",1.4,1.7,2.1,2,1.5,1.7,2,2.5,2.1,1.5,1.8,3.2,3.8,5.3,7,5.6,8,12.9,8.3,11.1,12.3,14.3,21.8,22.2,27.2,21.2,30.5,35.3,37.5,39.9,57.3,70.2,51.8,40.8,43.8,41.8,44,52.2,40.8,-0.1,52.1,62.3,".....","....."
"29","19","  Excess of employer expenses over actual employer contributions for defined benefit employee pension plans \7\","Y372RC1",-0.4,-1,-2.4,-3.2,-6,-7.8,-3.2,-8.5,-8.7,-13.9,-15.9,-14.4,-14.3,-13.6,-8.5,-4.9,-6.6,6.2,16.9,26.1,29,37.5,26.1,32.3,25.7,19.9,10.6,20.3,22.5,20.4,23.8,30.8,38.2,17.5,-32.6,-5.9,-5.8,-9.2,19.6,26.2,3.5,-14.9,".....","....."
"30","20","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1",6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,122,146.2,170.4,158.8,166.6,205,239.1,256.2,353.4,406.7,352.8,395.2,".....","....."
"31","21","Equals: Profits before taxes, NIPAs","A053RC1",96.7,86.3,99.3,115.9,146.1,161.5,154.8,196.2,228.5,270.4,301.1,282.8,276.6,232.3,263.9,298.2,289.6,266.2,330.8,388.4,389.4,404.1,429.3,462.6,505.9,601.7,685.3,738.7,796.9,728.1,766.1,747.1,690.6,788.9,969.4,1254.6,1653.3,1851.4,1748.4,1382.4,1468.2,1834.8,"1,847.4","2,190.0"
"32","22","Federal income and excess profits taxes, IRS","B1188C1",39.4,33.3,37.5,42.9,52.4,66.1,66.1,83,96.3,107.9,120,105.1,102.3,86.8,92.2,108,111.3,111.1,118.5,131.5,127.9,128.3,121.3,131.4,154.6,172.8,198.8,223.7,239.4,231.4,242,266.3,220.9,209.7,243.8,299.6,419.2,453.1,437.1,342.4,313.5,358.4,".....","....."
"33",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","23","  Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1",-0.4,-0.8,-0.1,-0.2,-0.1,-1.6,-1.5,-1,-1.1,0,-0.7,-4.4,-6.8,-13.2,-4.7,-4.8,-4.9,-7.9,-1.5,-2.3,-0.7,-2,-3.6,0.3,2.4,0.7,-0.5,-0.1,-1.8,-3.9,-5.5,-9.9,-29.1,-27.7,-1.7,7.8,7.4,12.9,-3.1,-26.7,-52.1,-3.6,".....","....."
"35","24","  Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1",3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,21.5,29.1,34.6,31.7,47.4,79.3,".....","....."
"36","25","  State and local taxes on corporate income","B1179C1",3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,57.9,47.4,45.6,47.7,".....","....."
"37","26","  Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,6.4,6.9,7.8,8.3,9.2,10,10.4,9.8,11,12,14.1,16.5,19.1,24.8,28,23.5,24.3,".....","....."
"38",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","27","  U.S. tax credits claimed for foreign taxes paid","B1191C1",4,4.5,5.7,6.3,9.6,20.8,20,24.3,26.8,27.5,38.2,26.4,23.8,21.2,21.5,23.1,26.7,24.4,23.5,29.4,26.8,28.2,24.6,25.3,27.6,29.2,33.5,43.3,44.9,39.8,39.9,49.9,42.3,43.2,51.1,57.8,82.9,78.8,86.6,100.4,93.6,118.1,".....","....."
"40","28","  Investment tax credit \8\","B1192C1",1.9,0.9,1.6,3,3.8,4.2,6.5,9.1,11,12.9,14.6,15.1,18.9,17.3,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".....","....."
"41","29","  Other tax credits \8\","B1193C1",NA,NA,NA,0,0,0,0,0,1.7,3.1,1.3,0.6,1.2,1.2,2.7,20.9,21.3,12.9,8,6.1,4.8,3.6,4,4.5,6.9,8.1,8.9,9.8,10.3,10.1,9.1,12.3,11.8,12.9,15.2,17.3,24.2,21.2,19.1,13.2,14.9,17.4,".....","....."
"42","30","Equals: Taxes on corporate income, NIPAs","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,"374.2","434.8"
"43","31","Profits after tax, NIPAs (21-30)","A055RC1",56.7,51.5,61.1,73.5,96.2,108.7,103.1,130.9,154.1,185.6,211.1,195.6,192.3,165.8,183.2,200.7,190.2,156.5,200.4,246.7,243.3,258.6,290.7,313.9,334.9,408.6,467.4,507.3,551.5,479.7,507.4,482,487.3,596.6,725.7,948.5,1240.9,1378.1,1302.9,1073.3,1198.7,1464.3,"1,473.1","1,755.2"
"44","32","Dividends paid in cash or assets, IRS","B1194C1",33,32,32.6,36,41.8,49.3,44.6,53.4,61.5,68.6,82.6,97.4,120.3,131.2,128.3,144.9,161.5,190.7,197.5,224,263.2,283.2,290.7,304.1,341.7,380.9,445.1,530.8,655.1,718.3,769.8,910.3,724.9,581.5,614.5,785,976,1275.1,1529.6,1420.9,854.1,878.7,".....","....."
"45",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","33","  Posttabulation amendments and revisions \9\","B1195C1",-2.7,-1.1,-0.5,-0.7,0,0.8,0.3,1.1,-0.1,0.6,1,-0.7,-4.5,-6.4,-1.7,-5.1,-9.5,-31,-14,-3.1,-10.3,-14,-21.2,-17,-27.9,-39.1,-44.9,-67,-130.9,-151.7,-189.1,-239.8,-128.6,-19.9,-2.9,-29.8,-28.2,-197.7,-319.1,-290.8,22.7,11,".....","....."
"47","34","  Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.7,0.6,0.7,0.9,0.7,0.5,0.6,0.7,0.6,0.5,0.8,1,1.1,1.3,1.4,1.6,1.9,1.5,1.8,1.8,1.6,1.5,1.2,1.9,2.5,3,3.1,2.7,2.7,".....","....."
"48","35","  U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1",3.8,3.9,4.7,4.9,6.8,9.8,6.6,9,11.1,11.2,16,16.7,15.4,16.4,12.1,12.3,11.8,17.9,16.7,31.9,31.6,25,24.3,28,20.6,38.2,32.8,40.4,47.2,42.3,41.5,29.2,40.7,47.9,32.1,62.3,260.9,77.9,140.4,180.5,111.9,121.4,".....","....."
"49","36","  Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1",0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.7,0.3,0.5,0.8,1,1,1,1.2,1,1.1,1.4,1.5,1.3,1.7,1.4,1.8,1.9,2.7,2.8,2.8,3.7,3.5,3.5,5.3,4.1,3.9,6.4,3.3,3.9,4.2,4.7,4.6,11.3,6.2,5.5,".....","....."
"50","37","  Interest payments of regulated investment companies","B1635C1",-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-64.7,-70.5,-78,-97.9,-105.4,-121.4,-138.2,-154.1,-187.9,-151.8,-98.6,-82.5,-91.3,-142.8,-202.8,-248.6,-201.8,-134.4,-129.7,".....","....."
"51",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","38","  Dividends received by U.S. corporations","B1198C1",7.9,8.7,9.7,11.1,14.9,21.2,14.3,19.5,21.3,22.6,29.5,33.2,31.2,32.1,33.6,36.6,37.7,37.9,39,64.6,58.3,56.6,52.3,54.1,54.7,63.3,74.1,93.5,108.7,113.4,118.8,129.9,117.6,113.7,121,157.1,485.2,228.6,285.3,311.2,292.6,320.7,".....","....."
"53","39","  Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1",1.9,1.7,2.1,2.2,3.5,4.6,3.5,4.9,5.5,6,9.3,8.8,9.3,9.7,5.9,4.8,6,7.2,5.7,6.6,3.1,2.5,3.1,9.6,7.6,6.5,6,7,6.9,5.6,8.2,3.2,2.8,5,11.1,10.2,6.3,5.1,5.7,3.5,1.7,5,".....","....."
"54","40","Equals: Net corporate dividend payments, NIPAs","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.5,106.2,112.3,129.9,158,169.1,180.5,189.5,205.3,236,259,303.5,339.5,357.1,347.9,384.7,370.6,400.2,434,564.1,580.5,726,818.9,808.6,568.7,563.9,"701.6","770.3"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","payments written off, of adjustments for insurance carriers and savings and loan associations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","of amortization of intangible assets, and of tax-exempt interest income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Consists of the Farm Credit System beginning with 1947 and the Federal Home Loan banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","beginning with 1952.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Consists of nonprofit organizations serving business and of credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Intellectual property products consists of software, research and development, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","entertainment, literary, and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","5. Consists of disaster losses valued at historic-cost less net insurance receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","for disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","6. Includes the imputed financial service charge paid by corporations to domestic securities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","dealers who do not charge an explicit commission.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","7. Employer expenses for defined benefit employee pension plans include actual employer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","contributions, imputed employer contributions, and imputed interest for unfunded (or overfunded)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","actuarial liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","8. Beginning with 1984, the investment tax credit is included in other tax credits (line 29).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","9. Consists largely of an adjustment to remove capital gains distributions of regulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
