"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"36","28","      Structures","B830RG3",6.683,7.452,8.873,8.189,8.161,8.297,8.717,8.864,8.982,9.229,7.65,8.735,8.397,8.11,8.235,8.342,8.723,8.946,9.151,9.207,9.242,9.419,9.69,9.715,9.626,9.74,9.868,9.643,9.614,9.622,9.606,9.46,9.289,9.387,9.539,9.735,9.892,10.162,10.368,10.454,10.569,10.818,11.047,11.111,10.636,10.756,10.848,10.875,10.867,10.837,10.785,10.743,10.748,10.716,10.809,10.824,10.833,10.879,10.892,10.93,11.013,11.045,11.098,11.142,11.184,11.208,11.205,11.257,11.323,11.387,11.494,11.517,11.611,11.653,11.767,11.832,11.923,12.076,12.168,12.271,12.424,12.535,12.627,12.684,12.932,13.067,13.219,13.422,13.626,13.892,14.186,14.451
"37","29","      Equipment","Y066RG3",45.802,45.187,57.754,52.538,49.628,49.447,52.609,49.089,53.282,54.432,51.104,49.112,50.156,53.8,51.651,58.112,58.473,55.502,59.215,51.004,54.579,58.656,58.733,57.708,62.8,52.499,55.274,55.291,55.089,50.949,53.418,52.057,53.245,53.265,53.926,51.315,51.45,52.562,53.046,52.081,51.588,55.318,55.968,56.242,55.982,58.482,56.282,57.013,64.224,68.368,71.982,71.102,73.488,77.403,76.829,76.556,73.408,73.454,75.099,76.286,77.009,78.11,77.719,79.126,79.628,81.256,79.798,85.502,87.137,93.031,88.683,86.757,84.073,80.696,79.739,80.065,80.647,81.841,81.236,83.646,84.502,86.016,86.951,86.781,89.178,90.879,90.858,91.095,90.046,91.1,92.874,94.798
"38","30","      Intellectual property products","Y067RG3",16.893,16.948,17.068,17.252,17.49,17.642,17.734,17.762,17.728,17.7,17.698,17.731,17.796,17.97,18.26,18.666,19.188,19.578,19.84,19.976,19.985,20.021,20.083,20.17,20.278,20.342,20.363,20.345,20.287,20.277,20.312,20.393,20.52,20.655,20.802,20.96,21.133,21.293,21.438,21.565,21.673,21.799,21.944,22.103,22.275,22.421,22.541,22.637,22.714,22.791,22.865,22.935,23,23.052,23.092,23.121,23.138,23.159,23.185,23.216,23.251,23.269,23.27,23.255,23.222,23.224,23.262,23.335,23.445,23.511,23.537,23.519,23.458,23.43,23.431,23.464,23.526,23.574,23.607,23.623,23.625,23.667,23.748,23.876,24.047,24.239,24.454,24.688,24.937,25.212,25.525,25.865
"39","31","        Software","Y068RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.598,45.215,45.025,44.74,44.538,44.485,44.366,44.343,44.116,43.995,43.771,43.831,43.728,43.688,43.843,43.966,44.585,44.746,45.161,45.203,45.118,45.348,45.354,45.575,45.559,45.797,45.977,45.962,45.969,46.074,46.039,46.531,46.984,47.289,47.75,48.136,48.149,48.224,48.918,49.389
"40","32","        Research and development","Y069RG3",15.349,15.399,15.507,15.674,15.89,16.029,16.112,16.138,16.107,16.082,16.08,16.109,16.169,16.327,16.59,16.959,17.433,17.788,18.026,18.149,18.158,18.19,18.247,18.326,18.424,18.482,18.501,18.484,18.432,18.423,18.455,18.528,18.643,18.766,18.899,19.044,19.201,19.346,19.478,19.593,19.691,19.806,19.937,20.082,20.238,20.371,20.479,20.567,20.637,20.707,20.774,20.838,20.896,20.944,20.981,21.007,21.023,21.042,21.067,21.095,21.129,21.146,21.148,21.134,21.104,21.106,21.141,21.207,21.305,21.365,21.387,21.37,21.315,21.288,21.289,21.317,21.374,21.417,21.447,21.462,21.463,21.501,21.577,21.691,21.845,22.02,22.215,22.429,22.66,22.916,23.199,23.511
"41","33","State and local","B829RG3",6.052,6.154,6.288,6.492,6.727,6.87,7.122,7.238,7.16,7.046,7.034,6.985,6.919,6.968,7.167,7.37,7.619,7.744,7.883,7.982,7.993,8.092,8.259,8.254,8.341,8.312,8.305,8.286,8.257,8.445,8.495,8.545,8.487,8.521,8.662,8.768,8.967,9.085,9.238,9.327,9.418,9.557,9.603,9.603,9.596,9.683,9.731,9.752,9.879,9.88,9.87,9.881,9.985,10.035,10.089,10.137,10.205,10.307,10.374,10.446,10.559,10.588,10.596,10.664,10.766,10.83,10.854,10.94,10.979,11.032,11.084,11.137,11.266,11.337,11.439,11.526,11.685,11.874,12.025,12.163,12.332,12.444,12.619,12.778,13.006,13.188,13.322,13.587,13.79,14.066,14.306,14.559
"42","34","  Consumption expenditures","B991RG3",5.186,5.273,5.371,5.546,5.753,5.869,6.1,6.223,6.158,6.073,6.095,6.063,6.073,6.14,6.298,6.431,6.59,6.663,6.781,6.883,6.934,7.012,7.148,7.206,7.28,7.287,7.275,7.332,7.373,7.514,7.619,7.661,7.68,7.715,7.76,7.847,8.003,8.062,8.178,8.263,8.363,8.48,8.544,8.598,8.682,8.753,8.778,8.808,8.955,8.998,9.012,9.05,9.196,9.262,9.331,9.396,9.482,9.611,9.696,9.78,9.898,9.911,9.913,9.98,10.107,10.174,10.198,10.289,10.335,10.396,10.456,10.514,10.645,10.701,10.81,10.894,11.079,11.239,11.406,11.538,11.743,11.892,12.069,12.24,12.444,12.649,12.828,13.07,13.244,13.499,13.758,13.981
"43","35","  Gross investment","B799RG3",9.551,9.713,10.045,10.359,10.691,10.952,11.264,11.308,11.172,10.931,10.763,10.643,10.243,10.211,10.578,11.074,11.697,12.039,12.261,12.34,12.186,12.366,12.663,12.394,12.531,12.359,12.369,12.059,11.779,12.14,12.004,12.088,11.761,11.795,12.27,12.447,12.804,13.13,13.421,13.529,13.593,13.815,13.806,13.624,13.314,13.461,13.589,13.579,13.65,13.512,13.422,13.343,13.309,13.307,13.313,13.312,13.317,13.333,13.341,13.377,13.488,13.571,13.6,13.675,13.702,13.76,13.787,13.861,13.88,13.912,13.942,13.986,14.116,14.243,14.332,14.432,14.524,14.818,14.932,15.093,15.167,15.176,15.358,15.493,15.813,15.939,15.942,16.303,16.608,16.979,17.166,17.541
"44","36","    Structures","B842RG3",7.124,7.246,7.517,7.768,8.036,8.244,8.458,8.473,8.357,8.201,8.072,7.973,7.641,7.604,7.871,8.232,8.719,8.994,9.184,9.239,9.109,9.261,9.506,9.289,9.386,9.254,9.266,9.013,8.786,9.059,8.942,8.999,8.712,8.728,9.081,9.201,9.474,9.756,9.996,10.077,10.143,10.341,10.341,10.197,9.948,10.067,10.165,10.135,10.244,10.129,10.052,9.991,9.956,9.955,9.96,9.958,9.96,9.974,9.981,10.01,10.103,10.172,10.197,10.26,10.282,10.328,10.349,10.407,10.423,10.447,10.473,10.508,10.614,10.718,10.794,10.873,10.944,11.185,11.276,11.399,11.456,11.459,11.608,11.701,11.957,12.056,12.052,12.34,12.589,12.894,13.04,13.331
"45","37","    Equipment","Y070RG3",36.907,37.581,38.076,38.719,39.327,39.923,42.067,43.135,43.362,40.966,40.467,40.468,40.477,41.107,43.104,45.732,47.017,47.262,46.66,47.278,47.543,47.344,47.337,47.029,47.934,47.393,47.113,47.069,46.915,48.227,48.639,49.37,50.808,51.588,53.734,55.327,56.3,55.069,54.803,55.211,54.446,53.609,53.153,52.819,52.41,52.42,52.834,54.196,50.837,50.975,51.093,50.876,51.153,51.142,51.107,51.13,51.184,51.174,51.156,51.155,51.017,50.994,50.951,50.909,50.918,51.02,51.067,51.268,51.236,51.328,51.269,51.327,51.488,51.611,51.481,51.716,51.973,52.233,52.407,53.018,53.272,53.402,53.583,54.502,55.072,55.295,55.463,56.127,56.439,56.748,57.152,58.245
"46","38","    Intellectual property products","Y071RG3",21.465,21.483,21.519,21.574,21.648,21.684,21.682,21.643,21.565,21.533,21.546,21.606,21.711,21.935,22.277,22.737,23.316,23.71,23.919,23.944,23.784,23.68,23.631,23.639,23.703,23.759,23.805,23.839,23.86,23.887,23.922,23.966,24.019,24.166,24.409,24.746,25.179,25.517,25.761,25.91,25.964,26.021,26.081,26.144,26.21,26.334,26.516,26.756,27.054,27.292,27.473,27.596,27.663,27.728,27.796,27.86,27.927,28.002,28.082,28.176,28.277,28.353,28.403,28.441,28.471,28.518,28.577,28.679,28.786,28.882,28.966,29.024,29.072,29.126,29.216,29.333,29.488,29.641,29.774,29.885,29.959,30.076,30.232,30.449,30.745,31.06,31.418,31.817,32.237,32.634,33.085,33.494
"47","39","      Software","Y072RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.046,42.034,42.168,42.289,42.491,42.625,42.851,42.997,43.257,43.463,43.57,43.766,43.903,43.955,43.927,44.079,44.442,44.615,44.608,44.787,44.75,44.835,45.014,45.16,45.432,45.483,45.643,45.827,46.123,46.606,47.113,47.623,48.019,48.386,48.682,49.086,49.757,50.256,50.794,51.368,51.806,52.103,52.839,53.295
"48","40","      Research and development","Y073RG3",15.388,15.4,15.426,15.466,15.519,15.545,15.543,15.515,15.46,15.436,15.446,15.489,15.564,15.724,15.97,16.3,16.714,16.997,17.147,17.164,17.05,16.975,16.941,16.946,16.992,17.032,17.065,17.09,17.104,17.124,17.149,17.181,17.219,17.324,17.498,17.74,18.05,18.293,18.467,18.574,18.613,18.654,18.697,18.742,18.79,18.879,19.009,19.18,19.393,19.565,19.695,19.784,19.832,19.879,19.924,19.969,20.012,20.063,20.121,20.187,20.26,20.316,20.356,20.379,20.385,20.413,20.462,20.532,20.624,20.698,20.754,20.791,20.81,20.851,20.914,20.999,21.106,21.192,21.257,21.3,21.323,21.387,21.494,21.642,21.833,22.058,22.315,22.607,22.931,23.252,23.572,23.89
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
