"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"18","11","    Food and beverage establishments","W037RX0",13038,13467,13075,11542,11887,11007,9500,8439,8619,8217,4868,4734,5281,5651,6206,6020
"19","12","    Warehouses","W038RX0",21287,22406,23085,17128,17295,15892,15598,16394,18067,17060,9730,5833,6576,6825,8172,11613
"20","13","    Other commercial \2\","W039RX0",27277,30310,26667,26528,23394,24981,21348,18812,21534,18432,11108,8210,8226,8713,9211,8909
"21","14","  Manufacturing","C307RX0",53916,55607,54063,31565,29245,30102,34203,36475,43115,53801,56296,40812,39112,44887,44292,49926
"22","15","  Power and communication","W003RX0",62834,72455,74739,72928,67153,56098,58120,61693,85908,94456,95777,80355,74065,89648,82814,92291
"23","16","    Power","W028RX0",35236,45050,47030,47409,47787,36286,35271,38245,58337,68578,76064,63853,58948,76181,68305,79103
"24","17","      Electric","C571RX0",24449,35245,37157,35918,36403,27520,28042,30424,44556,52632,60394,47359,46803,62277,48391,50948
"25","18","      Other power","W029RX0",10933,9635,9662,11439,11311,8715,7252,7848,13756,15919,15670,16485,12239,14168,19505,27328
"26","19","    Communication","C314RX0",26703,26740,27064,24996,19158,19435,22392,23005,27367,25847,19713,16503,15122,13682,14670,13408
"27","20","  Mining exploration, shafts, and wells","E318RX0",64482,80482,94894,69409,79309,84177,92113,99519,97883,104998,74969,87781,110915,124514,125183,135458
"28","21","    Petroleum and natural gas","C319RX0",64842,80799,96442,67061,77965,80388,86835,91328,90695,98305,69375,80865,99832,113761,115618,125545
"29","22","    Mining","C320RX0",1449,1860,1696,2992,2652,4290,5520,8204,7195,6653,5594,6922,11186,10737,9423,9748
"30","23","  Other structures","W004RX0",94684,97511,92977,78573,75637,76724,72686,79692,91757,103406,84483,61965,56160,61486,63372,64019
"31","24","    Religious","C309RX0",10589,11109,11177,10959,10921,9806,8584,7932,7361,6898,6177,5487,4373,3916,3584,3363
"32","25","    Educational and vocational","W044RX0",17601,20585,21707,21615,21342,19202,18216,17935,19164,19694,17852,14685,14443,16101,14947,14301
"33","26","    Lodging","W045RX0",28902,28285,24114,17083,15725,17853,17459,22371,33305,41974,31428,14551,10823,12961,15949,17681
"34","27","    Amusement and recreation","W046RX0",16753,14730,12590,11809,11924,12179,10031,11475,11978,12093,10083,8150,8411,7646,8483,8381
"35","28","    Transportation","W047RX0",8552,8772,8657,8152,7700,7765,7875,9261,9394,10032,9055,9819,9279,10447,10373,10914
"36","29","      Air","W048RX0",1965,2737,2899,1900,1409,1250,1012,912,980,876,571,412,618,1104,1089,1049
"37","30","      Land \3\","W049RX0",6631,6155,5896,6301,6298,6509,6848,8336,8397,9149,8484,9401,8670,9381,9322,9903
"38","31","    Farm","C316RX0",7409,8397,6893,7396,6528,6625,6511,5959,6155,7883,6637,6262,5605,7152,6842,6163
"39","32","    Other \4\","W050RX0",5327,6260,4591,3274,3694,4210,3676,4362,4551,4291,3012,3293,3056,2597,2676,2533
"40","33","    Brokers' commissions on sale of structures","C321RX0",2283,2404,2262,1942,1884,1966,2142,2491,3127,3587,3130,2434,2400,2690,2683,2865
"41","34","    Net purchases of used structures","E322RX0",-2427,-2346,2273,-2733,-3121,-2268,-1284,-1755,-3174,-3165,-2891,-2856,-2463,-2285,-2292,-2253
"42","35","Residential","A012RX0",626532,630092,635667,674465,735860,809220,862509,796311,644915,488435,383927,373626,375334,427098,478344,485658
"43","36","  Permanent site","A943RX0",357692,360587,362703,377308,414221,462165,494789,451576,336121,223142,133874,128486,123914,153822,192511,209304
"44","37","    Single-family structures","A944RX0",311167,314636,315091,327299,362194,405655,433038,390688,283678,178212,105336,114421,109176,132101,161916,169541
"45","38","    Multifamily structures","C292RX0",43576,42843,44699,47058,48299,52049,57240,57615,51012,44859,28538,14335,14966,21936,30827,40252
"46","39","  Other structures","A863RX0",269382,270109,273501,297244,321878,347582,368336,345248,309258,265550,250053,245131,251339,273392,286299,277070
"47","40","    Manufactured homes","A945RX0",20261,15322,12241,12814,11220,11628,13748,11516,9978,8126,4713,4595,4387,4613,4948,4896
"48","41","    Dormitories","C295RX0",1772,1802,1967,1880,2053,1797,1532,1938,2698,3633,2496,1685,2190,2910,3611,2928
"49","42","    Improvements","A946RX0",142705,147440,150689,160525,167895,171132,175782,174896,168999,155778,151706,149500,151393,157987,159616,158097
"50","43","    Brokers' commissions and other ownership transfer costs \5\","A758RX0",110719,108935,112080,126605,143971,163677,175757,157524,130759,102949,95174,94417,96105,111204,121669,114347
"51","44","    Net purchases of used structures","A759RX0",-4633,-1816,-2281,-4066,-4133,-3053,-1418,-2433,-3703,-4877,-4036,-5083,-2647,-2631,-2482,-2255
"52","45","Residual","A971RX0",7600,-3300,-11600,12400,16900,25800,28600,19900,5400,300,0,200,-200,-800,-1800,-1300
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Private fixed investment in new structures","W040RX0",1012667,1049876,1041253,990275,1022764,1076711,1124566,1103620,1030575,930451,730761,651171,656918,742317,780418,829070
"55","47","    Nonresidential structures \6\","A771RX0",495312,533769,520880,433538,417293,414431,420283,450710,509100,539775,437972,366699,374769,423353,421284,455625
"56","48","    Residential structures \7\","A756RX0",523672,526474,529053,554031,597290,649107,688443,642029,518342,390592,292789,284294,282007,318804,359359,373700
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title insurance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and fees for surveys and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","NOTE. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
