"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"28","19","  Contributions for government social insurance, domestic","A061RC1",42.9,43.7,44.6,45.3,46,46.3,46.7,46.5,50.5,51,51.3,51.9,58.1,58.8,59.5,60.4,73.6,74.7,76.1,77.6,83.1,84.7,86.4,86.6,87.6,88,89.8,91.8,98.9,100.4,102.2,103.8,109.3,112.1,114.3,116.7,126.2,130.1,132.8,136,148.8,150.9,154.2,157.1,163.1,163.2,166.6,171.8,191.6,194.1,197.7,199.4,207.2,208.4,209.8,210.2,220.4,223.6,227.2,232.6,251,255.8,259.9,263.1,275.4,278.8,282.8,288.4,297.9,300.7,305,310.1,316.5,320.2,324.5,331.2,352.1,359.1,364.4,370.3,379.8,382.8,386.4,391.9,404.1,408.3,414.1,413.9,424.5,427.7,432.6,435.9,448.7,453.7,457.8,459.6,467.5,475.6,480.1,486.6,498.4,506.4,510.6,517.4,525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,745.4,752.1,753.5,755,764.4,774.2,783.4,795,810.4,823.9,838.7,843.7,859.8,867.1,879.1,887.3,915.4,918.8,921.9,934.3,957.7,958,959.8,970.1,986.5,987.2,990.7,988.6,961.3,966.3,963.4,966.6,972,984,988.4,992,913.6,916.3,924.1,917.2,941.6,944.9,948,971.8,1088.5,1105,1111.8,1122,1144.5,1151.2,1162.9,1177.2,1185.8,1190.6
"29","20","  Net interest and miscellaneous payments on assets","W255RC1",31.2,32.9,34.6,35.7,37.4,39.5,41.8,43.2,44.3,45.3,45.5,45.8,46.6,47.9,50.2,52.4,53,54.8,58.9,62.3,66.8,71.6,75.2,80.4,84.4,85.1,86.7,87.3,86.8,89.3,90.9,92.6,95.2,103.6,110.1,114.5,115.7,117.8,118.9,122.7,128.7,134.9,143.2,157.3,173,180.1,186.6,205,208.6,228.4,255.6,260.9,272.7,283.2,278,276.1,281.1,282.9,295.8,307.2,313.8,332.6,348.3,349.7,349.3,346.9,344.5,351.5,366.4,367.2,366.4,360.8,359.9,366.1,373.1,378.9,386.3,383.6,396.9,412.1,432.9,442.5,449.2,446,451,449.3,447,452.9,424.2,410.3,407.3,392.3,387.8,385.6,379.1,382.4,382.5,375.1,367.5,360.4,358.5,361.8,364.9,378.6,383.1,376.6,373.1,373.1,370.3,378.5,384.7,394,403.8,409.9,416,429.1,460.7,479.6,489,482.1,473.2,478.7,490.3,509.6,547.1,565.3,573.3,574.1,577.4,575.5,564.8,548,521.3,490.5,475.5,474.8,488,477.9,458.9,439.9,409.6,398.5,394.4,411.5,460.4,481.3,516.5,528.9,553.1,571.1,583.5,616.1,634.2,639.9,682.1,697.6,691.7,689.2,676.8,715.9,671.1,562,514.4,506.1,503.3,482.7,483.6,488,493.5,465.6,493.4,499.6,525,530.7,553.1,502.2,526.1,505.2,504.6,518.3,555.6,535.9,515.8,521.9,561.3,506.6
"30","21","  Business current transfer payments (net)","B029RC1",4.7,4.8,4.8,4.8,4.6,4.5,4.2,4.1,4.1,4.1,4.2,4.2,4.5,4.7,4.9,5,5.6,5.9,5.6,5.8,6.3,6.6,7,7.3,8.4,9.1,9.3,9.4,9.5,9.4,9.1,8.6,8.2,7.8,8,8.3,9.4,10,10.7,11.4,12.3,12.7,13,13.1,13.2,13.4,13.7,15.7,16.4,16.6,17.1,17.5,18.6,19.2,19.5,20,20.3,20.9,21.9,23.6,26.7,28.6,30.1,31.2,32.2,38.1,32.8,33.1,42.1,34.5,33.2,34,34,34.4,32.5,32.3,31.1,31.7,33.2,35.1,37.2,37.7,39.1,39,39.4,39,38.9,39.5,39.8,38.7,38.5,38.7,38.6,38.4,38.9,43,40.2,39.3,38.7,39.3,40.7,39.7,41.3,41.2,43.6,44.9,45.8,45.5,46.8,48.2,48.9,66.7,46.9,47.4,53.5,52.5,58.9,60.4,62.6,74.3,65.2,66.4,67.9,71.8,79.1,83.3,87.2,91.7,98.5,100.5,100.1,97.5,87.8,81.4,77.5,76,77.7,76.4,75.9,75,77.8,79.5,78.5,89.6,94.5,97.4,93,90.7,80.8,79.1,84,86.4,101.5,98.8,99.6,94.3,112.3,109.8,108.1,127.3,125,135.2,117.7,121.5,129.3,126.5,131.1,127,142.6,127.9,131,124.6,117.6,107.9,97.2,96,108.9,115.9,116.2,136.5,110,112,168.5,118.7,115.6,124.9
"31","22","  Current surplus of government enterprises \1\","A108RC1",0,0,0,0,-0.7,-1.3,-1.3,-1.5,-1.9,-1.4,-1.8,-1.7,-1.6,-1.3,-1.1,-0.7,-1.6,-2,-2.4,-2.8,-2.7,-2.1,-2.7,-3.2,-4,-4.2,-4.6,-4.7,-2.7,-2.7,-2.6,-2.7,-3,-3.1,-3.6,-3.7,-3.6,-3.2,-1.9,-2.7,-2.8,-2.9,-3.1,-4,-4.1,-4.8,-5.1,-6.2,-6.6,-4.6,-5.1,-4.4,-3.8,-3.7,-3.9,-3.8,-3,-2.5,-2.1,-1.6,-2.1,-1.6,-1.3,-0.5,0.2,1.5,1.8,1.6,1.9,2,2,2.1,2.5,2.2,2,2,1.7,5.9,6,6.5,6.5,6.7,6.6,6.8,4.6,3.3,2.8,2.2,5.5,8,8.2,9.6,9.4,10.2,10.7,9.4,9.1,11.3,11.1,11.6,12.2,12.1,11.7,11.3,15.7,15.4,15.6,15.8,16.5,16.7,17.2,17.3,17.4,18.1,17.3,17.1,16.4,16.7,16.6,15.4,17.3,16.7,16.2,14.5,14.2,12.8,9.4,6.5,5.8,4,8.8,2.2,4.3,4.8,9.8,9.1,6.1,4.5,3,2,0.1,-0.9,-2.7,-3.7,-4.9,-5.7,-7.3,-7.6,-5.9,-8.1,-10.4,-12.8,-15.7,-15.7,-15.6,-18.8,-20.2,-21.2,-21.5,-21.9,-21.8,-20.4,-19.5,-20.7,-21.2,-22.6,-23.5,-24.3,-24.5,-24.1,-24.6,-24.9,-21.3,-19.4,-18.2,-18.3,-17.7,-18.7,-18.8,-19.9,-17.6,-18.4,-18.4,-18.6,-16.6,-16.1
"32","23","Plus: Personal income receipts on assets","W210RC1",93.7,96.9,100.2,103.9,107.4,110.8,115,117.3,120,121.4,123.3,124.6,128.1,131,135,139,142.3,146.9,153.8,159.6,165.4,172.4,178.6,185.2,190.8,192.9,196.8,200.5,204.2,210,215,221.3,226.3,238.5,249.3,259.6,266.9,273.7,281.3,290.1,300.2,310.3,321.7,341.2,367.7,380.5,385.6,410.1,429.4,457.4,495.2,509.5,526.8,542.9,545.5,549.9,560.8,570,593.3,613,628.6,655,683.3,693.4,703.9,710.1,710.9,726.3,749.5,757.4,757.6,756.9,759.2,769.4,785.8,805,812.6,821.9,847.9,875.1,921.6,949.2,963.2,973.9,986.4,989.5,995.7,993.1,986.3,985.7,987.8,982,979.5,984.4,981,983.7,991,988.8,986.7,987.9,994.1,1016.1,1038.1,1069.3,1092.6,1108.1,1120.4,1135.1,1145,1164.5,1186.7,1209.6,1227.3,1248,1267.4,1291.1,1324.4,1350.7,1357.3,1337.8,1310.4,1316.2,1329.3,1362.8,1417,1450.1,1472.4,1474.5,1463.7,1451.9,1434.7,1415,1392,1390.4,1383.7,1395.5,1407.5,1411.3,1421.1,1442.1,1451.7,1468.2,1484.6,1610.5,1577.6,1641.9,1684.2,1762.1,1847.6,1917.5,1969,2019.5,2069.2,2168.9,2213.4,2215.1,2228.3,2186.4,2173.6,2079.8,1965.9,1846.2,1756.6,1703.2,1706,1719.7,1739.4,1793.5,1854.2,1897.2,1932.2,1971.9,2026,2081.4,2086,2301.6,2040.3,2057.7,2076.9,2066.8,2102.7,2121.8,2115,2130.6,2145.5,2178.3
"33","24","Plus: Personal current transfer receipts","A577RC1",60.4,61.5,62.9,64.3,66.1,76.1,76.3,80.1,82,89.6,89.6,91.3,94.3,94.9,96,106.4,109.1,111.5,113.3,116.5,121.9,129.9,137.1,144.3,155.9,171.5,174.8,177.6,181.8,180,186.7,188.8,191,191.4,196.6,199.3,203.3,205.1,213.9,217.2,222.7,227.4,243,249.1,259.4,264.6,296.6,300,306.5,309.9,328.5,331.1,336.3,345.5,362.1,377.9,380.7,386.9,382.5,387,393.9,398.3,401,409.4,420,422.6,427.9,430.9,443.2,449.1,456.1,457.8,463.1,468.1,469.2,472.2,489.9,493.5,499.6,506.8,531.4,538.8,547.9,558.8,579.5,590.5,600,617.5,641.6,661.4,670.8,698.8,727,745.6,757.6,762,781.6,786,799.9,804.3,818.1,822.9,826.9,848,874,883.5,890.4,886,916,936.4,931.8,932.6,950.2,950,956.2,963.1,974.7,981.1,984.5,995.4,1014.6,1017.8,1030.9,1041.4,1056.7,1083.7,1098,1110.8,1155.6,1187.4,1192.2,1235.2,1259.9,1281.7,1291.6,1305.6,1323.7,1340.4,1361.6,1363.6,1398.7,1416.3,1424.6,1445.8,1489.3,1513,1527.5,1537.2,1589.4,1604.5,1629.1,1635.4,1706.7,1708.4,1732.9,1764.4,1804.1,2148,1943.3,1930.8,2039.8,2177.6,2178.3,2194.4,2301.1,2308.6,2336.2,2352.9,2364,2361.8,2353.8,2362.3,2343.4,2364.4,2368.5,2389.1,2406,2415.9,2438.3,2446.4,2476,2513.1,2556.5,2571,2625.8,2651.3
"34","25","Equals: Personal income","A065RC1",771.3,790.4,812,827.3,841.8,859.6,874,882.9,903,926.4,940.5,958.7,986,1003.5,1029.2,1075.7,1093.3,1122.6,1150,1188.2,1204.4,1230.4,1266.6,1296,1315.9,1347.5,1384.1,1420,1453,1477.4,1513.8,1549.6,1580,1628.3,1675,1735,1774.9,1833.9,1887.3,1942.7,1999.4,2039.9,2105.4,2168.2,2230.8,2256.8,2337.2,2445.1,2503.9,2551.4,2647.8,2682.9,2715.1,2758.6,2799.8,2844.5,2881.8,2931.9,2991.1,3076.3,3167.4,3251.2,3327,3381.6,3446.4,3486.6,3533.8,3598.6,3658.5,3700.7,3750.6,3793,3851.1,3911.2,3982.7,4078.5,4153.8,4227.8,4318.9,4404.9,4532.7,4587.6,4643,4716.1,4813.2,4888.9,4950.6,4972.9,4983.8,5043,5093.7,5173.1,5290.2,5389.1,5449.6,5523.3,5557.6,5626.5,5666.9,5745,5796.7,5904.1,5969.9,6078.4,6174.8,6240.2,6317,6391.8,6508.9,6639.4,6714.6,6805.2,6929.8,7010.5,7123.8,7258.6,7420.5,7548.1,7655.4,7750.8,7838.1,7908.3,8015.5,8191.7,8445.3,8575.3,8724.9,8802.8,8961.2,8997.9,8990.7,9016.5,9057.7,9139.9,9173.9,9243.9,9300.4,9424.3,9550.3,9689.4,9807.4,9971.4,10110.5,10322.3,10359.1,10518.6,10698.1,10880.5,11210.5,11330.2,11440.1,11595,11820.6,11948.5,12047.4,12184.2,12367,12720.4,12535.5,12386,12061.8,12117.7,12066.8,12132.9,12234.8,12413.4,12543.9,12716.4,13077.6,13194.8,13347.3,13398.4,13662.4,13814.1,13867.1,14316.9,13891.3,14025.2,14136.3,14220.7,14433.5,14612.8,14774.8,14955.7,15079.8,15219.4
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","26","  Gross domestic income (GDI)","A261RC1",989.8,1009.4,1031.2,1042.6,1049.8,1064.4,1082,1086,1124.5,1146.8,1168.5,1193.2,1229.2,1252.6,1284.9,1334.6,1374.3,1402.9,1434.4,1478.3,1494.7,1524.1,1560,1586.8,1604.3,1642.1,1705.1,1751.3,1806.3,1836.1,1873.5,1912.6,1961,2039.3,2104.1,2162.4,2208.2,2315.3,2369.4,2440.8,2507.7,2554.6,2612,2675.2,2732.8,2740.7,2824.4,2976.4,3074.5,3132.5,3233.3,3256.7,3275.5,3328.2,3363,3386.3,3451.7,3534.2,3620,3730,3874.3,3970,4046.3,4117.6,4201.8,4258.6,4335.8,4385.6,4451.9,4481.5,4529.5,4590.7,4670.6,4776.5,4883.2,4988.3,5088.3,5197.3,5305.3,5421.6,5517.2,5563.3,5625,5668.5,5790.9,5883.9,5930.9,5947.2,5998.7,6055.6,6116.2,6172.2,6307.1,6399.1,6450,6557.4,6567.7,6689,6740.8,6908.2,6979.1,7124.4,7230.4,7353.9,7430.9,7506.8,7634.9,7721.4,7847.7,7996,8094.1,8236.7,8382.7,8504.4,8677.6,8820.1,8928.9,9075.8,9239.2,9353.4,9516.7,9607.8,9731.8,9936.2,10216.6,10331.4,10475.7,10513.3,10701.8,10757.8,10754.6,10733,10906.6,11014.4,11077.9,11202.2,11289.1,11430.7,11604,11773.4,11966.6,12195.8,12410.7,12560.9,12800.8,12986.1,13223,13506.9,13871,14003.7,14157.2,14260.7,14384.6,14485.8,14456.4,14513.7,14621.9,14683.4,14718.7,14452.7,14266.6,14244.2,14309.9,14552.9,14623.2,14790.4,15051.5,15195.4,15282.5,15467.7,15661.8,15813.1,16192.6,16290.2,16371.8,16579.5,16626.2,16787.2,16882.6,17067.2,17159.6,17457,17746.1,17877.8,17901.6,18028.1
"37","27","  Average of GDP and GDI \2\","LA0000091",992.6,1010.4,1031.6,1041.7,1051.7,1067.3,1085.2,1088.7,1131.2,1153.1,1174.4,1193.4,1231.5,1261.3,1289.4,1333.3,1377.5,1410.2,1435.6,1478.7,1494.7,1529.2,1561.7,1594.9,1611.9,1649.3,1709.5,1758.6,1815.4,1846.5,1882,1925.5,1976.8,2049.7,2113.2,2165.6,2208.4,2325.9,2384.1,2461.5,2519.6,2575.3,2641.2,2703,2764.7,2770.3,2842.2,2985,3103.2,3149.9,3247.3,3270.1,3274.7,3329.7,3365,3397,3466,3559,3656.2,3763.1,3893.5,3992.5,4066.8,4132.6,4219.4,4280.5,4365.2,4419.4,4484.1,4518.4,4574.6,4630.1,4703.4,4799,4891.9,5005.5,5089.4,5202.5,5302.4,5417.1,5522.3,5595.9,5668.3,5716,5840.9,5929.3,5980.2,5985.3,6026.8,6099.6,6167.3,6225.8,6343.9,6445.7,6518.3,6627.5,6657.9,6759.3,6822.5,6970.5,7057.7,7197.1,7291.3,7415.3,7488.1,7555.8,7670.7,7760.4,7870.4,8028.8,8126.6,8261.9,8392.4,8528.2,8684.7,8804.2,8909.3,9035.3,9192.8,9339.5,9481.9,9582.4,9722,9931.2,10123.8,10304.9,10416.6,10492.8,10605,10698.1,10697.1,10717.1,10870.5,10974.6,11057.5,11153,11259.6,11400.7,11614.6,11795.1,11977.5,12188.6,12389.2,12561.5,12807.2,12980.1,13214.2,13444.3,13760,13901.8,14032.9,14163.5,14308.9,14454.1,14513,14599.5,14645.2,14748.2,14780.9,14501.3,14325.3,14292.3,14347,14559.7,14652.2,14839.5,15054.6,15212.8,15260.4,15464.3,15624.5,15799.2,16083.2,16206,16299.8,16438.4,16533.4,16657,16805,17012.4,17072,17363.5,17634.1,17746.8,17775.4,17970.9
"38","28","  Gross national income","A023RC1",996.2,1015.6,1037.1,1048.6,1056.1,1071,1088.6,1092,1132,1154.8,1175.8,1201,1237.4,1260.7,1293.8,1343.7,1384.9,1414.5,1448.3,1492.6,1511.8,1540.5,1575.3,1600.2,1615.7,1653.8,1718.1,1767.3,1822.1,1852.7,1890.7,1930.4,1981.7,2060.1,2125,2181.2,2230.3,2334,2390.3,2465.4,2533.3,2584,2648.1,2711.7,2770.8,2776.5,2858.8,3004.9,3105.9,3162.5,3266,3294.3,3311.5,3369.1,3398,3420.4,3485.7,3570.9,3657.9,3769.7,3911.4,4007.6,4083.6,4150.9,4227.5,4286.3,4358.3,4411.2,4474,4497,4547.7,4602.7,4685,4794.7,4901,5008,5113.2,5220.1,5325.4,5444.2,5539.6,5585,5649.3,5699.3,5820.5,5915.5,5958,5997.7,6038.1,6084.1,6141.3,6205.4,6339.8,6431.2,6479.2,6587.7,6605.7,6720.4,6777.8,6929.6,7007.3,7148.2,7252.6,7375.1,7461.6,7540.2,7654.6,7752.7,7885.8,8025.9,8120.9,8269,8406.7,8535.9,8701.4,8837.3,8955.1,9099.2,9249.5,9366.4,9538.8,9635.2,9756.3,9970.8,10247.4,10365.2,10505,10567.4,10742.3,10807.5,10781.5,10823.2,10957.8,11047,11124.7,11266.1,11339.2,11494.5,11668,11864,12075.6,12279.7,12505.4,12630,12903.7,13077.9,13325.3,13580.2,13946.4,14074.1,14214.3,14328.3,14453.2,14576.5,14604.5,14708.6,14802.2,14867.9,14920.9,14573.8,14395,14368.9,14489.4,14724.5,14826.8,14995.7,15251.3,15410.7,15510.6,15698.8,15917.3,16084.9,16443.8,16521.6,16608.8,16810.2,16847.3,17034.4,17146.5,17336.5,17418.4,17714,18018,18142.4,18129.1,18258.7
"39","29","  Gross national factor income \3\","X023RC1",915.2,932.3,951.8,961.7,968.4,982.1,997.8,1000.1,1036.9,1058,1076.2,1099.3,1136,1156.7,1188.4,1234.9,1272.3,1300.1,1331.3,1374.4,1390.9,1414.9,1447.1,1472,1486.7,1520.1,1579.8,1626.4,1678.7,1706.1,1741.6,1778.7,1827.5,1903.1,1965.4,2022.6,2066.3,2162.5,2220,2293.2,2355.7,2404.6,2465.4,2526.9,2581.4,2580.6,2656,2795.1,2875.9,2925.7,3027.6,3055.8,3073.3,3129.1,3153.6,3177.3,3237.7,3312.8,3392.9,3495.5,3626.4,3713.8,3783.5,3843.8,3915.2,3961.9,4033.2,4084.6,4135.7,4165.3,4211.8,4263.1,4340.8,4444.1,4545.4,4647.4,4745.7,4839.8,4937.8,5048.7,5132.7,5170.6,5226.8,5277.6,5384.2,5480.8,5516.3,5548.8,5575.7,5613.1,5660.9,5713.9,5844.1,5930.8,5974.1,6077.2,6102,6209.4,6260.7,6395,6456.1,6584.5,6681.4,6800.1,6881.4,6960.8,7069.2,7163,7287.3,7418.8,7508.4,7627,7781.1,7893.9,8047.5,8177.5,8284.4,8421.6,8564.2,8666.3,8841.2,8930.1,9039.7,9240.6,9500.6,9607.3,9742.9,9799.2,9969.2,10041,10018.3,10032.8,10163.4,10244,10307,10445.7,10511.7,10670.1,10821.2,11006.3,11199,11389.3,11606.1,11707.7,11962.2,12117.4,12357.2,12605.8,12951.6,13066.4,13193.7,13296.4,13395,13519.6,13537.7,13642.3,13723.9,13783,13837.1,13490.7,13333,13290.1,13428.1,13638.5,13731.4,13893.1,14136.8,14296,14363.3,14550.7,14768,14931.3,15276.8,15361.9,15459.3,15648.9,15646.6,15825.6,15925.4,16090.2,16188,16468.2,16704.4,16872.8,16860.8,16974.2
"40","30","  Net domestic product","A362RC1",875,887.9,905.7,911.5,921.3,934.9,950.2,950,993.2,1011.8,1030,1040.5,1077.7,1111.1,1131.4,1166,1210.4,1242.5,1256.4,1292.5,1301,1332.6,1353,1383.9,1391.9,1421.5,1472.7,1519.5,1573.7,1601.1,1628.8,1669.9,1716.4,1776.1,1830.2,1867.8,1898.8,2016.9,2068.9,2141.5,2179.4,2231.4,2293.1,2340.2,2392.3,2381.5,2426.9,2545.4,2668.5,2689,2768.8,2777.3,2754.3,2800.2,2827.1,2861.2,2929,3027.2,3128.9,3225.2,3332.8,3425.8,3488.4,3538.5,3616.9,3671.4,3752.4,3799.6,3851.4,3878.6,3931.8,3970.1,4026.4,4100.2,4166.8,4275.6,4329,4432.1,4510.1,4609.7,4710.9,4798.7,4868.8,4907.9,5022.6,5093.9,5136.2,5118.3,5137.6,5215.8,5281.8,5336.4,5433.4,5537.7,5623.5,5723.7,5762.4,5831.9,5894.9,6011.3,6103.1,6223.1,6289.8,6396.7,6445.8,6488.8,6575.3,6655.2,6737.1,6893.2,6976.7,7089.7,7187.8,7320.3,7443.3,7522.9,7607.8,7694.6,7827.2,7986,8086.9,8171.9,8299.5,8480.7,8549.9,8769.4,8829.3,8933.6,8937.3,9039.7,9023.5,9070.9,9194.3,9282.2,9367.8,9417.5,9528.1,9654.2,9890.1,10061.4,10205.1,10368.2,10521.7,10677.9,10891.7,11014.8,11204.5,11336.1,11566.7,11680.7,11755.7,11876.3,12005.8,12168.6,12293.2,12385.5,12340.7,12460,12463.3,12156.9,11998.2,11973.5,12029,12200.7,12311.2,12513.7,12675.2,12831.1,12819,13018,13124.6,13307.6,13472.6,13597.5,13681.4,13732.7,13851,13908.5,14081.8,14280,14276,14537.2,14760.6,14831.7,14856.6,15109.3
"41","31","  Net domestic income","W256RC1",869.4,886,904.9,913.4,917.6,929.2,943.7,944.5,980,999.3,1018.2,1040.2,1073.1,1093.5,1122.5,1168.6,1204,1227.8,1253.9,1291.7,1301.1,1322.5,1349.7,1367.7,1376.6,1407.1,1464,1504.9,1555.6,1580.3,1611.8,1644,1684.8,1755.2,1811.9,1861.5,1898.3,1995.6,2039.4,2100.2,2155.5,2190.1,2234.6,2284.7,2328.6,2322.2,2391.3,2528.2,2611.2,2654.2,2740.9,2750.4,2755.9,2797.2,2823,2839.6,2900.4,2977.6,3056.7,3159.1,3294.3,3380.8,3447.3,3508.5,3581.7,3627.8,3693.7,3732.1,3786.9,3804.9,3841.7,3891.4,3960.8,4055.3,4149.5,4241.2,4326.7,4421.7,4515.9,4618.6,4700.8,4733.6,4782.3,4813,4922.7,5003.2,5037.6,5042.2,5081.4,5127.8,5179.6,5229.3,5359.6,5444.5,5487,5583.5,5581.9,5691.2,5731.5,5886.6,5945.9,6077.6,6168,6274,6331.4,6390.7,6503.7,6577.1,6691.7,6827.6,6911.8,7039.3,7168.5,7272.8,7429.1,7554.7,7647,7775.7,7919.8,8013.7,8156.5,8222.7,8319,8490.8,8735.4,8822.5,8947.6,8974.6,9131,9159.1,9138.7,9102.5,9266.4,9361.9,9408.6,9515.9,9587.1,9714.2,9869,10018,10183.4,10382.6,10564.6,10676.6,10878.7,11026.8,11222.1,11461.4,11788.8,11884.7,12004.5,12070.7,12157.2,12232.2,12179.9,12213.9,12294.2,12330.4,12339,12059.6,11881,11877.3,11954.7,12187.1,12253.4,12415.5,12669.1,12796.3,12863.1,13024.8,13199.3,13335.3,13691.3,13765.8,13825.3,14014.9,14036.5,14168.9,14236.9,14389.6,14451.3,14724.2,14984.6,15093.5,15108.9,15223.7
"42","32","  Net national factor income \4\","X032RC1",794.7,808.9,825.5,832.5,836.3,846.9,859.5,858.7,892.3,910.5,925.9,946.3,979.8,997.6,1026,1068.8,1102.1,1125,1150.9,1187.8,1197.3,1213.3,1236.8,1252.9,1259,1285.1,1338.7,1380,1427.9,1450.3,1479.9,1510.2,1551.4,1619,1673.3,1721.7,1756.4,1842.8,1890,1952.6,2003.6,2040.1,2088.1,2136.4,2177.2,2162.1,2222.8,2347,2412.5,2447.5,2535.2,2549.6,2553.7,2598,2613.6,2630.6,2686.3,2756.2,2829.5,2924.6,3046.4,3124.5,3184.5,3234.7,3295.1,3331,3391.1,3431,3470.8,3488.7,3524,3563.8,3630.9,3722.9,3811.7,3900.3,3984.1,4064.2,4148.5,4245.7,4316.3,4340.9,4384,4422.1,4516,4600,4623.1,4643.7,4658.5,4685.3,4724.3,4771,4896.7,4976.2,5011.1,5103.3,5116.2,5211.7,5251.4,5373.4,5422.9,5537.8,5619,5720.2,5781.8,5844.7,5937.9,6018.8,6131.3,6250.4,6326,6429.6,6566.9,6662.2,6799,6912,7002.5,7121.4,7244.8,7326.6,7481,7545,7627,7795.2,8019.4,8098.4,8214.8,8260.4,8398.4,8442.3,8402.4,8402.4,8523.2,8591.5,8637.7,8759.4,8809.8,8953.6,9086.2,9250.8,9415.7,9576.2,9760,9823.4,10040.2,10158.1,10356.2,10560.3,10869.4,10947.3,11040.9,11106.3,11167.5,11266,11261.2,11342.4,11396.1,11430,11457.4,11097.7,10947.3,10923.2,11072.9,11272.7,11361.5,11518.2,11754.3,11896.8,11943.9,12107.8,12305.4,12453.6,12775.5,12837.5,12912.8,13084.2,13056.9,13207.2,13279.7,13412.5,13479.7,13735.4,13943,14088.6,14068.1,14169.8
"43","33","  Net domestic purchases","W367RC1",874.8,886.7,904.8,908.2,918,929.5,946.3,946.9,988.8,1012,1030.1,1042.2,1081.2,1115.4,1134.1,1169,1211.8,1240.1,1249.9,1283.5,1294.6,1335.3,1360,1383.9,1375.4,1399.9,1460.7,1505.7,1569.1,1601.6,1632.9,1676.5,1737.4,1797.2,1850.8,1897.4,1937.4,2039.5,2092.6,2157.9,2197.5,2253.6,2316.1,2367,2428.1,2396.7,2421.4,2552,2682.7,2702.5,2776.4,2792.1,2770.5,2804.6,2856.7,2890.7,2953.6,3072.7,3194.1,3296.6,3427.8,3530,3592.3,3646.3,3708.2,3785.9,3869.3,3933,3977.4,4007.5,4070.8,4103.7,4167.7,4247.2,4312.3,4421,4453,4538.7,4609.4,4717.4,4811.9,4886.9,4943.8,4990.7,5111.1,5162.7,5211.2,5197.4,5184.8,5239,5302.9,5359.5,5453.9,5570.5,5662,5770.8,5818.1,5895,5963.3,6084.7,6183.7,6313.7,6386.7,6498.6,6551.1,6598.3,6649.7,6725,6825.9,6986.9,7090.9,7178.5,7296.7,7405.5,7540.1,7639.9,7743,7856.9,8001.8,8164.7,8295.4,8417.4,8575.6,8777.2,8902.6,9129,9217.8,9335.9,9329,9399,9390.2,9427.9,9569.5,9698.2,9799.4,9900.5,10029.7,10155.5,10390,10573.1,10751.8,10976.2,11159.6,11361.9,11568.5,11703.8,11935.9,12123.6,12343.9,12462.3,12561.3,12595.7,12734.3,12901.6,13005.3,13086.1,13097.5,13219.4,13236.9,12759.3,12392.1,12315.2,12434.5,12641.3,12799.9,13036.9,13210.2,13334.8,13381.5,13605,13697,13905.7,14087.3,14178.4,14216.6,14264.5,14380.2,14436.3,14594.2,14744.2,14805.3,15068.1,15275.1,15376.9,15408.2,15628.7
