"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"43","35","    Computers, peripherals, and parts","B852RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","    Other","B853RA3",1.473,1.444,1.478,1.47,1.549,1.563,1.721,1.766,1.577,2.079,2.08,2.057
"45","37","  Automotive vehicles, engines, and parts","B651RA3",10.213,10.16,12.084,12.647,14.984,16.37,18.825,19.977,17.591,22.39,24.174,21.537
"46","38","  Consumer goods, except food and automotive","B652RA3",3.909,3.862,3.975,4.303,4.742,4.861,5.233,5.423,5.24,6.395,6.129,6.149
"47","39","    Durable goods","B697RA3",3.709,3.654,3.816,3.893,4.483,4.513,5.015,5.054,4.946,5.713,5.589,5.754
"48","40","    Nondurable goods","B698RA3",4.277,4.243,4.262,5.084,5.221,5.51,5.629,6.11,5.782,7.697,7.147,6.883
"49","41","  Other","B653RA3",11.327,12.115,12.365,13.465,11.526,12.661,14.338,12.561,12.271,14.508,14.751,13.925
"50","42","Imports of services \1\","B656RA3",17.32,18.039,18.473,17.845,17.976,17.816,18.458,18.716,18.682,19.326,19.49,20.067
"51","43","  Transport","Y804RA3",28.618,27.978,26.328,28.176,29.616,29.434,30.962,30.465,28.944,32.922,32.96,34.25
"52","44","  Travel (for all purposes including education)","Y805RA3",17.456,20.814,22.567,18.345,18.42,17.649,18.355,17.33,18.961,19.261,19.58,20.046
"53","45","  Charges for the use of intellectual property n.e.c.","B908RA3",3.152,3.13,3.102,3.292,3.612,3.285,3.243,3.344,3.873,3.688,3.707,4.139
"54","46","  Other business services \3\","Y806RA3",0.721,0.773,0.852,0.835,0.813,0.901,0.921,0.965,0.991,1.013,0.998,1
"55","47","  Government goods and services n.e.c.","Y807RA3",177.059,176.059,181.178,183.034,179.851,179.917,185.193,198.591,191.751,190.512,192.585,197.992
"56","48","  Other","B910RA3",44.582,45.959,46.801,47.519,48.034,48.776,49.35,49.905,50.558,50.731,51.181,51.717
"57",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","49","  Exports of durable goods","B332RA3",6.696,6.744,6.553,6.635,6.902,7.176,7.595,7.5,6.904,8.131,8.187,8.299
"59","50","  Exports of nondurable goods","B339RA3",15.604,15.357,15.33,15.766,16.168,15.874,17.23,16.551,12.904,18.365,17.005,18.188
"60","51","  Exports of agricultural goods \4\","B181RA3",26.383,26.018,25.163,26.41,27.56,24.696,26.158,25.218,16.593,28.715,25.441,28.474
"61","52","  Exports of nonagricultural goods","B182RA3",10.077,10.087,9.958,10.074,10.433,10.952,11.812,11.486,10.237,12.389,12.248,12.514
"62","53","  Imports of durable goods","B333RA3",4.659,4.582,4.725,5.147,5.84,5.941,6.251,6.31,5.513,7.004,6.872,6.623
"63","54","  Imports of nondurable goods","B340RA3",18.529,17.744,17.448,19.142,19.494,20.149,21.966,20.921,18.166,22.911,22.396,22.14
"64","55","  Imports of nonpetroleum goods","B187RA3",6.577,6.36,6.52,7.085,7.658,7.862,8.378,8.244,7.104,9.105,8.919,8.628
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Includes maintenance and repair services, insurance services, financial services, telecommunication,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","computer and information services and other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","of nondurable nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
