"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","      Private industries","A132RC1",412.7,434.3,457.8,500.9,560,611.8,638.6,710.8,791.6,900.6,1016.2,1112,1225.5,1280,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789,2968.4,3205,3480.3,3724.2,4046.1,4132.4,4123.3,4224.5,4469.3,4700.4,5022.4,5306.3,5387.8,5076.3,5186.4,5438.4,5732,5906.8,6240.5
"12","5","      Government","B202RC1",105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452,481.1,519,548.8,572,589,609.5,629,648.1,671.9,701.3,733.8,779.8,822,873.2,913.3,952.7,991.5,1035,1088.8,1144.1,1175.1,1191.1,1194.8,1198.2,1207.6,1237.2
"13","6","    Supplements to wages and salaries","A038RC1",67.7,73.6,82.5,94.9,106.3,118,135.3,151.5,174.8,199.7,227.7,252.8,283.9,306.8,336.4,372.5,406.4,441.5,468,510.3,559.5,601.5,637.5,705.6,741.3,773.5,784.6,805.6,837.8,896.2,952.3,1030.7,1092.1,1145.5,1226.6,1317.6,1394.8,1444.9,1503.1,1546.4,1535.6,1583.9,1635.9,1679.6,1725.3,1771.2
"14","7","      Employer contributions for employee pension and insurance funds \1\","B040RC1",44.9,49.7,56,63.7,66.5,73.3,88.6,97.1,113.7,128.1,145.1,163.9,180.3,197,216.5,233.5,258.7,283.6,301.8,325.6,365.8,395,422.4,477.2,501.7,519.4,520.5,530.8,548.3,589,629,685.5,734.1,779.5,844.1,908.9,966.8,997.6,1041.4,1075.1,1077.5,1114.6,1142,1165.3,1197.8,1224
"15","8","      Employer contributions for government social insurance","B039RC1",22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358,366,382.5,408.7,428.1,447.4,461.7,471.3,458.1,469.4,493.9,514.3,527.5,547.2
"16","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1241.4,1285.1,1346.7
"17","10","    Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,26.8,34.8,31.4,34.7,22,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38,50.4,46.4,36,38.1,47,35.5,46,75.5,61.6,88.8,78.1
"18","11","    Nonfarm","A045RC1",64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,299.1,308.9,322.3,329.2,367.6,399.2,424.8,462.4,510.1,555.5,615.7,672.3,726.3,804.7,851.1,862,911.6,932.6,1017.7,941.1,979.5,937.5,986.7,1068.1,1179.8,1196.3,1268.6
"19","12","  Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,525.3,563.4,610.8
"20","13","  Personal income receipts on assets","W210RC1",98.7,112.7,122.3,133.3,150.6,175.4,195.3,212.6,243.4,278,318.3,386,472.9,541.3,584.3,665.1,712.8,755.3,779.9,839.4,951.9,991.2,985.5,982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1818,1739.6,1913.9,2123.8,2060.4,2117.5
"21","14","    Personal interest income","A064RC1",74.4,88.3,97.3,106.5,120.8,142.2,162.4,173.6,198.7,227.3,260.9,322,399.2,463.7,501,574.4,615.4,649.3,667.7,709.6,794.2,822.4,805.3,793.1,783.9,794.2,856,874.3,920.5,987.1,983.3,1070.2,1072.2,991.8,988.2,941.7,1088.1,1214.7,1350.1,1361.6,1264.3,1195,1231.6,1288.8,1271.3,1302
"22","15","    Personal dividend income","B703RC1",24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.2,189.1,204.7,235.2,258,302.2,337.9,355.4,346.4,383.3,369.2,398.6,432.3,562.1,578.3,723.7,816.5,805.4,553.7,544.6,682.2,834.9,789,815.5
"23","16","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184.3,194.6,209.9,235.6,280.1,319,355.5,384.3,400.6,425.4,451.6,468.1,497.5,544.2,596.9,668.1,748,793,829,883.5,929.2,954.9,983.9,1026.2,1087.3,1192.6,1284.7,1347.3,1421.3,1516.7,1614.6,1728.1,1956.6,2147.5,2324.7,2360.5,2366.3,2426.6,2529.2
"24","17","    Government social benefits to persons","A063RC1",59,71.7,85.4,94.8,108.6,128.6,163.1,177.6,189.5,203.4,227.3,271.5,307.8,343.1,370.5,380.9,403.1,428.6,447.9,476.9,521.1,574.7,650.5,731.8,778.9,815.7,864.7,906.3,935.4,957.9,992.2,1044.9,1145.8,1250.5,1321.1,1404.6,1491,1593.1,1697.5,1920,2108.8,2281.7,2310.2,2323.6,2385.5,2487.2
"25","18","      Social security \2\","W823RC1",26.4,31.4,36.6,40.9,50.7,57.6,65.9,74.5,83.2,91.4,102.6,118.6,138.6,153.7,164.4,173,183.3,193.6,201,213.9,227.4,244.1,264.2,281.8,297.9,312.2,327.7,342,356.6,369.2,379.9,401.4,425.1,446.9,463.5,485.5,512.7,544.1,575.7,605.5,664.5,690.2,713.3,762.1,799,834.6
"26","19","      Medicare \3\","W824RC1",6.7,7.3,8,8.8,10.2,12.7,15.6,18.8,22.1,25.5,29.9,36.2,43.5,50.9,57.8,64.7,69.7,75.3,81.6,86.3,98.2,107.6,117.5,132.6,146.8,164.4,181.2,194.9,206.9,205.6,208.7,219.1,242.6,259.2,276.7,304.4,332.2,399.2,429,462.9,494.6,513.8,536,556.3,574.6,597.8
"27","20","      Medicaid","W729RC1",4.6,5.5,6.7,8.2,9.6,11.2,13.9,15.5,16.7,18.6,21.1,23.9,27.7,30.2,33.9,36.6,39.7,43.6,47.8,53,60.8,73.1,96.9,116.2,130.1,139.4,149.6,158.2,163.1,170.2,184.6,199.5,227.3,250,264.5,289.8,304.4,299.1,324.2,338.3,369.2,396.6,405.7,417.3,439.7,487.4
"28","21","      Unemployment insurance","W825RC1",2.3,4.2,6.2,6,4.6,7,18.1,16.4,13.1,9.4,9.7,16.1,15.9,25.2,26.4,16,15.9,16.5,14.6,13.3,14.4,18.2,26.8,39.6,34.8,23.9,21.7,22.3,20.1,19.7,20.5,20.7,31.9,53.5,53.2,36.4,31.8,30.4,32.7,51.1,131.2,138.9,107.2,83.8,62.3,35.8
"29","22","      Veterans' benefits","W826RC1",6.6,7.5,8.4,9.4,10.2,11.6,14,13.8,13.3,13.6,14.2,14.7,15.8,16.3,16.4,16.3,16.6,16.6,16.5,16.7,17.2,17.7,18.1,18.6,19.3,19.7,20.5,21.4,22.3,23.3,24.1,25,26.6,29.5,31.8,34,36.4,38.9,41.7,45,51.5,58,63.3,70.1,79.1,83.7
"30","23","      Other","W827RC1",12.4,16,19.4,21.4,23.3,28.4,35.7,38.7,40.9,44.9,49.9,62.1,66.3,66.8,71.5,74.3,78,83,86.4,93.6,103.1,113.9,127,142.9,150,156.1,164,167.6,166.4,170,174.4,179.1,192.4,211.4,231.3,254.4,273.6,281.5,294.2,417,397.8,484.3,484.9,434,430.8,447.9
"31","24","    Other current transfer receipts, from business (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,50.2,42.7,41.2,42
"32","25","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.6,1106.8,1159
"33","26","Less: Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.7,197.9,229.6,268.9,299.5,345.8,354.7,352.9,377.9,417.8,437.8,489.6,505.9,567.7,594.7,588.9,612.8,648.8,693.1,748.4,837.1,931.8,1032.4,1112.1,1236.6,1239.3,1054.7,1005.3,1050.6,1213.2,1357.1,1493.2,1507.8,1152.3,1239.3,1453.2,1511.4,1672.8,1780.2
"34","27","Equals: Disposable personal income","A067RC1",695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.2,5000.2,5244.2,5532.6,5829.9,6148.8,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507,10994.4,10942.5,11237.9,11801.4,12403.7,12395.6,12913.9
"35","28","Less: Personal outlays","A068RC1",620.7,665.5,720.3,790.7,874.3,956.6,1060.3,1178.5,1308.5,1463.5,1631.7,1804.8,1998.3,2147,2370.4,2591.8,2833.4,3018.5,3214.2,3475.7,3735.6,3976.3,4118.6,4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156,6573,7092.8,7417.1,7693.9,8076.2,8592.9,9157.7,9705.5,10197.2,10457.7,10275.1,10607.9,11091.2,11457,11805.7,12293.7
"36","29","  Personal consumption expenditures","DPCERC1",604.5,647.7,701,769.4,851.1,932,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6307,6792.4,7103.1,7384.1,7765.5,8260,8794.1,9304,9750.5,10013.6,9847,10202.2,10689.3,11050.6,11392.3,11865.9
"37","30","  Personal interest payments \4\","B069RC1",14,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27,31.9,36.2,43.2,49.2,59.3,68.8,76.6,92,99,98.9,103.1,114.8,120.1,121.8,118.1,116,122,142.6,159.1,172.1,183.4,190.2,217.5,223.2,213,209.8,221.8,248.8,275.1,305.9,289.6,273.9,250.8,241.4,240.6,244.2,254.2
"38","31","  Personal current transfer payments","W211RC1",2.2,2.6,2.8,3.2,3.4,3.4,3.8,4.4,4.8,5.4,6,6.9,11.5,13.8,15.1,17.1,18.8,21.1,23.2,25.6,28,30.6,36.7,40.5,45.6,49.8,52.9,57.6,63.9,69.5,75.8,82.9,90.8,96.9,100.8,111.1,114.8,126.4,140.8,154.4,154.2,154.9,160.5,165.8,169.3,173.6
"39","32","    To government","W062RC1",1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81,82.8,83.5,83.9,85.5,91.1,92.6,95.3
"40","33","    To the rest of the world (net)","B070RC1",1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2,5.6,6.7,7,7.9,8.3,9.1,10,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,31.8,34.1,37.9,40.5,40.3,44.2,43.2,49.7,59.8,71.7,70.7,71,75.1,74.7,76.6,78.3
"41","34","Equals: Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.8,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,303.3,307.7,335.2,405.3,409.6,409.4,243.1,331.4,309.8,536.7,667.4,630,710.1,946.7,589.9,620.2
"42","35","  Personal saving as a percentage of disposable personal income","A072RC1",10.8,12.6,13.3,12.1,13.1,12.9,13,11.1,10.2,10.2,9.8,10.6,11.2,11.5,9.4,10.7,8.6,8.2,7.3,7.8,7.8,7.8,8.2,8.9,7.4,6.3,6.4,5.9,5.7,6.2,4.4,4.2,4.3,5,4.8,4.5,2.6,3.3,2.9,4.9,6.1,5.6,6,7.6,4.8,4.8
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Personal income excluding current transfer receipts, billions of chained (2009) dollars \5\","W875RX1",3462.5,3540.6,3628.8,3848.1,4046.8,3987,3946.3,4107.5,4284.5,4524.7,4641.9,4634.6,4761.6,4801.9,4911.4,5272.5,5462.8,5664,5847,6097.5,6305,6390.2,6324.7,6525,6626.7,6829,7068.9,7358,7722.2,8268.8,8583.7,9081.8,9203.9,9163.7,9299.5,9622.4,9860.4,10323.5,10578.7,10538.8,9947.3,9987.3,10460.1,10882.7,10822.3,11149.8
"45",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","37","    Total, billions of chained (2009) dollars \5\","A067RX1",3264.4,3413.2,3570.4,3741.2,3968.6,3923.6,4020,4144,4274.8,4470.5,4557.8,4590.5,4705.6,4803.3,4971,5314,5476.2,5687.8,5811,6083.9,6268.7,6393.5,6438.4,6714.2,6823.6,7010.7,7245.8,7476.1,7751.3,8208.1,8477.7,8902.2,9148.7,9431.6,9690.1,10035.7,10189.4,10595.4,10820.6,10987.3,10942.5,11055.1,11331.2,11688.3,11523.1,11836.3
"47",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","38","      Current dollars","A229RC0",3432,3713,3998,4287,4747,5135,5645,6079,6613,7322,8037,8861,9785,10442,11170,12284,12991,13661,14274,15386,16380,17235,17688,18684,19211,19906,20753,21615,22527,23759,24617,26206,27179,28127,29198,30697,31760,33589,34826,36101,35616,36274,37804,39440,39123,40461
"49","39","      Chained (2009) dollars","A229RX0",16102,16643,17191,17821,18725,18343,18613,19002,19406,20080,20248,20158,20458,20685,21214,22480,22960,23632,23929,24826,25340,25555,25395,26133,26216,26611,27180,27719,28397,29723,30350,31524,32075,32754,33342,34221,34424,35458,35866,36078,35616,35684,36298,37165,36369,37084
"50","40","  Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282398,285225,287955,290626,293262,295993,298818,301696,304543,307240,309808,312172,314499,316839,319173
"51",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Disposable personal income, current dollars","A067RP1",8.1,9.5,9,8.4,11.8,9.2,11,8.7,9.9,11.9,11,11.5,11.5,7.7,7.9,10.9,6.7,6.1,5.4,8.8,7.5,6.4,4,7,4.2,4.9,5.5,5.4,5.5,6.7,4.8,7.6,4.8,4.5,4.8,6.1,4.4,6.8,4.7,4.6,-0.5,2.7,5,5.1,-0.1,4.2
"53","42","    Disposable personal income, chained (2009) dollars","A067RL1",3.4,4.6,4.6,4.8,6.1,-1.1,2.5,3.1,3.2,4.6,2,0.7,2.5,2.1,3.5,6.9,3.1,3.9,2.2,4.7,3,2,0.7,4.3,1.6,2.7,3.4,3.2,3.7,5.9,3.3,5,2.8,3.1,2.7,3.6,1.5,4,2.1,1.5,-0.4,1,2.5,3.2,-1.4,2.7
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes actual employer contributions and actuarially imputed employer contributions to reflect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","benefits accrued by defined benefit pension plan participants through service to employers in the current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","from the federal old-age and survivors insurance trust fund and the disability insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
