"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1102.6,1132.1,1178,1213.7
"12","5","  Taxes on corporate income","W025RC1",39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.3,420.7,281.1,246,346.3,349.6,415.6,434.7,476.2
"13","6","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14.6,15.3,18.8,14.8,15.7,16.7,18.2,19.3,21.7
"14","7","Contributions for government social insurance","W782RC1",44.3,46.6,51.5,59.6,76,85.8,89.9,102,113.9,132.1,153.7,167.2,196.9,210.1,227.2,258.8,282.8,304.9,324.6,363.2,386.9,412.1,432.2,457.1,479.6,510.7,535.5,557.9,590.3,627.8,664.6,709.4,736.9,755.2,783.2,833.6,878,927.2,966.1,993.1,969.4,989,922.2,956.2,1112,1164.1
"15","8","  From persons","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.6,1106.8,1159
"16","9","  From the rest of the world \1\","W781RC1",0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.7,1.7,2,2.1,2.1,2.2,2.5,2.7,2.8,3,3.1,3.3,3.6,3.7,3.8,3.9,4.4,4.7,4.6,4.7,4.8,5,4.9,4.4,4.6,5.2,5.1
"17","10","Income receipts on assets","W058RC1",7.2,8.4,9.1,9.7,11.8,14.7,16.4,16.7,18.7,23.6,31.3,40.6,51.2,60.1,66.2,75.4,85.7,91.1,86.7,91.4,95.4,98.9,97.3,89.7,87.7,87.1,92.9,100.3,103.6,102.8,106.3,119.5,115.6,100.3,97.3,102.2,115.8,136.1,151.3,139.6,136.3,137.2,135.6,128,237.5,150.5
"18","11","  Interest and miscellaneous receipts","W059RC1",7.2,8.4,9.1,9.7,11.8,14.7,16.4,16.6,18.7,23.5,31.3,40.5,51.1,60,66,75.2,85.6,90.9,86.6,91.2,95.2,98.7,96.9,89.2,87.1,86.3,92,99,102.1,101.1,104.8,118.2,114.2,98.8,95.6,100.1,113.6,133.8,149,136.4,115.4,117.8,114.2,103.6,102.5,105.9
"19","12","    Interest receipts \2\","Y703RC1",6.1,7.1,7.7,8.2,10,12.5,14.1,14.2,16.1,20.7,27.3,34.4,43.3,51.4,57.4,65.4,75.7,81.4,78.2,84,88.2,91,88.6,81,78.8,78.2,84.5,90.2,92.8,92.3,95.7,105.6,99.3,85.7,81,83,94.2,113.5,126.3,110.5,97.2,98.6,92.5,81.1,80.8,82.2
"20","13","    Rents and royalties","Y704RC1",1.1,1.2,1.4,1.5,1.8,2.1,2.3,2.4,2.5,2.8,4,6.2,7.7,8.6,8.6,9.9,9.9,9.5,8.4,7.3,7.1,7.6,8.3,8.2,8.3,8.1,7.5,8.7,9.3,8.9,9.2,12.5,14.9,13.1,14.6,17.1,19.4,20.3,22.6,25.9,18.3,19.2,21.7,22.5,21.7,23.8
"21","14","  Dividends","W065RC1",NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2.2,2.3,2.4,3.2,20.9,19.3,21.4,24.4,135,44.6
"22","15","Current transfer receipts","W060RC1",2.6,2.7,2.9,3.5,3.6,4.1,4.7,5.5,6.5,7.8,8.9,10.3,11.7,14,16,18.6,22.2,25,26.3,27,31.6,35.3,43.8,49.5,54.2,58.8,57.5,65.7,68,74.2,80.6,91.4,97.3,103.1,109.5,119.8,125.7,136,144,156.5,175.2,174.8,176.7,170.1,192.2,207.3
"23","16","  From business (net)","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,70.6,88.5,87.2,89.2,72.6,91.9,94.8
"24","17","  From persons","W062RC1",1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81,82.8,83.5,83.9,85.5,91.1,92.6,95.3
"25","18","  From the rest of the world \3\","LA0000141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.7,0.5,0.5,0.7,0.5,0.7,1.1,1.1,3.2,3.2,3.8,2,6.5,7.6,17.2
"26","19","Current surplus of government enterprises \4\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-19.3,-18.8,-18.3
"27","20","    Current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.4,630.5,692,765.1,880.2,1000.3,1110.3,1205.4,1285.9,1391.8,1484.5,1557.2,1646.9,1780.6,1920.2,2034.6,2218.4,2301.4,2377.2,2495.1,2578.3,2654.5,2719.6,2832.2,2971.8,3174,3363.3,3572.2,3777.9,4040.3,4274.3,4547.2,4916.6,5220.3,5502.5,5592.2,5623.1,5655.7,5794.6
"28","21","Consumption expenditures","A955RC1",180.9,194.4,210.8,227.6,240.7,267,298.5,316.2,342.6,371.8,405.4,454.9,507.4,553.1,594.6,632,688.6,736.4,776.1,819.8,881.5,948,1004.1,1049.3,1074.2,1109.6,1144.5,1176.5,1224.6,1272.1,1357.6,1444.2,1545.1,1651.4,1755.6,1868.9,1980,2089.8,2209.7,2368.6,2442.1,2522.2,2530.9,2544.2,2522,2556.3
"29","22","Current transfer payments","A084RC1",64.1,77.3,92.2,103,115.2,135.9,171.3,184.7,196.3,211.2,236.2,282.4,318.8,355.3,383.1,395.8,420.9,447.2,464.9,494.6,539.7,594.4,631.2,758.5,806.8,842.5,886.9,934.3,960.2,984.1,1019.5,1075.9,1173.5,1283.5,1359.8,1446,1543.1,1640.5,1753.1,1980.5,2177.5,2351.8,2384.9,2396.9,2458.2,2559
"30","23","  Government social benefits","W063RC1",59.6,72.5,86.2,95.8,109.8,129.9,165.1,180.1,192.1,206.2,230.4,275,312.1,347.2,374.1,384.6,407.1,433,452.2,481.4,526.2,580.8,656.8,738,785.1,822.5,871.5,913.9,943.3,966.1,1000.7,1053.5,1155.3,1260.1,1331.2,1415.2,1502.3,1605.5,1710.8,1935.4,2124.9,2298.3,2327.3,2341.5,2404.3,2506.6
"31","24","    To persons","A063RC1",59,71.7,85.4,94.8,108.6,128.6,163.1,177.6,189.5,203.4,227.3,271.5,307.8,343.1,370.5,380.9,403.1,428.6,447.9,476.9,521.1,574.7,650.5,731.8,778.9,815.7,864.7,906.3,935.4,957.9,992.2,1044.9,1145.8,1250.5,1321.1,1404.6,1491,1593.1,1697.5,1920,2108.8,2281.7,2310.2,2323.6,2385.5,2487.2
"32","25","    To the rest of the world \5\","W016RC1",0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.7,11.2,12.4,13.3,15.5,16,16.5,17.1,18,18.8,19.5
"33","26","  Other current transfer payments to the rest of the world \3,5\","W017RC1",4.5,4.8,6,7.2,5.4,6,6.1,4.5,4.2,5,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17,18,18.7,22.4,18.3,23.3,28.6,30.8,40.9,35,42.3,45,52.7,53.5,57.6,55.3,53.9,52.3
"34","27","Interest payments \2\","A180RC1",34,41,44.6,48.7,55.5,62.2,69.2,76.4,84.5,100.1,114.9,133.1,162.7,186.9,206.5,237,261,276,285.8,303,332,350.9,371.9,380.5,383.7,392.6,428.9,432.3,435.8,427,410,405.8,396.7,387,407.8,416.6,456.2,492.4,529.8,515,542.4,572.7,616.4,624,616.2,621.4
"35","28","  To persons and business \2\","A204RC1",33.2,40.1,42.9,46.2,51.8,58.1,64.9,72.2,79.2,91.9,104.4,121.3,146.4,168.9,188.4,216.8,238.8,252.7,261.7,274.2,297.4,314.8,335.8,346.3,349.5,356.2,381.9,375.6,366.1,354.9,343.2,341.4,339.6,337.7,360.4,361.7,388.2,406.6,430.7,415,451,477.8,516.3,525.3,517,524.9
"36","29","  To the rest of the world","Y712RC1",0.8,0.9,1.8,2.6,3.7,4,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68,85.9,99,100,91.4,94.9,100,98.7,99.2,96.6
"37","30","Subsidies \4\","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58,59.4,57.9
"38","31","    Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.9,166.4,-50.8,-391.4,-524.3,-507.6,-371.3,-266.4,-338.4,-799,-1520.8,-1566,-1460.1,-1310.8,-828,-799.2
"39","32","Social insurance funds","A221RC1",5.9,1.1,-2.8,-0.4,6.2,3.6,-15.8,-15.4,-13.1,-3.2,1.7,-14.5,-13,-33.2,-36.6,-7.9,2.2,7.5,16.7,41.6,45,44.4,27,8.5,7,20,19.7,15.7,30.1,60,94.2,116.3,90.7,51.1,41.1,58.5,55.7,16.4,-1.4,-53.2,-251,-287.7,-266.5,-284.9,-284.4,-275.1
"40","33","Other","A391RC1",-6.9,-32.9,-47.5,-40.1,-34.2,-41.9,-86.7,-61.6,-50.4,-43.2,-38,-66.4,-68.7,-136.6,-167.1,-163.5,-177.5,-199.7,-167.7,-181.9,-194.2,-251.7,-298.3,-378.7,-356.1,-300.6,-292.1,-206.7,-119.6,-41.9,-18.4,50.2,-141.6,-442.5,-565.4,-566.1,-427,-282.8,-337,-745.9,-1269.8,-1278.3,-1193.5,-1025.9,-543.7,-524.1
"41",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","  Total receipts","W066RC1",287.1,290.4,307.9,352.2,395.1,436.3,447.4,512.6,576.3,652.8,736.4,808.1,927.9,950.6,1010,1122.8,1225.4,1302.3,1416.6,1517.7,1643.9,1728.6,1778.9,1864,1970,2116.8,2242.8,2410.5,2592,2770.1,2944.8,3173.8,3160.6,3004.5,3075.9,3300.5,3701.3,4040.8,4240.3,4151.4,3724.5,3956.2,4146.5,4333.9,4853.6,5019.2
"43","35","    Current receipts","W021RC1",282.5,285.7,302.1,345.4,388.5,430,440.9,505.4,567,645.7,728.8,799.3,918.7,940.5,1001.7,1114.4,1216.5,1292.3,1406.1,1506.5,1631.4,1712.9,1763.3,1848.2,1952.3,2096.5,2222.8,2387.4,2565,2737.7,2908.1,3138.2,3123.2,2971.9,3048,3270.3,3669,4007.9,4208.8,4117.5,3699.5,3936.5,4132.2,4312.3,4827.6,4995.4
"44","36","    Capital transfer receipts","W067RC1",4.6,4.8,5.8,6.8,6.6,6.3,6.4,7.2,9.3,7.2,7.5,8.8,9.3,10.1,8.3,8.4,8.9,10,10.6,11.1,12.4,15.8,15.6,15.8,17.6,20.2,20,23.1,27,32.4,36.7,35.6,37.4,32.6,28,30.3,32.4,32.9,31.5,33.9,24.9,19.7,14.4,21.6,26,23.8
"45","37","  Total expenditures","W068RC1",308.8,339.7,371,404.3,434.3,487.9,570.9,609,656.8,726,804.3,923.6,1041.6,1152.1,1252.2,1346.9,1473.5,1572.8,1654,1735.5,1869.5,2025.1,2131.2,2305.2,2376.5,2447.6,2561.9,2654.7,2731.6,2807.5,2947.6,3092.7,3310.4,3527.9,3760.3,3976,4257.6,4470.6,4775.4,5206.4,5571.5,5775.2,5813.3,5780.9,5761.6,5892.4
"46","38","    Current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.4,630.5,692,765.1,880.2,1000.3,1110.3,1205.4,1285.9,1391.8,1484.5,1557.2,1646.9,1780.6,1920.2,2034.6,2218.4,2301.4,2377.2,2495.1,2578.3,2654.5,2719.6,2832.2,2971.8,3174,3363.3,3572.2,3777.9,4040.3,4274.3,4547.2,4916.6,5220.3,5502.5,5592.2,5623.1,5655.7,5794.6
"47","39","    Gross government investment","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,614.4,592.3,595.8
"48","40","    Capital transfer payments","W069RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,4.2,17.1,21.6,42.3,18.4,25.1,88.2,143.5,69.3,54.4,32.5,12.7,11.6
"49","41","    Net purchases of nonproduced assets","AD07RC1",1.1,0.8,1.2,0.9,-1.5,-3.8,1.5,-0.6,0.1,1.1,-0.9,-1.9,-3.3,-1.5,-2.7,-1.4,1.9,0.7,3.7,4.2,4.1,4.9,6,6,6,6.3,-1.4,1.2,-3,1.6,7.4,8,8.7,10.9,10.5,10.5,8,-3.4,10.3,-6.6,3.4,9.6,8.3,7.2,7.2,7.2
"50","42","    Less: Consumption of fixed capital","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,479.6,496.2,506.2,516.8
"51","43","  Net lending or net borrowing (-)","AD01RC1",-21.7,-49.3,-63.1,-52.1,-39.2,-51.6,-123.6,-96.4,-80.5,-73.2,-68,-115.5,-113.7,-201.5,-242.3,-224.1,-248.1,-270.5,-237.4,-217.9,-225.7,-296.5,-352.3,-441.2,-406.5,-330.9,-319.1,-244.3,-139.6,-37.4,-2.8,81.1,-149.7,-523.4,-684.4,-675.5,-556.3,-429.8,-535.1,-1055,-1847.1,-1819,-1666.7,-1447,-908,-873.2
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Prior to 1960, interest payments to persons (line 28) and interest receipts on line 12 are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","separately, but are included in interest payments (line 27), which is shown net of interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Interest payments to persons and business includes interest accrued on the actuarial liabilities of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","defined benefit pension plans for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Prior to 1999, current transfer payments to the rest of the world (line 26) are displayed net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","current transfer receipts from the rest of the world (line 18).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","4. Prior to 1959, subsidies (line 30) and the current surplus of government enterprises (line 19) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5. Prior to 1960, government social benefits to the rest of the world are included in line 26, 'Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","current transfer payments to the rest of the world.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
