"","Table 7#25# Transactions of Defined Contribution Pension Plans","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"11","4","    Claims to benefits","Y347RC1",48.9,61.5,75,82.9,84,94.5,98.1,104,114.3,124.4,129.4,140.7,156.6,174.5,190.3,213.5,229.4,237.3,246.4,251.7,272.5,296.4,329.7,357.1,372.8,360,377.4,394.1,416.3,432.3,453.8
"12","5","      Actual employer contributions","Y340RC1",20.4,26.7,36.7,41.3,40.2,44.9,46,47.8,49.2,53.4,54.9,57.6,62,69,76.1,79.6,86.6,89.4,92.7,95.1,101.1,110.6,121.1,130.6,142.6,133.1,141.4,145.6,153,159.7,167.4
"13","6","        Private plans","Y934RC1",19.4,25.6,35.6,39.6,38.4,42.9,43.4,44.9,45.8,49.6,50.7,53,56.9,63.1,69.7,72.2,78.5,80.4,83.1,84.7,89.9,97.9,106.7,115.9,126.6,116.5,124.3,127.9,135.2,141.3,147.8
"14","7","        Federal government plans","Y912RC1",0,0,0,0.4,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2.1,2.2,2.4,2.7,2.9,3.2,3.5,3.9,4.3,4.6,5,5.3,5.8,6.3,6.9,7.4,7.7,7.7,7.9
"15","8","        State and local government plans","Y955RC1",1,1.1,1.2,1.3,1.3,1.5,1.8,2,2.2,2.4,2.6,2.8,3,3.6,4,4.7,5.2,5.7,6.1,6.5,7,8.1,9.4,9.4,10.3,10.3,10.2,10.3,10.1,10.7,11.7
"16","9","      Actual household contributions","Y344RC1",28.5,34.8,38.2,41.6,43.9,49.6,52.1,56.2,65.1,71,74.5,83.1,94.6,105.5,114.2,134,142.7,148,153.6,156.6,171.4,185.8,208.7,226.5,230.2,226.9,236,248.5,263.3,272.6,286.4
"17","10","    Household pension contribution supplements \2\","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,111.2,121.2,134.8
"18","11","    Less: Pension service charges \1\","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,5.1,5.7,6.2
"19","12","  Income receipts on assets","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,111.2,121.2,134.8
"20","13","    Monetary interest","Y900RC1",11.3,14,16.3,19.1,21.3,25.6,29.3,31.7,31.9,30.8,32.3,34.9,38.3,40.3,41,43.7,46.6,44.4,39.8,33.1,33.3,35.7,41,45.3,46.3,43,42.9,42.7,40.8,42.3,45.7
"21","14","    Dividends","Y901RC1",5.5,6.3,6.5,7.4,7.7,9.2,10.5,11.8,13.1,14.7,16.9,19,20.8,22.2,22.7,23.6,23.8,24.8,26.7,29,34.3,40.4,48.6,59.4,68.5,64.6,62.3,62.7,70.4,78.9,89.1
"22","15","Current expenditures","Y346RC1",82.6,102.2,120.5,135.8,142.1,164.2,177.7,191.1,204.3,215.4,227.7,248.4,274.7,299.7,317.6,348.1,370.1,375.7,379.5,375.9,407.7,448.5,509,566.6,602.4,575.1,587.8,604.9,638.7,674.8,723.5
"23","16","  Administrative expenses","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,5.1,5.7,6.2
"24","17","  Imputed income payments on assets to persons","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,111.2,121.2,134.8
"25","18","    Interest","Y900RC1",11.3,14,16.3,19.1,21.3,25.6,29.3,31.7,31.9,30.8,32.3,34.9,38.3,40.3,41,43.7,46.6,44.4,39.8,33.1,33.3,35.7,41,45.3,46.3,43,42.9,42.7,40.8,42.3,45.7
"26","19","    Dividends","Y901RC1",5.5,6.3,6.5,7.4,7.7,9.2,10.5,11.8,13.1,14.7,16.9,19,20.8,22.2,22.7,23.6,23.8,24.8,26.7,29,34.3,40.4,48.6,59.4,68.5,64.6,62.3,62.7,70.4,78.9,89.1
"27","20","  Benefit payments and withdrawals","Y353RC1",34.1,49.1,64.5,58.2,60.6,68.2,66.4,67.8,79.1,82.2,87.2,105.4,125.6,147,176.2,213,234.6,201.3,197.9,185.9,216.2,243.9,291.9,331.8,300.7,274.5,325.4,339.6,375.3,389.5,413.5
"28","21","  Net change in assets from current transactions","Y905RC1",31.3,32.2,32.7,50.6,51.8,60.2,70.5,78.6,78.9,86.2,89.6,87.6,88.4,87.7,74.6,65.7,63,103.1,113.1,125.9,121.9,126.2,124.9,127.3,184.1,189.6,152.7,155.1,147.2,158.3,169
"29","22","Cash flow","Y350RC1",31.3,32.2,32.7,50.6,51.8,60.2,70.5,78.6,78.9,86.2,89.6,87.6,88.4,87.7,74.6,65.7,63,103.1,113.1,125.9,121.9,126.2,124.9,127.3,184.1,189.6,152.7,155.1,147.2,158.3,169
"30","23","  Actual employer and household contributions (5+9)","Y351RC1",48.9,61.5,75,82.9,84,94.5,98.1,104,114.3,124.4,129.4,140.7,156.6,174.5,190.3,213.5,229.4,237.3,246.4,251.7,272.5,296.4,329.7,357.1,372.8,360,377.4,394.1,416.3,432.3,453.8
"31","24","  Monetary income receipts on assets (13+14)","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,111.2,121.2,134.8
"32","25","  Less: Benefit payments and withdrawals","Y353RC1",34.1,49.1,64.5,58.2,60.6,68.2,66.4,67.8,79.1,82.2,87.2,105.4,125.6,147,176.2,213,234.6,201.3,197.9,185.9,216.2,243.9,291.9,331.8,300.7,274.5,325.4,339.6,375.3,389.5,413.5
"33","26","  Less: Administrative expenses","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,5.1,5.7,6.2
"34",NA,"Effect of participation in defined contribution plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","Effect on personal income (1-9-10 or 15-9-10)","Y355RC1",37.3,47,59.5,67.8,69.2,79.8,85.8,91.4,94.2,98.9,104.1,111.5,121.1,131.5,139.8,146.9,157,158.5,159.3,157.2,168.7,186.7,210.7,235.4,257.5,240.7,246.6,251,264.2,281,302.3
"36","28","Less: Effect on personal consumption expenditures (2)","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,5.1,5.7,6.2
"37","29","Equals: Effect on personal saving","Y357RC1",36.9,46.6,59,67.2,68.5,78.8,84.9,90.2,92.9,97.3,102.3,110,119.4,129.1,136.7,144.8,154.9,156.5,157.3,155.2,166.6,184.4,208.2,232.6,254.6,237.3,242.1,246.2,259.1,275.2,296.1
"38","30","Plus: Holding gains and other changes in assets","Y906RC1",26.9,121.7,25.7,48.6,13.9,79.4,-28.4,101.7,23.7,73.4,1,235.7,162,291.6,294.8,280,-73.6,-380.5,-316.9,451.7,198.4,258.7,250,147,-1200.6,528,371.6,-155.6,437.3,794.5,312.4
"39","31","Equals: Change in personal wealth","Y907RC1",63.8,168.2,84.7,115.8,82.4,158.2,56.4,191.9,116.6,170.7,103.3,345.7,281.5,420.7,431.4,424.8,81.3,-224,-159.6,606.9,365,443,458.2,379.6,-946,765.3,613.7,90.7,696.5,1069.7,608.5
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Included in personal consumption expenditures as part of financial services furnished without payment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested as household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Note. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","or net worth of their own. Tables 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
