"","Table 7#7# Business Current Transfer Payments by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","    Medical liability insurance","B1872C1",0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.8,0.6,0.7,0.7,0.9,1.1,1.4,1.5,1.9,2.8,3.1,3.1,2.9,1.8,2.1,2.1,3,2.5,2.3,2.3,2.6,2.6,3,3.6,4.1,5.6,5.9,6.6,5.2,4.9,4.2,3.5,3,3.1,2.7,3.5,4.1,3.8,3.6
"13","6","    Net insurance settlements","W238RC1",0.5,0.1,-0.3,-0.3,0.2,0.8,2.3,1.2,-0.8,-0.4,0.4,-0.2,0.9,0.6,1,4.6,4.4,2.3,-0.6,-0.2,2,0.9,-3.2,-6.2,-8.1,-10.5,-7.1,-3.5,-8.4,-2.8,2.7,9.4,9.6,-1.5,-10.5,-20,-16.5,-18.5,-8,0.2,2.2,3.6,8.7,-2.3,-4.9,-5.1
"14","7","  Donations by corporate business to nonprofit institutions serving households","B1873C1",1.1,0.8,0.9,1,1.2,1.2,1.2,1.5,1.8,2.1,2.3,2.4,2.5,2.9,3.6,4.1,4.5,5.2,5,4.9,4.9,4.8,4.8,5.5,6.3,7.1,7.4,7.8,8.4,8.7,10.7,10.7,11.4,10.3,10.8,11.6,16.6,14.8,14.2,12.4,13.1,16.3,14.8,16.4,16.7,17.1
"15","8","  Defined benefit and defined contribution pension plans (net)","Y660RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","9","    Benefit payments and withdrawals","Y235RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,170.7,203.7,201.1,203.9,223.1,227.7,241.6,265.2,277.9,294.1,324.2,363.6,395.8,447.1,501.3,542.9,525.1,541.6,541.9,590.8,628.5,706.9,772.9,766.4,762.2,831.7,864.7,945.5,1009.6,1068.8
"17","10","    Net change in benefit entitlements for defined benefit plans \1\","Y632RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.4,131.2,130.3,139.8,152.7,170.1,181.6,182,199.4,191,194.7,197.7,181.4,184.4,165.6,154.5,139.5,153.3,169.5,191.2,201.2,200.5,186.8,187.1,211.9,231.4,221.7,207.2,177.2,131.6,87.8
"18","11","    Net change in assets from current transactions for defined contribution plans","Y905RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,32.2,32.7,50.6,51.8,60.2,70.5,78.6,78.9,86.2,89.6,87.6,88.4,87.7,74.6,65.7,63,103.1,113.1,125.9,121.9,126.2,124.9,127.3,184.1,189.6,152.7,155.1,147.2,158.3,169
"19","12","    Less: Total contributions and contribution supplements \2\","Y202RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.7,334.1,366.7,391.5,408.3,453.4,479.9,502.1,543.6,555,578.4,609.6,633.4,667.9,687.4,721.5,745.4,781.5,824.1,859.1,913.8,955.3,1018.7,1087.3,1162.5,1183.2,1206.1,1227,1269.9,1299.5,1325.6
"20","13","  Other \3\","B1874C1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.8,1.1,1.5,1.9,1.9,2,2.3,2.5,2.5,2.7,3.4,3.4,3.6,3.9,3.6,4.2,5,4.4,4.6,4.4,4.2,4.5,4.8,4.9,5.3,6,6.6,6.9,7.2,7.5,7.8,8.7,9.1,9,9.2,9.6
"21","14","Payments to government (net) \4\","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,70.6,88.5,87.2,89.2,72.6,91.9,94.8
"22","15","Payments to the rest of the world (net) \5\","W237RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2.8,6,7.2,-2.3,-1.7,-7.9,-10.6,-13.7,-9.5
"23","16","  Current transfer payments to the rest of the world \6\","LA0000301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7,0.5,6,1,2.5,16.9,16.2,8.5,9.1,6.3,-0.8,-5.3,-15.3,-9.4,-11.9,-8
"24","17","  Less: Current transfer receipts from the rest of the world \7\","LA0000291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,-0.4,-2.5,0.7,0.8,4.7,1.4,5.7,3.2,-0.8,1.5,-3.7,-7.4,1.2,1.8,1.5
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Equals total household contributions and contribution supplements less benefit payments and withdrawals;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","that is, net business current transfer payments for defined benefit pension plans always equal zero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Equals actual employer contributions plus imputed employer contributions plus actual household contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","less pension service charges plus household pension contribution supplements; see table 7.20. All contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","to defined benefit and defined contribution plans are considered to be from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. Consists largely of losses by business due to fraud and unrecovered thefts, corporate cash prizes,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and payments from personal injury trust funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4. For detail, see table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","5. Prior to 1999, current transfer payments to the rest of the world are net of current transfer receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","6. Consists of net insurance settlements paid to the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","7. Consists of net insurance settlements received from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
