"","Table 6#22A# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"60","53","  Banking","Q1776C0",68,71,71,65,60,56,55,56,56,56,55,55,55,54,53,51,49,56,62
"61","54","  Security and commodity brokers, and services","Q1777C0",8,8,7,5,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2
"62","55","  Credit agencies (other than banks) and holding and other investment companies","Q1782C0",31,30,29,27,25,27,32,36,28,31,25,38,40,19,14,17,23,19,26
"63","56","  Insurance carriers","Q1778C0",12,15,17,20,26,30,37,41,43,43,43,43,40,37,32,26,20,19,21
"64","57","  Insurance agents, brokers, and service","Q1780C0",1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,4,5
"65","58","  Real estate","Q1781C0",281,308,321,312,296,328,315,318,303,313,306,313,314,293,296,300,300,323,344
"66","59","Services","Q1783C0",152,166,175,182,176,188,199,218,247,284,297,310,329,357,374,392,423,485,568
"67","60","  Hotels and other lodging places","Q1785C0",32,33,31,31,28,34,40,41,46,50,50,49,50,50,49,51,51,59,70
"68","61","  Personal services","Q1786C0",17,18,17,17,16,19,22,22,25,28,26,27,27,27,25,23,22,25,35
"69","62","  Business services","Q1787C0",15,15,14,13,10,11,10,12,13,19,18,19,21,23,24,23,24,28,40
"70","63","  Miscellaneous repair services","Q1788C0",1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,2,3
"71","64","  Motion pictures","Q1789C0",59,64,79,86,90,93,101,119,138,159,173,182,193,215,229,248,274,306,336
"72","65","  Amusement and recreation services","Q1790C0",20,20,18,18,15,15,12,12,13,12,13,15,16,17,16,16,18,23,31
"73","66","  Other services","Q1791C0",8,14,15,16,16,15,13,11,11,14,15,17,20,23,28,28,32,42,53
"74","67","    Health services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","68","    Legal services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","    Educational services, n.e.c.","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
