"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"26","18","    Beverage and tobacco product manufacturing","KS3120",12751,12735,12717,13002,13005,12997,13122,13212,13255,13366,13448,13378,13741,13515,13614,13407,13363,13242,13294,12989,12993,13345,13440,13342,13250,13425,13138,13289,13419,13261,13062,13079,12726,12905,12826,13142,13207,13271,13170,13180,13157,13254,13178,13149,13227,13158,13234,13110,13001,13028,13217,13280,13395,13333,13580,13570,13525,13432,13398,13740,13679,13511,13581,13484,13517,13753,13575,13610,13803,13716,13648,13799,13616,13614,13476,13815,13721,13673,13660,13596,13668,13639,13765,13574,13525,13691,13397,13389,13306,13465,13333,13805,13840,13526,13507,13477,13662,13564,13462,13550,13535,13488,13639,13605,13517,13893,13970,13861,13886,13905,13764,13803,13697,13652,13722,13858,13736,13860,13881,13859,13882,13804,13797,13818,13849,13740,13745,13666,13503,13544,13497,13478,13592,13635,13529,13567,13528,13494,13436,13451,13487,13522,13549,13625,13549,13756,13912,13920,13929,13895,13946,13971,13954,14018,13977,13987,13794,13733,13607,13511
"27","19","    Textile mills","KS3130",6853,6819,6827,6858,6820,6824,6817,6876,6822,6827,6781,6795,6796,6834,6836,6814,6855,6826,6876,6831,6869,6877,6869,6872,6924,6938,6957,6955,6953,7000,6991,6988,7018,6959,7006,7053,6927,6837,6842,6847,6804,6780,6774,6758,6682,6708,6700,6600,6712,6590,6416,6476,6462,6437,6362,6353,6366,6351,6319,6159,6123,6094,6066,5929,5929,5905,5924,5969,5900,5923,5837,5857,5856,5856,5877,5929,5951,5971,5910,5867,5872,5765,5767,5715,5687,5671,5707,5714,5697,5652,5690,5687,5666,5644,5667,5642,5650,5644,5593,5608,5646,5624,5616,5528,5542,5569,5556,5589,5604,5587,5584,5532,5472,5509,5534,5537,5558,5469,5434,5438,5382,5366,5272,5250,5237,5244,5198,5218,5193,5175,5148,5130,5125,5162,5174,5101,5075,4983,5052,5019,5029,5042,5064,5026,4978,4924,4899,4905,4843,4785,4698,4629,4554,4574,4522,4467,4433,4436,4417,4387
"28","20","    Textile product mills","KS3140",3433,3483,3524,3560,3599,3645,3660,3675,3703,3690,3716,3725,3731,3751,3726,3704,3689,3639,3619,3624,3598,3552,3524,3510,3459,3527,3635,3676,3693,3744,3747,3765,3770,3838,3827,3838,3860,3882,3934,3964,4027,4063,4103,4113,4170,4179,4248,4260,4311,4317,4302,4308,4333,4429,4389,4401,4420,4441,4449,4443,4327,4186,4064,4031,3966,3883,3845,3782,3724,3631,3524,3427,3501,3533,3536,3563,3560,3539,3540,3556,3517,3484,3538,3559,3542,3528,3546,3555,3519,3525,3537,3537,3585,3580,3575,3545,3629,3644,3657,3625,3622,3620,3593,3614,3586,3638,3611,3735,3707,3704,3704,3702,3655,3732,3776,3785,3785,3791,3772,3757,3724,3707,3665,3625,3655,3639,3614,3598,3597,3582,3582,3577,3583,3603,3600,3599,3547,3470,3539,3515,3490,3482,3466,3432,3256,3194,3175,3130,3099,3049,3023,3018,3003,2990,2988,3003,2996,3000,3011,3031
"29","21","    Apparel manufacturing","KS3150",8598,8606,8625,8715,8808,8925,8996,9081,9049,9102,8987,8983,8976,8978,9055,9029,8965,8966,8959,8957,8990,9043,9041,8974,8950,9063,9218,9267,9384,9453,9499,9575,9618,9577,9529,9617,9621,9525,9458,9354,9280,9220,9291,9222,9165,9218,9347,9291,9369,9233,8975,8837,8718,8631,8381,8210,7999,7921,7815,7548,7379,7322,7225,7159,7149,7151,7125,7122,7176,7218,7244,7211,7286,7358,7444,7539,7568,7474,7508,7387,7295,7226,7218,7207,7128,6960,6973,6904,6878,6914,6959,6953,6959,6971,6986,6937,6990,6999,6987,7010,6998,6910,6885,6900,6918,6926,6868,6800,6790,6781,6791,6770,6766,6705,6775,6840,6565,6622,6764,6792,6827,6833,6846,6884,6912,6995,7155,7046,7051,7064,7026,7059,7102,7146,7140,7150,7151,7148,7158,7123,7049,6997,6940,6847,6777,6706,6638,6555,6481,6436,6365,6266,6207,6140,6112,6072,6111,6108,6098,6068
"30","22","    Leather and allied product manufacturing","KS3160",1829,1839,1816,1875,1910,1920,1919,1904,1905,1925,1915,1925,1932,1944,1948,1989,1999,1989,1993,1989,1978,1989,2015,1937,1896,1899,1907,1898,1893,1947,1930,1932,1957,1965,1972,1937,1905,1911,1906,1918,1898,1902,1913,1912,1906,1911,1892,1823,1837,1834,1827,1906,1840,1771,1758,1749,1746,1735,1713,1646,1585,1557,1492,1444,1448,1456,1473,1487,1455,1501,1516,1485,1488,1467,1467,1460,1468,1462,1439,1418,1425,1425,1424,1429,1409,1402,1400,1403,1387,1375,1372,1360,1366,1385,1400,1420,1427,1428,1444,1463,1453,1446,1436,1446,1465,1461,1473,1475,1480,1435,1442,1450,1467,1488,1495,1527,1556,1550,1565,1598,1599,1590,1583,1582,1578,1578,1583,1577,1555,1560,1557,1539,1545,1552,1535,1539,1528,1516,1525,1524,1534,1535,1557,1568,1580,1573,1599,1579,1581,1578,1576,1557,1525,1490,1479,1469,1474,1475,1473,1464
"31","23","    Paper manufacturing","KS3220",17223,17305,17630,17455,17449,17162,17136,17222,17419,17421,17498,17773,17783,17673,17606,17601,17583,17651,17660,17756,17558,17521,17491,17247,17384,17369,17538,17523,17663,17787,17733,18059,18303,18277,18277,18278,18375,18357,18249,18323,18287,18194,18308,18253,18003,17929,17772,17637,17603,17597,17326,17303,17265,17306,17251,17259,17407,17516,17612,17601,17665,17700,17786,17848,17873,18153,18070,18178,18390,18502,18656,18761,18818,18727,18330,18469,18423,18474,18290,18325,18296,18220,18223,18019,18071,17993,17900,17849,17983,17995,18183,18210,18092,18264,18299,18149,18332,18311,18198,18195,18161,18201,18177,18088,18034,18115,18058,18125,18076,18145,18201,18228,18204,18065,18095,18092,18143,18131,18224,18094,18148,18122,18000,17986,18016,17990,18000,18017,17978,17914,17865,18002,17617,17557,17671,17585,17493,17458,17296,17327,17277,17518,17584,16968,16888,16906,16635,16542,16443,16627,16705,16899,16935,16796,16811,16718,16595,16517,16400,16441
"32","24","    Printing and related support activities","KS3230",7034,6945,6934,7113,7220,7067,6735,6994,6964,7007,7033,7176,6905,6901,6858,6792,6873,6775,6989,6829,6927,6686,6566,6581,6716,6737,6811,6992,6919,6994,6917,6874,7008,6965,7169,7270,7221,7325,7260,6994,6984,6984,6840,6951,6970,7076,7025,6920,6952,6902,6977,6938,6911,6819,6790,6885,6683,6717,6625,6617,6879,6734,6728,6907,6877,7065,7081,6997,6846,6987,6987,6981,6985,6917,6861,6779,6720,6593,6668,6687,6615,6526,6638,6640,6529,6644,6578,6536,6691,6617,6630,6714,6729,6765,6687,6683,6505,6604,6683,6645,6675,6702,6735,6598,6691,6634,6687,6664,6674,6642,6621,6685,6656,6730,6757,6704,6791,6827,6792,6769,6826,6928,6946,6936,6972,7038,6973,6960,7081,7223,7197,7392,6884,7140,7341,7276,7258,7126,6939,6748,6730,6593,6672,6846,6418,6395,6257,6137,6152,6073,6100,6198,6178,6208,6236,6181,6129,6105,6066,6053
"33","25","    Petroleum and coal product manufacturing","KS3240",25884,25504,25978,25903,26275,26261,25966,26721,26843,26894,27225,27323,26242,26588,27041,27197,27195,27009,27109,26665,26310,26492,27314,25939,25802,25017,25997,25745,25550,25528,25714,26086,26163,26346,26629,26169,26232,26157,26015,26326,26509,26857,26497,25997,26323,26684,26814,26116,26310,26474,26778,27092,27156,27066,26703,27220,27107,26640,26883,27445,26774,25350,26398,26705,26508,27077,27381,27007,27185,26814,26281,26385,26425,26564,26591,27088,26139,27049,26186,27219,27343,27125,26668,26344,27165,27514,27327,27081,27647,27753,27950,27295,26829,27791,28870,27318,29023,28817,28769,28371,26622,27202,27977,27691,27721,28856,28204,28307,28892,28664,28608,29520,30230,30652,30511,30912,30198,28996,29187,29317,28963,29900,30683,31695,32488,33218,33234,33057,34634,34511,34983,35262,37402,37905,38386,36680,36388,36979,35340,34501,32298,30374,30854,27608,27970,26719,27344,26779,27305,28076,28213,28761,27156,28824,29592,30240,31033,32910,32671,32990
"34","26","    Chemical manufacturing","KS3250",57288,57593,57706,58097,58192,58512,58346,58351,59177,59876,60315,60394,60645,61155,61123,61158,61091,61194,61281,61476,61079,61235,61992,61283,61779,62068,61706,62341,63459,63117,63312,63127,62903,63515,64256,64611,64325,64407,64211,64555,64624,65207,66231,66019,66376,66555,66592,66453,66588,65800,65928,65786,65610,64932,64933,64452,65011,65509,64652,64392,64269,64181,63820,64012,63885,63570,64405,65057,65507,65669,65979,65092,64235,65227,64672,64441,64463,64377,64951,65096,64874,64932,65475,64716,63885,64955,65597,66085,66095,66139,65925,66204,65129,64991,65739,66800,66906,67437,67983,67579,67606,68249,67756,67571,67614,67126,66659,68239,69223,68588,69524,68951,68965,69829,69712,70036,71088,71405,71388,71123,70890,70438,70457,70483,70963,71026,71089,70843,71010,70799,70923,70223,70982,70903,70266,69860,69540,68725,68756,68957,68057,68457,68582,67508,67440,67024,67463,66670,66477,65881,65708,65822,65854,65878,65723,64810,64836,64709,65283,65286
"35","27","    Plastics and rubber product manufacturing","KS3260",19252,19324,19346,19418,19516,19619,19578,19587,19626,19733,19827,19786,19847,19900,19923,19905,20076,20237,20238,20353,20285,20288,20553,20481,20680,20699,20730,20834,20965,20926,21016,21153,21311,21415,21519,21559,21454,21423,21127,21554,21542,21503,21618,21542,21487,21589,21465,21563,21592,21518,21374,21257,20891,20782,20839,20934,20980,20877,20900,20799,21030,19696,20128,19957,20121,19306,19428,19511,20056,20357,20631,21044,20972,21283,21204,21318,21364,21530,21322,21197,21080,20921,20782,20857,20802,20660,20888,20795,20709,20874,21035,21117,21209,21375,21370,21222,21701,21673,21827,21667,21714,21617,21528,21603,21157,21245,21422,21477,21859,21960,22089,22404,22494,22565,22667,22720,22807,22964,23004,22616,22742,22714,22808,22735,22924,23054,23185,23230,23296,23145,23217,23319,23117,23353,23506,23520,23357,23281,23290,23558,23018,23047,22924,22035,22078,21892,21429,21378,21325,21254,20869,20672,20625,20547,20568,20005,20353,20499,20626,20614
"36","28","Merchant wholesale industries","KS42W0",254780,255150,257130,258234,260060,265249,264782,266437,269334,270925,273525,276005,277036,280609,283291,284021,286818,286842,287958,291527,293879,294906,296319,297304,298301,301269,302779,303364,303828,303992,307097,307611,308945,311667,314804,315302,317022,317550,318826,321049,322302,324023,324885,326237,326451,328877,331138,331405,330532,330540,330574,331641,332713,329892,326904,326206,325755,325162,323214,322639,322921,320853,321691,320814,321415,322225,324069,323435,323218,321503,321274,323238,322262,322030,322273,322827,321436,320703,320918,319653,320213,322647,322368,323280,322369,325503,326607,325442,327963,329921,334965,337260,335960,339389,341894,341700,346360,347236,348349,350437,350316,351441,351855,351955,352127,353478,353581,356029,356091,358857,360064,363177,365037,366016,367275,369003,369739,371247,374306,370772,370245,370541,371408,371343,371823,372115,372233,372493,375181,375103,376537,378234,379642,379845,376452,378235,376605,377160,379471,381361,381125,379925,380536,379446,379472,375523,371173,366570,362813,355391,350288,345157,340847,341288,344717,340407,339496,340649,342687,343773
"37","29","  Durable goods merchant wholesale industries","KS42WD0",148712,149289,151118,152017,153389,157071,155906,156656,158981,159217,160279,162534,163732,166087,168081,168820,170516,170289,171085,173950,175308,176486,176355,177913,178838,180501,181622,181260,182923,183835,185292,185024,186251,187744,190271,190863,191456,192302,193121,194887,196147,198000,198370,199436,199269,200357,201724,201732,201881,201274,200755,200202,199527,195826,194033,192468,191606,191753,188705,187586,187234,185860,186196,186174,186327,186657,187961,188669,188649,187446,187428,187359,186925,188292,188614,189183,188399,188044,187277,186430,186420,186535,186192,188276,188394,190417,191932,191723,194207,196053,198667,201678,201869,203576,205082,205394,208051,209312,209636,210350,210796,212720,213835,213644,212919,215429,215639,216366,216347,217803,218499,221812,222751,223204,224342,224642,226234,227643,227874,226566,227468,227855,227901,226236,227045,226362,224374,224387,225269,225276,226104,227362,229514,230500,230326,232147,231560,231186,232859,235198,236915,237319,238074,236867,235600,230429,225632,220982,217247,213628,210266,206525,203944,202861,201921,199184,198179,198774,200459,200708
"38","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",21029,20510,20836,20420,20915,21843,21834,22055,22291,21953,21817,22049,22383,22660,23130,22238,22208,22192,22092,22629,22823,23100,22300,22829,22792,22960,23352,23442,23885,24018,24501,24776,25073,25069,25546,25609,25869,25992,26456,26878,27006,27197,26932,26961,26416,26454,26595,26894,26519,26635,26420,26479,26056,25788,25833,25701,25807,26436,26052,25733,25844,25653,25864,25679,26513,26867,27205,26947,27850,28082,28710,28197,28363,28447,28368,28706,28565,29153,28682,28619,28242,28772,28105,29098,28688,28873,29302,28908,29046,28934,29702,30756,30465,29834,30339,30289,31265,31179,30436,31114,31434,32572,32651,32604,32298,32875,32748,33123,32445,33519,34305,36202,35678,35010,35253,34315,34504,35402,35040,34090,34992,34298,35082,33810,34531,34724,33863,34099,34404,33698,34061,34312,34985,35335,34638,35690,35381,35713,36097,36501,36806,36420,36913,37679,36237,33070,31607,30240,29564,28938,28150,27421,27381,27948,28084,27300,26919,27003,27361,27161
"39","31","    Furniture and home furnishings wholesalers","KS42120",5362,5240,5145,5398,5470,5352,5279,5397,5453,5397,5481,5494,5534,5516,5460,5612,5683,5708,5749,5763,5777,5888,5806,5832,5828,5933,5967,5910,5952,6072,6109,6069,6087,6267,6086,6212,6198,6218,6270,6360,6436,6567,6678,6798,6595,6735,6851,6811,6912,6826,6869,6777,6727,6573,6538,6442,6534,6492,6487,6355,6328,6371,6265,6348,6382,6426,6534,6544,6577,6515,6505,6577,6514,6568,6633,6686,6719,6717,6610,6644,6627,6655,6713,6800,6982,6868,6902,6832,6791,6852,6912,6909,6916,6892,6934,6935,6944,6984,6999,7039,7044,6894,6932,7046,7064,7227,7181,7176,7179,7155,7048,6979,7250,7304,7303,7322,7359,7349,7353,7413,7397,7380,7462,7345,7337,7369,7387,7358,7339,7234,7287,7279,7383,7435,7284,7316,7086,7043,7097,7049,6965,7053,7046,7036,6798,6612,6471,6298,6184,6087,5927,5850,5832,5750,5664,5690,5653,5631,5590,5664
"40","32","    Lumber and other construction materials wholesalers","KS42130",5846,6030,6057,6144,6179,6262,6292,6369,6399,6412,6613,6630,6678,6650,6542,6614,6524,6537,6639,6807,6344,6427,6497,6466,6472,6421,6496,6563,6672,6637,6756,6622,6681,6821,6798,6911,6986,7020,7042,7059,7106,7218,7222,7109,7131,7167,7260,7427,7279,7303,7337,7182,7093,6838,6923,7087,7183,7441,7335,7362,7398,7304,7380,7422,7427,7428,7492,7565,7677,7745,7762,7833,7989,8220,8268,8355,8339,8442,8443,8546,8586,8745,9076,9287,9481,9601,9766,10047,10679,10436,10651,10808,11026,11227,11069,11381,11824,12230,12416,11941,12129,12006,12110,12078,11570,12008,11918,12073,12078,12012,12088,12271,12274,12506,12541,12598,12767,12584,12614,12404,12148,12133,12079,11882,11746,11595,11400,11414,11314,11445,11502,11619,11653,11540,11308,11374,11438,11474,11598,11464,11259,11077,10767,10584,10393,10280,10100,9795,9487,9189,9107,8926,8812,8762,8811,8545,8657,8886,9008,9135
"41","33","    Professional and commercial equipment wholesalers","KS42140",11066,11338,11464,11869,12137,12722,12947,12851,13444,13710,13747,13880,14241,14451,14944,15185,15322,14922,15016,15274,15268,15225,15552,15523,15649,16334,16437,15985,16508,16830,16834,16849,17028,17458,17869,17984,18357,18060,17807,17854,17895,17851,17878,17907,18526,18824,18889,18651,18497,18634,18322,18622,18256,17964,17952,17879,17496,17431,17068,17534,17337,17043,17465,18006,17843,18107,18223,18739,18551,18184,18444,18713,18776,18856,19031,18587,18744,18641,18924,18940,18997,19028,19251,19300,19306,19674,19756,19545,19866,20414,20410,20837,20878,21341,21759,21492,21697,21595,21638,22150,21983,22342,22336,22335,22405,22887,22879,23120,23608,24336,23935,24235,24759,24645,25098,25382,25915,26230,26438,26751,26931,27155,27332,27563,27685,27795,27907,28131,28357,28168,28571,29017,28926,29112,29308,29353,29718,29476,29224,29879,30255,30637,30701,30277,29769,29504,28752,28431,27892,27366,27021,26639,26872,26760,27382,28258,28034,27929,28643,28944
"42","34","      Computers and software wholesalers","KS42430",3308,3409,3462,3587,3756,4030,4122,4098,4387,4491,4446,4577,4661,4727,5073,5114,5224,5131,5089,5303,5280,5324,5496,5686,5755,6199,6045,5787,6254,6393,6426,6488,6474,6730,6869,6953,7038,7120,6698,6697,6608,6650,6694,6699,7069,7428,7144,6926,6967,7024,6941,7047,6924,6609,6752,6642,6537,6642,6529,6630,6498,6513,6710,7003,6909,7005,6995,7273,7201,6977,6982,7212,7372,7535,7625,7556,7791,7749,7928,7855,7774,7918,7979,8287,8274,8313,8496,8537,8587,9049,8997,9242,9090,9291,9701,9495,9560,9730,9897,9990,9918,10137,9962,10171,10478,10550,10527,10674,10957,11220,11234,11248,11539,11410,11654,11685,12201,12509,12501,12610,12690,12781,12755,12875,13057,13219,13377,13622,13916,13842,13728,13870,13846,13651,14002,13970,14449,14051,14206,14641,14744,15434,15330,14817,14434,14455,14208,14234,14004,13990,13971,13799,14196,14561,15057,16097,15872,16284,16784,17490
"43","35","      Other professional and commercial equipment wholesalers","KS424X0",10109,10268,10318,10670,10529,10642,10747,10642,10737,10885,11134,10917,11314,11477,11224,11534,11422,10982,11277,11079,11133,10922,10988,10407,10431,10381,10951,10880,10541,10702,10628,10504,10811,10869,11168,11149,11514,10895,11450,11520,11772,11616,11560,11590,11704,11389,12058,12163,11872,11951,11689,11893,11633,11809,11546,11640,11330,11077,10806,11226,11190,10809,11021,11235,11181,11357,11511,11722,11603,11489,11786,11780,11635,11509,11589,11177,11048,10985,11074,11185,11351,11204,11374,11049,11072,11426,11295,11018,11305,11352,11409,11583,11800,12064,12047,11994,12139,11852,11721,12147,12052,12193,12362,12156,11927,12331,12346,12443,12653,13110,12716,12987,13226,13231,13445,13680,13742,13778,13974,14173,14273,14403,14585,14698,14667,14641,14621,14636,14618,14507,14942,15227,15164,15460,15383,15444,15427,15491,15174,15436,15685,15553,15676,15653,15477,15243,14778,14499,14199,13779,13510,13303,13254,12946,13153,13246,13198,12873,13153,12983
"44","36","    Metal and mineral (except petroleum) wholesalers","KS42150",18053,18400,18466,18607,18626,18840,18838,18878,18856,18814,18847,18970,19189,19330,19485,19526,19719,19656,19635,20197,20323,20449,20693,20666,21027,20690,20356,20546,20836,20938,20765,20592,20675,20766,20839,20739,21028,21245,21449,21794,21592,21697,21703,21602,21479,21299,21230,20969,20924,20710,20488,20292,20325,20280,20209,20231,19893,19878,19561,19528,19388,19434,19347,19260,19247,19267,19462,19488,19713,19339,19269,19157,18725,18886,18900,18903,18597,18650,18482,18303,18299,18226,18368,18607,18985,19368,19946,19563,19943,19987,20316,20888,20728,21715,22046,22016,22303,22222,22516,22456,22408,22383,22395,22255,22068,22174,21979,21699,21972,22045,21977,22446,22700,22966,23261,23777,24067,24093,24142,24000,23897,23893,23805,23249,23339,23056,22783,22519,22310,22244,22187,22614,22862,23229,23377,23681,23550,23736,23677,23951,24036,24594,25257,24699,25279,25390,24299,23253,22342,21269,20576,19821,19241,18801,18663,18135,18825,18826,19142,19149
"45","37","    Electrical goods wholesalers","KS42160",18700,18641,18966,18665,18638,18929,18773,18879,18879,18770,18665,19006,18832,19082,19526,19840,20058,20176,20103,20329,20599,20498,20634,20908,20998,21341,21223,21070,21445,21658,22282,22303,22522,22813,23342,23887,23904,24185,24380,24398,24818,25478,26033,26286,26446,27103,27392,27403,27692,27436,27596,27732,27143,26619,25600,25126,24945,24663,23817,23221,22964,22817,22667,22586,22718,22431,22663,23205,22856,22912,22524,22245,22310,22190,22289,22509,22275,22300,22015,21931,22054,21687,21155,21648,21327,22001,22393,22711,23052,23175,23238,23347,23423,23502,23713,23810,24039,24341,24399,24283,24228,24661,25114,25010,24804,24572,24758,25033,24875,25322,25433,25820,26018,25938,26571,26684,26888,27367,27341,27251,27235,27073,27169,27049,27540,27652,27528,27587,27633,27843,28000,28393,28581,28252,28477,28601,28632,28860,28722,29282,29826,30287,29694,28986,28410,27775,26952,26336,25652,24997,24606,24518,24460,24546,24349,24803,25021,25264,25904,25976
"46","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",10660,10692,10467,10764,10794,10779,10656,10704,10841,10788,10821,10809,10944,11261,11149,11309,11324,11424,11379,11449,11407,11473,11565,11708,11821,11735,11786,11772,11798,11797,11927,11660,11748,11801,11965,11875,11810,12016,11976,12263,12340,12531,12587,12673,12583,12694,12735,12845,12723,12635,12588,12474,12287,12348,12285,12460,12385,12261,12132,12009,12069,11887,11926,11830,11982,11970,12063,12033,12064,11907,11881,11963,11886,12258,12395,12335,12143,12029,12048,11819,11797,11839,11886,11933,11925,11932,12024,12020,12251,12312,12442,12567,12674,12787,12783,12763,12930,12954,12954,12951,12966,12983,12821,12867,12844,13009,12959,13110,13477,13308,13315,13282,13240,13375,13400,13509,13484,13442,13637,13636,13559,13409,13642,13981,13771,13732,13809,13739,13801,13749,13745,13695,13551,13392,13256,13142,13091,13010,13127,13148,13027,12960,12850,12545,12626,12373,12397,12365,12189,12201,12063,11891,11752,11704,11602,11534,11507,11459,11420,11330
"47","39","    Machinery, equipment, and supplies wholesalers","KS42180",44929,45173,45893,46658,47459,48203,46666,46689,47392,48047,48525,49473,49500,50335,50754,51125,52104,52334,53077,53625,54371,54992,54893,55705,55959,56293,56656,57237,56821,56889,57198,57101,57117,57292,57916,57773,57248,57335,57620,58111,58467,58648,58144,58973,59063,58743,59225,58922,59272,59234,59371,58810,59695,58924,58317,57552,57591,57561,56649,56322,56543,56057,55903,55418,54901,54629,55036,54534,54028,53326,53036,53287,52798,53041,52898,52933,52790,51948,51752,51480,51431,51114,51368,51039,51589,52260,51774,51894,52333,53171,53603,53986,53940,54346,54554,55033,54929,55524,56071,56323,56233,56685,56917,57704,57609,57793,58396,58422,58169,57842,58113,58490,58968,59699,59732,59947,60301,60996,60861,60360,61427,61959,60796,60799,61131,60774,60564,60539,61015,61572,61767,61958,62405,62984,63394,63776,63394,62688,64111,64509,65460,65247,65258,65747,66483,65614,65420,64728,64359,63610,62696,61941,61121,60506,59573,58332,57396,57087,56534,56575
"48","40","    Miscellaneous durable goods wholesalers","KS42190",16964,17037,17587,17026,16505,17106,17146,17526,17707,17404,17998,18524,18532,18924,18816,19013,19283,19373,19466,20043,20660,20878,20722,20599,20684,20638,21129,20851,20828,20622,20404,20427,20622,20569,20828,20625,20665,21046,21083,21247,21492,21844,22164,22076,21664,21731,21916,22204,22522,22201,22153,21997,22373,20928,20871,20529,20331,20147,20246,20090,19961,19985,19939,20042,19669,19839,19575,19760,19545,19598,19378,19451,19496,19822,19799,20190,20170,20091,20212,19996,20244,20305,20189,20449,20117,19835,20095,20224,20268,20783,21426,21596,21835,21948,21878,21695,22127,22312,22239,22117,22402,22212,22582,21750,22263,22887,22820,22630,22562,22362,22382,22235,22034,21880,21367,21212,21093,20449,20699,20906,20246,20852,20911,20970,20476,20277,19797,19772,19931,20085,19875,19446,20050,20048,20048,20006,20152,20018,20051,20331,20307,20028,20438,20216,20192,20223,19894,19751,19701,19991,20110,19554,18755,18496,18429,17652,17160,17625,17940,17926
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",106661,106376,106392,106548,106941,108325,109208,110162,110607,112105,113739,113810,113528,114702,115315,115249,116346,116643,116939,117499,118503,118242,119969,119219,119233,120556,120908,121977,120541,119654,121367,122242,122280,123529,124041,123906,125095,124705,125154,125559,125491,125263,125772,126029,126445,127819,128711,128984,127913,128581,129183,130901,132755,133807,132619,133586,134049,133271,134537,135152,135834,135155,135670,134776,135239,135732,136256,134854,134652,134148,133932,136019,135470,133821,133735,133715,133107,132726,133741,133325,133905,136250,136312,135118,134081,135188,134767,133804,133830,133931,136371,135615,134098,135826,136821,136299,138308,137904,138701,140082,139507,138697,137998,138292,139182,138056,137951,139656,139738,141048,141561,141377,142299,142826,142955,144371,143536,143645,146421,144234,142851,142763,143550,145053,144740,145654,147619,147839,149569,149478,150069,150529,149950,149272,146336,146394,145390,146170,146823,146547,144867,143392,143250,143263,144442,145432,145697,145581,145414,141691,139920,138468,136740,138129,142156,140569,140610,141157,141562,142355
"50","42","    Paper and paper products wholesalers","KS42210",7944,7995,7992,8040,8154,7985,8305,8525,8425,8415,8468,8587,8382,8591,8757,8836,8684,8669,8669,8562,8530,8388,8511,8614,8499,8419,8575,8654,8492,8453,8520,8451,8455,8476,8559,8413,8517,8342,8541,8597,8512,8391,8423,8428,8428,8634,8661,8675,8469,8525,8460,8557,8582,8342,8222,8111,8107,8156,8100,8004,7876,7738,7679,7742,7849,7808,7652,7545,7544,7518,7616,7624,7436,7542,7468,7621,7663,7586,7589,7518,7423,7476,7462,7597,7515,7534,7671,7729,7708,7913,8060,8058,8018,8056,7951,8090,8024,7998,7838,7987,8101,8146,8056,8294,8245,8208,8371,8400,8227,8291,8263,8395,8383,8220,8232,8166,8187,8101,8010,8078,8029,7981,7836,7948,7913,8019,8195,8047,7995,8070,8064,8049,8039,8014,8029,7914,7766,7936,8069,7934,7930,7989,7950,7898,7905,7630,7449,7648,7560,7460,7650,7563,7476,7430,7470,7424,7414,7311,7176,7234
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",15766,15521,15861,15611,15905,16273,16463,17063,17212,16791,17313,17414,17450,17784,17825,17788,18038,17585,17648,17784,17769,18005,18447,18676,18879,19098,19188,19942,20263,20572,20987,21339,21295,22132,22251,22502,23127,23454,23943,24206,24186,25016,25540,25572,25944,26419,26669,27629,27410,27175,28282,29231,30523,31308,30997,32260,33733,33486,34558,35470,35988,35919,36305,36177,36079,36574,36047,35711,36024,36665,36121,36971,36952,37006,37184,37545,37384,36573,37505,37482,36891,37209,37769,37110,36535,37284,37228,36186,36457,36514,37163,36855,36597,36902,37257,36763,37647,36522,36415,36279,36055,35531,34507,33709,34709,34246,33862,34613,33731,34530,35115,35077,34785,35790,35325,36559,35894,34245,35248,35365,35144,35110,35011,35777,36152,36057,35819,35902,35845,35459,35867,36062,35924,35811,35732,35569,35887,34875,36572,36231,35110,35798,35688,35376,35262,35987,35409,35574,35375,34660,34799,34406,34655,35124,34883,35401,35180,35028,35150,35141
