"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"52","41","    Merchant wholesale industries","X42W0",17504,12463,16519,17961,-11964,2889,4815,27718,21986,27540,23651,10414,-43356
"53","42","      Durable goods industries","X42WD0",11164,9727,11067,10042,-16296,-1055,1765,23770,14122,17928,3471,15442,-41927
"54","43","        Motor vehicles, parts, and supplies wholesalers","X42110",717,850,3020,1613,-1472,1990,946,1300,2599,1161,431,3736,-10476
"55","44","        Furniture and home furnishings wholesalers","X42120",83,365,379,636,-425,273,281,240,433,411,4,-8,-1431
"56","45","        Lumber and other construction materials wholesalers","X42130",710,-399,773,218,-32,419,1541,2869,1004,448,-769,-614,-2340
"57","46","        Professional and commercial equipment wholesalers","X42140",3102,-991,1207,-414,-3582,355,-107,1756,498,2451,980,575,-2525
"58","47","          Computers and software wholesalers","X421430",2271,-545,429,-1519,-2803,-380,400,578,-92,507,-78,-146,-104
"59","48","          Other professional and commercial equipment wholesalers","X4214X0",831,-446,778,1105,-779,735,-507,1178,590,1944,1058,721,-2421
"60","49","        Metal and mineral (except petroleum) wholesalers","X42150",734,560,-91,529,-1414,117,107,6828,376,5076,-1549,3806,-9499
"61","50","        Electrical goods wholesalers","X42160",22,1735,2871,3489,-4840,-1421,-844,1977,1320,2810,1279,977,-4410
"62","51","        Hardware and plumbing and heating equipment wholesalers","X42170",214,797,272,989,-560,56,64,1184,825,929,367,-811,-1182
"63","52","        Machinery, equipment, and supplies wholesalers","X42180",4340,5928,2041,1354,-1960,-2594,-1653,5242,5488,4643,2882,7025,-8225
"64","53","        Miscellaneous durable goods wholesalers","X42190",1242,882,595,1628,-2011,-250,1430,2374,1579,-1,-154,756,-1839
"65","54","      Nondurable goods industries","X42WN0",6340,2736,5452,7919,4332,3944,3050,3948,7864,9612,20180,-5028,-1429
"66","55","        Paper and paper products wholesalers","X42210",640,-67,15,678,-832,-413,-17,739,466,102,360,253,-1034
"67","56","        Drugs and druggists' sundries wholesalers","X42220",1622,2192,3469,4714,6912,1620,529,-36,-1707,1046,951,-142,487
"68","57","        Apparel, piece goods, and notions wholesalers","X42230",1538,294,-726,102,18,60,-898,86,583,1371,223,868,-3160
"69","58","        Grocery and related products wholesalers","X42240",777,-43,1226,27,-1320,1005,-106,517,1925,2010,2271,1234,-2079
"70","59","        Farm product raw material wholesalers","X42250",706,-382,-157,989,-6,449,2872,-3193,1887,4994,9103,-6985,3235
"71","60","        Chemical and allied products wholesalers","X42260",253,334,311,-12,130,472,-21,603,766,-56,948,248,-1670
"72","61","        Petroleum amd petroleum products wholesalers","X42270",-559,-557,535,832,25,750,427,2682,2242,-336,3385,-3264,5831
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","X42280",401,291,330,323,-163,554,183,409,511,659,879,964,-715
"74","63","        Miscellaneous nondurable goods wholesalers","X42290",962,674,449,266,-432,-553,81,2141,1191,-178,2060,1796,-2324
"75","64","    Nonmerchant wholesale industries","X42N0",1343,717,2872,5599,-4777,622,1030,6147,7409,4743,110,-4776,-9641
"76","65","      Durable goods industries","X42ND0",851,1203,1492,3379,-3469,319,-145,2890,3023,1240,1798,-1996,-6707
"77","66","      Nondurable goods industries","X42NN0",492,-486,1379,2220,-1309,303,1175,3257,4386,3503,-1688,-2780,-2934
"78","67","Retail trade industries","X440",10575,12248,27937,22058,-12401,21380,16800,29109,10142,15334,12171,-6702,-25247
"79","68","  Motor vehicle and parts dealers","X4410",4244,1489,13468,12946,-9787,16003,11070,8883,-1714,905,3452,-92,-10050
"80","69","  Furniture, furnishings, electronics, and appliance stores","X44230",-194,537,1427,1521,-1103,1357,1372,2985,790,604,1041,-2141,-1290
"81","70","  Building material and garden equipment and supplies dealers","X4440",1408,1901,2080,1281,54,1884,1474,4309,3555,1682,967,468,-3379
"82","71","  Food and beverage stores","X4450",218,958,1864,-512,1115,-242,-298,1017,385,1023,1098,1001,27
"83","72","  Clothing and clothing accessories stores","X4480",1206,1132,1324,2792,-1057,1575,949,2701,1802,4073,327,-1109,-4301
"84","73","  General merchandise stores","X4520",86,540,2571,644,-5,1369,952,4501,2394,2023,357,-2269,-2745
"85","74","    Department stores","X45210",151,-1016,372,-1074,-2026,-1536,-1657,657,151,-73,-316,-3142,-2131
"86","75","    Other general merchandise stores","X45290",-65,1556,2199,1718,2021,2905,2609,3844,2243,2096,673,873,-614
"87","76","  Other retail stores","X44X0",3607,5691,5203,3386,-1618,-566,1281,4713,2930,5024,4929,-2560,-3509
"88","77","Other industries","XOTH0",4861,4849,7595,13400,-746,-1610,1696,6890,4440,6929,6981,5506,-4344
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
