"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"20","2","Business \1\","A195RX1","689,813.0","620,689.0","574,852.0","488,274.0","478,249.0","534,595.0","588,252.0","668,590.0","712,730.0","678,246.0","741,320.0","812,984.0","957,499.0","1,106,514.0","1,223,017.0","1,289,613.0","1,267,768.0","1,260,070.0","1,292,411.0","1,359,202.0","1,344,019.0","1,474,816.0","1,568,804.0","1,619,178.0","1,700,682.0","1,680,258.0","1,816,642.0","1,849,037.0","1,880,972.0","1,848,986.0","1,994,905.0","2,033,180.0","2,076,119.0","2,210,507.0","2,311,324.0","2,456,792.0","2,632,945.0","2,812,330.0","2,870,275.0","3,015,355.0","3,107,673.0"
"21","3","  Nonfarm \2\","A358RX1","638,794.0","572,166.0","515,789.0","432,604.0","424,918.0","491,206.0","533,949.0","624,797.0","657,001.0","623,247.0","679,797.0","759,171.0","897,944.0","1,043,493.0","1,168,137.0","1,239,418.0","1,216,735.0","1,207,954.0","1,256,877.0","1,309,268.0","1,298,393.0","1,429,411.0","1,535,393.0","1,582,080.0","1,661,880.0","1,637,050.0","1,775,594.0","1,808,787.0","1,845,048.0","1,809,004.0","1,959,406.0","1,993,899.0","2,037,072.0","2,176,441.0","2,276,914.0","2,428,403.0","2,603,133.0","2,790,292.0","2,842,599.0","2,993,928.0","3,085,172.0"
"22","4","  Farm","B359RX1","16,993.0","15,971.0","19,444.0","18,895.0","17,981.0","14,071.0","17,534.0","15,056.0","18,393.0","18,037.0","20,106.0","17,601.0","19,683.0","21,314.0","20,769.0","20,546.0","20,493.0","20,587.0","18,448.0","21,256.0","20,401.0","21,525.0","20,333.0","21,434.0","22,487.0","23,305.0","23,826.0","23,855.0","22,932.0","23,743.0","23,620.0","24,937.0","25,163.0","24,681.0","25,463.0","24,651.0","26,243.0","25,321.0","27,333.0","26,373.0","27,308.0"
"23","5","Households and institutions","A193RX1","145,715.0","143,180.0","138,475.0","132,861.0","131,252.0","132,272.0","133,216.0","134,634.0","136,235.0","136,394.0","139,257.0","143,824.0","148,692.0","156,516.0","159,968.0","167,568.0","173,004.0","174,119.0","184,198.0","195,613.0","207,794.0","224,329.0","239,497.0","254,752.0","270,646.0","287,326.0","311,105.0","330,720.0","348,806.0","369,415.0","391,140.0","418,377.0","436,611.0","461,250.0","480,591.0","501,358.0","527,004.0","552,398.0","576,485.0","605,036.0","632,319.0"
"24","6","  Households","B701RX1","83,071.0","80,582.0","77,100.0","73,453.0","72,907.0","74,074.0","74,559.0","75,147.0","76,250.0","75,960.0","77,630.0","79,543.0","82,274.0","87,761.0","89,971.0","94,517.0","98,463.0","97,366.0","102,867.0","107,179.0","114,266.0","124,690.0","134,548.0","144,231.0","153,756.0","163,923.0","178,563.0","190,494.0","201,311.0","212,929.0","225,865.0","239,998.0","251,651.0","266,040.0","277,236.0","288,918.0","302,837.0","316,017.0","329,484.0","338,402.0","352,995.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","59,901.0","62,406.0","63,131.0","62,244.0","60,457.0","59,269.0","59,808.0","60,996.0","61,162.0","62,243.0","63,348.0","67,140.0","69,306.0","69,836.0","70,654.0","73,312.0","73,444.0","78,163.0","82,998.0","92,733.0","97,585.0","102,401.0","106,202.0","110,553.0","116,302.0","121,957.0","129,712.0","136,450.0","143,075.0","152,097.0","160,204.0","174,535.0","179,808.0","189,597.0","197,471.0","206,542.0","218,619.0","231,552.0","242,161.0","265,985.0","279,021.0"
"26","8","General government \4\","A765RX1","177,896.0","186,551.0","189,951.0","187,508.0","198,019.0","223,091.0","238,271.0","277,885.0","265,819.0","286,526.0","292,158.0","308,698.0","393,778.0","615,199.0","1,023,624.0","1,230,567.0","1,240,187.0","672,068.0","526,467.0","507,372.0","509,230.0","518,931.0","631,761.0","687,388.0","699,708.0","700,168.0","703,012.0","717,431.0","735,890.0","746,387.0","759,230.0","788,188.0","819,944.0","855,813.0","883,923.0","916,794.0","949,480.0","1,010,816.0","1,067,693.0","1,111,416.0","1,141,889.0"
"27","9","  Federal","A766RX1","32,618.0","35,099.0","33,865.0","32,474.0","39,559.0","51,687.0","57,478.0","92,896.0","81,157.0","91,494.0","93,415.0","104,147.0","167,747.0","337,300.0","654,225.0","817,976.0","822,669.0","388,492.0","273,925.0","256,105.0","248,333.0","250,780.0","335,546.0","374,495.0","376,585.0","368,501.0","361,606.0","360,334.0","363,188.0","357,586.0","358,047.0","367,997.0","379,745.0","398,434.0","405,675.0","413,545.0","419,890.0","448,843.0","479,580.0","491,327.0","496,669.0"
"28","10","  State and local","A767RX1","159,699.0","166,178.0","171,920.0","171,166.0","172,472.0","182,954.0","191,862.0","181,697.0","187,187.0","194,896.0","198,521.0","200,973.0","202,661.0","199,945.0","195,065.0","190,571.0","194,518.0","204,743.0","217,691.0","223,278.0","238,108.0","246,328.0","252,765.0","261,094.0","272,481.0","284,563.0","297,748.0","316,427.0","333,819.0","354,322.0","368,895.0","388,454.0","408,550.0","423,489.0","445,590.0","472,355.0","501,138.0","530,933.0","553,304.0","586,512.0","613,347.0"
"29","11","Residual","A961RX1","64,500.0","33,300.0","22,900.0","-3,400.0","-10,800.0","-12,000.0","3,000.0","9,000.0","32,300.0","10,900.0","29,900.0","36,500.0","49,300.0","10,700.0","-126,900.0","-198,800.0","-210,400.0","-38,400.0","-15,200.0","8,100.0","-10,100.0","6,800.0","-27,000.0","-40,200.0","-34,700.0","-45,000.0","-30,600.0","-41,700.0","-55,800.0","-77,000.0","-67,900.0","-84,000.0","-97,000.0","-98,700.0","-101,300.0","-103,900.0","-98,800.0","-108,000.0","-123,300.0","-137,800.0","-146,600.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","88,619.0","88,394.0","88,191.0","87,898.0","85,321.0","87,561.0","87,383.0","86,910.0","88,150.0","91,602.0","92,821.0","95,169.0","99,632.0","107,121.0","113,416.0","118,313.0","120,653.0","122,697.0","128,529.0","135,141.0","144,144.0","154,124.0","165,656.0","178,454.0","189,282.0","201,512.0","213,093.0","224,630.0","238,759.0","252,552.0","271,090.0","288,609.0","305,499.0","324,952.0","341,320.0","357,405.0","376,968.0","394,970.0","414,480.0","429,680.0","450,410.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
