"","Table 7#21# Transactions of Private Defined Benefit Pension Plan","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"20","2","  Output \1\","Y257RC1","2,604.0","3,071.0","3,327.0","3,261.0","3,390.0","3,370.0","3,726.0","3,962.0","4,010.0","4,325.0","4,678.0","4,964.0","5,866.0","6,283.0","6,700.0","6,700.0","7,300.0","7,100.0","7,100.0","7,200.0","7,900.0","8,200.0","9,200.0","9,800.0","9,600.0","9,010.0","9,769.0","9,934.0","10,102.0"
"21","3","  Contributions","Y238RC1","78,157.0","76,608.0","82,144.0","89,923.0","93,112.0","98,527.0","108,572.0","105,455.0","115,740.0","111,842.0","113,360.0","108,362.0","109,824.0","106,202.0","108,366.0","107,817.0","116,335.0","136,779.0","147,353.0","128,755.0","131,892.0","132,426.0","132,649.0","147,465.0","196,381.0","182,179.0","173,387.0","168,603.0","167,201.0"
"22","4","    Claims to benefits accrued through service to employers","Y248RC1","29,712.0","30,368.0","31,019.0","32,599.0","33,602.0","40,329.0","41,149.0","42,117.0","52,411.0","53,667.0","54,486.0","53,778.0","55,620.0","57,756.0","62,477.0","65,547.0","65,800.0","69,800.0","71,787.0","74,000.0","75,616.0","76,097.0","77,870.0","81,397.0","80,040.0","78,683.0","79,423.0","76,598.0","76,389.0"
"23","5","      Actual employer contributions","W350RC1","42,740.0","38,002.0","29,984.0","26,919.0","23,330.0","22,322.0","20,941.0","27,190.0","32,110.0","37,067.0","43,083.0","44,151.0","33,412.0","27,295.0","33,464.0","28,581.0","32,446.0","47,537.0","83,541.0","117,156.0","92,811.0","89,768.0","88,409.0","67,107.0","104,012.0","112,080.0","127,443.0","132,907.0","147,966.0"
"24","6","      Imputed employer contributions","Y240RC1","-12,862.0","-6,582.0","2,887.0","7,723.0","12,682.0","20,545.0","23,242.0","18,091.0","23,506.0","20,030.0","15,441.0","13,793.0","27,281.0","36,105.0","35,031.0","42,964.0","40,013.0","28,719.0","-5,388.0","-36,802.0","-10,111.0","-6,285.0","-2,191.0","23,288.0","-15,326.0","-25,346.0","-39,011.0","-47,252.0","-62,444.0"
"25","7","      Actual household contributions","Y241RC1","2,438.0","2,019.0","1,475.0","1,218.0","980.0","832.0","692.0","798.0","805.0","895.0","640.0","798.0","793.0","639.0","682.0","702.0","641.0","644.0","734.0","846.0","816.0","814.0","852.0","802.0","954.0","959.0","760.0","877.0","969.0"
"26","8","      Less: Pension service charges \1\","Y257RC1","2,604.0","3,071.0","3,327.0","3,261.0","3,390.0","3,370.0","3,726.0","3,962.0","4,010.0","4,325.0","4,678.0","4,964.0","5,866.0","6,283.0","6,700.0","6,700.0","7,300.0","7,100.0","7,100.0","7,200.0","7,900.0","8,200.0","9,200.0","9,800.0","9,600.0","9,010.0","9,769.0","9,934.0","10,102.0"
"27","9","    Household pension contribution supplements \2\","Y242RC1","48,445.0","46,240.0","51,125.0","57,324.0","59,510.0","58,198.0","67,423.0","63,338.0","63,329.0","58,175.0","58,874.0","54,584.0","54,204.0","48,446.0","45,889.0","42,270.0","50,535.0","66,979.0","75,566.0","54,755.0","56,276.0","56,329.0","54,779.0","66,068.0","116,341.0","103,496.0","93,964.0","92,005.0","90,812.0"
"28","10","  Income receipts on assets (including plans' claims on employers)","Y242RC1","48,445.0","46,240.0","51,125.0","57,324.0","59,510.0","58,198.0","67,423.0","63,338.0","63,329.0","58,175.0","58,874.0","54,584.0","54,204.0","48,446.0","45,889.0","42,270.0","50,535.0","66,979.0","75,566.0","54,755.0","56,276.0","56,329.0","54,779.0","66,068.0","116,341.0","103,496.0","93,964.0","92,005.0","90,812.0"
"29","11","    Interest","Y243RC1","37,981.0","34,616.0","39,339.0","45,392.0","48,397.0","46,782.0","55,586.0","50,416.0","49,654.0","43,675.0","43,330.0","38,086.0","37,290.0","31,996.0","30,352.0","27,632.0","35,790.0","51,314.0","57,923.0","35,337.0","34,064.0","31,152.0","26,011.0","33,879.0","82,900.0","73,511.0","66,201.0","65,623.0","61,821.0"
"30","12","      Monetary interest","Y244RC1","30,009.0","34,609.0","36,067.0","36,168.0","34,996.0","38,346.0","41,318.0","42,455.0","40,816.0","38,043.0","38,846.0","41,302.0","44,246.0","45,644.0","44,962.0","46,769.0","44,969.0","41,820.0","35,015.0","31,151.0","29,944.0","30,652.0","33,021.0","37,556.0","41,390.0","44,704.0","42,069.0","41,278.0","39,634.0"
"31","13","      Imputed interest on plans' claims on employers \3\","Y245RC1","7,972.0","7.0","3,272.0","9,224.0","13,401.0","8,436.0","14,268.0","7,961.0","8,838.0","5,632.0","4,484.0","-3,216.0","-6,956.0","-13,648.0","-14,610.0","-19,137.0","-9,179.0","9,494.0","22,908.0","4,186.0","4,120.0","500.0","-7,010.0","-3,677.0","41,510.0","28,807.0","24,132.0","24,345.0","22,187.0"
"32","14","    Dividends","Y246RC1","10,464.0","11,624.0","11,786.0","11,932.0","11,113.0","11,416.0","11,837.0","12,922.0","13,675.0","14,500.0","15,544.0","16,498.0","16,914.0","16,450.0","15,537.0","14,638.0","14,745.0","15,665.0","17,643.0","19,418.0","22,212.0","25,177.0","28,768.0","32,189.0","33,441.0","29,985.0","27,763.0","26,382.0","28,991.0"
"33","15","Current expenditures, accrual basis","Y237RC1","129,206.0","125,919.0","136,596.0","150,508.0","156,012.0","160,095.0","179,721.0","172,755.0","183,079.0","174,342.0","176,912.0","167,910.0","169,894.0","160,931.0","160,955.0","156,787.0","174,170.0","210,858.0","230,019.0","190,710.0","196,068.0","196,955.0","196,628.0","223,333.0","322,322.0","294,685.0","277,120.0","270,542.0","268,115.0"
"34","16","  Administrative expenses","Y257RC1","2,604.0","3,071.0","3,327.0","3,261.0","3,390.0","3,370.0","3,726.0","3,962.0","4,010.0","4,325.0","4,678.0","4,964.0","5,866.0","6,283.0","6,700.0","6,700.0","7,300.0","7,100.0","7,100.0","7,200.0","7,900.0","8,200.0","9,200.0","9,800.0","9,600.0","9,010.0","9,769.0","9,934.0","10,102.0"
"35","17","  Imputed income payments on assets to persons","Y249RC1","48,444.0","46,240.0","51,125.0","57,325.0","59,510.0","58,198.0","67,422.0","63,338.0","63,329.0","58,175.0","58,874.0","54,584.0","54,204.0","48,446.0","45,889.0","42,270.0","50,534.0","66,978.0","75,566.0","54,755.0","56,276.0","56,329.0","54,779.0","66,068.0","116,341.0","103,496.0","93,963.0","92,004.0","90,812.0"
"36","18","    Interest","Y250RC1","37,980.0","34,616.0","39,339.0","45,393.0","48,397.0","46,782.0","55,585.0","50,416.0","49,654.0","43,675.0","43,330.0","38,086.0","37,290.0","31,996.0","30,352.0","27,632.0","35,789.0","51,313.0","57,923.0","35,337.0","34,064.0","31,152.0","26,011.0","33,879.0","82,900.0","73,511.0","66,200.0","65,622.0","61,821.0"
"37","19","    Dividends","Y251RC1","10,464.0","11,624.0","11,786.0","11,932.0","11,113.0","11,416.0","11,837.0","12,922.0","13,675.0","14,500.0","15,544.0","16,498.0","16,914.0","16,450.0","15,537.0","14,638.0","14,745.0","15,665.0","17,643.0","19,418.0","22,212.0","25,177.0","28,768.0","32,189.0","33,441.0","29,985.0","27,763.0","26,382.0","28,991.0"
"38","20","  Benefit payments and withdrawals","Y256RC1","46,513.0","54,466.0","67,974.0","66,241.0","60,450.0","66,707.0","66,363.0","71,503.0","77,853.0","79,093.0","82,625.0","85,134.0","96,914.0","97,213.0","111,249.0","119,375.0","127,510.0","129,417.0","135,824.0","134,945.0","140,440.0","136,555.0","150,619.0","158,741.0","166,021.0","167,788.0","169,645.0","173,437.0","178,427.0"
"39","21","  Net change in benefit entitlements \4\","Y252RC1","31,644.0","22,142.0","14,170.0","23,682.0","32,662.0","31,820.0","42,209.0","33,952.0","37,887.0","32,749.0","30,735.0","23,228.0","12,910.0","8,989.0","-2,883.0","-11,558.0","-11,175.0","7,362.0","11,529.0","-6,190.0","-8,548.0","-4,129.0","-17,970.0","-11,276.0","30,360.0","14,391.0","3,742.0","-4,834.0","-11,226.0"
"40","22","Cash flow","Y253RC1","36,534.0","28,717.0","8,011.0","6,735.0","6,579.0","2,839.0","4,699.0","7,900.0","5,543.0","7,087.0","10,810.0","12,651.0","-7,415.0","-13,468.0","-23,304.0","-35,385.0","-42,009.0","-30,851.0","-5,991.0","26,426.0","-2,557.0","1,656.0","-8,769.0","-30,887.0","4,176.0","10,930.0","18,621.0","18,073.0","29,031.0"
"41","23","  Actual employer and household contributions (5+7)","Y254RC1","45,178.0","40,021.0","31,459.0","28,137.0","24,310.0","23,154.0","21,633.0","27,988.0","32,915.0","37,962.0","43,723.0","44,949.0","34,205.0","27,934.0","34,146.0","29,283.0","33,087.0","48,181.0","84,275.0","118,002.0","93,627.0","90,582.0","89,261.0","67,909.0","104,966.0","113,039.0","128,203.0","133,784.0","148,935.0"
"42","24","  Monetary income receipts on assets (12+14)","Y255RC1","40,473.0","46,233.0","47,853.0","48,100.0","46,109.0","49,762.0","53,155.0","55,377.0","54,491.0","52,543.0","54,390.0","57,800.0","61,160.0","62,094.0","60,499.0","61,407.0","59,714.0","57,485.0","52,658.0","50,569.0","52,156.0","55,829.0","61,789.0","69,745.0","74,831.0","74,689.0","69,832.0","67,660.0","68,625.0"
"43","25","  Less: Benefit payments and withdrawals","Y256RC1","46,513.0","54,466.0","67,974.0","66,241.0","60,450.0","66,707.0","66,363.0","71,503.0","77,853.0","79,093.0","82,625.0","85,134.0","96,914.0","97,213.0","111,249.0","119,375.0","127,510.0","129,417.0","135,824.0","134,945.0","140,440.0","136,555.0","150,619.0","158,741.0","166,021.0","167,788.0","169,645.0","173,437.0","178,427.0"
"44","26","  Less: Administrative expenses","Y257RC1","2,604.0","3,071.0","3,327.0","3,261.0","3,390.0","3,370.0","3,726.0","3,962.0","4,010.0","4,325.0","4,678.0","4,964.0","5,866.0","6,283.0","6,700.0","6,700.0","7,300.0","7,100.0","7,100.0","7,200.0","7,900.0","8,200.0","9,200.0","9,800.0","9,600.0","9,010.0","9,769.0","9,934.0","10,102.0"
"45",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Effect on personal income (1-7-9 or 15-7-9)","Y258RC1","78,323.0","77,660.0","83,996.0","91,966.0","95,522.0","101,065.0","111,606.0","108,619.0","118,945.0","115,272.0","117,398.0","112,528.0","114,897.0","111,846.0","114,384.0","113,815.0","122,994.0","143,235.0","153,719.0","135,109.0","138,976.0","139,812.0","140,997.0","156,463.0","205,027.0","190,230.0","182,396.0","177,660.0","176,334.0"
"47","28","  Less: Effect on personal consumption expenditures (2)","Y257RC1","2,604.0","3,071.0","3,327.0","3,261.0","3,390.0","3,370.0","3,726.0","3,962.0","4,010.0","4,325.0","4,678.0","4,964.0","5,866.0","6,283.0","6,700.0","6,700.0","7,300.0","7,100.0","7,100.0","7,200.0","7,900.0","8,200.0","9,200.0","9,800.0","9,600.0","9,010.0","9,769.0","9,934.0","10,102.0"
"48","29","  Equals: Effect on personal saving","Y260RC1","75,719.0","74,589.0","80,669.0","88,705.0","92,132.0","97,695.0","107,880.0","104,657.0","114,935.0","110,947.0","112,720.0","107,564.0","109,031.0","105,563.0","107,684.0","107,115.0","115,694.0","136,135.0","146,619.0","127,909.0","131,076.0","131,612.0","131,797.0","146,663.0","195,427.0","181,220.0","172,627.0","167,726.0","166,232.0"
"49","30","  Plus: Implied funding of benefits from holding gains on assets","Y261RC1","8,048.0","17,375.0","17,427.0","16,164.0","18,915.0","14,743.0","9,838.0","18,242.0","10,303.0","19,163.0","22,170.0","30,166.0","34,252.0","43,716.0","53,963.0","63,069.0","59,026.0","51,127.0","45,700.0","69,101.0","65,115.0","69,642.0","77,333.0","73,035.0","27,111.0","42,952.0","49,648.0","55,650.0","61,905.0"
"50","31","    Interest accrued on benefit entitlements","Y262RC1","56,493.0","63,615.0","68,552.0","73,488.0","78,425.0","72,941.0","77,261.0","81,580.0","73,632.0","77,338.0","81,044.0","84,750.0","88,456.0","92,162.0","99,852.0","105,339.0","109,561.0","118,106.0","121,266.0","123,856.0","121,391.0","125,971.0","132,112.0","139,103.0","143,452.0","146,448.0","143,612.0","147,655.0","152,717.0"
"51","32","    Less: Interest and dividend income received by plans (10)","Y242RC1","48,445.0","46,240.0","51,125.0","57,324.0","59,510.0","58,198.0","67,423.0","63,338.0","63,329.0","58,175.0","58,874.0","54,584.0","54,204.0","48,446.0","45,889.0","42,270.0","50,535.0","66,979.0","75,566.0","54,755.0","56,276.0","56,329.0","54,779.0","66,068.0","116,341.0","103,496.0","93,964.0","92,005.0","90,812.0"
"52","33","  Equals: Change in personal wealth \5\","Y264RC1","83,767.0","91,964.0","98,096.0","104,869.0","111,047.0","112,438.0","117,718.0","122,899.0","125,238.0","130,110.0","134,890.0","137,730.0","143,283.0","149,279.0","161,647.0","170,184.0","174,720.0","187,262.0","192,319.0","197,010.0","196,191.0","201,254.0","209,130.0","219,698.0","222,538.0","224,172.0","222,275.0","223,376.0","228,137.0"
"53","34","  Less: Benefit payments and withdrawals (20)","Y256RC1","46,513.0","54,466.0","67,974.0","66,241.0","60,450.0","66,707.0","66,363.0","71,503.0","77,853.0","79,093.0","82,625.0","85,134.0","96,914.0","97,213.0","111,249.0","119,375.0","127,510.0","129,417.0","135,824.0","134,945.0","140,440.0","136,555.0","150,619.0","158,741.0","166,021.0","167,788.0","169,645.0","173,437.0","178,427.0"
"54","35","  Plus: Household actual contributions (7)","Y241RC1","2,438.0","2,019.0","1,475.0","1,218.0","980.0","832.0","692.0","798.0","805.0","895.0","640.0","798.0","793.0","639.0","682.0","702.0","641.0","644.0","734.0","846.0","816.0","814.0","852.0","802.0","954.0","959.0","760.0","877.0","969.0"
"55","36","  Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \5\","Y267RC1","39,692.0","39,517.0","31,597.0","39,846.0","51,577.0","46,563.0","52,047.0","52,194.0","48,190.0","51,912.0","52,905.0","53,394.0","47,162.0","52,705.0","51,080.0","51,511.0","47,851.0","58,489.0","57,229.0","62,911.0","56,567.0","65,513.0","59,363.0","61,759.0","57,471.0","57,343.0","53,390.0","50,816.0","50,679.0"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Included in personal consumption expenditures as part of financial services furnished without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","payment; the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Plans' claims on employers is the difference between actuarial liabilities and financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","assets held by plans.  When actuarial liabilities exceed plan assets, imputed interest is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","positive; when plan assets exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","change in the estimated value of benefit entitlements that come from differences between actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","experience and previous actuarial assumptions, changes in actuarial assumptions, and changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Excludes effects on change in the estimated value of benefit entitlements that come from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","differences between actual experience and previous actuarial assumptions, changes in actuarial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","assets on behalf of households, which are the effective owners.  Pension plans are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","financial corporations that receive contributions and property income on behalf of plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","participants but do not have saving or net worth of their own.  Tables 7.20, 7.21, 7.22, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","7.23 show the transactions of the private and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
