"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"17","10","    Farm","B042RC1",5.7,3.9,3,1.8,2.2,2.6,4.9,3.9,5.6,4,4,4.1,6,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,39.4,48.7
"18","11","    Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.5,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.5,20.1,22.5,22.6,24.6,27.3,28.8,29.8,30.5,33.5,35.3,37.3,37.8,40.3,40.1,42,44.1,45.5,49.6,51.9,55.2,58.2,62.5,64.7,65.6,71.3,79,84.6,90,97.6,115,130.1,147.6,159,161.8,162.6,161.5,184.5,212.1,225.1,239.7,265.3,308,318.6,333,339.8,379.1,417.6,449.5,492.6,545.2,595.6,658.7,718.3,787.8,840.2,871.8,894.1,984.1,1025.9,1103.6,1056.9,1057.5
"19","12","  Rental income of persons with capital consumption adjustment","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"20","13","  Personal income receipts on assets","W210RC1",12.5,11.7,10.3,8.4,7.4,8,8.3,9.8,10,8.4,9.1,9.3,9.8,9.5,9.7,9.9,10.6,12.3,13.9,15.1,16,18.6,19.1,19.9,21.6,23.2,25.7,28.2,30.6,31.9,34.6,37.9,40.1,44.1,47.9,53.8,59.4,64.1,69,75.2,84.1,93.5,101,109.6,124.7,146.4,162.2,178.4,205.3,234.8,274.7,338.7,421.9,488.4,529.6,607.9,653.2,694.5,715.8,767,874.8,920.8,928.6,909.7,900.5,947.7,1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6,1312.9,1408.5,1542,1829.7,2031.5,1994.4
"21","14","    Personal interest income","A064RC1",6.7,6.3,6.2,5.8,5.4,5.5,5.4,5.2,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.3,6,6.7,7.6,8.1,8.8,9.7,10.5,11.3,12.7,14,15.2,16.9,18.9,20.3,22,24.5,26.2,29.1,31.7,35.6,39.2,43.4,47.5,51.6,59.9,69.2,75.9,82.8,94.8,113.2,129.3,139.5,160.6,184,217.3,274.7,348.3,410.8,446.3,517.2,555.8,588.4,603.6,637.3,717,751.9,748.2,722.2,698.1,712.7,751.9,784.4,835.8,919.3,910.9,984.2,976.5,911.9,889.8,860.2,987,1127.5,1266.4,1308
"22","15","    Personal dividend income","B703RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.3,187.6,202.3,235,253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7,423.1,548.3,555,702.2,765.1,686.4
"23","16","  Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718,1875.9
"24","17","    Government social benefits to persons","A063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.8,53.3,59,71.7,85.4,94.8,108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,475.9,519.4,572.7,648.2,729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1247.9,1316,1398.6,1482.7,1583.6,1687.8,1843.2
"25","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1,1.9,2.2,3,3.6,4.9,5.7,7.3,8.5,10.2,11.1,12.6,14.3,15.2,16,18.1,20.8,25.8,30.5,33.1,38.6,44.7,49.8,60.9,70.3,81.5,93.3,105.3,116.9,132.5,154.8,182.1,204.6,222.2,237.8,253,268.9,282.6,300.2,325.6,351.8,381.7,414.4,444.7,476.6,508.9,536.9,563.5,574.7,588.6,620.5,667.7,706.1,740.4,790.2,844.7,943.3,1003.7,1070.3
"26","19","      Government unemployment insurance benefits","B223RC1",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.4,1.1,0.8,0.9,1.9,1.5,0.9,1.1,1,2.2,1.5,1.5,1.9,4.1,2.8,3,4.3,3.1,3,2.7,2.3,1.9,2.2,2.1,2.2,4,5.8,5.7,4.4,6.8,17.6,15.8,12.7,9.1,9.4,15.7,15.6,25.1,26.2,15.9,15.7,16.3,14.5,13.2,14.3,18,26.6,38.9,34.1,23.5,21.4,22,19.9,19.5,20.3,20.6,31.7,53.2,52.8,36,31.3,29.9,32.3,50.6
"27","20","      Veterans benefits","B224RC1",0.6,0.6,1.6,0.8,0.6,0.4,0.5,1.9,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1,3,7,7,5.9,5.3,7.7,4.6,4.3,4.1,4.2,4.4,4.4,4.5,4.7,4.6,4.6,5,4.7,4.8,4.7,4.9,4.9,5.6,5.9,6.7,7.7,8.8,9.7,10.4,11.8,14.5,14.4,13.8,13.9,14.4,15,16.1,16.4,16.6,16.4,16.7,16.7,16.6,16.9,17.3,17.8,18.3,19.3,20,20.1,20.9,21.7,22.6,23.5,24.3,25.2,26.8,29.8,32.2,34.5,36.8,39.3,42.1,45.6
"28","21","      Family assistance \1\","B226RC1",NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,1.9,2.3,2.8,3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.9,17.4,17.9,18.4,18.1,17.7,18.4,18.4,18.2,18.2,18.5,18.9
"29","22","      Other","B227RC1",0.2,0.3,0.3,0.5,0.6,0.8,1,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.6,1.9,2.2,2.6,2.7,2.6,2.9,3,3.2,3.3,3.4,3.7,4.1,4.5,4.7,5.1,5.5,5.9,6.4,7,8.1,9.9,11.9,13.4,16.6,20,22.7,25.7,31.7,40.2,43.7,46.7,52.5,59.6,72.8,80.2,83.4,91,95.9,102,109.9,117.3,128.7,144.8,165.9,200.5,234.6,255,269.7,286.4,300.3,306,316.8,336.4,355.9,397.1,441.1,472.3,519.6,551.7,552.9,591.2,657.9
"30","23","    Other current transfer receipts, from business (net)","B931RC1",0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,25.7,16.9,25.8,21.4,30.2,32.6
"31","24","  Less: Contributions for government social insurance, domestic","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.3,990.6
"32","25","Less: Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1490.9,1432.4
"33","26","Equals: Disposable personal income","A067RC1",83.2,74.6,64.2,49.1,46,52.8,59.3,67.3,72.2,66.5,71.4,76.8,93.7,118.5,135.4,148.3,152.2,161.4,171.1,190.5,190.2,209.9,230.8,243.2,258.4,264.1,283.1,302.9,319.7,330.4,350.1,365.2,381.6,404.9,425,462.3,497.8,537.4,575.1,624.7,673.8,735.5,801.4,869,978.1,1071.7,1187.3,1302.3,1435,1607.3,1790.9,2002.7,2237.1,2412.7,2599.8,2891.5,3079.3,3258.8,3435.3,3726.3,3991.4,4254,4444.9,4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10403.1,10806.4
"34","27","Less: Personal outlays","A068RC1",79.6,71.6,61.8,49.7,46.8,52.3,56.7,63.1,67.9,65.2,68.2,72.4,82.3,90,100.8,109.7,121.2,145.9,163.8,177.3,180.9,195,211.5,222.9,237.1,244.3,263.6,277.2,292.8,302.2,324,338.9,349.7,371.4,391.8,421.7,455.1,493.1,520.9,572.2,621.4,666.1,721,791.5,875.2,957.5,1061.3,1179.6,1309.7,1465,1633.4,1806.4,2000.4,2148.8,2372.9,2595.2,2825.7,3012.4,3211.9,3469.7,3726.4,3977.3,4131.7,4388.7,4636.2,4913.6,5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5,8088,8585.7,9149.6,9680.7,10224.3,10520
"35","28","  Personal consumption expenditures","DPCERC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.7,331.8,342.2,363.3,382.7,411.5,443.8,480.9,507.8,558,605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9826.4,10129.9
"36","29","  Personal interest payments \2\","B069RC1",1.5,0.9,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.7,0.4,0.4,0.4,0.7,0.9,1.3,1.6,2,2.2,2.6,3.2,3.4,4,4.6,4.9,5,5.5,6.2,6.5,7,7.9,8.9,9.9,10.7,11.1,12.2,14,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27,31.9,36.2,43.6,49.3,59.5,69.2,77,89.4,94.5,91.7,94,103.9,111.3,115,111.3,107,113,130.6,147.3,159.7,169.5,176.5,200.3,203.7,191.3,182.7,190.3,210.8,230.1,256.8,237.7
"37","30","  Personal current transfer payments","W211RC1",0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7,0.9,0.9,1,0.8,0.8,0.7,0.8,0.9,0.9,0.9,1,1.1,1,0.8,0.8,1,1.1,1.2,1.3,1.4,1.6,2,2,2.2,2.6,2.8,3.2,3.4,3.4,3.8,4.4,4.8,5.4,6,6.9,11.5,13.8,15.1,17.1,18.8,21.1,23.2,25.6,28,30.6,36.7,40.5,45.6,49.8,52.9,57.6,63.9,69.5,76.2,83.4,91,97,101.3,110.3,119.8,128,141,152.3
"38","31","    To government","W062RC1",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.2,66.7,71.4,76.4,82.3,87.9
"39","32","    To the rest of the world (net)","B070RC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2,5.6,6.7,7,7.9,8.3,9.1,10,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,58.7,64.5
"40","33","Equals: Personal saving","A071RC1",3.6,2.9,2.4,-0.5,-0.8,0.5,2.5,4.2,4.3,1.3,3.2,4.3,11.4,28.6,34.6,38.6,31,15.5,7.3,13.2,9.4,14.9,19.3,20.3,21.3,19.8,19.5,25.6,26.9,28.2,26.1,26.3,31.9,33.5,33.1,40.5,42.7,44.3,54.2,52.5,52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,178.9,286.4
"41","34","  Personal saving as a percentage of disposable personal income","A072RC1",4.3,4,3.7,-1.1,-1.7,0.9,4.2,6.2,5.9,1.9,4.4,5.7,12.2,24.1,25.5,26,20.4,9.6,4.2,6.9,4.9,7.1,8.4,8.4,8.2,7.5,6.9,8.5,8.4,8.5,7.5,7.2,8.4,8.3,7.8,8.8,8.6,8.2,9.4,8.4,7.8,9.4,10,8.9,10.5,10.7,10.6,9.4,8.7,8.9,8.8,9.8,10.6,10.9,8.7,10.2,8.2,7.6,6.5,6.9,6.6,6.5,7,7.3,5.8,5.2,5.2,4.9,4.6,5.3,3.1,2.9,2.7,3.5,3.5,3.4,1.4,2.4,1.7,2.7
