"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Garments","DGARRG3",29.005,27.757,24.331,19.888,20.545,24.193,23.796,23.785,25.054,24.35,23.732,23.989,26.544,31.986,36.155,41.58,45.667,49.253,52.345,55.372,52.702,52.031,56.183,55.309,55.232,55.142,54.834,55.555,56.228,56.353,56.449,56.97,57.252,57.293,57.783,58.387,58.793,60.063,62.439,66.011,69.475,71.842,74.438,75.627,78.004,84.046,87.868,90.57,94.392,95.915,96.769,99.544,102.464,103.81,105.491,106.002,108.592,108.194,111.455,114.801,116.057,120.062,122.305,122.846,122.005,119.755,116.589,115.044,115.244,113.012,111.834,110.557,108.034,104.85,102.029,101.646,100,99.352,98.472,97.196
"17","10","        Women's and girls' clothing","DWGCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.08,66.375,66.492,66.389,66.814,67.375,67.648,68.941,71.879,76.022,79.506,81.93,85.331,86.81,89.262,95.349,99.015,101.621,105.288,106.886,107.252,109.021,110.505,110.568,111.715,111.656,114.307,112.907,117.111,120.375,120.592,125.421,127.155,127.579,126.639,123.959,119.384,116.458,116.319,113.29,111.275,109.707,107.652,104.528,102.049,101.949,100,99.937,99.563,97.041
"18","11","        Men's and boys' clothing","DMBCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.084,47.922,48.497,48.761,49.379,50.086,50.689,52.029,53.897,56.981,60.647,63.124,64.918,65.763,68.152,73.489,76.69,79.409,83.089,84.359,85.724,89.289,93.494,96.316,98.316,99.525,101.779,102.218,104.513,107.941,110.654,113.184,116.213,116.941,116.519,114.768,113.317,113.38,114.304,113.284,112.893,111.733,108.277,104.875,101.628,101.171,100,98.337,96.833,97.409
"19","12","        Children's and infants' clothing","DCICRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.806,33.677,32.481,31.841,31.831,31.943,32.106,32.36,32.713,34.111,35.204,35.874,36.65,37.698,38.952,49.183,59.088,62.277,68.295,70.928,72.343,78.262,85.087,88.18,92.569,93.945,98.106,102.369,102.367,106.08,108.206,113.931,115.972,116.426,113.504,112.224,111.423,112.857,111.013,108.155,110.49,111.747,110.613,108.291,104.587,101.537,100,99.851,97.663,97.503
"20","13","      Other clothing materials","DOCMRG3",31.102,29.714,26.029,21.286,22.497,26.768,26.195,26.179,27.571,26.8,25.961,26.325,29.056,34.361,35.814,37.716,39.63,43.164,47,49.587,46.721,46.337,50.16,48.54,48.403,48.313,48.088,48.584,49.029,49.141,49.249,49.531,49.707,49.646,50.002,50.308,50.714,51.67,53.765,56.672,59.592,61.897,63.928,65.431,67.654,71.836,73.581,75.787,78.212,78.002,80.692,86.603,92.067,95.143,96.617,97.219,98.469,100.383,100.207,105.891,107.343,112.824,113.838,114.983,114.323,113.534,118.313,118.916,112.162,106.666,103.898,103.809,103.703,103.241,101.216,101.719,100,99.217,95.766,96.127
"21","14","      Cleaning, repair, and rental of clothing","DCRCRG3",7.351,7.3,7.188,6.961,6.696,6.641,6.543,6.415,6.59,6.68,6.649,6.616,6.754,7.284,7.611,8.033,8.143,8.552,9.346,9.824,10.109,10.305,11.032,11.196,11.522,11.592,11.766,12.233,12.724,12.984,13.055,13.598,13.742,13.96,14.224,14.418,14.732,15.346,16.058,16.663,17.428,18.266,18.878,19.189,20.037,22.306,24.268,26.034,27.796,30.75,34.691,39.436,43.965,47.25,49.687,52.276,54.688,56.786,59.227,61.749,64.94,67.87,70.665,72.322,74.307,76.27,77.344,78.638,80.594,81.728,83.62,85.734,89.28,91.696,93.793,96.714,100,103.632,107.268,113.006
"22","15","        Laundry and dry cleaning services","DDRYRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.144,13.845,14.045,14.333,14.728,14.987,15.292,15.907,16.597,17.2,17.989,18.739,19.355,19.549,20.198,22.582,24.983,26.646,28.325,31.302,35.275,40.115,44.696,48.048,50.539,53.158,55.615,57.757,60.237,62.792,66.05,69.022,71.909,73.585,75.585,77.585,78.675,79.993,81.982,83.323,85.362,87.076,90.221,92.99,95.096,97.765,100,103.027,106.295,110.967
"23","16","        Clothing repair, rental, and alterations","DLGRRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.858,13.214,13.292,13.434,13.557,13.68,14.003,14.617,15.364,15.977,16.712,17.68,18.289,18.76,19.854,21.999,23.521,25.378,27.214,30.138,34.041,38.681,43.15,46.361,48.741,51.294,53.656,55.709,58.105,60.588,63.71,66.589,69.305,70.936,72.903,74.826,75.881,77.149,79.069,79.988,81.725,84.257,88.218,90.261,92.348,95.534,100,104.343,108.42,115.436
"24","17","    Footwear \2\","DFTWRG3",18.208,17.221,14.912,12.574,12.111,13.106,12.82,12.919,13.542,13.439,13.27,13.433,14.217,16.627,18.356,19.818,20.861,22.915,26.582,28.696,28.361,28.766,32.26,31.697,31.53,32.291,32.695,34.321,35.361,35.884,37.36,38.608,39.002,39.553,39.972,40.191,40.893,43.267,45.396,47.8,50.728,53.33,55.101,56.609,58.945,62.604,65.56,68.21,71.459,74.239,79.742,85.546,89.672,91.53,91.713,92.42,93.149,92.339,94.759,98.589,102.002,104.155,106.49,108.961,109.304,108.332,106.865,106.09,105.963,104.96,102.303,100.781,100.165,98.906,97.45,97.236,100,100.767,99.883,101.383
"25","18","  Housing, utilities, and fuels","DHUFRG3",11.928,11.621,11.01,9.976,9.12,8.559,8.56,8.702,9.001,9.199,9.165,9.217,9.379,9.639,9.753,9.861,9.954,10.17,10.621,11.344,11.637,11.986,12.45,12.899,13.466,13.805,14.013,14.246,14.54,14.779,15.016,15.264,15.49,15.648,15.822,15.938,16.086,16.319,16.611,16.999,17.535,18.295,19.24,19.947,20.918,22.48,24.255,26.011,28.368,30.353,33.183,37.086,41.356,44.982,47.665,50.049,52.553,54.685,56.64,58.84,61.231,64.054,66.087,67.856,69.78,71.535,73.432,75.709,77.745,79.442,81.326,84.426,88.273,90.693,93.709,96.341,100,104.405,108.218,112.534
"26","19","    Housing","DHSGRG3",13.121,12.748,12.023,10.765,9.661,8.81,8.851,9.051,9.474,9.773,9.767,9.799,9.966,10.22,10.285,10.374,10.499,10.743,11.15,11.837,12.229,12.647,13.201,13.764,14.467,14.906,15.122,15.38,15.668,15.982,16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162,19.981,20.909,21.663,22.584,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.909,43.193,45.79,48.175,51.051,54.074,56.532,59.069,61.522,64.414,66.449,68.268,70.129,72.101,74.328,76.58,78.728,81.221,83.472,86.06,89.456,93.043,95.383,97.607,100,103.599,107.438,110.443
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.957,111.841
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.668
"29","22","      Rental value of farm dwellings","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,125.862,133.103
"30","23","      Group housing","DGRHRG3",10.579,10.371,9.816,8.962,8.049,7.584,7.578,7.726,8.095,8.31,8.386,8.282,8.408,8.874,9.246,9.384,9.502,9.717,10.23,10.838,11.307,11.679,12.448,12.989,13.576,14,14.373,14.818,15.379,15.795,16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.615,17.888,18.184,18.924,19.655,20.509,21.194,22.061,23.179,24.722,26.289,28.408,30.466,32.828,35.87,39.166,42.324,44.959,47.514,50.615,53.795,56.25,58.542,60.898,63.511,65.865,67.631,69.304,70.955,72.714,74.634,76.808,79.245,81.66,84.625,88.365,91.861,94.563,97.083,100,103.584,107.998,111.945
"31","24","    Household utilities and fuels","DUTFRG3",8.533,8.395,8.087,7.64,7.416,7.573,7.48,7.482,7.492,7.453,7.358,7.451,7.592,7.852,8.063,8.209,8.228,8.372,8.893,9.651,9.706,9.881,10.116,10.28,10.497,10.582,10.758,10.923,11.217,11.27,11.415,11.63,11.84,11.876,11.955,11.923,12.004,12.151,12.31,12.541,12.865,13.453,14.433,15.003,16.099,19.716,22.272,24.402,27.111,29.127,33.363,40.054,46.336,51.174,54.152,56.514,57.613,56.363,56.381,57.281,59.408,61.935,63.935,65.485,67.641,68.51,69.037,71.39,72.939,71.238,71.523,76.856,82.733,79.805,85.871,90.361,100,108.398,112.074,123.112
"32","25","      Water supply and sanitation","DWRSRG3",4.059,4.059,4.059,3.926,3.573,3.617,3.794,3.794,3.794,3.794,3.75,3.838,3.794,3.838,3.838,3.927,4.015,4.103,4.28,4.412,4.456,4.72,4.897,5.338,5.647,5.956,6.529,6.706,7.235,7.676,7.988,8.241,8.458,8.675,8.94,9.073,9.296,9.64,9.863,10.334,11.032,11.907,13.173,13.661,14.396,15.271,16.753,18.629,20.646,23.044,24.128,25.789,28.905,32.38,35.114,37.48,39.788,42.097,44.589,47.232,50.267,53.815,57.963,62.096,65.524,68.748,70.966,73.504,75.318,77.756,79.478,81.429,83.779,86.48,89.661,95.006,100,104.934,110.244,116.733
"33","26","      Electricity, gas, and other fuels","DEGFRG3",9.574,9.403,9.019,8.497,8.312,8.497,8.328,8.332,8.345,8.295,8.189,8.281,8.468,8.78,9.043,9.201,9.203,9.36,9.96,10.859,10.917,11.073,11.323,11.433,11.633,11.676,11.782,11.949,12.211,12.203,12.328,12.542,12.757,12.762,12.809,12.745,12.802,12.916,13.069,13.264,13.529,14.078,15.028,15.627,16.821,21.087,23.926,26.159,29.072,31.069,36.035,43.94,51.044,56.266,59.342,61.728,62.525,60.316,59.641,60.056,61.93,64.16,65.547,66.385,68.192,68.407,68.451,70.751,72.22,69.27,69.118,75.485,82.453,77.78,84.731,88.962,100,109.476,112.628,125.134
"34","27","        Electricity","DELCRG3",24.894,24.106,23.184,22.487,22.229,21.61,20.964,20.287,19.86,19.561,19.241,19.033,18.915,18.798,18.771,18.729,18.633,17.899,17.684,17.849,18.013,18.037,18.205,18.369,18.603,18.698,18.933,18.981,19.076,19.316,19.572,19.862,19.936,19.936,19.862,19.795,19.721,19.721,19.862,20.011,20.449,21.111,22.507,23.607,25.071,29.619,33.431,35.63,37.995,40.372,43.449,50.33,57.864,63.6,65.682,69.878,72.383,73.326,73.108,74.108,76.186,77.958,80.865,82.435,84.051,84.083,85.979,87.405,87.872,84.474,83.813,85.169,91.206,90.321,92.456,94.171,100,112.053,116.458,123.909
"35","28","        Natural gas","DGHERG3",7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,8.202,8.333,8.333,8.332,8.379,8.379,8.421,8.421,8.51,8.646,9.132,9.796,10.282,10.774,12.101,14.495,16.978,20.158,21.983,25.5,30.488,34.748,41.49,48.605,48.924,48.61,46.257,44.163,43.888,45.091,45.131,45.697,46.54,49.392,50.316,47.665,49.604,53.051,52.06,52.435,61.879,73.711,62.845,77.129,83.633,100,102.459,101.417,115.174
"36","29","        Fuel oil and other fuels","DFULRG3",3.513,3.448,3.248,2.93,2.82,2.991,2.924,2.978,3.021,3.012,2.965,3.052,3.199,3.442,3.642,3.767,3.779,3.987,4.496,5.227,5.252,5.398,5.616,5.696,5.865,5.89,5.953,6.154,6.477,6.383,6.473,6.378,6.614,6.622,6.747,6.624,6.769,6.947,7.163,7.391,7.547,7.838,8.336,8.388,9.614,15.278,16.578,17.782,20.121,21.275,29.331,41.187,50.389,49.415,45.558,46.572,44.756,35.044,35.954,35.938,38.077,45.856,43.658,41.881,41.592,40.836,40.455,45.851,45.926,40.699,41.395,60.692,59.506,53.051,64.182,74.736,100,114.09,121.874,166.173
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",16.651,15.836,13.951,12.046,11.891,12.621,12.74,12.895,13.748,13.312,13.252,13.442,14.477,16.856,19.589,22.554,24.585,25.369,27.983,29.117,28.011,28.326,30.99,30.696,30.946,31.003,30.903,31.243,31.925,32.166,32.923,33.486,33.616,33.712,33.857,34.038,34.161,34.717,35.61,37.154,38.543,39.852,40.99,41.788,42.991,47.454,53.194,56.256,59.121,62.388,66.655,72.307,77.922,82.339,84.655,86.135,87.781,89.032,90.749,92.476,93.847,95.365,96.874,98.061,98.714,99.889,100.735,101.612,101.881,102.362,102.254,103.04,103.066,102.121,99.866,99.238,100,100.427,100.081,100.725
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRG3",18.289,17.65,15.492,13.073,13.515,14.76,14.591,14.936,16.358,15.887,15.791,16.249,17.746,20.464,23.648,27.489,30.247,30.263,32.005,33.412,32.585,33.607,37.763,37.214,37.265,37.245,37.205,37.933,38.87,38.952,40.376,40.753,41.08,41.228,41.32,41.536,41.577,42.367,43.785,45.517,47.397,48.489,49.392,50.06,51.609,55.683,60.049,62.112,64.2,67.401,71.583,78.023,83.705,87.55,89.628,91.401,93.679,95.345,97.004,99.055,99.719,101.185,101.908,103.931,105.183,107.075,107.867,108.86,108.917,109.25,108.548,107.78,106.347,104.354,101.87,100.781,100,99.336,97.495,95.886
"39","32","    Household textiles","DTEXRG3",26.078,23.994,19.871,16.417,17.395,19.598,19.607,19.514,20.333,18.605,17.854,18.443,21.129,27.287,31.518,35.817,38.722,40.912,50.133,51.648,45.254,45.807,49.987,46.038,45.436,44.293,44.106,44.565,44.889,44.874,45.103,46.552,47.413,47.287,47.453,47.499,47.797,48.463,49.774,51.58,53.185,54.186,55.215,56.356,57.531,65.818,70.78,73.687,78.381,82.279,88.051,95.502,102.239,110.662,116.157,120.383,122.705,124.35,127.863,131.597,132.173,133.225,133.288,134.28,134.218,134.211,132.351,129.546,126.603,123.336,122.166,120.315,116.089,112.944,106.305,102.397,100,95.355,90.531,87.108
"40","33","    Household appliances \6\","DHAPRG3",53.519,51.145,47.315,41.31,39.095,39.505,38.953,39.486,40.915,41.018,40.496,39.132,41.146,47.207,52.217,55.68,58.424,58.572,64.447,68.091,66.221,65.461,70.133,70.21,69.808,68.836,66.712,63.79,62.99,61.578,61.558,60.847,59.739,58.459,57.419,56.871,55.712,55.005,55.235,56.541,58.004,59.608,61.027,61.425,61.598,64.887,72.092,76.142,78.945,82.967,87.537,92.035,97.504,103.578,106.723,107.232,105.241,104.911,105.807,106.171,106.211,105.725,104.811,104.409,104.946,106.287,105.676,105.896,105.711,104.78,103.233,102.697,102.683,102.122,99.631,97.012,100,102.719,106.167,107.733
"41","34","    Glassware, tableware, and household utensils \7\","DUTERG3",13.605,13.204,11.971,11.165,10.915,12.095,13.172,12.405,12.6,12.596,12.602,12.608,12.897,14.528,16.344,18.432,19.165,19.034,19.505,19.851,20.531,21.274,23.294,23.852,24.459,24.794,25.266,27.354,28.831,29.654,29.646,30.577,30.956,31.754,32.816,33.421,33.408,34.117,35.114,37.844,39.42,40.661,41.861,43.716,46.206,52.197,61.091,64.97,67.696,72.585,78.563,86.734,95.417,99.412,101.277,101.484,101.905,104.656,107.219,108.031,109.662,111.822,114.405,116.682,116.047,117.588,115.275,113.928,113.193,115.681,113.27,111.92,108.849,104.901,100.724,100.571,100,96.347,94.609,95.725
