"","Table 5#4#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","4","    Office \1\","W031RL1",-20.3,-41.4,-40,-36.8,18.3,22.7,29.9,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.7,253.3,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,3.4,10.5,6.5,12.1,8.8,-4.5,5.8,20.2,-2.6,-2.8,8.8,12.8,-1.6,9.8,-2.7,6.5,-6.5,-23.5,-5,5.2,17.5,30.6,25.6,19.9,23.2,-10.5,21,18.5,-11.3,-10.3,1.6,-2.4,-7.6,-21.5,-15.9,0.3,2.6,10.9,6.7,16.9,17.1,6.3,11.6,-7.9,-30.7,-15.8,1.3,2.7,11.6,10.9,1.9
"12","5","    Health care","W032RL1",1.1,-30.2,-42.1,-61.4,-2.9,16.6,43.8,39.1,-3,-7,8.3,22.7,-50.8,-68.3,118.7,58.3,161.3,-17.3,11.8,36,59.4,4.9,-11.1,-9.8,13.3,7.2,1.6,25.7,13.9,-0.6,6.3,23.6,22,1.1,19.3,7.4,-1.8,-7.9,12,25,11.1,7.6,3.4,-3.7,-6.4,-9.3,2.4,-5.1,-1.1,3.6,10.1,14.8,29,4,0.1,-3.5,-7.1,-0.1,9.7,-2.1,2.9,-10.6,0,4.3,-4.2,-7.8,3.3,13.5,-1.6,-0.6,1.3,-4,12.7,5,2.3,0.1,3.5,6.1,8.1
"13","6","      Hospitals and special care","C311RL1",13.7,-25.5,-42.8,-69.6,-17.4,10.5,59,56.5,12.9,-11.5,3.8,30.2,-43.4,-65,126.7,36.6,96.6,-3.5,2.9,64.8,71.3,7.4,-8.3,-19.9,9.2,-2.5,-4.9,46.3,17.6,-4.2,6.3,27.8,26.2,2.7,22.8,4.5,-1.6,-9.2,12.9,28.1,14,7.2,4.9,-5.5,-6.4,-6.5,3.8,-6.6,-4.3,-2.4,5.1,12.6,30.4,9.4,-5.8,-11.6,-4.8,4.8,12.9,-1.9,6.6,-7.4,4.3,5.2,-5.4,-11.8,2.4,11.4,-1.7,-5.4,2.2,-1.1,15.3,0.9,-3.1,1.2,11.9,6.1,7.3
"14","7","        Hospitals","W033RL1",13.7,-25.5,-42.8,-69.6,-17.4,10.5,58.9,56.5,12.9,-11.4,3.8,30.2,-43.4,-65,126.8,36.6,96.6,-3.5,2.9,64.8,71.3,7.4,-8.3,-19.9,9.2,-2.5,-4.9,46.3,17.5,-4.2,6.3,27.8,26.2,2.7,22.8,4.5,-1.6,-9.2,12.9,28.1,14,7.2,4.9,-5.5,-6.4,-6.5,3.8,-6.6,-4.3,-2.4,5.1,12.6,30.4,9.4,-5.8,-11.6,-4.8,4.8,12.9,-1.9,6.6,-7.4,4.3,5.2,-3.7,-15.5,-7.1,16.2,-8.5,-3.8,2.7,6.4,20.9,6.2,-0.1,4.3,10.6,6.9,6
"15","8","        Special care","W034RL1",13.7,-25.5,-42.8,-69.6,-17.4,10.5,58.9,56.5,12.9,-11.4,3.8,30.2,-43.4,-65,126.8,36.6,96.5,-3.5,2.9,64.8,71.3,7.4,-8.3,-19.9,9.2,-2.5,-4.9,46.3,17.8,-4.2,6.3,27.8,26.2,2.7,22.8,4.5,-1.6,-9.2,12.9,28.1,14,7.2,4.9,-5.5,-6.4,-6.5,3.8,-6.6,-4.3,-2.4,5.1,12.6,30.4,9.4,-5.8,-11.6,-4.8,4.8,12.9,-1.9,6.6,-7.4,4.3,5.2,-12.6,4.9,37.4,-0.6,18.2,-8.9,1,-19.1,-2.3,-20,-18.7,-18.6,22.2,-0.1,18
"16","9","      Medical buildings","W035RL1",-20.3,-41.5,-40,-36.8,18.3,22.7,30,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.9,252.9,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,3.5,10.5,6.4,12.1,8.8,-4.4,5.8,20.2,-2.6,-2.8,8.7,12.8,-1.6,9.8,-4.3,6.5,-6.5,-23.2,-5.3,4.7,17.4,31.6,27.6,21.3,25,-10.9,20.4,18.3,-11.7,-10.8,1.6,-2.6,-7.9,-21.1,-16.6,-0.2,2.1,11,6.4,21.2,-1.4,15.7,-1.2,-12.4,4.2,19.6,18.3,-2.6,-17.8,6.4,10.9
"17","10","    Multimerchandise shopping","W036RL1",-20.3,-41.4,-40,-36.8,18.3,22.8,30,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.9,253.3,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,1,10.3,6.9,12.5,8.6,-5,6,20.7,-2.6,-2.8,9.2,13.3,-1.4,10,23.2,7.3,-6.3,-27.2,-1.2,12.1,18.6,18.2,-1,-5.2,-16.7,4.2,39.3,22.2,-2.2,2.1,1.6,0.2,-3.5,-28.5,-2.3,7.5,1.1,-5.3,10.5,-11.1,5.2,11.9,-4.8,6.9,-7,-3.7,14.8,10.1,19.5,12.3,-11.3
"18","11","    Food and beverage establishments","W037RL1",-20.3,-41.4,-40,-36.8,18.3,22.7,29.9,19,-27.4,3.4,17.5,9.2,-66.7,-80.3,66,253,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,0.9,10.4,6.8,12.5,8.6,-5,5.9,20.8,-2.7,-2.7,9.2,13.3,-1.4,10.1,23.2,7.3,-6.3,-27.2,-1.2,12.1,18.6,18.2,-1,-5.2,-16.7,4.2,39.3,22.2,-2.2,2.1,1.6,0.2,-3.5,-28.5,-2.3,7.5,-6.1,13.1,3.6,11.6,2.7,-11.6,3.3,-2.9,-11.7,3,-7.4,-13.7,-11.2,2.1,-2.9
"19","12","    Warehouses","W038RL1",-20.3,-41.4,-40,-36.7,18.3,22.8,29.9,19,-27.4,3.4,17.5,9.1,-66.7,-80.3,65.9,253.1,387.3,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,0.9,10.4,6.8,12.5,8.6,-5,6,20.8,-2.6,-2.8,9.3,13.2,-1.5,10.1,23.2,7.3,-6.3,-27.2,-1.2,12.1,18.6,18.2,-1,-5.2,-16.7,4.2,39.3,22.2,-2.2,2.1,1.6,0.2,-3.5,-28.5,-2.3,7.5,15.4,42.9,22.3,7,-2.4,5,5.3,3,-25.8,1,-8.1,-1.9,5.1,10.1,-4.8
"20","13","    Other commercial \2\","W039RL1",-20.3,-41.5,-40,-36.8,18.3,22.8,29.9,19,-27.4,3.4,17.5,9.2,-66.7,-80.3,65.7,253.4,387.2,-36.9,31.1,-13.2,20.6,-6.5,-25.8,56.3,26.9,35.3,15.2,-9.8,11.1,11.4,5.5,11.2,10.6,-1.7,5.6,18.9,-1.9,-2.4,7.7,11.5,-2,9.2,22.3,7.4,-5.3,-26.4,-0.3,10.1,20.7,19.5,-0.3,-3.2,-16.1,3.5,38.3,21.9,-2.3,2,1.5,0.3,-3.3,-27.9,-3.4,5.7,34.5,3.8,5.1,14.7,-1.2,2,11.1,-12,-0.5,-11.7,6.9,-14.5,-11.7,14.5,-13.5
"21","14","  Manufacturing","C307RL1",-37.6,-52,-62.9,134.6,-7.2,-19.1,59.7,64.5,-52.2,13.7,62.3,64.1,-62.6,-58.4,38.7,192.9,116.9,-14.9,-26.3,-28.5,9.9,75.8,6.8,-4.4,-6.4,9.5,31.4,6.1,-31.1,-10.8,35.5,-2.2,1,0.4,20.2,38.3,24.3,-12,-3.7,5.1,-3.4,-17.4,-12.7,23.9,14,-4.1,-7.6,2.7,33.3,22.9,-16.4,13.5,-3.5,-27.7,3.4,11.9,-16,-2.5,5.5,19.8,13.3,-7.9,-8.2,-21.5,18.4,17.9,5.1,-4.5,3.4,-16.6,3.1,-2.8,-41.6,-7.3,4.9,17.3,10.3,22.5,25.4
"22","15","  Power and communication","W003RL1",-0.4,-31.2,-43.4,-48.8,8.7,21.7,43.8,28,-3.6,13,8.2,6.3,-19.9,-41.4,32.7,15,59,51.2,19.7,5.2,-0.5,0.3,0.9,10,-8.6,-4.8,16.8,3.8,-3.8,-4.1,0.9,-6.3,0.6,6.7,8.9,10.6,14,9.4,11.2,0,9.4,0.8,4.3,6.4,-6.4,-8,9,-1.5,4.8,3.8,1,2.6,-5.6,-14,2.2,-1.1,6.7,-11,-5.7,3.8,-7,18.8,6,-6.5,-9.4,2.1,-14,-3.6,17.4,18,15.3,3.2,-2.4,-7.9,-17,-2.3,7.8,34,18.4
"23","16","    Power","W028RL1",-2.2,-24,-44.7,-49.4,12.1,25.9,48.6,23.5,-3.2,15.9,4.6,-1.7,-19.8,-33.6,32.2,10.9,39.6,57.8,14.8,18.3,3.6,0.1,-1.6,10.9,-11.5,-9,10.4,6.7,-0.4,-5.8,-2.1,-4.4,-0.9,5.6,6.7,11.4,17.6,13.7,14,-6.1,5.3,0.7,3.8,4.4,-6.2,-5.4,12.1,-3.7,1.1,1.7,0.9,2.2,-8.2,-16.4,-0.8,-2.3,5.4,-17.3,-10.4,11.1,-10.3,35.5,8.2,-10.8,-14.5,1.5,-22.1,-8,30.1,0.1,27.9,4.4,0.8,0.8,-24.9,-12,11.6,44.7,33.5
"24","17","      Electric","C571RL1",11.8,-37.5,-45.8,-45.7,1.2,28.7,53.3,44.9,21.5,14.3,1,-8.1,-21.9,-45.4,12.9,47.7,66.8,52.8,22.4,22.5,-10.4,-4.7,14.9,11,-7.6,-15.9,10.8,13.1,3.2,-14.6,0.5,-5.8,-0.2,7.7,4.4,13.2,17.3,18.3,8.7,1.2,11.5,2.6,4.8,5.8,-9.7,-11.7,9.9,11.6,5.3,-0.9,-2.1,2.4,-4.7,-13.1,-1.2,-6.9,7.5,-21,-15.3,10.8,-16.8,43.4,3.4,-8.1,-11.9,-7.2,-22.6,-1.3,12.5,18,45,4.9,-3.8,0.4,-24.5,-11.8,11.2,36.9,39
"25","18","      Other power","W029RL1",-15.7,-6.8,-43.7,-52.4,22.4,23.8,44.8,5.3,-32.2,19.2,12,9.9,-16.7,-16.8,50.1,-14.9,10.3,64.9,5,12.4,25.8,5.6,-19.4,10.7,-17.5,3.3,9.8,-2.6,-6.5,11,-5.9,-2.3,-1.8,2.4,10.6,8.5,18.1,5.3,24.8,-19.2,-8.7,-4.3,0.6,0.1,5.5,13.3,17.1,-37.1,-15.1,13.6,13.3,1.4,-20.7,-30.1,1.4,21.1,-2.8,-0.7,7,11.9,7.7,18.5,20.8,-16.7,-20.2,22.8,-21.2,-20.1,69.8,-26.5,-12.7,2.4,19.7,2.2,-26,-12.8,12.9,66.9,20.1
"26","19","    Communication","C314RL1",3.5,-46.1,-39.7,-47.4,-0.9,7.9,25.5,48.7,-5.4,0.6,25.4,37.8,-20,-62.9,35.5,33.9,135.2,36.2,33.1,-27,-17.5,1.5,14.4,6,5.2,12.4,38.6,-4.3,-14.9,2.4,11.5,-11.9,5.2,10.1,15.2,8.5,4.5,-3,1.6,23.6,21.3,0.9,5.8,11.8,-6.8,-14.8,-0.7,6.4,16.9,9.6,1.2,3.6,1.7,-7.8,9.5,1.6,9.7,2.5,2.9,-7.6,-0.7,-9.4,0.3,5.2,3.4,3.1,2,2.8,0.5,49.5,0.1,1.2,-7.6,-23.4,1.4,15.2,2.7,19,-8.5
"27","20","  Mining exploration, shafts, and wells","E318RL1",-23.1,-43.9,25.6,-17.3,41.8,21.6,19.1,29.6,-13.4,-6,12.5,3.5,-31.9,-8.9,36.6,10.3,15.4,11.6,22.8,1.2,18.7,5.1,11.3,9.3,10.6,7.6,-3.2,-5.6,-6.5,2.7,-6.1,1.8,4.9,-6.1,7.1,-1.2,-5.2,-4.4,0.6,4.2,-5.9,-7.5,7.3,6.8,18.9,16.8,7.9,12.9,14,6.5,40.5,16.3,-7.6,-17.2,13.7,-10.9,-41.4,-2.2,9.7,-9.6,15.5,-2.2,-17.2,16.2,-2.8,-15.1,6.6,17.6,-12.5,-15.4,24.8,17.9,-26.9,14.1,16.4,10.3,14.5,10,16.1
"28","21","    Petroleum and natural gas","C319RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,24.3,1.8,18.5,5,12.2,9.2,11.6,7.8,-3.2,-5.5,-7.9,2.3,-6.8,1.5,4.9,-6.8,7.6,-1.3,-5.6,-4.7,-0.8,3.5,-7.6,-9.1,8,6.2,16.9,17,5.6,12.5,17.5,7.8,42.3,15.5,-6.7,-16.6,14,-11.2,-41.6,-0.2,10.1,-10.7,15.8,-3.3,-18.3,17.5,-5.6,-13.2,6,19.9,-11.7,-15.5,24.6,19.4,-30.5,16.9,15.1,10,13.6,10.2,16.8
"29","22","    Mining","C320RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,0.5,-9.7,23.1,6.8,-5.9,10.3,-11.8,0.9,-5.7,-8.5,38.1,10.4,7.9,8.3,5.4,5,0.5,-0.1,-0.7,-0.7,19.1,11.6,10.1,5.3,2.6,11.2,32.9,15,25.9,16,-12.5,-7.7,18.2,28.3,-22.3,-27.7,7.6,-6.1,-38.4,-27.3,3.2,10.6,11.7,13.4,-4,3.1,28.5,-30.7,12.5,-7.2,-26.2,-12.5,28.4,-8.8,76.4,-21.9,44.6,16.3,35.5,5.2,0.9
"30","23","  Other structures","W004RL1",-6.7,-28.7,-42.2,-21.6,9.9,9.1,22.8,11.2,-12.1,6.4,-1.1,13.8,-18.6,0.6,23.1,13.8,98.4,-21.2,0,1.2,-1.3,-2.2,0.5,3.7,5.3,0.2,-1,0,4.6,10.4,11.1,-2.3,2.1,5.8,9.7,12.4,3.8,-2.1,-11.6,-0.8,-6,-6.2,1.1,7.8,-8.6,-11.8,5,5.5,13.6,9.9,-2.9,-3.2,-5.7,5.5,17.2,10,-6,6,-6.8,2.1,6.2,-13.2,-7.3,7.9,-2.2,11.9,17.6,13.4,5.3,0.1,3,-4.7,-15.7,-3.4,1.4,-5.5,9.2,16.2,11.1
"31","24","    Religious","C309RL1",-0.5,-26.2,-38.3,-49.1,-12.3,31.1,13.9,11.3,15.9,-6.3,20.5,-1.9,-55.2,-82.1,73.7,131.2,149,23.6,78.9,47.4,14.3,-2.6,-14,17.7,29.1,15.5,6.6,3.6,2.3,10.7,7.1,-0.7,1.8,-4.9,-2.9,17.2,-8.1,-10,-3.3,-14.4,-11,-19.1,-3.3,-10.6,2,-13.7,6.7,3.1,14.6,15.3,-1.5,-3.2,-9.6,13.2,15.3,10.3,8.4,3.2,2.5,4.6,-7.5,-8.8,-10.7,7.9,-4.1,7.5,2.5,23.4,10.7,7.7,4.9,0.6,-2,-0.3,-10.2,-12.5,-7.6,-7.2,-7.2
"32","25","    Educational and vocational","W044RL1",6.5,-2.9,-36.9,-70.5,-14.5,19.8,120.5,-9.4,-5.1,-2.4,25.7,7.7,-62.9,-76.9,73.7,173.5,240,5.6,30.6,9.3,9.9,3.5,-0.8,20.8,27.6,-13.3,11,-10.2,12.5,-7.7,7.9,7.9,10.3,-2.1,8.5,1.4,20.9,3,4.3,-12.2,-19.6,0.4,-2.5,-14.4,-32.5,-19.3,6.1,-3.1,8.1,11.6,30.8,-1.2,6.6,6.6,2.2,14.9,16.6,40.3,-22.5,9.4,8.8,1.3,3.4,0.2,-0.4,9.2,19.7,24.6,6.4,-8.2,16.9,5.5,-0.4,-1.5,-10.3,-5.4,-1.8,9.5,2.8
"33","26","    Lodging","W045RL1",-7.4,-28.3,-45.3,-23.1,-8.3,4.2,25.8,18.5,21.6,5.6,-20.1,3.5,-55.7,-65,74,87,166.1,-40.9,59.2,19.3,-4.4,3.6,-9.4,14.4,22.8,-19.7,18.9,4.1,30,30.3,20.2,18.3,-6.8,25.2,53.2,-1.2,-7.8,-13.7,-7.2,3.8,-7,-5,33.5,9,-35.4,-40.4,-18.5,-1.4,27.1,67.9,24.2,17.1,-4.3,22.9,25,6.2,0,-2.2,-9.5,9.3,16.6,-31.9,-39.3,20.4,-1.7,47,50,14.6,11.2,3.3,-2.1,-14.7,-29.2,-7.9,13.6,-2.2,28.2,48.9,26.7
"34","27","    Amusement and recreation","W046RL1",-8.2,-26.2,-41.2,-14.5,-14.5,-2.9,16.3,17.9,18,4.1,-16.6,1.5,-54.5,-65.1,73.1,84.2,159,-36.2,46.4,19.6,0.7,-4.3,-6.3,17.2,20.2,-14.8,12,9.5,25.2,17.1,21.7,-4.6,3.4,9.1,-2.6,30.5,2.1,-3.6,-48.9,18.4,3.5,-4.7,-1.4,5.4,-11.1,-11,11.4,4.2,14.9,9.4,2.7,-0.7,12.2,10.6,23.8,19.2,-7.7,5.1,5.4,-12.2,3.4,-6.9,-1.1,7.6,0.6,3,6.5,6.9,-2.6,6.6,-12.1,-14.5,-6.2,1,2.1,-17.6,14.4,4.4,-0.4
"35","28","    Transportation","W047RL1",-1.5,-30.2,-42,-15.9,23.5,0.9,18.9,8.4,-24.2,14,7.6,11.5,4.7,18,24.2,-2.6,-15.3,-8.7,-0.3,-5.6,-10.4,7.8,6.8,-3.8,-16.6,-8.1,6.7,-6.9,-24.1,-5.8,4.7,-12.8,0.9,11.8,4.8,9.7,10.9,-8.1,3,3.2,-13.2,2.8,3.4,5.1,-0.7,-14.4,24.1,6.4,17.5,-0.4,-7.2,-3.7,-8.1,-5.1,16,14,-23.8,-12,-3.3,2.4,-2.8,-8.8,14.5,1.5,4.2,2.2,18.5,9.9,15.1,-12.2,2.6,-1.3,-5.8,-5.6,0.8,1.4,17.6,1.5,6.5
"36","29","      Air","W048RL1",-7.8,-27.1,-42.8,-17.8,-12.2,-0.2,20,18.1,19.5,4.7,-18.1,2.4,-55,-65.1,73.4,85.3,162,-38.2,51.6,19.4,-1.5,-1,-7.7,16,21.3,-16.8,14.8,7.2,27.2,17.6,20.9,-4.2,3.1,9.1,-3.2,31.3,1.5,-3.2,-53.2,18.1,0.8,-5,0.7,7.2,-13.1,-12.9,13.5,2.5,16.1,8.2,4.9,-1.5,13.7,10.3,23.4,15.6,-5.2,3.9,10.9,-15.6,1,-7.9,-6,12.9,4.2,1,22.1,2,11.6,11.1,39.2,5.9,-34.5,-25.8,-11.4,-19.1,-9.9,7.3,-12.6
"37","30","      Land \3\","W049RL1",-1.4,-30.3,-41.9,-15.9,24.3,0.9,18.8,8.2,-25.2,14.3,8.4,11.7,6.1,18.8,24,-3,-16.8,-7.8,-1.4,-6.4,-10.7,8.2,7.4,-4.4,-17.9,-7.6,6.3,-7.7,-27,-8,2.8,-14,0.5,12.3,6.1,6.4,12.8,-8.9,13.6,2,-14.5,3.7,3.7,4.9,0.5,-14.5,24.9,6.7,17.6,-1.1,-8.1,-3.9,-10,-6.8,15.1,13.8,-26.6,-15.2,-6.7,7.6,-3.7,-9,19.5,-0.6,4.3,2.4,17.8,11.6,15.8,-16.7,-7.2,-4.2,6.9,0,3.3,5.2,21.7,0.8,8.8
"38","31","    Farm","C316RL1",-45.8,-50.1,-61.6,62.2,35.2,123.7,26.4,18.8,-13.6,14.7,-20.5,23,-10.7,21.6,-1.2,-8.3,297.2,-5.2,-6.5,-2.8,1.1,-5.8,5.8,-10.4,-3.5,-5.6,3.3,-7.2,13.7,33.7,7.8,-3.4,9.7,1.1,-1.3,0.9,3.1,11.2,-10.6,-1.7,4.4,-5.8,-13.9,30.9,15.8,4.6,2.8,4.5,7.4,0.1,-19.1,-17.1,-25,-15.3,-4.4,-32.9,-8.4,17.5,-11.4,2.2,7.3,-3.1,-13.4,36.9,-8.4,-10.2,18.7,1.1,8.3,13.3,13.3,-17.9,7.3,-11.7,1.5,-1.7,-8.5,3.3,0.1
"39","32","    Other \4\","W050RL1",-14.2,-23.5,-27.2,6,-26.9,-18.1,-11.5,22.4,1.1,-1.4,2.9,-5.6,-47.8,-65,71.2,69.3,131.9,-3.9,-0.9,20.6,35.6,-37.7,13.4,33.4,9.1,15.2,-15.8,35.2,3.9,12.3,33.1,-9.4,6.6,9.3,4.5,23.1,9.1,-8.1,-0.7,20.8,15,-2.4,-9.3,-3.1,-6.5,-3.9,3.3,12.9,15.2,16.9,-8.3,-0.3,4,14.8,31,38.2,-17.5,10.5,-17.2,9,14,-3.5,17.4,-7.2,-12.5,11.8,-17.3,-13.5,0.1,-12.7,17.1,-26.4,-28.9,12.4,14.4,-13,18.6,3.4,-0.7
"40","33","    Brokers' commissions on sale of structures","C321RL1",-21.9,-31.7,-26.1,3.8,-12,10.4,15.5,13.2,-25,5.7,20.2,26.7,-49.6,-29.3,16.2,70.5,146.4,-28.4,-16.6,-20.3,1.8,-1.8,-5.7,13.9,4,17.4,-1.7,1.7,13.3,3.2,14.9,5.9,7.4,-1.8,9.2,24,6.2,-6.4,-14.4,-12,-19.2,-18.4,-10.9,49.9,18.4,-11.3,-3.9,30.1,-7.1,-8.7,-9.3,-7.3,-6.9,2.1,26.5,17.6,-2,2.7,5.4,7.3,2.9,-13.7,-3.6,-0.7,7.6,10.5,9.8,8.3,7.3,2,5.3,-5.9,-14.1,-3.8,3.6,7.3,15.9,23.5,17.5
