"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Durable goods","DDURRX1",498.5,503.6,517.8,526.8,532.5,549.4,553.3,564.1,579.4,577.5,603.3,618.7,623.9,655.7,674.6,714.6,716.4,750.9,769.1,778.7,822.5,807.7,821.7,827.7,841.8,841.3,851.5,923.1,912.5,922.1,949.1,936.6,937.5,974.1,1013.2,1019.8,1031,1038.3,1058.7,1076.1,1083.3,1113.6,1126.7,1098.4,1142.3,1139.4,1152.1,1167.9,1183.7,1189.9,1205,1221.2,1193.2,1175.7,1139.6,1076.8,1087.2,1071.7
"12","4","    Motor vehicles and parts","DMOTRX1",251.6,251.4,257.6,262,264.7,268.8,268.2,270.4,282.5,272.9,290.7,298.5,289.8,312.2,316.4,345.8,329.6,353.1,354.2,343.7,372.9,346.1,352.2,353.3,363.1,357,361.3,415.9,386.3,388.5,412.9,388.5,388.8,405.3,417.5,409.5,409.2,407.5,412.3,416.3,408.8,423.7,427.6,378.5,393.3,393.2,400.3,399.7,402.4,404.1,400.5,402.6,384.4,361.4,337.8,306.2,311.2,306.2
"13","5","    Furnishings and durable household equipment","DFDHRX1",130.8,132,133.9,135.5,134.4,139.2,139.3,142.3,142.8,143.4,146.5,148.5,152.4,154.8,158.4,163.5,168.3,172.3,178,183.6,188.2,191.8,194.3,195.5,198.4,200.2,202.1,208.2,214.8,216.7,216.3,220.1,219,227.1,236.2,240.2,243.4,246.7,252.3,254.8,257,261,265.4,272.2,279.3,276.2,277.6,278.8,284.1,281.2,283.6,285.6,280.9,282.6,274.4,264.2,259.4,254.2
"14","6","    Recreational goods and vehicles","DREQRX1",71.3,73.4,77.9,79.9,81.9,86.4,88.9,92.1,95,98.9,103,106.6,111.8,117.3,124.9,130.7,136.7,143.3,150.5,157.6,167.7,170.1,174.5,178.4,181.4,186.5,190.8,200.6,207.8,211.2,214,218.5,221.1,230.6,244.5,251.6,258.7,264.3,273.4,281.4,291.6,299.8,305.3,316.7,334.5,336.6,343,358.8,366.9,373.1,388.1,401.6,399.8,410.3,407.6,394.3,403.1,398.4
"15","7","    Other durable goods","DODGRX1",69.4,70.1,70.3,71.1,72.5,74.8,75.3,76.8,77.2,77.2,79,81.1,82.9,85.8,87.4,89.3,93.1,94.3,97.1,102.1,102.7,105.9,106.5,105.9,104.4,101.9,101.2,104.4,107.3,109.3,110.1,112.6,111.2,113.7,117.2,120,120.9,120.6,121.3,123.9,125.9,129.1,128.3,131.1,135.5,133.8,131.9,132.2,132.3,133.8,136.1,135.8,133.3,129.2,128.3,121.4,123.5,122.9
"16","8","  Nondurable goods","DNDGRX1",1428.1,1435.2,1440.3,1447.7,1457.1,1475.8,1486.3,1498.3,1507.4,1508.3,1532.5,1543.3,1554.7,1573.9,1585.5,1607.2,1636.9,1652.3,1660.1,1694.1,1679.5,1713.1,1724.7,1741.6,1731.4,1739.7,1748.1,1763.2,1770.4,1772.7,1777.7,1800.2,1819.5,1828,1863.8,1871.3,1888.9,1894,1907.8,1927.6,1949.6,1961.5,1971.8,1990.7,2003.7,2011.6,2024.5,2054.7,2070.3,2066.1,2076.8,2086,2070.1,2081.4,2051.5,2026.1,2035.5,2025.7
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX1",549.9,547.2,547.3,549.7,552.2,554.8,553.7,555.5,559.4,556.5,559.8,559.8,559.3,563.8,567.6,571.5,578.3,584,589.1,598.1,592.2,600.9,601.7,607.6,605.4,609.4,607.3,608.3,605.8,606.8,609.2,614.4,622.6,617.2,626.5,623.3,634.5,635.7,639.1,647.6,656.6,658.6,669.9,674.9,676.7,684.2,686.6,697.5,700.8,696.2,699.2,706.6,708,708.9,699.6,686.4,687.4,693.5
"18","10","    Clothing and footwear","DCLORX1",197.6,199.7,203.3,203.5,204.9,210,213.5,214.8,214.9,213,220.1,222.9,227.6,231.5,229.8,235.1,243.6,245.7,247.4,248,252,257.5,260.3,262.5,258.3,260,259.7,264.1,267.1,267.3,265.6,273.9,274.2,281.8,288.8,288.9,296.4,292.9,296.9,303,307.4,314.7,315.1,325,329.5,327.2,331.7,337.5,343.9,343.3,347.3,349.2,347.8,353.6,343.3,335.4,334,326.9
"19","11","    Gasoline and other energy goods","DGOERX1",264.1,266.2,263.2,263.8,267.4,269.1,269.2,268.4,270.2,273.9,275.1,276.4,278.8,283.3,285.9,287.1,289,295.5,291.9,293.4,282.9,288.3,289.5,287.8,289.1,285.4,290.7,291.6,290.6,294.1,295.7,295.6,296.1,299.4,304.9,308.2,306.9,307.5,305.6,306.1,309.8,306.4,302.7,300.3,296.4,297.2,300,299.9,301.5,301.3,301.5,298.5,292.6,289.9,280.1,287.2,293.2,294
"20","12","    Other nondurable goods","DONGRX1",437,442.3,444.1,448.5,451.2,459.1,465.7,474.5,478.4,482.3,492.8,498.9,502.9,509.6,517.7,527.2,537.2,540.2,542.8,564.8,558.5,572.2,578.5,587.8,584,588.8,595.5,603.3,609.8,608.8,611.9,619.3,629,632,645.8,653.6,652.7,659.5,667,671.2,676.1,681.6,683.8,690.7,701.9,703.7,706.9,721.1,725.8,726.9,730.7,734.2,724.8,733.9,735.4,720.8,724.7,714.5
"21","13","Services","DSERRX1",4159.1,4196.7,4226.6,4250.5,4292.1,4320.6,4343.7,4369.3,4404.8,4434.7,4487.4,4533.1,4583.5,4639.4,4695.8,4728.5,4768.5,4822.4,4880.3,4940.1,5014.8,5073.1,5120.1,5165.1,5189.3,5211.4,5225.4,5248.6,5282.7,5310.5,5329.2,5350.1,5371.8,5398.7,5435.7,5467.5,5518.3,5551.7,5589.6,5650.8,5686.4,5727.9,5767.1,5798.9,5841,5884.2,5914.3,5959.4,6011.7,6036.2,6055.5,6059.7,6087.1,6092.5,6072.4,6080.4,6076,6078.8
"22","14","  Household consumption expenditures (for services)","DHCERX1",4021.4,4057.7,4087,4108.1,4144.9,4171.6,4193.6,4223,4266.7,4297.6,4350.5,4394.2,4440,4491.2,4542,4569.2,4608,4660.8,4717.5,4775.3,4844.6,4902.2,4942.5,4982,5005.3,5023.3,5033.9,5052.9,5083.2,5106.1,5116.4,5131.8,5154.1,5178,5215.6,5248.2,5298.3,5333.6,5372.6,5432.7,5473,5514.2,5554.4,5582.5,5618.2,5652.1,5671.4,5716,5770.8,5799.2,5809.8,5804.8,5827.3,5831.2,5805.2,5806.6,5817.2,5826.7
"23","15","    Housing and utilities","DHUTRX1",1217.4,1232.1,1244.3,1245.7,1258.4,1260.8,1258.2,1269.4,1273.7,1284.9,1292.8,1310.2,1312.3,1328.6,1339.3,1338.9,1354.2,1368.2,1382.6,1382.1,1388.1,1406.3,1418.6,1441.7,1449.5,1448.3,1454.6,1453.6,1453.7,1460,1462.6,1471.6,1475.5,1478.4,1478.5,1488.4,1496.4,1504.5,1512.7,1537.4,1556.6,1577.7,1594.3,1602.8,1598.9,1617.8,1627.6,1622.5,1629.3,1630.1,1634.6,1633.1,1643.8,1647.3,1641.6,1656.3,1656.9,1651.8
"24","16","    Health care","DHLCRX1",940.3,944.6,950.3,954.8,955.2,964.6,968.2,980.3,985.6,990.9,1001.2,1010.7,1023.3,1028.2,1032.9,1033.6,1035.8,1039.9,1048.4,1058.3,1064.4,1078.5,1085.8,1097.3,1113.1,1125.7,1142.3,1160.6,1183.5,1200.3,1209.6,1215.9,1221.6,1224.8,1232.2,1239,1247.4,1260.9,1277.6,1288.7,1304.4,1311.1,1321.3,1327,1337.3,1339.2,1335.8,1347.7,1365.1,1371.7,1377.6,1387.6,1409,1418.2,1416.1,1422.4,1434.3,1448.2
"25","17","    Transportation services","DTRSRX1",208.7,211,215.5,220.1,225.6,229.2,233,237.7,244.4,247.4,251.2,252.2,254.5,257.7,260.6,263.9,267.6,270.9,276.2,279.3,282.9,285.9,287.6,288.5,288.5,287.1,281.7,277,277.7,275.3,275.1,275.2,275.8,274.5,277.7,278.9,280.8,283.2,283.7,285.2,285.2,286.1,287.2,285.1,283.2,284.7,284.5,287.5,289,289.4,288.6,286.3,280.7,275.7,272.1,266.7,261.9,262.5
"26","18","    Recreation services","DRCARX1",237.8,244,247.7,251.6,252.3,254.9,258.8,259.4,261.9,263.7,264.8,267.5,270.8,271.1,274.4,276.9,279.3,283.8,290,293.4,293.2,295.8,296.3,295.6,298,295,293.4,293.2,295.2,295.6,296.4,299.7,299.1,303.2,307.6,312,317.3,320.6,322.2,322.8,326,326.2,326.5,328.4,332.4,334,338.1,345.2,347.7,349,351.6,351.6,351.1,352.4,349.6,346.1,347.7,346.3
"27","19","    Food services and accommodations","DFSARX1",415.4,416.1,416.7,415.9,416,418.1,418.7,422.4,426.6,426.5,431,428,432.8,438.2,439.8,446,444.5,447.2,449,459.5,467,471.1,472.8,471.3,474.8,470.2,467.6,467,473.8,477.5,478.4,479.2,482.6,489.9,499.2,502.5,506.1,506.2,509,513.8,516.5,524.5,527.2,533,544.7,538.7,538.7,544.4,545.3,546.5,548,550.8,547.5,550.9,547.3,535.9,533.7,530.5
"28","20","    Financial services and insurance","DIFSRX1",482,487.6,492.4,495.6,503.9,508.6,506.6,512,517.2,518.3,531.3,534.2,540.3,553,564.5,576.6,582.9,597.9,610.4,631.2,662.4,664.2,666.5,668.4,659.1,658.9,656.6,668.4,662.3,657.9,659.4,653.8,647.9,653.2,660.8,669.3,683.1,686.7,690.6,706.6,703.2,710.8,717.2,719.3,726,731.3,735.6,748.8,762.8,776.7,779.1,770.5,766.1,763.8,758.5,750.6,751.4,756.1
"29","21","    Other services","DOTSRX1",522.5,525.1,522.8,526.6,535.7,537.3,551.8,543,558.2,566.8,578.8,592.4,607,615.3,631.1,633.3,643.6,652.5,660.3,670.5,685,699.3,713.9,718.5,721.3,737.7,737.6,733.8,737.3,739.5,735.1,736.2,751.4,753.9,759.4,758.1,767.2,771.7,776.9,778.1,781,777.9,780.7,786.8,795.8,806.3,811,820.1,831.8,836.2,830.9,825.2,829.6,823.4,820.6,829.2,832.2,832.4
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",140.3,141.6,142.2,145.1,150,151.8,152.9,149.1,140.9,139.9,139.7,141.8,146.4,151,156.5,161.8,163,164.2,165.4,167.4,172.8,173.6,179.9,185.1,186.1,189.8,192.9,196.8,200.4,205,212.8,218.1,217.6,220.5,220,219.2,220,218.1,217,218.2,213.4,213.7,212.8,216.4,222.8,232.1,243.1,243.6,241,237,245.9,255.5,260.6,262.2,268.4,275.4,259.4,252
"31","23","    Gross output of nonprofit institutions \2\","DNPERX1",632.6,634.8,636.9,641.4,644.2,651.5,655.5,662.4,657.8,659.6,665.5,672.2,684.9,691.9,701.4,708.6,713.3,717.2,722.8,730.6,736.9,744.2,752.6,762.3,770.9,779.1,789.8,801.4,815.3,828,838.4,842.8,841.9,843.3,844.4,846.4,851.5,856.3,864.1,870.5,871.6,872.2,874.5,880.3,891.5,899,903.7,909.8,919.5,919.8,923.9,935.1,949.5,955,957.2,965.1,957.8,958.2
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",495.4,496.2,497.7,499.3,497.1,502.5,505.4,516.4,520.3,523.3,529.4,534.1,542.2,544.3,548,549.5,553,555.6,560,565.7,566.3,572.9,574.4,578.5,586.4,590.6,598.1,605.5,615.9,623.8,625.8,624.5,624.1,622.6,624.3,627.1,631.4,638.3,647.1,652.3,658.2,658.5,661.7,663.8,668.7,667,660.9,666.5,678.6,682.8,678.3,680.1,689.7,693.5,689.8,691,698.7,705.7
"33","25","Residual","D236RX1",-128.7,-127.9,-118.9,-115.8,-116.5,-107.6,-104.6,-98.9,-95.3,-96.7,-88.2,-84.9,-82,-75.4,-71,-59.4,-55.7,-50.5,-44.3,-41.3,-29.4,-33.4,-31.3,-30.4,-28.6,-27.1,-26.4,-15.9,-15.1,-15.2,-12.9,-12.2,-11.4,-7.9,-4.8,-4.8,-3.5,-3.3,-1.8,-0.9,-0.5,0,0.3,0.2,-1.6,-1.1,-1.4,-3.4,-4.5,-5,-7.4,-10.6,-9.6,-12,-12,-1.9,-4.5,-1.9
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Energy goods and services \4\","DNRGRX1",418.2,429.5,435,430.4,443.5,441.6,431.5,437.1,433.7,439.8,439.5,451.6,445.4,459.5,463.1,448.6,456.3,466.9,470.8,460.5,448.7,465,468.6,480,475.1,457.8,463,460.5,461.5,473.5,476.4,483.8,482.9,484.2,483.3,492.4,494.1,493.3,485.4,494.2,496.8,496.9,495.7,491.3,474,483.8,490.2,482.8,490.9,490.3,491.6,482.8,479.8,475.2,456.9,474.5,478.3,470.9
"36","27","  Personal consumption expenditures excluding food and energy \5\","DPCCRX1",5059,5101.8,5150.9,5193.8,5237.4,5305.1,5350.3,5395,5456.6,5480.7,5585.4,5650.5,5720.1,5819.3,5901.7,6010.5,6066.6,6163.2,6240.4,6339.6,6464.3,6513,6582.6,6634.4,6670.7,6709.4,6740.9,6861.9,6890.5,6920.8,6969.5,6986.9,7020.4,7099.3,7203.5,7244.7,7310.9,7355.7,7431.1,7512.6,7565.8,7647.3,7699.8,7722.3,7837.8,7868,7914.3,8002.8,8074.9,8106.7,8146.4,8177.1,8164.7,8170.8,8120.1,8038.7,8047.7,8028.2
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
