"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","            Services","W107RG3",14.249,13.462,12.334,11.411,10.973,11.674,12.331,12.398,12.76,12.932,12.942,12.462,13.78,10.513,9.957,9.419,9.66,10.172,11.517,12.282,12.725,13.117,14.34,13.71,14.275,14.209,14.908,15.135,15.694,16.198,14.71,14.772,15.113,15.553,15.473,15.909,16.399,16.87,17.734,18.478,19.626,20.375,21.711,22.773,23.862,26.248,28.796,30.844,33.061,35.405,38.296,42.644,46.881,50.25,52.222,54.379,56.018,58.031,59.568,61.637,63.527,66.188,68.79,70.923,72.641,74.362,76.482,78.009,80.028,81.422,83.041,85.554,87.93,89.678,92.533,95.61,100,104.391,108.392,113.135
"17","10","        Less: Own-account investment \4\","W108RG3",4.407,4.426,4.435,4.293,4.31,4.518,4.528,4.527,4.624,4.719,4.703,4.772,4.835,4.914,5.029,5.201,5.794,6.648,7.117,7.728,8.03,8.23,8.893,9.335,9.643,9.977,10.293,10.715,11.209,11.78,11.798,12.093,12.366,12.598,12.846,13.108,13.432,13.914,14.517,15.271,16.155,17.319,18.467,19.288,20.596,22.809,25.138,27.01,29.125,31.233,33.713,37.13,40.602,43.213,45.726,47.918,49.826,51.309,53.207,55.809,58.498,61.267,63.842,66.009,68.243,70.598,73.098,74.802,76.387,77.704,80.292,83.546,86.15,88.521,91.973,95.608,100,104.032,107.926,112.035
"18","11","              Sales to other sectors","W109RG3",4.204,4,3.684,3.346,3.265,3.538,3.741,3.741,3.874,3.723,3.654,3.674,3.943,4.331,4.498,4.577,4.678,5.169,5.925,6.294,6.272,6.449,6.898,7.042,7.161,7.252,7.397,7.597,7.888,8.078,8.275,8.631,8.787,8.96,9.152,9.397,9.665,10.035,10.383,10.976,11.696,12.392,13.022,13.593,14.652,16.098,17.551,18.865,20.294,21.987,24.066,26.829,29.777,32.587,35.082,37.574,39.584,41.535,44.027,47.122,51.01,55.132,59.32,63.448,66.96,69.43,71.999,74.196,75.925,77.036,79.128,81.572,83.905,86.717,91.134,95.693,100,104.578,109.19,114.061
"19","12","Federal consumption expenditures \1\","A957RG3",5.557,5.315,5.355,5.229,5.195,5.481,5.517,6.142,6.195,6.336,6.205,5.857,6.039,5.855,5.932,6.033,6.348,8.34,8.809,8.662,9.062,8.991,9.294,9.352,9.502,9.772,10.371,10.821,11.276,11.823,11.661,11.783,12.004,12.282,12.582,13.084,13.512,14.038,14.471,15.33,16.169,17.483,19.028,20.671,22.154,24.216,26.818,28.752,30.98,32.913,35.559,39.525,43.465,46.446,48.182,51.471,53.042,53.796,54.902,56.289,57.915,59.996,62.628,64.893,66.586,68.439,70.41,72.708,74.361,75.462,77.545,80.463,82.458,86.106,90.283,94.978,100,104.439,108.458,111.892
"20","13","      Gross output of general government","W110RG3",5.582,5.333,5.366,5.236,5.222,5.523,5.532,6.143,6.203,6.35,6.214,5.897,6.073,5.892,5.97,6.071,6.38,8.251,8.81,8.672,9.07,9.001,9.313,9.373,9.522,9.79,10.385,10.832,11.287,11.832,11.677,11.8,12.02,12.296,12.596,13.097,13.522,14.044,14.475,15.339,16.181,17.479,19.026,20.64,22.139,24.203,26.781,28.728,30.967,32.933,35.601,39.619,43.541,46.472,48.191,51.426,52.966,53.662,54.799,56.201,57.863,59.953,62.558,64.837,66.583,68.429,70.393,72.706,74.375,75.441,77.553,80.49,82.487,86.127,90.293,94.983,100,104.425,108.442,111.872
"21","14","        Value added","W111RG3",2.939,2.799,2.92,2.912,2.984,3.174,3.036,3.481,3.485,3.563,3.437,3.245,3.146,3.385,3.502,3.745,4.159,5.841,6.203,6.01,6.348,6.216,6.336,6.545,6.66,6.799,7.225,7.619,7.944,8.504,8.782,8.946,9.117,9.299,9.692,10.163,10.526,10.986,11.256,12.104,12.846,14.339,15.894,17.644,18.943,20.454,22.569,24.207,26.255,27.878,29.919,32.862,36.352,39.128,40.618,44.55,46.236,47.104,48.218,50.069,51.923,53.548,56.525,59.239,61.08,63.129,65.246,68.029,69.856,71.205,73.794,76.764,78.848,83.726,88.735,94.536,100,105.063,109.953,112.192
"22","15","          Compensation of general government employees","B568RG3",1.793,1.711,1.819,1.842,1.894,2.003,1.899,2.207,2.204,2.259,2.174,2.034,1.938,2.127,2.223,2.446,2.845,4.389,4.423,4.055,4.409,4.278,4.275,4.444,4.539,4.647,5.008,5.271,5.475,6.024,6.268,6.42,6.577,6.708,7.048,7.552,7.893,8.314,8.507,9.268,9.893,11.258,12.662,14.281,15.381,16.567,18.351,19.656,21.409,22.676,24.422,26.928,29.898,32.237,33.534,37.48,39.333,40.384,41.689,43.646,45.479,47.002,50.072,53.11,54.766,56.688,58.752,62.138,64.466,66.125,69.045,72.315,74.853,81.063,87.21,93.896,100,105.569,111.234,113.493
"23","16","          Consumption of general government fixed capital \2\","B995RG3",14.838,14.023,13.31,12.317,12.368,13.691,13.982,14.168,14.587,14.566,14.363,14.639,15.984,15.567,15.338,14.666,13.819,15.475,17.72,18.375,18.609,18.524,19.767,20.071,20.22,20.505,21.114,22.352,23.5,23.721,24.098,24.269,24.445,24.937,25.529,25.481,25.82,26.34,27.078,28.054,29.277,30.823,32.636,34.371,36.495,39.753,43.257,46.625,49.812,53.367,56.559,61.27,66.894,71.564,73.769,75.82,75.71,75.151,74.858,75.733,77.383,79.294,81.448,82.368,84.903,87.392,89.651,89.983,89.861,90.037,91.406,93.291,93.718,93.697,94.437,96.901,100,103.256,105.474,107.643
"24","17","        Intermediate goods and services purchased \3\","W113RG3",14.004,13.475,12.386,11.387,10.654,11.124,12.414,12.461,13,13.369,13.706,13.202,15.44,13.641,13.543,12.995,12.675,13.253,14.34,15.3,15.482,15.935,17.037,16.457,16.691,17.317,18.319,18.77,19.541,19.873,18.241,18.176,18.496,19.022,18.945,19.417,19.94,20.54,21.36,22.174,23.186,23.738,24.99,25.965,27.803,31.129,34.631,37.158,39.567,42.203,46.231,52.59,57.215,60.296,62.427,63.976,65.149,65.48,66.641,67.121,68.352,71.326,73.108,74.434,75.929,77.287,78.877,80.178,81.499,81.996,83.154,85.976,87.792,89.429,92.366,95.563,100,103.617,106.54,111.419
"25","18","          Durable goods","W114RG3",20.187,18.539,17.644,17.633,16.679,16.689,18.007,17.373,17.185,16.618,16.819,17.258,19.33,16.257,15.905,14.991,13.867,15.772,17.912,19.035,19.284,20.182,21.32,21.979,22.372,23.001,23.796,25.386,26.784,27.266,27.82,28.01,28.205,28.749,29.477,29.438,29.575,30.06,30.606,31.865,33.057,34.656,36.376,35.325,37.086,40.043,44.616,48.487,52.105,56.09,61.266,65.841,71.617,78.667,85.058,90.745,91.347,92.996,92.817,89.645,89.44,91.428,93.867,95.479,97.59,98.703,98.86,98.688,98.203,97.504,97.176,97.57,97.395,97.243,97.799,98.647,100,102.032,101.968,102.607
"26","19","          Nondurable goods","W115RG3",16.501,16.05,15.021,14.415,14.579,15.042,15.245,15.354,15.68,15.648,15.791,16.001,19.371,21.994,23.03,22.775,23.436,21.913,19.803,20.615,20.498,20.332,19.799,18.58,17.947,19.805,21.362,21.086,21.552,20.916,20.535,20.293,20.14,20.265,19.809,20.221,20.504,21.455,21.324,21.813,22.206,22.568,22.918,23.6,27.112,33.92,38.616,41.457,44.383,46.832,54.377,71.435,77.674,77.08,77.197,74.117,74.298,65.596,66.323,63.283,62.606,68.862,67.244,64.951,64.75,64.347,65.932,70.037,70.449,66.946,69.242,78.63,77.196,76.637,81.725,87.842,100,107.245,111.493,128.011
"27","20","          Services","W116RG3",19.084,18.333,16.654,14.903,13.37,14.197,17.055,17.306,18.6,19.848,20.675,18.588,21.52,13.646,11.932,10.744,11.052,11.531,13.689,14.799,15.135,15.702,17.76,16.356,17.097,16.881,17.953,18.123,18.798,19.342,16.219,16.132,16.593,17.215,17.071,17.655,18.312,18.866,20.037,20.92,22.21,22.652,24.12,25.494,26.913,29.505,32.613,34.901,37.043,39.529,42.69,47.225,51.398,54.65,56.351,57.875,59.376,61.145,62.735,64.423,66.181,68.946,71.108,72.922,74.579,76.239,78.037,79.165,80.86,82.146,83.352,85.594,88.183,90.377,93.285,96.341,100,103.281,106.412,110.269
"28","21","      Less: Own-account investment \4\","W117RG3",4.993,4.599,4.682,4.563,4.676,5.008,4.891,5.356,5.452,5.628,5.456,5.471,5.498,5.421,5.398,5.52,6.202,7.308,7.739,7.581,8.022,7.961,8.687,8.982,9.187,9.293,9.59,9.915,10.269,10.964,11.178,11.511,11.853,12.083,12.42,12.905,13.247,13.642,14.02,14.869,15.698,17.091,18.318,18.683,19.961,21.645,23.763,25.417,27.588,29.316,31.406,34.436,37.573,40.035,41.841,43.447,44.726,46.01,47.484,49.966,52.473,54.614,57.189,59.351,62.221,64.853,67.246,69.487,71.816,73.886,76.522,79.953,82.732,86.808,90.666,95.927,100,104.066,108.079,110.735
"29","22","            Sales to other sectors","W118RG3",7.208,6.721,6.198,5.675,5.505,6.026,6.549,6.296,6.619,6.354,6.826,7.027,7.65,8.147,8.311,8.428,8.595,9.448,11.417,11.785,11.94,12.107,12.957,12.929,12.795,13.044,13.517,13.882,14.46,14.877,14.934,15.008,14.878,15.098,15.415,15.862,16.022,16.334,16.735,18.244,19.562,18.949,21.184,21.444,24.11,26.561,28.224,31.346,34.54,38.499,42.751,50.064,53.613,53.767,54.386,54.655,54.242,50.181,53.442,55.277,58.782,61.465,62.555,65.808,70.313,71.314,72.703,76.07,78.492,76.109,80.209,84.224,85.995,88.317,91.405,95.124,100,103.366,107.11,110.668
"30","23","    Defense consumption expenditures \1\","A997RG3",5.885,5.696,5.663,5.585,5.449,5.698,5.867,6.009,6.093,6.127,6.087,5.637,5.888,5.713,5.778,5.903,6.187,8.159,8.706,8.614,8.918,8.877,9.151,9.152,9.279,9.579,10.187,10.681,11.138,11.631,11.462,11.577,11.753,12.004,12.323,12.771,13.193,13.696,14.133,14.942,15.764,16.979,18.535,20.357,21.928,24.113,26.591,28.52,30.696,32.855,35.642,39.812,43.864,46.969,48.694,52.712,54.173,54.706,55.839,57.134,58.713,60.804,63.185,65.704,66.723,68.314,69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,109.011,112.891
"31","24","      Gross output of general government","W085RG3",5.922,5.722,5.676,5.59,5.454,5.711,5.875,6.026,6.115,6.149,6.108,5.663,5.909,5.739,5.805,5.929,6.213,8.1,8.716,8.625,8.929,8.887,9.168,9.17,9.298,9.597,10.202,10.693,11.149,11.642,11.478,11.593,11.768,12.017,12.335,12.782,13.2,13.698,14.135,14.943,15.765,16.979,18.534,20.323,21.889,24.087,26.567,28.495,30.666,32.828,35.611,39.772,43.819,46.921,48.645,52.647,54.109,54.647,55.78,57.077,58.665,60.754,63.152,65.687,66.726,68.307,69.948,72.429,73.867,74.858,76.798,79.699,81.74,85.406,89.911,94.486,100,104.77,109.003,112.878
"32","25","        Value added","W086RG3",3.156,3.061,3.11,3.088,3.022,3.164,3.222,3.412,3.437,3.462,3.445,3.162,3.122,3.452,3.578,3.825,4.253,6.001,6.427,6.269,6.531,6.4,6.447,6.647,6.735,6.895,7.318,7.714,8.045,8.558,8.852,9,9.108,9.277,9.668,10.115,10.466,10.938,11.213,12.045,12.796,14.241,15.798,17.751,19.058,20.634,22.652,24.32,26.175,27.964,30.071,33.049,36.665,39.665,41.25,46.097,47.886,48.645,49.662,51.237,52.973,54.426,57.138,60.287,61.159,62.817,64.518,67.47,69.059,70.29,72.59,75.437,77.696,82.692,88.078,93.698,100,105.576,110.946,113.49
"33","26","          Compensation of general government employees","B237RG3",1.955,1.913,1.976,1.988,1.929,1.986,2.021,2.166,2.146,2.16,2.148,1.94,1.884,2.14,2.235,2.462,2.861,4.468,4.532,4.144,4.426,4.283,4.183,4.335,4.407,4.525,4.874,5.117,5.307,5.81,6.071,6.208,6.303,6.415,6.758,7.257,7.592,8.03,8.223,8.972,9.605,10.923,12.334,14.165,15.258,16.493,18.189,19.46,20.957,22.319,24.135,26.672,29.742,32.263,33.59,38.543,40.587,41.595,42.872,44.581,46.281,47.574,50.327,53.913,54.235,55.519,57.008,60.701,62.776,64.269,66.841,70.024,72.895,79.478,86.269,92.744,100,106.231,112.56,115.062
"34","27","          Consumption of general government fixed capital \2\","B432RG3",13.963,13.116,12.512,11.813,11.905,13.183,13.462,13.629,14.593,14.747,14.698,14.484,15.77,14.803,14.728,13.89,13.126,14.703,16.841,17.493,17.712,17.673,18.901,19.238,19.339,19.677,20.266,21.537,22.693,22.886,23.235,23.374,23.518,23.994,24.511,24.421,24.724,25.186,25.883,26.75,27.853,29.264,30.929,32.639,34.708,37.764,40.888,44.358,47.658,51.38,54.371,58.798,64.256,68.953,71.473,73.77,73.488,72.705,72.191,72.848,74.481,76.425,78.678,79.88,82.695,85.581,87.949,88.504,88.581,89.014,90.513,92.384,92.806,92.918,93.853,96.726,100,103.565,106.104,108.763
"35","28","        Intermediate goods and services purchased \3\","W087RG3",13.806,13.182,11.994,11.471,11.108,11.591,12.416,11.529,12.003,11.972,11.829,11.409,13.429,11.544,11.408,11.049,10.653,10.974,12.399,13.704,13.771,14.517,15.782,15.1,15.324,15.991,17.04,17.686,18.437,18.758,17.106,17.062,17.422,17.872,17.864,18.178,18.703,19.162,19.975,20.645,21.558,21.945,23.205,24.195,26.236,29.906,33.328,35.667,38.376,41.261,45.572,52.443,57.104,60.158,62.085,64.057,64.778,64.867,66.197,66.962,68.24,71.517,73.216,74.411,75.758,77.109,78.549,79.96,81.054,81.547,82.768,85.705,87.34,88.906,92.18,95.439,100,103.813,106.729,112.088
"36","29","          Durable goods","A998RG3",16.935,15.134,14.154,14.154,12.492,13.376,14.494,14.372,15.627,15.907,16.024,15.691,17.905,14.719,14.424,13.571,12.561,14.452,16.899,18.126,18.375,19.29,20.395,21.038,21.414,22.025,22.789,24.334,25.687,26.143,26.648,26.789,26.963,27.464,28.128,27.963,28.27,28.753,29.266,30.467,31.627,33.17,34.834,33.784,35.515,38.382,42.806,46.537,50.128,54.091,59.189,63.64,69.28,76.189,82.62,88.344,88.949,90.608,90.422,87.18,86.88,88.827,91.314,92.998,95.189,96.373,96.612,96.79,96.622,96.186,96.072,96.635,96.646,96.752,97.5,98.477,100,102.349,102.545,103.449
"37","30","          Nondurable goods","A725RG3",6.242,5.876,5.098,4.773,4.934,5.49,5.552,5.579,6.006,5.632,5.469,5.544,6.158,7.168,7.379,7.509,7.551,7.402,8.681,10.843,9.954,10.205,10.29,9.458,9.044,10.498,11.834,12.416,12.897,12.237,12.241,12.393,12.254,12.179,11.908,11.83,12.034,12.403,12.481,12.582,12.804,12.937,13.125,13.642,16.654,23.52,27.74,29.988,32.464,34.482,43.005,62.84,70.414,68.669,64.688,62.993,61.59,49.843,51.185,54.574,57.763,65.928,62.563,59.698,58.478,57.422,58.632,64.195,63.198,56.38,58.845,71.73,68.662,67.278,74.42,82.388,100,109.722,115.473,142.673
"38","31","          Services","A489RG3",32.395,31.44,29.604,28.648,26.632,26.693,29.479,25.062,25.134,25.588,25.302,23.926,29.829,17.115,14.857,12.317,12.569,12.335,13.594,14.283,15.085,16.231,18.845,16.943,17.764,17.437,18.659,18.794,19.411,20.061,16.27,16.084,16.678,17.319,17.221,17.823,18.538,19.023,20.353,21.231,22.505,22.716,24.383,26.049,27.584,30.061,32.93,34.964,37.557,40.429,43.552,48.179,51.974,54.939,56.632,58.089,59.209,60.744,62.568,64.171,65.667,68.696,70.919,72.575,74.07,75.782,77.515,78.743,80.323,81.845,83.197,85.352,87.907,90.092,93.333,96.433,100,103.406,106.496,110.384
"39","32","      Less: Own-account investment \4\","W088RG3",6.189,5.774,5.77,5.485,5.383,6.08,5.883,6.663,6.934,6.963,6.897,6.662,6.499,6.387,6.374,6.456,7.432,8.75,9.694,9.587,9.896,9.756,11.021,11.282,11.443,11.453,11.567,11.817,12.155,12.837,12.87,13.05,13.212,13.228,13.415,13.652,13.831,14.17,14.48,15.331,16.19,17.365,18.736,19.744,21.139,23.339,25.907,27.679,30.281,32.3,34.711,38.233,41.539,44.065,45.443,47.206,48.343,49.355,50.677,53.036,55.02,56.799,59.263,60.944,62.916,65.517,68.019,69.871,72.285,74.12,76.18,79.187,81.85,85.815,89.688,95.301,100,104.675,108.602,111.646
"40","33","            Sales to other sectors","W089RG3",6.927,6.501,5.939,5.46,5.27,5.739,5.897,5.947,6.389,6.339,6.359,6.505,6.93,7.418,7.517,7.615,7.881,8.89,10.889,11.714,11.937,12.126,12.926,13.121,13.496,14.008,14.278,14.41,15,15.381,15.771,15.969,16.005,16.072,16.216,16.484,16.492,16.555,17.015,17.883,18.656,19.399,21.025,16.873,18.01,20.82,23.285,25.023,25.963,28.706,30.921,34.09,37.49,40.412,42.259,44.511,46.556,47.986,48.895,49.838,52.965,55.664,60.612,66.137,68.994,69.282,70.425,73.344,75.189,77.187,79.47,81.822,86.012,89.324,92.532,95.962,100,103.484,108.006,111.47
"41","34","    Nondefense consumption expenditures \1\","A542RG3",5.533,5.209,5.339,5.144,5.214,5.53,5.493,6.353,6.398,6.58,6.415,6.098,6.171,6.234,6.216,5.564,6.667,8.538,8.718,8.36,9.015,8.832,9.239,9.719,10.018,10.077,10.582,10.738,11.147,12.002,11.981,12.133,12.57,12.958,13.164,13.858,14.301,14.9,15.294,16.339,17.217,18.88,20.347,21.396,22.614,24.335,27.231,29.167,31.506,32.921,35.242,38.745,42.416,45.098,46.859,48.208,50.085,51.458,52.493,54.173,55.947,58.009,61.306,62.944,66.195,68.627,71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.333,109.848
