"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107"
"12","4","    Manufacturing","N552RC1",739.5,738,736,732.6,721.9,713.1,711.8,698.9,695.2,691.3,689,686.5,680.4,681,685.1,684.6,687.6,689,680.1,676.2,675.2,672.2,671.1,673,669.1,669.3,672.9,665.6,670.6,670.9,662.4,666.7,674,684.7,693.2,685.2,676.3,671.7,672.6,680.2,692,692.5,700.8,707.3,709.1,706.7,703.3,704.6,706.1,703.1,700.8,704.7,708.1,709.2,715.3,718.3,716.1,719.9,712.1,710.8,731.9,742.3,742.1,739.9,733.5,732.7,733.7,734,734.5,741.7,743.3,754.5,753.2,753.2,755.3,754.2,751,753.3,749.9,747.9,751.8,753.4,761.8,757.5,751.9,748.1,750.3,745.9,745.2,744.9,744.1,741,735.9,738.8,736.1,721.7,690.4,680.4,672.1,667.2,659.5,653.9,658.6,655.3
"13","5","  Services-producing industries","N233RC1",3095.2,3115.8,3122.8,3098.6,3089.7,3087.9,3074.6,3074.3,3068.2,3064.1,3069.9,3077,3080.1,3082.5,3094.6,3104.8,3111,3128.8,3111.9,3120.8,3127.3,3126.7,3131.3,3132.2,3130.5,3141.7,3157.9,3171.1,3198.3,3208.5,3223.6,3241.3,3252,3270,3294.2,3293.5,3307.9,3315.4,3330.6,3352.9,3395.4,3408.4,3443.3,3465.6,3481.8,3505.9,3501.2,3513.4,3513.9,3520.9,3524.7,3552.1,3566.4,3591.6,3633.6,3641.6,3660.7,3674.2,3688.3,3705.1,3762.9,3792.9,3809.2,3829.9,3806.6,3824.1,3848,3857.7,3888.4,3919.5,3953.5,4000.7,4035.1,4067.1,4090,4073.9,4073.9,4085.1,4092.6,4100.2,4136.5,4152.4,4180,4195.9,4189.5,4188.9,4193.3,4187.6,4195.1,4193.9,4204.2,4222.2,4212.6,4210.2,4197.7,4181.6,4067.6,4023.9,3994.8,3982,3981.9,3971.7,3979.6,3993.6
"14","6","    Trade, transportation, and utilities","N234RC1",852.5,852.9,854.1,849.6,848.5,848.7,844.4,842.8,841.6,838.5,840,839.8,840.8,840.9,845.8,844.7,848,851,848.6,848.3,848.6,845,847.3,849.5,849.7,853.7,858.2,856.3,857.9,857.3,858.2,865,868.8,877.5,880.8,875.9,878.3,879.8,881.7,890.6,900.5,904.6,913.2,917.8,922.7,926.4,922.3,926.2,927.7,929.7,928.7,936.1,938,942.7,953.4,952.8,953.1,955.1,956.5,961.5,974.9,984.9,987.7,993.1,985.4,989.6,996.3,996.5,1000.5,1007.9,1013.2,1021.7,1025.9,1032,1040.7,1042.6,1045.5,1049.7,1041.9,1039.7,1047,1051.9,1057.1,1061.8,1058.3,1054,1053.7,1051.5,1049.9,1050.6,1048.2,1049.9,1045.5,1043.9,1040.8,1033.4,1011.5,1002.8,992.7,990.2,991.6,987.5,986,990.9
"15","7","    Other services-producing industries \1\","N235RC1",2242.6,2262.9,2268.7,2249,2241.2,2239.2,2230.2,2231.5,2226.6,2225.7,2229.8,2237.2,2239.4,2241.6,2248.8,2260.1,2263,2277.9,2263.3,2272.5,2278.7,2281.7,2283.9,2282.7,2280.8,2288,2299.7,2314.7,2340.3,2351.1,2365.4,2376.3,2383.3,2392.6,2413.5,2417.5,2429.5,2435.6,2448.9,2462.3,2494.9,2503.8,2530.1,2547.8,2559.1,2579.5,2578.9,2587.2,2586.2,2591.2,2596,2616,2628.4,2648.9,2680.2,2688.8,2707.5,2719.1,2731.8,2743.6,2787.9,2808,2821.5,2836.8,2821.2,2834.5,2851.6,2861.2,2887.9,2911.6,2940.3,2979,3009.2,3035.1,3049.3,3031.3,3028.4,3035.4,3050.6,3060.4,3089.5,3100.5,3122.9,3134.2,3131.3,3134.9,3139.6,3136.1,3145.2,3143.3,3156,3172.3,3167.1,3166.3,3156.9,3148.2,3056.1,3021.1,3002.1,2991.8,2990.3,2984.2,2993.6,3002.7
"16","8","Government","B202RC1",799.8,805.2,808.2,811.5,814.6,820.2,824.8,828.5,832,835.5,839.7,842.6,858.8,861.8,864.1,866.6,870.8,873.7,875.4,878.8,879.1,880.7,882.8,884.6,899,904.1,907.1,908.9,913.3,919.3,916.8,915.4,914.7,918.3,919.9,923.1,936,939.9,945.4,953.4,950.9,952.4,953.9,956,957.6,960.3,963.4,964.6,980.9,982.9,983.6,985.6,987.7,989.5,992.8,993.9,996.7,997.8,1001.7,1004.9,1015.5,1019.1,1022.5,1025.5,1028.2,1031.3,1036,1040.1,1046.8,1049.4,1052.4,1055,1069.7,1073.3,1076.7,1080.5,1083.9,1088.1,1088.2,1093.2,1098.1,1101.9,1105.7,1109.9,1121.4,1125.5,1128.9,1132.1,1136.1,1141.1,1145.2,1148.9,1151.3,1153.4,1155.1,1156,1169,1171.5,1174.8,1180.6,1185,1187.4,1188.2,1190.7
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
